index,title,author,url,cuisine,image_url,ingredients,instructions,language,ratings,reviews,site_name,total_time,yields,calories,carbohydrateContent,proteinContent,fatContent,saturatedFatContent,cholesterolContent,sodiumContent,sugarContent,servingSize,fiberContent,transFatContent
0,Spicy Gochujang Mayo,Sue,https://mykoreankitchen.com/spicy-mayo-recipe/,Korean,https://mykoreankitchen.com/wp-content/uploads/2020/07/2.-Spicy-Gochujang-Mayo-Recipe.jpg,"['1/4 cup mayonnaise', '1 - 2 tsp gochujang ((Korean chili paste) or sriracha sauce)', '1/2 tsp lime juice (or lemon juice (optional))', 'fine sea salt (to taste (optional))', 'ground black peppers (to taste (optional))']","Combine all ingredients in a medium sized bowl and whisk well until the sauce turns and evenly tangerine (orange) color.
Serve as a dipping sauce, spread, or dressing sauce (e.g. with tuna patties, schnitzel, french fries or salad).",en-US,5.0,,My Korean Kitchen,2,4 serving(s),97 kcal,1 g,1 g,10 g,2 g,6 mg,89 mg,1 g,1 serving,,
1,Korean Strawberry Milk,Sue,https://mykoreankitchen.com/strawberry-milk/,Korean,https://mykoreankitchen.com/wp-content/uploads/2020/09/3.-Korean-Strawberry-Milk.jpg,"['140 g fresh strawberries ((or frozen strawberries), (5 ounces), washed and stems removed )', '70 g raw sugar ((or white sugar), (2.5 ounces) )', '2 cups milk ((your choice, I used full cream milk))', '2-3 ice cubes ((optional))']","Dice the strawberries into smaller pieces or use your hands/masher to mash them. (Or you can adopt both methods to give an interesting texture.). If using frozen strawberries, you can use a blender. If so, add the frozen strawberries and 2 Tbsp of hot water in a blender and gently mix them around to lightly thaw the frozen strawberries. Turn up the blender, using the lowest spin mode, until you get your desired texture. (Blending for a short burst of time will give you a more chunkier texture and blending a bit longer will give you a smoother texture.)
Transfer the diced/mashed/pureed strawberries into a medium size bowl and add the sugar. Mix them well. Chill the bowl in the refrigerator for 1 – 2 hours, covered.
Prepare the serving cups and add 4 Tbsp of strawberry syrup into each cup. (You can add more or less depending on your preference.) Pour over the milk. Serve immediately. To drink mix the milk and strawberry syrup well with a straw.",en-US,5.0,,My Korean Kitchen,10,2 serving(s),311 kcal,52 g,8 g,8 g,5 g,24 mg,107 mg,50 g,1 serving,1 g,
2,Dakgangjeong - Soy Garlic Fried Chicken,Sue,https://mykoreankitchen.com/dakgangjeong-soy-garlic-fried-chicken/,Korean,https://mykoreankitchen.com/wp-content/uploads/2020/06/1.1.-Dakgangjeong-Soy-Garlic-Boneless-Korean-Fried-Chicken.jpg,"['900 g boneless chicken thigh fillets ((2 pounds), cut into bite size pieces)', '2 Tbsp rice wine', '1 tsp onion powder', '1 tsp garlic powder', '1 tsp fine sea salt', '1/4 tsp ginger powder', 'A few cracks ground black pepper', '1.5 cups corn starch', 'cooking oil (for deep frying (I used rice bran oil))', '1/4 cups soy sauce', '2 Tbsp brown sugar', '2 Tbsp honey', '2 Tbsp water', '2 Tbsp rice wine', '1/2 Tbsp minced ginger', '1/2 Tbsp minced garlic', 'A few cracks ground black pepper', '3 dried chilies ((optional))', '2 green onions ((optional), white part)', '2 tsp corn starch', '2 tsp water', 'toasted sesame seeds', 'green onions (, thinly sliced)']","Deep Frying Method
Combine
In a large bowl, place the chopped chicken and add rice wine, onion powder, garlic powder, salt, ginger powder, and ground black pepper. Combine them well. Set aside.
Dredge
Place the corn starch in a large bowl. Dredge the seasoned chicken pieces in the corn starch and evenly coat them.
Deep Fry
In a deep saucepan (or fryer) add a generous amount of oil and heat it until the oil temperature reaches 175 C / 347 F. Start adding the chicken carefully and fry them until they cook. (It takes 4 to 5 mins depending on the size of chicken). Do not overcrowd the pan, and cook in batches if needed. (It might be useful to use a grease splatter screen if you have one as it minimises oil splatter.)
Twice Deep Fry
Take out the cooked chicken and place them onto some kitchen paper to soak up excess oil. Quickly scoop out any floating debris from the oil using a skimmer. Deep fry the chicken again when the oil temperature reaches 175 C / 347 F. Fry them until the batter is golden and crisp. (The second time frying is shorter than the first time, 2 to 3 mins.) Set aside.
Make Sauce
In a separate pan, combine all the sauce ingredients. Bring it to boil over medium low heat while stirring often. Once the sauce starts bubbling, take out the chilies and green onion pieces. In a separate bowl, combine and mix the slurry ingredients then pour it over the sauce. Stir often. Once the sauce thickens or turns to glaze (within 1 – 2 mins), remove from the heat and cool down for 5 mins.
Baste
Place the double fried chicken onto the lined baking sheet, then using a cooking brush, gently baste the chicken with the sauce. Once all the chicken is coated with the sauce, garnish with sesame seeds and green onions. Serve.
Air Fryer Method (Frying Only)
Spray cooking oil on air fryer basket.
Line Up
Place the chicken pieces, without overlapping, onto the basket. Spray some oil lightly over the chicken pieces. (While it is optional, chicken browns better with extra oil coating.)
Air Fry
Cook at 200 C / 390 F for 6 to 7 mins. Turn them over and spray oil lightly to cover the dried white spots (from corn starch). Cook for another 6 to 7 mins, or until golden brown.",en-US,5.0,,My Korean Kitchen,40,4 serving(s),549 kcal,63 g,46 g,9 g,2 g,214 mg,1601 mg,15 g,1 serving,1 g,
3,Korean Chili Oil Recipe,Sue,https://mykoreankitchen.com/chili-oil-recipe/,Korean,https://mykoreankitchen.com/wp-content/uploads/2020/11/1.-Korean-Chili-Oil.jpg,"['1/2 cup Korean chili flakes', '40 g garlic cloves ((1.4 ounces), peeled, washed and thinly sliced)', '40 g ginger ((1.4 ounces), peeled, washed, and thinly sliced)', '70 g green onion ((2.4 ounces), peeled, washed, and thinly sliced)', '1.5 cups cooking oil ((I used rice bran oil, but canola or grape-seed oil can work too.))']","Add the Korean chili flakes in a medium sized heat proof bowl or a small stainless steel pot. (A pot with a long handle is a great option as you can filter the oil easier later on.)
Add in the garlic, ginger, green onion into a wide base saucepan or sauté pan. Pour the cooking oil and bring it to boil over medium high heat until the aromatics start turning light brown or until the oil temperature reaches about 170 C / 340 F when you use an instant thermometer. Depending on your stove type, it will be between 5 to 10 mins to reach this point. Another sign you could use is by splashing a small amount (about 2 tsp) of boiled oil over the Korean chili flakes. If the temperature is high enough, the chili flakes will make some sizzling bubbles. Turn the heat off.
Scoop out the aromatic vegetables using a slotted spoon or tongs and discard. Or strain them while pouring the oil over the chili flakes (from step 1) in a few batches. It will make small sizzling bubbles initially then die down as it cools. Stir around the chili flakes and oil to mix them well. Steep the chili flakes for 15 mins and allow it to bring out the flavor and color.
Filter the oil using a funnel and filter paper and transfer the chili oil into a sterilized glass jar. (Most Koreans do not keep the residual chili flakes after steeping but if you want to you can keep them. Just skip the filtering process.) To store, refrigerate the jar. Try to use the oil within 2 months. To use, give the oil a stir before using and always use a clean spoon to scoop it out.",en-US,5.0,,My Korean Kitchen,30,1 serving(s),3418 kcal,84 g,20 g,354 g,28 g,,1963 mg,11 g,1 serving,45 g,
4,Dalgona Coffee (Korean Whipped Coffee),Sue | My Korean Kitchen,https://mykoreankitchen.com/dalgona-coffee-whipped-coffee/,Korean Fusion,https://mykoreankitchen.com/wp-content/uploads/2020/04/1.-Dalgona-Coffee.jpg,"['1 Tbsp instant coffee ((I used Moccona vanilla praline and it’s super tasty!))', '1 Tbsp sugar', '1 Tbsp hot water', '3/4 cups milk (~ 1 cup, chilled or heated)', 'ice cubes ((optional))']","Combine instant coffee, sugar and hot water in a mixing bowl. Mix them well. Then using a handheld mixer (stand mixer or milk frother) whisk it on high speed until the coffee mixture forms a stiff peak (2-4 mins). If you don’t have any of these tools, you can whisk it manually by hand. It still works! Just whisk it about 400 times.
Add the ice cubes in a mug then pour over the milk. Scoop out the whipped coffee on top of the milk. Serve.",en-US,4.96,,My Korean Kitchen,5,1 serving(s),176 kcal,25 g,6 g,6 g,3 g,18 mg,81 mg,21 g,1 serving,,
5,Omurice (Omelette Rice),Sue,https://mykoreankitchen.com/omelet-rice-omurice/,Korean Fusion,https://mykoreankitchen.com/wp-content/uploads/2007/04/3.-Omurice-Rice-Recipe.jpg,"['1.5 Tbsp cooking oil ((I used rice bran oil))', '1 Tbsp plain flour', '5 Tbsp ketchup', '1 Tbsp soy sauce (, regular (kikkoman))', '1 Tbsp Tonkatsu sauce (or regular soy sauce)', '1 Tbsp honey (or brown sugar)', '3/4 cups water', '1/4 cups milk', 'Some cooking oil', '1/2 carrot ( (60g / 2 ounces), finely chopped)', '1/2 onion ((80g / 2.8 ounces), finely chopped)', '1/3 green bell peppers ((45g / 1.6 ounces), finely chopped)', '80 g smoked ham (2.8 ounces, (e.g Strasburg meat), finely diced or minced beef, pork or chicken)', '2 cups cooked rice ((short or medium grain), cooled)', '1 Tbsp ketchup ((or more if not serving with the demi-glace sauce above))', '1 Tbsp Worcestershire sauce', '1 Tbsp soy sauce (, regular (kikkoman))', '1 Tbsp rice wine ((mirin))', 'Some cooking oil', '6 eggs ((3 eggs per serving))', 'A pinch salt']","DEMI-GLACE SAUCE
Combine the sauce ingredients – ketchup, soy sauce, Tonkatsu sauce, honey, water and milk in a bowl or large measuring cup. Set aside.
Preheat a frying pan and add the cooking oil and flour. Cook over medium to medium high heat until the liquid turns dark brown. It takes about 5 to 7 minutes. Stir occasionally. Reduce the heat to low.
Pour the sauce in from step 1 and stir well. Bring up the heat and cook over medium low to medium heat until the sauce thickens (about 8-10 minutes). Stir often. Set aside.
FRIED RICE
Preheat a skillet and add some cooking oil. Stir fry carrot, onion, green bell pepper and smoked ham until all ingredients are cooked.
Add the rice and the rice seasoning and mix them well for 1 to 2 minutes.
Turn the heat off. Cover with foil or a lid to keep the rice warm while getting other ingredients ready.
When ready to serve, shape the rice in a small bowl to make mounds of rice. Place the serving plate on the bowl and flip. Remove the bowl.
TORNADO OMELETTE
Beat the eggs in a bowl. To give a smooth texture, sieve through the eggs. (This is also one of the key points for success as it makes the omelette turn smoothly). Add a pinch of salt.
Preheat a non-stick frying pan over medium high heat. (It should be heated well enough for the egg to bubble up when you pour it in.) Add some cooking oil and spread it all over the pan.
Pour the beaten egg onto the pan and cook it until the edge (about 3 mm / 0.12 inch) is cooked. But an easier telltale is when the omelette starts forming air bubbles in the middle of the pan. You should look for a bit larger sized bubbles.
Hold one wooden chopstick in each hand diagonally to yourself and push the egg from the edge towards the centre while maintaining about 4 to 5 cm (1.5-2 inch) gap between each chopstick, and start twirling your chopsticks in one direction. Holding diagonal instead of parallel to yourself will give you more room to turn the egg. Swap the chopstick holding hands in between twirling to be able to keep turning and to make the tornado egg smoothly. Cook the omelette until it’s about 95% cooked. (If the omelette is fully cooked, it’s hard to keep the tornado shape as it might break in the centre.)
Hold the chopsticks with one hand and slowly slide the omelette from the pan onto the shaped rice.
Pour the demi-glace sauce (or ketchup if you didn’t make the sauce) and serve.
OVAL SHAPE OMELETTE
Beat the eggs in a bowl. To give a smooth texture, sieve through the eggs. Add a pinch of salt.
Preheat a non-stick frying pan over medium high heat. Add some cooking oil.
Reduce the heat to medium and pour the beaten egg in the pan. Quickly spread the egg and make a thin, large, and round omelette.
Once the omelette is 85% cooked, place one serving of fried rice in the middle of the omelette and spread well.
Fold around the edge of the omelette toward the rice, providing a short blanket.
Slowly slide and flip the egg from the pan onto the serving plate. Or place the serving plate on the omelette rice and flip the pan. Ensure there’s no residual oil in the pan to avoid an accidental burn.
Use cooking foil (or cooking paper) to shape the omelette into an oval shape. Watch out as the omelette rice can be hot.
Pour the demi-glace sauce (or ketchup if you didn’t make the sauce) and serve.
ROUND SHAPE OMELETTE (EASIEST)
Beat the eggs in a bowl. To give a smooth texture, sieve through the eggs. Add a pinch of salt.
Preheat a non-stick frying pan over medium high heat. Add some cooking oil.
Pour the beaten egg in the pan. Quickly spread the egg and make a thin, large, and round omelette.
Once the omelette is fully cooked, slide it out onto a small bowl. Gently tuck in the egg following the shape of the bowl.
Place the fried rice on top of the omelette (from step 4). Push it gently to shape it firm.
Place the serving plate on top of the bowl. Flip the plate and remove the bowl.
Pour the demi-glace sauce (or ketchup if you didn’t make the sauce) and serve.",en-US,4.86,,My Korean Kitchen,45,2 serving(s),702 kcal,80 g,33 g,26 g,6 g,513 mg,2759 mg,26 g,1 serving,2 g,
6,Tuna Pancakes (Chamchijeon),Sue | My Korean Kitchen,https://mykoreankitchen.com/tuna-pancakes-chamchijeon/,Korean,https://mykoreankitchen.com/wp-content/uploads/2006/10/2.-Korean-Tuna-Pancakes.jpg,"['185 g canned tuna (, well-drained)', '2 large eggs (, beaten)', '30 g green onions ((1 ounce), finely chopped)', '45 g onion ((1.6 ounces), finely diced)', '20 g red bell peppers (or chili (0.7 ounces), seed removed & finely diced)', '20 g green bell peppers (or chili (0.7 ounces), seed removed & finely diced)', '1 Tbsp mayonnaise (, optional (I used Hellmann’s brand))', '2 tsp all purpose flour', '1/4 tsp fine sea salt', 'A few sprinkles ground black pepper', 'Some cooking oil (, I used rice bran oil)', '1 Tbsp soy sauce (, regular)', '1 Tbsp water', '1 Tbsp rice wine vinegar', '2 tsp sugar']","Make the dipping sauce by whisking all the dipping sauce ingredients in a small bowl. Set aside. Combine all the prepared main ingredients (excluding the oil) in a mixing bowl and mix them well.
Preheat a skillet over medium low heat and once heated add some cooking oil across the pan. Scoop out the tuna mixture with a spoon (heaped), and gently place it onto the pan (each spoonful mixture makes one pancake). Cook for 2-3 mins. Flip them over and cook another 2-3 mins, or until golden brown.You can also tell it is ready when no egg liquid seeps out when you gently press the mixture down with a spatula.Remove from the pan when both sides of the pancake are cooked. Repeat this until all the remaining mixture is used up. You may need to add more cooking oil between the batches.
Serve with the dipping sauce. Also with cooked rice and other Korean side dishes.",en-US,4.92,,My Korean Kitchen,20,10 serving(s),69 kcal,2 g,7 g,3 g,1 g,37 mg,246 mg,1 g,1 serving,1 g,
7,Pan Fried Korean Zucchini (Hobak Jeon),Sue,https://mykoreankitchen.com/pan-fried-zucchini/,Korean,https://mykoreankitchen.com/wp-content/uploads/2020/08/2.-Hobak-Jeon.jpg,"['1 Korean zucchini ((or summer squash), (185g / 7 ounces), thinly sliced (0.3 – 0.5cm / 0.2 inches))', '3 Tbsp all purpose flour ((rice flour or Korean pancake mix will work fine too.))', '2 eggs (, beaten)', '3/4 tsp fine sea salt (, divided into one 1/4 tsp lot and one 1/2 tsp lot)', 'Some cooking oil']","Place the sliced zucchini on a flat surface (I used a rimmed baking sheet). Sprinkle salt (1/4 tsp) around the zucchini evenly. Rest for about 5 mins. Gently wipe any excess moisture from the zucchini with kitchen paper.
Place the flour and remaining salt (1/2 tsp) in a freezer bag and add the zucchini. Shake the bag, while holding tightly the open end with one hand, ensuring the zucchini is evenly coated.
Take out the zucchini from the bag one by one, gently shake off excess flour, dunk them into a bowl of beaten egg. Coat both sides of the zucchini with the egg in batches.
Preheat a skillet over medium to medium low heat. Once heated, add some cooking oil and spread well. Gently place the zucchini and cook both sides until lightly golden brown.(It is important to cook the zucchini over medium to medium low to heat to avoid burning it. It will take about 3-4 mins to cook both sides but it will depend on the thickness of your zucchini. Flip them over halfway through. You may have to cook them in batches.) Transfer to a plate.
Serve with Korean pancake dipping sauce, cooked rice and other Korean side dishes.",en-US,5.0,,My Korean Kitchen,20,4 serving(s),62 kcal,6 g,5 g,2 g,1 g,82 mg,469 mg,1 g,1 serving,1 g,
8,Slow Cooker Korean Short Ribs,Sue | My Korean Kitchen,https://mykoreankitchen.com/slow-cooker-short-ribs/,Korean,https://mykoreankitchen.com/wp-content/uploads/2020/03/1.-Slow-Cooker-Korean-Short-Ribs.jpg,"['1.5 kg bone-in beef short ribs ((3.3 pounds))', '500 g baby potatoes ((18 ounces), rinsed)', '300 g carrots ((11 ounces), peeled & cut in medium size chunks)', 'green onions ((optional), thinly sliced)', 'toasted sesame seeds ((optional))', '1 red apple (or pear (Asian pear or Williams pear), (170 g / 6 ounces), cored & chopped)', '1/2 onion ((60 g / 2 ounces), peeled & chopped)', '1/2 cup beef stock', '1/2 cup soy sauce (, regular (kikkoman))', '1/4 cup brown sugar', '2 Tbsp honey', '2 Tbsp rice wine ((mirin))', '1 Tbsp minced garlic', '1 tsp sesame oil', '5 whole black peppercorns', '2 Tbsp corn starch ( (or potato starch))', '2 Tbsp water']","Rinse the bone-in short ribs under cold water, mainly around the bone area to remove any bone fragments. (If you have some time, you can soak in cold water for 10 mins while changing water a few times.) Gently pat down the ribs with some kitchen papers.
Pre heat a large skillet over medium high heat and place the ribs. Brown all sides for about 1 minute. Transfer them into the slow cooker crockpot as they finish.
Blend the sauce ingredients in a mixer or food processor until smooth. Pour over the meat. Add the baby potatoes and carrots. Close the lid and cook for 8 hours on low heat. (You could cook for 5 hours on high heat if you’re short on time, but I find that it results in less flavorful and less tender meat.)
30 mins prior to the end of the cooking time, make the starch slurry by combining the water with the starch flour. Whisk well and pour it into the slow cooker. Turn the heat to high and simmer for the remaining time.Alternatively, you can take out most of the sauce from the slow cooker after 8 hours of cooking. Then simmer the sauce over the stove on high heat, stirring, until it thickens. You may use the starch slurry to quicken the process. (My preferred method is thickening in the slow cooker as it’s less work and less clean up afterwards.)(Optional) Separate the fat using a fat separator or by storing it in the fridge for a few hours then scraping off the solidified fat. I don’t normally separate fat in the first serving, but if I’m eating it as a leftover, I remove the solidified fat as it’s quite convenient to remove.
Serve over rice. Garnish with green onions and/or toasted sesame seeds.",en-US,5.0,,My Korean Kitchen,505,6 serving(s),199 kcal,44 g,5 g,1 g,1 g,,1163 mg,22 g,1 serving,4 g,
9,Korean Ground Beef and Rice Bowls,Sue,https://mykoreankitchen.com/korean-ground-beef-rice-bowls/,Korean,https://mykoreankitchen.com/wp-content/uploads/2020/06/2.-Korean-Ground-Beef-And-Rice-Bowls.jpg,"['1/4 cup soy sauce (, regular)', '2 Tbsp brown sugar', '1.5 Tbsp rice wine', '1/2 Tbsp minced garlic', '1 tsp minced ginger', 'A few sprinkles ground black pepper', '1/2 Tbsp toasted sesame oil', 'Some cooking oil (, I used rice bran oil)', '500 g beef mince ((1.1 pound))', '1/2 Tbsp toasted sesame seeds (, garnish)', '2 stalk green onions (, thinly sliced)', '2 cups cooked rice', 'avocado (, thinly sliced)', 'cucumber (, thinly sliced)', 'pink radish (, thinly sliced)', 'broccoli (, steamed or pan fried)', 'asparagus (, pan fried)', 'bell peppers (, pan fried)', 'egg (, sunny side up)', 'kimchi (, chopped)', 'roasted seasoned seaweed (, crushed or shredded)', '2 Tbsp gochujang ((Korean chili paste))', '1 Tbsp toasted sesame oil', '1 Tbsp sugar', '1 Tbsp water', '1 Tbsp toasted sesame seeds', '1 tsp rice vinegar', '1 tsp minced garlic']","Combine the ground beef sauce in a medium size bowl and whisk well. Set aside. If using bibimbap sauce, combine all the sauce in a separate bowl and set aside.
Cook
In a well heated skillet, cook the ground beef over medium high heat until the meat mostly turns brown (about 3- 4 mins). Stir often while breaking clumps of the meat.
Pour and Simmer
Pour the ground beef sauce over the meat and simmer for 2-3 mins, while stirring occasionally. Add the sesame seeds and green onions. Stir around quickly. Remove from the heat.
Serve the cooked beef over a bed of cooked rice. (Optional) Top up with your choice of sides and drizzle over the bibimbap sauce.",en-US,5.0,,My Korean Kitchen,15,4 serving(s),551 kcal,37 g,26 g,32 g,11 g,89 mg,900 mg,10 g,1 serving,1 g,
