url,title,index,total_time,num_ingredients
https://mykoreankitchen.com/spicy-mayo-recipe/,Spicy gochujang mayo,183,2,5
https://mykoreankitchen.com/strawberry-milk/,Korean strawberry milk,184,10,4
https://mykoreankitchen.com/dakgangjeong-soy-garlic-fried-chicken/,Dakgangjeong - soy garlic fried chicken,185,40,23
https://mykoreankitchen.com/chili-oil-recipe/,Korean chili oil recipe,186,30,5
https://mykoreankitchen.com/dalgona-coffee-whipped-coffee/,Dalgona coffee (korean whipped coffee),187,5,5
https://mykoreankitchen.com/omelet-rice-omurice/,Omurice (omelette rice),188,45,21
https://mykoreankitchen.com/tuna-pancakes-chamchijeon/,Tuna pancakes (chamchijeon),189,20,15
https://mykoreankitchen.com/pan-fried-zucchini/,Pan fried korean zucchini (hobak jeon),190,20,5
https://mykoreankitchen.com/slow-cooker-short-ribs/,Slow cooker korean short ribs,191,120,17
https://mykoreankitchen.com/korean-ground-beef-rice-bowls/,Korean ground beef and rice bowls,192,15,28
https://mykoreankitchen.com/doenjang-jjigae/,Doenjang jjigae (korean soybean paste stew),193,25,16
https://mykoreankitchen.com/spicy-sweet-and-vinegary-noodles-bibim-guksu/,Bibim guksu (korean cold noodle salad),194,15,15
https://mykoreankitchen.com/galbitang-beef-short-rib-soup/,Galbitang (korean beef short rib soup),195,95,14
https://mykoreankitchen.com/nuclear-fire-noodle-fries/,Nuclear fire noodle fries,196,15,5
https://mykoreankitchen.com/kimchi-jjim-braised-kimchi/,Kimchi jjim (braised kimchi),197,70,14
https://mykoreankitchen.com/air-fryer-chicken-wings/,Air fryer korean chicken wings,198,25,28
https://mykoreankitchen.com/pickled-radishes/,Quick pickled radishes,199,8,5
https://mykoreankitchen.com/air-fryer-chickpeas/,Air fryer korean bbq chickpeas,200,50,9
https://mykoreankitchen.com/bean-sprout-rice-kongnamul-bap/,Kongnamul bap (soybean sprout rice),201,50,15
https://mykoreankitchen.com/gochujang-chicken/,Gochujang chicken recipe,202,17,14
https://mykoreankitchen.com/korean-style-tuna-cakes/,Gochujang mayo tuna patties,203,16,19
https://www.justonecookbook.com/pickled-ginger/,Gari (pickled sushi ginger),488,120,5
https://www.justonecookbook.com/korean-pancake/,Korean pancake,489,15,13
https://www.justonecookbook.com/pickled-cucumber/,Japanese pickled cucumbers,490,10,4
https://www.justonecookbook.com/takikomi-gohan/,Takikomi gohan (japanese mixed rice),491,80,12
https://www.justonecookbook.com/myoga-shiso-rice/,Myoga shiso rice,492,10,6
https://www.justonecookbook.com/pickled-lotus-root/,Pickled lotus root (su renkon),493,55,8
https://www.justonecookbook.com/maple-and-miso-glazed-roasted-carrots/,Maple and miso glazed roasted carrots,494,45,8
https://www.justonecookbook.com/simmered-koyadofu/,Simmered koyadofu,495,120,8
https://www.justonecookbook.com/tsukemono-shiozuke-salt-pickling/,Tsukemono – shiozuke (salt pickling),496,120,7
https://www.justonecookbook.com/kuri-kinton-candied-chestnuts-with-sweet-potatoes/,Kuri kinton (candied chestnuts & sweet potatoes),497,120,7
https://www.justonecookbook.com/simmered-kombu-tsukudani/,Kombu tsukudani (simmered kombu),498,40,10
https://www.justonecookbook.com/sweet-onion-takikomi-gohan/,Sweet onion takikomi gohan,499,70,7
https://www.justonecookbook.com/agedashi-tofu-2/,Agedashi tofu,231,30,10
https://www.justonecookbook.com/simmered-sweet-potatoes-with-lemon/,Simmered sweet potatoes with lemon,500,25,4
https://www.justonecookbook.com/tsukemono-amazuzuke-sweet-vinegar-pickling/,Amazuzuke (sweet vinegar pickling),501,50,8
https://www.justonecookbook.com/bean-sprout-namul/,Bean sprout salad,502,12,7
https://www.justonecookbook.com/miso-meat-sauce-niku-miso/,All-purpose miso meat sauce (niku miso),503,30,11
https://www.justonecookbook.com/quick-and-easy-tamagoyaki/,Quick and easy tamagoyaki,504,3,4
https://www.justonecookbook.com/pickled-tomatoes/,Pickled tomatoes,505,120,8
https://www.justonecookbook.com/spinach-and-bean-sprout-namul/,Spinach and bean sprout namul,506,15,7
https://www.justonecookbook.com/bitter-melon-salad/,Bitter melon salad,234,20,8
https://www.justonecookbook.com/kuromame-sweet-black-soybeans/,Kuromame (sweet black soybeans),507,120,6
https://www.justonecookbook.com/ham-flower/,Ham flower,508,5,2
https://www.justonecookbook.com/easy-orange-ginger-cranberry-sauce/,Easy orange ginger cranberry sauce,509,15,7
https://www.justonecookbook.com/tsukemono-misozuke-miso-pickling/,Tsukemono - misozuke (miso pickling),510,120,9
https://www.justonecookbook.com/homemade-chashu/,Chashu (japanese braised pork belly),511,120,16
https://www.justonecookbook.com/tamagoyaki-japanese-rolled-omelette/,Tamagoyaki (japanese rolled omelette),512,10,10
https://www.justonecookbook.com/sekihan-japanese-azuki-beans-rice/,Sekihan (japanese azuki beans & rice),513,120,6
https://www.justonecookbook.com/chikuzenni-simmered-chicken-and-vegetables/,Chikuzenni / nishime (simmered chicken and vegetables),514,90,21
https://www.justonecookbook.com/green-beans-with-yuzu-vinaigrette/,Green beans with yuzu vinaigrette,515,20,8
https://www.justonecookbook.com/pearl-balls-guest-post-by-weeknite-meals/,Pearl balls,516,40,9
https://www.justonecookbook.com/bamboo-rice-takenoko-gohan/,Bamboo rice (takenoko gohan),517,60,8
https://www.justonecookbook.com/simmered-bamboo-shoots/,Simmered bamboo shoots,518,30,7
https://www.justonecookbook.com/simmered-kabocha-squash/,Simmered kabocha squash (japanese pumpkin),519,75,8
https://www.justonecookbook.com/how-to-make-rice/,How to make rice in a rice cooker,520,60,13
https://www.justonecookbook.com/simmered-fried-tofu-and-greens/,Simmered fried tofu and greens,521,120,5
