title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
vindaloo paste,romain | glebekitchen,https://glebekitchen.com/vindaloo-paste/,Indian,https://glebekitchen.com/wp-content/uploads/2019/02/vindaloopastefront.jpg,"['15 kashmiri chilies', '1/4 cup garlic ginger paste', '1 tsp black pepper (coarse grind)', '2 shallots', '1/4 tsp cinnamon', '2 tsp paprika', '2 tsp cumin', '1 tbsp jaggery sugar (or brown sugar)', '4 tsp malt vinegar', '3 tbsp oil']","Seed the dried chilies. You will need to break them into pieces to do it. That's OK.
Pour really hot water over the chilies and leave to hydrate. You may need to drain and add a second batch of hot water. This takes up to an hour, depending on the chilies.
Combine all the ingredients in a small food processor. Pulse a few times to mix. Then puree until smooth.
If it won't go, add a splash of water. It takes a while to really puree. Be patient.",en-US,"{'servingSize': '1 cup', 'calories': '555 kcal', 'carbohydrateContent': '31 g', 'proteinContent': '3 g', 'fatContent': '44 g', 'saturatedFatContent': '3 g', 'sodiumContent': '43 mg', 'fiberContent': '6 g', 'sugarContent': '19 g'}",5.0,,glebe kitchen,65,1 serving(s)
beef rogan josh,romain | glebekitchen,https://glebekitchen.com/beef-rogan-josh/,Indian,https://glebekitchen.com/wp-content/uploads/2017/07/roganjoshfront.jpg,"['3 lbs beef ( - stew from the chuck is nice)', '1/2 cup vegetable oil', '2 large onions (- minced)', '1/4 cup garlic ginger paste ( - recipe link below)', '10 whole cloves', '10 whole green cardamom pods', '2 inch stick cinnamon bark', '2 bay leaves', 'the spice mix ( - below)', '5-6 Tbsp full fat greek yoghurt', '2 cups water', 'kosher salt ( - this is to taste. Start with about a big tsp and up it from there)', '10-12 cherry tomatoes ( - halved)', '1 Tbsp cumin', '2 tsp coriander', '2 tsp indian spice mix ( - recipe link below)', '1 tsp tandoori masala ( - available at any Indian grocery)', '2 tsp kashmiri mild chili powder ( - or 1/2 tsp cayenne with 1 1/2 tsp paprika)', '2 tsp paprika', '1 tsp kasoor methi ( - dried fenugreek leaves)', '1/2 tsp black pepper']","Pre-heat the oven to 325F.
Heat the oil in a dutch oven over medium heat.
Work in batches. Lightly brown the meat in batches. Don't crowd the meat. Leave a half inch around pieces. It doesn't have to be super brown like when making a good French stew but it does need to be brown. Set the beef aside.
If you need more oil add it now. Then add the onions to the same pot used to brown the beef. Cook until soft and well browned, about 10 minutes. Regulate the heat so the onions don't burn.
Reduce heat to medium low. Move the onions to the outer edges and add a splash of oil. Add the whole spices (cloves, cardamom, cinnamon and bay) and cook about 30 seconds.
Leaving the onions on the edge, add the spice mix. Cook for around 90 seconds, stirring constantly. You want enough oil to keep everything wet. If it looks dry, add a Tbsp or two of vegetable oil.
Mix in the garlic ginger paste and cook another 30 seconds or so.
Return the meat and accumulated juices and scrape up any browned bits in the bottom of the pot.
Now mix in the yoghurt one Tbsp at a time. Stir it in before adding the next one. I don't know why this is important but Madhur Jaffrey says so. I still do it. It has never gone wrong. Probably, it doesn't make any difference but, well, Madhur says so and who am I to differ.
Now add a big tsp of salt with enough water to almost cover the meat.
Cover and place in the pre-heated oven. Cook until the meat is tender, about 2-2 1/2 hours. Give it a stir every 30 minutes.
When the beef is tender remove the pot from the oven and place over medium low heat. If the curry is dry, add a bit of water. If it's wet, simmer uncovered to reduce. You want the sauce to be the consistency of heavy cream.
Let stand a couple minutes to allow the oil to separate. Spoon it off carefully. You should get nearly all your 1/2 cup of oil back. If you don't mind the calories though, leave some of it in the curry. That oil is loaded with spice flavour.
Adjust salt and add the cherry tomatoes. Simmer for about 5 minutes.
Serve with basmati rice.",en-US,"{'servingSize': '8 servings', 'calories': '593 kcal', 'carbohydrateContent': '7 g', 'proteinContent': '30 g', 'fatContent': '48 g', 'saturatedFatContent': '24 g', 'cholesterolContent': '122 mg', 'sodiumContent': '143 mg', 'fiberContent': '2 g', 'sugarContent': '2 g'}",4.67,,glebe kitchen,210,8 serving(s)
achari chicken curry - Indian hotel style,romain | glebekitchen,https://glebekitchen.com/achari-chicken-curry-indian-hotel-style/,Indian,https://glebekitchen.com/wp-content/uploads/2020/10/acharichickentopbowlserve.jpg,"['3 dried kashmiri chilies (stemmed and seeded.)', '2 tsp coriander seed', '1 tsp cumin seed', '1/2 tsp mustard seed', '1 tsp fennel seed', '1/4 tsp fenugreek seed', '1 1/2 tsp achari masala (- the ground spice. See above)', '1 tsp kashmiri chili powder', '1 tsp kasoor methi (- dried fenugreek leaves)', '1/4 tsp turmeric', '1/2 tsp kosher salt', '3 tbsp neutral oil (- mustard oil is more traditional. I like half mustard oil and half neutral (e.g. vegetable oil))', '1 tbsp garlic ginger paste (- recipe link below)', 'the spice mix from above', '2-3 finger hot (jwala) green chilies (cut into 1 inch pieces (optional and really depends what pickle you choose))', '1 cup Indian hotel curry gravy', '3 boneless, skinless chicken thighs (cut into 4 pieces each)', '2-3 tsp garlic pickle (- possibly more - see note below.)', '1/4 tsp naga pickle (- optional but so tasty. Even a 1/4 tsp will add real heat though so be careful.)', '1/4 cup chicken stock (- if needed.)']","Make the achari
Pre-heat a small skillet over medium-low heat.
Add the spices except the kashmiri chilies to the skillet.
Toast, shaking the pan, until they just start to get fragrant. This should take a two or three minutes. Add the kashmiri chilies and toast until the chilies start to colour. This happens fast so pay attention.
Let cool and grind to a powder with little chunks in it. Not super fine but not coarse either. Fine with little coarse bits in it. I should take a picture. I like a coffee grinder for this. The old ones with the blade work well. Not the best for coffee. Great for spices.
You won't need all of it so transfer it to a jar with a tight fitting lid and store in a cool, dark place so it's ready for next time.
Do your prep
Measure out your spice mix. Prep your chicken. Measure out a cup (237 ml) of Indian hotel curry gravy. Cut up your green chilies if using.
Make sure you have everything ready to go.
Make the achari chicken curry
Heat the oil in a medium sized frying pan until the oil just starts to shimmer.
Stir in the garlic ginger paste. Gently fry until the garlic ginger paste stops sputtering. This can get a little messy.
Turn your heat down to medium low and add your spice mix. Cook for about 30 seconds. You want to fry your spices in the oil. Don't skimp on the oil. Bad things happen if the spices stick and burn.
Add the green chilies if you are using them. Cook another 30 seconds or so.
Add the Indian hotel curry gravy. Stir it really well to get the oil to combine with the curry gravy. You want everything mixed together at this point. Bring to a simmer.
Add the chicken thigh pieces in a single layer. Nestle them down into the sauce. Cover and ccok about 5 minutes. Remove the cover, flip the chicken and recover. Cook until the chicken is done. Use an instant read thermometer if you have one. You are shooting for an internal temperature of 160F. It will get to 170F as the curry finishes cooking.
Add the garlic pickle (or whatever pickle you decide to use) and the optional naga pickle if using. Stir well to combine.
Look at the consistency. You have a decision to make. If the chicken threw a lot of liquid the sauce might be right. If not, add a tablespoon or two of chicken stock and mix it in. Look again. If you are happy with it, cover and simmer for 2 minutes. If it's still too thick, add a bit morestock. I've never added more than a 1/4 cup.
Achari chicken curry is great with rice and a chickpea curry if you are feeling really motivated.",en-US,"{'servingSize': '2 servings', 'calories': '589 kcal', 'carbohydrateContent': '16 g', 'proteinContent': '35 g', 'fatContent': '43 g', 'saturatedFatContent': '8 g', 'cholesterolContent': '161 mg', 'sodiumContent': '1253 mg', 'fiberContent': '5 g', 'sugarContent': '6 g'}",5.0,,glebe kitchen,40,2 serving(s)
indian restaurant hariyali chicken curry,romain | glebekitchen,https://glebekitchen.com/indian-restaurant-hariyali-chicken-curry/,Indian,https://glebekitchen.com/wp-content/uploads/2018/01/hariyalichickentop.jpg,"['1 tsp indian restaurant spice mix or curry powder ( - recipe link below)', '½ tsp kashmiri chili powder', '½ tsp kosher salt', '3 Tbsp oil', '2 green finger hot chilies (- sliced thinly into rings)', '1 Tbsp garlic/ginger paste ( - recipe link below)', '3 Tbsp mint coriander chutney ( - recipe link below)', '15 oz curry base ( - recipe link below)', '10-12 oz pre-cooked chicken']","Make the spice mix.
Heat your frying pan (don't use non-stick) briefly over medium heat. Add the oil.
When the oil starts to shimmer add garlic ginger paste and the green chili rings and cook, stirring constantly, until it stops sputtering.
Turn down the heat and add the spice mix. This is the critical step. Stir it constantly for 30 seconds. If it starts to darken lift the pan off the heat. You want the spice mix to cook in the oil but not burn.
Turn the heat up to medium high. This is also really important. The heat is what caramelizes the onion in the curry base and gives the curry it's Indian restaurant flavour. As you become more comfortable with this technique try pushing it.
Add 3 oz of curry base. Stir until bubbles form (little craters really), around 30 seconds. Think lively boil. Watch the edges of the pan. The curry can stick here. Sticking is OK. Just scrape it back into the base. Burning is bad.
Mix in the mint coriander chutney.
Now add 6 oz of curry base and stir briefly. Let it cook until the bubbles form again. This takes 1-2 minutes.
Add the rest of the curry base and let cook until the bubbles form.
Turn the heat down to low and add the pre-cooked chicken.
Let the curry simmer for about 5 minutes. If it gets too thick add a bit more curry base. Don't add water.
Garnish with a bit of red or green sliced chili if desired.",en-US,"{'servingSize': '2 servings', 'calories': '411 kcal', 'carbohydrateContent': '9 g', 'proteinContent': '30 g', 'fatContent': '26 g', 'saturatedFatContent': '3 g', 'cholesterolContent': '99 mg', 'sodiumContent': '1029 mg', 'fiberContent': '3 g', 'sugarContent': '1 g'}",5.0,,glebe kitchen,20,2 serving(s)
ceylon chicken curry,romain | glebekitchen,https://glebekitchen.com/ceylon-chicken-curry-indian-hotel-style/,Indian,https://glebekitchen.com/wp-content/uploads/2020/06/ceylonchickenhotelstylescenefront.jpg,"[""2 tsp Sri Lankan roasted curry powder (- Madras curry powder isn't the same but it will do in a pinch.)"", '1 1/2 tsp kashmiri chili powder', '1 /2 tsp kasoor methi', '1/2 tsp kosher salt (- a bit less if you use regular table salt)', '3 tbsp vegetable oil (- any neutral oil works)', '1 2"" piece cinnamon bark (- also called cassia bark)', '3 green cardamom pods', ""10 curry leaves (- no you don't have to count them. Around 10 is fine.)"", '1 tbsp garlic ginger paste', '2 green chilies (- jwala type finger hot green chilies cut in half lengthwise, seeded and into 1 inch pieces)', '1 cup Indian hotel curry gravy (- recipe link below)', '3 boneless, skinless chicken thighs (- cut into 3-4 pieces each)', '3 tbsp coconut milk', '1 tsp tamarind paste (Pure tamarind paste - not tamarind sauce)', '1 tsp brown sugar (or jaggery (optional))']","Do your prep
This goes fast. Be ready. Make your spice mix. Get your ingredients out and close to the stove.
Make the Ceylon chicken curry
Heat the oil in a medium frying pan until it just starts to shimmer.
Add the green cardamom, cassia bark and curry leaves. Cook about 30 seconds. You want to see little bubbles forming around your whole spices. It you don't get them right from the start heat your oil a little more next time. What you don't want to do is panic and crank the heat. You will just wind up burning things in the next step.
Stir in the garlic ginger paste and green chilies. Cook until the garlic ginger paste stops sputtering.
Turn your heat to medium low and add your spice mix. This is why you added a full 3 tablespoons of oil at the beginning. You want your spices to fry in the oil. Too little oil and the spices will stick or burn and you will be starting over.
Gently fry the spices in the oil, stirring constantly, for about 30 seconds. This is where magic happens. Volatile compounds in the spices will be released into the oil. And that is big flavour.
Turn the heat up to medium. Add the Indian hotel curry gravy. Bring to a simmer. Really stir it to get the oil to combine and cook for about a minute. You don't need it to fry hard like a regular restaurant curry. That's the beauty of hotel style. You already have that done. No need to make a mess of your stove.
Add the chicken in an even layer and cover the pan. After about 5 minutes flip the chicken pieces. Tongs are good for this. Can't beat a good set of restaurant tongs in the kitche. Cook until the chicken is just done.
The chicken should take around 8-12 minutes to cook through. It really depends on how large the chicken thigh pieces are. Best bet is to use an instant read thermometer and go for 170F.
Once the chicken is done, stir in the coconut milk and tamarind paste. Simmer for one minute.
The texture should be about right at this point. If it's too thick add a bit of water or chicken stock Not a lot. Probably a couple tablespoons max.
If it is too thin (chicken throws a fair bit of liquid as it cooks) just let the curry simmer uncovered for a minute or two.
Taste and decide if you fall in the slightly sweet camp. If you do add the sugar and stir. It will open up the flavours a bit. I like it.
Serve with rice or Indian flatbread. Or both!",en-US,"{'calories': '639 kcal', 'carbohydrateContent': '24 g', 'proteinContent': '35 g', 'fatContent': '45 g', 'saturatedFatContent': '14 g', 'cholesterolContent': '161 mg', 'sodiumContent': '1415 mg', 'fiberContent': '7 g', 'sugarContent': '11 g', 'servingSize': '1 serving'}",5.0,,glebe kitchen,30,2 serving(s)
lemon coriander chicken curry,glebe kitchen,https://glebekitchen.com/lemon-coriander-chicken-curry/,Indian,https://glebekitchen.com/wp-content/uploads/2016/11/lemoncorianderchicken.jpg,"['3 lbs chicken (on the bone, skinned)', '6 Tbsp vegetable oil', '3 Tbsp garlic ginger paste ( - recipe link below)', '4 green finger hot chilies (seeded and diced (or 2 jalapeños, seeded and diced))', '1 Tbsp coriander powder', '2 tsp cumin powder', '1 tsp turmeric', '1 tsp salt', '1/2 tsp kashmiri chili powder ( or 1/4 tsp cayenne)', '2 piece of cinnamon bark', '2 cups chopped cilantro leaves and stems (no roots)', '3 Tbsp fresh lemon juice', '3/4 cup chicken stock or water']","Heat the oil in a pot large enough to hold all the chicken. Dry the chicken with paper towel. Working in batches, brown all the chicken over moderately high heat. Don't over crowd the pan and let the chicken cook long enough to release naturally. This helps avoid sticking problems.
Remove the chicken and drain off all but 3 Tbsp of oil.
Make sure your heat is set to medium. Add the cinnamon stick. Let it cook about 20 seconds (you want to see little bubbles forming around it).
Next, stir in the garlic ginger paste until it stops sizzling, about 30 seconds.
Now add the green chilies and cook another 30 seconds.
Add the spices (coriander powder, cumin powder, turmeric, chili powder and salt) and cook 15-20 seconds
Mix in the chopped cilantro. Cook, stirring constantly for another 30-45 seconds.
Add the lemon juice and the chicken stock or water.
Return the chicken and accumulated juices, cover, and simmer until the chicken is cooked through - about 15 minutes.",en-US,"{'servingSize': '6 servings', 'calories': '380 kcal', 'carbohydrateContent': '5 g', 'proteinContent': '21 g', 'fatContent': '30 g', 'saturatedFatContent': '15 g', 'cholesterolContent': '81 mg', 'sodiumContent': '582 mg', 'fiberContent': '2 g', 'sugarContent': '1 g'}",5.0,,glebe kitchen,40,6 serving(s)
lamb vindaloo - restaurant style,romain | glebekitchen,https://glebekitchen.com/lamb-vindaloo-indian-restaurant-style/,Indian,https://glebekitchen.com/wp-content/uploads/2020/04/lambvindaloofrontbowl.jpg,"['8 dried kashmiri chilies', '1 large shallot (chopped)', '2 tbsp garlic ginger paste', '1 tsp paprika', '1 tsp cumin powder', '1/2 tsp ground black pepper', '2 tsp malt vinegar', '1 1/2 tbsp vegetable oil', '2 tbsp water (or a bit more - enough to get it to puree )', '2 tbsp vegetable oil', '2 dried kashmiri chilies', '1 tsp Indian restaurant spice mix ( - recipe link below)', '1 tsp kashmiri chili powder', '1 tsp kasoor methi (- dried fenugreek leaves)', '1/2 tsp kosher salt', 'all the vindaloo paste', '1 tbsp tomato paste (diluted in 2 tbsp water)', '15 oz curry base (- recipe link in the notes)', '1 tsp tamarind paste', '1 tsp jaggery sugar (- can substitute brown sugar)', '1/2 tsp worcestershire sauce (- seriously, it really adds a little something)', '12 oz lamb stew (Cut into 1 inch cubes and pre-cooked (see note). I prefer shoulder for this if you can get it)']","Make the vindaloo paste
Stem and seed the kashmiri chilies (not the ones in the curry - just the ones in the paste).
Soak your kashmiri chilies in hot, hot water for a few minutes. Drain and repeat. Repeat again. You may not need the third soak. You want them hydrated. Soft.
Combine all the ingredients in a mini food processor or your blender.
Puree. It will probably fight you. Scrape it down into the bowl try again. If that doesn't work add a bit more water and try again. You don't want a ton of water so add a bit at time. If it still doesn't go, add a bit more. Until it does go. Super annoying. I know.
Make your lamb vindaloo
Do your prep. The vindaloo paste is ready to go, right? You've pre-cooked your lamb? Combine the Indian restaurant spice mix, kashmiri chili powder, kasoor methi and salt in a small bowl. Preheat your curry base. Dilute the tomato paste. Now you're good to go.
Heat your frying pan (don't use non-stick) briefly over medium heat. Add the oil. It's ready when the oil just starts to shimmer. You may notice I'm using less oil that usual. That's because there's some in the paste as well.
Add the Kashmiri chilies and cook for about 10 seconds. Flip them and cook another 10 seconds. You should see little bubbles form around the chili. You want it toasted. Not burned. Be careful.
Turn down the heat and add the combined spice mix, kashmiri chili powder, kasoor methi and salt. This is the critical step. Stir it constantly for 30 seconds. If it starts to darken lift the pan off the heat. You want the spice mix to cook in the oil but not burn. If your spices burn start again. It can't be saved.
Add the vindaloo paste. Fry, stirring constantly, until it starts to darken. This should take about 2 to 3 minutes.
Turn the heat up to medium high. This is important. The Maillard reaction makes this work. Google Maillard if you don't know what I'm talking about. It gives curry it's Indian restaurant flavour. Add the diluted tomato paste and stir until bubbles form. This takes around 30 seconds to one minute depending on the heat.
Add 3 oz of curry base. Stir until bubbles form, around 60 seconds. It's like a lively boil except the curry base is frying in the oil.
Now add 6 oz of curry base and stir briefly. Let it cook until the bubbles form again. Let it cook about 2 minutes.
Add the rest of the curry base and let cook until the bubbles form. Stir in the tamarind paste, sugar and worcestershire sauce. Turn the heat down to low and add the pre-cooked lamb.
Let the curry simmer for about 5 minutes. If it gets too thick add a bit more curry base. Do not add water.
Garnish with cilantro and serve with rice or Indian flat bread and a good dal on the side.",en-US,"{'servingSize': '2 servings', 'calories': '533 kcal', 'carbohydrateContent': '18 g', 'proteinContent': '36 g', 'fatContent': '34 g', 'saturatedFatContent': '23 g', 'cholesterolContent': '111 mg', 'sodiumContent': '975 mg', 'fiberContent': '4 g', 'sugarContent': '7 g'}",4.84,,glebe kitchen,95,2 serving(s)
kari ayam - malaysian curry chicken,romain | glebekitchen,https://glebekitchen.com/kari-ayam-malaysian-curry-chicken/,Malaysian,https://glebekitchen.com/wp-content/uploads/2019/08/kariayambowlwithricetopclose.jpg,"['8 chicken thighs (or a mix of drumsticks and thighs)', '1 star anise', '2 inch cinnamon bark ((cassia))', '2 potatoes (coarsely chopped (yukon gold works well))', '1 stalk lemongrass', '5 sprigs fresh curry leaves ((leaves removed from stems, stems discarded))', '2 tbsp fish sauce', '2 cups coconut milk', '4 tbsp neutral oil ((e.g. vegetable or corn oil))', '3 large shallots', '4 cloves garlic', '2 inch ginger root', '5 tbsp malaysian curry powder', '0-2 tsp kashmiri chili powder (depending on your spice tolerance (see note))', '3 tbsp neutral oil (plus enough water to puree the paste)']","Make the curry paste
Combine the shallots, ginger, garlic, Malaysian curry powder, kashmiri chili powder and oil in a blender.
Add a couple tablespoons of water. Puree. If it won't go add more water a tablespoon at a time until it does. In my blender it takes around 5 tablespoons of water. Every blender is different.
Cook your potatoes
Cook the potatoes in salted water until just barely done. They will cook a little longer in the curry. Reserve one cup of the cooking water. Set the potatoes aside.
Malaysian curry chicken
Heat the remaining 4 tablespoons of oil in a pot large enough to hold the final curry over medium low heat. When the oil is hot add the cinnamon and star anise. Let cook for 15-20 seconds.
Add the curry paste. Cook the curry paste, stirring occasionally, until the oil separates. Cook another two or three minutes after that. This should take about 10 minutes total. You don't want to skip this. Frying the paste cooks the raw spice flavour out. Smooths the flavours out.
Add the chicken and stir to combine. Cook for a minute or two. You aren't trying to brown the chicken here.
Add 1/2 cup of the reserved potato cooking water. Stir, scraping up any bits on the bottom until it's pretty well combined.
Add the coconut milk, fish sauce and curry leaves. Stir to combine.
Slip in the lemongrass stalk and bring to a simmer. Cover. Cook for 20 minutes.
Add the potatoes. Stir to combine and simmer until the chicken is done. This takes another 10-15 minutes.
Serve with jasmine rice and a flat bread like roti or parathas.",en-US,{},4.43,,glebe kitchen,70,4 serving(s)
indian spiced chicken wings with tamarind dipping sauce,romain | glebekitchen,https://glebekitchen.com/indian-spiced-chicken-wings-with-tamarind-dipping-sauce/,Indian,https://glebekitchen.com/wp-content/uploads/2017/09/indianspicedwingsfront-1.jpg,"['2 tsp turmeric', '1 tsp mild kashmiri chili powder ( - or 1/4 tsp cayenne)', '1 Tbsp cumin powder', '1 Tbsp coriander powder', '2 tsp kosher salt', '1/2 tsp granulated garlic powder', '1/4 tsp ginger powder', '1 Tbsp paprika', '3 lbs split chicken wings ( - tips saved for stock)', 'Enough vegetable oil to coat the wings', 'Fresh lime to drizzle over the wings', '2/3 cup water', '1 Tbsp tamarind paste ( - available at any Asian grocery store)', '1/2 cup brown sugar', '1/4 tsp ginger powder', '1/4 tsp cumin powder', '1/4 tsp Kashmiri chili powder']","Indian spiced chicken wings
Combine the turmeric, chili powder, cumin, coriander, salt, granulated garlic powder, ginger powder and paprika in a small bowl. This is your spice mix.
Toss the wings in enough oil to coat. You don't need to drown them but you do need enough to coat.
Sprinkle the wings with the spice mix and toss.
Prepare your grill for medium-high indirect heat. As always, I prefer charcoal for the flavour.
Grill the wings for 10 minutes then flip the wings. Cook the wings for about another 10 minutes. They should be crispy but not dry so be careful not to overcook them.
If you want some grill marks or char, cook them quickly over direct heat to finish. Don't try to cook them over direct heat all at once. That's a good way to end up with burned wings. 5-6 at a time is a good pace.
Drizzle them with fresh squeezed lime juice (this is key for everything to come together) and serve with tamarind dipping sauce if you want.
Tamarind dipping sauce
Combine all the ingredients in a small, non-reactive saucepan.
Simmer until reduced by about half. This takes around 15-20 minutes. You can do this while the wings are grilling.
Let cool slightly and serve.",en-US,"{'servingSize': '6 servings', 'calories': '363 kcal', 'carbohydrateContent': '22 g', 'proteinContent': '23 g', 'fatContent': '20 g', 'saturatedFatContent': '5 g', 'cholesterolContent': '94 mg', 'sodiumContent': '884 mg', 'fiberContent': '1 g', 'sugarContent': '19 g'}",4.0,,glebe kitchen,40,6 serving(s)
Gobi Manchurian,romain | glebekitchen,https://glebekitchen.com/gobi-manchurian-indian-cauliflower-wings/,Indian,https://glebekitchen.com/wp-content/uploads/2018/12/gobimanchurianfronthigh.jpg,"['3/4 cup all purpose flour', '1/4 cup corn starch', '2 green chilies ( - finely chopped)', '2 tsp garlic ginger paste', '1/2 tsp kashmiri chili powder', '1/2 tsp black pepper', '1 tsp kosher salt', '3/4 cup water (plus a couple tablespoons)', '3 cups cauliflower florets (- not too big)', '3 tbsp vegetable or other neutral oil', '1 tbsp garlic ginger paste', '2 green chilies (seeded and chopped)', '1/2 red pepper (chopped)', '1/4 onion (chopped)', '2 tsp soy sauce', '2 tbsp chili sauce (- This is the spicy ketchup stuff. I use Sri Lankan)', '2 tsp rice vinegar', '1/4 cup water', '1/4 tsp kosher salt (to taste)', '1 tbsp corn starch (dissolved in 1/4 cup water - you will not need all of it.)', 'oil (to deep fry)']","Parboil the cauliflower
Bring enough water to cover the cauliflower to a boil. Add some salt. Like you were making pasta. Cook the cauliflower for 3-4 minutes. You want it just barely tender. Remove from the water and set aside to cool.
Make the batter
Combine all the batter ingredients except the water. Stir to mix thoroughly.
Add 3/4 cup water and mix to create a smooth batter. I like the batter a little thin so I add a couple extra tablespoons of water. You want the cauliflower coated with batter. You don't want them to turn out like sweet and sour chicken balls in a bad Chinese restaurant. All batter and no filling is not good.
Make the sauce
Pre-heat a frying pan over medium high heat. Add the oil, red pepper and onion. Fry aggressively. You want the peppers to blister a bit if you can. This is taking a page out of the jalfrezi playbook. A little bit smoky taste adds a nice touch. You are cooking them until the peppers are soft and the onions start to char a bit. Add the green chilies towards the end. Maybe the last minute or so.
Turn the heat down to medium and add the garlic ginger paste. Stir until it stops spluttering - about 30 seconds.
Mix in the soy, rice wine vinegar and chili sauce. Stir to combine. Add 1/4 cup water (not the water with the cornstarch) and bring to a simmer.
At this point you need to decide how sticky you want the sauce. I usually add about a tablespoon of the cornstarch water mix. That works out to a little less than a teaspoon of cornstarch. If you want really thick and gloppy add more.
Add about a tablespoon of the cornstarch mixture. Bring to a simmer. Now decide if that works for you. If not add a bit more. Do not add it all. You will make glue.
Taste your sauce for salt. It probably needs about 1/4 tsp.
Get ready to deep fry
Heat enough oil to deep fry (about 3 inches deep) in a large pot. A dutch oven works well. Pre-heat the oil to 335-350F. Use a candy/frying thermometer.
Cook the cauliflower
Mix the cauliflower with the batter. Be gentle. Add about half the cauliflower to the oil. Regulate the heat to try to keep it around 325-350F.
The cauliflower is done before it goes into the oil so you are really just cooking the batter. Remove the cauliflower when it gets golden brown. Place it on a wire rack on a cookie sheet.
Repeat with the other half of the battered cauliflower.
At this point stop and taste one of the fritters. Decide if you just want to stop here next time. Serve it up with a little tamarind chutney. I really like this for an appetizer.
Finish it off
Re-heat your sauce. Add the cauliflower fritters and toss to combine.
Garnish with green onions (more traditional) or little bits of green chili (tastier). Serve some lemon wedges along side if you want a bit more tang.",en-US,"{'servingSize': '4 servings', 'calories': '264 kcal', 'carbohydrateContent': '37 g', 'proteinContent': '4 g', 'fatContent': '10 g', 'saturatedFatContent': '8 g', 'sodiumContent': '1180 mg', 'fiberContent': '4 g', 'sugarContent': '4 g'}",4.67,,glebe kitchen,40,4 serving(s)
