title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
miso chicken with maple and ginger,romain | glebekitchen,https://glebekitchen.com/miso-chicken-with-maple-and-ginger/,Japanese,https://glebekitchen.com/wp-content/uploads/2018/06/misogingerchickenfrontlow.jpg,"['4 chicken breasts (boneless but with the skin)', '3 tbsp white miso (- look for shiro miso)', '2 tbsp sake', '2 tbsp mirin', '1 tbsp maple syrup', '1 tbsp vegetable oil', '2 tsp sesame oil', '1 tsp ginger (grated. A micro-plane works well.)', 'sesame seeds, chives or green onions to garnish']","Combine the miso, sake, mirin, maple syrup, sesame oil and ginger. Stir to combine.
Pour the marinade over the chicken and refrigerate at least one hour. You can go up to 8 hours. There is no acid in the marinade so there's no issue with the chicken cooking (think ceviche). Reserve the marinade when you are done marinating the chicken. Don't throw it out. This is important.
Pre-heat your oven to 375F.
Remove the chicken from the marinade and place into a dish that can go from the oven to the stove-top. You don't want a pan that is much bigger than the chicken. A frying pan with heat resistant handles is great for this.
Roast until the internal temperature of the chicken reaches 160F. Remove the chicken from the pan and set aside.
Place the frying pan (or whatever you are using) over medium heat. When it starts to bubble stir up any browned bits in the pan. Add the reserved marinade and bring to a lively simmer. This kills any bacteria so make sure you see bubbles in the pan.
If your sauce seems dry add a little drizzle of chicken stock. You don't get a lot of sauce here. It's just a drizzle so don't go crazy.
To serve, slice the chicken and drizzle the sauce overtop. Garnish with sesame seeds and chives or green onions.",en-US,"{'servingSize': '4 servings', 'calories': '368 kcal', 'carbohydrateContent': '10 g', 'proteinContent': '49 g', 'fatContent': '12 g', 'saturatedFatContent': '4 g', 'cholesterolContent': '144 mg', 'sodiumContent': '803 mg', 'sugarContent': '5 g'}",5.0,,glebe kitchen,90,4 serving(s)
tonkotsu ramen,romain | glebekitchen,https://glebekitchen.com/tonkotsu-ramen-home/,Japanese,https://glebekitchen.com/wp-content/uploads/2017/04/tonkotsuramenfront.jpg,"['8 cups tonkotsu pork broth ( - recipe link below)', '12 oz good quality dried ramen noodles', '4 large or extra large eggs', '2-3 oz enoki or other mushrooms', 'thinly sliced green onions', '2 lb pork belly ( - rolled and tied)', '1/4 cup soy sauce', '1/2 cup sake', '1/2 cup mirin ( - sweet Japanese wine)', '1/4 cup sugar', '2-3 cloves garlic ( - left whole)', '2 green onions ( - coarsely chopped)', '2 slices bacon ( - use good quality bacon here)', '1/4 cup soy sauce', '2 Tbsp mirin', '2 Tbsp sake', '4 Tbsp shiro miso', '1/2 cup shiro miso', '1/4 cup sake', '1/4 cup mirin', 'pinch shichimi togarashi ((optional))', '1-2 tsp kosher salt ( - depending on how salty you like your ramen.)']","Chashu pork belly
Combine the soy, sake, mirin, sugar, garlic and green onions in a ziploc bag large enough to hold the pork belly. Stick a straw in the bag and seal the ziploc bag up against it (so the straw is the only opening). Suck as much of the air out as you can and seal.
Sous vide the pork for 10-11 hours at 170F.
Remove pork from the ziploc bag. Discard the bag and marinade.
Let the chashu pork belly cool completely.
Slice across the chashu pork (so you get bacon like slices) - into 8-12 slices about 1/8 to 3/16 inches thick. Reserve. You won't need all the pork for 4 servings.
Soy bacon tare
Combine all the ingredients in a small sauce pan. Simmer at the lowest setting for about an hour. Top up with a bit of chicken stock if needed.
Remove the bacon.
Miso tare
Combine all ingredients in a small sauce pan and simmer at the lowest setting for about 5 minutes.
Medium boiled eggs
Bring enough water to cover the eggs to a boil. If you have a way to prick the eggshell do it. Boil large eggs for 6 minutes 30 seconds. If using extra large eggs boil them for 7 minutes 30 seconds. You may have to adjust your times slightly depending on the exact size of your eggs but this should get you pretty close.
Submerge the eggs in cold or ice water to chill. This stops the egg yolks from continuing to set up. Peel. Cut in half right before you serve your tonkotsu ramen.
Assemble the tonkotsu ramen
Boil the ramen noodles in plenty of water as directed by the packaging. If there's no translation on the packaging usually its 4 minutes. You don't need to salt the water.
Cook the mushrooms along side the noodles - you just want them softened.
Gently fry the chashu pork in a non-stick skillet until lightly browned.
Place 1/4 of whichever tare you are using in the bottom of four bowls.
Ladle in about 1/2 cup of the tonkotsu broth into each of the bowls and stir to mix.
Add the noodles. Pour in another 1 1/2 cups of the tonkotsu broth per bowl.
Top with the egg, mushrooms, pork and green onions.",en-US,"{'servingSize': '4 servings', 'calories': '1262 kcal', 'carbohydrateContent': '108 g', 'proteinContent': '33 g', 'fatContent': '71 g', 'saturatedFatContent': '25 g', 'cholesterolContent': '252 mg', 'sodiumContent': '2803 mg', 'fiberContent': '4 g', 'sugarContent': '28 g'}",4.88,,glebe kitchen,750,4 serving(s)
garlic ginger grilled chicken,romain | glebekitchen,https://glebekitchen.com/garlic-ginger-grilled-chicken/,Japanese,https://glebekitchen.com/wp-content/uploads/2017/07/garlicgingergrilledchickentop.jpg,"['1/2 cup soy sauce', '2 Tbsp sake', '2 Tbsp grated ginger ( - use a microplane)', '3 cloves garlic ( - again a microplane works great)', '2 tsp asian hot sauce - Korean gochujang or Sriracha', '2 Tbsp brown sugar', '1 chicken cut into pieces ( - or halved - whatever you like)']","Combine all the ingredients except the chicken and stir well.
Place the chicken pieces on a baking sheet (something that can hold all the chicken in one layer) and pour the marinade over the chicken.
Flip the chicken every ten minutes. Do this 3 or 4 times.
Remove the chicken from the pan.
Carefully pour the marinade into a small sauce pan and bring to a boil. You are sterilizing the marinade here so don't skip this step...
Prepare your grill. If using charcoal (that is way better) build a two stage fire. Medium on one half and low on the other. If using gas just use the knobs to set up the same idea. It won't be as tasty but it will still be good.
Grill the chicken over direct medium heat skin side down for about two minutes. There is sugar in the marinade so it will burn. Watch it closely.
Flip the chicken and move it to the low side of the grill. After 10 minutes baste the chicken with the boiled marinade. Repeat this again after another 10 minutes.
Cook until the internal temperature reaches 160F - somewhere around 25-35 minutes depending on the size of the chicken. Remove from the grill and let rest 5 minutes.
Carve if needed. Serve. Enjoy.",en-US,"{'servingSize': '4 servings', 'calories': '524 kcal', 'carbohydrateContent': '9 g', 'proteinContent': '43 g', 'fatContent': '32 g', 'saturatedFatContent': '9 g', 'cholesterolContent': '163 mg', 'sodiumContent': '1838 mg', 'sugarContent': '6 g'}",5.0,,glebe kitchen,70,4 serving(s)
tonkotsu ramen broth at home,romain | glebekitchen,https://glebekitchen.com/tonkotsu-ramen-broth-home/,Japanese,https://glebekitchen.com/wp-content/uploads/2017/04/tonkotsubrothtop.jpg,"['6 lbs pork bones (with a little meat on them. Pork neck bones work well.)', '4 oz white mushrooms (sliced)', '1 onion (peeled and halved)']","Place the pork bones in a large stock pot and cover with cold water.
Bring to a rolling boil over medium high heat. At this point a huge mess of scum will form.
Remove from heat. Dump the water and carefully rinse all the bones under cold running water.
Return the bones to the stock pot. Cover the bones with cold water and bring to a rolling boil.
Add the mushroom and onion and maintain a rolling boil for 12 hours, replenishing the water along the way. You want to keep the bones under water the whole time. It's best to cover the pot for this or you'll be adding water every 30 minutes.
After 12 hours, remove the stock from the heat and cool slightly. Remove the bones with a slotted spoon and strain the stock.
The stock will keep in the refrigerator for 2-3 days or can be frozen at this point.
The broth is flavoured by the tare of your choice. There are two good one's in the tonkotsu ramen recipe.",en-US,"{'servingSize': '4 servings', 'calories': '8 kcal', 'carbohydrateContent': '1 g', 'sodiumContent': '1 mg'}",4.59,,glebe kitchen,750,8 serving(s)
Japanese chicken curry,romain | glebekitchen,https://glebekitchen.com/japanese-chicken-curry-curry-rice/,Japanese,https://glebekitchen.com/wp-content/uploads/2019/10/japanesechickencurrytablesceneclose.jpg,"['1 lb chicken thighs (boneless, skinless and cut into bite size pieces)', '1 large onion (about 8 oz sliced)', '8 oz carrots (cut rangiri style (see above) if you want )', '12 oz waxy potatoes (cut into bite size chunks)', '6 tbsp butter (total)', '2 cloves garlic (crushed)', '1/2 inch piece of fresh ginger (grated)', '4 cups chicken stock (low or no sodium or really plain homemade (just chicken and water - no fancy aromatics))', '3 tbsp Japanese curry powder (I use S&B brand)', '1 tsp garam masala', '4 tbsp flour', '2 tsp salt (plus more to taste)', '1-2 tbsp tonkotsu sauce']","Prep your vegetables. Slice the onion into 1/8 inch slices. Cut the onion in half from the stem to the root. Peel. Cut the stem end off. Now cut slices moving towards the stem end. You are cutting onion half moons.
Cut up the carrots, potatoes and chicken. You want bite size pieces.
Heat a pot large enough to hold all the ingredients over medium low heat. Add 2 tablespoons of butter. Let melt and then add the onions and the salt. Cook the onions for about 5 minutes stirring occasionally. You are going for soft and translucent. You don't want to let the onions brown.
Add the carrots, garlic and ginger (or 1 tbsp of garlic ginger paste if you stock it) and cook another 2 minutes.
Add the stock. Stir and bring to a simmer. Let cook 10 minutes. Set a timer. Makes things easy.
Add the potatoes. Cook another 15 minutes. Use your timer. Check the potatoes. They should be close to done. Depends on how big the pieces were. If they aren't starting to soften cook them until they do.
Add the chicken. Cook 10 minutes.
While the chicken cooks make the curry roux.
Heat the remaining 4 tablespoons of butter in a small sauce pan over medium low heat. Add the curry powder and garam masala and cook for about 30-45 seconds. Add the flour and stir to combine. You want all the flour coated with fat. If it's really dry add a bit of vegetable oil.
Cook the flour/spice mixture over medium low heat for about 2 minutes. This is your roux.
Now add a couple tablespoons of broth from the simmering curry. Stir to combine. It will make an ungodly looking mess. Goop. Don't worry. Add another couple tablespoons of broth and stir. Repeat that a couple more times.
Now add around 1/2 cup of broth and stir to combine. Add another 1/2 cup or so and stir. You sould be getting to the point where you have a really thick but smooth paste. Curry paste. It's better than it sounds. It's actually a variant of veloute which is a variant on bechamel. There's some cooking theory in this recipe...
10-12 minutes have gone by. Check the chicken. It should be done or at least close. Depends on how lively your simmer is though. Use an instant read thermometer. Safety first. You want it read around 155-160F at this point. The thighs are cooked at 170F but you can go a little higher. That's the nice thing about dark meat. It is forgiving.
Add the curry veloute (fancy way to say the curry paste) to the curry. Stir to combine. Bring to a simmer. The chicken should be done. Check it. If it's not cook it for another few minutes.
Taste. At this point the flavour profile will be similar to the cubes. Adjust salt. Now add one tablespoon of tonkotsu sauce. Taste again. This will add a hint of sweetness as well as that secret Japanese curry flavour. If you like it stop now. If you want more fruit and sugar add another tablespoon. I like it between one and two tablespoons. If you want big fruit taste add another tablespoon. I've never gone beyond that so I don't know if more is better. Three is too sweet for my taste.",en-US,"{'calories': '418.35 kcal', 'carbohydrateContent': '35.44 g', 'proteinContent': '22.14 g', 'fatContent': '22.35 g', 'saturatedFatContent': '12.11 g', 'cholesterolContent': '109.79 mg', 'sodiumContent': '1536.84 mg', 'fiberContent': '5.62 g', 'sugarContent': '6.68 g', 'servingSize': '4 servings'}",5.0,,glebe kitchen,60,4 serving(s)
chicken karaage,romain | glebekitchen,https://glebekitchen.com/chicken-karaage-japanese-fried-chicken/,Japanese,https://glebekitchen.com/wp-content/uploads/2018/11/karaagechickendip-1.jpg,"['8 boneless chicken thighs with the skin on (- Seriously. Use dark meat with skin)', '2 cloves garlic (crushed)', '2-3 tsp ginger (grated (a microplane works well))', '4 tbsp sake', '4 tbsp soy sauce', '2 tbsp mirin', '1/2 tsp kosher salt', '1/2 cup potato starch (- enough to coat the chicken)', 'oil (to deep fry)', 'lemon and Japanese mayo to serve']","Cut each chicken thigh into 3-4 pieces. You are going for large bite sized pieces.
Mix the sake, soy, mirin, salt, ginger and garlic in with the chicken. Let sit 15-20 minutes minimum. Up to an hour is OK.
Individually dust the chicken pieces with the potato starch. Don't go overboard. Don't double dredge. It will be tough. You really want a light hand here. Set chicken on a rack on a cookie sheet until you are ready to fry.
Pre-heat the oil in a heavy frying pan. A nice large cast iron pan works well here. Go for about 1 inch of oil in the pan. Use a candy thermometer. You want your oil at 340-350F when the chicken goes in. Regulate your heat to try to keep it in the range while the chicken cooks if you can.
A word of caution here. Don't add a bunch of chicken at the same time. You run the risk of the oil bubbling up over the edge of your pan. That's really bad. Dangerous. Be careful. Cook smart.
Working in batches, deep fry the chicken until it reaches an internal temperature of 170F. Get an instant read thermometer if you don't have one. Instant read thermometers are how you get consistent results.
Once the first batch of chicken is done, set it on paper towels on a plate. Repeat until all the chicken is cooked.
Serve with fresh lemon and optionally Japanese (kewpie) mayonnaise. Kewpie mayo is not the same as regular mayo. You can also sprinkle a bit of shichimi togarashi on it if you want a bit more zing. Green onions make a nice garnish.",en-US,"{'servingSize': '4 servings', 'calories': '612 kcal', 'carbohydrateContent': '23 g', 'proteinContent': '40 g', 'fatContent': '37 g', 'saturatedFatContent': '10 g', 'cholesterolContent': '221 mg', 'sodiumContent': '1546 mg', 'fiberContent': '1 g', 'sugarContent': '3 g'}",5.0,,glebe kitchen,75,4 serving(s)
Curry chicken ramen,romain | glebekitchen,https://glebekitchen.com/curry-chicken-ramen/,Japanese,https://glebekitchen.com/wp-content/uploads/2020/11/currychickenramentopbowl.jpg,"['3 boneless chicken thighs ( - with the skin left on. )', 'salt (to season the chicken)', '3 1/2 cups no sodium chicken broth (- homemade is always a nice touch)', '2 large eggs ( - you really want fresh eggs here)', '2 Japanese curry cubes ( - Golden Curry seems to be a pretty popular brand)', '8 oz fresh ramen noodles', 'a bit of oil (to rub on the chicken)', 'green onion and sesame seeds to garnish']","Put a big pot of water on to boil to cook the noodles. Pre-heat your oven to 375F. Put an ovenproof skillet large enough to hold the chicken in the oven to pre-heat.
Medium boiled eggs
Gently lower the eggs into the boiling water (the water for the noodles) and cook for 6 1/2 minutes for large eggs. 7 1/2 minutes for extra large eggs.
After 6 1/2 (or 7 1/2 depending on the size of the eggs) minutes place the eggs in a bowl of ice water to cool. You want them to cool quickly to stop the yolks from hardening.
Peel the eggs and set aside.
Cook the chicken
Rub the chicken with a bit of vegetable oil and season with salt.
Remove the skillet from the oven. Be careful. The handle is hot. Putting a bar towel on the handle to remind you is never a bad idea. This is one burn you can live without.
Place the chicken, skin side up, in the skillet and return to the oven.
Cook until the chicken reaches an internal temperature of about 170F. This takes 12-15 minutes. Remember - that handle is hot.
Flip the chicken so the skin side is down and place the pan over medium heat. Fry about a minute. You just want the skin to crisp up and turn golden. Remove the chicken from the pan and tent with foil. Set aside.
Spoon off the fat. Leave the darker liquid and any fond in the pan. That stuff is serious flavour.
Make the broth
Deglaze the pan with a bit of chicken stock. Scrape up any those little bits in the bottom of the pan. Add about two cups of stock. Bring to a simmer.
Place the cubes in the stock, remove from the heat and cover. Let it sit for 5 minutes.
Uncover and look. The cubes should be melted at this point. Stir them into the stock. It isn't easy to get the curry cubes fully melted and smooth. You will likely have to chase little bits around your pot. I've tried all sorts of approaches. This is the best I've figured out so far but it isn't perfect.
Add the remaining stock and simmer for about 4-5 minutes.
While the stock simmers cook the ramen noodles per the instructions on the package.
Drain the noodles.
To serve
Slice each egg in half lengthwise. Be careful. The yolks still have a bit of runny texture.
Divide the noodles across two bowls. Ladle the broth into the bowls. Arrange the chicken overtop the noodles and pour half the broth into each bowl. Add the eggs, submerging slightly to warm them through.
Garnish with green onion and sesame seeds and dig in!",en-US,"{'servingSize': '2 servings', 'calories': '843 kcal', 'carbohydrateContent': '69 g', 'proteinContent': '47 g', 'fatContent': '40 g', 'saturatedFatContent': '12 g', 'cholesterolContent': '413 mg', 'sodiumContent': '837 mg', 'fiberContent': '1 g', 'sugarContent': '2 g'}",5.0,,glebe kitchen,40,2 serving(s)
beef tataki,romain | glebekitchen,https://glebekitchen.com/sous-vide-steak-tataki-style/,Japanese,https://glebekitchen.com/wp-content/uploads/2017/10/sousvidesteaktatakifront.jpg,"[""12-14 oz good quality top sirloin ( - cut 1 1/2 to 2 inches thick. You don't want your sear to cook the steak too much.)"", 'salt', 'pepper', '2-3 green onions', '1 1/2 Tbsp sake', '2 tsp mirin', '2 Tbsp rice wine vinegar', '1/4 cup soy sauce', '2 Tbsp water', '2 Tbsp fresh lemon juice ( - good or a combination of lemon and lime juice (better), strained)']","Sous vide the steak and cook the steaks
Salt the steaks liberally.
Use a food saver to shrink wrap the steaks.
Pre-heat your sous vide to 116 degrees. See below for guidelines on temperature vs. level of doneness.
Immerse the shrink wrapped steaks in the water and let it cook for about 90-110 minutes.
Remove the steaks from the water bath.
Heat a sturdy skillet large enough to hold the steak in a single layer over medium high heat.
Add about 1 Tbsp of vegetable or peanut oil.
Sprinkle the steaks with black pepper to taste. A nice crust of butcher's grind pepper is nice. Not particularly Japanese but nice.
Sear the steaks one one side for about 20 seconds. Flip and cook on the other side for 20 seconds. Repeat on each side for a total of about 80 seconds.
Sear the sides (stand the steaks up) about 20 seconds on each of the long sides.
Let rest 5 minutes.
Make the simple ponzu sauce
Combine the sake and mirin in a small sauce pan and simmer for 1 minute.
Add the remaining ingredients and stir.
Prep the green onions
Here's a trick that food bloggers don't advertise. If you want those nifty curled green onions it's easy.
Julienne the green part of a couple green onions.
Immerse the julienned green onion in a small bowl of ice and water.
Stir them around a bit with your finger to get them unstuck from each other.
Let stand about 20 minutes.
Drain and blot on paper towel.
That's it. Now you know.
Serve the beef tataki
Slice the beef thinly. Try to get as close to across the grain as you can. If you have a nice Japanese knife this is a good place to use it.
Fan the beef out. Garnish with thin slices of the white portion of a green onion along with the curled green onion.
Drizzle with ponzu sauce.
Serve with additional ponzu sauce.",en-US,"{'servingSize': '4 servings', 'calories': '132 kcal', 'carbohydrateContent': '3 g', 'proteinContent': '20 g', 'fatContent': '3 g', 'saturatedFatContent': '1 g', 'cholesterolContent': '50 mg', 'sodiumContent': '878 mg', 'sugarContent': '1 g'}",5.0,,glebe kitchen,122,4 serving(s)
momofuku pork belly,romain | glebekitchen,https://glebekitchen.com/momofuku-pork-belly/,"Chinese,Japanese",https://glebekitchen.com/wp-content/uploads/2018/01/momofukuporkbellysliced.jpg,"['3 lbs meaty pork belly', '1/4 cup kosher salt (- specifically diamond crystal brand. )', '2 tbsp white sugar', '1 tsp black pepper']","Combine the sugar, salt and black pepper and mix well. You will likely have too much so don't feel like you have to use all of it. You want to coat liberally. Not pack it in the cure mix. Don't use table salt. Diamond crystal kosher salt. If you want to try it with table salt please roll way back on the amount of salt you use. It's tested with diamond crystal. It works with diamond crystal.
Remove the skin from the pork belly. You can get your butcher to do this for you. If you want to do it yourself it's not that hard if you have a good knife. Run the blade along the skin, pulling the flap of skin up as you go along. If you screw up don't worry. Just try again. It's not like it has to be perfect. It's a pork belly...
Pull out a cookie sheet. Put the pork on the cookie sheet and coat the pork belly liberally with the sugar, salt and black pepper mixture.
Refrigerate the pork belly, uncovered for 12 hours. Try not to go less than 10 hours. Don't go much over 14. A long cure is not what you are looking for here.
Pre-heat your oven to 290F.
Remove the pork from the fridge, brush any remaining cure from the surface (or give it a quick rinse) and place it in a baking pan large enough to hold it comfortably. If you don't have one, use your cookie sheet. Cover with foil and place in the oven.
Cook to an internal temperature of 190F. I can't tell you how long this will take because I don't know how thick your pork belly is. Maybe 4 hours. But start checking after two hours. This is like BBQ. It's done when it's done.
Remove the pork from the oven and let rest 10-15 minutes. Slice and serve.
To re-heat, steam slices if you want it meltingly tender. Pan-fry slices if you want a bit of crust. All good...",en-US,"{'servingSize': '8 g', 'calories': '893 kcal', 'carbohydrateContent': '3 g', 'proteinContent': '15 g', 'fatContent': '90 g', 'saturatedFatContent': '32 g', 'cholesterolContent': '122 mg', 'sodiumContent': '1500 mg', 'sugarContent': '2 g'}",4.64,,glebe kitchen,1680,8 serving(s)
gyudon - japanese beef bowl,romain | glebekitchen,https://glebekitchen.com/gyudon-japanese-beef-bowl/,Japanese,https://glebekitchen.com/wp-content/uploads/2019/02/gyudonbowltop.jpg,"['12 oz thinly sliced ribeye or sirloin', '1/2 large onion (sliced thinly)', '1/2 cup dashi (made from hon-dashi (see note below))', '2 tbsp mirin', '3 tbsp sake', '2 tbsp low sodium soy sauce', '2 tsp sugar (to taste)', '1 tbsp shiro miso (- white miso)', 'short grain white rice', 'pickled ginger', 'green onion', 'shishimi togarashi', 'poached egg ((optional))']","gyudon
Combine dashi, mirin, sake, soy and sugar in a wok or saute pan large enough to hold all the ingredients. Bring to a simmer over medium low heat..
Mix in the miso. One trick I like is to put the miso in a small strainer and work it through into the soup base. That way you aren't chasing miso around pan. That sucks.
Add the onions, bring to a simmer and cover. Cook until the onions are soft. This takes about 5 minutes.
Add the beef and continue cooking until just done. This takes no time at all. It depends on how thinly sliced the beef is, of course. Few minutes max.
At this point taste. It may need more salt. That's why I use low sodium soy. Easy to add salt. Impossible to take it away.
Serve over rice and garnish with pickled ginger, green onion, sesame seeds and shichimi togarashi. A poached egg makes a nice addition. The creamy egg yolk with the beef and rice. Yum.A bowl of miso soup makes a great start to this meal.",en-US,"{'servingSize': '2 servings', 'calories': '351 kcal', 'carbohydrateContent': '19 g', 'proteinContent': '40 g', 'fatContent': '8 g', 'saturatedFatContent': '3 g', 'cholesterolContent': '103 mg', 'sodiumContent': '1273 mg', 'fiberContent': '1 g', 'sugarContent': '10 g'}",5.0,,glebe kitchen,20,2 serving(s)
