title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
korean chicken wings,romain | glebekitchen,https://glebekitchen.com/spicy-grilled-korean-chicken-wings/,Korean,https://glebekitchen.com/wp-content/uploads/2019/04/koreanchickenwingtop.jpg,"['2 lbs chicken wings', '2 cloves garlic crushed', '2 tsp ginger grated', '1 tbsp gochugaru korean chili flakes', '1 tsp sesame oil', '2 tbsp fish sauce', '1 tbsp gochujang korean chili paste', '1 tbsp rice wine vinegar', 'water to make a smooth paste']","Combine all the ingredients except the chicken. Stir to make a smooth paste.
Toss the chicken wings with the marinade to coat evenly. Cover and refrigerate for 1-4 hours.
Set your grill up for indirect heat with a drip pan under the cool part of the grill (not over the burner or fire). You want a hot grill. 450-500F hot.
If you are using gas, add a little bit of smoke however you like. Soaked wood chips in a foil packet works well.
Place the wings over the cool part of the grill above the drip pan. Cook, covered, for about 10 minutes. Flip the wings.
Cook another 10 minutes. Depending on the temperature and size of wings they may be done at this point. You are going for 175-180F internal temp. If they aren't done flip them again and cook until you hit the target temp.
Serve with nuoc cham. Garnish with sliced shallots, cilantro, green onions, mint, thin slices of red chili - whatever you like. It's a fun recipe to play with.",en-US,"{'servingSize': '4 servings', 'calories': '298 kcal', 'carbohydrateContent': '3 g', 'proteinContent': '23 g', 'fatContent': '20 g', 'saturatedFatContent': '5 g', 'cholesterolContent': '94 mg', 'sodiumContent': '830 mg'}",5.0,,glebe kitchen,90,4 serving(s)
korean ramen,romain | glebekitchen,https://glebekitchen.com/korean-ramen/,Korean,https://glebekitchen.com/wp-content/uploads/2018/08/koreanramenfront.jpg,"['4 cups chicken stock', '4 tsp gochujang', '1 tsp doenjang ((optional))', '2 tsp shiro miso', '1 tsp coarse gochugaru ((not the fine powdered type))', '1 tsp fish sauce', '4 skinless chicken thighs', '2 large eggs', 'green onions, enoki mushrooms, kimchi - whatever you like really', 'the reserved chicken', 'the Korean ramen broth', '4-5 oz Japanese ramen noodles (- not the instant kind)']","The broth
Bring the chicken stock to a simmer over medium low heat in a pot that is large enough to hold the stock, chicken and ultimately noodles.
Poach the chicken thighs until they reach an internal temperature of 175F. Use an instant read thermometer. Always use an instant read thermometer. This should take about 25 minutes.
Remove the chicken thighs. Set aside to cool enough to handle. Pull the chicken off the bones. You want bite size chunks. Reserve.
Strain the stock if you are worried about little bits floating around in it. Not a big deal, though. Nothing wrong with little bits. Return the stock to the pot.
Combine the gochujang, doenjang if using, miso and gochugaru in a small bowl. Add a bit of hot chicken stock to the bowl and stir to combine. You want to do it this way. If you just add the flavouring to the big pot you are going to be chasing bits of gochujang around the pot for an hour. Trust me.
Add the gochujang stock mixture to the remaining stock in the pot. Stir in the fish sauce. Taste. Adjust salt if needed. Your broth is ready.
Medium boiled eggs
In a medium saucepan, bring water to a boil. Boil large eggs for 6 minutes 30 seconds. If using extra large eggs boil them for 7 minutes 30 seconds. You may have to adjust your times slightly depending on the exact size of your eggs but this should get you pretty close.
Submerge the eggs in really cold or ice water to chill. This stops the egg yolks from continuing to set up. Peel and set aside. They will warm up in the broth.
Carefully cut the eggs in half lengthwise right before you serve. The yolk is still a bit runny so use a sharp knife.
Korean ramen
Bring the Korean ramen broth to a boil. Add the noodles and cook until done. Follow the instructions on the noodle package. Return the chicken to the broth to warm through. Slice the eggs lengthwise.
Ladle the broth, noodles and chicken into a bowl. Top with the eggs, green onions, enoki mushrooms and kimchi. Serve a bit of extra gochugaru alongside for the serious chili-heads.",en-US,"{'servingSize': '2 servings', 'calories': '761 kcal', 'carbohydrateContent': '65 g', 'proteinContent': '71 g', 'fatContent': '21 g', 'saturatedFatContent': '5 g', 'cholesterolContent': '440 mg', 'sodiumContent': '1449 mg', 'fiberContent': '2 g', 'sugarContent': '10 g'}",4.67,,glebe kitchen,50,2 serving(s)
korean pork ribs with gochujang glaze,romain | glebekitchen,https://glebekitchen.com/korean-pork-ribs-with-gochujang-glaze/,Korean,https://glebekitchen.com/wp-content/uploads/2017/10/koreanporkribsheettop.jpg,"['2 racks pork back ribs ( - meaty ones are good here)', '1 tsp salt', '1 tsp ground black pepper', '1 tsp granulated garlic', '2-3 cloves garlic ( - crushed)', '1 inch ginger ( - grated (a microplane works great for this))', '1/2 cup gochujang', '1/4 cup mirin', '1/4 cup brown sugar', '1 Tbsp sesame oil', '1 Tbsp soy sauce', '2 Tbsp rice wine vinegar', '1 Tbsp fish sauce ( - optional but it really brings it together)', '1 Tbsp vegetable oil']","Cook the ribs
Pre-heat your oven to 350F.
Season the ribs with salt, pepper and granulated garlic.
Place ribs on a sturdy cookie sheet and bake until they reach an internal temperature of 185F, about an hour to 75 minutes. Start checking after 45 minutes.
Make the gochujang glaze
Heat a small saucepan over low heat.
Add the vegetable oil, then the garlic and ginger and cook, stirring constantly, for about 90 seconds. You don't want it to colour - just get cooked through.
Add the remaining ingredients and simmer over low heat for 10 minutes.
Finish the ribs
Once your ribs have reached an internal temperature of 185 brush them generously with the glaze and return them to the oven. Let cook an additional 10 minutes.
If you want extra sticky individual ribs let the ribs rest briefly. Cut them into individual ribs and coat all 4 sides with sauce. Return to the oven as above.",en-US,"{'servingSize': '4 servings', 'calories': '817 kcal', 'carbohydrateContent': '31 g', 'proteinContent': '55 g', 'fatContent': '53 g', 'saturatedFatContent': '19 g', 'cholesterolContent': '195 mg', 'sodiumContent': '1557 mg', 'sugarContent': '20 g'}",4.25,,glebe kitchen,90,4 serving(s)
korean pork stew - kimchi jjigae,romain | glebekitchen,https://glebekitchen.com/korean-pork-stew-kimchi-jjigae/,Korean,https://glebekitchen.com/wp-content/uploads/2017/06/kimcheejjigaefront.jpg,"['1 1/2 lbs pork belly ( - skin removed, cut into 1/2""x1/2""x1"" pieces (you can use shoulder instead))', '1 large onion ( - coarsely chopped)', '2 cups kimchi', '3/4 to 1 1/2 Tbsp gochugaru', '3/4 to 1 1/2 Tbsp gochujang', '2 tsp sesame oil', '3 1/2 cups chicken stock', '12 oz firm tofu ( - cut into slices)', 'a bit of white vinegar to taste', 'salt to taste', 'Chives or green onions to garnish']","Heat the sesame oil in a large pot. A dutch oven works here.
Add the onion and sweat until slightly softened (2-3 minutes).
Add the pork, kimchi, gochugaru and gochujang. Stir well and cook for a minute or two more.
Add the stock and bring to a gentle simmer.
Taste and adjust the salt. It will take a tsp or so.
Simmer, covered for 30 minutes then check again for salt. If you want it a bit more sour add a little bit of vinegar at this point.
Gently add the tofu to the pot (rest it on the pork) and simmer, covered for an additional 5-10 minutes.
Garnish with green onion.
Serve with rice or rice noodles or just eat it out of the pot when nobody is looking.",en-US,"{'servingSize': '4 servings', 'calories': '1016 kcal', 'carbohydrateContent': '7 g', 'proteinContent': '27 g', 'fatContent': '97 g', 'saturatedFatContent': '34 g', 'cholesterolContent': '122 mg', 'sodiumContent': '120 mg', 'fiberContent': '1 g', 'sugarContent': '1 g'}",-1.0,,glebe kitchen,55,4 serving(s)
korean pork bone soup - gamjatang,romain | glebekitchen,https://glebekitchen.com/korean-pork-bone-soup-gamjatang/,Korean,https://glebekitchen.com/wp-content/uploads/2017/11/koreanporknecksouptop.jpg,"['3 lbs pork neck bones (- cut into 1 1/2 inch pieces (talk to your butcher). You need 3 lbs for the stock and 3 lbs for the soup.)', '2 Tbsp doenjang', '3 green onions', '2 cloves garlic', '8 cups water', '2 Tbsp gochujang', '1 Tbsp gochugaru ( - plus 2 more teaspoons if you like spicy)', '2 Tbsp soy sauce', '1 Tbsp fish sauce', '2 Tbsp mirin', '2-3 big cloves of garlic ( - crushed)', '1 tsp coarse ground black pepper', '3 Tbsp wild sesame seed powder ( - deulkkae-garu - this is not easy to find but you can leave it out)', '3 lbs pork neck bones ( - cut into 1 1/2 inch pieces (really, talk to your butcher), in all)', '1 2 lb pork hock ( - cut in 6 pieces (again - your butcher is key))', '3 Yukon gold potatoes ( - cut in quarters)', '8 perilla leaves ( - roughly torn (you can substitute shiso leaves or just leave them out))', '1 lb young napa cabbage or the inner leaves of an bigger one', '6 green onions ( - cut into 2 inch pieces)', '3 Tbsp soy', '1 Tbsp rice vinegar', '1 tsp sugar', '1/2 tsp wasabi', '1/2 tsp asian mustard ( - e.g. Japanese prepared mustard)']","Make the stock
You should have 6 or so lbs of pork neck bones in total. Some will be meatier than others. Keep those for the soup. You will need to blanch and rinse all the pork so you might as well do it all up front.
Put all the pork into a pot large enough to hold it all and cover with cold water.
Bring to a boil over high heat. Boil for 5 minutes. You will see a mess of scum form. Don't worry. Down the drain it goes.
Rinse the pork well with cold running water. Set 3 lbs of meaty pork bones aside.
Place 3 lbs of the pork neck bones (pick the ones with less meat) into a pot and add the water along with the green onion and 2 whole cloves of garlic.
Bring to a boil, reduce heat, cover loosely and simmer for 4-5 hours. Longer is better if you have the time.
Strain the stock into a clean pot large enough to hold the remaining pork, potatoes and cabbage. You should have about 5-6 cups. If you have less, add water to get to 6 cups.
The spice mix
Combine all the ingredients listed in the spice mix section in the ingredients together. Set aside.
The drizzling sauce
Combine all the ingredients in the drizzling sauce ingredient list. Stir until the sugar dissolves and the mustard and wasabi are evenly distributed. Set aside.
The soup
Mix 2 Tbsp doenjang with a bit of stock to dilute. Add the reserved pork neck bones and pork hock along thinned doenjang to the pot.
Simmer 90 minutes.
While the soup simmers, bring a pot of water large enough to hold all the cabbage to boil. Blanch the cabbage for 90 seconds. Remove the cabbage from the pot (use tongs) and cool under cold running water. Cut the cabbage into large bite size pieces.
After 90 minutes, thin the spice mix with a bit of stock and add it to the soup.
Add the potatoes and cabbage, being careful to submerge the potatoes.
Simmer until the potatoes are tender, around 30-40 minutes.
Add the green onions and simmer 3-4 minutes more.
Serve in bowls with a couple teaspoons of the drizzling sauce overtop. Garnish with green onion and sliced red chilies.",en-US,"{'servingSize': '6 servings', 'calories': '679 kcal', 'carbohydrateContent': '22 g', 'proteinContent': '53 g', 'fatContent': '40 g', 'saturatedFatContent': '14 g', 'cholesterolContent': '190 mg', 'sodiumContent': '1118 mg', 'fiberContent': '4 g', 'sugarContent': '5 g'}",5.0,,glebe kitchen,450,6 serving(s)
korean BBQ shrimp,romain | glebekitchen,https://glebekitchen.com/korean-bbq-shrimp/,Korean,https://glebekitchen.com/wp-content/uploads/2020/03/koreanbbqshrimptop-scaled.jpg,"['12 shrimp (16-20 per pound )', '1/2 cup unsalted butter', '2 cloves garlic (crushed)', '1 1/2 tsp fish sauce', '1 1/2 tbsp gochugaru (- korean chili flakes)', '1/4 lemon (juiced)', 'cilantro to garnish']","Melt the butter over medium low heat in a skillet large enough to hold the shrimp in a single layer. If you aren't doubling the recipe you don't need a very large pan.
Add the garlic and gochugaru. Cook gently for about 2 minutes. You don't want the garlic to take on any colour here. Think garlic butter.
Add the fish sauce and lemon juice. Keep cooking over low heat for 2-3 minutes. You want a gentle simmer.
Add the shrimp and continue cooking over low to medium low heat. GIve them 3 minutes. Again, gentle simmer. Little bubbles.
Flip the shrimp. If they are uniformly pink you are good. If you still see a bit of grey turn the heat up a smidge.
Cook the shrimp for another 3 minutes. If they were still a little grey when you turned them flip them and cook a minute more. You want just pink. Don't overcook your shrimp. Please don't overcook your shrimp.
Garnish with a little cilantro and serve with crusty bread to sop up the spicy garlic butter.",en-US,{},5.0,,glebe kitchen,15,4 serving(s)
korean beef stew,romain | glebekitchen,https://glebekitchen.com/korean-beef-stew-with-gochujang/,Korean,https://glebekitchen.com/wp-content/uploads/2019/03/koreanbeefstewfrontplate.jpg,"['3 lbs beef chuck (cut into large pieces)', '1/4 cup soy sauce', '1/4 cup shiro miso', '10 cloves garlic', '3 cups water', '1 tsp hon-dashi', '2 tbsp gochujang', '1 tbsp gochugaru']","Combine miso and soy in a small bowl. Stir to combine thoroughly.
Mix the miso mixture with the beef and refrigerate 4 to 12 hours.
Pre-heat your oven to 325F.
Film a pot generously with vegetable oil. Brown the beef in batches over medium low heat. Leave room around the beef. You don't want it to steam. You want it brown. Take your time. Every stove is different. You may need to adjust the heat. Do what works for you.
Transfer the browned beef to a clean dutch oven. Add the garlic and the gochugaru to the pot.
Make your dashi. Bring the hon-dashi and water to a boil. Let simmer briefly.
Mix the gochujang with a couple tablespoons of hot dashi in a small bowl. Add a bit more dashi if needed. Get the gochujang to dissolve in the dashi. It's way easier to do this in a small bowl. Chasing miso or gochujang around a large pot is a pain.
Add the gochujang mixture. Now add enough of the remaining dashi to come up 2/3 of the way up the meat.
Cover the dutch oven with aluminum foil or parchment. Then put the lid on it.
Place in the oven and braise for about an hour. After an hour give it a stir and return it to the oven.
Beef is done when it is tender. This will take probably around 3 to 3 1/2 hours if you have big chunks. Start checking after 2 1/2 hours. There's no way to rush this. It's ready when it's ready.
It reheats well though so just plan ahead. Give yourself some extra time. Reheat to serve. Much better than having your guests wait an extra hour or two for dinner...",en-US,"{'servingSize': '6 servings', 'calories': '467 kcal', 'carbohydrateContent': '11 g', 'proteinContent': '46 g', 'fatContent': '27 g', 'saturatedFatContent': '11 g', 'cholesterolContent': '156 mg', 'sodiumContent': '1319 mg', 'fiberContent': '1 g', 'sugarContent': '3 g'}",5.0,,glebe kitchen,420,6 serving(s)
korean meatloaf with gochujang glaze,romain | glebekitchen,https://glebekitchen.com/korean-meatloaf-gochujang-glaze/,Korean,https://glebekitchen.com/wp-content/uploads/2018/02/koreanmeatloaftop.jpg,"['2 lbs ground pork', '1 1/2 cups panko bread crumbs', '1 large onion (- finely diced)', '8 cloves garlic (- crushed)', '2 tbsp gochujang', '5 green onions (- minced)', '2 tsp kosher salt', '2 large eggs (- lightly beaten to combine)', '2 tsp vegetable oil', 'sesame seeds to garnish if desired', '3 tbsp apricot jam', '2 tbsp gochujang', '1 tbsp rice wine vinegar', '1 tbsp honey', '2 tsp soy sauce', '1 tsp sesame oil', '1/2 tsp granulated garlic powder (or 2 cloves garlic, minced)']","Pre-heat your oven to 350F.
Film a pan with the vegetable oil. Add the minced onions and cook slowly until translucent. This takes about 10 minutes.
Add the garlic to onions and cook another 2 minutes. Remove the onion mixture from the heat, transfer to a bowl and place in the refrigerator to cool.
Combine the cooled onion mixture with the minced green onion, gochujang, eggs and kosher salt. Stir to combine thoroughly.
Put the ground pork and breadcrumbs in a large bowl. Add the onion gochujang mixture and mix gently. You want it evenly red. You don't want it packed into a brick. A light hand is what you are looking for here.
Transfer the meatloaf mix to a 9.5 inch by 5 inch loaf pan (or free form it on a cookie sheet - your call).
Place the meatloaf in the oven. Cook until you get to an internal temperature of 140F, about 40 minutes. Pros use instant read thermometers. You should too.
While the meatloaf cooks make the glaze. Combine all the ingredients and stir thoroughly.
When the meatloaf reaches 140F remove it from the oven and spoon the glaze overtop evenly.
Return the glazed meatloaf to the oven and cook until it reaches an internal temperature of 160F. This takes somewhere around 10-15 minutes. Try not to overshoot. Overcooked meatloaf is dry meatloaf. Nobody likes that. Serve with mustard pickled onions.",en-US,"{'servingSize': '6 servings', 'calories': '561 kcal', 'carbohydrateContent': '27 g', 'proteinContent': '30 g', 'fatContent': '36 g', 'saturatedFatContent': '13 g', 'cholesterolContent': '163 mg', 'sodiumContent': '1111 mg', 'fiberContent': '1 g', 'sugarContent': '10 g'}",4.57,,glebe kitchen,105,6 serving(s)
momofuku pork belly,romain | glebekitchen,https://glebekitchen.com/momofuku-pork-belly/,"Chinese,Japanese",https://glebekitchen.com/wp-content/uploads/2018/01/momofukuporkbellysliced.jpg,"['3 lbs meaty pork belly', '1/4 cup kosher salt (- specifically diamond crystal brand. )', '2 tbsp white sugar', '1 tsp black pepper']","Combine the sugar, salt and black pepper and mix well. You will likely have too much so don't feel like you have to use all of it. You want to coat liberally. Not pack it in the cure mix. Don't use table salt. Diamond crystal kosher salt. If you want to try it with table salt please roll way back on the amount of salt you use. It's tested with diamond crystal. It works with diamond crystal.
Remove the skin from the pork belly. You can get your butcher to do this for you. If you want to do it yourself it's not that hard if you have a good knife. Run the blade along the skin, pulling the flap of skin up as you go along. If you screw up don't worry. Just try again. It's not like it has to be perfect. It's a pork belly...
Pull out a cookie sheet. Put the pork on the cookie sheet and coat the pork belly liberally with the sugar, salt and black pepper mixture.
Refrigerate the pork belly, uncovered for 12 hours. Try not to go less than 10 hours. Don't go much over 14. A long cure is not what you are looking for here.
Pre-heat your oven to 290F.
Remove the pork from the fridge, brush any remaining cure from the surface (or give it a quick rinse) and place it in a baking pan large enough to hold it comfortably. If you don't have one, use your cookie sheet. Cover with foil and place in the oven.
Cook to an internal temperature of 190F. I can't tell you how long this will take because I don't know how thick your pork belly is. Maybe 4 hours. But start checking after two hours. This is like BBQ. It's done when it's done.
Remove the pork from the oven and let rest 10-15 minutes. Slice and serve.
To re-heat, steam slices if you want it meltingly tender. Pan-fry slices if you want a bit of crust. All good...",en-US,"{'servingSize': '8 g', 'calories': '893 kcal', 'carbohydrateContent': '3 g', 'proteinContent': '15 g', 'fatContent': '90 g', 'saturatedFatContent': '32 g', 'cholesterolContent': '122 mg', 'sodiumContent': '1500 mg', 'sugarContent': '2 g'}",4.64,,glebe kitchen,1680,8 serving(s)
korean bulgogi sauce,romain | glebekitchen,https://glebekitchen.com/korean-bulgogi-sauce/,Korean,https://glebekitchen.com/wp-content/uploads/2018/02/bulgogisauce.jpg,"['3/4 cup soy sauce', '3/4 cup brown sugar', '5 cloves garlic (crushed)', '1 inch piece of fresh ginger (grated on a microplane)', '1 tbsp sesame oil', '3/4 cup apple juice (or pear juice)', '2-3 green onions (- finely chopped)']","Mix the soy, brown sugar and apple or pear juice in a small sauce pan. Warm over low heat until the sugar melts. Allow to cool and stir in the remaining ingredients.",en-US,"{'servingSize': '2 cups', 'calories': '976 kcal', 'carbohydrateContent': '200 g', 'proteinContent': '20 g', 'fatContent': '14 g', 'saturatedFatContent': '2 g', 'sodiumContent': '9780 mg', 'fiberContent': '2 g', 'sugarContent': '181 g'}",4.24,,glebe kitchen,10,1 serving(s)
