title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
thai chicken khao soi,romain | glebekitchen,https://glebekitchen.com/thai-chicken-khao-soi/,Thai,https://glebekitchen.com/wp-content/uploads/2018/04/khaosoifront-1.jpg,"['1 lb fresh Chinese egg noodles (- dried is OK too)', '3 cloves garlic (- crushed)', '3 tbsp massaman curry paste (- store bought)', '1 tsp turmeric powder', '2 tsp curry powder', '2 tbsp vegetable oil', '1 1/2 lbs boneless, skinless chicken thighs', '2 15 oz cans coconut milk', '1 tbsp brown sugar', '1 cup chicken stock', '3-4 tbsp fish sauce', '1 tbsp lime juice', 'shallots, chili oil, green onions, bean sprouts, cilantro (to garnish)']","Let your cans of coconut milk stand to let the cream come to the top. If you don't have time, it's not the end of the world.
Bring a large pot of water to boil.
Combine garlic, massaman curry paste, curry powder and turmeric powder in a small bowl.
Heat oil in a wok or similar pan over medium heat. Add curry mixture and fry, stirring constantly, for about 1 minute.
Spoon off the coconut cream from each of the cans of coconut milk. Add that to the pan. Fry for another minute.
Add the chicken and brown sugar and cook until the chicken is just done through. This should take about 8-10 minutes.
Add the remaining coconut milk and chicken stock and bring to a simmer. Now add the fish sauce and lime juice and cook another minute of so. Reduce heat to low.
Add the noodles to the boiling water. Cook per the instructions on the package. Chinese egg noodles should take one to two minutes to cook through. If the instructions say longer consider cooking them when you add the chicken to the pan.
To serve, divide the noodles into four bowls. Spoon the chicken overtop and ladle the broth into the bowls. Garnish as you like with shallots, green onions, cilantro, chili oil and bean sprouts. Serve with additional lime wedges.",en-US,"{'servingSize': '4 g', 'calories': '757 kcal', 'carbohydrateContent': '89 g', 'proteinContent': '51 g', 'fatContent': '20 g', 'saturatedFatContent': '9 g', 'cholesterolContent': '258 mg', 'sodiumContent': '1323 mg', 'fiberContent': '4 g', 'sugarContent': '7 g'}",5.0,,glebe kitchen,45,4 serving(s)
thai grilled chicken with sweet chili sauce,romain | glebekitchen,https://glebekitchen.com/thai-grilled-chicken-with-sweet-chili-sauce/,Thai,https://glebekitchen.com/wp-content/uploads/2017/04/thaigrilledchickentop.jpg,"['8 pieces chicken (I used boned, skin-on chicken thighs)', '2 cloves garlic (crushed)', '1 tsp grated ginger', '5 good sized sprigs of cilantro (leaves, stems and even roots if you have them)', '2 Tbsp soy sauce', '1 Tbsp fish sauce', '1 Tbsp sugar', '1/2 tsp ground black pepper ( - white is more authentic if you have it)', '1 1/2 Tbsp Thai red curry paste', '2 Tbsp neutral vegetable oil', '3 Tbsp sambal oelek chili paste', '2 cloves garlic (minced)', '1/2 cup rice wine vinegar', '2/3 cup white sugar', '2/3 cup water', '1 tsp salt', '4 tsp cornstarch', 'good handful of chopped cilantro']","Chicken
Combine all the ingredients except the chicken in a food processor and pulse until you get a smooth paste.
Toss the marinade with the chicken and set aside for up to an hour.
Prepare your grill for indirect heat. Place a drip pan under the chicken. Grill, skin side up, for about 10 minutes. Turn the chicken and continue to grill another 5 minutes. Keep the grill lid down for this step.
Working with two or three pieces at a time, place the chicken over direct heat and grill to crisp and colour the skin. The lid stays up the whole time. It will flare up so be ready to move it out of the way. Repeat until all the chicken is coloured up.
Return the chicken to indirect heat, cover again and cook until an instant read thermometer registers 160 for white meat and 170 for dark meat. Allow the chicken to rest briefly and serve with sweet Thai chili sauce.
Sweet Thai chili sauce
Combine all the ingredients except the cilantro. Stir to combine thoroughly and heat, over medium low heat until it comes to a gentle boil.
Reduce heat and simmer for 5 minutes.
Cool.
When cool, add the chopped cilantro and stir to combine.",en-US,"{'servingSize': '4 servings', 'calories': '253 kcal', 'carbohydrateContent': '45 g', 'proteinContent': '2 g', 'fatContent': '7 g', 'cholesterolContent': '1 mg', 'sodiumContent': '1447 mg', 'sugarContent': '38 g'}",5.0,,glebe kitchen,85,4 serving(s)
thai tom yum soup,romain | glebekitchen,https://glebekitchen.com/thai-tom-yum-soup/,Thai,https://glebekitchen.com/wp-content/uploads/2018/07/tomyumbigbowl.jpg,"['6 cups water', '1 lb 16-20 count peeled shrimp (- shells reserved)', '1 stem lemongrass (- cut into 3 inch pieces and crushed)', '3 kaffir lime leaves', '8 oz mushrooms ( - chopped. Your choice here.)', '3 tbsp fish sauce (- or a bit more to taste)', '3-4 tbsp fresh squeezed lime juice (- two good size limes worth)', '1 tbsp tom yum paste (- available at Asian grocery stores)', '3-4 green onions (- cut into pieces)', 'cilantro (coriander) leaves, red chilies, and additional limes for garnish']","Bring the water, shrimp shells, lemongrass and kaffir lime leaves to a lively simmer. Cover and simmer for 20 minutes. Strain the resulting broth and return to the pot. Discard the shrimp shells, lemongrass and lime leaves.
Bring to a simmer and add the tom yum paste, lime juice and fish sauce. Cook for 5 minutes.
Here's how you make sure your shrimp are perfectly cooked. Add the shrimp to the simmering soup. Turn off the heat. Set a timer for 8 minutes. Prep an ice bath (ice and water in a bowl). After 8 minutes remove the shrimp from the soup with a slotted spoon and drop them into the ice bath. This stops the cooking. Set them aside.
When you are ready to serve, warm the broth until it just starts to simmer. Add the mushrooms and cook for 5 minutes.
Add the shrimp back into the broth. They will warm through before you eat. Serve immediately. Don't let them sit in the hot broth. The second they hit that broth they start cooking again.
To serve, divide into 4 bowls and garnish with cilantro, lime and chilies. The chilies are optional. You have to want it really spicy...",en-US,"{'servingSize': '4 servings', 'calories': '155 kcal', 'carbohydrateContent': '4 g', 'proteinContent': '25 g', 'fatContent': '3 g', 'cholesterolContent': '285 mg', 'sodiumContent': '2371 mg', 'sugarContent': '2 g'}",5.0,,glebe kitchen,40,4 serving(s)
chicken pad thai,romain | glebekitchen,https://glebekitchen.com/chicken-pad-thai/,Thai,https://glebekitchen.com/wp-content/uploads/2018/06/chickenpadthaiscooplow.jpg,"['1/4 cup rice vinegar', '1 tbsp brown sugar', '1 tsp sambal oelek', '3 tbsp fish sauce', '1 tbsp rice vinegar', '2 tbsp brown sugar', '1 tbsp tomato paste', '1 tsp sambal oelek', '6 oz rice noodles (- banh pho)', '2 eggs (well mixed with 1/4 tsp kosher salt)', '2 cloves garlic (crushed)', '3 chicken thighs (or 1 large breast, cut into 1/2 inch pieces)', '2 cups bean sprouts', '1-2 green onions (cut into 1 1/2 inch pieces)', '4 tbsp vegetable oil (plus one tsp in total)', 'dry roasted peanuts, more bean sprouts and red chilies (optional) to garnish']","Place the rice noodles in a large bowl. Add hot water to the top of the bowl. As hot as you can get it out of the tap. Let sit 20-40 minutes. A longer soak will just mean a slightly shorter cooking step later on. If you are really jammed for time boiling water for 5-10 minutes works but that's higher risk.
Combine the chili vinegar sauce ingredients. Stir to combine. Set aside.
Combine the pad thai sauce ingredients. Stir to combine. Set aside.
Beat the eggs (use a fork) until they are an even yellow colour.
Chop the chicken into 1/2 inch pieces.
Heat 2 tbsp oil in a 12 inch non-stick skillet over medium heat. If you have a wok you can drive over high heat use that. My stove and my wok don't play well together.
Add the chicken and garlic and stir fry until the chicken is just done. This takes about two minutes. Be careful you don't let the garlic burn.
Turn the heat down a bit and push the chicken to one side. Pour in the beaten eggs and film the bottom of the pan. You want it spread thin. Cook until the eggs just set up. Cut them into ribbons with your spatula. Transfer the chicken egg mixture to a bowl and set aside.
Add the remaining two tbsp oil to the pan. Pre-heat again over medium heat. Add the noodles. Stir fry until the noodles soften. They will start to clump together when they are ready. Taste to make sure. You want them ever so slightly toothy. That's perfect.
Push the noodles to the side of the pan. Add the bean sprouts and green onion along with the last tsp of oil. Stir fry for about 30 seconds.
Start to try to work the noodles and bean sprout mixture together. This isn't as easy at it sounds. As soon as they are mixed sort of evenly add the pad thai sauce. Stir to combine. Add the egg mixture back into the noodle mixture. It should still be hot but if not cook for about 30 seconds to warm through.
Divide into 2 bowls. Top with chopped peanuts and red chilies. Serve with lime wedges and chili vinegar sauce.",en-US,"{'servingSize': '2 servings', 'calories': '813 kcal', 'carbohydrateContent': '75 g', 'proteinContent': '42 g', 'fatContent': '38 g', 'saturatedFatContent': '25 g', 'cholesterolContent': '309 mg', 'sodiumContent': '2625 mg', 'fiberContent': '3 g', 'sugarContent': '24 g'}",5.0,,glebe kitchen,40,2 serving(s)
thai cucumber salad,romain | glebekitchen,https://glebekitchen.com/thai-cucumber-salad/,Thai,https://glebekitchen.com/wp-content/uploads/2019/09/thaicucumbersaladbowltop-1.jpg,"['2 english cucumbers (sliced thinly)', '2 tbsp fish sauce', '1 tbsp lime juice', '2 tsp palm sugar (jaggery or even white sugar works)', '1 clove garlic (crushed)', '1/4 cup cilantro (chopped)', '2 thai red chilies (sliced thinly)', '2 tbsp chopped roasted peanuts']","Combine the fish sauce, lime juice, garlic and sugar. Stir to combine. This is your dressing.
Cut the cucumber in half and slice thinly.
Combine the cucumber, dressing, red chilies and cilantro.
Garnish with peanuts.
Serve or refrigerate a few hours if needed.",en-US,"{'servingSize': '6 servings', 'calories': '48 kcal', 'carbohydrateContent': '7 g', 'proteinContent': '2 g', 'fatContent': '2 g', 'saturatedFatContent': '1 g', 'sodiumContent': '500 mg', 'fiberContent': '1 g', 'sugarContent': '4 g'}",5.0,,glebe kitchen,20,6 serving(s)
thai fried rice,romain | glebekitchen,https://glebekitchen.com/thai-fried-rice-khao-pad/,,https://glebekitchen.com/wp-content/uploads/2019/08/thaifriedricefrontbowlhigh.jpg,"['3 cups cooked jasmine rice (cooled at least or day old (better))', '2 cloves garlic (finely minced)', '1 tbsp fish sauce', '1 tsp nam prik pao (recipe link below)', '3 tbsp vegetable oil', '2 chicken thighs (boneless, skinless and cut up into bite size pieces)', '2 eggs (beaten)', 'a few leaves of asian greens such as pak choy', 'cilantro to garnish', '1/4 cup fish sauce', '1/2 lime (juiced)', '4 red chilies (- the little thai ones)']","Make the Prik Nam Pla
Slice the red chilies thinly into rings.
Combine the fish sauce, lime juice and chilies. It's that easy.
Make the Khao Pad
Be ready. This goes fast. Minutes. Literally
Beat your eggs. Set aside.
Use a wok if you have one. Or a really big skillet. For this dish non-stick is easier. I like carbon steel or aluminum for this. You want a pan that heats and cools quickly.
You are going to want to really play with your heat. This is easiest on a gas stove but it works on electric as well. Just slide the pan off the heat when you need it to cool down a bit.
Heat the oil over medium heat high. Add the chicken and stir fry until it starts to brown. It should be done by then but sneak a peak to make sure. Cut a piece in half and look. No harm in that.
Turn the heat down to medium low. Add the garlic and the nam prik pao (the Thai chili paste - not the fish sauce and chilies). Stir fry briefly. Watch it. A bit brown is OK. Burned is not.
Add the rice and crank the heat. Full blast at this point. You want the rice to get a toasty flavour. Toss it around. Push it up the sides. Keep it moving. Cook it this way for about 90 seconds. Maybe longer if you are waiting for your electric element to heat up.
Add the pak choy if using during the last 30 seconds or so. It cooks quickly.
Turn the heat down to medium. Push the rice to the sides and pour the eggs into the pan. Scramble them until just done.
The rice that is at the bottom of the pan will crisp up a bit. Like a soffrito in a paella. I like this. If you don't keep the rice moving as best you can while you scramble the eggs. It's near impossible but if you want to try go for it. Can't hurt.
Add the fish sauce and toss to combine. Garnish with cilantro and fresh lime wedges. Serve with the prik nam pla on the side. Prik nam pla is salty. Be careful how much you add.",en-US,"{'servingSize': '2 servings', 'calories': '726 kcal', 'carbohydrateContent': '79 g', 'proteinContent': '35 g', 'fatContent': '30 g', 'saturatedFatContent': '19 g', 'cholesterolContent': '261 mg', 'sodiumContent': '3148 mg', 'fiberContent': '3 g', 'sugarContent': '7 g'}",5.0,,glebe kitchen,25,2 serving(s)
nam prik pao,romain | glebekitchen,https://glebekitchen.com/nam-prik-pao-thai-chili-paste/,Thai,https://glebekitchen.com/wp-content/uploads/2019/06/namprikpaoscenetop.jpg,"['3/4 cup thai dried chilies (or similar)', '8 cloves garlic (unpeeled)', '2 large shallots (unpeeled)', '1/4 cup vegetable oil', '1 tsp fish sauce', 'small drizzle sesame oil ((optional))']","Turn on your vent hood. This is going to get intense. Toss the chilies into a skillet and toast them over low heat. You don't want them to burn so keep your heat fairly low. They should be done after about 4 or 5 minutes. Let them cool.
Slice your shallots in half. Put them in a cast iron pan, cut side down, over medium heat. Add the garlic. Dry roast until the shallots start to char. While that's happening flip the garlic every minute or so.
When the shallots are charred (check them - there's no other way) flip them over. Keep flipping your garlic. When it's all soft remove from heat and let cool. Remove the peels on both the garlic and shallot.
Combine all the ingredients except the oil.
Now the fight starts. It is not easy to puree this stuff. You can use a small food processor. That works. Kind of. Or you can grind manually in a mortar and pestle. That works better.
Sometimes, when I'm using a food processor I give up and add the oil into the mix. Technically you are supposed to fry the paste in oil. But I find when you start cooking it off some of the oil comes out. And your goal is to get the oil into the paste anyway.
Once you have pureed it pour the oil (if you haven't already added it to the paste) into a small frying pan and heat over medium low heat.
When the oil starts to shimmer add the paste and fry, stirring regularly, for about 4-5 minutes. It will darken a bit and start to give off quite a rich aroma. When you get the aroma it's done. You will get it when you get there.
Alternately, If you added the oil to get the paste to puree transfer it to a dry pan and cook over medium low heat as above.
Nam prik pao stores well in a small jar for weeks in the fridge.",en-US,"{'calories': '570 kcal', 'carbohydrateContent': '17 g', 'proteinContent': '3 g', 'fatContent': '56 g', 'saturatedFatContent': '4 g', 'sodiumContent': '481 mg', 'fiberContent': '2 g', 'sugarContent': '5 g', 'servingSize': '1 serving'}",4.67,,glebe kitchen,20,None
thai red chicken curry,romain | glebekitchen,https://glebekitchen.com/thai-red-chicken-curry/,Thai,https://glebekitchen.com/wp-content/uploads/2017/12/thairedchickencurryfront.jpg,"['2 lbs chicken thighs (cut into bite size pieces)', '2 14 oz cans coconut milk', '6-8 Tbsp red curry paste', '1 15 oz can bamboo shoots packed in water', '1 red pepper (thinly julienned)', '2-3 kaffir lime leaves (torn into small pieces (leave out the spine that runs up the middle), plus more to garnish if desired)', '1-2 Tbsp fish sauce (if you go the full 8 Tbsp of curry paste be careful with the fish sauce - it can get too salty)', '1-2 fresh red chilies - (thinly sliced (very optional) but if you like spicy this curry is quite mild without it.)', '1/2 cup Thai basil']","Heat a large saucepan over medium heat.
Add 1/2 can of coconut milk to heat through, then mix in the red curry paste. Stir to combine.
Mix in the chicken and cook, stirring constantly, for 3-4 minutes.
Add the remaining coconut milk, bamboo shoots, red pepper, lime leaves and chilies if using.
Simmer until the chicken is cooked through - somewhere between 10-15 minutes.
Stir in the fish sauce and add the Thai basil.
Garnish with red chilies and julienned kaffir lime leaf if you like.
Serve with jasmine rice.",en-US,"{'servingSize': '4 servings', 'calories': '448 kcal', 'carbohydrateContent': '11 g', 'proteinContent': '31 g', 'fatContent': '32 g', 'saturatedFatContent': '23 g', 'cholesterolContent': '129 mg', 'sodiumContent': '499 mg', 'fiberContent': '3 g', 'sugarContent': '5 g'}",5.0,,glebe kitchen,30,4 serving(s)
thai sweet chili sauce,romain | glebekitchen,https://glebekitchen.com/thai-sweet-chili-sauce/,Thai,https://glebekitchen.com/wp-content/uploads/2019/11/thaisweetchilisaucescene.jpg,"['1/2 cup rice vinegar (unseasoned)', '2/3 cup sugar', '2/3 cup water (plus a couple tablespoons to make a cornstarch slurry)', '3 tbsp sambal oelek', '2 cloves garlic (minced)', '1 tsp kosher salt', '4 tsp cornstarch']","Combine the rice vinegar, sugar, 2/3 cup water, sambal oelek, minced garlic and salt in a small saucepan.
Heat until the sugar mostly dissolves. It just needs to warm up a bit.
Add the cornstarch to a small bowl. Add a couple tablespoons of water to the bowl and stir to create a slurry. Watch out for clumps. You don't want clumps. You will be chasing globs of cornstarch in your sauce if you aren't careful. I've made the mistake. It sucks.
Add the cornstarch slurry to the other ingredients. Stir to combine. It will be an awful, pasty white mess at this point. Don't freak out. It will clear when it cooks through.
Bring to a simmer and cook about 5 minutes. Doesn't look like an ugly mess anymore right?
Let cool. You are good to go.",en-US,"{'calories': '583 kcal', 'carbohydrateContent': '143 g', 'proteinContent': '1 g', 'fatContent': '1 g', 'saturatedFatContent': '1 g', 'sodiumContent': '3370 mg', 'sugarContent': '134 g', 'servingSize': '1 serving'}",5.0,,glebe kitchen,20,None
panang curry with chicken,romain | glebekitchen,https://glebekitchen.com/panang-curry-with-chicken/,Thai,https://glebekitchen.com/wp-content/uploads/2018/10/panangcurrybowlfront.jpg,"['5 whole dried chilies (- your curry will be as hot as the chilies you choose. )', '3 small shallots (- coarsely chopped)', '2 cloves garlic', '1 tbsp galangal (- diced)', '1 tbsp lemongrass (- inner shoots only, fairly finely chopped)', '1 tbsp cilantro roots (- coriander root)', ""1 tsp black pepper (- I use butcher's grind. It's medium coarse. If you are using fine black pepper drop this to 1/2 tsp)"", '1 tsp salt', '1 tsp shrimp paste', 'enough coconut milk to puree', '1 tbsp neutral vegetable oil', 'all the curry paste', '1 14 oz can coconut milk ((less the coconut milk you used to puree the paste))', '3-4 chicken thighs (- boneless, skinless and cut into big bite sized pieces)', '1 tbsp fish sauce', '1 tbsp brown sugar (- palm, jaggery or plain old brown sugar will do)', '4-5 kaffir lime leaves (3 whole plus 2 for garnish)', '1 cup thai basil leaves (- in all)', 'red chilies to garnish']","panang curry paste
Remove the stems from the chilies. Break the chilies into pieces. Cover with hot water and soak for 30 minutes.
Combine all the panang curry paste ingredients including the rehydrated chilies in a blender. A mini food processor works well for this if you have one. Add a couple tablespoons of coconut milk and puree. If it doesn't puree add a bit more coconut milk. Sneak up on the minimum coconut milk you need to make it puree.
You are trying to puree some pretty hard ingredients. Galangal in particular. This takes a bit of scraping back into the bowl and more time. Be patient. Remember, they used to do this with a mortar and pestle so we have it easy.
panang curry
Heat a wok or skillet over medium heat. Add the oil.
Fry all the curry paste for about 2 minutes. Regulate the heat so it doesn't burn.
Add the coconut milk and 3 whole lime leaves.
Bring to a boil and add the chicken. Cook until the chicken is just done. This takes about 10-12 minutes.
You can use an instant read thermometer to check that you've hit 175F (best). Or cut a piece and sneak a peek (not bad). Or guess and hope you don't kill everyone (not so good). If you haven't killed anyone yet, you probably won't this time. But it is a really good idea to start using an instant read thermometer in general. The pros do. You should too.
Add the fish sauce and sugar and stir to combine. Remove from heat. Stir in most of the basil. Keep a bit for garnish.
Serve with jasmine rice or rice noodles. Garnish with the remaining Thai basil, julienned lime leaves and red chilies if desired.Apparently it also goes with spaghetti. Haven't tried that yet myself...",en-US,"{'servingSize': '2 servings', 'calories': '329 kcal', 'carbohydrateContent': '17 g', 'proteinContent': '33 g', 'fatContent': '13 g', 'saturatedFatContent': '2 g', 'cholesterolContent': '173 mg', 'sodiumContent': '2103 mg', 'fiberContent': '2 g', 'sugarContent': '10 g'}",5.0,,glebe kitchen,65,2 serving(s)
