title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
vietnamese chicken curry - cà ri gà,romain | glebekitchen,https://glebekitchen.com/vietnamese-chicken-curry-ca-ri-ga/,Vietnamese,https://glebekitchen.com/wp-content/uploads/2019/12/vietnamesechickencurryservingdishabove.jpg,"['3 tbsp Vietnamese madras curry powder (not Indian madras curry powder)', '1/2 tsp black pepper', '1 tsp turmeric', '1 tsp salt', '2 bay leaves', '10 oz sweet potatoes (cut into 1 inch pieces)', '1 lb carrots (cut into 1 inch pieces)', '10 oz potatoes (cut into 1 inch pieces. I use yukon gold. )', 'oil to shallow fry', '2 lbs chicken (skinless, bone-in. I like a mix of thighs and drumsticks.)', '1 cup shallots (diced)', '3 stalks lemongrass (cut in half)', '4 cloves garlic (minced)', '1 inch ginger (minced as fine as you can get it)', '3 tbsp fish sauce (- start with 2 tbsp and decide if you want more. )', '3 cups chicken stock (no sodium)', '1 1/2 cups coconut milk', '4 tbsp vegetable oil (you need this much oil to bloom the spices. They will stick or worse, burn if you cut back.)', 'the root vegetables', 'the spice mix', 'cilantro and Vietnamese garlic chili paste to garnish']","Do your prep
Combine the curry powder, black pepper, turmeric and salt in a small bowl. Get your bay leaves ready
Pick off the tough outer layer of the lemongrass. Cut each stalk into three even pieces.
Peel the carrots, sweet potato and potatoes. Cut them all into 1 inch pieces
Chop your shallots. Mince the garlic and ginger.
Skin the chicken. Give is a liberal sprinkling of salt. You are now good to go.
Shallow fry the vegetables and the chicken
A wok is great for this. If you have one use that. If you don't something around a 10 inch pot should also do the trick. You can go bigger but you will need more oil. You want the oil somewhere around 2/3 of an inch deep.
Heat 2 cups of oil over medium heat (or thereabouts - remember around 2/3 inch deep). You are going for a temperature of around 350F for the oil. Slip in a piece of sweet potato. If lively bubbles form around it you know you're good.
You'll need to do this in 2 batches. Shallow fry all the sweet potatoes and half the carrots. Use a slotted spoon to flip them around so they brown evenly. The sweet potatoes take about 3 minutes. The carrots take about 4 minutes. You are going for lightly browned on the sweet potatoes and kind of blistered looking on the carrots. When they are done transfer them to a bowl lined with paper towel.
For the second batch fry the other half of the carrots and the potatoes. Light brown on the potatoes and blistered looking for the carrots.
The oil is hot anyway so you might as well fry the chicken. GIve it around 2 minutes per side. You want colour but you aren't trying to cook the chicken through here. Transfer them to a bowl (no paper towel required) when the come out of the oil.
Make the Vietnamese chicken curry
Heat the 4 tbsp vegetable oil over medium heat in a pot large enough to hold all the ingredients. Add the shallots and sweat until they are translucent and soft. This should take 3-4 minutes.
Add the garlic and ginger and cook for another minute or so.
Turn the heat down to medium low. Push the vegetables off to one side. You should have a puddle of oil in the middle of the pan. Its time to bloom the spices. Add the spice mix. Stir to make sure all the spice is well coated in oil. You may need a splash more oil if it looks dry. Don't worry, you can spoon off some of the oil at the end if you want. Blooming the spices is really important so err on the side of a bit too much oil.
Cook the spices for about 90 seconds to 2 minutes. Be careful. You don't want the spices to burn. This step is critical. It's also a really good trick to have in your bag for anything heavy on spice (think Indian and Mexican).
Add the coconut milk, the chicken stock and 2 tbsp of fish sauce. Give it a good stir. Add the carrots, potatoes and the chicken. Hold the sweet potato back. It takes a little less time to cook sweet potatoes.
Toss in the lemongrass and bay leaf. Bring to a simmer and cook for about 10 minutes.
Add the sweet potato and cook until the chicken reaches an internal temperature of 170F for dark meat. This should take another 15 minutes. If you are using white meat you are going for 160F. Probably want to add your sweet potato in around 5 minutes sooner for white meat.
To serve garnish with cilantro. Pass the garlic chili sauce along for people to add a bit more zing if they want. Serve with good crusty baguette.",en-US,"{'servingSize': '4 servings', 'calories': '739 kcal', 'carbohydrateContent': '47 g', 'proteinContent': '31 g', 'fatContent': '51 g', 'saturatedFatContent': '33 g', 'cholesterolContent': '82 mg', 'sodiumContent': '1910 mg', 'fiberContent': '9 g', 'sugarContent': '9 g'}",5.0,,glebe kitchen,80,4 serving(s)
asian grilled chicken wings,romain | glebekitchen,https://glebekitchen.com/asian-grilled-chicken-wings/,Vietnamese,https://glebekitchen.com/wp-content/uploads/2018/08/asiangrilledchickenwingsplate.jpg,"['2 lbs chicken wings', '3 tbsp fish sauce', '1 tbsp sambal oelek (- best with sambal but you can use whatever Asian chili sauce you can find.)', '1/4 tsp granulated garlic', 'thinly sliced shallot, minced cilantro, sliced red chili pepper and sesame seeds']","Combine the fish sauce, sambal oelek and granulated garlic in a bowl large enough to hold all the wings.
Add the wings to the bowl and toss to coat. Let the wings marinate 1-4 hours (in the refrigerator), stirring occasionally to make sure every piece marinates.
Grill the wings. I prefer charcoal but gas works as well. Set your grill up for high indirect heat. Cook the wings for about 12-15 minutes.
Move a few wings over direct heat. Watch them closely. You want them nicely crisped and brown. You don't want golden black (which is just black and nasty if you are new to this blog). Burnt wings suck.
As they brown, move them back over indirect heat. Cycle the wings through the crisping, direct heat phase until they are all just golden brown .
Continue to cook the wings over indirect heat until you get to an internal temperature of 175F or so. If you don't have an instant read thermometer please get one. Professional cooks use them. You should too.
Serve the wings garnished with the red chili, shallot, cilantro and sesame seeds. You want to make sure every wing gets some garnish when you eat them.",en-US,"{'servingSize': '4 servings', 'calories': '277 kcal', 'proteinContent': '23 g', 'fatContent': '19 g', 'saturatedFatContent': '5 g', 'cholesterolContent': '94 mg', 'sodiumContent': '1235 mg'}",5.0,,glebe kitchen,90,4 serving(s)
carpaccio asian style,romain | glebekitchen,https://glebekitchen.com/carpaccio-asian-style/,Asian,https://glebekitchen.com/wp-content/uploads/2019/03/carpaccioasianstyletoplargeplate.jpg,"['10 oz rib eye or top sirloin (sliced thinly against the grain (see note))', '4 tbsp ponzu sauce (store bought is fine)', '1 1/2 tbsp soy sauce', '1/2 tsp black pepper (coarsely ground)', '1/4 cup fried shallots (see note below)', '1 tsp sesame seeds', '2 tbsp chopped peanuts', '1 green chili (thinly sliced)', '1 tsp sesame oil', 'drizzle truffle oil', 'cilantro or basil']","Place the soy and ponzu in a small sauce pan. Heat to just below a simmer.
Place beef on a serving dish. Lay it flat in a single layer.
Pour hot ponzu/soy overtop.
Drizzle the beef with sesame oil and truffle oil.
Garnish with peanuts, sesame seeds, crispy fried shallots, chilies and herbs.",en-US,"{'servingSize': '4 servings', 'calories': '163 kcal', 'carbohydrateContent': '4 g', 'proteinContent': '17 g', 'fatContent': '8 g', 'saturatedFatContent': '2 g', 'cholesterolContent': '41 mg', 'sodiumContent': '613 mg'}",5.0,,glebe kitchen,25,4 serving(s)
vietnamese grilled chicken with ginger lime noodle salad,romain | glebekitchen,https://glebekitchen.com/vietnamese-grilled-chicken-with-ginger-soy-noodle-salad/,Vietnamese,https://glebekitchen.com/wp-content/uploads/2017/03/vietnamesegrilledchickensmallplate.jpg,"['1 4 lb chicken ( or 4 lbs chicken parts)', '2 large shallots (finely diced)', '2 stalks lemongrass (finely diced)', '3 cloves garlic (crushed)', '2 Tbsp fish sauce', '1 Tbsp soy sauce', '1 tsp sambal oelek ( - red chili paste)', '1/2 tsp coarsely ground black pepper', 'Juice of 1/2 lemon', '1/2 cup vegetable oil', '2 Tbsp ginger (very finely diced)', '2 cloves garlic (very finely diced)', '1/2 green chili (seeded and diced)', '1 tsp sambal oelek', '1/4 cup fish sauce', '1/4 cup water', 'juice of one lime', '4 Tbsp sugar', '8 oz broad rice noodles', '2 green onions (thinly sliced)', '1/4 red pepper (diced)', '1-2 green chilies (thinly sliced)', '1 handful cilantro (torn)', '1 handful mint (torn)', 'chopped peanuts', '3 Tbsp vegetable oil', '1/3 cup ginger lime dipping sauce']","Marinate the chicken
Joint the chicken. Quarter the chicken, removing the back. Separate the thighs from the drumsticks. Remove the wings from the breasts. Cut each breast into 3 roughly equal pieces. You should have 12 pieces of chicken.
Combine the marinade ingredients. In a large bowl, toss the chicken in the marinade. Marinate for no more than 2 hours. Lemon is an acid. It ""cooks"" the chicken and can result in a mushy texture.
Make the dipping sauce
Chop the ginger, green chili and garlic as finely as you can. If you have a morter and pestle, grind them together.
Add the remaining dipping sauce ingredients and stir thoroughly to dissolve the sugar. Let stand about 1 hour before using.
Grill the chicken
Remove the chicken from marinade.
If using a gas grill, set it up for high indirect heat. Place a drip pan under the grill on the cool side. Grill the chicken over the dripping pan for about 25 minutes. Move the chicken over high heat briefly to add grill marks if desired.
If using a charcoal grill, bank the charcoal on both sides and place a drip pan in the middle. Grill the chicken over the drip pan for about 25 minutes. Move it over the charcoal carefully to add grill marks.
The noodles
Soak the noodles in hot water for 40-45 minutes to soften. Do not boil them. Please.
Heat the oil in a wok or large pan. Add the noodles and stir fry until they soften. Remove the pan from heat. Add 1/3 cup ginger lime dipping sauce. Stir briefly and add the green onion, red pepper and green chili.
Alternately you can serve this with a cool noodle salad. You need to cook the noodles first. A soak won't quite do it. Then toss the noodles with the green onion and the peppers. Drizzle with the dipping sauce and a bit of the herbs and peanuts. Works great either way. Mix it up. It will be fine.
To serve
Spread the noodle mixture on a plate. Sprinkle with cilantro, mint and peanuts - or whatever you feel like. Top with the grilled chicken and drizzle the ginger lime sauce overtop. Serve additional dipping sauce on the side.",en-US,"{'servingSize': '4 servings', 'calories': '1084 kcal', 'carbohydrateContent': '67 g', 'proteinContent': '45 g', 'fatContent': '70 g', 'saturatedFatContent': '39 g', 'cholesterolContent': '163 mg', 'sodiumContent': '2477 mg', 'fiberContent': '2 g', 'sugarContent': '15 g'}",-1.0,,glebe kitchen,70,4 serving(s)
vietnamese lemongrass chicken noodle bowl,romain | glebekitchen,https://glebekitchen.com/vietnamese-lemongrass-chicken-noodle-bowl/,Vietnamese,https://glebekitchen.com/wp-content/uploads/2018/06/lemongrasschickenplateabove-1.jpg,"['2 stalks lemongrass (- tender inside part coarsely chopped)', '2 tbsp shallots (- minced)', '1 or 2 cloves garlic (- crushed)', '2 tbsp fish sauce', '1 tbsp soy sauce', '2 tbsp vegetable oil', '1/2 lime (- juiced)', '4 large chicken thighs (- boneless, skinless or use boneless breasts if you like)', '8 oz rice noodles', 'cilantro, mint, thai basil, baby greens, bean sprouts, julienned carrots and lime (- basically whatever you feel like adding)', '1/4 cup fish sauce', '1/4 cup white sugar', '2 tbsp lime juice (- about 1 large lime)', '1 tsp sambal oelek', '2/3 cup hot water', 'red chilies (to taste)']","Prepare the marinade. Combine all the ingredients in a bowl large enough to hold the chicken and mix well.
If using chicken breasts, slice the breasts in half along the horizontal axis. You want fairly thin pieces to maximize surface area. For thighs just pound them lightly to flatten.
Add the chicken and toss to coat. Refrigerate for about an hour.
While the chicken marinates prepare the nuoc cham. Combine all the ingredients and stir. Make sure the water is good and hot. You need to make the sugar dissolve. Set aside at room temperature.
Place the rice vermicelli in a large bowl. Pour boiling water the noodles and let soak until tender. This should take about 10 minutes. Once they are just tender drain through a colander. Rinse with cold water until the noodles are cool. Set aside at room temperature.
Prep your ganishes. Wash them as needed. Pull cilantro, mint and basil leaves off the stems. Julienne any vegetables. Slice the lime. The chicken won't stay hot long so be ready to go.
Prepare your grill for high heat. The chicken will cook quickly so you don't have long to get it to colour up. Grill over high heat until just done. This doesn't take long at all. Two to three minutes per side.
Build your noodle bowls. Divide the noodles into 4. Top with mixed greens and whatever garnishes you choose.. Slice the chicken into bite size pieces and scatter overtop. Drizzle with nuoc cham and pass additional nuoc cham along side to let everyone dress their bowls to taste.",en-US,"{'calories': '464 kcal', 'carbohydrateContent': '66 g', 'proteinContent': '24 g', 'fatContent': '11 g', 'saturatedFatContent': '7 g', 'cholesterolContent': '97 mg', 'sodiumContent': '2326 mg', 'fiberContent': '1 g', 'sugarContent': '14 g', 'servingSize': '1 serving'}",5.0,,glebe kitchen,80,4 serving(s)
Vietnamese spring rolls with peanut sauce,romain | glebekitchen,https://glebekitchen.com/vietnamese-spring-rolls-with-peanut-sauce/,Vietnamese,https://glebekitchen.com/wp-content/uploads/2019/04/vietnamesespringrollsplatterandplatetop.jpg,"['12 rice paper sheets (8 1/2 inch diameter) (- plus a few extra for practice)', '3 oz rice vermicelli', '1/2 lb shrimp ( - 31-40 count - you need 18 shrimp total)', 'leaf or boston lettuce ( - 12 small or 6 large leaves torn in half plus a few more for practice)', 'mint', 'cilantro', 'julienned carrot and cucumber', '1/2 cup peanut butter ( - smooth)', '1/2 cup coconut milk', '2 tbsp hoisin sauce', '1 tbsp fish sauce', '1 tsp sriracha', '1 tbsp rice vinegar', '1/4 cup water']","Make the peanut sauce
Combine all the ingredients in a small sauce pan. Bring to a gentle simmer and cook for about 2 minutes. Set aside to cool. Yes, it's that easy. Which is good because rolling spring rolls is a little more of a challenge.
Cook your shrimp
Bring 3 cups of water to a boil. Add a 1/2 tsp of salt. Drop your cold, thawed shrimp into the pot. Cover. Remove from heat. Let stand exactly 6 minutes.
While they stand prepare an ice bath. In a large bowl combine ice and water.
After 6 minutes drain the shrimp and plunge into cold water to stop them from continuing to cook.
Cut each shrimp in half lengthwise. Set aside.
Make the spring rolls
Do not overstuff your spring rolls. Just don't do it. It will make you crazy. You don't want them too thin but overstuffed is just a mess waiting to happen.
Place the rice vermicelli in a large bowl. Pour hot tap water overtop to completely submerge.
Let stand around 10 minutes or so. Check. You want them a little chewy but not hard. They are probably good to go at this point. If they aren't let them soak another minute or two. Drain and rinse under cold water.
Prep your ingredients. Stem the mint leaves and cilantro. Have your lettuce and shrimp at hand. If you are using carrots or cucumbers keep them close as well.
Fill a large bowl with warm(almost hot) tap water. Not as hot as it goes but pretty warm.
You are making little rice paper burritos. Think about it like that. You want to be able to fold the ends over and then roll them up. Just like a burrito. You have to move fast. Make a couple practice rolls before you start adding the shrimp.
Put a lettuce leaf flat on a cutting board. Put a little rice vermicelli on top. Now add a few sprigs of cilantro (be generous) and roll it into a little lettuce cigar. You want it about 4-5 inches long. Set it to the side of the cutting board.
Top with julienned carrot and cucumber.
Dip a rice paper sheet in the warm water for about 2-3 seconds. It will still be firm but that's OK. Lay it flat on a cutting board. Place a couple mint leaves about a 1/3 of the way down from the side furthest away from you. Arrange the shrimp around the mint. Make sure the cut side is up.
Place the lettuce cigar in the bottom third . Carefully peel up one side (your left or right) and fold it over the filling. Repeat on the other side.
Peel up the side closest to you. Place it overtop the lettuce wrap. Now roll the whole thing away you. Be careful. The rice paper sheet will be very soft by this point. You want to start fairly tight and then relax as you roll over the shrimp.
Do this without the shrimp a couple times. It will come. Just be patient and deliberate. Once you hit your rhythm start making them with shrimp.
Serve the rice rolls with the peanut sauce to dip or drizzle.",en-US,"{'servingSize': '12 rolls', 'calories': '376 kcal', 'carbohydrateContent': '41 g', 'proteinContent': '18 g', 'fatContent': '16 g', 'saturatedFatContent': '6 g', 'cholesterolContent': '98 mg', 'sodiumContent': '981 mg', 'fiberContent': '2 g', 'sugarContent': '3 g'}",4.0,,glebe kitchen,45,6 serving(s)
nuoc cham,romain | glebekitchen,https://glebekitchen.com/nuoc-cham-vietnamese-dipping-sauce/,Vietnamese,https://glebekitchen.com/wp-content/uploads/2019/05/nuocchambowlfront.jpg,"['1/4 cup sugar', '2/3 cup water', '1/4 cup fish sauce', '2 tbsp lime juice (- the juice of one good size lime)', 'thai red chilies (to taste)']","Combine the sugar and water in a small saucepan. Bring to a simmer. Stir to fully dissolve the sugar. Let cool to room temperature.
Add the fish sauce and lime juice to the cooled sugar water syrup. Stir to combine. Add Thai chili slices
Yes. That's it. Told you there's nothing to it...",en-US,"{'servingSize': '1 cup', 'calories': '221 kcal', 'carbohydrateContent': '55 g', 'proteinContent': '3 g', 'fatContent': '1 g', 'sodiumContent': '4563 mg', 'sugarContent': '53 g'}",5.0,,glebe kitchen,14400,1 serving(s)
momofuku pork belly,romain | glebekitchen,https://glebekitchen.com/momofuku-pork-belly/,"Chinese,Japanese",https://glebekitchen.com/wp-content/uploads/2018/01/momofukuporkbellysliced.jpg,"['3 lbs meaty pork belly', '1/4 cup kosher salt (- specifically diamond crystal brand. )', '2 tbsp white sugar', '1 tsp black pepper']","Combine the sugar, salt and black pepper and mix well. You will likely have too much so don't feel like you have to use all of it. You want to coat liberally. Not pack it in the cure mix. Don't use table salt. Diamond crystal kosher salt. If you want to try it with table salt please roll way back on the amount of salt you use. It's tested with diamond crystal. It works with diamond crystal.
Remove the skin from the pork belly. You can get your butcher to do this for you. If you want to do it yourself it's not that hard if you have a good knife. Run the blade along the skin, pulling the flap of skin up as you go along. If you screw up don't worry. Just try again. It's not like it has to be perfect. It's a pork belly...
Pull out a cookie sheet. Put the pork on the cookie sheet and coat the pork belly liberally with the sugar, salt and black pepper mixture.
Refrigerate the pork belly, uncovered for 12 hours. Try not to go less than 10 hours. Don't go much over 14. A long cure is not what you are looking for here.
Pre-heat your oven to 290F.
Remove the pork from the fridge, brush any remaining cure from the surface (or give it a quick rinse) and place it in a baking pan large enough to hold it comfortably. If you don't have one, use your cookie sheet. Cover with foil and place in the oven.
Cook to an internal temperature of 190F. I can't tell you how long this will take because I don't know how thick your pork belly is. Maybe 4 hours. But start checking after two hours. This is like BBQ. It's done when it's done.
Remove the pork from the oven and let rest 10-15 minutes. Slice and serve.
To re-heat, steam slices if you want it meltingly tender. Pan-fry slices if you want a bit of crust. All good...",en-US,"{'servingSize': '8 g', 'calories': '893 kcal', 'carbohydrateContent': '3 g', 'proteinContent': '15 g', 'fatContent': '90 g', 'saturatedFatContent': '32 g', 'cholesterolContent': '122 mg', 'sodiumContent': '1500 mg', 'sugarContent': '2 g'}",4.64,,glebe kitchen,1680,8 serving(s)
salmon with rice noodles,glebe kitchen,https://glebekitchen.com/salmon-with-rice-noodles/,Asian,https://glebekitchen.com/wp-content/uploads/2016/11/limesoysalmonnoodles.jpg,"['4 salmon fillets (about 4 oz each)', '1 Tbsp vegetable oil', '4 oz rice vermicelli', '1 carrot (grated)', '2 green onions ( - green-portion slivered, white portion thinly sliced)', '1 red or green finger hot chilis (sliced thinly)', '2-3 sprigs fresh cilantro (chopped)', '1 Tbsp lime juice', '2 Tbsp soy sauce', '3 Tbsp vegetable oil', '2 tsp honey', 'a few grinds of black pepper']","The salad
Prepare the vermicelli following the instructions on the package. Drain and rinse with cold running water.
Combine all the dressing ingredients and mix.
Reserve about 1 Tbsp of the dressing to baste the fish.
Toss the vermicelli, green onion, chilies, carrot and cilantro. Mix in the dressing or, if you prefer, drizzle the dressing over each individual portion on the plate before topping with the salmon.
The salmon
Brush reserved dressing over the fish.
Heat about a Tbsp of vegetable oil in a non-stick frying pan large enough to hold the fish. Over medium to medium-low heat, cook the fish for about 2 minutes on either side for translucent salmon. Cook longer if you prefer your salmon flaking and cooked through.
To serve
Place 1/4 of the salad in the centre of the plates. Drizzle with the vinaigrette if you didn't mix it in.
Top with the salmon. Sprinkle with sesame seeds if you like.",en-US,"{'servingSize': '4 servings', 'calories': '489 kcal', 'carbohydrateContent': '29 g', 'proteinContent': '35 g', 'fatContent': '24 g', 'saturatedFatContent': '12 g', 'cholesterolContent': '93 mg', 'sodiumContent': '678 mg', 'fiberContent': '1 g', 'sugarContent': '4 g'}",5.0,,glebe kitchen,20,4 serving(s)
vietnamese noodle salad bowl,glebe kitchen,https://glebekitchen.com/vietnamese-noodle-salad/,Vietnamese,https://glebekitchen.com/wp-content/uploads/2016/06/vietnamesenoodlesaladtopclose.jpg,"['1/4 cup white granulated sugar', '2 Tbsp fish sauce', '1 Tbsp garlic (crushed)', '1 Tbsp soy', '3 Tbsp vegetable oil', '1 tsp sambal oelek ( - srirachi would work as well)', 'black pepper to taste', '12 ounces pork shoulder (- sliced thin)', '2 tbsp vegetable oil', '1/2 package of rice vermicelli', 'shaved carrot', 'sliced cucumber', 'cilantro (- chopped coarsely)', 'mint leaves (- chopped coarsely)', 'Nuoc cham (to serve)', '1/4 cup water', '2 Tbsp sugar ( - up to 3 if you like it a bit sweet)', '2 Tbsp fish sauce (or more if you like it a bit saltier)', 'Juice of 1/2 lime', '1/2 tsp sambal oelek ( - srirachi would work here as well)']","Vietnamese Pork Bun
Combine all marinade ingredients with the pork and refrigerate for 1-2 hours.
Pour boiling water over the rice noodles to soften (follow the instructions on the package) and chill the noodles. Running cold water over the noodles to chill works nicely.
Pre-heat your frying pan or wok over medium high heat. Add the oil. When it starts to shimmer cook half the pork, flipping it regularly until it browns and is cooked through. This will not take long. A few minutes max. Remove the pork when cooked and repeat with the remaining pork.
To serve, divide rice noodles into two bowls and top with chopped vegetables, cilantro and mint and pork. Pour 1/2 the nuoc cham over each bowl (or serve on the side and let people season to taste).
Nuoc Cham
Combine all ingredients in a small sauce pan and heat to a simmer. Cool and serve.",en-US,"{'servingSize': '2 servings', 'calories': '977 kcal', 'carbohydrateContent': '134 g', 'proteinContent': '44 g', 'fatContent': '27 g', 'saturatedFatContent': '18 g', 'cholesterolContent': '107 mg', 'sodiumContent': '3217 mg', 'fiberContent': '1 g', 'sugarContent': '38 g'}",5.0,,glebe kitchen,90,2 serving(s)
