title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
Seared Tuna Sashimi (Aburi Toro),Namiko Chen,https://www.justonecookbook.com/seared-tuna-aburi-toro/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2011/11/Seared-Tuna.jpg,"['sashimi-grade super fatty tuna belly (otoro)', 'Green onion/scallion ((finely chopped))', 'Yuzu']","With a very sharp knife, slice sashimi into 3/8 inch slices. You don’t want it too thin or else the torch will cook through the entire slice.
Cover a plate with aluminum foil and place the sashimi slices on top. Start blowing torch until top is lightly brown. The goal is for lightly searing outside but still raw on the inside.
Serve on a plate and sprinkle with green onion. Dip in yuzu to eat.",en-US,{},4.0,,Just One Cookbook,10,None
Chicken Spring Rolls,Namiko Chen,https://www.justonecookbook.com/chicken-spring-rolls/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2015/04/Chicken-Spring-Rolls.jpg,"['½ lb boneless, skinless chicken breast', '1 tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', ""2 Tbsp sake ((In Japan, we use sake to remove the unwanted odor of chicken. You can skip if you can't take alcohol.))"", '2 green onions/scallions', '1 knob ginger ((1"", 2.5 cm))', '1 carrot', '2 Persian/Japanese cucumbers ((or 1 English cucumber))', '5 butter lettuce leaves', '1 bunch cilantro (coriander)', '2 sprigs mint leaves', '10 rice paper wrappers', '2 Tbsp toasted white sesame seeds', '½ inch ginger', '1-2 clove garlic', '3 Tbsp sugar', '3 Tbsp soy sauce', '2 Tbsp rice vinegar', '2 tsp sesame oil (roasted)', '1 tsp la-yu (Japanese chili oil)']","Gather all the ingredients.
For the sauce, grind 2 Tbsp toasted sesame seeds in your mortar and pestle. Transfer the ground sesame seeds into a small bowl. Then grate the ½” ginger and 1-2 garlic cloves (I used a Microplane grater).
In a small bowl, whisk together 3 Tbsp sugar, 3 Tbsp soy sauce, 2 Tbsp rice vinegar, 2 tsp sesame oil, and 1 tsp la-yu and set aside.
Chop the scallions into 3 pieces. Slice 1” ginger into thin slices.
Butterfly the chicken breast. Butterflying is a really useful technique to create a uniform thickness throughout a piece of meat so that it will cook more quickly and evenly. First, remove the tender (small inner fillet) by cutting away any connective tissue. Turn the breast over and with the edge of a knife parallel to the cutting board, cut the length of the side of the breast. Carefully slice the breast in half widthwise almost to the other edge. Keep the edge intact and open the breast along the fold.
In a large pot, add water, 1 tsp salt, and 2 Tbsp sake that is enough to cover the chicken. Put sliced ginger and scallions and bring it to a boil. Once boiling, put the chicken (breast and tender) in the pot, reduce the heat to the lowest setting, and cover the lid. Cook the chicken for 15 minutes.
Meanwhile, juliene carrot and cucumber. I use a juliene slicer but if you don’t have one, cut into thin sheets first and then cut into matchstick size strips.
Take out the chicken from the pot onto a plate and immediately cover with the plastic wrap to prevent from drying. Once the chicken has cooled, shred the chicken into small pices with your hands.
Rinse the butter lettuce, mint, and cilantro under water and dry completely. Set all the ingredients on the working surface.
Pour hot water in a large bowl. Working with 1 wrapper at a time, soak the wrapper in the hot water and rotate 2-3 times, about 10 seconds. The wrapper will still feel slightly stiff but don’t worry, it will become softer. Place it flat on a working surface.
Lay the butter lettuce, chicken, carrot, and cucumber at the bottom ⅓ of the wrapper closest to you, and place the mint and cilantro leaves at the top ⅓ of the wrapper.
Pressing firmly down to hold the filling in place, fold the bottom of the wrapper and start rolling tightly.
Around the middle of the wrapper, fold both sides of the wrapper in and roll up tightly to the top. Place on a plate and cover loosely with plastic wrap and repeat with the remaining wrappers and fillings. Cut in half or in thirds, and serve with the Sesame Dipping Sauce.
To Store
Keep the spring rolls tightly covered with plastic wrap at room temperature for up to 2 hours.",en-US,{},4.5,,Just One Cookbook,60,10 serving(s)
Gyoza with Wings,Namiko Chen,https://www.justonecookbook.com/gyoza-with-wings-hanetsuki-gyoza/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2018/07/Gyoza-with-Wings-w600.jpg,"['6-8 gyoza ((you can use 10-15 gyoza with this recipe))', '100 ml water ((To make 100 ml, take away 1 Tbsp from ½ cup))', '2 tsp flour', '1 Tbsp neutral-flavored oil (vegetable, canola, etc)', '2 tsp sesame oil (roasted)']","Gather ingredients. You can use homemade gyoza or store-bought gyoza for this recipe.
Combine 100 ml water and 2 tsp all-purpose flour.
Heat 1 Tbsp neutral flavor oil in a frying pan over medium to medium-high heat.
Cook the gyoza until the bottom is golden brown (more toward light golden brown).
Remove the hot frying pan from the heat and press on a damp cold towel for 3-5 seconds to cool the pan immediately.
Put the frying pan back to the heat. Whisk the flour mixture well one more time and pour the flour mixture into the pan. Cover the pan with a lid and cook on medium-low heat for 6-7 minutes.
If you have a glass lid, you can see the cooking process. If you don’t have a glass lid, check the amount of the liquid once in a while.
When gyoza is cooked through (skin is more see-through) and the flour mixture is almost evaporated, open the lid.
Since the gyoza is cooked already, all you need to do is to let the water evaporated. When the edges of the wings start to peel off from the pan (see right picture below), drizzle sesame oil around the edge of the wings. Adjust the heat according to the color of the wings. If it’s lighter, you can increase the heat slightly.
The sesame oil not only gives a delicious flavor, but also helps cook the flour mixture to make it crispy. Shake the pan a few times to detach the wings from the pan. You can use chopsticks to gently poke around the edges.
Put a plate over the gyoza and flip over. Tip: If you use a plate that’s smaller than a frying pan, you can gently press the gyoza so it doesn’t move around. It’s much easier to flip than using a larger plate. Be very careful as the oil might drip from the pan while you flip.
Serve the gyoza with wings with soy sauce. Optionally, you can add a tiny bit of rice vinegar or/and la-yu (Japanese chili oil).",en-US,{},4.34,,Just One Cookbook,15,1 serving(s)
Sautéed Abalone,Namiko Chen,https://www.justonecookbook.com/sauteed-abalone/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2012/07/Sauteed-Abalone.jpg,"['5 baby abalone', '1 Tbsp unsalted butter', '1 clove garlic ((minced))', '2 Tbsp dashi (Japanese soup stock; click to learn more)', '2 Tbsp lemon juice', 'green onion/scallion ((Finely chopped, for garnish))']","Gather all the ingredients.
Use a knife to remove from the shell. Remove the abalone guts and heart.
Clean the abalone with tiny bit of salt under running water.
Make some slits crosswise.
Melt butter on the frying pan over medium heat.
Add abalone.
Then quickly add minced garlic.
Lastly pour dashi stock and lemon juice and turn abalone and saute for 1 minute. Do not overcook. Remove from heat immediately.
Garnish with green onions and serve immediately.",en-US,{},4.5,,Just One Cookbook,15,1 serving(s)
Grilled Oysters with Ponzu Sauce,Namiko Chen,https://www.justonecookbook.com/grilled-oysters-ponzu-sauce/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2018/01/Grilled-Oyster-w600.jpg,"['6 oysters', 'coarse sea salt ((optional))', '3 Tbsp ponzu ((for homemade ponzu recipe, click here))', '¼ tsp yuzu kosho (Japanese citrus chili paste)', '1 inch daikon radish', '½ Persian/Japanese cucumber', '1 green onion/scallion', '1 lemon']","Gather all the ingredients first.
Take out the oysters from the bag as soon as you get home.
Scrub oysters with brush under running cold water and place them on ice until you’re ready to grill.
Thinly slice green onions.
Cut the lemon in half, and cut 2 thin slices of lemon. Then cut them into quarters (now you have 8 quarters). Set aside.
Grate cucumber and set aside in a small bowl.
Peel daikon and grate finely. Set aside in a small bowl.
Put some yuzu kosho and ponzu in a small serving bowl, and mix well.
On a serving platter, create 6 mounds of coarse sea salt for nesting each oyster.
To Grill
Preheat grill to high heat. Place the oysters on the heated grate with the cup sides facing down to hold in the juices. Cover and grill until oysters begin to open, about 4-5 minutes. Keep in mind the cooking time depends on the strength of grill and size of oysters.
Use tongs, transfer each opened oyster from the grill as soon as the shell pops open (even slightly open). Discard any oysters that do not open.
To open the oysters, place one oyster between a folded kitchen cloth. Open the shell, keeping the cup side down. Using a paring knife, cut the connected muscles between shells. Discard the top shell and remaining brine (it would be too salty to eat with ponzu). Pick out any fragments of the shell and place it on the platter. Repeat with the rest of oysters.
To Serve
Put lemon slices, grated daikon, and grated cucumber on 2 oysters; place chopped green onion and lemon slices on the other 2 oysters, and finally just lemon slices on the last 2 oysters. Pour regular ponzu or Yuzu Kosho Ponzu on the oysters to enjoy.",en-US,{},5.0,,Just One Cookbook,29,2 serving(s)
Japanese Clams (Sake Steamed Clams),Namiko Chen,https://www.justonecookbook.com/japanese-clams-sake-steamed-clams/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2011/11/Japanese-Clams.jpg,"['¾ cup sake', '1 Tbsp ginger ((julienned))', '1.5 lbs Manila Clams/Littleneck Clams ((de-grited, see Notes))', '1 dried red chili pepper', 'freshly ground black pepper', '1 green onion/scallion ((chopped))']","In a large frying pan, add the sake and ginger and bring it to a boil.
Add the clams and a red chili pepper. Place the lid and steam on high heat for a few minutes until all the clams open.
Remove the lid and add freshly ground black pepper and green onion. Shake the pan to make sure the clams are not over-lapping each other.
Serve with the soup and eat while warm.",en-US,{},4.37,,Just One Cookbook,15,2 serving(s)
"Miso Dengaku (Tofu, Eggplant, Daikon & Konnyaku)",Namiko Chen,https://www.justonecookbook.com/miso-dengaku/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2019/09/Miso-Dengaku-5933-I.jpg,"['2 Tbsp sake', '2 Tbsp mirin', '2 Tbsp sugar ((use 3 Tbsp instead of 2 Tbsp if you use hatcho miso))', '4 Tbsp miso ((traditionally the Japanese use red miso but any miso is ok))', '1 medium-firm tofu ((14 oz, 397 g))', '3 Japanese/Chinese eggplant ((alternatively use 1 globe eggplant))', '1 Tbsp neutral-flavored oil (vegetable, canola, etc)', '1 tsp toasted white sesame seeds', '3 inch daikon radish ((top green part of daikon is sweeter and less bitter))', '½ tsp toasted white sesame seeds', '2 blocks konnyaku (konjac) ((18 oz, 510 g))']","Gather all the ingredients.
Miso Dengaku Sauce
Combine 2 Tbsp sake, 2 Tbsp mirin, 2 Tbsp sugar, and 4 Tbsp miso in a saucepan. Mix well to combine and then bring to a gentle simmer over the lowest heat. Stir constantly and cook for 2-3 minutes. Make sure the miso doesn’t burn. When the miso has thickened, it’s ready to use. To Sore: You can put the miso in the airtight container and store the refrigerator for up to 3-4 weeks.
Use the miso glaze to slather on the foods you prepare below.
★ Tofu & Eggplant Dengaku
Preheat the oven to 400ºF (200ºC). For a convection oven, reduce cooking temperature by 25ºF (15ºC). Wrap the tofu with 2 sheets of paper towel and press the tofu between two plates for 30 minutes. Alternatively, you can microwave paper towel-wrapped tofu for 60-90 seconds to dehydrate. Once the tofu is dehydrated, cut it into small bite-size (any shape is ok), and the thickness should be about ¾ inch (1.5 cm).
Cut the eggplant in half lengthwise and score it in a crisscross pattern. This will help the eggplant absorb more flavors. Immediately soak in water to prevent the eggplants from changing colors, and to remove the bitter taste. Drain and dry with a paper towel.
Place the tofu and eggplants (skin side down) on a rimmed baking sheet lined with parchment paper or a silicone baking sheet. With a brush, apply vegetable oil on top and bottom of tofu and eggplants. Bake at 400ºF (200ºC) for 30 minutes, or until the eggplant is tender. Remove the baking sheet from the oven. Adjust the oven rack 6-inches from the heating element and preheat the broiler for 3 minutes. Meanwhile, carefully spoon some of the Miso Dengaku Sauce onto your tofu and eggplants and spread evenly. Broil for 3-4 minutes, or until the top has nice char and caramelization. Transfer to a serving platter, sprinkle with sesame seeds, and serve immediately.
★ Daikon Dengaku
Peel the daikon and cut it into ¾ inch (1.5-2 cm) rounds (you can cut into half-moon shape if daikon is too big). Make a crisscross incision in the center (just one side – this will be the bottom side when serving), which helps absorb the seasonings. We call this technique “Kakushi Bocho”.
Place the daikon in the pan and cover with water. Ideally, instead of water, you want to use the rice-soaked water (the first white water that you throw away while washing rice). It’ll help daikon keep the pretty white color. Now bring to boil over high heat. Once boiling, cook on low heat for 20 minutes.
Drain the rice soaked water and put the daikon back in the pot. Cover the daikon with water, put the kombu, and bring to a boil. Right before boiling, remove and discard the kombu. Lower the heat to simmer and cook daikon for another 20 minutes, or until a skewer pierces through smoothly. Turn off the heat and transfer to a serving dish. Pour a generous amount of Dengaku Miso and sprinkle sesame seeds on top. Serve warm.
★ Konnyaku Dengaku
Cut the konnyaku into bite-size pieces and gently score each piece with a crisscross pattern on the top.
Bring water in a medium saucepan to boil and cook konnyaku for 3 minutes. Drain and allow to cool a little bit before stringing onto bamboo skewers. Slather a generous amount of Dengaku Miso on top and serve immediately.
To Store
You can keep the leftovers in an airtight container and store in the refrigerator for up to 3 days.",en-US,{},4.62,,Just One Cookbook,70,4 serving(s)
Thai Chicken Lettuce Wraps,Namiko Chen,https://www.justonecookbook.com/thai-chicken-lettuce-wraps/,Thai,https://www.justonecookbook.com/wp-content/uploads/2014/08/Thai-Chicken-Lettuce-Wraps.jpg,"['1 Tbsp extra-virgin olive oil', '1 lb boneless, skinless chicken breast', '1 carrot', '3 inch daikon radish ((green top part is sweeter and less bitter))', '1 head butter lettuce', '¼ cup peanuts ((optional))', '3 sprig mint', '3 sprig cilantro (coriander)', 'kosher/sea salt (I use Diamond Crystal; Use half for table salt)', 'freshly ground black pepper', '2 Tbsp soy sauce', '2 cloves garlic ((minced))', '1 green onion/scallion ((chopped))', '1 tsp potato starch/cornstarch', '¼ cup Thai sweet chili sauce', '1 Tbsp cilantro (coriander) ((optional, roughly chopped))']","Gather all the ingredients.
Pound the chicken breast to an equal thickness.
Put the chicken breast in a large bowl and add all the marinade ingredients to the bowl. Rub the chicken with the marinade and set aside for 15 minutes.
Using a julienne slicer, cut carrot and daikon into matchstick sized strips. If you don’t have a julienne slicer, cut into thin sheets first, then cut into matchstick sized strips.
Coarsely chop the peanuts with a knife or grind them in a mortar and pestle. Put the Thai chili sauce and chopped cilantro in a small dish.
Heat the oil in a large grill pan (or regular frying pan). When the pan is hot, place the chicken into the pan without adding marinade (To brown the meat nicely, we do not add any liquid). Cover and cook the chicken on medium-high heat for 2-3 minutes, until golden brown on the bottom.
Flip and cover to cook for another 2-3 minutes till the meat is cooked through. If the meat is browning too fast, lower the heat.
Take out the chicken and cut into small cubes.
To serve, place the chicken, butter lettuce, julienned vegetables, peanuts, and herbs on the plate. To eat, lay the lettuce leaf on a platter, then put some of the chicken, julienned carrots and daikon, herbs onto the leaf. Sprinkle with the peanuts and drizzle with sweet chili sauce to eat. Enjoy!
To Store
You can store the leftovers in an airtight container and refrigerate for 3 days or in the freezer for a month.",en-US,{},5.0,,Just One Cookbook,30,4 serving(s)
Shrimp Egg Rolls,Namiko Chen,https://www.justonecookbook.com/shrimp-egg-rolls/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2019/06/Shrimp-Egg-Rolls-8480-I-1.jpg,"['½ lb shrimp ((roughly 10 shrimp))', '1 Tbsp sake', '⅛ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '1 knob ginger ((1"", 2.5 cm))', '1 negi (long green onion)', '5 egg roll wrappers', '4 Tbsp Negi Miso', '¾ cup neutral-flavored oil (vegetable, canola, etc) ((for deep frying))', '1 tsp all-purpose flour (plain flour)', '1 tsp water']","Gather all the ingredients.
To Prepare Ingredients
Pull off the head if it is still attached. Pull off the outer shell. Devein the back of shrimp with a skewer. The vein runs right along the back. Insert the tip of skewer sideways about ½ inch down from the head of the shrimp and pull the skewer tip up towards you. This will lift up the vein and you can pull off the vein with the skewer or with your hand. If the vein is broken, then insert again a bit lower towards the tail. If you can’t find the vein, then don’t worry about it. [Recommended] Clean the shrimp with a pinch of salt, 1 Tbsp potato/corn starch, and 2 Tbsp water in a bowl and rub until you see dirty water. Rinse until clean.
Cut the tip of the tail diagonally (as you see below).
Remove dirty water in the tail by holding the tip of the knife down on the tail and moving it from left to right squeezing the water out from the cut tip. If you skip this process, water retained in the tail might create splatter in the oil.
Now all the tail is almost translucent.
Make a couple of slits diagonally underside of the shrimp.
Hold the shrimp with both hands and straighten it as much as possible in order to get the desired shape.
In a small bowl, put the shrimp, sake, and salt and mix well together. Let it marinate until you’re ready to use them.
Peel the ginger skin and cut it into julienned strips.
Cut the negi diagonally into thin slices.
Cut the egg roll wrappers in half and peel off one egg roll at a time to separate them (now you have 10 wrappers!).
Prepare the flour mixture by mixing flour and water in a small bowl. Put the Negi Miso in a small bowl.
To Wrap
Place an egg roll wrapper in front of you with one point of the long side of the wrapper towards you. Place the Negi Miso and shrimp (tail sticking out ½ of the way onto the wrapper on the long side.
Put julienned ginger and negi on the shrimp. Fold bottom edge of the wrapper over the shrimp.
Fold the side edge over to meet the shrimp, and begin to roll.
Continue rolling until you meet the end of the wrapper. Place a small dollop of the flour mixture on the edge of the wrapper. Repeat wrapping until all shrimp and wraps are done.
To Deep Fry
In a large frying pan or medium saucepan, place ½ inch of oil. Heat on medium heat until hot and begins to have tiny bubbles when a chopstick tip is placed in the oil.
Slowly place egg rolls in the pan. Do not crowd. Cover with the splatter guard if you have one. Cook until golden brown and shrimp is fully cooked. About 3 minutes on each side.
Remove from pan and place on paper towel to catch any excess oil. Serve with Negi Miso.",en-US,{},4.57,,Just One Cookbook,45,10 serving(s)
Agedashi Tofu,Namiko Chen,https://www.justonecookbook.com/agedashi-tofu-2/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2011/06/Agedashi-Tofu1.jpg,"['1 block medium-firm tofu ((1 block = 14 oz) (or soft tofu, see Notes))', '4 Tbsp potato starch/cornstarch', '3-4 cups neutral-flavored oil (vegetable, canola, etc)', '1 cup dashi (Japanese soup stock; click to learn more) ((use kombu dashi for vegetarian/vegan))', '2 Tbsp soy sauce', '2 Tbsp mirin', '1 daikon radish ((1 daikon = 2.5 cm))', '1 green onion/scallion', 'Katsuobushi (dried bonito flakes) ((optional, and skip if vegetarian))', 'shichimi togarashi (Japanese seven spice) ((optional))']","Gather all the ingredients.
Wrap the tofu with 2-3 layers of paper towels and place another plate on top. Drain the water out of tofu for 15 minutes.
Peel and grate the daikon and gently squeeze water out. Cut the green onion into thin slices.
Put dashi, soy sauce, and mirin in a small saucepan and bring to boil. Turn off the heat and set aside.
Remove the tofu from paper towels and cut it into 8 pieces.
Heat the oil to 350F (175C) in a deep fryer or medium saucepan. Coat the tofu with potato starch, leaving excess flour, and immediately deep fry until they turn light brown and crispy.
Remove the tofu and drain excess oil on a plate lined with paper towels or wire rack.
To serve, place the tofu in a serving bowl and gently pour the sauce without wetting the tofu. Garnish with grated daikon, green onion, katsuobushi, and shichimi togarashi.",en-US,{},4.61,,Just One Cookbook,30,3 serving(s)
