title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
Soba Noodle Salad,Namiko Chen,https://www.justonecookbook.com/soba-salad/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2016/08/Soba-Salad-NEW.jpg,"['7 oz dried soba noodles (buckwheat noodles) ((2-3 bundles))', '2 green onions/scallions', '1 bunch cilantro ((0.7 oz, 20 g))', '1 Tbsp toasted white sesame seeds', '1 Tbsp neutral-flavored oil (vegetable, canola, etc)', '3 Tbsp sesame oil (roasted)', '½ tsp crushed red peppers (red pepper flakes)', '3 Tbsp honey ((use maple syrup for vegan))', '3 Tbsp soy sauce']","Gather all the ingredients.
To make the dressing, combine 1 Tbsp vegetable oil, 3 Tbsp sesame oil, and ½ tsp crushed red peppers in a small saucepan.
Whisk all together and infuse the oil over medium heat for 3 minutes. Alternatively, you can put these ingredients in a small microwave-safe bowl and microwave for 3 minutes. Set aside to let it cool a bit; be careful while handling as it'll get very hot.
Add 3 Tbsp honey and 3 Tbsp soy sauce to the oil mixture.
Whisk all together until honey is completely dissolved.
Bring water to a boil (You do not need to salt the water for cooking soba). Cook the soba noodles according to the package instructions, but make sure they are al dente. Drain into a colander and rinse the soba noodles under cold running water. This step is important to remove the starch from the soba noodles. Drain well and transfer to a large bowl.
Thinly slice the green onions and chop cilantro into small pieces.
Combine the soba noodles, dressing, green onion, cilantro, and sesame seeds in the bowl.
Toss everything together. Transfer to a serving bowl or plate. Serve chilled or at room temperature.
To Store
You can keep the leftovers in an airtight container and store in the refrigerator for up to 3 days and in the freezer for 2 weeks.",en-US,{},4.55,,Just One Cookbook,15,4 serving(s)
Seaweed Salad,Namiko Chen,https://www.justonecookbook.com/seaweed-salad-recipe/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2020/01/Seaweed-Salad-with-Miso-Dressing-0238-I.jpg,"['15 gram dried seaweed salad mix ((½ ounce, about 1 handful))', '1 Tbsp miso ((or ½ Tbsp white miso + ½ Tbsp red miso) (I used awase miso))', '1 Tbsp soy sauce', '1 Tbsp rice vinegar', '1 tsp sesame oil (roasted)', '1 tsp mirin', '1 tsp toasted white sesame seeds ((and more for sprinkle))']","Gather all the ingredients.
Soak the dry seaweed salad mix in cold water for 5-8 minutes. Drain the seaweed and squeeze out the excess water. Serve the seaweed in individual bowls or large serving bowl. Chill the salad before serving.
For the dressing, use a mortar and pestle to grind the sesame seeds. This will add nice aroma and texture to the dressing.
Combine Miso Dressing ingredients in a small bowl and whisk together. Put the dressing in a small bowl or dressing bottle. Mix or shake the dressing before pouring to the salad.",en-US,{},5.0,,Just One Cookbook,10,2 serving(s)
Daikon Salad (Radish Salad with Japanese Plum Dressing),Namiko Chen,https://www.justonecookbook.com/daikon-salad-radish-salad/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2012/09/Daikon-Salad-with-Japanese-Plum-Dressing.jpg,"['3 inch daikon radish ((Japanese radish))', '3 bunches mizuna (Japanese mustard green) ((optional or replace with cucumber or micro greens etc))', '3 shiso leaves (perilla/ooba) ((perilla) (optional))', '2 Tbsp katsuobushi (dried bonito flakes) ((for garnish, optional))', '2 Tbsp Ikura (salmon roe) ((for garnish, optional))', '1 umeboshi (Japanese pickled plum) ((Japanese pickled plum – see below))', '3 Tbsp ponzu ((See Notes for homemade recipe))', '1 Tbsp sesame oil (roasted)', '1 Tbsp rice vinegar', '½ Tbsp soy sauce', '⅛ tsp sugar']","With a mandolin slicer (I use this brand), shred daikon to thread pieces.
Soak shredded daikon in cold water for 5-10 minutes to get the crunchy texture and get rid of the bitter flavor.
Cut mizuna into 3 inches.
Chiffonade shiso leaves.
Combine all the salad ingredients in a bowl and toss it all together.
Remove the seed from umeboshi and chop into small pieces.
Combine all the dressing ingredients in a small bowl and whisk all together.
Serve chilled. Sprinkle katsuobushi (bonito flakes) and ikura (salmon roe) if you like. Pour the dressing when you are ready to serve.",en-US,{},5.0,,Just One Cookbook,20,3 serving(s)
Shabu Shabu Salad,Namiko Chen,https://www.justonecookbook.com/shabu-shabu-salad/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2020/05/Shabu-Shabu-Salad-4785-I-1.jpg,"['2 cups water', '2 Tbsp sake', '½ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '½ lb thinly sliced pork loin', '4 oz mizuna (Japanese mustard green) ((can use any green salad))', '5 oz iceberg lettuce ((2-3 leaves))', '1 Persian/Japanese cucumber ((4 oz, 113 g))', '½ red onion ((3 oz, 85 g))', '1 tomato ((6 oz, 170 g))', '2 Tbsp soy sauce ((I used Kikkoman® Gluten-Free Tamari Soy Sauce))', '2 Tbsp sesame oil ((I used Kikkoman® Sesame Oil))', '2 Tbsp rice vinegar', '½ tsp sugar', '1 knob ginger', '¼ tsp freshly ground black pepper', '1 tsp toasted white sesame seeds']","Gather all the ingredients.
To Make Shabu Shabu
Bring a medium pot of water to a boil. Once boiling, add 2 Tbsp sake and ½ tsp salt and reduce the heat to low heat/simmer.
One slice at a time, cook the pork loin in the simmering water until no longer pink. Do not overcook. As soon as the color changes, take it out.
Transfer to a plate lined with a paper towel. Continue with the rest of the meat. Try not to put all the meat at once. It will overcook and the meat slices clump together. Let cool at the counter until the meat is at room temperature, then transfer to the refrigerator to chill.
To Make Dressing
Please Note: If you increase the amount of salad or like to pour more dressing, you may want to double the recipe. The dressing ingredients are measured for the exact amount for this recipe. Peel the skin of ginger and grate until you have ½ tsp of grated ginger.
In a small bowl, combine 2 Tbsp soy sauce, 2 Tbsp sesame oil, 2 Tbsp rice vinegar, and ½ tsp sugar.
And add ½ tsp grated ginger, ¼ tsp freshly ground black pepper, and 1 tsp white sesame seeds.
Whisk together until sugar is completely dissolved. You can pour the dressing into a serving container (optional). You can keep this dressing for up to a week, if you want to make a lot ahead.
To Make Salad
Cut the mizuna into 2-inch pieces and put them into a large bowl.
Remove the core of the iceberg lettuce and then cut into julienned pieces.
Cut off the ends of the cucumber and cut it in half lengthwise. Then thinly slice the halves diagonally.
Thinly slice the onion against the grain. Then transfer to iced water and soak for 5 minutes to remove the bitterness and make the onion crisp.
Combine the mizuna, iceberg lettuce, cucumber, and onion in a large bowl and toss together. If you have time, chill for 30 minutes.
To Serve
Cut the tomato into wedges.
Serve the salad on a plate, topped with pork and tomatoes. Drizzle the dressing and enjoy! Optional: You can add pork and dressing in the bowl and toss all together before plating. This is my preferred serving style; however, the classic Shabu Shabu Salad is typically constructed with layers of salad and pork, topped with the dressing.
To Store
You can prepare and store this dish ahead of time. Keep the salad, pork, and dressing separately until you're ready to serve. You can keep it for 24 hours. The dressing can be made ahead and kept in an airtight jar for up to a week.",en-US,{},4.41,,Just One Cookbook,55,4 serving(s)
Eggplant and Myoga Salad,Namiko Chen,https://www.justonecookbook.com/eggplant-and-myoga-salad/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2020/08/Eggplant-Myoga-Salad-7889-I.jpg,"['1 Japanese eggplant ((4 oz, 113 g))', '½ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '3 Myoga ginger', ""4 shiso leaves (perilla/ooba) ((Skip if you don't have shiso))"", '1 Tbsp sesame oil (roasted)', '1 tsp soy sauce', '4 Tbsp katsuobushi (dried bonito flakes)']","Gather all the ingredients.
Cut the eggplant in half lengthwise.
Remove the stem end of the eggplant and thinly slice it diagonally.
Why? This gives the eggplant a bit larger surface than slicing it widthwise. Now sprinkle salt all over the eggplant and rub it with salt. Set aside/leave it for 10 minutes.
Squeeze the eggplant to remove the excess moisture (where the astringency is). Transfer the eggplant into a medium bowl.
Remove the stem end of myoga ginger and thinly slice it diagonally. If you are using regular ginger, cut the 2 thin slices into julienned strips and soak in water for 5 minutes. This will help remove a strong gingery taste.
Roll up the shiso leaves, start from the stem side to the tip, and then cut into julienne strips. Separate the chunks of shiso with hands.
Add myoga and shiso in the bowl along with sesame oil and soy sauce.
Add katsuobushi and mix all together.
Serve the salad in a large bowl or individual bowls. Enjoy!",en-US,{},3.67,,Just One Cookbook,25,4 serving(s)
4 Easy Japanese Salad Dressings,Namiko Chen,https://www.justonecookbook.com/japanese-salad-dressings/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2019/09/Japanese-Salad-Dressings-1081-I.jpg,"['½ cup extra-virgin olive oil', '¼ cup white wine vinegar', '½ tsp sugar', '1 tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '⅛ tsp freshly ground black pepper', '1 clove garlic ((crushed/minced))', '¼ tsp dried basil ((If you use fresh, triple the amount.))', '¼ tsp dried parsley ((If you use fresh, triple the amount.))', '½ cup neutral-flavored oil (vegetable, canola, etc)', '¼ cup white wine vinegar', '1 tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '⅛ tsp freshly ground black pepper', '½ tsp sugar', '½ cup neutral-flavored oil (vegetable, canola, etc)', '¼ cup rice vinegar', '2 Tbsp soy sauce', '1 tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '⅛ tsp freshly ground black pepper', '½ tsp sugar', '6 Tbsp neutral-flavored oil (vegetable, canola, etc)', '2 Tbsp sesame oil (roasted)', '4 Tbsp rice vinegar', '2 Tbsp soy sauce', '1 tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '⅛ tsp freshly ground black pepper', '½ tsp sugar', '1 tsp toasted white sesame seeds']","To Make All Kinds of Dressing
You can whisk all the ingredients in a mixing bowl, but I highly recommend getting 8-oz mason jars or 16-oz mason jars. You can put all your ingredients in a jar and shake it vigorously everything has emulsified. If you have some leftover dressing, you can store it directly in the refrigerator!
Italian Dressing
Combine all the ingredients in a mason jar and shake really well until everything has emulsified.
French Dressing
Combine all the ingredients in a mason jar and shake really well until everything has emulsified.
Shoyu Dressing
Combine all the ingredients in a mason jar and shake really well until everything has emulsified.
Chuka Dessing
Combine all the ingredients in a mason jar and shake really well until everything has emulsified.
To Serve and Store
Serve on your favorite salad and enjoy! Cover the leftovers and refrigerate for 7 to 10 days. When your dressing solidifies in the refrigerator, simply let it rest at room temperature for 5 to 10 minutes or microwave very briefly (about 15-20 seconds) to liquefy the oil again. Whisk or shake well and serve!",en-US,{},4.78,,Just One Cookbook,5,1 serving(s)
Apple Walnut Salad,Namiko Chen,https://www.justonecookbook.com/apple-walnut-salad/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2015/08/Apple-Walnut-Salad-Cover.jpg,"['2 apples', '1 Tbsp lemon juice', '1 celery', '1 Tbsp raisins', '1 Tbsp roasted walnuts', '4 Tbsp Greek yogurt', '1 Tbsp Japanese mayonnaise', '1 tsp sugar', '1 tsp milk', '1 Tbsp lemon juice', 'kosher/sea salt (I use Diamond Crystal; Use half for table salt)', 'freshly ground black pepper']","Gather all the ingredients. If your walnuts are not roasted, put them in a frying pan (without oil) and toast on medium heat until fragrant.
In a large bowl, whisk all the ingredients for Yogurt Dressing.
Cut the celery diagonally into thin slices. Add to the dressing.
Cut the apples into quarters and then remove the core. Then cut each quarter into ¼ inch (cm) thick slices. Then cut the slices in half.
Add the apple slices and 1 Tbsp lemon juice in another bowl and toss all together. This will prevent the apples from turning brown.
Transfer the apples, leaving the lemon juice behind, to the salad. Then add raisins and walnuts. Toss all together to coat with the dressing. You can chill the salad till serving, or serve immediately.
To Store
You can keep the leftovers in an airtight container and store in the refrigerator for up to 3 days.",en-US,{},4.25,,Just One Cookbook,15,4 serving(s)
Pork Shabu Salad with Ponzu Dressing & Egg Drop Soup,Namiko Chen,https://www.justonecookbook.com/pork-shabu-salad-with-ponzu-dressing-egg-drop-soup/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2011/04/Pork-Shabu-Salad-with-Ponzu-Dressing-NEW.jpg,"['Red leaf lettuce ((rinsed))', '5 shiso leaves (perilla/ooba) ((Ooba) (chiffonaded))', 'Tomatoes ((optional))', 'English cucumber ((optional))', '6 oz thinly sliced pork loin ((for Shabu Shabu))', '3 cups water', '1 Tbsp sake', '3 Tbsp Ponzu', '1 Tbsp sesame oil (roasted)', '1 Tbsp toasted white sesame seeds', '1 tsp soy sauce', '1 tsp ginger ((grated))', '1 green onion/scallion ((chopped))', '2 cups chicken stock/broth ((or the leftover soup from cooking sliced pork above))', '½ silken/soft tofu ((cut into ½ inch cubes) (or medium firm tofu))', '2 large eggs (50 g each w/o shell) ((beaten in a small bowl))', '1 green onion/scallion ((chopped))', '1 tsp soy sauce', '½ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '¼ tsp white pepper powder']","[Pork Shabu Salad with Ponzu Dressing]
Prepare the salad. Combine all the ingredients for Ponzu Dressing in a small bowl and mix well.
Bring water to a boil in a sauce pan. When boiling, add sake.
Hold a slice of meat with chopsticks and place it into the boiling water.
You can cook 2-3 slices of meat at a time.
When the meat changes color, transfer it to a paper towel to drain water.
When you finish cooking all the meat, don’t discard the liquid. Keep the stock in the pan for cooking Egg Drop Soup later on.
Place the cooked meat on top of the lettuce and put Shiso leaves on top. Pour Ponzu Dressing when you are ready to eat.
[Egg Drop Soup]
Gather all the ingredients for Egg Drop Soup.
Keep the soup simmering over medium heat and use a sieve to skim off the scum and fat from the soup. To clean the sieve, you can prepare a bowl of water and clean the sieve in the bowl every time you pick up scum.
When the soup is clean, add Seasonings and tofu and wait till boil again.
SLOWLY stir in egg, moving the bowl around over the saucepan. If you pour the egg too quickly it’ll become chunky instead of flowery. You will see the fluffy egg start to flow.
Serve in the soup bowl and garnish with green onions. Serve immediately.",en-US,{},5.0,,Just One Cookbook,50,2 serving(s)
Tomato Myoga Salad,Namiko Chen,https://www.justonecookbook.com/tomato-myoga-salad/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2020/09/Tomato-Myoga-Salad-8131-I.jpg,"['2 tomatoes ((500 g, 17.6 oz))', '2 Myoga ginger', '1 Tbsp sesame oil (roasted)', '1 tsp rice vinegar', '1 tsp soy sauce', '½ tsp sugar', '1 tsp toasted white sesame seeds']","Gather all the ingredients.
Cut the tomatoes into wedges and cut each wedge into 2-3 pieces (depending on the size of the tomato).
Remove the stem end of myoga ginger and slice it diagonally into thin pieces. If you are using regular ginger, cut the 2 thin slices into julienned strips and soak in water for 5 minutes. This will help remove a strong gingery taste.
Put the tomatoes and myoga in a medium bowl. Add 1 Tbsp sesame oil, 1 tsp rice vinegar, 1 tsp soy sauce, and ½ tsp sugar.
Add 1 tsp sesame seeds and toss all together to coat with the dressing. It is more refreshing when it’s chilled for at least 15-30 minutes before serving.
Serve the tomato salad individually or in a large serving bowl. Enjoy!",en-US,{},4.8,,Just One Cookbook,25,4 serving(s)
Gobo Salad,Namiko Chen,https://www.justonecookbook.com/gobo-salad-japanese-burdock-root-salad/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2018/07/Gobo-Salad-w722.jpg,"['1 gobo (burdock root) ((14"", 36 cm; 5.3 oz, 150 g))', '1.5 inch carrot ((1” or 2.5 cm in diameter; 1.8 oz, 50 g))', '1 Tbsp rice vinegar', '½ tsp soy sauce', '1 tsp sesame oil (roasted)', '1 ½ tsp sugar', '3 Tbsp toasted white sesame seeds', '3-4 Tbsp Japanese mayonnaise', 'shichimi togarashi (Japanese seven spice)']","Gather all the ingredients.
Wash gobo to get rid of dirt. Use the back of your knife to remove the skin. Cut into thin slices diagonally (⅛” thickness).
Cut into thin sticks (⅛” thickness) and soak gobo in water to minimize oxidation and to remove the bitterness.
Cut the carrot into the sticks about the same size as gobo.
Bring 2 cups of water to boil and cook the carrot for 1 minute. Scoop up the carrot using a sieve or slotted spoon.
Then add the drained gobo into the pot and cook for 2 minutes.
Drain completely (I use a salad spinner) and transfer to a large bowl.
While gobo is hot, add 1 Tbsp rice vinegar, ½ tsp soy sauce, and 1 tsp sesame oil.
Add 1 ½ tsp sugar, and mix all together. This helps gobo absorb flavors from seasonings. Let them cool before adding mayonnaise.
Grind 3 Tbsp sesame seeds with mortar and pestle.
Add the carrot, 3-4 Tbsp Japanese mayonnaise and ground sesame seeds. If you like it spicy, sprinkle Shichimi Togarashi on top.
To Store
Keep the leftovers in an airtight container and store in the refrigerator for up to 3-4 days.",en-US,{},4.6,,Just One Cookbook,30,3 serving(s)
