title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
Fluffy Japanese Souffle Pancakes,Namiko Chen,https://www.justonecookbook.com/souffle-pancake/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2020/03/Fluffy-Japanese-Souffle-Pancake-4.jpg,"['2 large eggs (50 g each w/o shell)', '1 ½ Tbsp whole milk', '¼ tsp pure vanilla extract', '¼ cup cake flour', '½ tsp baking powder', '2 Tbsp sugar', '1 Tbsp neutral-flavored oil (vegetable, canola, etc) ((for greasing the pan))', '2 Tbsp water ((for steaming))', '½ cup heavy (whipping) cream', '1 ½ Tbsp sugar ((not so sweet, you can add more if you like))', '1 Tbsp confectioners’ sugar/powdered sugar', 'fresh berries ((strawberries, blueberries, etc))', 'maple syrup']","Gather all the ingredients.You will also need a 12-inch non-stick frying pan (large enough to cook 3 pancakes at the same time) with a lid.
Separate egg whites and egg yolks into two different bowls. Put the bowl with egg whites in the freezer for 15 minutes. Why do we freeze egg whites? Please read 3 Tips to Make Perfect Meringue (Egg Whites) in this post.
In the meantime, add milk and vanilla to the egg yolks and whisk until thick and frothy.
Sift the cake flour and baking powder into the bowl.
Whisk to combine thoroughly (but do not over-mix) and set aside.
After 15 minutes, take out the bowl with egg whites from the freezer. The egg whites should be half frozen. Now start beating egg whites.
When the egg whites turn frothy and pale white, gradually add in sugar (roughly ⅓ at a time). Continue to whip the egg whites.
The egg whites will become glossier and firmer. Stop beating when you lift up the hand mixer and the egg whites stand right up with stiff peaks slightly bending over.
Heat the large non-stick frying pan to 300ºF (150ºC) over the lowest heat. Brush with cooking oil and lightly remove any visible oil (otherwise the pancakes will have a spotty pattern). Keep the heat on while you combine egg whites and egg yolk mixture.
Take ⅓ of egg whites and add to the egg yolk mixture. Whisk together (don’t worry too much about breaking air bubbles at this step).
Next, take half of the egg whites and add to the egg yolk mixture. Using a whisk, gently fold in without breaking the air bubbles in the egg whites. Why do we use a whisk instead of a silicone spatula? Please read 3 Tips to Make Perfect Meringue (Egg Whites) in this post.
Now transfer the egg yolk mixture into egg whites. Carefully fold in two mixtures together without breaking the air bubbles. Make sure to gently mix the batter thoroughly!
For my stove and frying pan, I kept 300 ºF (150 ºC) all times on low heat. Remember each pancake gets roughly 4 scoops of batter, so that’s a total of 12 scoops for 3 pancakes. Now, scoop the batter and place on the frying pan. My recommendation is to use a small ladle (or a serving spoon that’s bigger than a regular spoon - probably 2-3 Tbsp) and make a tall pancake. Next, stack one more scoop to the first pancake. Then move on to the next two pancakes giving each 2 small scoops.
By the time all 3 pancakes have 2 scoops, the surface of the batter is slightly dry already, so you can stack one more scoop on top, keeping it up high. In the bowl, you should still have roughly 3 scoops left (if you have slightly more, that’s okay).
Set timer for 6-7 minutes, add 1 Tbsp water in 3 empty spaces inside the pan and cover with the lid. Water keeps the pancake moist. Please note: the suggested time is just a guideline and it’s based on the stove and frying pan that I'm using.
After 2 minutes passed, open the lid, and add one more scoop for each pancake (or more scoops if you have more batter). Make sure to stack high, not wide. If the water has evaporated, add a little bit more. Cover with lid and cook.
After 6-7 minutes passed, using the offset spatula, lift the pancake VERY GENTLY. If you feel the pancake is stuck, don’t touch until they firm up a little. If you force it, the pancake will crack in the middle. When the pancake is ready, you can easily move the pancake.
Here is another set of images to show the process. Slightly pull the pancake to create an empty space and gently flip over with “rolling over” motion.
Add water in empty spaces and set a timer for 4 to 5 minutes to cook the other side on the lowest heat.
Once they are nicely browned, transfer the pancakes to your serving plates.
Place fresh cream on the pancakes and top with berries. Dust the pancake with confectioners’ sugar and drizzle with maple syrup. Enjoy!
Fresh Whipped Cream
Prepare an ice bath by putting ice cubes and water in a large bowl and placing a clean and dry mixing bowl over. Add heavy cream and sugar to keep cool.
Whisk on high speed until medium to firm peaks form (should not be runny, but soft and fluffy firm whipped cream). Keep it chilled until you're ready to serve the pancakes.",en-US,{},4.54,,Just One Cookbook,45,3 serving(s)
Japanese Pickled Cucumbers,Namiko Chen,https://www.justonecookbook.com/pickled-cucumber/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2020/07/Pickled-Cucumber-6972-I.jpg,"['2 tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt) ((0.4 oz or 10 g))', '3 Tbsp sugar ((1.1 oz or 30 g))', '½ tsp Japanese karashi hot mustard', '3 Persian/Japanese cucumbers ((9.2 oz or 261 g))']","Gather all the ingredients.
Combine salt, sugar, and Japanese karashi mustard in the sealable plastic storage bag and mix well together.
Cut ½ inch off the ends of the cucumbers. Rub the ends together to get rid of bitter taste.
Put the cucumbers in the bag and squeeze out the air, close the bag tightly. Rub the cucumbers well with the mixture. Pickle for a few hours (my preferred taste) or up to 1-2 days in the refrigerator.
To Serve and Store
When the cucumbers are ready, discard the liquid and slice the cucumber before serving. Store the cucumbers in the refrigerator and consume within 2-3 days after removing from the pickle solution.",en-US,{},4.38,,Just One Cookbook,10,4 serving(s)
Japanese Pickled Cucumbers,Namiko Chen,https://www.justonecookbook.com/pickled-cucumber/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2020/07/Pickled-Cucumber-6972-I.jpg,"['2 tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt) ((0.4 oz or 10 g))', '3 Tbsp sugar ((1.1 oz or 30 g))', '½ tsp Japanese karashi hot mustard', '3 Persian/Japanese cucumbers ((9.2 oz or 261 g))']","Gather all the ingredients.
Combine salt, sugar, and Japanese karashi mustard in the sealable plastic storage bag and mix well together.
Cut ½ inch off the ends of the cucumbers. Rub the ends together to get rid of bitter taste.
Put the cucumbers in the bag and squeeze out the air, close the bag tightly. Rub the cucumbers well with the mixture. Pickle for a few hours (my preferred taste) or up to 1-2 days in the refrigerator.
To Serve and Store
When the cucumbers are ready, discard the liquid and slice the cucumber before serving. Store the cucumbers in the refrigerator and consume within 2-3 days after removing from the pickle solution.",en-US,{},4.38,,Just One Cookbook,10,4 serving(s)
Japanese Rice Porridge (Okayu),Namiko Chen,https://www.justonecookbook.com/rice-porridge-okayu/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2019/12/Rice-Porridge-Recipe-2138-I-1.jpg,"['¼ cup uncooked Japanese short-grain rice', '250 ml water ((1 cup + 2 tsp))', 'green onion/scallion ((chopped))', 'umeboshi (Japanese pickled plum)', 'toasted white sesame seeds', 'shredded nori seaweed (kizami nori)', 'shredded Japanese salted salmon', 'mitsuba (Japanese parsley) ((for garnish))']","Gather all the ingredients. I follow the 1 to 5 rice-to-water ratio for my Okayu recipe.
Rinse the rice in water, then drain. Repeat until the water runs clear.
Soak the rice in the pot for at least 30 minutes.
After 30 minutes, drain the water completely.
Then add 250 ml of water into the pot.
Cover the pot and bring to a boil over high heat.
When boiling, lower the heat to the stove’s lowest setting (make sure to use the right size of stove burner for your pot size). Open the lid and gently mix with the spoon once, making sure rice is not stuck to the bottom of the pot.
Cover the lid and simmer the rice for 30 minutes (Tip: With a good size pot and the lowest heat on the stove, the water should not boil over. If you cook with more water or your pot is smaller than my pot, you may want to cover the lid at a slight angle so the water doesn’t boil over). During this time, I never open the lid or mix the rice. (Tip: If you are worried, you can take a quick peek and make sure there’s enough water so the rice doesn’t burn the bottom of the pot. If necessary, you can stir the pot or add “hot” water. Otherwise, don’t touch the rice because you would end up breaking the nice shape of rice kernels.)
After 30 minutes, turn off the heat and let it steam for 10 minutes. The rice should be soft and thickened. If you want to add something, like a beaten egg or salt, this is the time to add. I keep this recipe plain and simple. Serve into the individual rice bowls and garnish and put toppings of your choice.",en-US,{},4.7,,Just One Cookbook,65,1 serving(s)
Curry Bread,Namiko Chen,https://www.justonecookbook.com/curry-bread/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2017/12/Curry-Bread-w600.jpg,"['1 ¼ cup bread flour', '⅓ cup cake flour ((⅓ cup + 1 Tbsp to be precise))', '1 tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '1 Tbsp sugar ((1 Tbsp + ½ tsp))', '1 tsp instant yeast ((1 tsp; see Notes if you use ACTIVE dry yeast))', '½ cup whole milk ((½ cup + 1 tsp; I highly recommend using whole milk instead of non-fat or reduced-fat milk.))', '1 Tbsp unsalted butter ((should be a bit less than 1 Tbsp; 1 Tbsp butter is 14 g but you will need 10 g))', '1 ½ cup Japanese curry of your choice', '1 large egg (50 g w/o shell) ((for coating the bread; I forgot to put in the ingredient picture below))', '1 cup panko (Japanese breadcrumbs)', '4 cups neutral-flavored oil (vegetable, canola, etc)']","Gather all the ingredients. Leave the unsalted butter and Japanese curry at room temperature.
To make the dough:
In a large bowl, whisk together bread flour (150 g), cake flour (50 g), kosher salt (3 g), and sugar (15 g).
Microwave the milk (125 ml) until warm to the touch, about 95ºF/35ºC. Then add in the instant dry yeast (3 g) and the warm milk.
Using the silicone spatula, combine the wet and dry ingredients together until it becomes a rough dough. [1-2 minutes]
Once the dough becomes a ball, add the unsalted butter (10 g) in the center of the dough and combine well until the butter is incorporated into the dough. At first, the dough will be sticky, wet, and oily and you might want to add more flour, but wait and try kneading a little longer. [2-3 minutes]
Once you don’t see any big chunks of butter, transfer the dough from the bowl to a lightly floured surface. Knead the dough until it becomes smooth and pliable. Read the tip on kneading below. [5 minutes]
Tip on kneading: Using the lower part of your palm, push out the dough. Then roll back up as if you’re drawing the number “8” with your hand. Rotate the dough 90 degrees every time you finish drawing “8”.
After drawing “8” a few times, bang the dough onto the work surface and fold it over away from you. This helps develop gluten (elasticity). Turn the dough 90 degrees and repeat drawing “8” again. Continue this process until the dough is smooth, supple, and silky.
When the dough is moist, smooth, and pliable, form a ball. Place the seam side down on the working surface and twist the ball a few times to close the seam.
Place the dough back into the bowl, seam side down, cover with plastic wrap, and let rise at 100ºF (38ºC) for 60 minutes, or until doubled in size (I used proof setting in my oven).
Dust your finger with flour and poke the center of the dough. If the dough doesn’t close up, it’s ready.
Transfer the dough to a lightly floured surface and gently punch/press it down.
Fold the dough into thirds widthwise.
Fold the dough into thirds lengthwise.
Turn upside down so the seam is facing down. Twist the dough to form a nice ball shape.
Measure the weight of the dough on a kitchen scale and divide the number by 8. Roughly cut the dough into 8 pieces.
Weigh each piece of dough and cut off the extra dough if it weighs more than you calculated.
Add the extra dough to the smaller dough piece(s). Hide the extra dough in the center of the small dough by pulling the dough from the side.
Twist the dough to seal the seam on your hand. Place the 8 dough balls on the baking sheet lined with a silicone baking mat (or parchment paper). Cover with plastic wrap, and let rest for 15 minutes at room temperature.
To form the curry bread:
Place the dough seam side up and flatten out each piece with your hand. Fold in thirds widthwise.
Fold in thirds lengthwise, and then turn it upside down so the seam side is on the bottom.
Flatten again, and flip so the seam side is up.
Roll out into a 3.5 inch (9 cm) circle using a rolling pin.
Cover with plastic wrap and let rest for 10 minutes. One by one, thin out the edges of the dough with your fingers, with the center thicker than the edges. The circle should be 4 inches (10 cm) in diameter.
Place the dough seam side up and put 1 to 1.5 Tbsp of curry paste in the center of the circle. Gather the opposing edges of the circle and fold the dough in half. Remember, KEEP THE CURRY OUT from the edges! It’s the most crucial part. If you didn’t read my post, read my tip #2 now in the post!
Tightly pinch the edges to seal well. If the edges are not pinched and pressed tightly, the seam might open up during proofing/deep frying.
Next, to double secure, fold the edges over to one side at least once, like folding a brown lunch bag. Press the edges again to secure.
Keeping the seam side on the bottom, put the bread back onto the silicone mat and cover with a damp towel while working on the rest of the dough.
Once all the dough has curry filling, crack the egg into a bowl and whisk well. Place the panko in a shallow bowl/tray. Using a pastry brush, coat the formed dough with egg and then panko.
Cover the bread with plastic wrap and let rise at 100ºF (38ºC) for 45-60 minutes or until 1.5 times its size (I used proof setting in my oven). If you touch the dough with your finger, the indentation will stay on the dough.
To deep fry the bread:
In a deep frying pot (I like using my 2.75QT Staub), heat the 4 cups (960 ml) oil to 320ºF (160ºC). Place 2-3 pieces of the curry bread into the oil, seam side down. After a few seconds, flip it around so the seam side is now up. You may need to hold it with a pair of tongs. Keep turning them while they deep fry, until they cook to a golden brown, about 2-3 minutes. Drain the oil well and transfer to the wire rack or some paper towels to drain while it cools. Serve hot or at room temperature.
To Store
Keep the leftovers in an airtight container and store in the refrigerator for 3 days or in the freezer for 3-4 weeks. To reheat, bake at 350ºF (177ºC) until warm inside.",en-US,{},4.62,,Just One Cookbook,220,8 serving(s)
Spinach and Feta Turnovers,Namiko Chen,https://www.justonecookbook.com/spinach-and-feta-turnovers-guest-post-by-katherine-martinelli/,"American,Other",https://www.justonecookbook.com/wp-content/uploads/2012/03/Spinach-and-Feta-Turnovers.jpg,"['1 teaspoon extra-virgin olive oil', '¼ cup onion ((finely chopped))', '3 cloves garlic ((minced))', '7 ounces spinach leaves (leaves)', 'kosher/sea salt (I use Diamond Crystal; Use half for table salt) ((for taste))', 'freshly ground black pepper ((for taste))', '1 teaspoon lemon juice', '1 large egg (50 g w/o shell) ((separated))', '3 ounces feta cheese ((crumbled))', '12 ounces frozen puff pastry ((defrosted))', 'Za’atar ((optional) (See Notes))']","Heat the olive oil in a large skillet over medium heat. Add the onion and garlic and cook until just softened (be careful not to burn the garlic). Add the spinach and cook, stirring often, until fully wilted, about 3 minutes.
Remove from the heat. Season lightly with salt and pepper and vigorously stir in the lemon juice and egg yolk (reserve the egg white for later). Transfer the mixture to a bowl and allow to cool.
Once the spinach is cool enough to handle, squeeze out as much liquid as possible and roughly chop. (I realize that it seems counter-intuitive to put liquid in then squeeze it out, but after countless test runs this process led to the best results.) Return spinach to the bowl and thoroughly mix in the feta.
Preheat the oven to 400°F. Line a baking sheet with parchment paper.
Roll out the puff pastry to a rectangle about 1/8 inch thick and 12 by 18 inches. Cut into 6 even 5 to 6 inch squares. Put a spoonful of the spinach-feta mixture into the center of each puff pastry square. Fold the puff pastry over to form a triangle. Press down with a fork along the edges to tightly seal.
Transfer the turnovers to the prepared baking sheet. Brush with the reserved egg white and sprinkle with za’atar, if using. Put in the oven and bake for 20 minutes, or until golden brown.
Remove from the oven and allow to cool slightly before serving. Spinach-feta turnovers are excellent warm or at room temperature, and can also be made ahead and frozen.
To freeze, lay flat on a baking tray and put in the freezer. Once frozen, transfer to freezer bags. To re-heat, simply bake in a pre-heated oven for 10 to 15 minutes, until warmed through.",en-US,{},4.67,,Just One Cookbook,45,6 serving(s)
Japanese Salted Salmon (Shiojake/Shiozake),Namiko Chen,https://www.justonecookbook.com/how-to-cook-salmon-salted-salmon/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2020/09/Japanese-Salted-Salmon-1058-I-1.jpg,"['1.1 lb salmon fillets with skin', '1 Tbsp sake', '5 tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt) ((25 g; 5% of salmon weight))']","Gather all the ingredients. Quickly rinse the salmon under cold water and pat dry with a paper towel. Slice the salmon diagonally if it’s not pre-sliced.
To Prepare Salmon
Evenly distribute sake on the salmon and coat well. Set aside for 10 minutes.
After 10 minutes, pat dry the salmon with a paper towel.
First, sprinkle and apply some kosher salt on the skin first.
Then sprinkle the remaining salt on both sides of the fillets. If you have leftover salt, use it on the skin.
Line the bottom of an air-tight container with a paper towel. This will absorb excess moisture from the fish.
Place the fillets in the container in a single layer and lay a sheet of paper towel on top of the fillets.
Then put the 2nd layer of the fillets on top of paper towel and lay another sheet of paper towel on top. Cover with lid and keep in the refrigerator for at least 2 days.
This is after 2 days. You will see moisture on the salmon skin.
Gently pat dry the fillets with a paper towel to get rid of any excess moisture.
To Store
If you don’t plan on cooking the salmon right away, after drying the fillets with a paper towel, wrap the individual pieces with plastic wrap and place them in a freezer bag to freeze. You can store the salmon in the freezer for up to 1 month. Remember to defrost completely before cooking.
To Broil (Recommended)
Preheat the broiler* with a rack placed about 6"" (15 cm) away from the top heating element (in the center of the oven) for 5 minutes. When broiling, you don't control the temperature in the oven; instead, you control the distance between the broiler and the surface of the food. It's similar to using hotter and cooler zones on your grill. *Broiler setting: Low (450ºF/232ºC), Medium (500ºF/260ºC), and High (550ºF/288ºC). I usually use medium or high.
Line a baking sheet with foil for easy cleaning. Place the salmon on the foil, skin side up (for crispy skin!). Broil the salmon at medium (500ºF) or high (550ºF) for 8-10 minutes. Please remember the cooking time varies depending on the thickness of the fish and the distance between the broiler and the food. Japanese salted salmon is cooked till well done (more dry and flaky). You do not need to flip it.
To Bake (Optional)
Preheat the oven to 425°F (218ºC) with a rack placed in the center and bake the salmon on parchment paper for 10-12 minutes. Japanese salted salmon is cooked till well done (more dry and flaky).",en-US,{},4.46,,Just One Cookbook,2910,4 serving(s)
Miso Soup,Namiko Chen,https://www.justonecookbook.com/homemade-miso-soup/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2019/09/Homemade-miso-soup-6037-I-3.jpg,"['4 cups water', '1 piece kombu (dried kelp) ((⅓ oz, 10 g; 4"" x 4"" or 10 x 10 cm))', '1 cup katsuobushi (dried bonito flakes) ((packed; I used loose 3 cups in the video for strong dashi flavor))', '1 cup dashi (Japanese soup stock; click to learn more)', '1 Tbsp miso ((18 g))', 'Ingredients of your choice ((Please read the blog post))', 'green onion/scallion ((finely chopped))']","To Make Dashi (Can be Made in Advance):
Clean the kombu with a damp towel and soak the kombu in water for 30 minutes or overnight (preferred). NEVER wash kombu and do not remove the white substance -that’s umami! These days it's pretty clean, so you can skip this process. Just make sure there are no dirty particles.
After 30 minutes (or overnight), the kombu is rehydrated. This liquid is called cold brew Kombu Dashi.
Pour kombu dashi and kombu into a saucepan. SLOWLY bring to boil on medium-low heat so you can extract umami from kombu as much as possible. Right before the stock is boiling (it gets slimy and yields a bitter taste if you leave it), remove the kombu. Now what you have is Kombu Dashi. If you’re vegetarian/vegan, use this kombu dashi for your miso soup. What to do with used kombu? You can reuse it to make Simmered Kombu or Homemade Furikake Rice Seasoning.
If you're not vegetarian/vegan, add Katsuobushi and let it simmer for 30-60 seconds. Turn off the heat and let steep for 10 minutes.
Strain over a fine-mesh sieve and now you have roughly 4 cups of Awase Dashi. You can store in the refrigerator for up to 3-5 days and in the freezer for up to 2 weeks. Repurpose the used katsuobushi to make Homemade Furikake Rice Seasoning.
STEP 1 - Add Dashi
Here I demonstrate to make 2 cups/2 servings of miso soup. You can use the formula; 1 cup (200-240 ml) dashi + 1 Tbsp (18 g) miso = 1 serving miso soup. If you add more ingredients/vegetables, the amount of soup will increase and you will also need more miso. Add 2 cups (480 ml) dashi in the saucepan.
Are you in a hurry and no time to make dashi? You can use Dashi Packet or Dashi Powder to make instant dashi.
STEP 2 - Add dense ingredients BEFORE bringing dashi to a boil
If your miso soup doesn't include hard ingredients or clams, go to the next step. Add hard ingredients like root vegetables. Once boiling, lower the heat and simmer until they become tender. If you're making Clam Miso Soup, add clams in cold brew kombu dashi. Bring it to a gentle boil and once the shells are open, turn off the heat (do not overcook).
STEP 3- Add quick-cooking ingredients AFTER dashi is boiling
If your miso soup doesn’t include these ingredients, bring dashi to a boil and go to next step. AFTER dashi starts boiling, add in soft vegetables like leafy greens, mushrooms, deep-fried tofu pouch because they require less cooking time. At this point, keep the soup at a simmer and make sure it stays warm (not OVERBOILING).
STEP 4 - Add miso
Add a small amount of miso at a time (you can start with 2 Tbsp miso for 2 cups dashi). Put miso inside a ladle and slowly add dashi into the ladle to dissolve miso completely. You can buy a miso muddler or a fine-mesh miso strainer which helps you dissolve miso faster. If you accidentally added too much miso, dilute the miso soup with dashi (or water). NEVER OVERBOIL miso soup because it loses nutrients, flavors, and fragrance.
STEP 5 - Add tofu
Add tofu AFTER miso is completely dissolved because you might break the tofu when mixing in miso. If you add chilled tofu from the refrigerator, miso soup would get cooler. Reheat miso soup until it is just hot, but NOT BOIL.
STEP 6 - Add wakame & green onions
Add rehydrated wakame (seaweed). I recommend re-hydrating dried wakame in a separate bowl of water to get rid of saltiness, instead of re-hydrating inside miso soup. Add ingredients that do not require cooking such as chopped green onions, mitsuba, yuzu, and blanched spinach right before serving to keep the fresh fragrance and color.
To Serve:
Serve immediately. Place on the right side of the table setting (Read on Ichiju Sansai, or 1 soup 3 dishes; see the picture).
To Store:
In general, it's best to use up all the miso soup because the fragrance and taste will be lost as time passes by. Let your miso soup cool at room temperature (up to 4 hours - otherwise miso soup will be spoiled) and then refrigerate. You can keep for up to 2 days in the refrigerator. If you want to make a big batch, it's best to keep the soup BEFORE adding miso. Add the miso only for the portion you need. You can freeze miso soup for up to 2 weeks. If the miso soup contains potatoes or tofu, remove them before freezing as the textures subject to change.
To Reheat Miso Soup:
Bring miso soup in a pot over medium heat, but not to overboil. Miso loses its nutrients at high temperature.",en-US,{},4.71,,Just One Cookbook,55,4 serving(s)
Miso Soup with Yuzu Kosho,Namiko Chen,https://www.justonecookbook.com/miso-soup-yuzu-kosho/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2018/03/Miso-Soup-with-Yuzu-Kosho-w722.jpg,"['¼ lb pork belly ((4 oz; skip for vegan/vegetarian))', '1 leek', '2 cabbage leaves', '4 shiitake mushrooms', '2.5 oz carrot ((1.5"", 3.8 cm))', '2 green onions/scallions', '1 Tbsp sesame oil (roasted)', '1 Tbsp sake', '4 Tbsp miso', '14 oz silken/soft tofu ((1 block tofu))', 'yuzu kosho (Japanese citrus chili paste) ((for taste))', '2 Tbsp toasted white sesame seeds', '4 cups water', '1 piece kombu (dried kelp) ((3” x 4”, 7.5 cm x 10 cm))', '3 cups katsuobushi (dried bonito flakes) ((skip for vegan/vegetarian))']","Gather all the ingredients first.
To make dashi: In a measuring cup (or a large pot), add 4 cups water and kombu and let it steep. You can do this process overnight or as soon as you start preparing. This is kombu dashi. If you're using dashi powder or dashi packet, follow this tutorial, and use it at Step 12.
Cut the pork belly into 1 inch (2.5 cm) pieces.
Cut the leek in half lengthwise, and then cut the halves into 1-inch pieces widthwise. Rinse under cold water to make sure there is no dirt inside the pieces.
Cut the cabbage leaves into small pieces.
Remove the stem of shiitake mushrooms and slice thinly.
Cut the carrot in half lengthwise, and slice thinly. Cut the green onions thinly.
Transfer the kombu dashi into a pot (if you didn’t use a pot at Step 2). Slowly bring the kombu dashi to a boil over medium low heat. When the water is almost boiling, remove the kombu to avoid sliminess. If you are vegan/vegetarian, skip next two steps (Step 9 and Step 10).
Add 3 cups katsuobushi and cook for 15 seconds. Then turn off the heat and let the katsuobushi steep in the pot for 15 minutes.
Meanwhile, in a separate large pot (or donabe), heat 1 Tbsp sesame oil over medium heat. Once the pot is hot, add the pork belly and stir to cook.
Once the pork belly is 80% cooked through, add 1 Tbsp sake and stir to combine. Then add chopped leeks.
Once leeks are wilted, add the rest of the vegetables and mushrooms. Stir to coat with the oil. Then using a fine-mesh strainer, strain the dashi into the pot.
Bring the soup mixture to a boil, skimming the foam and scum on the surface while cooking. Turn off the heat and add 2 Tbsp miso first, and then gradually add in more as you taste the soup. Each miso brand and type of miso tastes differently and the sodium level varies, so you want to taste before adding more miso.
Add the tofu into the soup and turn on the heat to continue to simmer until tofu is nice and warm (tofu is edible chilled, so you don’t have to worry about “cooking” it). Just make sure not to let the miso soup boil. It should take not more than 3-4 minutes to warm the tofu, and the soup is now ready.
Before serving, scoop out a small portion of Yuzu Kosho from the jar and place it on a small plate. Grind 2 Tbsp sesame seeds and put in in a small bowl. Serve them alongside with the donabe or soup pot. After you ladle the soup into individual serving bowls, add a pinch of Yuzu Kosho, sprinkle sesame seeds, stir in and enjoy!
To Store
You can keep the leftovers in an airtight container and store in the refrigerator for up to 3 days and in the freezer for 2 weeks.",en-US,{},4.92,,Just One Cookbook,35,4 serving(s)
Blueberry Creme Fraiche Scones,Namiko Chen,https://www.justonecookbook.com/blueberry-creme-fraiche-scones/,"American,Japanese",https://www.justonecookbook.com/wp-content/uploads/2012/09/Blueberry-Creme-Fraiche-Scones.jpg,"['2 cups all-purpose flour (plain flour) ((2 cups = 240 g))', '¼ cup sugar ((¼ cup = 50 g))', '2 tsp baking powder', '½ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '6 Tbsp unsalted butter ((6 Tbsp = ¾ stick = 85 g) (chilled))', '1½ cup blueberries ((1½ cups = 225 g) (picture shows 2 cups, but I just needed 1 ½ cup))', '1 large egg (50 g w/o shell)', '1 large egg yolk', '7.5 oz crème fraîche ((7.5 oz = 212 g))', '1½ tsp pure vanilla extract', 'White sparkling sugar ((for sprinkling) (I did not have it today))']","Gather all the ingredients. Preheat oven to 350°F.
Whisk the flour, sugar, baking powder, and salt in a large bowl to blend.
Cut butter into small pieces.
Add the butter in the bowl and rub in butter with fingertips until mixture resembles fine meal.
Whisk eggs, crème fraîche and vanilla.
Gently stir crème fraîche mixture into flour mixture (dough will be very moist).
Add the blueberries and mix well.
Turn dough out onto generously floured work surface. Divide dough in half. Press each half into 6-inch round about 1/2 inch thick. Cut each round into 6 wedges.
Transfer wedges to baking sheet, spacing 1 inch apart. Generously sprinkle sugar on top.
Bake scones until pale golden and toothpick inserted into center comes out clean, about 25 minutes. Serve scones warm or at room temperature.",en-US,{},5.0,,Just One Cookbook,45,12 serving(s)
