title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
Cherry Blossom Milk Pudding,Namiko Chen,https://www.justonecookbook.com/cherry-blossom-milk-pudding/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2020/03/Cherry-Blossom-Milk-Pudding-3669-I.jpg,"['2 sheets gelatin sheets ((5 g))', '3 Tbsp hot water', '⅔ cup whole milk', '⅓ cup sugar', '½ cup plain yogurt ((I used low fat))', '¾ cup heavy (whipping) cream', '8 salt pickled cherry blossoms', '1 sheet gelatin sheet', '1 ½ Tbsp hot water', '½ cup water', '2 tsp sugar', 'red food coloring ((optional))']","Gather all the ingredients.
Put the salt pickled cherry blossoms in a small bowl and add water to cover the flowers. Let them soak for at least 30 minutes to remove the saltiness from the flowers.
To Make Milk Pudding
Cut 2 gelatin sheets into thin strips and put in a small bowl. Pour 3 Tbsp. hot water and stir until the gelatin has dissolved completely. If it’s not completely dissolved, microwave for 30 seconds and mix.
In a small saucepan, heat ⅔ cup (160 ml) milk and ⅓ cup (70 g) granulated sugar over medium heat. Stir continuously until the sugar has dissolved.
When the milk is about to boil, turn off the heat (don’t let it boil!) and add the gelatin. Mix well and set aside.
In a medium bowl, combine ½ cup (120 g) plain yogurt, ¾ cup (180 ml) heavy cream. Mix well to combine.
Slowly add the milk mixture to the yogurt mixture while you stir.
Run the mixture through a fine mesh sieve/strainer to achieve silky smooth texture.
To speed up the process for solidify the milk pudding, fill up half of a large bowl with iced water. Place the bowl with mixture in the ice bath. It will take at least 30 minutes till the mixture becomes thicker and syrupy.
Once the mixture gets thicker, pour to individual serving cups. Keep them in the refrigerator till the milk pudding sets, about 30-60 minutes.
To Make Cherry Blossom Jelly/Jello
Start this process only after your milk pudding has set. Cut 1 gelatin sheet into thin strips and put in a small bowl. Pour 1 ½ Tbsp. hot water and stir until the gelatin is dissolved completely. If it doesn’t get dissolved, microwave it for 20 seconds and mix.
In a small saucepan, heat ½ cup (120 ml) water and 2 tsp sugar over medium heat and whisk until the sugar has dissolved completely.
Gently squeeze water out of the salt pickled cherry blossoms and add them in the saucepan. Turn off the heat.
Add the gelatin and give a quick mix and then add a tiny bit of red food coloring. If you want nice light pink color, add only tiny bit. You can always add a little more if you want it to be a darker red.
Mix well so that color is evenly distributed. Place the saucepan over iced bath and let the mixture cool. This will make the mixture syrupy and thick.
To Assemble
Once the mixture is slightly thicker, pick up the stem of the blossoms and gently place it on top of the milk pudding. Pour the mixture to cover the cherry blossoms on top of milk pudding.
If you want the cherry blossoms to look bloomed, scoop the flower with the liquid mixture in a big spoon and pour onto top of the milk pudding.
Keep in the refrigerator till the top layer is set (about an hour). Garnish the milk pudding with mint leaves and serve it chilled.",en-US,{},4.93,,Just One Cookbook,100,4 serving(s)
Easy Apple Pie,Namiko Chen,https://www.justonecookbook.com/easy-apple-pie/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2012/11/Easy-Apple-Pie.jpg,"['1 frozen puff pastry sheet ((a box comes with 2 sheets))', '1 Fuji apple', '1 Tbsp unsalted butter ((melted))', '3 Tbsp sugar', '1 large egg yolk', '1-2 sprigs Rosemary ((fresh, optional))']","Gather all the ingredients. Preheat oven to 400F (200C) and line a rimmed baking sheet with parchment paper.
Allow the puff pastry sheet to thaw on the counter for about twenty minutes, then carefully unfold it.
Peel, core and cut the apple into small cubes.
In a small saucepan, melt butter and add apple cubes and sugar.
Stir occasionally and cook on medium low heat for 10-15 minutes. When the apple cubes are tender and most of liquid is evaporated, remove from heat and set aside to cool down.
Dust flour on working counter and cut the pastry sheet into 4 squares.
Poke the dough with a fork on two of squares (bottom of pies). Make 5 slits on each of the other two squares (top of pies).
Transfer the bottom pastry sheets onto a baking sheet lined with parchment paper. Put the apple fillings on top, keeping about half inch (1.5 cm) space around the rim. Cover the pies with the top pastry sheet with 5 slits.
Use a fork to press the edges. Beat the egg yolk in a small bowl and brush top of the pastry so it will turn nice golden brown when baked.
Place a sprig of rosemary on the side of the pies. Bake at 400F (200C) for 15 minutes, or until golden brown. Serve with vanilla ice cream if you like.",en-US,{},4.5,,Just One Cookbook,40,2 serving(s)
Chocolate Gateau (Chocolate Cake),Namiko Chen,https://www.justonecookbook.com/chocolate-gateau-chocolate-cake/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2021/01/Chocolate-Gateau-Chocolate-Cake-2224-I.jpg,"['90 g unsalted butter ((7 Tbsp or 3.2 oz))', '½ Tbsp unsalted butter ((for greasing))', '30 g all-purpose flour (plain flour)', '75 g unsweetened cocoa powder ((2.6 oz, OR 1 cup minus 1 Tbsp; cocoa poweder 1 cup = 80-85 g))', '150 g semi-sweet chocolate ((5.4 oz; preferably good quality))', '4 large eggs (50 g each w/o shell) ((cold, I decided to reduce an egg after taking the ingredient picture which shows 5 eggs))', 'pinch kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '180 g sugar ((6.3 oz or ⅔ cup + ¼ cup))', '60 g heavy (whipping) cream ((60 ml))', 'Raspberry ((for garnish))', 'confectioners’ sugar/powdered sugar ((for garnish))']","Gather all the ingredients.
Center a rack in the oven and preheat the oven to 375 degrees F (190C). Butter an 8-inch baking pan, dust the inside of the pan with flour, and tap out the excess.
Line the bottom with parchment paper, butter the paper, dust the paper with flour and tap out the excess. Set aside.
Combine the flour and cocoa powder and sift, set aside.
Chop chocolates into small pieces and set aside.
Set a heatproof bowl over a saucepan of simmering water (140F/60C) and add the chocolate. Stir occasionally until the chocolate is melted.
Add the coarsely chopped butter and let it melted completely. Transfer the bowl to the counter and let the mixture cool.
Separate the cold eggs, putting the whites in a mixer bowl or other large bowl and the yolks in a small bowl.
While the chocolate is cooling, place the egg whites in a clean bowl with a pinch of salt. Working with the whisk attachment of the mixer, beat the egg whites until they are foamy and start adding half of the sugar (3oz/90g) in 2-3 separate additions.
Continue to beat on high speed until stiff peaks form and sugar is dissolved (about 5 min total). To test for stiff peaks, the peaks should stand straight up when you lift up the beaters. The whites should not slide around. Transfer the meringue into a bowl and wash the mixing bowl for next step.
In the clean mixing bowl, beat the egg yolks and the rest of sugar (3oz/90g) until creamy and stir in the heavy whipping cream.
With a rubber spatula stir the chocolate mixture into the egg mixture.
Then add the flour and cocoa powder into the mixture.
Using the spatula, stir about 1/3 of the meringue into the batter, then gently fold in the rest until the color is uniform.
Pour the batter into the pan and give the pan several sharp taps on the counter to bring up any air bubbles that may be trapped in the batter.
Bake at 375 degrees F (190C) for 10 minutes and then lower the setting to 340 degrees F (170F) and bake for 30-35 minutes until a toothpick pulls out moist crumbs when inserted near the center of the cake. Transfer the pan to a cooling rack and let the cake rest for 15 minutes.
Run a knife along the edges of the cake and carefully turn the cake over onto a rack and remove the pan and the parchment paper. Invert the cake onto a serving platter before serving. As the cake cools, it may deflate a bit. Decorate with raspberry and dust the powder sugar before serving.",en-US,{},4.7,,Just One Cookbook,75,1 serving(s)
Matcha and White Chocolate Truffles,Namiko Chen,https://www.justonecookbook.com/matcha-and-white-chocolate-truffles-guest-post-by-with-a-glass/,American,https://www.justonecookbook.com/wp-content/uploads/2011/11/Matcha-and-White-Chocolate-Truffles.png,"['150 g white chocolate ((high quality))', '100 ml liquid cream ""medium/coffee cream"" ((at least 25% fat))', '2 heaped tsp matcha (green tea powder)', '2-3 Tbsp unsweetened cocoa powder', '2-3 Tbsp ground almonds', '2-3 Tbsp desiccated coconut']","Break the chocolate into small pieces. Put into a small pan with matcha and cream.
Let the chocolate melt on a very low heat, constantly stirring.
Pour into a food processor and mix until very smooth.
Transfer the mixture into a container, close tightly with a lid and refrigerate until the ganache has thickened (at least 3 hours or it can also stay in the fridge overnight or even for several days).
Prepare small, deep bowls with the coatings you have chosen.
Run your hands under cold water every five or six truffles and clean them quickly with a paper towel. Your hands shouldn't be too warm, otherwise the ganache melts and truffles are impossible to form.
Dust the inside of your hands with the chosen coating, quickly form a truffle, but using only the fingers (the palm of your hand is always much warmer), put it into a bowl with coating and, moving the bowl, coat the truffle thoroughly.
Repeat until you want to switch to another coating.
Place the truffles on a plate or in paper cases and refrigerate a couple of hours before serving or before offering them.
The truffles should always be kept in the fridge (it can be the warmest part, but the fridge is obligatory).",en-US,{},-1.0,,Just One Cookbook,150,20 serving(s)
Black Sesame Cookies,Namiko Chen,https://www.justonecookbook.com/sesame-cookies/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2020/01/Sesame-Cookies-1546-I-2.jpg,"['½ cup unsalted butter ((measure ½ cup (8Tbsp, 1 stick) + ½ Tbsp to be precise))', '1 ⅓ cup all-purpose flour (plain flour)', ""¼ cup almond meal ((¼ cup + 4 tsp to be precise; I used Trader Joe's almond meal))"", '6 Tbsp sugar', '⅛ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '5 Tbsp toasted black sesame seeds', '1 large egg yolk']","Gather all the ingredients.
To Make the Dough
Cut the butter into small cubes and keep them refrigerated until ready to use (I cut on parchment paper and wrap up the butter for easy transfer.).
In the food processor, combine the flour, almond meal, sugar, and salt. If you don’t have a food processor, you can simply use a bowl to mix all the ingredients.
If you want your sesame seeds to be of fine texture, add them now. If you prefer to keep the original shape of sesame seeds, add them with egg yolk later on.
Take out the butter from the refrigerator and mix together. If you use a regular bowl to mix, use a dough/pastry blender to combine the butter into the dry ingredients.
Lastly, add egg yolk.
If the food processor is small (like mine) and it doesn’t look like it’s mixed completely, take it out and mix well with a silicone spatula.
Form the dough into a ball and cut in half.
Roll it to a log approximately 2” (5 cm) across. For me, it’s easier to work when the dough is wrapped in plastic wrap. While rolling, unwrap some parts of plastic wrap then roll again. Form a nice shape. I wasn't paying attention so my log is flat on one side...
To Chill the Dough
Wrap the logs tightly in plastic wrap and refrigerate until firm, at least an hour (you can put them in the freezer to speed up the process as well).
To Bake
Preheat the oven to 350°F (175°C). For a convection oven, reduce cooking temperature by 25ºF (15ºC). Remove the dough from plastic wrap and cut into discs about ¼ inch (6 mm) thick (if you prefer thicker cookies, cut into discs about ½ inch (1.3 cm) and you get 20 cookies total).
Place them on two baking sheets lined with parchment paper. Bake for about 15 minutes, or until lightly browned around the edges. If you are baking in batches, make sure to keep the second batch in the refrigerator to chill until baking.
Remove from the oven and allow to cool on the baking sheet for about 10 minutes. Then transfer to a wire rack to cool completely.
To Store
Store cookies in an airtight container. Enjoy the cookies within 3 days while they are best, or keep them in the freezer for up to a month.",en-US,{},4.66,,Just One Cookbook,105,40 serving(s)
Pineapple Sorbet,Namiko Chen,https://www.justonecookbook.com/pineapple-sorbet/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2012/06/Pineapple-Sorbet.jpg,"['1 pineapple ((1 pineapple = 4 cups fresh pineapple chunks))', '1 banana ((ripe))', '1 lime ((1 lime = 1½ to 2 Tbsp of juice))', '⅓ cup sugar', '1 Tbsp Cointreau']","Gather all the ingredients.
Cut pineapple into chunks (I use a pineapple corer then cut into chunks).
In a blender, add the pineapple, banana, sugar and lime juice. Blend everything until very smooth. I did not have to do in batches, but you may need to depending on the size of your blender or amount of pineapple. Adjust the amount of sugar if needed.
Strain the mixture through a fine-mesh sieve into a large bowl.
Chill in the refrigerator for at least 3-4 hours before churning in your ice cream maker.
Before processing in your ice cream maker, stir in the Cointreau.
Transfer the chilled mixture into the chilled container of your ice cream maker and process according to the manufacture’s instruction.
Chill until frozen and serve.",en-US,{},-1.0,,Just One Cookbook,430,1 serving(s)
Dorayaki (Japanese Red Bean Pancake),Namiko Chen,https://www.justonecookbook.com/dorayaki-japanese-red-bean-pancake/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2011/10/Dorayaki-New.jpg,"['4 large eggs (50 g each w/o shell)', '⅔ cup sugar ((⅔ cup + ½ Tbsp to be precise))', '2 Tbsp honey', '1 ⅓ cup all-purpose flour (plain flour)', '1 tsp baking powder', '1-2 Tbsp water ((adjust 1-2 Tbsp))', '1 tsp neutral-flavored oil (vegetable, canola, etc) ((for cooking each batch))', '1.1 lb red bean paste (anko)']","Gather all the ingredients.
In a large bowl, combine eggs, sugar, and honey and whisk well until the mixture becomes fluffy.
Sift flour and baking powder into the bowl and mix all together. Keep in the fridge to rest for 15 minutes.
The batter should be slightly smoother now. Stir in 1 Tbsp of water. Depends on the size of eggs and how accurate your flour measurement is, the water amount may vary but it should be 1-2 Tbsp.
Heat a large non-stick frying pan over medium-low heat (close to low). It's best to take your time and heat slowly. I keep the heat setting to the lowest for 5 minutes. Dip a paper towel in vegetable oil and coat the bottom of the pan with the oil. Then remove the oil completely (that's the key for evenly golden brown dorayaki surface). With a ladle or a small measuring cup (I use a 4 Tbsp measuring cup), pour 3 Tbsp of the batter from 3"" (8 cm) above the pan to create 3"" (8 cm) diameter pancakes.
When you see the surface of the batter starting to bubble, flip over and cook the other side. With my stovetop and frying pan, it takes 1 minute and 15-30 seconds to cook one side and 20-30 seconds on the other side). Transfer to a plate and cover up with a damp towel to prevent from drying. You do not need to oil the pan again. Continue making pancakes (you can make about 12 pancakes).
Make sandwich with red bean paste. Put more red bean paste in the center so the shape of dorayaki will be curved (middle part should be thicker). Wrap dorayaki with plastic wrap until ready to serve.
To Store
The leftovers can be wrapped in plastic and stored in a cool place for 2 days. They also can be put in a freezer bag and stored in the freezer for a month.",en-US,{},4.63,,Just One Cookbook,45,6 serving(s)
Green Tea Cookie (Vegan),Namiko Chen,https://www.justonecookbook.com/green-tea-cookie-vegan/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2011/07/tea-cookies.jpg,"['2 cups self raising flour ((sifted))', '⅔ cup sugar', '1 stick vegan butter', '1 Tbsp matcha (green tea powder)', '4-5 tsp apple sauce']","In a bowl put self raising flour, sugar, vegan butter, and powdered green tea (or Matcha).
Crumb together the dry ingredients with the butter until the mixture resembles wet sand.
Now add 1 tsp at a time applesauce to glue the dough together.
The dough should resemble clay.
Take small pieces of dough, shape them into balls and place on baking sheets.
Put the baking sheets into the fridge for about 1 hour (or in the freezer for 30 minutes or more). Meanwhile heat the oven at 375F. Bake the cookies for 15 minutes.",en-US,{},5.0,,Just One Cookbook,45,None
Basque Burnt Cheesecake,Namiko Chen,https://www.justonecookbook.com/basque-burnt-cheesecake/,American,https://www.justonecookbook.com/wp-content/uploads/2020/12/Basque-Burnt-Cheesecake-2523-2.jpg,"['1 lb cream cheese ((226 g x 2 blocks; I used Philadelphia; at room temperature))', '½ cup sugar', '3 large eggs (50 g each w/o shell) ((at room temperature))', '2 Tbsp cake flour ((you can use all-purpose flour; use rice flour for gluten-free))', '2 tsp cornstarch ((you can substitute with flour))', '1 cup heavy (whipping) cream ((36-38% fat; at room temperature))', '1 Tbsp lemon juice', '⅛ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)']","Gather all the ingredients.
To Preheat the Oven
Preheat the convection oven (with fan) to 450ºF (230ºC). If you don’t have an oven with fan, preheat the conventional oven to 475ºF (245ºC). If your oven doesn’t get hot very well, you can preheat to the hottest oven temperature (mine is 550ºF (290ºC)) for 30-60 minutes. As for the oven rack, I used the middle rack for the convection oven (the fan circulates the air, so the middle rack is ideal). If you use the conventional oven, move the rack slightly higher as heat rises and the top of the oven is higher temperature. However, keep in mind that a 3-inch deep cake pan needs extra space for rising.
To Prepare the Cake Pan
Line a 6-inch (15-cm) round cake pan with 2 large sheets of parchment paper. When you cut 2 sheets of parchment papers, leave at least 2 inches (5 cm) of overhang around all edges. Fold the parchment paper twice to find the center of the paper.
Overlap 2 sheets of parchment paper so the cross/center matches and place them over in the middle of the pan. Make sure the longer side is against each other. Place the removable bottom on top.
Press down the removable bottom and the parchment paper, creasing against the bottom of the cake pan to fit snugly in the pan. Press the paper around the cake pan too.
Gently take out the removable bottom and the parchment-paper “mold”. Place the removable bottom back into the cake pan (as it should be). Then place the parchment-paper “mold” into the cake pan. Press the paper down to fit perfectly.
To Make the Batter
Make sure the cream cheese is at room temperature. If not, microwave the cold cream cheese at half power (50%) for 45 seconds, or microwave at 15 seconds incremental.
Press down the cream cheese and make it soft. Then add sugar.
Combine cream cheese with sugar by rubbing the mixture with the spatula against the bowl. The cream cheese will become fluffy and smooth as the sugar granules disappear.
Scrape both bowl and spatula often to ensure that nothing sticks to them and that there are no lumps.
Crack eggs in another bowl and whisk well.
Slowly and gradually add the beaten egg 3 separate times. Don’t add the egg until the batter is smooth and with no lumps.
In each addition, blend it with cream cheese COMPLETELY and THOROUGHLY.
Add the rest of the egg and blend well.
Scrap off the batter from the bowl and spatula and make sure there are no lumps in the batter. Then add lemon juice.
Sift the cake flour and cornstarch a little bit as you stir and blend together. Then sift more and continue as you finish sifting and blending in all the flour. Take your time to do this. You don’t want any lumps.
Add salt and blend together. Make sure at this stage (before adding heavy cream – more liquid) that there are no lumps.
Gradually add heavy cream while you stir. Mix until it’s all combined.
Pour the cake batter into the prepared pan in one go (avoid stop-and-go) so the air pockets don’t go in. Tap the cake pan on the countertop a few times.
With a bamboo skewer or toothpick, pop the air bubbles if there are any, and then run the batter with it to remove any bubbles. If you’re not sure if the cheesecake may overflow, bake the cheesecake on a baking sheet, just in case. Mine never did, but I use it as it’s easier to transfer the cake pan from and to the oven.
To Bake
Transfer the cake pan to the oven and bake at 450ºF (230ºC) (or 475ºF (245ºC) if conventional oven) until the top is dark amber/brown and the center is still very jiggly, about 30-35 minutes (please keep an eye on your cheesecake because every oven is different). My top doesn’t start becoming dark until a 30-minute mark, then within 5 minutes, it starts to get dark brown. If you love the “gooey/ oozy” texture and bake for a less amount of time than I provided, then you must chill before serving. NEVER overcook the cake by extending the bake time, even though the top doesn't turn dark. The texture of the filling will become curdled and you can't fix it. You probably need to adjust the oven temperature (or oven rack or preheating time) next time you make it.
To Cool
Take out the cake when the surface is dark, burnt color. The cake should wobble when you gently shake the pan. Let the cheesecake cool in the pan on a wire rack until it reaches room temperature, about 2-3 hours. Don’t put it on the countertop directly and make sure the air can go through under the cake pan. You can place it on top of the stovetop, if it's is not in use.
To Chill
You can skip chilling and serve at room temperature (which we like, too). If you prefer to serve chilled cheesecake or a firmer cheesecake, place the cheesecake, covered in cloth (don’t use plastic, as condensation may drop onto the cake), in the refrigerator for 4 hours.
To Serve
Remove the cheesecake from the cake pan and carefully peel back the parchment paper. If you have chilled the cake, let stand at room temperature for at least 30 minutes or up to 2 hours before serving.
To Store
You can store the cheesecake in the refrigerator for up to 3 days.",en-US,"{'calories': '3043 kcal', 'carbohydrateContent': '141 g', 'proteinContent': '52 g', 'fatContent': '258 g', 'saturatedFatContent': '147 g', 'transFatContent': '1 g', 'cholesterolContent': '1383 mg', 'sodiumContent': '1901 mg', 'fiberContent': '1 g', 'sugarContent': '116 g', 'servingSize': '1 serving'}",4.49,,Just One Cookbook,300,1 serving(s)
Orange Chiffon Cake,Namiko Chen,https://www.justonecookbook.com/orange-chiffon-cake/,American,https://www.justonecookbook.com/wp-content/uploads/2020/01/Orange-Chiffon-Cake-2-I-1.jpg,"['3 large eggs (50 g each w/o shell) ((separated))', '10 pods cardamom ((you’ll need ½ tsp ground cardamom))', '3-4 oranges ((I used navel oranges))', '3 oz sugar ((measure ½ cup and then remove 1 Tbsp; separated))', '3 Tbsp neutral-flavored oil (vegetable, canola, etc)', '2.6 oz cake flour', '1 tsp baking powder', '1 Tbsp confectioners’ sugar/powdered sugar ((for dusting; optional))']","Gather all the ingredients. Preheat the oven to 340ºF (170ºC). For a convection oven, reduce cooking temperature by 25ºF (15ºC). You will also need a 17cm (7"") chiffon cake pan. Make sure you use the correct chiffon cake pan. The best types are the aluminum ones with a removable base (Do not use non-stick bakeware for chiffon cake – it will not work). Do not grease the mold because the cake needs to cling on the sides and center of the pan for support as it rises or it will collapse.
Separate 3 eggs to yolks and whites. Keep the egg yolks in a medium bowl, and egg whites in a large bowl. Freeze the large bowl with egg whites for 15 minutes so that the bowl and egg whites are very cold (it's okay that they are partially frozen when you beat the egg whites). NOTE: In Japan, cream of tartar is not typically used to whip egg whites. We always use cold egg whites to make smooth, fine-texture meringue.
Crush the cardamom pods and remove the shell. Grind the seeds till fine powder. You will need ½ tsp finely ground cardamom.
Zest the oranges (I use 3-4 navel oranges). As I mentioned in the blog post, I use 2 types of zesters for more texture and flavors. Reserve some of the zest strips for cake decoration.
Cut the oranges in half and juice until you get 4 Tbsp (60 ml) of fresh orange juice.
In the bowl with egg yolks, add roughly ⅓ of granulated sugar and whisk until creamy pale yellow.
Add 3 Tbsp (40 ml) vegetable/canola oil, ½ tsp ground cardamom, and orange zest from 3-4 oranges and whisk well.
Add 4 Tbsp (60 ml) juice from oranges to the egg mixture and whisk well.
Sift 75 g (2.6 oz) cake flour and 1 tsp baking powder into the egg mixture. Whisk until incorporated and make sure there are no lumps.
Take out the bowl with egg whites from the freezer. Whip the egg whites until opaque, foamy, and bubbly.
Gradually add the rest of sugar in small increments while whisking.
Continue to whisk until stiff peaks form.
To check on stiff peaks, pull up your whisk and see if the egg whites go straight up (stiff peak) and just the tip is soft enough that it folds over, like taking a bow.
Using a whisk, whisk in ⅓ of the egg whites in the batter until the mixture is homogeneous.
Fold in another ⅓ of the egg whites into the batter. This time, fold in gently without breaking the air bubbles.
Now transfer the batter into the egg whites. Gently fold in egg whites into the batter. Make sure thoroughly mix WITHOUT breaking the air bubbles.
Pour the batter into the ungreased 17 cm (7”) chiffon cake pan in the same location to prevent more bubbles from forming.
To remove or prevent air pockets, run a skewer through the batter and then drop the pan gently on a counter holding the center tube and wall of cake pan together (so air won’t go into the bottom of the batter).
Bake at 340ºF (170ºC) for 30-35 minutes or until a toothpick inserted comes out clean and the top of the cake springs back when gently pressed. If the top gets burn too quickly (maybe the heat source is too close), cover the top loosely with aluminum foil.
As soon as you take out the cake pan from the oven, drop it on the counter to shock the cake so it stops shrinking. The cake must be cooled upside down in its pan so that it stretches downward instead of collapsing. Stick the cake pan on a tall heavy bottle. If you use an angel food cake pan, invert the cake pan on a cooling rack.
To remove the cake pan, run a thin sharp knife or thin offset spatula around both the inner and outer edges of the cake.
Remove the cake from the pan and run the knife on the bottom. Move onto a serving plate or cake stand. Dust confectioners’ sugar/powder sugar on top, if you like. Enjoy!",en-US,{},4.48,,Just One Cookbook,60,1 serving(s)
