title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
Gari (Pickled Sushi Ginger),Namiko Chen,https://www.justonecookbook.com/pickled-ginger/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2019/08/Pickled-Ginger-6541-I-1.jpg,"['3.5-5 oz young ginger', '½ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '½ cup rice vinegar ((measure ½ cup and remove 4 tsp to be precise))', '4 Tbsp sugar', '½ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)']","Gather all the ingredients.
Using a spoon, scrape off brown spots. Then thinly slice with a peeler.
Sprinkle ½ tsp salt and set aside for 5 minutes. Then add the ginger into boiling water and cook for 1-3 minutes. If you want to keep it spicy, take it out after 1 minute. Otherwise, 2-3 minutes is good.
Drain the ginger slices over a sieve and then spread them out in a single layer. With your clean hands, squeeze the water out and put them in a sterilized jar or Mason jar.
In a small pot, add 100 ml (½ cup minus 4 tsp) rice vinegar, 4 Tbsp sugar, and ½ tsp salt. Bring it to a boil till a strong vinegar smell has evaporated, roughly 1 minute. Remove from the heat and let cool slightly. Pour the vinegar mixture into the jar with sliced ginger. Close the lid, let cool, and refrigerate.
After 4 hours or so, the ginger will turn slightly pink. I recommend waiting till the following day or for a few days.
To Store
Keep pickled ginger in an airtight container and store in the refrigerator for up to 1 year.",en-US,{},4.45,,Just One Cookbook,260,1 serving(s)
Korean Pancake,Namiko Chen,https://www.justonecookbook.com/korean-pancake/,"Japanese,Korean",https://www.justonecookbook.com/wp-content/uploads/2015/01/Korean-Pancake.jpg,"['1 bunch green onions/scallions', '1 large egg (50 g w/o shell)', '4 oz shrimp ((cleaned and deveined))', '1-2 Tbsp neutral-flavored oil (vegetable, canola, etc)', '½ cup cake flour', '½ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '½ cup cold water ((slowly add to see the consistency of the batter))', '1 Tbsp soy sauce', '½ Tbsp rice vinegar', '1 tsp green onions/scallions ((thinly sliced))', '¼ tsp gochugaru (Korean pepper flakes)', '¼ tsp toasted white and black sesame seeds', '⅛ tsp sugar ((optional, if vinegar is too strong for you))']","Gather all the ingredients.
Combine all the ingredients for the dipping sauce and set aside.
Cut the end of scallions and then cut in half. If you’re worried about flipping large pancakes, cut the scallions shorter and make smaller round pancakes so you can easily flip.
Beat the egg in a small bowl and set aside.
Combine cake flour and salt in a medium bowl to make the batter. Slowly add cold water (you may not need all of it!) and whisk till just combined. Do not over mix the batter because it’ll create gluten and the pancake won’t have a good texture.
Place a non-stick frying pan over medium high heat and add the oil when the pan is hot. Then spread out the scallions on the bottom of the pan and add the shrimps.
Drizzle the batter to cover the scallion and shrimp, and make sure there is batter between the ingredients so that they will be held together. However, don’t put too much batter either to avoid having doughy pancakes.
Lightly pour the beaten egg (I usually use half of one egg) over the batter. Cook for 3 minutes, until the edge of the pancake gets crispy and the bottom of the pancake is nice golden brown. Flip and cook for another 3 minutes, pressing down the pancake with spatula occasionally, until the pancake is crispy and golden brown. Flip one last time and cook for 30 seconds.
Transfer to a cutting board. Cut into small pieces and enjoy with the dipping sauce.
To Store
You can keep the leftovers in an airtight container and store in the refrigerator for up to 4 days.",en-US,{},4.42,,Just One Cookbook,15,1 serving(s)
Japanese Pickled Cucumbers,Namiko Chen,https://www.justonecookbook.com/pickled-cucumber/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2020/07/Pickled-Cucumber-6972-I.jpg,"['2 tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt) ((0.4 oz or 10 g))', '3 Tbsp sugar ((1.1 oz or 30 g))', '½ tsp Japanese karashi hot mustard', '3 Persian/Japanese cucumbers ((9.2 oz or 261 g))']","Gather all the ingredients.
Combine salt, sugar, and Japanese karashi mustard in the sealable plastic storage bag and mix well together.
Cut ½ inch off the ends of the cucumbers. Rub the ends together to get rid of bitter taste.
Put the cucumbers in the bag and squeeze out the air, close the bag tightly. Rub the cucumbers well with the mixture. Pickle for a few hours (my preferred taste) or up to 1-2 days in the refrigerator.
To Serve and Store
When the cucumbers are ready, discard the liquid and slice the cucumber before serving. Store the cucumbers in the refrigerator and consume within 2-3 days after removing from the pickle solution.",en-US,{},4.38,,Just One Cookbook,10,4 serving(s)
Takikomi Gohan (Japanese Mixed Rice),Namiko Chen,https://www.justonecookbook.com/takikomi-gohan/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2016/10/Takikomi-Gohan-V.jpg,"['2 rice cooker cups uncooked Japanese short-grain rice', '3 dried shiitake mushrooms ((0.5 oz, 15 g))', '½ cup water', '⅓ package konnyaku (konjac) ((3 oz, 85 g))', '1 piece aburaage (deep-fried tofu pouch) ((¾ oz, 20 g))', '2 oz carrot ((3"", 7.5 cm))', '1 oz gobo (burdock root) ((4"", 10 cm))', '1 boneless, skinless chicken thigh ((4.8 oz, 135 g))', '1 ½ cup dashi (Japanese soup stock; click to learn more)', '1 ½ Tbsp mirin', '1 ½ Tbsp soy sauce', 'mitsuba (Japanese parsley) ((you can substitute it with green onion/scallion))']","Prepare all the ingredients.
Wash the rice in a large bowl. Rice absorbs water very quickly when you start washing, so don't let the rice absorb the opaque water. Gently wash the rice in a circular motion and discard the water. Repeat this process about 3-4 times.
Let the rice soak in water for 30-60 minutes. This helps the rice absorb the seasonings later on and become more tender and moist after cooking. Transfer the rice into a sieve and drain completely for at least 15 minutes. Place the washed and drained rice in the rice cooker.
Meanwhile, prepare the other ingredients. Soak 3 dried shiitake mushrooms in a ½ cup of water for 15 minutes. I place a smaller bowl on top to keep the mushrooms submerged in the water at all times.
In a small saucepan, bring 2 cups of water to boil. Put ⅓ konnyaku and cook for 1 minute to get rid of the smell. Transfer the konnyaku to a plate to cool. Add the aburaage to the same pot of water and cook for 1 minute. This removes excess oil from the aburaage. Transfer aburaage to a plate to cool. Discard the water.
Shave off the gobo skin with the back of the knife. Don’t peel the gobo with a peeler to keep the earthy flavor and fragrance. Then make a “cross” slit on tip of the gobo as you see in the picture below.
Make a lengthwise cross-shape incision about 1 ½ inch (3.8 cm) deep at one end. Shave from that end as if you were sharpening a pencil with a knife while constantly rotating with the other hand. Soak in the water to prevent it from changing color.
Cut the carrot in half lengthwise and cut diagonally into thin slices. Then cut the slices into julienned or smaller pieces.
Cut the aburaage and konnyaku into thin small strips.
Cut the chicken thigh into ¾ inch (2 cm) slanted pieces. Hold your knife at 45-degree angle and slice the chicken. This “sogigiri” cutting technique gives the chicken more surface area so it will cook faster and soak up flavors quickly.
Squeeze the liquid from dried shiitake mushrooms and save the liquid (this is called Shiitake Dashi). Remove the stem and cut the caps into thinly slices.
Strain the Shiitake Dashi into a bowl through a fine mesh strainer to get rid of dirty particles. Set aside. In a measuring cup, add all the shiitake dashi and then pour dashi so you’ll have 1 ½ cup (360 ml) of liquid. Add it to the rice cooker and mix well.
Now your ingredients are ready!
Add 1 ½ Tbsp soy sauce and 1 ½ Tbsp mirin to the rice.
Pour the dashi & shiitake dashi mixture into the rice and mix well.
Add the chicken and evenly distribute over the rice. Do NOT mix the rice with ingredients. The rice won’t be able to absorb enough water to cook and it will end up with a hard texture. Continue from the hard ingredients to softer ingredients. Without mixing all up, start cooking the rice. If you have a “Mixed Rice” option, use it (See Notes below).
Once the rice is done cooking, use a rice paddle to stir the rice and vegetables with light slicing and tossing motions to distribute the ingredients evenly. The bottom of the rice gets slightly caramelized, and this part is called Okoge and it’s especially tasty.
Serve the rice hot or at room temperature. Sprinkle chopped mitsuba or green onion on top.
To Store
You can keep the leftover rice in the freezer for up to a month. I don't recommend storing it in the refrigerator as the rice gets too dry and hard.",en-US,{},4.92,,Just One Cookbook,80,4 serving(s)
Myoga Shiso Rice,Namiko Chen,https://www.justonecookbook.com/myoga-shiso-rice/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2020/09/Myoga-Shiso-Rice-7843-I.jpg,"['3 myoga', '6 shiso leaves (perilla/ooba)', '2 servings cooked Japanese short-grain rice ((equivalent to 1 rice cooker cup of uncoooked Japanese short-grain rice))', '2 tsp soy sauce', '2 tsp sesame oil (roasted)', '1 Tbsp toasted white sesame seeds']","Gather all the ingredients.
Cut off and discard the ends of myoga and cut them into thin slices.
Cut the shiso leaves into julienned strips and separate them.
Place 2 servings of steamed rice in a large bowl/baking sheet/sushi oke (hangiri).
Drizzle soy sauce and sesame oil over the rice.
Add myoga and shiso leaves. Mix all together.
Sprinkle sesame seeds on top and serve!",en-US,{},5.0,,Just One Cookbook,10,2 serving(s)
Pickled Lotus Root (Su Renkon),Namiko Chen,https://www.justonecookbook.com/pickled-lotus-root/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2018/12/Pickled-Lotus-Root-I.jpg,"['1 lotus root (renkon) ((7 oz, 200 g))', '1 tsp rice vinegar ((for soaking lotus root))', '1 dried red chili pepper', '¾ cup water ((for soaking kombu))', '1 piece kombu (dried kelp) ( (2” x 2” or 5 x 5 cm))', '½ cup rice vinegar', '3 Tbsp sugar ((add more if the solution is too tangy))', '¾ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)']","Gather all the ingredients.
Prepare the Ingredients
Soak the kombu in ¾ cup water. After 30 minutes, you now have cold brew kombu dashi.
Meanwhile, peel and cut the lotus root into ¼ inch pieces (0.6 mm). If you want to make lotus root into a flower shape, see the optional step below.
Optional Step 1: To make flower-shaped lotus root (Hana Renkon), cut the lotus root into a 2-inch length so it’s easy to work with. Cut out the “V” shape between two holes.
Optional Step 2: Remove the v-shape part and continue to the next area between the holes.
Add 1 tsp rice vinegar in 4 cups (1L) of water. Soak the lotus root slices for 5 minutes to prevent changing of color and to remove the astringent taste.
Cook Lotus Root
In a medium saucepan, combine kombu dashi (with kombu), ½ cup rice vinegar, 3 Tbsp sugar, and ¾ tsp kosher salt. Turn on the heat to medium heat and mix well.
Add the lotus root slices and spread out evenly.
Right before the sauce comes to a full boil, remove the kombu. Place an otoshibuta over.
Cook with the otoshibuta for 5-8 minutes, or until the inserted skewer goes through smoothly.
Transfer the lotus root and sauce into an airtight container with a lid.
Remove the seeds from red chili pepper (or keep some if you like it spicy), and slice into rounds.
Place the red chili pepper rounds in the sauce. Let cool completely and store in the refrigerator for at least 6 hours so the flavors absorb completely. Enjoy chilled or room temperature. You can keep it for up to 5-7 days.",en-US,{},4.29,,Just One Cookbook,55,4 serving(s)
Maple and Miso Glazed Roasted Carrots,Namiko Chen,https://www.justonecookbook.com/maple-and-miso-glazed-roasted-carrots/,American,https://www.justonecookbook.com/wp-content/uploads/2020/11/Maple-and-Miso-Glazed-Roasted-Carrots-0715-I.jpg,"['1 lb carrots ((I used rainbow carrots))', '1 Tbsp extra-virgin olive oil', '¼ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', 'freshly ground black pepper', '1 Tbsp maple syrup', '1 Tbsp miso ((I used reduced salt Enjuku Koji Miso))', '½ tsp soy sauce', 'fresh thyme']","Arrange a rack in the middle of the oven and preheat the oven to 425 °F (220 ºC). Gather all the ingredients. If your carrots still have some moisture after washing, be sure to pat them as dry as possible; the drier the vegetable, the better it will roast.
In a small bowl, mix together 1 Tbsp maple syrup, 1 Tbsp miso, and ½ tsp soy sauce.
Peel the carrots (and if they are large, cut uniform slices so that they will roast evenly and be finished at the same time). Place the carrots in a single layer on a rimmed baking sheet lined with parchment paper (for easy clean-up). If the carrots are arranged too closely together or are on top of one another, they will steam, making them mushy rather than caramelized. Use a bigger baking sheet or 2 instead.
Drizzle the olive oil and sprinkle salt and pepper. You want each carrot to have a light coating of oil (the oil keeps some moisture in for that interior tenderness). A good rule of thumb is about 2 Tbsp of oil per baking sheet (I'm using a half sheet).
Toss/Roll the carrots with oil and seasoning.
Place in the oven and bake for 20-30 minutes, rotating the baking sheet halfway through to ensure that the carrots are getting equal exposure to the heat and have an equal chance at getting crispy and caramelized. The roasting time may vary depending on the size of the carrots (young thin carrots require less cooking time). When carrots are lightly browned and almost tender when pierced with a wooden skewer, remove the baking sheet from the oven. Why almost tender? We still need to roast for 5 more minutes after brushing the sauce.
Brush the maple and miso mixture over the carrots and flip to coat the other side. Put back in the oven to finish cooking, about 5 more minutes. The vegetables will start to brown on the bottom first (the side in contact with a hot surface will brown faster than the sides in touch with hot air), so for even browning you'll need to turn them.
Remove from the oven and serve warm, garnished with thyme if desired.
To Store
Leftovers can be refrigerated in an airtight container for up to 3-4 days. They do not freeze well.",en-US,{},5.0,,Just One Cookbook,45,4 serving(s)
Simmered Koyadofu,Namiko Chen,https://www.justonecookbook.com/simmered-koyadofu/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2019/07/Simmered-Koyadofu-8844-I.jpg,"['5 pieces koyadofu (freeze-dried tofu) ((3 oz, 85 g))', '2 ½ cup dashi (Japanese soup stock; click to learn more)', '5 snow peas ((0.4 oz, 10 g))', '2 Tbsp mirin', '2 Tbsp sake', '1 Tbsp soy sauce', '4 Tbsp sugar', '½ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)']","Gather all the ingredients.
The box says you do not need to soak, but I still recommend washing the koyadofu. Put the koyadofu in a bowl and pour hot water. The koyadofu will expand in about 10 minutes.
While you wait for the koyadofu to expand, put dashi in a pot. I use cold brew kombu dashi for this recipe, leaving the kombu behind. Add mirin and sake.
Add soy sauce, sugar, and salt.
Mix all together and slowly bring it to boil.
While waiting for the broth to boil, wash the koyadofu in clean cold water once it expands. Be careful with the koyadofu as the inside still contains hot water.
Like a sponge, let the koyadofu soak up the clean water and push it out a few times to clean. Hold the tofu flat between your hands. Squeeze the cloudy water from the inside of the koyadofu by pressing hard.
Change the water in the bowl several times to clean all the koyadofu. Thoroughly wash out the cloudy water by repeating this process several times. Give it a final squeeze.
Cut each koyadofu into 6 square pieces.
Once the dashi-soy broth is boiling, add the koyadofu and cover with a drop lid (Otoshibuta – if you don’t have one, make one with aluminum foil). You do not use a regular lid on top. Simmer for 10 minutes on medium-low heat.
When it’s about to finish simmering, prepare the snow peas by removing the tough strings. Add the snow peas in the saucepan.
Cook for 1-2 minutes. Then transfer the koyadofu to a glass container.
Make sure the glass container is big enough to hold the koyadofu and the broth. I stack the koyadofu neatly.
You can serve hot, at room temperature, or chilled after refrigerating for a few hours or overnight. Put the koyadofu, snow peas, and broth in a bowl and serve.
To Store
You can keep in the refrigerator for up to 3-4 days and in the freezer for up to a month. If it’s frozen, reheat before serving.",en-US,{},5.0,,Just One Cookbook,150,5 serving(s)
Tsukemono – Shiozuke (Salt Pickling),Namiko Chen,https://www.justonecookbook.com/tsukemono-shiozuke-salt-pickling/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2019/01/Shiozuke-I-1.jpg,"['3 Japanese/Chinese eggplant ((Use Lucky Iron Fish to retain the color: See Notes))', '5 Persian/Japanese cucumbers', '1 daikon radish', '5 celeries', '2 carrots', '1000 ml water', '20-100 g sea salt ((for 2 to 10% brine))']","Gather all the ingredients. Also, prepare a clean container with a lid for each vegetable. You can also put all vegetables (except for eggplants) in one big container.
Measure the Weight (Important!)
Decide the amount of salt you want to use and weigh the salt (Please read the blog post). This recipe is 5% brine (50 grams of sea salt in 1000 ml of water) and made double batch (100 grams of sea salt in 2000 ml of water) as I used a lot of vegetables to demonstrate.
Weigh each vegetable you’re pickling and write down the number. At the next step, you'll need to find out the weight of the heavy objects to put on the vegetables.
Figure out which heavy object to use. Make sure to include the plate that goes under the heavy object. The total weight (object + plate) needs to be 1.5 to 2 times of the total vegetable weight. You can use several plates, pie weights in a plastic bag, etc.
Prepare the Brine
Put the measured water and sea salt in the pot and let the salt dissolved completely over medium heat. You do not need to let it boil. You can turn off the heat once it’s warm and salt is completely dissolved. Let cool. Tip: In winter, it’s fast if you put the pot outside (leaving the lid slightly ajar). In summer, make the brine the previous day.
Cut the Vegetables (If Necessary)
Eggplants: Cut off the end of eggplants. When you are making Asazuke (quick pickles), cut the eggplant in half or cut a slit vertically about half the length in the eggplant to let the salt brine absorb. Otherwise, you don’t need to cut the eggplants. Place them in the container. Tip: To prevent the beautiful eggplants from discoloring, I used 'Lucky Iron Fish' - a cooking tool that retains colors and adds iron to foods. It is optional but worth investing especially if you need more iron in your diet. You can purchase it on Amazon. I also use 'Lucky Iron Fish' when I make Kuromame.
Cucumbers: You don’t need to cut. Place them in the container.
Daikon radish: Peel and cut in half or quarters vertically depending on its size. Place them in the container.
Celeries: Remove the leafy parts and cut into the length that would fit in the container. Place them in the container.
Carrots: Peel and cut into the length that would fit in the container. Place them in the container.
To Pickle Vegetables
Eggplants: Pour the brine until they are submerged.
Place a plate on top of the vegetable, and then put a weight on the plate. You can use plates and pie weights. Make sure the vegetables are completely submerged. Place a lid on and close tightly.
Cucumbers: Pour the brine until they are submerged.
Daikon radish: Pour the brine until they are submerged.
Celeries: Pour the brine until they are submerged.
Carrots: Pour the brine until they are submerged.
Pickling Time
Keep the tsukemono at room temperature for the best pickling. For my 5% brine, the best pickling time 8 hours. Tip: You can adjust the pickling time according to your preference. Dense vegetable takes longer time to pickle than less dense vegetables. Please read the blog post.
To Take Out and Serve
Remove the eggplants and Lucky Iron Fish from the brine and transfer to a clean airtight container or resealable plastic bag.
Remove other vegetables from the brine and transfer to a clean airtight container.
To Serve
Cut the tsukemono into slices when you are ready to serve.
Serve on a plate and enjoy!
To Store
With 5% brine, you can keep the shiozuke in the refrigerator for up to 4 days. Do not cut the tsukemono into slices until you are ready to serve.
Reuse of the Leftover Brine
You can reuse the brine for up to a month. You may need to add more salt as the brine will become less salty. Also, it's good to boil the brine to keep it germ-free.",en-US,{},4.63,,Just One Cookbook,500,4 serving(s)
Kuri Kinton (Candied Chestnuts & Sweet Potatoes),Namiko Chen,https://www.justonecookbook.com/kuri-kinton-candied-chestnuts-with-sweet-potatoes/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2019/12/Kuri-Kinton-7071-I.jpg,"['1.1 lb Japanese sweet potato (Satsumaimo) ((500 g))', '1 jar kuri kanroni (chestnuts in heavy syrup) ((Marrons Glacés; 10 chestnuts))', '½ cup sugar', '½ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '3 Tbsp syrup from kuri kanroni', '1 Tbsp mirin', '2 Kuchinashi no mi (dried gardenia pods) ((See Notes))']","Gather all the ingredients.
Peel the sweet potatoes. Slice the sweet potatoes into ½ inch pieces (so that they will be cooked equally).
Soak the sweet potatoes in water for 15 minutes to remove starch. Then put them in a large pot and add water just enough to cover them.
Bring the water to a boil on medium heat. Once boiling, lower the heat to medium-low heat and cook them for 15-20 minutes or until the skewer goes through smoothly. Then reserve about ¼ to ½ cup of the cooking water and drain completely.
Mash the boiled sweet potatoes through the fine-mesh strainer/sieve with a wooden spatula to puree them. You can use a food processor. If necessary, add a little bit of the reserved cooking liquid (I did not need it).
Here’s the finished pureed sweet potato. Take out all the chestnuts and 3 Tbsp of the syrup from the jar of Kuri Kanroni.
In the same pot, add the pureed sweet potato, sugar, salt, mirin, and the syrup from the chestnut.
Cook, stirring constantly, on low heat until the sugar has dissolved completely. If needed, add the reserved cooking liquid to loosen up the paste (I did not add) and adjust the sweetness with the syrup and mirin.
Add the chestnuts and cook until heated through, about 3-5 minutes. Let cool for 2-3 hours.
To Serve and Store
Serve at room temperature. To store, put Kuri Kinton in an airtight container and store in the refrigerator for up to 3-4 days.",en-US,{},5.0,,Just One Cookbook,345,6 serving(s)
