title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
Corn Dogs,Namiko Chen,https://www.justonecookbook.com/corn-dogs/,"American,Japanese",https://www.justonecookbook.com/wp-content/uploads/2017/05/Corn-Dogs.jpg,"['5.3 oz Japanese Hotcake Mix', '½ cup whole milk ((measure ½ cup and remove 4 tsp to be precise))', '1 large egg (50 g w/o shell)', '4 hot dogs/sausages', '3 cups neutral-flavored oil (vegetable, canola, etc) ((for deep frying))', 'ketchup', 'mustard']","Gather all the ingredients.
Depending on the hot dog/sausage size, cut each hot dog in half or ⅔ (save ⅓ to make mini ones).
Insert a chopstick or a lollipop stick into the cutoff end of each hot dog.
In a large bowl, whisk together egg and milk.
Add hotcake mix and whisk well.
Fill a large heavy pot, Dutch oven, or deep fryer with 3-4 inches of oil (or enough oil to submerge hot dogs). Heat the oil over medium-high heat until a deep-fry thermometer reaches 320-340ºF (160-170ºC). I use this instant-read thermometer.
Pour the batter into a tall glass. Dip each hot dog into the batter, turning until completely coated. Let any excess batter drip off so that the hot dog is coated evenly.
Lower the hot dog into the hot oil. Immediately repeat with another hot dog. Cook until deep golden brown, about 3 minutes. Make sure to turn the corn dogs so that they get even color.
Transfer to a paper-towel-lined tray or wire rack. Working in batches of 2, repeat with remaining hot dogs and batter. Serve the corn dogs immediately with ketchup and mustard.",en-US,{},4.5,,Just One Cookbook,30,4 serving(s)
Lotus Root Chips (Renkon Chips),Namiko Chen,https://www.justonecookbook.com/renkon-chips/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2017/02/Renkon-Chips-w600.jpg,"['1 lotus root (renkon) ((1 lotus root = 1/2 lb))', 'Rice vinegar ((see recipe below))', 'neutral-flavored oil (vegetable, canola, etc) ((for deep frying))', 'Himalayan Pink Salt ((or sea salt))', 'aonori (dried green seaweed) ((optional))']","Gather all the ingredients.
Rinse the renkon and either cut with knife or use a mandolin slider to make 1/8 inch thin slices (see below). I don’t peel off the renkon skin as it gives nice look but it’s up to you.
Add a few drops of rice vinegar and soak the sliced renkon in vinegar water for 5-10 minutes. Vinegar water will prevent the renkon from changing to a dark color.
Rinse and drain well.
And pat dry on paper towel – make sure to wipe off all the liquid.
Heat the oil to 340F (170C) on medium high heat. Drop a piece of renkon to see if it’s ready. If it comes right up, then it's time to deep fry.
Deep fry until renkon gets crispy and golden color.
Once they are nicely fried, spread on a wired rack or paper towel to drip excel oil. Season with salt and aonori and serve immediately.
To Bake in the Oven
Baked Renkon Chips won't be as crispy as deep-fried version, but if you prefer this method, here are the instructions. Preheat oven 350 ºF (170 ºC). Lay each lotus root slice in a single layer on the prepared baking sheets lined with parchment paper and lightly brush the top with some oil. Bake for 15-20 minutes, depending on thickness. When the slices turn nice golden brown, remove them from the oven.",en-US,{},4.62,,Just One Cookbook,25,2 serving(s)
Corn Dogs,Namiko Chen,https://www.justonecookbook.com/corn-dogs/,"American,Japanese",https://www.justonecookbook.com/wp-content/uploads/2017/05/Corn-Dogs.jpg,"['5.3 oz Japanese Hotcake Mix', '½ cup whole milk ((measure ½ cup and remove 4 tsp to be precise))', '1 large egg (50 g w/o shell)', '4 hot dogs/sausages', '3 cups neutral-flavored oil (vegetable, canola, etc) ((for deep frying))', 'ketchup', 'mustard']","Gather all the ingredients.
Depending on the hot dog/sausage size, cut each hot dog in half or ⅔ (save ⅓ to make mini ones).
Insert a chopstick or a lollipop stick into the cutoff end of each hot dog.
In a large bowl, whisk together egg and milk.
Add hotcake mix and whisk well.
Fill a large heavy pot, Dutch oven, or deep fryer with 3-4 inches of oil (or enough oil to submerge hot dogs). Heat the oil over medium-high heat until a deep-fry thermometer reaches 320-340ºF (160-170ºC). I use this instant-read thermometer.
Pour the batter into a tall glass. Dip each hot dog into the batter, turning until completely coated. Let any excess batter drip off so that the hot dog is coated evenly.
Lower the hot dog into the hot oil. Immediately repeat with another hot dog. Cook until deep golden brown, about 3 minutes. Make sure to turn the corn dogs so that they get even color.
Transfer to a paper-towel-lined tray or wire rack. Working in batches of 2, repeat with remaining hot dogs and batter. Serve the corn dogs immediately with ketchup and mustard.",en-US,{},4.5,,Just One Cookbook,30,4 serving(s)
Mini Fruit Puff Pastry with Lemon Glaze,Namiko Chen,https://www.justonecookbook.com/mini-fruit-puff-pastry-with-lemon-glaze/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2011/06/Mini-Fruit-Puff-Pastry-with-Lemon-Glaze-e1308032192840.jpg,"['1 pkg Pepperidge Farm Puff Pastry Sheets ((1 pkg = 17.3 oz) (thawed according to the package instruction))', '1 large egg (50 g w/o shell)', '1 Tbsp water', '2 Tbsp lemon juice', '½ cup confectioners’ sugar/powdered sugar', 'Strawberries ((Your choice of fruits, raspberries, and blueberries))', 'sugar ((optional))']","In a small bowl, combine ingredients for Lemon Glaze and whisk together. The consistency should be slightly thick but runny. Cover and refrigerate overnight.
While you are waiting for the pastry sheet to be thawed, wash fruits and drain well. Chop into small pieces if necessary.
After 2 pastry sheets are thawed, unfold them on a lightly floured surface. Using a round cookie cutter, cut the pastry sheet into 9 circles per sheet. Roll up the scrapes into a ball and re-roll them and cut into circles. I was able to make 24 circles with the 2 sheets.
Preheat the oven to 400 degrees. Beat the egg and water in a small bowl.
Place half of the pastry circles (12 circles for me) onto a parchment paper lined baking sheet. Then put a small amount of fruits of your choice in the center. You can sprinkle a little bit of sugar if you like. I made half with sugar and half without sugar (fruits were pretty sweet already).
After you put all the fruits, brush the edges of the pastry circles with the egg wash using a pastry brush.
Put remaining pastry circles on top of the filling.
Press the edges of circles firmly to seal with a fork.
Using a kitchen knife, make 2 small slits on top of the pastry and brush the top of pastries with the egg wash using a pastry brush.
Bake for 15 minutes or until the pastries are nice golden brown on the top. Remove from the oven and let the pastries cool slightly.
Drizzle the lemon glaze on tops. I think I made it too runny…it should have been thicker, right? Sorry this is my first time making icing!",en-US,{},3.34,,Just One Cookbook,50,12 serving(s)
Tandoori Chicken Puffs,Namiko Chen,https://www.justonecookbook.com/tandoori-chicken-puffs/,"Indian,Japanese",https://www.justonecookbook.com/wp-content/uploads/2011/10/Tandoori-Chicken-Puffs-w600.jpg,"['2 pkgs puff pastry sheet ((2 pkgs = 4 sheets or 16 oz x 2))', '½ lb ground chicken', '⅓ cup vegetable mix', '½ -1 tsp Tandoori Mix', '1 large egg (50 g w/o shell)', '1 Tbsp water', '2 Tbsp yogurt', '½ -1 Tbsp Tandoori Mix', '½ tsp grated ginger', '1 clove garlic ((minced))', '2-3 drops lemon juice']","In a bowl, marinate the meat in the Seasonings for a few hours.
While you are waiting for the pastry sheet to be half thawed, start cooking the filling. In a frying pan, heat oil on medium high heat and cook the chicken. When it starts to change color, add the mix vegetables and a little bit more of Tandoori mix. When everything is cooked, turn off the heat and set aside to let it cool. * Please note: the picture shows double amount.
Place the puff pastry sheets on a lightly floured surface and use a fork to prick the pie sheets if your pie sheets are not docked. Then cut them into 9 circles per sheet using a (2½ inch diameter) round cookie cutter. Roll up the scrapes into a ball and re-roll them and cut into circles.
Preheat the oven to 400F degrees. Beat the egg and water in a small bowl.
Place half of the pastry circles (26 circles for me) onto a parchment paper lined baking sheet. Then put a small amount of filling in the center and brush the edges of the pastry circles with the egg wash using a pastry brush.
Put remaining pastry circles on top of the filling and press the edges of circles firmly to seal with a fork.
Using a kitchen knife, make 2 small slits on top of the pastry and brush the top of pastries with the egg wash using a pastry brush.
Bake for 15-20 minutes or until the pastries are nice golden brown on the top. Remove from the oven and let the pastries cool slightly on wire cooling rack.",en-US,{},-1.0,,Just One Cookbook,180,26 serving(s)
Steamed Cake,Namiko Chen,https://www.justonecookbook.com/steamed-cake/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2020/01/Steamed-Cake-8359-I.jpg,"['½ cup all-purpose flour (plain flour)', '1 tsp baking powder', '1 large egg (50 g w/o shell)', '2 Tbsp milk', '2 Tbsp sugar', '1 Tbsp neutral-flavored oil (vegetable, canola, etc)', '½ cup all-purpose flour (plain flour)', '1 tsp baking powder', '1 large egg (50 g w/o shell)', '2 Tbsp milk', '2 Tbsp sugar', '1 Tbsp neutral-flavored oil (vegetable, canola, etc)', '¼ cup frozen or canned corn', '¼ cup shredded cheese ((I used sharp cheddar))', '½ cup all-purpose flour (plain flour)', '1 tsp baking powder', '1 ½ Tbsp unsweetened cocoa powder', '1 large egg (50 g w/o shell)', '3 Tbsp milk', '2 Tbsp sugar', '2 Tbsp neutral-flavored oil (vegetable, canola, etc)', '2 Tbsp chocolate chips']","Cover the lid with a kitchen towel to prevent condensation (please don’t skip!). Fill a large frying pan with water about ½ inch (1.3 cm) deep. Cover the pan with the lid and slowly bring water to a boil. STEAMER: You can also use a regular steamer, but the cooking time will be slightly longer than my method here. Please read the storage and reheating information at the end of the recipe.
For Basic Steamed Cake
Gather all the ingredients. You will also need 4 6-oz ramekins and cupcake liners.
In a medium bowl, combine all-purpose flour and baking powder and whisk well to combine (shortcut for sifting).
In a small bowl, whisk the egg, milk, sugar, and vegetable oil together until combined and sugar is dissolved.
Pour the egg mixture into the flour mixture and mix until just combined and smooth. Do not over mix.
Put a cupcake liner in glass ramekins and divide the batter into the cupcake liners.
Place the glass ramekins in the boiling water and cook covered on the lowest heat for 8 minutes.
They're done when a skewer inserted comes out clean without wet batter. Turn off the heat and remove the ramekins from the pan and let them cool on a wire rack. Serve warm or at room temperature.
For Corn & Cheese Steamed Cake
Gather all the ingredients.
In a medium bowl, combine all-purpose flour and baking powder and whisk well to combine (shortcut for sifting).
In a small bowl, whisk the egg, milk, sugar, and vegetable oil together until combined and sugar is dissolved.
Pour the egg mixture into the flour mixture and mix until just combined and smooth. Do not over mix.
Add corn and cheese and mix until combined. Put a cupcake liner in glass ramekins and divide the batter into the cupcake liners.
Place the glass ramekins in the boiling water and cook covered on the lowest heat for 12-13 minutes. They're done when a skewer inserted comes out clean without wet batter.
Turn off the heat and remove the ramekins from the pan and let them cool on a wire rack. Serve warm or at room temperature.
For Double Chocolate Steamed Cake
Gather all the ingredients.
In a medium bowl, combine all-purpose flour, baking powder and cocoa powder, and whisk well to combine (shortcut for sifting).
In a small bowl, whisk the egg, milk, sugar, and vegetable oil together until combined and sugar is dissolved.
Pour the egg mixture into the flour mixture and mix until just combined and smooth. Do not over mix.
Add chocolate chips and mix until combined. Put a cupcake liner in glass ramekins and divide the batter into the cupcake liners.
Place the glass ramekins in the boiling water and cook covered on the lowest heat for 8 minutes. They're done when a skewer inserted comes out clean without wet batter. Turn off the heat and remove the ramekins from the pan and let them cool on a wire rack. Serve warm or at room temperature.
To Store & Reheat
You can store the steamed cakes in the airtight container for up to 2-3 days or freeze them for up to 1 month. You can reheat the steamed cake with one of 2 methods. 1) Cover the steamed cake with a damp paper towel and reheat in the microwave (but be careful not to overheat; it'll become very hard). If you reheat the frozen steamed cake, defrost first before microwaving. 2) Use the same steaming method above or a steamer or to reheat refrigerated/frozen steamed cake till warm.",en-US,{},4.62,,Just One Cookbook,20,4 serving(s)
Steamed Cake,Namiko Chen,https://www.justonecookbook.com/steamed-cake/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2020/01/Steamed-Cake-8359-I.jpg,"['½ cup all-purpose flour (plain flour)', '1 tsp baking powder', '1 large egg (50 g w/o shell)', '2 Tbsp milk', '2 Tbsp sugar', '1 Tbsp neutral-flavored oil (vegetable, canola, etc)', '½ cup all-purpose flour (plain flour)', '1 tsp baking powder', '1 large egg (50 g w/o shell)', '2 Tbsp milk', '2 Tbsp sugar', '1 Tbsp neutral-flavored oil (vegetable, canola, etc)', '¼ cup frozen or canned corn', '¼ cup shredded cheese ((I used sharp cheddar))', '½ cup all-purpose flour (plain flour)', '1 tsp baking powder', '1 ½ Tbsp unsweetened cocoa powder', '1 large egg (50 g w/o shell)', '3 Tbsp milk', '2 Tbsp sugar', '2 Tbsp neutral-flavored oil (vegetable, canola, etc)', '2 Tbsp chocolate chips']","Cover the lid with a kitchen towel to prevent condensation (please don’t skip!). Fill a large frying pan with water about ½ inch (1.3 cm) deep. Cover the pan with the lid and slowly bring water to a boil. STEAMER: You can also use a regular steamer, but the cooking time will be slightly longer than my method here. Please read the storage and reheating information at the end of the recipe.
For Basic Steamed Cake
Gather all the ingredients. You will also need 4 6-oz ramekins and cupcake liners.
In a medium bowl, combine all-purpose flour and baking powder and whisk well to combine (shortcut for sifting).
In a small bowl, whisk the egg, milk, sugar, and vegetable oil together until combined and sugar is dissolved.
Pour the egg mixture into the flour mixture and mix until just combined and smooth. Do not over mix.
Put a cupcake liner in glass ramekins and divide the batter into the cupcake liners.
Place the glass ramekins in the boiling water and cook covered on the lowest heat for 8 minutes.
They're done when a skewer inserted comes out clean without wet batter. Turn off the heat and remove the ramekins from the pan and let them cool on a wire rack. Serve warm or at room temperature.
For Corn & Cheese Steamed Cake
Gather all the ingredients.
In a medium bowl, combine all-purpose flour and baking powder and whisk well to combine (shortcut for sifting).
In a small bowl, whisk the egg, milk, sugar, and vegetable oil together until combined and sugar is dissolved.
Pour the egg mixture into the flour mixture and mix until just combined and smooth. Do not over mix.
Add corn and cheese and mix until combined. Put a cupcake liner in glass ramekins and divide the batter into the cupcake liners.
Place the glass ramekins in the boiling water and cook covered on the lowest heat for 12-13 minutes. They're done when a skewer inserted comes out clean without wet batter.
Turn off the heat and remove the ramekins from the pan and let them cool on a wire rack. Serve warm or at room temperature.
For Double Chocolate Steamed Cake
Gather all the ingredients.
In a medium bowl, combine all-purpose flour, baking powder and cocoa powder, and whisk well to combine (shortcut for sifting).
In a small bowl, whisk the egg, milk, sugar, and vegetable oil together until combined and sugar is dissolved.
Pour the egg mixture into the flour mixture and mix until just combined and smooth. Do not over mix.
Add chocolate chips and mix until combined. Put a cupcake liner in glass ramekins and divide the batter into the cupcake liners.
Place the glass ramekins in the boiling water and cook covered on the lowest heat for 8 minutes. They're done when a skewer inserted comes out clean without wet batter. Turn off the heat and remove the ramekins from the pan and let them cool on a wire rack. Serve warm or at room temperature.
To Store & Reheat
You can store the steamed cakes in the airtight container for up to 2-3 days or freeze them for up to 1 month. You can reheat the steamed cake with one of 2 methods. 1) Cover the steamed cake with a damp paper towel and reheat in the microwave (but be careful not to overheat; it'll become very hard). If you reheat the frozen steamed cake, defrost first before microwaving. 2) Use the same steaming method above or a steamer or to reheat refrigerated/frozen steamed cake till warm.",en-US,{},4.62,,Just One Cookbook,20,4 serving(s)
Candied Sweet Potatoes,Namiko Chen,https://www.justonecookbook.com/candied-sweet-potatoes/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2020/01/Candied-Sweet-Potatoes-7878-I.jpg,"['1.2 lbs Japanese sweet potatoes (Satsumaimo) ((2 pieces))', '2 tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt) ((for soaking sweet potatoes))', '2 cups neutral-flavored oil (vegetable, canola, etc) ((for deep frying))', '5 Tbsp sugar', '1 ½ Tbsp water', '1 Tbsp mirin ((substitute: ½ Tbsp sugar))', '1 tsp rice vinegar ((vinegar helps the sugar from hardening when it cools down))', '1 tsp soy sauce', '1 tsp toasted black sesame seeds ((for garnish))', '11 oz Japanese sweet potato (Satsumaimo)', '3 Tbsp neutral-flavored oil (vegetable, canola, etc)', '5 Tbsp sugar', '¼ tsp soy sauce', '¼ tsp rice vinegar ((vinegar helps the sugar from hardening when it cools down))', '1 tsp toasted black sesame seeds ((for garnish))']","#1 Deep-Fry Version
Gather all the ingredients.
Carefully wash the sweet potatoes (Don’t peel the skin). Cut the sweet potatoes diagonally while rotating the sweet potato a quarter between cuts. This Japanese cutting technique is called “Rangiri”.
Put the sweet potatoes in 8 cups water and add 2 tsp salt. Soak for 15 minutes to remove starch.
Add the oil in the medium pot (I use a 2.75-QT Staub) and bring it to 320ºF (160ºC) (Use a cooking thermometer helps!). Meanwhile, dry the sweet potatoes with the kitchen towel (or paper towel).
When the oil has reached 320ºF (160ºC), add the sweet potatoes (half of them) into the oil and deep fry. Do not crowd the pot and fry in batches (I do twice).
Deep fry until golden brown, about 10 minutes.
When it's golden brown, insert a wooden skewer to make sure it goes through. Transfer to a wire rack or a paper towel to drain the oil.
To make candy (syrup), combine 5 Tbsp sugar, 1 ½ Tbsp water, and 1 Tbsp Mirin in a large frying pan off the heat. Put on the stove and bring it to boil on medium heat.
Once the mixture is bubbling, add 1 tsp vinegar and 1 tsp soy sauce.
Reduce the mixture, stirring constantly, until the right consistency. When you can draw a line on the pan, add the sweet potatoes.
Turn off the heat and coat the sweet potatoes with syrup. Sprinkle black sesame seeds (once the candy is hardened, sesame seeds won't stick to the surface, so do it while candy is soft).
Serve on a plate or bowl. Enjoy!
#2 Steam & Shallow-Fry Version
Gather all the ingredients.
Carefully wash the sweet potatoes (Don’t peel the skin).
Cut the sweet potatoes diagonally while rotating the sweet potato a quarter between cuts. This Japanese cutting technique is called “Rangiri”.
Soak sweet potatoes in water for 15 minutes to remove starch.
Do not heat the frying pan yet. Add sugar, oil, soy sauce and rice vinegar in the pan and combine all together.
Dry the sweet potatoes completely with paper towel and place in the pan.
Wrap the frying pan’s lid with kitchen cloth. This is to prevent condensation on the lid dripping into sweet potatoes while cooking.
Cover with the lid and turn on the heat to medium.
When you hear bubbling sound from the pan, turn the heat to low to medium-low, and set timer for 2 minutes. Open the lid and flip the sweet potatoes every 2-3 minute so that all sides will have nice golden brown color and get flavored.
Depends on the size of sweet potatoes, the cooking time varies, cook for 8-10 minutes or until an inserted skewer goes through smoothly (I personally prefer it a bit tougher than completely soft texture). Transfer to the serving plate/bowl and sprinkle black sesame seeds.",en-US,{},4.5,,Just One Cookbook,50,4 serving(s)
Candied Sweet Potatoes,Namiko Chen,https://www.justonecookbook.com/candied-sweet-potatoes/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2020/01/Candied-Sweet-Potatoes-7878-I.jpg,"['1.2 lbs Japanese sweet potatoes (Satsumaimo) ((2 pieces))', '2 tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt) ((for soaking sweet potatoes))', '2 cups neutral-flavored oil (vegetable, canola, etc) ((for deep frying))', '5 Tbsp sugar', '1 ½ Tbsp water', '1 Tbsp mirin ((substitute: ½ Tbsp sugar))', '1 tsp rice vinegar ((vinegar helps the sugar from hardening when it cools down))', '1 tsp soy sauce', '1 tsp toasted black sesame seeds ((for garnish))', '11 oz Japanese sweet potato (Satsumaimo)', '3 Tbsp neutral-flavored oil (vegetable, canola, etc)', '5 Tbsp sugar', '¼ tsp soy sauce', '¼ tsp rice vinegar ((vinegar helps the sugar from hardening when it cools down))', '1 tsp toasted black sesame seeds ((for garnish))']","#1 Deep-Fry Version
Gather all the ingredients.
Carefully wash the sweet potatoes (Don’t peel the skin). Cut the sweet potatoes diagonally while rotating the sweet potato a quarter between cuts. This Japanese cutting technique is called “Rangiri”.
Put the sweet potatoes in 8 cups water and add 2 tsp salt. Soak for 15 minutes to remove starch.
Add the oil in the medium pot (I use a 2.75-QT Staub) and bring it to 320ºF (160ºC) (Use a cooking thermometer helps!). Meanwhile, dry the sweet potatoes with the kitchen towel (or paper towel).
When the oil has reached 320ºF (160ºC), add the sweet potatoes (half of them) into the oil and deep fry. Do not crowd the pot and fry in batches (I do twice).
Deep fry until golden brown, about 10 minutes.
When it's golden brown, insert a wooden skewer to make sure it goes through. Transfer to a wire rack or a paper towel to drain the oil.
To make candy (syrup), combine 5 Tbsp sugar, 1 ½ Tbsp water, and 1 Tbsp Mirin in a large frying pan off the heat. Put on the stove and bring it to boil on medium heat.
Once the mixture is bubbling, add 1 tsp vinegar and 1 tsp soy sauce.
Reduce the mixture, stirring constantly, until the right consistency. When you can draw a line on the pan, add the sweet potatoes.
Turn off the heat and coat the sweet potatoes with syrup. Sprinkle black sesame seeds (once the candy is hardened, sesame seeds won't stick to the surface, so do it while candy is soft).
Serve on a plate or bowl. Enjoy!
#2 Steam & Shallow-Fry Version
Gather all the ingredients.
Carefully wash the sweet potatoes (Don’t peel the skin).
Cut the sweet potatoes diagonally while rotating the sweet potato a quarter between cuts. This Japanese cutting technique is called “Rangiri”.
Soak sweet potatoes in water for 15 minutes to remove starch.
Do not heat the frying pan yet. Add sugar, oil, soy sauce and rice vinegar in the pan and combine all together.
Dry the sweet potatoes completely with paper towel and place in the pan.
Wrap the frying pan’s lid with kitchen cloth. This is to prevent condensation on the lid dripping into sweet potatoes while cooking.
Cover with the lid and turn on the heat to medium.
When you hear bubbling sound from the pan, turn the heat to low to medium-low, and set timer for 2 minutes. Open the lid and flip the sweet potatoes every 2-3 minute so that all sides will have nice golden brown color and get flavored.
Depends on the size of sweet potatoes, the cooking time varies, cook for 8-10 minutes or until an inserted skewer goes through smoothly (I personally prefer it a bit tougher than completely soft texture). Transfer to the serving plate/bowl and sprinkle black sesame seeds.",en-US,{},4.5,,Just One Cookbook,50,4 serving(s)
Oyaki (Japanese Stuffed Dumplings),Namiko Chen,https://www.justonecookbook.com/oyaki/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2020/08/Oyaki-Japanese-Stuffed-Dumplings-5343-I.jpg,"['2 ½ cups all-purpose flour (plain flour)', '200 ml boiling water ((measure 1 cup and remove 2 ½ Tbsp to be precise))', '1 tsp neutral-flavored oil (vegetable, canola, etc)', '¼ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '2 Japanese/Chinese eggplant', '1 Tbsp sesame oil (roasted)', '1 Tbsp miso', '1 Tbsp sugar ((you can reduce if you like; the dough tastes rather bland, so make sure the filling has a strong flavor))', '2 shiso leaves (perilla/ooba) ((optional))', '12 oz kabocha (squash/pumpkin) ((¼ kabocha with seeds))', '1 Tbsp neutral-flavored oil (vegetable, canola, etc)', '¼ cup water', '1 Tbsp sugar', '1 tsp soy sauce', 'pinch kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '1 Tbsp neutral-flavored oil (vegetable, canola, etc) ((for cooking oyaki))']","Gather all the ingredients.
To Make Dough
Using the fine mesh strainer, sift the flour into a large bowl. Combine hot water, oil, and kosher salt.
Mix the dry ingredients and wet ingredients with chopsticks until you can pick up the dough with hands.
Use the dough to pick up crumbs in the bowl.
Knead on a lightly floured surface for about 3 minutes, until a smooth dough forms. In Japan, we say “knead until the texture is like your earlobe”.
Form the dough into a ball, put it back in the bowl, cover with plastic wrap, and let it rest at room temperature for at least 30 minutes or longer. Letting the dough rest increases its elasticity making it easier to work with later, so please don't skip.
To Make Eggplant Filling
While the dough rests, make the fillings. Remove the eggplant stem and cut it half vertically. Then slice into half circles. Soak in water for 5-10 minutes (Meanwhile, you can cut Kabocha). Drain well and set aside.
Heat sesame oil in a large frying pan and sauté eggplant until it is coated with oil. Cover the lid and cook on low heat for 5 minutes.
When tender, add sugar and combine well.
Add miso and julienned shiso leaves, and mix well together. Transfer to a dish to let cool.
To Make Kabocha Filling
Cut the kabocha into smaller wedges and remove the skin (See How To Cut a Kabocha Squash).
Cut each wedge into thin slices and then cut into thin strips.
Heat the oil in the frying pan and sauté the kabocha. When it’s coated with oil, add water and cook covered for 5 minutes on low heat.
Add sugar and combine well.
Add soy sauce and pinch of salt. Mix well together.
Transfer to the dish to let cool.
To Shape into Oyaki
Roll out the rested dough into a rectangular or circle shape and divide it into 12 pieces.
Make each dough into a ball then press down with your hand.
Stretch the dough to 10 cm (4 inches) in diameter. The important trick is to keep the center thicker than the edges. Using your fingers, stretch the outer edges by rotating the dough. This way, when you pinch the dough to seal, the dough won’t be too thick/too much.
Place about 1 Tbsp of the filling in the center of each piece of dough. Close the oyaki by bringing the dough up over the filling, pinching at the top to seal.
I use the same pleating technique as my Nikuman recipe (see the video on how I close the dough and pinch).
After pinching the dough, put the pinched-side down on a lightly floured surface and twist a few times. Then press the top of the oyaki a little bit into a slightly flat ball.
To Cook Oyaki
Set a steamer ready, by placing a steamer basket on top of wok/pot filled with enough boiling water. If you don’t have a steamer, after cooking the oyaki in a frying pan, add ¼ cup water to the pan. Cover with a lid and steam it until the water evaporates.
Heat the oil in a frying pan (12 inch) and cook oyaki, pinched-side down.
Pan fry for 3-4 minutes each side, or until golden brown.
Transfer the oyaki to a steamer basket and cover to cook on high heat for 15-20 minutes (depending on the size of the oyaki and filling – small one should take about 10 minutes). Make sure the lid is covered with the kitchen towel so condensation on the lid doesn’t fall onto the oyaki.
When they are done steaming, transfer to a wire rack (I use a bamboo strainer) where the heat can escape from the bottom.
To Serve and Store
Enjoy them immediately. As soon as they become warm, not hot, cover the leftovers with plastic wrap (I wrap individually). Don’t wait until completely cooled down. You can freeze to store for up to a month, and re-steam to enjoy later.",en-US,{},4.7,,Just One Cookbook,145,12 serving(s)
