title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
Vegan Miso Soup,Namiko Chen,https://www.justonecookbook.com/vegan-miso-soup/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2019/01/Vegan-Miso-Soup-I.jpg,"['4 cups water', '1 kombu (dried kelp) ((0.4 oz, 10 g; 4"" x 4"", 10 x 10 cm; add more for stronger flavor))', '1 Tbsp dried wakame seaweed', '2 green onions/scallions', '7 oz silken/soft tofu ((½ package))', '5 Tbsp miso']","Gather all the ingredients.
Make Kombu Dashi
Put the kombu in 4 cups of water and let steep for 20 minutes, or as long as you can (maximum overnight).
Transfer the kombu and water to a pot. Bring it to near boiling point on medium heat. If you didn’t steep for a long time at Step 1, it’s good to slowly bring the kombu water to near boiling on low heat. Once the bubbles start to appear and it looks like almost boiling, remove the kombu and turn off the heat. If you leave the kombu in water, kombu dashi can become bitter. So it’s usually recommended to take out. Use this used kombu to make a simmered kombu or homemade furikake (rice seasoning).
Prepare Other Add-ins and Garnish
Rehydrate dried wakame seaweed in water for 5 minutes. Squeeze water out and place it in miso soup bowls.
Cut the green onions into small pieces (diagonally – optional) and set aside in a small bowl.
Set the miso soup bowls and green onion aside for now.
Add Miso
A typical Japanese miso soup bowl holds about 200 ml of liquid. Miso varies in saltiness depends on types and brands; but as a general rule, we add 1 tablespoon (20 g) of miso per one miso soup bowl (200 ml dashi). I use miso muddler (one side measures 1 Tbsp, the other side 2 Tbsp). For this recipe, I use roughly 4-5 Tbsp. Tip: When you add tofu, you may want to add an extra tablespoon (that’s why I add 5 Tbsp total) because tofu contains additional moisture which dilutes miso soup.
When you add miso, turn off the heat (we should NEVER let miso soup boil). Scoop some dashi/soup into your ladle and let the miso dissolve in the ladle first using chopsticks or a whisk. Tip: Do not directly drop miso into the soup because you may end up with undissolved chunks of miso left in the soup. It’s very important to taste to check the saltiness.
Add Tofu
Cut tofu into small cubes and add to the miso soup (Please use a cutting board if you are not used to cutting it on your palm).
Reheat until hot (but not boiling) and serve. Tip: After adding miso, never let miso soup boil (It will lose the aroma and flavor and also kill the probiotics in the miso.).",en-US,{},4.88,,Just One Cookbook,30,4 serving(s)
Kimchi Gyoza Nabe,Namiko Chen,https://www.justonecookbook.com/kimchi-gyoza-nabe/,"Japanese,Korean",https://www.justonecookbook.com/wp-content/uploads/2018/06/Kimchi-Gyoza-Nabe-w600.jpg,"['¼ onion', '1 negi (long green onion)', '4-6 leaves napa cabbage', '1-2 inch daikon radish', '2 inch carrot', '5 stalks chives', '1 pack shimeji mushrooms ((3.5 oz, 100 g))', '2 shiitake mushrooms', '7 oz silken/soft tofu ((½ block))', '2 tsp sesame oil (roasted)', '10 pieces gyoza', '1 cup kimchi', '1 Tbsp sake', '2 tsp gochujang (Korean chili paste)', '1 tsp gochugaru (Korean pepper flakes)', '2 tsp sugar', '4 cups chicken stock/broth', '2 tsp soy sauce', '2 Tbsp miso', '¼ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)']","Gather all the ingredients.
Cut ¼ onion into wedges and then cut them half.
Cut the white part of negi (leek/green onion) diagonally.
Cut the napa cabbage into small pieces.
Cut the daikon into quarters lengthwise then thinly slice them.
Cut the carrot into thin slabs and cut them in half.
Cut the garlic chives into 2 inch (5 cm) pieces.
Discard the bottom of the shimeji mushrooms and shiitake mushrooms. You can make a decorative shiitake mushroom following this method.
Cut the tofu into roughly 1.5 inch (4 cm) cubes (it’s harder to fish out from the hot pot if you cut too small).
Heat the sesame oil in a hot pot over medium heat. Add the onion and cook until it’s coated with the oil.
Add the kimchi and stir fry with the onion and Tokyo negi.
Add sake and gochujang.
Add gochugaru and granulated sugar. Mix all together well.
Add 4 cups chicken stock, and cover the lid to bring to simmer.
Once simmering, lower the heat to medium-low heat. Add soy sauce and miso. It’s best to put miso and small amount of soup in a ladle and let it dissolved first instead of dropping miso in a pot and not sure if it has been dissolved completely. Taste the soup and adjust the taste by adding salt (I added ¼ to ½ tsp), if necessary.
Add the hard vegetables to the soup first, such daikon, carrot, tough part of napa cabbages, etc. Cook covered for 10 minutes on low heat.
Skim off the foam and fat. Add the soft ingredients such as leafy part of napa cabbages, mushrooms, and tofu.
Add the gyoza (if frozen, no need to defrost) and garlic chives on top.
Cook covered over medium low heat for 5 minutes. Serve the extra ingredients on a plate and add them once you finish the ingredients in the pot.",en-US,"{'servingSize': '2 g', 'calories': '201 kcal', 'carbohydrateContent': '28.7 g', 'proteinContent': '13.3 g', 'fatContent': '5.1 g', 'fiberContent': '5.3 g', 'sugarContent': '11.2 g'}",4.84,,Just One Cookbook,40,2 serving(s)
Ozoni (Japanese New Year Mochi Soup - Kansai Style),Namiko Chen,https://www.justonecookbook.com/ozoni-zoni-japanese-new-year-mochi-soup/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2014/12/Ozoni-Kansai.jpg,"['1 piece kombu (dried kelp) ((3"" x 3"", 8 x 8 cm))', '3 cups water', '2 pieces taro (satoimo)', '2 inch daikon radish', '3 inch carrot', '2 stalks komatsuna ((you can substitute with spinach))', '3-5 Tbsp saikyo miso (kyoto-style white miso) ((sweeter than regular white miso))', '7 oz silken/soft tofu', '4 pieces round mochi (rice cake)', 'yuzu zest ((optional))']","Gather all the ingredients.
Soak kombu in water overnight in a large pot.
Peel taro (satoimo) and slice into rounds. Soak in water to remove the slimy texture.
Peel daikon and slice into rounds. If it’s a large daikon, cut into quarters lengthwise.
Peel carrot and slice into rounds. If you like to decorate the soup with a carrot flower, cut out some of the round slices into a floral shape. If you do so, separate the rounds and flower shapes pieces. You will be cooking round carrot slices with taro (satoimo) and daikon, but these flower slices will be cooked separately.
Add satoimo (taro), daikon, and carrots into the pot filled with kombu water. Start cooking over medium high heat. Right before full boiling, remove the kombu and discard.
Skim off foam (from satoimo/taro) from the surface of the soup with a fine mesh strainer. Lower the heat to medium low and cover with a lid, leaving a gap. Simmer until the vegetables are tender. Add water if too much liquid has evaporated.
Meanwhile, cut komatsuna (or spinach) in half. Start boiling water in a saucepan. If you prepare carrot flower slices, add them into the water. When water is boiling, add komatsuna and cook till tender.
Take out komatsuna and carrot when they are tender and cut komatsuna into smaller pieces. Set these toppings aside for now.
Once the vegetables in the soup are tender, add 3 Tbsp saikyo miso first. Then add 1 Tbsp at a time till you’re satisfied with the flavor. My family likes thick soup so I tend to add more. Add tofu after you mix in miso so you won't break tofu.
Peel the skin of yuzu and flip over to remove any white part. Julienne the yuzu skin.
Use a toaster oven to toast the mochi until puffy. You can also toast mochi over open flame or under a broiler.
Add the soup into a serving bowl first, then place add mochi on top along with the colorful toppings.
To Store
You can keep the leftovers in an airtight container or in the pot and store in the refrigerator for 3 days.",en-US,{},4.1,,Just One Cookbook,60,4 serving(s)
Potato & Leek Soup,Namiko Chen,https://www.justonecookbook.com/potato-leek-soup/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2011/03/Potato-Leek-Soup-w500.jpg,"['2 Tbsp unsalted butter', '1 russet potato ((peeled and chop into small pieces))', '1 leek ((cut lengthwise and chop into small pieces))', '2 cups water ((or vegetable stock))', '2 cups milk', '2 vegetable bouillons ((not necessary if you use stock))', '½ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', 'freshly ground black pepper', 'Parsley ((fresh, to garnish))']","Gather all the ingredients.
Cut the leek lengthwise and chop into small pieces. Chop the potato into small pieces.
In a large saucepan, heat butter on medium high heat. Add the potato and leek in the pan and sauté until they are well coated with butter and the leek gets wilted.
Add water and the bouillon (or vegetable stock). Cover with a lid and bring it to a boil over high heat. Keep simmering until the potato is soft.
When a skewer pierces through the potato easily, turn off the heat. Pour the soup into a blender.
Add the milk and mix.
Pour the soup back into the saucepan. Add salt and pepper. Reheat when you serve. DO NOT BOIL THE SOUP. Garnish with parsley and serve immediately.",en-US,{},4.5,,Just One Cookbook,40,4 serving(s)
Miso Soup,Namiko Chen,https://www.justonecookbook.com/homemade-miso-soup/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2019/09/Homemade-miso-soup-6037-I-3.jpg,"['4 cups water', '1 piece kombu (dried kelp) ((⅓ oz, 10 g; 4"" x 4"" or 10 x 10 cm))', '1 cup katsuobushi (dried bonito flakes) ((packed; I used loose 3 cups in the video for strong dashi flavor))', '1 cup dashi (Japanese soup stock; click to learn more)', '1 Tbsp miso ((18 g))', 'Ingredients of your choice ((Please read the blog post))', 'green onion/scallion ((finely chopped))']","To Make Dashi (Can be Made in Advance):
Clean the kombu with a damp towel and soak the kombu in water for 30 minutes or overnight (preferred). NEVER wash kombu and do not remove the white substance -that’s umami! These days it's pretty clean, so you can skip this process. Just make sure there are no dirty particles.
After 30 minutes (or overnight), the kombu is rehydrated. This liquid is called cold brew Kombu Dashi.
Pour kombu dashi and kombu into a saucepan. SLOWLY bring to boil on medium-low heat so you can extract umami from kombu as much as possible. Right before the stock is boiling (it gets slimy and yields a bitter taste if you leave it), remove the kombu. Now what you have is Kombu Dashi. If you’re vegetarian/vegan, use this kombu dashi for your miso soup. What to do with used kombu? You can reuse it to make Simmered Kombu or Homemade Furikake Rice Seasoning.
If you're not vegetarian/vegan, add Katsuobushi and let it simmer for 30-60 seconds. Turn off the heat and let steep for 10 minutes.
Strain over a fine-mesh sieve and now you have roughly 4 cups of Awase Dashi. You can store in the refrigerator for up to 3-5 days and in the freezer for up to 2 weeks. Repurpose the used katsuobushi to make Homemade Furikake Rice Seasoning.
STEP 1 - Add Dashi
Here I demonstrate to make 2 cups/2 servings of miso soup. You can use the formula; 1 cup (200-240 ml) dashi + 1 Tbsp (18 g) miso = 1 serving miso soup. If you add more ingredients/vegetables, the amount of soup will increase and you will also need more miso. Add 2 cups (480 ml) dashi in the saucepan.
Are you in a hurry and no time to make dashi? You can use Dashi Packet or Dashi Powder to make instant dashi.
STEP 2 - Add dense ingredients BEFORE bringing dashi to a boil
If your miso soup doesn't include hard ingredients or clams, go to the next step. Add hard ingredients like root vegetables. Once boiling, lower the heat and simmer until they become tender. If you're making Clam Miso Soup, add clams in cold brew kombu dashi. Bring it to a gentle boil and once the shells are open, turn off the heat (do not overcook).
STEP 3- Add quick-cooking ingredients AFTER dashi is boiling
If your miso soup doesn’t include these ingredients, bring dashi to a boil and go to next step. AFTER dashi starts boiling, add in soft vegetables like leafy greens, mushrooms, deep-fried tofu pouch because they require less cooking time. At this point, keep the soup at a simmer and make sure it stays warm (not OVERBOILING).
STEP 4 - Add miso
Add a small amount of miso at a time (you can start with 2 Tbsp miso for 2 cups dashi). Put miso inside a ladle and slowly add dashi into the ladle to dissolve miso completely. You can buy a miso muddler or a fine-mesh miso strainer which helps you dissolve miso faster. If you accidentally added too much miso, dilute the miso soup with dashi (or water). NEVER OVERBOIL miso soup because it loses nutrients, flavors, and fragrance.
STEP 5 - Add tofu
Add tofu AFTER miso is completely dissolved because you might break the tofu when mixing in miso. If you add chilled tofu from the refrigerator, miso soup would get cooler. Reheat miso soup until it is just hot, but NOT BOIL.
STEP 6 - Add wakame & green onions
Add rehydrated wakame (seaweed). I recommend re-hydrating dried wakame in a separate bowl of water to get rid of saltiness, instead of re-hydrating inside miso soup. Add ingredients that do not require cooking such as chopped green onions, mitsuba, yuzu, and blanched spinach right before serving to keep the fresh fragrance and color.
To Serve:
Serve immediately. Place on the right side of the table setting (Read on Ichiju Sansai, or 1 soup 3 dishes; see the picture).
To Store:
In general, it's best to use up all the miso soup because the fragrance and taste will be lost as time passes by. Let your miso soup cool at room temperature (up to 4 hours - otherwise miso soup will be spoiled) and then refrigerate. You can keep for up to 2 days in the refrigerator. If you want to make a big batch, it's best to keep the soup BEFORE adding miso. Add the miso only for the portion you need. You can freeze miso soup for up to 2 weeks. If the miso soup contains potatoes or tofu, remove them before freezing as the textures subject to change.
To Reheat Miso Soup:
Bring miso soup in a pot over medium heat, but not to overboil. Miso loses its nutrients at high temperature.",en-US,{},4.71,,Just One Cookbook,55,4 serving(s)
Miso Soup with Yuzu Kosho,Namiko Chen,https://www.justonecookbook.com/miso-soup-yuzu-kosho/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2018/03/Miso-Soup-with-Yuzu-Kosho-w722.jpg,"['¼ lb pork belly ((4 oz; skip for vegan/vegetarian))', '1 leek', '2 cabbage leaves', '4 shiitake mushrooms', '2.5 oz carrot ((1.5"", 3.8 cm))', '2 green onions/scallions', '1 Tbsp sesame oil (roasted)', '1 Tbsp sake', '4 Tbsp miso', '14 oz silken/soft tofu ((1 block tofu))', 'yuzu kosho (Japanese citrus chili paste) ((for taste))', '2 Tbsp toasted white sesame seeds', '4 cups water', '1 piece kombu (dried kelp) ((3” x 4”, 7.5 cm x 10 cm))', '3 cups katsuobushi (dried bonito flakes) ((skip for vegan/vegetarian))']","Gather all the ingredients first.
To make dashi: In a measuring cup (or a large pot), add 4 cups water and kombu and let it steep. You can do this process overnight or as soon as you start preparing. This is kombu dashi. If you're using dashi powder or dashi packet, follow this tutorial, and use it at Step 12.
Cut the pork belly into 1 inch (2.5 cm) pieces.
Cut the leek in half lengthwise, and then cut the halves into 1-inch pieces widthwise. Rinse under cold water to make sure there is no dirt inside the pieces.
Cut the cabbage leaves into small pieces.
Remove the stem of shiitake mushrooms and slice thinly.
Cut the carrot in half lengthwise, and slice thinly. Cut the green onions thinly.
Transfer the kombu dashi into a pot (if you didn’t use a pot at Step 2). Slowly bring the kombu dashi to a boil over medium low heat. When the water is almost boiling, remove the kombu to avoid sliminess. If you are vegan/vegetarian, skip next two steps (Step 9 and Step 10).
Add 3 cups katsuobushi and cook for 15 seconds. Then turn off the heat and let the katsuobushi steep in the pot for 15 minutes.
Meanwhile, in a separate large pot (or donabe), heat 1 Tbsp sesame oil over medium heat. Once the pot is hot, add the pork belly and stir to cook.
Once the pork belly is 80% cooked through, add 1 Tbsp sake and stir to combine. Then add chopped leeks.
Once leeks are wilted, add the rest of the vegetables and mushrooms. Stir to coat with the oil. Then using a fine-mesh strainer, strain the dashi into the pot.
Bring the soup mixture to a boil, skimming the foam and scum on the surface while cooking. Turn off the heat and add 2 Tbsp miso first, and then gradually add in more as you taste the soup. Each miso brand and type of miso tastes differently and the sodium level varies, so you want to taste before adding more miso.
Add the tofu into the soup and turn on the heat to continue to simmer until tofu is nice and warm (tofu is edible chilled, so you don’t have to worry about “cooking” it). Just make sure not to let the miso soup boil. It should take not more than 3-4 minutes to warm the tofu, and the soup is now ready.
Before serving, scoop out a small portion of Yuzu Kosho from the jar and place it on a small plate. Grind 2 Tbsp sesame seeds and put in in a small bowl. Serve them alongside with the donabe or soup pot. After you ladle the soup into individual serving bowls, add a pinch of Yuzu Kosho, sprinkle sesame seeds, stir in and enjoy!
To Store
You can keep the leftovers in an airtight container and store in the refrigerator for up to 3 days and in the freezer for 2 weeks.",en-US,{},4.92,,Just One Cookbook,35,4 serving(s)
Nabeyaki Udon,Namiko Chen,https://www.justonecookbook.com/nabeyaki-udon/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2019/12/Nabeyaki-Udon-4668-I.jpg,"['4 dried shiitake mushrooms', '½ cup water ((for soaking dried shiitake mushrooms))', '1 stalk spinach ((rinsed))', '1 inch carrot ((3 cm))', '1 package Kamaboko (fish cake) ((but you will only need a few slices))', '⅓ shimeji mushrooms ((1 oz or 28 g; bottom 1/2"" trimmed))', '6 inch negi (long green onion) ((15 cm; use white part, or leeks + green onions/scallions))', '1 chicken thigh', '2 servings udon noodles ((6.3 oz/180 g dry udon noodles; 1.1 lb/500 g frozen/boiled udon noodles))', '2 large eggs (50 g each w/o shell)', '2 stalks mitsuba (Japanese parsley) ((optional))', '2 Shrimp Tempura ((see below for instructions; you can buy frozen shrimp tempura and follow instructions to reheat as well))', 'shichimi togarashi (Japanese seven spice) ((optional))', '3 cups dashi (Japanese soup stock; click to learn more) ((720 ml; I used Awase Dashi))', '⅓ cup shiitake dashi ((reserved from rehydrating dried shiitake, see instructions))', '2 Tbsp mirin', '1½ Tbsp soy sauce', '1 tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '2 shrimp', '25 g tempura batter mix ((1 oz))', '40 ml water ((about 3 Tbsp; use cold water))', 'frozen or canned corn ((for dusting))']","Gather all the ingredients.
To Prepare the Ingredients
Soak dried shiitake mushrooms in water to rehydrate for 15 minutes. You need just enough water to cover the mushrooms and place a smaller bowl on top to keep the mushrooms submerged in water.
Squeeze the excess water out of rehydrated shiitake mushrooms. Cut off the stems if there are any and score a cross on top like this and set aside (use it later for topping). Reserve the leftover soaking liquid (shiitake dashi) for udon soup by straining it through a mesh strainer to remove any grit or impurities before using it.
In lightly salted boiling water, blanch the spinach starting from the stem side for 1 minute.
Soak the spinach in iced water to prevent overcooking. Squeeze water out and cut into 1 ½” (4 cm) pieces.
Slice the carrot. Optionally you can cut out the carrot into a flower shape with a vegetable cutter.
Cut kamaboko into thin slices and break shimeji mushrooms into small pieces.
Slice the long green onion diagonally and cut the chicken into 1” (2.5 cm) pieces.
To Make the Udon Soup
To make udon soup, combine the dashi and shiitake dashi (reserved liquid from dried shiitake mushrooms) in a small saucepan. Bring it to a boil over medium-high heat.
Once boiling, add mirin, soy sauce, and salt. When boiling again, turn off the heat and set aside.
To Make Shrimp Tempura
To make shrimp tempura, follow this instruction to clean the shrimp and make them straight.
To make the tempura batter, combine the tempura batter mix and water. Lightly dust the shrimp with potato starch/cornstarch before dredging the shrimp in the batter. Deep fry at 340-350 ºF (170-180 ºC) until golden brown. If you want to make the tempura batter from scratch and learn tips on how to deep fry the shrimp, you can read the recipe here.
To Prepare Udon Noodles
Bring a large pot of water to boil for udon noodles. My favorite udon is the frozen Sanuki Udon. Cook the frozen udon noodles in boiling water for 30 seconds (no need to defrost). If you use dry noodles, follow the package instructions. Drain the water and chill in ice water to prevent the noodles from cooking further.
To Assemble
Divide all the ingredients (except for the egg, spinach, and mitsuba) into two individual earthen donabe clay pots (or use any big pot).
Add udon soup and cover with the lid. Bring the soup to a boil over medium-high heat. When it comes to a boil, leave the lid slightly open to let some steam out, or it will overflow. Lower the heat and simmer to cook until the chicken is cooked through.
Add an egg, spinach, and mitsuba and cover to cook until the egg is done to your liking.
Add shrimp tempura on top and serve. Sprinkle shichimi togarashi (Japanese seven spice) if you like the soup spicy.",en-US,{},4.84,,Just One Cookbook,60,2 serving(s)
Kimchi Nabe,Namiko Chen,https://www.justonecookbook.com/kimchi-nabe/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2019/12/Kimchi-Nabe-0738-I-1.jpg,"['1 lb kimchi ((cut if necessary))', '6 oz bean sprouts', '½ onion', '14 oz medium-firm tofu ((1 pack))', '6 leaves napa cabbage', '1 negi (long green onion) ((or 3 green onions/scallions))', '⅓ carrot', '3 stalks garlic chives (Chinese chives or Nira)', '7 oz enoki mushrooms ((1 pack))', '13 oz sliced pork belly', '1 Tbsp sesame oil (roasted)', '4 cups dashi (Japanese soup stock; click to learn more) ((you can also use chicken broth))', '¼ cup iriko or niboshi (dried baby sardines/anchovies)', '⅓ oz kombu (dried kelp) ((about 3"" x 4"", 7.6 x 10 cm))', '4 cups water', '1 Tbsp sake', '1 Tbsp gochujang (Korean chili paste)', '1 tsp gochugaru (Korean pepper flakes)', '1 Tbsp sugar', '4 Tbsp kimchi juice', '1 Tbsp soy sauce', '1 Tbsp miso ((you can use any type of miso))', '½ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)']","Gather all the ingredients.
Make Dashi:
This is an extra step and not everyone follows this method, but I highly recommend removing the head and guts from the anchovies to reduce the bitter flavor in dashi (watch how I do it in this video).
Gently clean the kombu with a damp cloth (but don't wipe off the white powder - that's umami!). In a small saucepan, put 4 cups water, kombu, and anchovies.
Bring it to boil on low heat. It’s best to slowly infuse water with kombu and anchovies. Once boiling, cover and keep on low heat and simmer for 10 minutes.
Once you are done simmering dashi, strain through a fine sieve. With leftovers, you can make candied anchovies and simmered kombu, and set aside the dashi.
Prepare Ingredients:
Meanwhile, start prepping ingredients. Thinly slice the onion. Cut tofu into small blocks.
Cut napa cabbage into 2” (5 cm) pieces widthwise (cut from bottom to leafy side). The bottom part of napa cabbage is thicker so cut these pieces into smaller pieces lengthwise (See how I do it in the video).
Slice the Tokyo Negi (or green onions/scallions) diagonally into ½“ (1.3 cm) pieces and slice the carrot diagonally into ¼” (0.6 mm).
Cut garlic chives into 2” (5 cm) pieces. Discard the bottom of enoki mushrooms and loosen them up.
Rinse bean sprouts and place all the vegetable ingredients on a plate. Cut the sliced pork belly into 2” (5 cm) pieces and set aside.
Make Kimchi Nabe:
In a large donabe (4-5 serving) or pot, heat 1 Tbsp. sesame oil over medium-low heat and add the sliced pork belly. Stir fry the meat until no longer pink.
Add kimchi and onion and stir fry for 5 minutes.
Then add 1 Tbsp sake and 1 Tbsp gochujang.
Add 1 tsp gochugaru and 1 Tbsp sugar and mix it all together.
Add kimchi juice and dashi and make sure it’s mixed evenly.
Cover and bring to boil. Once boiling, reduce heat to low and cook for 5 minutes.
Add 1 Tbsp soy sauce and 1 Tbsp miso. Mix all together and make sure the miso is completely dissolved.
Add the rest of ingredients and cover to cook on medium heat for 10 minutes, or until all the ingredients are tender.
Taste the soup and add kosher salt if necessary (I added about ½ tsp). Each miso has different saltiness so you really need to taste the soup to adjust the flavor.
To Store
You can keep the leftovers in an airtight container and store in the refrigerator for 3 days.",en-US,{},4.15,,Just One Cookbook,35,4 serving(s)
Kimchi Gyoza Nabe,Namiko Chen,https://www.justonecookbook.com/kimchi-gyoza-nabe/,"Japanese,Korean",https://www.justonecookbook.com/wp-content/uploads/2018/06/Kimchi-Gyoza-Nabe-w600.jpg,"['¼ onion', '1 negi (long green onion)', '4-6 leaves napa cabbage', '1-2 inch daikon radish', '2 inch carrot', '5 stalks chives', '1 pack shimeji mushrooms ((3.5 oz, 100 g))', '2 shiitake mushrooms', '7 oz silken/soft tofu ((½ block))', '2 tsp sesame oil (roasted)', '10 pieces gyoza', '1 cup kimchi', '1 Tbsp sake', '2 tsp gochujang (Korean chili paste)', '1 tsp gochugaru (Korean pepper flakes)', '2 tsp sugar', '4 cups chicken stock/broth', '2 tsp soy sauce', '2 Tbsp miso', '¼ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)']","Gather all the ingredients.
Cut ¼ onion into wedges and then cut them half.
Cut the white part of negi (leek/green onion) diagonally.
Cut the napa cabbage into small pieces.
Cut the daikon into quarters lengthwise then thinly slice them.
Cut the carrot into thin slabs and cut them in half.
Cut the garlic chives into 2 inch (5 cm) pieces.
Discard the bottom of the shimeji mushrooms and shiitake mushrooms. You can make a decorative shiitake mushroom following this method.
Cut the tofu into roughly 1.5 inch (4 cm) cubes (it’s harder to fish out from the hot pot if you cut too small).
Heat the sesame oil in a hot pot over medium heat. Add the onion and cook until it’s coated with the oil.
Add the kimchi and stir fry with the onion and Tokyo negi.
Add sake and gochujang.
Add gochugaru and granulated sugar. Mix all together well.
Add 4 cups chicken stock, and cover the lid to bring to simmer.
Once simmering, lower the heat to medium-low heat. Add soy sauce and miso. It’s best to put miso and small amount of soup in a ladle and let it dissolved first instead of dropping miso in a pot and not sure if it has been dissolved completely. Taste the soup and adjust the taste by adding salt (I added ¼ to ½ tsp), if necessary.
Add the hard vegetables to the soup first, such daikon, carrot, tough part of napa cabbages, etc. Cook covered for 10 minutes on low heat.
Skim off the foam and fat. Add the soft ingredients such as leafy part of napa cabbages, mushrooms, and tofu.
Add the gyoza (if frozen, no need to defrost) and garlic chives on top.
Cook covered over medium low heat for 5 minutes. Serve the extra ingredients on a plate and add them once you finish the ingredients in the pot.",en-US,"{'servingSize': '2 g', 'calories': '201 kcal', 'carbohydrateContent': '28.7 g', 'proteinContent': '13.3 g', 'fatContent': '5.1 g', 'fiberContent': '5.3 g', 'sugarContent': '11.2 g'}",4.84,,Just One Cookbook,40,2 serving(s)
Chanko Nabe (Sumo Stew),Namiko Chen,https://www.justonecookbook.com/chanko-nabe-sumo-stew/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2017/04/Chanko-Nabe-w722.jpg,"['6 cups chicken broth', '¼ cup sake ((4 Tbsp))', '⅓ cup mirin', '2 Tbsp ginger juice ((use grater and squeeze grated ginger to get the juice; See Notes))', '1 ½ tsp crushed garlic', '½ cup miso ((preferably white miso; 8 Tbsp))', '½ lb ground chicken', '1 large egg (50 g w/o shell) ((beaten and halved))', '2 tsp ginger juice', '2 tsp soy sauce', '1 Tbsp cornstarch', '6 Tbsp panko (Japanese breadcrumbs)', '3 Tbsp green onions/scallions ((finely chopped))', 'chicken meatballs ((follow instructions))', '1 ½ lb cod fillet', '8 shrimp', '6 oz sliced pork belly', '4 boneless, skinless chicken thighs', '14 oz medium-firm tofu ((1 package))', '½ head napa cabbage', '2 negi (long green onion)', '6 green onions/scallions', '4-6 shiitake mushrooms', '¼ carrot ((for decoration; sliced and cut out with a vegetable cutter))', 'ponzu ((for my homemade ponzu recipe, click here))', 'sesame sauce', '2-3 cups cooked Japanese short-grain rice ((alternatively, you can serve udon noodles))']","To make the broth:
Gather all the ingredients for Chanko Nabe Broth.
To make the broth, in a Dutch oven or other large pot over medium heat, combine the broth, sake, mirin, ginger juice, and garlic and bring to a simmer.
Spoon several spoonfuls of broth into a small bowl, add the miso, and stir until smooth.
Gradually add the miso mixture to the broth in the pot, stirring to avoid lumps. Once the miso has been incorporated, do not let the broth boil.
To make the chicken meatballs:
Gather all the ingredients. This grater (I have 6"" one) works great for grating ginger (daikon, garlic, etc) and keeping the juice from grating it. In this recipe, we only use ginger juice.
In a large bowl, combine the chicken, ½ beaten egg (reserve the remaining egg for another use), the ginger juice, soy sauce, corn starch, panko, and green onion. Using your hands, mix all together.
Once the mixture becomes a little bit white and well combined, shape the mixture into a ball. Sprinkle with panko as needed.
To cut all the ingredients:
Cut the cod fillet into 2-inch chunks, peel and devein shrimp, cut the sliced pork belly into 2-inch pieces, trim the visible fat from the chicken thighs and cut into bite-sized pieces, cut the tofu into 1-inch cubes, and separate the leaves from napa cabbage and cut them into smaller pieces. Slice the carrot and cut out with a flower-shaped vegetable cutter.
Cut negi (long green onion) diagonally into 1-inch-thick pieces, cut the green onions into 2-inch lengths, and remove stems of shiitake mushrooms and make a decorative cut on the caps if desired.
To set up the table:
To prepare the stew ingredients, place the meatballs, seafood, pork belly, chicken, tofu, carrot slices, napa cabbage, long green onion, green onions, and mushrooms on the platter.
Pour the ponzu sauce and sesame sauce (goma dare) into individual dipping bowls at each place setting along with chopsticks, a soup spoon (optional) and a soup bowl.
Place a portable gas burner and the nabe, and the stew ingredients on the table. If you don’t have a gas/electric burner, you can cook the stew on the stovetop, transfer it to a large bowl, and serve it family style.
To cook Chanko Nabe:
If cooking the stew ingredients on the stovetop, cook in batches. Add some of each of the ingredients to the broth, simmer (do not boil) until cooked, and serve them, returning to the stove to start a new batch as each previous batch is eaten. The vegetables and tofu cook more quickly than the meatballs, seafood, and chicken.
Keep the broth at a simmer the entire time. If the liquid gets low, add a little water or chicken broth to have enough liquid to heat the noodles or rice at the end (even though you are thinning the broth, the flavorful ingredients you are cooking in it continue to enrich it).
When diners are ready, remove any solids in the broth and add the noodles or rice. Simmer until heated through, then ladle into the soup bowls and serve.",en-US,{},4.47,,Just One Cookbook,60,6 serving(s)
