title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
Hokkien Prawn Mee Noodle Soup (Hae Mee),Maggie Zhu,https://omnivorescookbook.com/hae-mee/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2019/01/1901_Hae-Mee-Hokkien-Prawn-Mee-Noodle-Soup_800.jpg,"['4 tablespoons peanut oil ((or vegetable oil))', '3 lbs (1.4 kg) pork meat and bone for braising ((I used feet and shank), coarsely chopped (*Footnote 1))', '1 lb (450 g) head-on shrimp ((* Footnote 2))', '1/2 cup (40 g) dried shrimp', '4 cloves garlic (, peeled)', '1 onion (, coarsely sliced)', '2 tablespoons fish sauce', '1 star anise pod', '1 cinnamon stick', '3 dried chili peppers', '1 teaspoon white peppercorns', '2 tablespoons sugar', '1 lb yellow noodles ((or rice noodle sticks, or rice vermicelli))', '4 cups (4 oz) water spinach ((or spinach))', '2 cups (4 oz) bean sprouts', '4 fishcakes', '1 tablespoon soy sauce, or to taste ((Optional))', 'Fried shallots, for garnish ((Optional))', 'Sambal oelek sauce ((Optional))']","Prepare the stock
Add 2 tablespoons oil to a large nonstick pan (or cast iron pan) and heat over medium heat until hot. Add the pork parts. Let cook for 4 to 5 minutes without touching, until the bottom is browned. Flip to brown the other side. It will take 10 to 15 minutes for the whole browning process.
Transfer the browned pork to a 6-quart (5.5-liter) dutch oven (or a heavy-duty pot). Add 10 cups cold tap water to the pot. Cook covered until boiling. Use a fine sieve to skim the brown bits from the top of the soup and discard them.
While boiling the broth, prepare the rest of the ingredients. Combine the dried shrimp with 1 cup warm water. Let rehydrate for 15 minutes or until soft.
Separate the heads of the fresh shrimp from the bodies and peel the shrimp. Reserve the brown bits coming from the heads when you seperate them. This is the best part and adds tons of flavor to the soup. Transfer the shrimp heads to a small bowl, and the rest of the shrimp meat to a container. Store the shrimp meat in the fridge until ready to use (or in the freezer if you plan to serve the noodle soup more than a day from now).
Add 1 tablespoon oil to the same nonstick pan you used to brown the pork. Heat over medium heat until hot. Add the shrimp heads. Cook until both sides turn a deep red color. Transfer heads to the stock pot. Add a ladle of water to the pan you cooked the shrimp in. Scrape off any brown bits stuck on the bottom and pour that water into the stock pot.
Add the remaining 1 tablespoon oil, onion, and garlic to the same nonstick pan. Stir and cook until the edges turns golden brown. Transfer the onion and garlic to the stock pot.
Add the rehydrated shrimp to the nonstick pan. Add a bit more oil if the pan looks too dry. Stir and cook until slightly browned. Transfer the shrimp to the stock pot.
Add the fish sauce, star anise, cinnamon stick, dried chili peppers, white peppercorns, and sugar to the pot. Turn to low heat, cover, and simmer for 2 hours.
Once done, strain the soup by setting up a big bowl (or container) with a fine sieve on the top. Ladle the soup into the bowl through the sieve, a few cups at a time. Use the back of your ladle or a pair of tongs to press the solid ingredients in the sieve, to extract any residual liquid trapped in the veggies and shrimp heads. Discard the all the solid ingredients once done straining.
Taste the soup and adjust the flavor by adding soy sauce or salt. The soup should taste a bit salty by itself, because most of the ingredients in the noodle bowl will be boiled and not seasoned.
Now you can use the soup base to make noodle soup, or store it in the fridge or freezer until read to use. Set the stove on lowest heat to keep the soup hot if you’re going to assemble and serve the bowls immediately.
To prepare the noodle bowls
Bring a big pot of water to a boil. Blanch spinach for just 20 to 30 seconds, until tender. Transfer the spinach to a plate using a slotted ladle. Set aside.
Blanch the bean sprouts the same way, until slightly tender and still crunchly. Drain and set aside with the spinach.
Add the noodles into the same pot of water. Cook according to the instructions. Transfer to a colander, rinse with tap water and drain. Set aside.
Add the peeled shrimp to the boiling water. Cook until the shrimp begin to curl and are just cooked through, 1 to 2 minutes, depending on the size. Drain and set aside.
If you stored the soup base in the fridge, heat it until hot in the microwave or a pot on the stovetop.
Assemble the bowls
Divide noodles into 4 big bowls. Ladle the soup to cover the noodles. Add the boiled shrimp, fish cakes, bean sprouts, and spinach on top. Garnish with fried shallots, if using.
Serve the noodles hot with sambal sauce (or any other hot sauce you prefer), more fried shallots, soy sauce, and salt all on the side. This way your guests can season their noodle bowls according to their individual preferences. Enjoy!",en-US,"{'servingSize': '6 g', 'calories': '326 kcal', 'carbohydrateContent': '37.7 g', 'proteinContent': '24.7 g', 'fatContent': '8.6 g', 'saturatedFatContent': '2.4 g', 'cholesterolContent': '121 mg', 'sodiumContent': '1101 mg', 'fiberContent': '2.8 g', 'sugarContent': '2.5 g'}",4.75,,Omnivore's Cookbook,180,4 serving(s)
15-Minute Shrimp Soup with Tofu and Kale,Maggie Zhu,https://omnivorescookbook.com/shrimp-soup-tofu-kale/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2018/05/1802_Shrimp-Soup-With-Tofu-And-Kale_550.jpg,"['1 pound (450 grams) shrimp (, peeled and deveined)', '1 tablespoon Shaoxing wine', '1 tablespoon cornstarch', '1 tablespoon olive oil ((or vegetable oil))', '3 green onions (, chopped)', '2 teaspoons minced ginger', '1/2 pound white mushrooms (, sliced)', '4 cups chicken stock', '1 block (4 oz / 400 g) soft tofu (or silk tofu)', '4 kale leaves (, chopped (yield about 8 cups))', '1/2 tablespoon soy sauce ((or tamari for gluten free))', 'Salt to taste', '1/8 teaspoon black pepper ((or to taste))']","Combine all the marinade ingredients in a small bowl. Stir to mix well. Let marinate for 5 minutes.
Heat oil in a 3-quart dutch oven over medium heat until hot. Add the green onion and ginger. Stir a few times to release fragrance. Add the mushrooms. Stir and cook for 1 minute. Add the chicken stock and turn to medium-high heat. Cook until bringing to a boil.
Add the kale leaves and the shrimp. Cook for 2 minutes. Add the tofu. Cook for another 2 to 3 minutes, or until the shrimp is cooked through and the kale turns tender. Stir in the soy sauce and add black pepper. Taste the soup. Add more salt if needed.
Serve hot as a side or main.",en-US,"{'servingSize': '4 g', 'calories': '225 kcal', 'carbohydrateContent': '14.9 g', 'proteinContent': '27.4 g', 'fatContent': '6.9 g', 'saturatedFatContent': '1.3 g', 'cholesterolContent': '191 mg', 'sodiumContent': '1135 mg', 'fiberContent': '2.1 g', 'sugarContent': '2.2 g'}",5.0,,Omnivore's Cookbook,20,4 serving(s)
Easy Vegetarian Pumpkin Soup,Maggie,https://omnivorescookbook.com/easy-pumpkin-soup/,American Fusion,https://omnivorescookbook.com/wp-content/uploads/2019/08/1712_Easy-Vegetarian-Pumpkin-Soup_550.jpg,"['4 cups cooked kabocha squash (, peeled (or 2 15-oz. cans of pumpkin puree) (*Footnote 1))', '1 tablespoon olive oil', '1 small white onion (, minced)', '1 big slice ginger (, coarsely chopped)', '2 cloves garlic (, coarsely chopped)', 'Pinch of sea salt', '1 tablespoon curry powder', '4 cups vegetable broth', 'Coconut milk, chopped parsley, crushed red pepper and/or pumpkin seeds ((Optional))']","Heat oil in a 3-quart dutch oven (or pot) over medium heat until warm. Add onion, ginger, garlic, and a pinch of salt. Cook over medium-low heat and stir until the onion turns pale yellow, 10 minutes or so.
Add the curry powder. Stir and cook until the ingredients are evenly coated, 20 to 30 seconds.
Add the vegetable broth. Scrape the pan with a wooden spatula to release all the brown bits. Add the cooked pumpkin. Cook until bringing to a boil.
Transfer everything into a blender, leave the top plug of the blender open to let out the steam, and mix until the soup turns to a smooth texture. Alternatively, you can use a hand blender to mix the soup in the pot.
Transfer the soup into serving bowls. Garnish with coconut milk, parsley, crushed red pepper and pumpkin seeds (if using). Serve hot.",en-US,"{'servingSize': '1 serving', 'calories': '88 kcal', 'sugarContent': '6.6 g', 'sodiumContent': '362 mg', 'fatContent': '2.9 g', 'carbohydrateContent': '15.5 g', 'fiberContent': '5.4 g', 'proteinContent': '1.9 g'}",5.0,,Omnivore's Cookbook,20,4 serving(s)
Easy Vegetarian Lentil Stew,Maggie Zhu,https://omnivorescookbook.com/vegetarian-lentil-stew/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2017/08/1708_Easy-Vegetarian-Lentil-Stew_550.jpg,"['2 tablespoons olive oil ((or butter))', '1 big onion (, minced)', '2 carrots (, sliced)', '3 garlic (, minced)', '1 tablespoon ginger (, minced)', '2 tablespoons curry powder ((*Footnote 1))', '1/4 teaspoon ground black pepper', '1 can (170-g/6-oz) tomato paste', '1 can (400-g/14-oz) tomato (, diced)', '8 cups vegetable stock', '1 bag (450g/1-lb) lentils', '1 teaspoon salt ((or to taste))', 'Greek yogurt for garnish ((Optional))']","Heat olive oil in a large pot over medium heat. Add onion and carrot. Cook onion and stir occasionally until tender and pale yellow, 8 to 10 minutes.
Add garlic and ginger. Cook and stir for 1 minute.
Turn to low heat. Add curry powder and ground black pepper. Stir for 1 minute.
Add tomato paste. Stir for 1 to 2 minutes. If the paste starts to stick, pour in a bit of chicken stock and use your spatula to scrape the brown bits off the pan.
Add diced tomato, chicken stock, and lentils. Cook over medium high heat until simmering. Stir occasionally. Turn to low heat, cover, and simmer for 30 minutes. Add salt to adjust seasoning to taste.
Serve hot over steamed rice as a main or by itself as a side, with Greek yogurt on top (if using).",en-US,"{'servingSize': '1 /2 cup of the stew', 'calories': '114 kcal', 'sugarContent': '2.9 g', 'sodiumContent': '437 mg', 'fatContent': '2.1 g', 'carbohydrateContent': '18 g', 'fiberContent': '8 g', 'proteinContent': '6.9 g'}",5.0,,Omnivore's Cookbook,55,10 serving(s)
Chinese Egg Drop Soup,Maggie Zhu,https://omnivorescookbook.com/chinese-egg-drop-soup/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2018/01/1612_Chinese-Egg-Drop-Soup_001.jpg,"['4 cups chicken broth', '3 green onions (, chopped, white and green parts separated)', '1 slice ginger', '1/4 teaspoon white pepper powder', '1/4 teaspoon fine sea salt ((or to taste))', '4 teaspoons cornstarch', '1/8 teaspoon turmeric powder (, for the yellow color (Optional))', '4 large eggs (, beaten (Footnote 1))', '2 teaspoons sesame oil']","Combine the chicken broth, the white part of the green onion and ginger in a small pot. Cook over high heat until brought to a boil. Turn to a low heat and let the soup reduce to a simmer.
Combine cornstarch, white pepper, turmeric, sea salt and 2 tablespoons of water in a small bowl. Whisk until cornstarch is completely dissolved. Swirl into the soup and mix well with a spatula.
To add eggs, hold a fork (or two chopsticks slightly apart) across the top of a small bowl, drizzle the egg mixture slowly through the gaps into the soup. Let the eggs set for a few seconds, then stir gently to break up the egg to the desired sized pieces.
Drizzle sesame oil and sprinkle with the green part of the green onion.
Serve warm.",en-US,"{'servingSize': '1 serving', 'calories': '274 kcal', 'carbohydrateContent': '20.9 g', 'proteinContent': '22.5 g', 'fatContent': '12.7 g', 'cholesterolContent': '174 mg', 'sodiumContent': '268 mg', 'fiberContent': '2.5 g', 'sugarContent': '3.2 g'}",4.95,,Omnivore's Cookbook,15,4 serving(s)
Easy Vegetarian Thai Curry,Maggie Zhu,https://omnivorescookbook.com/vegetarian-thai-curry/,Thai,https://omnivorescookbook.com/wp-content/uploads/2018/04/1803_Easy-Vegetarian-Thai-Curry_550.jpg,"['1 tablespoon vegetable oil', '1/2 cup sliced yellow onion', '2 teaspoons minced ginger', '2 cloves garlic (, minced)', '2 tablespoons vegetarian red curry paste', '2 cups (6 oz / 170 g) green beans (, trimmed and snapped in half)', '2 medium carrots (, peeled and sliced)', '1 8.5 oz (240 g) can pre-cooked artichoke hearts', '1 cup vegetable stock ((or water))', '1 can (14 oz / 397 g) unsweetened coconut milk (, divided)', '1 tablespoon soy sauce ((or tamari for gluten free))', '1/2 tablespoon sugar', '1 bell pepper (, sliced)', '1 zucchini (, sliced)', 'Chopped cilantro for garnish ((Optional))', 'Lime juice']","Heat vegetable oil in a large skillet or a dutch oven over medium heat until hot. Add the onion. Cook and stir until it turns lightly golden, 3 to 5 minutes.
Add the ginger, garlic, and the red curry paste. Cook and stir until the curry is toasted, 1 minute or so. If the curry starts to burn, add a bit of vegetable stock to thin it out.
Add the green beans, carrot, and the artichoke hearts. Stir and cook for 2 to 3 minutes to toast the vegetables.
Add the vegetable stock, coconut milk, soy sauce, and sugar. Bring to a boil, then simmer for 8 minutes, or until the vegetables just turn soft.
Add the bell pepper and zucchini. Cook for another 2 to 3 minutes. Adjust seasoning by adding more salt, if needed.
Serve hot over steamed rice with lime wedges on the side. Squeeze some lime juice into the curry while eating.",en-US,"{'servingSize': '4 g', 'calories': '384 kcal', 'carbohydrateContent': '28.7 g', 'proteinContent': '7.1 g', 'fatContent': '29.7 g', 'saturatedFatContent': '22.5 g', 'sodiumContent': '731 mg', 'fiberContent': '9.6 g', 'sugarContent': '10.9 g'}",-1.0,,Omnivore's Cookbook,30,4 serving(s)
15-Minute Curry Ramen with Leftover Ham,Maggie Zhu,https://omnivorescookbook.com/curry-ramen-with-ham/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2019/12/1912_15-Minute-Leftover-Ham-Ramen_550.jpg,"['1 egg (, soft-boiled (Optional))', '1 tablespoon butter', '1 clove garlic (, minced)', '1 tablespoon curry powder', '1 cup coconut milk', '1 cup broth ((chicken or beef))', '1 pack instant ramen (seasoning packet discarded or saved for another dish)', '1 baby bok choy (, cut to bite size pieces)', '3 slices leftover ham', '1 tablespoon green onion (, chopped)', 'Homemade chili oil ((Optional))']","(Optional) If you’re making the soft boiled egg, bring a small pot of water to a boil. Turn to medium-low heat and slowly lower the egg into the pan using a ladle. Simmer for 5 to 6 minutes for a soft-boiled egg.
Add the butter into a small saucepan and heat over medium-low heat until melted. Add the garlic and curry powder. Stir to release the fragrance, 1 minute or so.
Add the coconut milk. Bring to a boil over medium heat.
Add the broth. Let cook until boiling again.
Add the instant ramen, baby bok choy, and ham (you can heat up the ham in the microwave as well, for a prettier presentation). Simmer for 2 to 3 minutes, until the noodles are cooked through. Immediately transfer everything to a serving bowl.
Top with the soft-boiled egg, if using. Garnish with green onion. You can use some homemade chili oil or a pinch of chili flakes to spice up the broth.
Enjoy the ramen as a main dish while hot!",en-US,"{'servingSize': '1 serving', 'calories': '948 kcal', 'carbohydrateContent': '41.9 g', 'proteinContent': '19.8 g', 'fatContent': '82.3 g', 'saturatedFatContent': '64 g', 'cholesterolContent': '64 mg', 'sodiumContent': '1258 mg', 'fiberContent': '9.7 g', 'sugarContent': '9.1 g'}",4.75,,Omnivore's Cookbook,15,1 serving(s)
Tomato Beef Wonton,Maggie Zhu,https://omnivorescookbook.com/tomato-beef-wonton/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2018/01/1605_Tomato-Beef-Dumpling_001.jpg,"['1 can (28 oz) Muir Glen whole peeled tomatoes ((*see footnote 1))', '1/2 pound (220 grams) ground beef', '2 to 3 green onions (, finely chopped)', '1 tablespoon light soy sauce ((or soy sauce))', '1 tablespoon rice wine ((or Shaoxing wine) (Optional))', '1/4 teaspoons ground Sichuan peppercorns ((or ground black pepper))', '1/2 teaspoon ginger (, grated)', '1 teaspoon sugar', '1/2 teaspoon salt', '1 tablespoon toasted sesame oil ((or vegetable oil))', '1 pack wonton wrappers ((or dumpling wrappers) (*see footnote 2))', '4 cups chicken stock', '2 eggs', '1 piece ginger', 'Chopped cilantro for garnish ((Optional))']","Prepare tomatoes
Transfer the whole tomatoes into a colander placed on a large bowl to drain the extra liquid. You can save the liquid to use later (see the last paragraph in the post to make a sweet and sour soup base, in a dish such as this tomato sauce fried noodles, or use it in various dishes). While draining the tomatoes, you can start to prepare the dumpling filling.
Remove the seeds from the tomatoes. Gently squeeze them to remove extra moisture. This process is very important, so the wontons won’t end up watery.
Finely dice 5 of the tomatoes to 2/3-cm (1/4-inch) pieces. Coarsely chop the rest of the tomatoes, and transfer them into another bowl for the egg drop soup later.
Make wontons
Combine ground beef, green onion, light soy sauce, Sichuan peppercorns, ginger, and sugar in a large bowl. Stir to mix well. Let marinate for 5 to 10 minutes.
When you’re ready to wrap the wontons, add the 5 diced whole peeled tomatoes, salt, and sesame oil into the bowl with the beef (*see footnote 3). Mix well with a spatula.
Prepare a small bowl of water. Prepare a tray or a large airtight container (one you can store in the freezer), and spray a thin layer of oil onto it. This will prevent wontons from sticking to the bottom.
Work on the wontons one by one.
Place 1 teaspoon of filling onto the center of the wonton wrapper (*see footnote 4). Wet the edge of the wrapper with your finger. Fold the wonton so it forms a triangle. Squeeze as much air as possible from the wonton, and press the edge to seal. Place completed wonton onto the tray (or container).
When you’ve finished wrapping 20 wontons, seal the tray and store it in the freezer. This process keeps the wontons fresh and prevents drying out.
Tomato egg drop soup
Add chicken stock into a pot and bring to a boil. Add the chopped whole tomatoes.
When the stock starts to simmer again, turn to low heat. Put a spatula (or a fork) against one end of the bowl with the egg in it. Slowly drizzle egg into the soup in a swirling motion. Mix the soup and taste it with a small spoon (be careful, the soup is very hot!). Add salt to adjust seasoning, if necessary.
Turn to lowest heat to keep the soup warm.
Cook wontons
Now, you should have two batches of wontons, 20 frozen and the rest fresh. Cook them separately, fresh first.
(Option 1) Wonton soup (*see footnote 5) - Bring a large pot of water to a boil over medium high heat. Add wontons one by one. Gently stir with a ladle to prevent sticking. Cook until the wontons are floating on top and start to inflate like balloons. Remove a wonton and carefully taste it to see whether it’s cooked through. If yes, transfer wontons to each serving bowl. Add the tomato egg drop soup. Garnish with cilantro, if using. Serve immediately.
(Option 2) Pan-fried wontons - Heat 1 tablespoon oil in a large nonstick pan over medium high heat until hot. Place wontons into the pan. Add 2 to 3 tablespoons water and cover immediately. Turn to medium heat. Let steam for 2 to 3 minutes (you will need more time if you made larger dumplings, or if you’re cooking with frozen wontons), or until the bottom turns golden. Remove a wonton and carefully taste it to see whether it’s cooked through. If yes, transfer the wontons to a large plate.
Serve warm with the tomato egg drop soup as a side.",en-US,"{'servingSize': '617 g', 'calories': '460 kcal', 'carbohydrateContent': '57.9 g', 'proteinContent': '31.6 g', 'fatContent': '10.7 g', 'saturatedFatContent': '2.7 g', 'cholesterolContent': '138 mg', 'sodiumContent': '1123 mg', 'fiberContent': '4.3 g', 'sugarContent': '6.7 g'}",5.0,,Omnivore's Cookbook,75,50 serving(s)
"Dou Fu Nao (豆腐脑, Beijing-Style Tofu Pudding with Gravy)",Maggie Zhu,https://omnivorescookbook.com/dou-fu-nao/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2021/01/201222_Dou-Fu-Nao-Northern-Chinese-Savory-Douhua_550.jpg,"['10 g (about 25) dried lily flower buds ((yields 1/2 cup rehydrated))', '2.5 g (1 tablespoon) dried wood ear mushrooms ((yield 1/4 cup rehydrated))', '5 g (4 to 5) dried shiitake mushrooms', '1 1/2 tablespoon peanut oil', '1/2 teaspoon Sichuan peppercorns ((Optional))', '2 green onions (, sliced and separated)', '8 oz (250 g) ground pork', '1 tablespoon Shaoxing wine', '2 tablespoons light soy sauce', '1 teaspoon dark soy sauce', '1 cup water', '1/2 teaspoon chicken bouillon powder ((or 1/4 teaspoon salt))', '1 tablespoon cornstarch', '2 servings homemade tofu pudding ((or store-bought sundubu tofu))']","Prep
Gently rinse the dried lily flower buds, wood ear mushrooms, and shiitake mushrooms with tap water and transfer them into three bowls. Add 1/2 cup hot water to each bowl to cover. Let soak until tender throughout, 30 minutes or so. Once done, squeeze out the marinating liquid back into the bowls and gently rinse them with tap water again to remove any dust on the surface. Slice the shitake mushrooms. Cut the lily flowers in half. And chop the wood ear mushrooms into small pieces. Reserve the marinating liquid from the shiitake mushrooms and lily flowers for the gravy.
Prepare gravy
Heat 1 tablespoon oil in a large skillet over medium heat. Add the Sichuan peppercorns. Cook, stirring occasionally, until you can smell a strong fragrance and the peppercorns turn darker (but not black). Scoop out the Sichuan peppercorns and discard them (*Footnote 1).
Add the rehydrated lily flowers, shiitake mushrooms, and wood ear mushrooms. Cook, stirring frequently, for 1 minute or so. Be careful, the rehydrated ingredients might cause oil splatter.
Add the white part of the green onion and the ginger. Cook and stir for 30 seconds to release the fragrance.
Move everything to one side of the pan and add the remaining 1/2 tablespoon oil to the other side. Add the ground pork on top of the oil, then use a spatula to spread it out. Let the pork cook for a minute without moving to brown the bottom, then cut it into small pieces.
When the pork is cooked through, pour in the Shaoxing wine and scrape the pan to release any brown bits.
Pour in the light soy sauce and dark soy sauce. Stir to coat well.
Add the water and the reserved 1 cup of soaking water. And the chicken bouillon powder. Bring to a boil, stirring occasionally, and cook for 2 minutes.
Meanwhile, dissolve the cornstarch in 1 tablespoon of water in a small bowl. Pour the cornstarch slurry into the pan. Stir to mix well and let cook until the sauce thickens. Taste the gravy and adjust the seasoning by adding a pinch of salt, if needed.
Serve
To serve, scoop the tofu pudding using a large spoon (the larger and flatter, the better) into two serving bowls. If too much liquid is pooling in the bowl, tilt the bowl carefully to drain off the excess liquid (it’s OK to have some liquid in the bowl). Ladle the gravy on top of the tofu pudding. Serve immediately.",en-US,"{'servingSize': '1 serving', 'calories': '291 kcal', 'carbohydrateContent': '8.2 g', 'proteinContent': '31.3 g', 'fatContent': '14.3 g', 'saturatedFatContent': '3.1 g', 'cholesterolContent': '83 mg', 'sodiumContent': '987 mg', 'fiberContent': '1 g', 'sugarContent': '0.8 g'}",5.0,,Omnivore's Cookbook,55,2 serving(s)
Creamy Chicken Sweet Potato Stew,Maggie Zhu,https://omnivorescookbook.com/chicken-sweet-potato-stew/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2020/01/2001_Creamy-Chicken-Sweet-Potato-Stew_550.jpg,"['1 teaspoon peanut oil (or vegetable oil)', '1 lbs (450 g) chicken thigh (, diced (or breast))', '1 tablespoon ginger (, grated)', '2 teaspoons rice vinegar', '2 cups water', '8 oz (225 g) sweet potato (, peeled and diced)', '8 oz(225 g) taro (, peeled and diced (*Footnote 1))', '1 teaspoon soy sauce', 'Pinch salt', '1/2 head broccoli (, cut into florets)', '1 box (12 oz. / 340 g) Pacific Foods Organic Cream of Chicken Condensed Soup']","Heat the oil in a medium-sized dutch oven over medium heat until hot. Add the chicken and arrange it in a single layer. Cook without touching until the bottom is browned, 1 minute or so. Flip to brown the other side, another 1 minute.
Add the ginger and stir a few times to release the fragrance.
Pour in the rice vinegar to deglaze the pan. Scrape the bottom of the pan with a spatula to lift any brown bits off the pan.
Add the water, sweet potato, taro, soy sauce, and salt. Bring the water to a boil and turn to medium-low heat. Simmer, covered, for 15 minutes, or until the sweet potatoes just turn tender.
Add the broccoli and cook for 1 minute.
Stir in the cream of chicken condensed soup. Stir and cook for another 2 minutes, until the broth thickens. (*Footnote 2)
Serve hot as a main dish. Enjoy!",en-US,"{'servingSize': '1 serving', 'calories': '340 kcal', 'carbohydrateContent': '33 g', 'proteinContent': '28.1 g', 'fatContent': '10 g', 'saturatedFatContent': '3.4 g', 'cholesterolContent': '82 mg', 'sodiumContent': '736 mg', 'fiberContent': '4.2 g', 'sugarContent': '3.2 g'}",5.0,,Omnivore's Cookbook,30,4 serving(s)
