title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
"Chinese Pork Belly Bun (Rou Jia Mo, 肉夹馍)",Maggie Zhu,https://omnivorescookbook.com/recipes/authentic-pork-belly-bun/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2014/08/1803_Pork-Belly-Bun-Rou-Jia-Mo_003.jpg,"['3.5 lbs (1.2 kg) pork belly ((*Footnote 1), cut into 2-inch (4.5-cm) chunks)', '4 dried chili peppers', '3 cloves', '1 whole nutmeg ((or 1/8 teaspoon nutmeg powder))', '1 whole star anise', '1 cinnamon stick (5 centimeters / 2 inches in length)', '2 large pieces ginger', '4 green onions (, halved lengthwise)', '1/4 cup Shaoxing wine ((or dry sherry))', '1/4 cup light soy sauce ((or soy sauce))', '2 teaspoons dark soy sauce ((or soy sauce))', '1 tablespoon sugar', '1/4 teaspoon salt', '10 homemade flatbreads ((or store-bought pita bread))', '1 cup cilantro (, chopped)', '2 bell peppers (, cubed (*Footnote 2))', 'Sriracha sauce or homemade chili oil ((Optional))']","Place pork belly in a 5.5-quart dutch oven and add cold water to cover the pork by 1 inch (2 cm). Bring to a boil over medium-high heat. Turn to medium low heat and boil for 10 minutes. Skim the broth with a fine mesh strainer to get rid of the foam.
Add chili peppers, cloves, nutmeg, star anise, cinnamon, ginger, green onion, and Shaoxing wine. Bring to a boil over medium-high heat, then turn to lowest heat and simmer, covered, for 30 minutes.
Add light soy sauce, dark soy sauce, sugar, and salt into the pot and stir to mix well. Continue to simmer, covered, for an additional 1 hour. Skim off the oil from the top by using a fine mesh strainer.
Uncover, and continue to simmer for another hour or so, until the broth is reduced to about one fourth and has thickened slightly. Keep an eye on the pork during the last 30 minutes, because the broth can reduce very fast at the end and burn the bottom. You should have at least 1 cup of broth in the pot after reducing, in order to assemble the pork buns.
Assemble
Option 1 the modified style - Transfer one piece of pork belly onto a cutting board and slice it into bite-size pieces. Use a spoon to stuff the pork mixture, cilantro, and peppers into the bun. Drizzle a spoonful of broth onto the pork and add Sriracha sauce (if needed). Serve immediately.
Option 2 authentic street food style - Transfer one piece of pork belly onto a cutting board, cut it coarsely into small chunks. Place a handful of cilantro and a handful of peppers on top of the pork. Use a knife to chop and mix everything together. Use a spoon to stuff the pork mixture into the bun, drizzle a spoonful broth onto the pork and add a few drops of homemade chili oil. Serve immediately.",en-US,"{'servingSize': '1 of the 10 buns', 'calories': '360 kcal', 'carbohydrateContent': '34.6 g', 'proteinContent': '40.5 g', 'fatContent': '5.3 g', 'cholesterolContent': '99 mg', 'sodiumContent': '441 mg', 'fiberContent': '1.7 g', 'sugarContent': '2.8 g'}",5.0,,Omnivore's Cookbook,190,10 serving(s)
Easy Sticky Wings with Hot Sauce,Maggie Zhu,https://omnivorescookbook.com/sticky-wings-with-hot-sauce/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2020/11/201015_201015-The-Eesiest-Sticky-Wings-with-Hot-Sauce_550.jpg,"['1 3/4 lbs (800 g) chicken wings ((12 to 16 wings))', '1/2 teaspoon salt', '1 tablespoon Sriracha ((or other hot sauce))', '1 tablespoon hoisin sauce', '1 tablespoon dark soy sauce ((or regular soy sauce))', '2 teaspoons balsamic vinegar', '2 teaspoons toasted sesame oil']","Arrange the chicken wings in one layer in a 12” nonstick skillet, skin side up. (Use two skillets if necessary.) Sprinkle the wings with half of the salt. Flip the wings over and sprinkle the other half of the salt onto them.
Cook the wings skin side down over medium-high heat, uncovered, until the bottoms are browned, 8 to 10 minutes. Shake the pan occasionally so the wings don’t stick. Check on the bottom of the wings every few minutes, to prevent them from overcooking.
Meanwhile, prepare the sauce by mixing all the sauce ingredients in a bowl.
Turn the chicken wings. They should be nicely browned on the first side. Cover the skillet, reduce the heat to medium-low, and cook the wings for another 12 minutes, or until they are browned on the second side and tender.
If the chicken wings have rendered a lot of fat, use a few layers of paper towel attached in front of a pair of tongs. Pat the pans between the wings to absorb any excess oil, and discard it.
Pour the sauce over the wings and cook over medium-high heat, tossing the wings in the sauce, until the sauce has reduced enough that it coats the wings like a glaze, 2 to 3 minutes.
Serve immediately.",en-US,"{'servingSize': '1 serving', 'calories': '412 kcal', 'carbohydrateContent': '2.8 g', 'proteinContent': '57.8 g', 'fatContent': '17.1 g', 'saturatedFatContent': '4.4 g', 'cholesterolContent': '177 mg', 'sodiumContent': '778 mg', 'fiberContent': '0.1 g', 'sugarContent': '1.2 g'}",5.0,,Omnivore's Cookbook,27,4 serving(s)
"Baked Samosa, Two Ways (Uyghur Lamb Meat Pie, 烤包子)",Maggie Zhu,https://omnivorescookbook.com/recipes/baked-samosa/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2018/01/1501_Baked-Samosa_001.jpg,"['400 grams (14 ounces) all-purpose flour and extra flour to dust working surface', '250 milliliters 1 cup + 1 tablespoon water', '25 egg roll wrappers (20*20cm)', '300 grams (10 ounces) lamb leg meat ((or ground lamb))', '1 teaspoon ginger (, minced)', '1 tablespoon light soy sauce ((or 1 teaspoon salt))', '1 tablespoon cumin powder', '1/8 teaspoon Sichuan peppercorn powder ((or black pepper))', '1 teaspoon salt', '1 tablespoon peanut oil ((or vegetable oil))', '2 teaspoons cornstarch', '300 grams (10 ounces) small onion (, minced)']","To make the dough
Add flour to a large bowl and slowly blend in water. Use a pair of chopsticks to whisk the flour until the water is fully absorbed. Dust both hands with dry flour and start kneading, until dough forms.
Dust a working surface with flour and transfer the dough onto it. Knead the dough until the surface turns smooth, about 10 minutes.
Transfer the dough to a large bowl. Cover with a damp dish towel or plastic wrap. Allow to rest at room temperature for 30 to 40 minutes.
To make pie filling
While resting the dough, prepare the filling.
Cube lamb meat into 0.8 to 1 centimeter (0.3 to 0.4 inch) pieces and add them into a large bowl.
Add ginger, soy sauce, cumin powder, salt, and peppercorn powder. Mix well. Add peanut oil and mix again. Add cornstarch in 2 batches and mix by hand until the lamb is evenly coated.
Add onion and mix well.
To wrap the meat pies
Preheat oven to 220 degree C (430 F). Line a baking tray with aluminum foil. Spray (or brush) a thin layer of oil.
Add 2 tablespoons of oil to a small bowl and set aside.
Dust the working surface with flour again and transfer the dough onto it. Divide the dough into two equal pieces and put one piece back into the bowl. Cover well.
Dust both hands with flour and knead the dough several times. Roll the dough into a long stick and further divide into 5 equal parts.
Knead a piece of dough a few times to shape a ball. Press it into a round disc. Roll the dough with a rolling pin to flatten the disc to about 18 centimeters (7 inches) across and 2 millimeters (1/12 inch, like the thickness of a 1 dollar coin) thick.
Place 4 to 5 tablespoons of filling in the center of the dough disc. Brush a thin layer of oil onto the edge. Fold the upper and lower edges of the dough until they overlap each other. Fold the left and right ends so the dough seals the filling inside. Press gently and place onto the baking sheet.
Work on the rest of the dough in the same manner.
Spray (brush) each meat pie with a thin layer of oil on top and sprinkle sesame seeds to garnish.
Bake on the middle rack and bake at 220 degree C (430 F) for about 15 minutes, until the surface turns golden brown.
Let the meat pies cool for 5 minutes, then transfer a plate.
Serve warm as a snack or main dish.
To make pie filling
Follow the way above of cooking traditional meat pie. You could replace the cubed lamb leg meat with ground lamb. It’s easier to wrap with ground lamb.
To wrap the rolls
Place a sheet of egg roll wrapper on a cutting board (or working surface). If you are using a 15x15 cm sheet, use 2 layers at a time. Place 2 to 3 tablespoons of filling on the lower end of the sheet. Fold the sheet like folding a spring roll: fold the bottom first; then fold both sides to seal the filling; roll and tuck the filling; place it seam side down. (see footnote)
If you plan to freeze the rolls, place a baking sheet in an air-tight container and put the rolls on top. Do not overlap the rolls. Store in the freezer for up to 2 months.
To cook the rolls
Preheat oven to 220 degree C (430 F).
Line a baking tray with aluminum foil. Spray (or brush) a thin layer of oil on the foil.
Place the rolls on the aluminum foil. The side with more layers of wrapper should face down. (Otherwise the rolls will easily break apart during baking, after the juice seeps into the dough sheet)
Spray a thin layer of oil onto the rolls.
Bake on the middle rack at 220 degree C (430 F) for 10 minutes, until the surface turns golden. To cook frozen rolls, bake for about 14 minutes, until the surface turns golden.
Serve warm as a snack or appetizer.",en-US,"{'servingSize': '105 g', 'calories': '255 kcal', 'carbohydrateContent': '34.3 g', 'proteinContent': '9.7 g', 'fatContent': '8.5 g', 'saturatedFatContent': '3.2 g', 'cholesterolContent': '21 mg', 'sodiumContent': '343 mg', 'fiberContent': '1.8 g', 'sugarContent': '1.4 g'}",5.0,,Omnivore's Cookbook,110,10 serving(s)
Salt and Pepper Pork Chops (椒盐猪排),Maggie Zhu,https://omnivorescookbook.com/salt-pepper-pork-chops/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2020/07/200618_Salt-And-Pepper-Pork-Chop_550.jpg,"['1 lb (450 g) boneless pork chops', '2 tablespoons vegetable oil', '1 tablespoon Shaoxing wine ((or dry sherry for gluten-free))', '1 tablespoon cornstarch', '1/2 teaspoon salt', '1/4 teaspoon salt', '1/2 teaspoon white pepper', '1/4 cup cornstarch', '1/2 cup vegetable oil ((or enough to cover half of the pork))', '3 cloves garlic (, sliced)', '1 jalapeno (, thinly sliced)']","Combine the cut pork with the oil, shaoxing wine, 1 tablespoon cornstarch, and salt. Mix until the pork is evenly coated. Marinate for 15 minutes.
Mix the salt and pepper in a small bowl.
Add enough oil to a medium-sized pan to cover half of the pork. Heat over medium heat until hot. Prepare a plate lined with paper towels.
Add the garlic and peppers to the oil and fry them until the garlic just turns pale golden and the jalapenos crisp up on the edges, 1 to 2 minutes. Remove them from the pan with a slotted spoon, draining the excess oil as you do, and place them onto the paper towel lined plate. Once the peppers and garlic have cooled, transfer them to a big bowl.
Add the 1/4 cup cornstarch to the marinated pork chops and toss to coat. Add the pork to the pan, a few pieces at a time, so they do not crowd the pan. Cook on each side for 2 to 3 minutes, until the coating is crispy and lightly browned.
Remove the pork from the pan, draining the excess oil as you do, and place them on the paper towel lined plate. Let rest for at least 10 to 20 seconds, so the paper soaks up some of the oil. Once you’ve cooked all the pork chops, transfer them to the bowl with the pepper and garlic.
Sprinkle half of the salt and pepper over everything and toss to evenly distribute. Taste the pork and sprinkle with more salt and pepper, if needed.",en-US,"{'servingSize': '1 serving', 'calories': '295 kcal', 'carbohydrateContent': '10.3 g', 'proteinContent': '30 g', 'fatContent': '14.2 g', 'saturatedFatContent': '3.4 g', 'cholesterolContent': '83 mg', 'sodiumContent': '389 mg', 'fiberContent': '0.4 g', 'sugarContent': '1.1 g'}",-1.0,,Omnivore's Cookbook,30,4 serving(s)
Grilled Chicken Wings - Chinese Style,Maggie Zhu,https://omnivorescookbook.com/grilled-chicken-wings-chinese-style/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2013/08/1803_Honey-Soy-Baked-Chicken-Wings_550.jpg,"['3 lbs (1.4 kg) chicken wings', '2/3 cup honey (, separated)', '1 cup soy sauce', '1 cup Shaoxing wine ((or dry sherry))', '2 tablespoons grated ginger', '6 cloves garlic (, chopped)', '1/2 teaspoon five-spice powder', '1/2 teaspoon salt', '1/2 teaspoon ground black pepper']","Mix the marinade ingredients with 1/3 cup honey in a one-gallon ziplock bag. Add the chicken wings. Massage a few times to mix well. Squeeze as much as air out as you can and seal the bag. Let sit in the fridge for a minimum of 2 hours, up to overnight. Flip the bag in between, for even marinating.
Preheat oven to 450 degrees F (230 C). Line a baking sheet with parchment paper or aluminum foil for easy cleanup. Place a baking rack on top.
Place wings on the baking rack without overlapping, bottom side up. Brush a generous amount of honey on the bottom side of the chicken wings.
Bake until the bottom side of the wings turns golden brown, 10 minutes. Flip the wings and brush honey on top. Bake for 10 minutes. Take out the baking tray and brush honey again. Cook for another 5 to 8 minutes, until the wings are cooked and the surface turns dark brown and crispy.
Let cool for 5 minutes. Serve hot as an appetizer.",en-US,"{'servingSize': '6 g', 'calories': '372 kcal', 'carbohydrateContent': '8.2 g', 'proteinContent': '31.9 g', 'fatContent': '22.8 g', 'saturatedFatContent': '6.4 g', 'cholesterolContent': '98 mg', 'sodiumContent': '248 mg', 'fiberContent': '0.3 g', 'sugarContent': '5.9 g'}",5.0,,Omnivore's Cookbook,30,4 serving(s)
"Dou Fu Nao (豆腐脑, Beijing-Style Tofu Pudding with Gravy)",Maggie Zhu,https://omnivorescookbook.com/dou-fu-nao/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2021/01/201222_Dou-Fu-Nao-Northern-Chinese-Savory-Douhua_550.jpg,"['10 g (about 25) dried lily flower buds ((yields 1/2 cup rehydrated))', '2.5 g (1 tablespoon) dried wood ear mushrooms ((yield 1/4 cup rehydrated))', '5 g (4 to 5) dried shiitake mushrooms', '1 1/2 tablespoon peanut oil', '1/2 teaspoon Sichuan peppercorns ((Optional))', '2 green onions (, sliced and separated)', '8 oz (250 g) ground pork', '1 tablespoon Shaoxing wine', '2 tablespoons light soy sauce', '1 teaspoon dark soy sauce', '1 cup water', '1/2 teaspoon chicken bouillon powder ((or 1/4 teaspoon salt))', '1 tablespoon cornstarch', '2 servings homemade tofu pudding ((or store-bought sundubu tofu))']","Prep
Gently rinse the dried lily flower buds, wood ear mushrooms, and shiitake mushrooms with tap water and transfer them into three bowls. Add 1/2 cup hot water to each bowl to cover. Let soak until tender throughout, 30 minutes or so. Once done, squeeze out the marinating liquid back into the bowls and gently rinse them with tap water again to remove any dust on the surface. Slice the shitake mushrooms. Cut the lily flowers in half. And chop the wood ear mushrooms into small pieces. Reserve the marinating liquid from the shiitake mushrooms and lily flowers for the gravy.
Prepare gravy
Heat 1 tablespoon oil in a large skillet over medium heat. Add the Sichuan peppercorns. Cook, stirring occasionally, until you can smell a strong fragrance and the peppercorns turn darker (but not black). Scoop out the Sichuan peppercorns and discard them (*Footnote 1).
Add the rehydrated lily flowers, shiitake mushrooms, and wood ear mushrooms. Cook, stirring frequently, for 1 minute or so. Be careful, the rehydrated ingredients might cause oil splatter.
Add the white part of the green onion and the ginger. Cook and stir for 30 seconds to release the fragrance.
Move everything to one side of the pan and add the remaining 1/2 tablespoon oil to the other side. Add the ground pork on top of the oil, then use a spatula to spread it out. Let the pork cook for a minute without moving to brown the bottom, then cut it into small pieces.
When the pork is cooked through, pour in the Shaoxing wine and scrape the pan to release any brown bits.
Pour in the light soy sauce and dark soy sauce. Stir to coat well.
Add the water and the reserved 1 cup of soaking water. And the chicken bouillon powder. Bring to a boil, stirring occasionally, and cook for 2 minutes.
Meanwhile, dissolve the cornstarch in 1 tablespoon of water in a small bowl. Pour the cornstarch slurry into the pan. Stir to mix well and let cook until the sauce thickens. Taste the gravy and adjust the seasoning by adding a pinch of salt, if needed.
Serve
To serve, scoop the tofu pudding using a large spoon (the larger and flatter, the better) into two serving bowls. If too much liquid is pooling in the bowl, tilt the bowl carefully to drain off the excess liquid (it’s OK to have some liquid in the bowl). Ladle the gravy on top of the tofu pudding. Serve immediately.",en-US,"{'servingSize': '1 serving', 'calories': '291 kcal', 'carbohydrateContent': '8.2 g', 'proteinContent': '31.3 g', 'fatContent': '14.3 g', 'saturatedFatContent': '3.1 g', 'cholesterolContent': '83 mg', 'sodiumContent': '987 mg', 'fiberContent': '1 g', 'sugarContent': '0.8 g'}",5.0,,Omnivore's Cookbook,55,2 serving(s)
Cheesy Shrimp Baked Spring Rolls,Maggie Zhu,https://omnivorescookbook.com/shrimp-baked-spring-rolls/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2018/01/1609_Cheesy-Shrimp-Baked-Spring-Rolls_003.jpg,"['1/2 pound (230 grams) shrimps (, peeled and deveined (about 16 to 20 medium size shrimps) (*footnote 1))', '1 tablespoon Shaoxing wine ((or rice wine, or lemon juice))', '1 tablespoon soy sauce', '1 teaspoon ginger (, grated)', '1/4 teaspoon white pepper powder', '4 green onions (, finely chopped)', '1 cup shredded mozzarella cheese', '1 pack spring roll wrappers', '4 to 5 tablespoons peanut oil ((or vegetable oil for baking))', '4 tablespoons ketchup', '2 tablespoons rice vinegar', '2 teaspoons Sriracha sauce', '2 teaspoons honey']","Chop the shrimps to 1-cm (1/2-inch) pieces. Transfer to a bowl. Add Shaoxing wine, soy sauce, ginger and white pepper powder. Mix well and let marinate for 15 minutes.
Preheat the oven to 200 degrees C (400 F).
Set up all the ingredients before assembling the spring roll. Drain the shrimp thoroughly and discard the marinade. This is very important, so the shrimp won’t be too wet to cause the wrapper to break apart during baking.
Wrap the spring rolls one by one. Spray or brush a thin layer of oil onto the top of the spring roll wrapper (*footnote 2). Place 4 to 5 pieces of shrimp, about 1 tablespoon mozzarella cheese and 1 teaspoon green onion on the lower third of the wrappers (*footnote 3). Fold the bottom to cover the filling. Then fold both side of the wrapper towards the center. Tuck and roll the filling upward to seal the wrapper until it forms the spring roll. Place each spring rolls onto the lined baking sheet, seam side down, with about 2 fingers apart in between.
Bake for 9 minutes, or until the bottom turns to a golden color. Flip the spring rolls and put them back in the oven. Bake for another 6 to 8 minutes, until the other side looks golden too.
To preheat any leftover spring rolls, bake at 180 degrees C (350 F) until warmed through, or for about 10 minutes or so. The rolls will remain crispy.",en-US,"{'servingSize': '63 g', 'calories': '148 kcal', 'carbohydrateContent': '20.7 g', 'proteinContent': '6.6 g', 'fatContent': '4 g', 'saturatedFatContent': '0.8 g', 'cholesterolContent': '31 mg', 'sodiumContent': '282 mg', 'fiberContent': '0.7 g', 'sugarContent': '1.5 g'}",4.0,,Omnivore's Cookbook,55,18 serving(s)
The Ultimate Crudité Platter Guide,Maggie Zhu,https://omnivorescookbook.com/crudite-platter/,American,https://omnivorescookbook.com/wp-content/uploads/2019/08/1704_Vegetable-Platter-The-Ultimate-Guide_550.jpg,"['Homemade Hoisin Sauce', 'Honey Wasabi Sauce ((*Footnote))', 'Honey Sriracha Dip', 'Corn on the cob', 'Baby eggplants (, sliced to 1/2-inch (1.5 cm) thick)', '1 tablespoon salt', '1/4 cup cornstarch', 'Vegetable oil (, for deep frying)', 'Sweet potato (, sliced to 1/2-inch (1.5 cm) thick )', 'Shishito peppers', 'Celery (, sliced to sticks)', 'Heirloom tomatoes (, sliced)', 'Baby tomatoes', 'Watermelon radish (, thinly sliced)', 'Red radishes', 'Key limes ((or limes, or lemon))', 'Fresh basil', 'Assorted olives', 'Mini mozzarella balls', 'Pickled artichokes']","Place corn on the cob into a large pot and add water to cover. Cook over high heat until brought to a simmer. Cover, turn to low heat, cook for 10 minutes. Transfer the corns onto a plate until cooled. Divide into small chunks for serving.
Place baby eggplant into a big bowl and add water to cover. Add salt and mix by hand. Place a plate on the eggplant and allow to soak for 20 to 30 minutes. Meanwhile, prepare other ingredients.
Add 2 inches oil to a small deep pot (8 to 9-inch) and heat over medium-high heat until it reaches 375 degrees F (190 C). If you do not have a thermometer, dip a wooden chopstick into the oil. You should see small bubbles sizzle around the chopsticks.
Fry sweet potato until the surface turns golden brown, 2 to 3 minutes per side. Transfer to a plate with a few layers of paper towels on top to drain the extra oil.
Drain eggplant and pat dry thoroughly with paper towels. Dust both sides with cornstarch. Deep-fry in the same pot until the surface turns golden, 2 to 3 minutes per side. Transfer to a plate with a few layers paper towels on top to drain extra oil.
Heat up a heavy-duty skillet with 1 tablespoon oil over medium-high heat until hot. Spread shishito peppers without overlapping. Cook over medium heat until blistered on both sides. Transfer to a plate.
Arrange all the vegetables on the platter, fresh veggies in the center, cooked veggies on the side, and the dipping sauce.
Serve.",en-US,"{'servingSize': '1 serving', 'calories': '120 kcal'}",-1.0,,Omnivore's Cookbook,50,8 serving(s)
Homemade Vegan Dumplings (素菜锅贴),Maggie Zhu,https://omnivorescookbook.com/vegan-dumplings/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2019/04/1401_Chinese-Vegan-Dumplings_800.jpg,"['1/4 cup dried shiitake mushrooms ((7 to 8 small mushrooms) (*Footnote 1))', '2 tablespoons dried wood ear mushrooms ((or 1/2 cup minced bamboo shoots) (*Footnote 2))', '1/2 pack dried rice vermicelli ((*Footnote 3))', '2 cups cabbage (, shredded)', '1/2 block (225-g / 8-oz) firm tofu (, crumbled by hand)', '1 cup carrot (, shredded (about 4 carrots))', '4 cloves garlic (, minced)', '1 tablespoon ginger (, minced)', '4 tablespoons peanut oil ((or vegetable oil, separated, and more to fry the dumplings))', '3 tablespoons soy sauce (, separated)', '1 tablespoon Shaoxing wine ((or dry sherry))', '1 teaspoon curry powder', '1 teaspoon maple syrup', '1/2 cup green onions (, finely chopped)', '50 packaged frozen dumpling wrappers (, thawed OR homemade dumpling wrappers (*Footnote 4))']","Prepare the filling
Add the shiitake mushrooms to a medium sized bowl and add at least 1 cup of hot water to cover. Rehydrate until the mushrooms turn completely soft, 30 minutes or so. Gently rinse with tap water and drain. Remove the tough stems and mince the mushrooms. It yields about 1/4 cup of loosely packed minced mushrooms.
Add the dried wood ear mushrooms to a medium sized bowl and add at least 1 cup of hot water to cover. Rehydrate until the mushrooms turn completely soft, 30 minutes or so. Gently rinse with tap water and drain. Remove the tough ends, if any, and mince the mushrooms if they are big, or thinly shred them if small. It should yield about 1/2 cup of loosely packed minced mushrooms.
Cook the dried rice vermicelli until tender according to the package instructions. Drain and and measure 1 cup of cooked vermicelli. Coarsely chop them to about 1/2-inch (1 cm) length pieces.
Add 2 tablespoons peanut oil into a large nonstick pan and heat over medium heat until hot. Add the garlic and ginger. Stir a few times to release the fragrance.
Add the rehydrated and chopped shiitake mushrooms, wood ear mushrooms, and carrots. Stir and cook for 2 minutes. Add the cabbage, 1 tablespoon soy sauce, Shaoxing wine, and curry powder. Cook and stir for another 2 minutes, until the cabbage turns tender and all the liquid has evaporated. Transfer everything to a big plate to cool.
Heat the remaining 2 tablespoons of oil into the same pan. Add the tofu. Stir and cook the tofu for 1 minute. Further break up the tofu into smaller chunks with your spatula while cooking. Add the cooked vermicelli, the remaining 2 tablespoons soy sauce and the maple syrup. Cook and stir until all the liquid has evaporated, 2 minutes or so. Transfer everything into a big mixing bowl and let cool for a few minutes.
Once the tofu and the cabbage mixtures have cooled to a warm temperature, add the cabbage mixture into the same mixing bowl with the tofu. Add the green onion. Stir to mix well.
Wrap dumplings
Prepare your working station by placing the dumpling filling, wrappers, and a large tray on your table. Fill a small bowl with water and set it aside.
Scoop about 1 tablespoon of dumpling filling and place it in the center of the wrapper. Dip your finger into the bowl of water and use it to wet the edge of the wrapper. Hold the dumpling with one hand and start sealing the edges with the other hand. After folding, press the edges again to seal well. You can use any method to fold the dumplings as long as you’re comfortable with it.
(Note, If you’re wrapping dumplings using homemade wrappers, you can add more filling, as much as you can handle, when you fold the dumplings. You also won’t need the water to wet the wrapper edge if you’re using homemade wrappers.)
Storage
Now you can freeze these dumplings if you don’t cook them immediately. Place them onto a baking tray and seal them in with a plastic wrap. You can store the dumplings in the freezer for up to 1 month. Once the dumplings are completely frozen, after about a day, you can transfer them to a gallon zipper bag to save freezer space.
Cook the dumplings
Cook the dumplings in batches.
Option 1 - Heat 1 tablespoon oil in a nonstick skillet over medium heat until hot. Add dumplings in a single layer. Cook until the bottom side turns golden. Add 2 tablespoons water and cover. Cook until the dumplings are cooked through, 2 to 3 minutes.
Option 2 - To get a crispier result, heat 2 to 3 tablespoons oil in a nonstick skillet over medium heat until hot. Add the dumplings in a single layer. Cook until the bottom side turns golden brown, 1 to 2 minutes. Flip the dumplings, add 2 tablespoons water, and cover. Cook for another 1 to 2 minutes, until the bottom turns golden brown.
Immediately transfer the dumplings to a plate. Cook the rest of the dumplings according to the same method.
You can serve the dumplings immediately with dumpling dipping sauce or a simple drizzle of Chinkiang vinegar.
Reheating
The best way I’ve found to heat up cooked dumplings, by far, is to use an air fryer. It crisps up the dumplings well without using any more oil. Alternatively, you can reheat the dumplings on the stovetop, using a nonstick pan with a thin layer of oil, covered.
Cooking frozen dumplings
The method is almost the same as cooking freshly made dumplings. But you will need to cook them covered for 2 to 3 minutes longer. I also add a bit more water, about 1/4 cup, to make sure it generates enough steam to heat the filling through.",en-US,"{'servingSize': '1 dumpling', 'calories': '44 kcal', 'carbohydrateContent': '6.8 g', 'proteinContent': '1.4 g', 'fatContent': '1.4 g', 'saturatedFatContent': '0.2 g', 'sodiumContent': '82 mg', 'fiberContent': '0.5 g', 'sugarContent': '0.6 g'}",5.0,,Omnivore's Cookbook,60,50 serving(s)
Beer Battered Calamari with Yogurt Sauce,Maggie Zhu,https://omnivorescookbook.com/recipes/beer-battered-calamari-with-yogurt-sauce/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2018/01/Beer-Battered-Squid-with-Yogurt-Sauce-2.jpg,"['80 grams 3 ounces all-purpose flour', '1/2 teaspoon salt', '1/2 teaspoon Chinese five spice powder', '1/4 teaspoon ground cayenne pepper', '1 egg yolk', '150 milliliters 5 ounces beer', '300 grams 10 ounces calamari, thawed and cut into rings', '1/2 cup Greek yogurt', '6 - 8 cloves garlic (grated)', '1 tablespoon lemon juice', 'vegetable oil for frying']","Add flour, salt, Chinese five spice and cayenne pepper into a big bowl, use a fork to mix well. Add egg yolk and continue to mix a few times. Gradually add in beer and mix until fully incorporated. Set aside.
Thoroughly dry calamari before dipping into beer batter. A moist surface will cause the batter to fall off the calamari.
Place 2 layers of paper towel on a large plate and set it aside.
Mix all the ingredients to make yogurt sauce. Set aside.
Heat oil in a wok or a skillet on medium high heat. When oil is hot, coat calamari with batter and carefully place into oil, one by one. Do not add too many pieces at once, as it will cause the oil temperature to drop immediately and affect the frying process. Be careful not to overlap the calamari in the pan. It will cause the coating to turn soggy. Fry until golden brown. Transfer squid onto the plate with paper towel. Fry the rest of the calamari batch by batch.
The coating will turn crispy after the calamari cools down a bit. Serve immediately with yogurt sauce.",en-US,{},5.0,,Omnivore's Cookbook,30,4 serving(s)
