title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
"Eight Treasure Rice (八宝饭, Chinese Rice Pudding)",Maggie Zhu,https://omnivorescookbook.com/eight-treasure-rice/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2020/01/2001_Eight-Treasure-Rice_550.jpg,"['1 1/2 cups (360 ml) glutinous rice', '2 tablespoons coconut oil ((or shortening))', '1 tablespoon sugar', '4 tablespoons red bean paste', '3 jujubes', '1 tablespoon golden raisins', '1 tablespoon pumpkin seeds', '1/2 tablespoon goji berries', '1 walnut half', '1 cup water', '2 tablespoons sugar', '1 heaping tablespoon dried chrysanthemum buds', '1 teaspoon cornstarch']","Soak rice ahead
Cover the glutinous rice with 2” (5cm) cold water and soak it for a minimum of 3 hours, preferably overnight.
1st steam
Once soaked, drain off the water and rinse the rice a few times.
Prepare your steamer by bringing the water to a boil.
Add the soaked rice into a heat-proof bowl and place it on the steamer rack. Steam, covered, for 30 minutes for overnight-soaked rice, or for 45 minutes for 3-hour-soaked rice. Once done, the rice should be edible, but still quite tough.
Assemble
While steaming the rice, arrange the rice toppings in the base of a wide heat-proof bowl. (*Footnote 2)
Once the rice is steamed, add the coconut oil and sugar. Stir thoroughly until the sugar melts and the rice is evenly coated with oil.
Press the seasoned rice into the bowl with the toppings. Be careful not to disturb the pattern you’ve created. Fill two thirds of the bowl with rice while creating a dent in the middle for the red bean paste.
Add the red bean paste in the middle and use the back of a spoon to flatten it into a thin layer.
Add the rest of the rice and use a spoon to flatten it.
At this stage, you can store the rice, covered with plastic wrap, in the fridge for 1 to 2 days. Follow the rest of the instructions prior to serving.
2nd steam
Place the assembled rice back to the steamer and steam it for an additional 30 minutes.
Syrup
Prepare the syrup while steaming the assembled rice. Combine the water, sugar, and chrysanthemum buds in a small saucepan and heat it over medium heat until boiling. Turn to medium-low heat. Simmer for 10 minutes.
Mix the cornstarch with 1 teaspoon of water until the cornstarch has dissolved completely.
When the chrysanthemum mixture is cooked, pour in the cornstarch slurry. Keep cooking and stirring constantly, until the syrup slightly thickens. Pour the syrup over a strainer into a bowl and discard the chrysanthemum buds.
Serving
When the treasure rice is done steaming, drizzle a few spoons of syrup onto the rice. Let it sit for 10 minutes.
To plate the rice, put a plate over the bowl and flip it in one swift motion. Remove the bowl and pour the remaining syrup over top of it. Serve warm.
Store
The cooked treasure rice can be stored in an airtight container in the fridge for up to 2 days. You can reheat it in the microwave.",en-US,"{'servingSize': '1 serving', 'calories': '284 kcal', 'carbohydrateContent': '52.9 g', 'proteinContent': '5.6 g', 'fatContent': '5.7 g', 'saturatedFatContent': '4.1 g', 'sodiumContent': '4 mg', 'fiberContent': '2.1 g', 'sugarContent': '10.4 g'}",5.0,,Omnivore's Cookbook,65,6 serving(s)
Mango Sago (杨枝甘露),Maggie Zhu,https://omnivorescookbook.com/mango-sago/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2018/04/1804_Mango-Sago_550.jpg,"['1/4 cup (45 g) small tapioca pearls (sago)', '2 big mangoes (, peeled and diced (about 2.2 lbs/ 1kg in total))', '3/4 cup (176 grams) evaporated milk', '1/4 cup sugar or to taste ((Optional))', '1 cup (240 ml) full-fat coconut milk', '1/2 grapefruit (, sliced (Optional))']","Bring 3 cups water to a boil. Add the tapioca pearls. Boil until pearls turn transparent with a small white spot in the middle of each, 12 minutes or so. Stir occasionally. (The cooking time will vary depending on the size of your tapioca pearls. You should always follow the instructions on your package if there are any.)
Immediately strain the cooked tapioca pearls with a fine sieve and rinse them with tap water to stop the cooking. Submerge the sieve with the cooked tapioca into a bowl of tap water to prevent the pearls from drying out. Set aside.
Add half of the mango chunks (I use the ones with imperfect shapes), about 2 cups, into a blender. Add the evaporated milk. Mix at the highest speed until it forms a smooth paste. Taste the paste. Add the sugar (if using) and blend to mix again if it’s not sweet enough.
To assemble, divide and add the tapioca pearls into serving bowls. Top with the mango paste, then add the coconut milk. Top with the mango chunks. Garnish with grapefruit, if using. You can also chill the desserts in the fridge for an hour before serving. Enjoy!",en-US,"{'servingSize': '4 g', 'calories': '340 kcal', 'carbohydrateContent': '42.8 g', 'proteinContent': '5.9 g', 'fatContent': '18.5 g', 'saturatedFatContent': '15 g', 'cholesterolContent': '14 mg', 'sodiumContent': '61 mg', 'fiberContent': '4 g', 'sugarContent': '29.3 g'}",5.0,,Omnivore's Cookbook,30,4 serving(s)
"Dou Fu Nao (豆腐脑, Beijing-Style Tofu Pudding with Gravy)",Maggie Zhu,https://omnivorescookbook.com/dou-fu-nao/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2021/01/201222_Dou-Fu-Nao-Northern-Chinese-Savory-Douhua_550.jpg,"['10 g (about 25) dried lily flower buds ((yields 1/2 cup rehydrated))', '2.5 g (1 tablespoon) dried wood ear mushrooms ((yield 1/4 cup rehydrated))', '5 g (4 to 5) dried shiitake mushrooms', '1 1/2 tablespoon peanut oil', '1/2 teaspoon Sichuan peppercorns ((Optional))', '2 green onions (, sliced and separated)', '8 oz (250 g) ground pork', '1 tablespoon Shaoxing wine', '2 tablespoons light soy sauce', '1 teaspoon dark soy sauce', '1 cup water', '1/2 teaspoon chicken bouillon powder ((or 1/4 teaspoon salt))', '1 tablespoon cornstarch', '2 servings homemade tofu pudding ((or store-bought sundubu tofu))']","Prep
Gently rinse the dried lily flower buds, wood ear mushrooms, and shiitake mushrooms with tap water and transfer them into three bowls. Add 1/2 cup hot water to each bowl to cover. Let soak until tender throughout, 30 minutes or so. Once done, squeeze out the marinating liquid back into the bowls and gently rinse them with tap water again to remove any dust on the surface. Slice the shitake mushrooms. Cut the lily flowers in half. And chop the wood ear mushrooms into small pieces. Reserve the marinating liquid from the shiitake mushrooms and lily flowers for the gravy.
Prepare gravy
Heat 1 tablespoon oil in a large skillet over medium heat. Add the Sichuan peppercorns. Cook, stirring occasionally, until you can smell a strong fragrance and the peppercorns turn darker (but not black). Scoop out the Sichuan peppercorns and discard them (*Footnote 1).
Add the rehydrated lily flowers, shiitake mushrooms, and wood ear mushrooms. Cook, stirring frequently, for 1 minute or so. Be careful, the rehydrated ingredients might cause oil splatter.
Add the white part of the green onion and the ginger. Cook and stir for 30 seconds to release the fragrance.
Move everything to one side of the pan and add the remaining 1/2 tablespoon oil to the other side. Add the ground pork on top of the oil, then use a spatula to spread it out. Let the pork cook for a minute without moving to brown the bottom, then cut it into small pieces.
When the pork is cooked through, pour in the Shaoxing wine and scrape the pan to release any brown bits.
Pour in the light soy sauce and dark soy sauce. Stir to coat well.
Add the water and the reserved 1 cup of soaking water. And the chicken bouillon powder. Bring to a boil, stirring occasionally, and cook for 2 minutes.
Meanwhile, dissolve the cornstarch in 1 tablespoon of water in a small bowl. Pour the cornstarch slurry into the pan. Stir to mix well and let cook until the sauce thickens. Taste the gravy and adjust the seasoning by adding a pinch of salt, if needed.
Serve
To serve, scoop the tofu pudding using a large spoon (the larger and flatter, the better) into two serving bowls. If too much liquid is pooling in the bowl, tilt the bowl carefully to drain off the excess liquid (it’s OK to have some liquid in the bowl). Ladle the gravy on top of the tofu pudding. Serve immediately.",en-US,"{'servingSize': '1 serving', 'calories': '291 kcal', 'carbohydrateContent': '8.2 g', 'proteinContent': '31.3 g', 'fatContent': '14.3 g', 'saturatedFatContent': '3.1 g', 'cholesterolContent': '83 mg', 'sodiumContent': '987 mg', 'fiberContent': '1 g', 'sugarContent': '0.8 g'}",5.0,,Omnivore's Cookbook,55,2 serving(s)
Strawberry Thumbprint Cookies,Maggie Zhu,https://omnivorescookbook.com/strawberry-thumbprint-cookies/,American,https://omnivorescookbook.com/wp-content/uploads/2019/12/1912_Strawberry-Thumbprint-Cookies_550.jpg,"['1/2 cup (115 g) unsalted butter (, softened)', '1/3 cup (70 g) sugar (, )', '1 egg', '1/2 teaspoon vanilla', '1 1/4 cup (200 g) all-purpose flour', '8 oz (225 g) strawberries (, hulled)', '1 cup (130 g) sugar', '4 star anise pods']","(Optional) Make the strawberry anise jam
Combine the strawberries and sugar in a saucepan. Smash the strawberries into the sugar using your hands to release the juices. Add the star anise.
Heat the strawberry mixture over medium-high heat, stirring frequently, until bringing to a boil. Turn to medium-low heat. Let simmer, stirring and mashing regularly, until the strawberries are fully broken down and the jam is thick enough to not run back immediately when stirred, 20 to 30 minutes. You can skim with a spoon to remove the foam, if you want the end result to have an even, bright color.
Transfer the jam to a heat-proof container and let cool completely.
Prepare the cookie dough
Combine the butter and sugar in a big bowl. Whisk with a wooden spatula until the sugar is fully incorporated and fluffy, with a white color, 5 minutes or so. You can also use a handheld mixer for this process.
Add the egg and vanilla. Beat the egg until fully mixed.
Add the flour. Mix until it forms a smooth dough.
Line a baking sheet with parchment paper. Transfer 1 heaping teaspoon of dough into your palm. Roll it into a dough ball with your hands. Place it onto the lined baking sheet. Repeat the process, spacing out the dough balls with 2” (5cm) between them. You might need to bake the cookies in two batches.
Use your finger to gently press the cookie dough balls, one at a time, to form a bowl shape to hold the jam.
Once you form a batch of cookies, let it chill in the fridge for 10 minutes before baking.
Bake
Chill the dough in the fridge for 10 minutes.
Meanwhile, preheat the oven to 350 °F (176 °C).
Bake the cookies for 8 to 10 minutes, until fully cooked through and the edge of the bottom turns light golden. Let cool for 5 minutes. Transfer the cookies onto a cooling rack to cool until they firm up.
Place 1 teaspoon of jam onto the center of each cookie and lightly press it with the spoon. Serve and enjoy!",en-US,"{'servingSize': '1 cookie', 'calories': '48 kcal', 'carbohydrateContent': '6.5 g', 'proteinContent': '0.6 g', 'fatContent': '2.2 g', 'saturatedFatContent': '1.4 g', 'cholesterolContent': '9 mg', 'sodiumContent': '16 mg', 'fiberContent': '0.2 g', 'sugarContent': '3 g'}",-1.0,,Omnivore's Cookbook,42,45 serving(s)
Creamy Red Bean Popsicles (红豆冰棍),Maggie Zhu,https://omnivorescookbook.com/red-bean-popsicles/,,https://omnivorescookbook.com/wp-content/uploads/2017/09/1708_Red-Bean-Popsicles_550.jpg,"['1/2 cup dried red beans ((or 1 1/2 cups cooked, unsweetened red beans))', '1 cup whole milk', '1/2 cup condensed milk']","Add red beans into a medium-sized bowl and add water to cover, at least by 1 inch. Soak until the beans are rehydrated (3 hours at a minimum, up to overnight).
Drain soaked red beans and transfer to a medium-sized pot. Add cold water to cover by 2 inches. Cook over medium high heat until brought to a simmer. Immediately turn to low heat. Simmer covered until the red beans turn tender without breaking apart, about 50 minutes (*Footnote 1). Rinse the red beans with tap water to cool and drain.
(Optional) Separate and save 1/4 cup whole red beans to add into the Popsicles for texture, if desired.
Combine the cooked red beans and milk in a blender (I used a Vitamix). Start at low speed and increase to high, blending for 30 seconds if you like a texture with tiny pieces of crushed beans, and 1 minute for a smoother texture.
Add condensed milk. Start at low speed and increase to medium, blending for 5 seconds, until the condensed milk is just incorporated.
Transfer the mixture into Popsicle molds and place them in the freezer for 30 minutes, until the mixture thickens. Meanwhile, soak the Popsicle sticks in water. (*Footnote 2)
Insert the Popsicle sticks, keeping them as straight as possible. Return the Popsicle molds to the freezer for another 4 to 5 hours, until the Popsicles have solidified.
To remove a Popsicle, run the mold under warm water for 3 to 5 seconds, and then gently pull the Popsicle out and enjoy!",en-US,"{'servingSize': '1 of the 6 Popsicles', 'calories': '158 kcal', 'sugarContent': '16.3 g', 'sodiumContent': '51 mg', 'fatContent': '3.7 g', 'saturatedFatContent': '2.2 g', 'carbohydrateContent': '25.1 g', 'fiberContent': '2.3 g', 'proteinContent': '6.8 g', 'cholesterolContent': '13 mg'}",5.0,,Omnivore's Cookbook,60,6 serving(s)
Chinese Fish En Papillote (Paper wrapped fish in sesame ginger sauce),Maggie Zhu,https://omnivorescookbook.com/chinese-fish-en-papillote/,Chinese inspired,https://omnivorescookbook.com/wp-content/uploads/2021/01/201211_Chinese-Fish-En-Papillote_550.jpg,"['1 (6 oz / 170 g) cod fillet ((or sea bass, or other type of white fish))', '2 to 3 stalks small heads of Chinese broccoli (or baby bok choy, or yu choy, cut into about 8” (20 cm) pieces)', '4 sprigs cilantro', '1 tablespoon toasted sesame oil', '1 ” (2.5 cm) ginger (, julienned)', '1 tablespoon Shaoxing wine ((or dry sherry))', '1 teaspoon soy sauce', '1/4 teaspoon sugar']","Preheat the oven to 400°F (200°C).
In a small saucepan, heat the sesame oil over low heat until it becomes fragrant, about 1 minute. Add the ginger to the pan. Cook and stir for another minute.
Add the Shaoxing wine, soy sauce, and sugar. Raise the heat to medium-low and let the mixture simmer for 1 to 2 minutes. Remove the pan from the heat and set aside.
Cut a piece of parchment paper that is approximately 12x15” (30x38 cm) and fold the longer side in half. Cut the folded paper into a wide half-heart shape. Unfold the paper and now it should look like a heart shape.
You will need to arrange all the ingredients on one side of the heart, leaving enough space on the edges to seal the paper - place the Chinese broccoli in the center of one half of the heart, slightly closer to the fold crease and the rounded top. Drizzle half of the sauce and ginger over the Chinese broccoli.
Lay the fish on top of the Chinese broccoli. Drizzle the remaining sauce and ginger over the fish. Place the sprigs of cilantro on both sides of the fish.
Fold the other half of the heart over the fish side. Starting at the top of the heart where it is rounded into a point, begin folding 1” (2.5 cm) sections towards the center of the package, pressing down well with each fold to seal it.
Once the package is completely sealed, place it onto a baking tray. Bake for 12 minutes.
Remove the baking tray from the oven and let it rest until the parcel cools off a bit, 1 to 2 minutes.
Move the parcel to a large serving plate. Cut open the center of the parcel with a clean pair of scissors or a sharp knife. Serve immediately.",en-US,"{'servingSize': '1 g', 'calories': '334 kcal', 'carbohydrateContent': '19.5 g', 'proteinContent': '31.4 g', 'fatContent': '15.7 g', 'saturatedFatContent': '2.3 g', 'cholesterolContent': '62 mg', 'sodiumContent': '686 mg', 'fiberContent': '5 g', 'sugarContent': '8.3 g'}",5.0,,Omnivore's Cookbook,22,1 serving(s)
Gluten-free Apple Crumble (without oats),Maggie Zhu,https://omnivorescookbook.com/gluten-free-apple-crumble/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2017/10/1709_Gluten-Free-Apple-Crisp_550.jpg,"['2 pounds (900 grams) apples ((about 5 medium sized apples))', '3 tablespoons maple syrup', '3 tablespoons lemon juice', '1 tablespoon cornstarch', '1 cup (100 grams) almond flour', '1/2 cup (100 grams) granulated sugar', '1/2 cup (70 grams) superfine brown rice flour', '2 tablespoons tapioca starch ((or cornstarch))', '1/8 teaspoon salt', '1 stick (100 grams) unsalted butter (at room temperature, chopped)', '3/4 cup (80 grams) slivered blanched almonds', '2 tablespoons finely minced candied ginger ((Optional))', 'Whipped cream', '1 cup heavy cream (, chilled)']","Preheat oven to 350 degrees F (180 C). Adjust two oven racks, one at the top third, and the other one on the bottom third of the oven. Prepare a 9x9 baking dish and lightly grease with butter.
Prepare crumbles
Add almond flour, sugar, brown rice flour, tapioca starch, and salt into a large bowl. Add the chopped butter. Crumble the butter into the dry ingredients with your hands.
Add the slivered almonds and candied ginger. Toss to mix well.
Spread the crumble into a thin layer on a large baking sheet lined with parchment paper. Freeze for 20 minutes. Transfer half of the crumble and freeze it in an airtight container, up to a month (*Footnote 1).
Bake the rest of the crumbles for 12 to 15 minutes (*Footnote 2), until golden brown. Set aside to cool.
Bake apple
Prepare the apple while the crumbs are in the freezer.
Halve the apples, remove the corn, and sliced the apples to 1/8-inch (3-mm) thick pieces.
Add apple, maple syrup, lemon juice and cornstarch to a large bowl. Toss to coat well. Transfer to the prepared dish.
Bake until the apple turns tender, 45 to 50 minutes.
Assemble
Add the cream into a tall bowl. Mix with a hand blender on high speed until soft peaks form.
To serve, portion the baked apple into serving plate, top with the crumbles, with a scoop of whipped cream on the side (*Footnote 3).",en-US,"{'servingSize': '1 of 8 servings', 'calories': '241 kcal', 'sugarContent': '16.7 g', 'sodiumContent': '46 mg', 'fatContent': '15.5 g', 'carbohydrateContent': '24.3 g', 'fiberContent': '2.4 g', 'proteinContent': '2.5 g', 'cholesterolContent': '36 mg'}",-1.0,,Omnivore's Cookbook,75,8 serving(s)
White Chocolate Lemon Cupcakes,Maggie Zhu,https://omnivorescookbook.com/white-chocolate-lemon-cupcakes/,Japanese,https://omnivorescookbook.com/wp-content/uploads/2017/09/1709_White-Chocolate-Lemon-Cupcakes_550.jpg,"['190 grams all-purpose flour', '1 1/2 teaspoons baking powder', '1/2 teaspoon salt', '1 1/2 cups (226 grams) white chocolate bar or chips (, chopped)', '1 stick (113 grams) unsalted butter', '1/2 cup (120ml) lemon juice', '1/3 cup (80ml) milk', '1/2 cup (100 grams) granulated sugar', '4 large eggs (, at room temperature)', '1 tablespoon vanilla extract', '1 1/2 cups heavy whipping cream (, chilled (*Footnote 1))', '1/3 cup (50 grams) white chocolate bar or chips (, chopped)', 'Confectioners’ sugar for dusting', 'Strawberries (blueberries, or blackberries for garnish)']","Cupcakes
Preheat the oven to 350 degrees F (177 C). Line 12 cupcake tins with paper liners.
Combine flour, baking powder, and salt in a medium bowl. Stir to mix well.
Prepare an electric mixer and set it aside. Create a double boiler by choosing a medium and a small pot, so you can stack the small one into the medium pot. Add water to the medium pot to the height that covers the bottom of the small pot. Bring water to a simmer. Add white chocolate, butter, lemon juice, and milk to the small pot. Dip the bottom of the small pot into the simmering water. Whisk and cook until the ingredients are melted and combined. Remove the small pot from the water and place it on a working surface. Immediately add the granulated sugar into the small pot, and whisk at low speed with an electric mixer until the sugar is fully incorporated.
Add the eggs, one at a time. Whisk to mix well.
Add the vanilla extract. Whisk to mix well.
Gradually add the dry mixture, mix until just incorporated.
Fill the lined cupcake tins with the batter until almost full. Bake for 17 to 20 minutes, until a toothpick inserted into the center comes out clean.
Transfer to a cooling rack to cool down completely. You can make the cupcakes a day ahead and store them in a container at room temperature.
Cream frosting
Add chocolate and 1/2 cup heavy cream into a medium-sized bowl. Microwave in 30-second increments, until the chocolate is melted and starts to release the yellow cocoa butter, about 1 minute in total. Whisk until the white chocolate is fully dissolved, 2 to 3 minutes. Seal the bowl with plastic wrap and store it in the fridge until the mixture is chilled, 3 to 4 hours.
When you’re ready to serve, combine the white chocolate mixture with the remaining 1 cup chilled heavy cream in a large tall bowl. Whisk on high speed until stiff peaks just form.
To assemble, spoon some white chocolate cream onto the cupcakes and garnish with berries. Serve with the rest of the frosting on the side.
The cupcakes will hold up at room temperature for a day or two, and in the fridge for 4 to 5 days. Always store the frosted cupcakes in an airtight container in the fridge. Let them rest at room temperature for 20 to 30 minutes before serving, to bring the texture back to life.",en-US,"{'servingSize': '1 cupcake', 'calories': '304 kcal', 'sugarContent': '24.5 g', 'sodiumContent': '186 mg', 'fatContent': '21 g', 'saturatedFatContent': '12.6 g', 'carbohydrateContent': '25.2 g', 'fiberContent': '0.3 g', 'proteinContent': '4.1 g', 'cholesterolContent': '103 mg'}",-1.0,,Omnivore's Cookbook,35,16 serving(s)
Ginger Creme Brulee,Maggie Zhu,https://omnivorescookbook.com/ginger-creme-brulee/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2017/08/1708_Ginger-Creme-Brulee_550.jpg,"['1 cup (240 ml) whole milk', '3/4 cup (180 ml) heavy whipping cream', '1/2 thumb (15g) ginger (, peeled and sliced)', '6 (110 g) large egg yolk', '1/4 cup (70 g) caster sugar (, and more for caramelizing)', '1/8 teaspoon salt', '1 cup blueberries', '1/2 cup blackberries']","Custard
Preheat oven to 300 degrees F (150 C). Bring a kettle of water to a boil, keep covered and sit on lowest heat to keep warm. Place eight 2.7-oz. (80ml) or four 6-oz (177-ml) ramekins (or heatproof jars) into a deep baking tray.
Add milk, cream, and ginger into a small saucepan. Cook over medium heat until almost simmering. Immediately remove the pan from the stove. Let steep for 15 minutes to allow the ginger to infuse. Remove ginger using a slotted spoon and discard. Cook the mixture again until it almost reaches a simmer.
While heating the cream mixture (after you've done infused the ginger), combine egg yolks and sugar in a medium-sized mixing bowl. Mix until the sugar is just incorporated.
Slowly pour about 1/2 cup of the heated cream mixture into the egg yolks and whisk until fully mixed. This step will bring the egg yolk toward the temperature of the hot liquid, so it won’t be cooked into solid egg when you add the rest of the cream.
Add the rest of the cream mixture while whisking, until everything is fully mixed. Pour the mixture over a strainer into a milk pan to remove any extra bits of ginger. Use a spoon to remove the foam from the surface and discard.
Pour the custard mixture into the ramekins until each of them is 80% filled.
Place the baking tray into the preheated oven. Then pour the hot water into the baking tray, until it fills half way up the height of the ramekins.
Bake until the mixture is just set, about 25 to 30 minutes. (*Footnote 1)
Remove the ramekins from the water bath using a spatula and transfer them onto a cooling rack. Let cool to room temperature, for about 1 hour. Then seal the ramekins with plastic wrap (or cover the jars with lids) and store them in the fridge for at least 1 hour, up to overnight, before serving. The custard will stay good for 3 to 4 days in the fridge, but freshly made ones taste the best.
Sprinkle 1/4 teaspoon over each chilled custard. Shake the ramekin gently so the surface is evenly covered. Light up your kitchen torch, then cook the sugar by positioning the torch at a 45-degree angle, about 6 inches (15-cm) from the sugar. Move your torch back and forth slowly so it heats up the sugar evenly and does not create any burned spots. When the sugar starts bubbling and melting and some spots turn light brown, stop the torch. The sugar will continue to cook a bit more and then set, forming a uniform golden brown crust.
If desired, garnish the creme brulees with fresh berries and serve!",en-US,"{'servingSize': '1 serving of the 10 servings', 'calories': '122 kcal', 'sugarContent': '8.7 g', 'sodiumContent': '25 mg', 'fatContent': '8.2 g', 'carbohydrateContent': '9.5 g', 'proteinContent': '3.3 g', 'cholesterolContent': '175 mg'}",4.67,,Omnivore's Cookbook,60,10 serving(s)
Black Rice with Coconut Milk and Fruits,Maggie Zhu,https://omnivorescookbook.com/recipes/black-rice-with-coconut-milk-and-fruits/,Thai,https://omnivorescookbook.com/wp-content/uploads/2019/07/Black-Rice-with-Coconut-Milk-and-Fruits-550.jpg,"['150 grams (5 ounces) black rice', '8 chestnuts (, cooked (Optional))', '4 tablespoons sugar', '1 can (270 milliliter / 9 ounces) coconut milk', '10 ice cubes ((*see footnote 1))', '2 small mangos (, cubed (*see footnote 2))', '8 strawberries (, sliced)', '4 kiwis (, sliced)']","Rinse and drain black rice. Put rice into a rice cooker, add 300 milliliters (10 ounces) water, and proceed to cook it as you would cook white rice.
After the rice is cooked, transfer it to a large bowl. Add 2 tablespoons of sugar and mix well (You can sweeten according to your preference by using more or less sugar). Use a pestle or muddle to crush and grind the rice until it becomes sticky and easy to shape. Set aside to cool.
Combine coconut milk, ice cubes and the remaining 2 tablespoons of sugar in a food processor (or blender) and mix until the ice is blended well (In a hot summer day, I intentionally leave some shaved ice pieces to increase a cool mouthfeel). Divide the coconut milk evenly among 4 small bowls.
Use an ice cream scoop to shape the black rice into balls. Add one ball of rice to each bowl of coconut milk.
Garnish with sliced fruits and serve immediately.",en-US,"{'servingSize': '268 g', 'calories': '406 kcal', 'carbohydrateContent': '67 g', 'proteinContent': '6.5 g', 'fatContent': '16.1 g', 'saturatedFatContent': '12.7 g', 'sodiumContent': '13 mg', 'fiberContent': '7.3 g', 'sugarContent': '30.5 g'}",4.0,,Omnivore's Cookbook,50,4 serving(s)
