title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
Shrimp and Snow Peas,Maggie Zhu,https://omnivorescookbook.com/shrimp-and-snow-peas/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2020/05/200424_Shrimp-And-Snow-Peas_550.jpg,"['1 lb (450 g) shrimp (, peeled and deveined)', '1/4 cup frozen peas ((Optional))', '2 teaspoons Shaoxing wine ((or dry sherry))', '1/4 teaspoon salt ((*Footnote 1))', '2 teaspoons cornstarch', '2 tablespoons oyster sauce', '1 tablespoon soy sauce', '1/2 cup chicken stock ((or vegetable stock))', '1/2 teaspoon rice vinegar', '1/2 teaspoon sugar', '1/8 teaspoon white pepper ((or black pepper))', '2 teaspoons cornstarch', '1 1/2 tablespoons peanut oil', '8 oz (225 g) snow peas (, cleaned and strings removed)', '2 ” (5 cm) ginger (, julienned)']","Combine the shrimp and the marinade ingredients in a medium-size bowl. Mix well with your hands and set aside while you prepare the rest of the ingredients.
Combine the sauce ingredients in a small bowl. Stir to mix well.
In a large carbon steel skillet (or non-stick pan) heat 1 tablespoon of oil over medium-high heat until hot. Add the shrimp and spread it into a single layer. Cook undisturbed until the bottom is cooked, 1 minute or so. Flip to cook the other side. Stir a few times until the shrimp are not translucent any more and are fully curled. Transfer them to a large plate.
Add the remaining 1/2 tablespoon of oil and the ginger. Stir a few times to release the fragrance.
Spread out the snow peas in the pan into a single layer with minimal overlapping. Let cook for 30 seconds without touching, until the bottom browns slightly. Flip to cook the other side for 30 seconds or so, until the snow peas begin to soften.
Add the cooked shrimp back into the skillet. Stir the sauce again to dissolve the cornstarch completely and pour it into the pan. Add the frozen peas (if using). Stir and cook until the sauce is fully thickened. Transfer everything to a serving plate.
Serve hot over rice.",en-US,"{'servingSize': '1 serving', 'calories': '261 kcal', 'carbohydrateContent': '223 g', 'proteinContent': '27.9 g', 'fatContent': '9 g', 'saturatedFatContent': '1.8 g', 'cholesterolContent': '223 mg', 'sodiumContent': '830 mg', 'fiberContent': '3.2 g', 'sugarContent': '6.4 g'}",5.0,,Omnivore's Cookbook,20,2 serving(s)
Costa Rican Style Roast Fish,Omnivore's Cookbook,https://omnivorescookbook.com/baked-costa-rican-style-fish-with-black-beans-and-rice/,Caribbean,https://omnivorescookbook.com/wp-content/uploads/2018/01/Caribbean-style-tilapia.jpg,"['300 g fish fillet (tilapia, bass, or catfish)', '2 tablespoon freshly squeezed orange juice', '1 tablespoon freshly squeezed lime or lemon juice', '1 tablespoon vegetable oil', '1 tablespoon fresh cilantro (or 1 teaspoon dried cilantro)', '1 clove garlic (minced)', '1/2 teaspoon sugar', '1 teaspoon salt', 'grounded black pepper', 'vegetable oil', '2 cup cooked rice', '1/2 cup salsa', '1/2 cup cooked black beans (or canned beans)', 'handful of fresh cilantro']","Add fish and all the ingredients for marinate into a large bowl, marinate fish for 20 minutes.
Preheat oven to 200C (400F). Place aluminum foil on baking rack, fold the 4 corners so the foil will shape like a tray. Brush a thin layer of vegetable oil, add marinated fish and all the liquid on the aluminum foil. Bake for 15 minutes till fish is half done. Take fish out of oven to chill down a bit.
Line a square baking pan with aluminum foil. Add rice in baking pan and spread rice evenly on the foil, top with salsa, black beans, half of cilantro, cooked fish and the remaining liquid. Bake under 200C (400F) till fish is done, in about 10-15 minutes.
Garnish with the rest cilantro and serve during hot.",en-US,{},-1.0,,Omnivore's Cookbook,60,2 serving(s)
15-Minute Chicken Chow Fun (Chicken Fried Rice Noodles),Maggie Zhu,https://omnivorescookbook.com/chicken-chow-fun/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2018/10/1809_Chicken-Chow-Fun_800.jpg,"['8 oz (225 grams) dried rice noodles', '1 chicken breast ((or 2 boneless skinless thighs, sliced into 1/8-inch (1/3-cm) thick pieces))', '1/4 cup Lee Kum Kee Premium Oyster Sauce', '2 tablespoons Shaoxing wine ((or dry sherry))', '1 1/2 tablespoons light soy sauce ((or soy sauce))', '1/2 tablespoon dark soy sauce ((or soy sauce))', '1 teaspoon cornstarch', '1 teaspoon sugar', '1 tablespoon sesame oil', '1/4 teaspoon ground black pepper', '3 to 4 tablespoons peanut oil ((or vegetable oil) (*Footnote 1))', '4 green onions (, chopped)', '1 tablespoon garlic (, minced)', '2 teaspoons ginger (, minced)', '1 handful bean sprouts ((about 2 cups loosely packed))', '1/2 bell pepper']","Soak the rice noodles according to the instructions until cooked through, but still a bit chewy inside. Once done soaking, rinse rice noodles with cold water and drain.
Prepare the remaining ingredients while soaking the rice noodles. Mix all the sauce ingredients together in a bowl. Transfer 2 tablespoons of the mixed sauce into the bowl with the sliced chicken. Stir to mix well. Let marinate for 5 minutes while chopping the other ingredients.
Heat 1 tablespoon oil in a large nonstick skillet over medium-high heat until hot. Spread the chicken in the skillet in a single layer. Cook until the bottom side turns golden brown, about 1 minute. Flip and cook the other side until browned, 30 seconds to 1 minute. Transfer the chicken to a plate immediately.
In the same skillet, add 1 tablespoon of oil and turn to medium heat. Add the green onion, garlic, and ginger. Stir constantly until you can smell a strong fragrance, 15 seconds.
Toss the cooked noodles again and add them into the skillet. Add the remaining 1 tablespoon of oil onto the noodles. Use a pair of tongs to toss the noodles with oil. If the noodles start to get sticky, swirl in 2 tablespoons of water.
Add the bean sprouts and bell pepper into the skillet. Pour in the mixed sauce. Immediately use a pair of tongs to toss and mix everything, until the sauce is absorbed by the noodles. Add the cooked chicken and give it a final toss. Turn off heat and transfer everything to serving plates immediately.
Serve hot as a main.",en-US,"{'servingSize': '4 g', 'calories': '314 kcal', 'carbohydrateContent': '27.7 g', 'proteinContent': '17.6 g', 'fatContent': '15.7 g', 'saturatedFatContent': '2.3 g', 'cholesterolContent': '36 mg', 'sodiumContent': '674 mg', 'fiberContent': '1.4 g', 'sugarContent': '4.3 g'}",5.0,,Omnivore's Cookbook,15,2 serving(s)
Vegetarian Mapo Tofu,Maggie Zhu,https://omnivorescookbook.com/vegetarian-mapo-tofu/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2018/10/1810_Vegetarian-Mapo-Tofu_800.jpg,"['2 tablespoons fermented black beans', '2 tablespoons Doubanjiang (spicy fermented bean paste)', '1 teaspoon Chinese chili flakes', '1/4 teaspoon ground Sichuan peppercorns', '2 to 3 tablespoons peanut oil ((or vegetable oil))', '2 green onions (, chopped)', '1 tablespoon ginger (, minced)', '2 cloves garlic (, minced)', '2 cups vegetable stock', '1 (450-g / 16-oz) block medium-firm or firm tofu (, cut into 1/2-inch (1.5-cm) cubes)', '1/2 lb (225 g) mushrooms (, sliced)', '1/8 teaspoon five-spice powder', '1 teaspoon sugar or to taste', '1 tablespoon cornstarch', 'Homemade chili oil (, for garnish (Optional))']","Add fermented black beans to a small bowl. Add water to cover, gently rub a few times with your fingers, and drain well. Use the back of a small spoon to smash the beans into smaller bits. Add the doubanjiang, chili flakes, and Sichuan peppercorns to the same bowl.
Heat 2 tablespoons oil in a large skillet over medium heat until warm. Add green onion, ginger, and garlic. Stir a few times to release the fragrance.
Add the spice mix from step 1. Cook and stir for 1 to 2 minutes, until the paste is cooked through and very fragrant. If the paste starts to stick to the pan, add a bit more oil or some vegetable broth and use your spatula to release any stuck bits.
Add the mushrooms. Cook and stir for 2 minutes or so, until the mushrooms are evenly coated with the spices. Add a bit of vegetable broth if it start to stick.
Add the vegetable stock, five spice powder, and sugar. Stir to mix well and bring to a simmer.
Spread the tofu in the broth in a single layer. Turn to low heat and simmer for 10 to 15 minutes or so.
Whisk cornstarch with 3 tablespoons water until completely dissolved. Swirl half of the mixture into the tofu, stirring gently with a spatula. Add more until the sauce reaches the desired consistency. Taste a piece of tofu with some sauce. Add more sugar to balance the taste if it is too spicy for you. Transfer everything to a big plate.
(Optional) If you want your dish to look like the authentic mapo tofu in Sichuan, swirl in a few tablespoons of homemade chili oil at the end of the cooking, to give the sauce a beautiful red color.
Serve over steamed rice as a main.",en-US,"{'servingSize': '4 g', 'calories': '198 kcal', 'carbohydrateContent': '13.1 g', 'proteinContent': '12.3 g', 'fatContent': '12.1 g', 'saturatedFatContent': '2.2 g', 'sodiumContent': '365 mg', 'fiberContent': '2.7 g', 'sugarContent': '6.2 g'}",5.0,,Omnivore's Cookbook,30,4 serving(s)
Original Shanghai Scallion Oil Noodle (Cong You Ban Mian),Maggie Zhu,https://omnivorescookbook.com/scallion-oil-noodle/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2018/01/1701_Shanghai-Scallion-Oil-Noodle_006.jpg,"['1 pound (400 g) Chinese noodles (, dried (*footnote 1))', '1/4 cup oil ((peanut oil, vegetable oil, or grapeseed oil))', '8 green onions (, chop into 2-inch pieces)', '2 tablespoons light soy sauce ((or soy sauce))', '2 tablespoons dark soy sauce ((or soy sauce))', '2 teaspoons sugar']","Add oil to a sauce pan (or a wok) and heat over medium heat until wam. Add green onions. Cook and stir until the green onions turn brown. Remove the green onions with a pair of tongs and place in a bowl, save for later. If you are using pre-made scallion oil, heat 1/4 cup oil over medium heat until warm.
Add light soy sauce, dark soy sauce, and sugar into the pan with the scallion oil. Cook until it starts to simmer. Stir to mix well and turn off heat.
Bring a large pot of water to a boil. Cook noodles according to instructions. Once cooked, drain noodles and transfer to serving plates.
To serve the noodles alone, add a few spoonfuls of the noodle sauce into each serving bowl and garnish with fried green onions. Serve the noodles with the rest of the sauce on the side. Mix the noodles with sauce before eating. Add more sauce if needed.
To serve the noodles with a topping, add a few spoonfuls of the noodle sauce into the noodles, mix well with a pair of tongs. Taste the noodles and add more sauce if needed. Transfer noodles into each serving bowl and add the topping (see recipe below). Serve with the rest of the toppings on the side.",en-US,{},5.0,,Omnivore's Cookbook,20,4 serving(s)
Easy Singapore Noodles (星洲炒米粉),Maggie Zhu,https://omnivorescookbook.com/singapore-noodles/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2018/06/1806_Singapore-Noodles_550.jpg,"['4 oz (110 g) dried rice noodles', '(Optional) chopped cilantro for garnish', '2 tablespoons Shaoxing wine ((or dry sherry))', '1 tablespoon soy sauce', '1 tablespoon curry powder ((use 2 teaspoons for a less spicier dish))', '1 teaspoon salt', '1/2 teaspoon sesame oil', '1/2 teaspoon sugar', '1/8 teaspoon white pepper', '2 tablespoons peanut oil ((or vegetable oil))', '2 large eggs (, beaten)', '1/2 lb (225 g) shrimp, peeled and deveined', '1/2 lb (225 g) ground meat (or sliced char siu, or sliced ham)', '1/2 small onion (, sliced)', '2 cloves garlic (, minced)', '2 teaspoons minced ginger', '1 bell pepper (, thinly sliced)']","Place vermicelli noodles in a large bowl and cover with boiling water. Soak according to package instructions. Once done, drain and set aside.
Combine the sauce ingredients in a small bowl. Stir to mix well.
Heat 1/2 tablespoon oil in a large nonstick skillet and heat over medium-high heat. Add the eggs. Cook and stir to scramble the eggs until just cooked through. Transfer to a plate.
Add the remaining 1/2 tablespoon oil and ground pork. Cook and break up the pork, until cooked through. Transfer pork to the plate with the egg.
Add the remaining 1 tablespoon oil, onion, garlic, and ginger. Cook and stir for 2 to 3 minutes, until the onion just starts to turn soft. Add the shrimp and the bell pepper. Cook and stir until the shrimp turn pink.
Add the noodles and the sauce mixture. Add back the cooked shrimps and egg. Toss with a pair of tongs to mix everything together. Transfer to serving plates immediately.
Garnish with cilantro, if using. Serve hot as a main dish.",en-US,"{'servingSize': '2 g', 'calories': '739 kcal', 'carbohydrateContent': '67.7 g', 'proteinContent': '57.2 g', 'fatContent': '25.9 g', 'saturatedFatContent': '5.9 g', 'cholesterolContent': '428 mg', 'sodiumContent': '1590 mg', 'fiberContent': '3.5 g', 'sugarContent': '9.5 g'}",4.86,,Omnivore's Cookbook,30,2 serving(s)
Authentic Chinese Steamed Fish,Maggie Zhu,https://omnivorescookbook.com/recipes/authentic-chinese-steamed-fish/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2014/10/1409_Authentic-Chinese-Steamed-Fish_003.jpg,"['550 grams (20 ounces) head-on sea bass ((tilapia, flounder, or other fish with white flesh, scaled, gutted (*see footnote 1))', '1 and 1/2 pieces thumb sized ginger (,1 thumb sliced, 1/2 thumb julienned (see footnote 2))', '1 cup green onion (, chopped (6 centimeters /2.5 inches in length))', '2 tablespoons Shaoxing wine', '1 teaspoon sesame oil', '1 tablespoon peanut oil ((or vegetable oil))', '2 dried chili peppers', '1/2 teaspoon Sichuan peppercorn', '2 tablespoons seasoned soy sauce for seafood']","Before cooking, wash the fish thoroughly and drain. Place the fish in a mesh colander at room temperature for 30 minutes to 1 hour, until completely dry. (Or dry by pressing the fish with a paper towel).
Place a quarter of the green onions on a plate large enough to hold the entire fish. The green onions will hold the fish so it won’t stick to the plate when cooked.
Stuff ginger slices and a quarter of the green onions (white part) into the cavity of the fish. Rub both sides of the fish with sesame oil. Cover the fish with another quarter of the green onions. Pour Shaoxing wine over the fish.
In a large, deep skillet (or steamer or wok), add half an inch of water and place a steaming basket upside down (or heat resistant colander or strainer) in the middle (see footnote 3). Cover and bring water to a boil over high heat. Carefully place the plate holding the fish onto the steaming basket, cover and steam over high heat for 5 to 8 minutes, until you can easily pull the flesh from the bone with a fork. Stop heat immediately. Carefully use a spatula to transfer the fish to another large plate. Use chopsticks to remove the ginger and green onion from inside and above the fish, and discard the used ginger and onion.
Spread the remaining ginger strips and green onions on top of the fish and set aside. Make sure the seasoned soy sauce is ready beside the fish.
In a wok or small skillet, heat oil over medium high heat. When the oil is warm, break chili peppers and add them, with the Sichuan peppercorns, into the oil. Stir with a spatula until fragrant, about 40 seconds. Turn to lowest heat, carefully use a ladle to scoop out the chili pepper and peppercorn, and discard them. Immediately use a ladle to drizzle the hot oil over the fish. You should hear the sizzling of the oil when it touches the fish. Immediately pour the seasoned soy sauce onto the fish.
Serve warm. The fish won’t hold sauce very well, so make sure you dip the fish meat into the sauce from the plate when eating. If the fish is not salty enough, you can add more seasoned soy sauce as you eat, according to your preference (see footnote 4).",en-US,"{'servingSize': '326 g', 'calories': '353 kcal', 'carbohydrateContent': '5.5 g', 'proteinContent': '47.9 g', 'fatContent': '14.7 g', 'saturatedFatContent': '2.6 g', 'cholesterolContent': '99 mg', 'sodiumContent': '625 mg', 'fiberContent': '1.6 g', 'sugarContent': '1.6 g'}",5.0,,Omnivore's Cookbook,30,2 serving(s)
Thai-Style Salmon Curry,Maggie Zhu,https://omnivorescookbook.com/thai-salmon-curry/,Thai,https://omnivorescookbook.com/wp-content/uploads/2020/06/200506_Thai-Style-Salmon-Curry_500.jpg,"['1 lb (450 g) salmon (, skin on & cut into 4 fillets)', 'Pinch of salt', '1 teaspoon vegetable oil', '2 teaspoons vegetable oil', '3 tablespoons green curry paste ((*Footnote 1))', '1 can (13.5 oz/ 382 g) coconut milk', '1/2 cup chicken stock', '1 tablespoon fish sauce', '2 teaspoons sugar', '1 cup green beans (, trimmed and cut in half)', '1 small Japanese eggplant (, halved & cut into half-inch chunks)', '6 basil leaves (, sliced)']","In a large skillet or a wide saucepan add the 2 teaspoons of oil and heat over medium heat until warm. Add the curry paste. Cook and stir to release the fragrance, about 1 minute.
Add the coconut milk, chicken stock, fish sauce, and sugar. Stir to combine everything. Taste the mixture and adjust the fish sauce and sugar to your preference. (*Footnote 1)
Bring the broth to a boil, then lower the heat to medium-low to reduce it to a simmer. Cook until the curry is mostly thickened, 10 minutes.
While the broth simmers, sprinkle a pinch of salt evenly onto both sides of the salmon. Add the remaining 1 teaspoon of oil to a separate pan over high heat until it is just smoking. Place the salmon, skin-side-down into the hot pan. Cook until the skin is brown and crisp, about a minute. Once done, transfer the salmon to a big plate and set it aside.
Once the broth is reduced, add the green beans and eggplant. Stir to mix well. Continue to simmer for another 4 minutes.
Arrange the vegetables to create 4 wells, about the size of the fillets. Place the cooked salmon skin-side-up in the wells. Simmer for another 2-3 minutes, until the salmon is just cooked through.
Remove the pan from the heat and add the basil leaves.
Serve hot over steamed rice as a main dish.",en-US,"{'servingSize': '1 serving', 'calories': '430 kcal', 'carbohydrateContent': '14.4 g', 'proteinContent': '21.3 g', 'fatContent': '34.1 g', 'saturatedFatContent': '21.7 g', 'cholesterolContent': '40 mg', 'sodiumContent': '870 mg', 'fiberContent': '3.9 g', 'sugarContent': '6.6 g'}",5.0,,Omnivore's Cookbook,23,4 serving(s)
Curry Laksa,Omnivore's Cookbook,https://omnivorescookbook.com/recipes/curry-laksa/,Malaysia,https://omnivorescookbook.com/wp-content/uploads/2018/01/Curry-Laksa-3.jpg,"['12 - 15 medium sized shrimp', '1 small onion (coarsely chopped)', '2 large cloves garlic (chopped)', '1/2 thumb ginger (sliced)', '1 piece dried lemon grass (cut into small pieces)', '4 tablespoons curry powder (I used Curry Masala and Garam Masala)', '2 tablespoons vegetable oil', '1 chicken breast (thinly sliced to bite sized pieces)', '1 teaspoon cornstarch', '2 handfuls bean sprouts', '8 ounces 225 grams fresh noodles', '1 cup coconut milk', '2 handfuls fried tofu cubes (halved)', '1 cucumber (sliced)', 'salt to taste', 'cilantro to garnish']","Peel and devein shrimp, place them in a bowl, and set aside. Save the heads, legs, and skins.
Add shrimp heads, legs, and skins into a separate pot. Add 4 cups water to that pot and bring to a boil over medium heat. Cover and simmer for 20 to 30 minutes. Filter the shrimp broth with a colander or sieve as you pour it into a large bowl. Set aside. Discard the shrimp heads, legs, and skins.
Combine onion, garlic, ginger, and lemon grass in a food processor. Blend until everything is mixed well with a smooth texture. Add the mixture and curry powder into a bowl and mix with a fork to form a thin paste.
Heat 1 tablespoon oil in a pot over medium heat. Add the paste from step 3 and stir constantly until fragrant, 3 to 4 minutes. Add shrimp soup from step 2. Bring the soup to a boil. Turn to low heat, cover, and simmer for 20 minutes. Add more water if the soup gets too thick.
Add shrimp to the curry soup and cook for 2 to 3 minutes, until shrimp is fully curled and turns pink. Scoop shrimp out with a slotted spoon and place in a small bowl.
Lightly season chicken with salt. Add cornstarch to chicken and mix well with a fork. Heat the remaining 1 tablespoon oil in a nonstick skillet. When oil is hot, spread chicken in the skillet and saute over medium high heat until the bottom side turns golden brown. Flip to cook the other side until chicken is cooked through. Turn off heat and transfer chicken to a bowl.
Bring a large pot of water to boil. Add bean sprouts and boil for about 30 seconds, then transfer sprouts to a plate with a colander or strainer.
In the same pot, add noodles and cook according to the instructions. Drain noodles with strainer and set aside.
Add coconut milk to the curry soup. When the soup comes to a boil, add fried tofu and simmer for another 3 to 4 minutes.
Add soup and noodles evenly into three large bowls. Top with tofu, shrimp, chicken, cucumber and bean sprouts. Garnish with cilantro.
Serve immediately.",en-US,{},-1.0,,Omnivore's Cookbook,60,2 serving(s)
Fresh Winter Black Truffles Risotto,Omnivore's Cookbook,https://omnivorescookbook.com/fresh-winter-black-truffles/,Italian,https://omnivorescookbook.com/wp-content/uploads/2018/01/Fresh-Winter-Black-Truffle-0.jpg,"['2 tablespoon olive oil', '1/2 small white onion (chopped)', '200 grams 7 oz. Arborio rice', '100 milliliter 3.4 oz. dry white wine', '2 1/2 cup chicken broth', '2 1/2 cup mushroom broth', '30 - 40 grams 1 - 1.5 oz. winter black truffle, thinly sliced', '50 grams 1.8 oz. parmesan cheese, grated', 'salt and pepper to taste', '4 - 5 slices winter black truffle for garnish']","In a small pot, mix chicken broth and mushroom broth and heat till slightly boil, turns to lowest heat to keep the broth warm.
Heat olive oil in a non-sticky skillet on medium high heat, add white onion, saute until onion is soft and turns translucent, in about 3 minutes. Add Arborio rice, keep stir till rice is mixed well with oil and onion, in 1 to 2 minutes. Add dry white wine and saute until wine is evaporated.
Add 1 cup chicken mushroom mixture broth, keep stir the rice constantly, till the broth is well absorbed. Add rest of broth, 1 cup at a time, and repeat, till the rice is cooked, but still a bit chewy inside, in about 15 minutes. Add final cup of broth and truffle slices, and give it a final stir. Stop heat, add parmesan cheese, salt and pepper to taste.
Garnish with truffle slices and serve immediately.",en-US,{},5.0,,Omnivore's Cookbook,40,2 serving(s)
