title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
Chinese 4-Ingredient Fried Cabbage,Maggie Zhu,https://omnivorescookbook.com/fried-cabbage/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2014/02/1607_4-Ingredient-Cabbage-Stir-Fry_002.jpg,"['1 1/2 tablespoon peanut oil ((or vegetable oil))', '1 teaspoon Sichuan peppercorns', '2 dried chili peppers', '1/2 small head cabbage (, chopped)', '3/4 teaspoon salt', '1 teaspoon soy sauce ((or tamari for gluten free))']","Heat a wok or large skillet over medium high heat until hot. Add oil and peppercorns. Stir until the peppercorns become fragrant and turn dark brown. Turn the heat right down and scoop the peppercorns out with a spatula and put aside for later. (*footnote 1).
Turn the heat back to medium high and add the chili peppers and cabbage. Immediately stir with spatula for 30 seconds. You should hear a vibrant sizzle. Add the salt. Keep stirring until the the edges are lightly charred and the leaves turn soft, 2 to 3 minutes.
Turn to medium low heat, drizzle soy sauce over the cabbage and stir a few times to mix everything well.
Serve warm.",en-US,"{'servingSize': '1 serving', 'calories': '53 kcal', 'carbohydrateContent': '5.3 g', 'proteinContent': '1.2 g', 'fatContent': '3.5 g', 'saturatedFatContent': '0.7 g', 'sodiumContent': '529 mg', 'fiberContent': '2.2 g', 'sugarContent': '2.9 g'}",4.93,,Omnivore's Cookbook,10,4 serving(s)
Teriyaki King Oyster Mushroom,Maggie Zhu,https://omnivorescookbook.com/recipes/teriyaki-king-oyster-mushroom/,"Asian,Chinese",https://omnivorescookbook.com/wp-content/uploads/2015/04/1503_Teriyaki-King-Oyster-Mushroom_004.jpg,"['2 (14 oz. / 400 grams in total) large king oyster mushrooms', '2 tablespoons light soy sauce ((or soy sauce, or tamari for gluten-free))', '2 tablespoons Japanese sake', '2 teaspoons sugar', '2 tablespoons peanut oil', '2 tablespoons onion (, chopped)', 'Toasted sesame seeds for garnish ((optional))', '2 servings steamed white rice (, to serve with)']","Halve king oyster mushroom lengthwise, then slice into 4mm (slightly more than 1/8 in, double the thickness of a 1-dollar coin) thick slices. Transfer to a big plate.
Combine light soy sauce, Japanese sake, and sugar in a small bowl. Mix well.
Use a dining spoon to distribute the sauce over the mushrooms. Mix with chopsticks until the mushrooms are evenly covered with the sauce. Marinate for 15 minutes.
Add 1 tablespoon peanut oil to a nonstick skillet and heat over medium high heat until warm. Add 2 teaspoons green onion and stir a few times.
Cook mushrooms in batches. Spread them across the skillet without overlapping them. Save the marinating liquid for later use.
Let mushrooms grill without stirring them. When the skillet gets hot, turn to medium heat (or low heat if the skillet starts to smoke). When the bottom side turns golden, flip with chopsticks (or tongs) to grill the other side. Keep grilling and flipping, until both sides turn golden brown, with slightly charred edges. The process took me 8 minutes, but your cooking time will vary depending on the type of stove you’re using. Transfer the mushrooms to a plate and set aside.
Add the remaining 1 tablespoon of oil and 2 teaspoons of green onion. Continue to cook the remainder of the mushrooms. The cooking process will be shorter this time, since the skillet is quite hot already. Adjust heat between low and medium to cook the mushrooms slowly, with the skillet remaining hot. The mushrooms should be slightly charred and dehydrated without getting burnt. (I cooked two batches with a 9"" / 24 cm skillet. You might need to cook more (or fewer) batches depending on the amount of mushrooms and the size of your skillet. Be sure to adjust the amount of oil accordingly.
When the last batch of mushrooms is cooked, add the previous batch(es) back into the skillet.
Pour the marinade over the mushrooms. Keep cooking over medium low heat until the liquid is absorbed, 2 to 3 minutes.
Place the mushrooms onto the steamed rice. Garnish with the remaining 2 teaspoons of green onion and the sesame seeds.
Serve hot over steamed rice.",en-US,"{'servingSize': '128 g', 'calories': '120 kcal', 'carbohydrateContent': '11.3 g', 'proteinContent': '0.6 g', 'fatContent': '7.3 g', 'saturatedFatContent': '1.1 g', 'sodiumContent': '531 mg', 'fiberContent': '1.1 g', 'sugarContent': '5.2 g'}",5.0,,Omnivore's Cookbook,35,2 serving(s)
Roasted Vegetables with Balsamic Glaze,Maggie Zhu,https://omnivorescookbook.com/recipes/roasted-vegetables-with-balsamic-glaze/,Italian,https://omnivorescookbook.com/wp-content/uploads/2018/01/Roasted-Vegetables-with-Balsamic-Reduction-2.jpg,"['1 zucchini (500 grams / 1 pound, seed removed, sliced)', '1 200 grams / 0.5 pound bell pepper, chopped', '1 250 grams / 0.5 pound eggplant, sliced', '2 300 grams / 0.66 pound cups sliced pumpkin', 'sea salt and black pepper', 'olive oil to spray on the veggies', '1 tablespoon truffle infused balsamic glaze (or normal balsamic glaze)']","Preheat oven to 220 degrees C (425 F).
Line a baking tray with aluminum foil and spray a thin layer of olive oil over the top of the foil.
Place vegetables on the baking tray in a single layer. Sprinkle salt and pepper over them, then spray another thin layer of olive oil on top.
Bake on the middle rack at 220 degrees C (425 F) for 35 to 40 minutes. Every 15 minutes, check the veggies and flip them, spraying extra oil on them if surface has turned dry.
Cook the veggies in batches if the baking tray is not big enough.
Right before serving, drizzle balsamic glaze over the veggies.
Serve warm or cold.",en-US,{},5.0,,Omnivore's Cookbook,50,4 serving(s)
Grilled Eggplant with Yu Xiang Sauce (鱼香烤茄子),Maggie Zhu,https://omnivorescookbook.com/grilled-eggplant-with-yu-xiang-sauce/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2018/01/1605_Grilled-Eggplant-with-Yu-Xiang-Sauce_005.jpg,"['2 Chinese (long eggplant)', '2 tablespoons Chinkiang vinegar', '1 tablespoon light soy sauce', '1 tablespoon Shaoxing wine ((or water))', '1 tablespoon spicy fermented bean paste (doubanjiang)', '2 tablespoons sugar', '4 tablespoons peanut oil ((or vegetable oil))', '1/8 teaspoon Sichuan peppercorn powder (, freshly grated (or black pepper powder))', '4 cloves garlic (, chopped)', '2 teaspoons ginger (, minced)', '2 to 3 tablespoons chopped cilantro for garnish ((Optional))']","Prepare sauce
Mix Chinkiang vinegar, light soy sauce, Shaoxing wine, spicy fermented bean paste, and sugar in a small bowl.
Heat peanut oil in a small saucepan over medium heat until warm. Add ginger and garlic. Stir and cook until fragrant. Turn to medium low heat. Add the vinegar mixture. Stir and cook until bringing to a simmer. While grilling eggplant, put the saucepan on the grill, over indirect heat to keep warm. Add a bit of water if the sauce gets too thick.
Cook eggplant
Halve the eggplants lengthwise. Score the inside flesh in a criss-cross pattern using the tip of a small knife. Cut as close to the skin as you can without cutting through it.
Light one chimney full of charcoal. When all the charcoal is lit and covered with gray ash, put on heat resistant gloves, pour the charcoal into the grill, and spread it in an even layer. Set the cooking grate in place, cover the grill, and preheat for 5 minutes. If using a gas grill, set all the burners to high heat and preheat for 15 minutes. Clean the cooking grate. Make sure the grill has reached medium-high heat (*see footnote 1).
While waiting for the grill to heat, brush cut sides of the eggplant slices with peanut oil. Season with salt.
Grill eggplant over medium-high heat with the lid open, for 8 to 10 minutes, until the surfaces are charred with dark grill marks. Flip once in the middle. If the eggplant gets charred too quickly, move to the cooler side of the grill, but not too far from the fire. Cook until the texture becomes creamy. Transfer to a plate to cool.
Pour sauce onto eggplant right before serving. Serve warm, or at room temperature.",en-US,"{'servingSize': '136 g', 'calories': '130 kcal', 'carbohydrateContent': '15.9 g', 'proteinContent': '1.8 g', 'fatContent': '7 g', 'saturatedFatContent': '1.2 g', 'sodiumContent': '486 mg', 'fiberContent': '3.8 g', 'sugarContent': '10.2 g'}",5.0,,Omnivore's Cookbook,45,2 serving(s)
Winter Melon Stir Fry,Maggie Zhu,https://omnivorescookbook.com/winter-melon-stir-fry/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2021/01/201211_Winter-Melon-Stir-Fry_550.jpg,"['1/2 carrot (, cut into 2x1/2” (6x1 cm) batons (about 4 oz) (Optional) (*Footnote 1))', '1 1/2 lbs (680 g) winter melon (, peeled and cut into 2x1/2” (6x1 cm) batons)', '1 tablespoon peanut oil', '2 tablespoons papery shrimp ((*Footnote 2))', '2 cloves garlic (, minced)', '1 long green pepper (, sliced (Optional) (*Footnote 3))', '1/2 teaspoons mushroom powder ((or chicken powder) (*Footnote 4))', '1 teaspoon sugar', '1/4 teaspoon salt ((or to taste))', '1/2 teaspoon cornstarch', '1 teaspoon water']","Combine the cornstarch and water in a small bowl. Stir to mix well and set aside.
Prepare a large skillet and add about 3” (8 cm) of water. Bring to a boil and add a pinch of salt. Add the carrots and boil for 1 minute. Add the winter melon and boil for another 1 to 2 minutes, until slightly softened but not yet translucent. Drain the cooked vegetables and rinse with cold water to stop the cooking. Drain again and set aside in a big plate.
Return the pan to the stove and wipe clean with a paper towel. Add the oil and heat over medium heat until hot. Add the papery shrimp. Stir and cook until the shrimp turn golden, 1 minute or so.
Add the garlic and stir a few times to release the fragrance.
Add the pepper. Cook and stir for 1 minute.
Add the blanched carrot and winter melon, mushroom powder, sugar, and a pinch of salt. Stir and cook until the seasonings are evenly distributed and the winter melon turns tender but is not falling apart, 1 to 2 minutes.
Stir the slurry ingredients again to fully dissolve the cornstarch and pour it over the vegetables. Stir gently until the sauce thickens slightly, 1 minute or so. Carefully taste the winter melon and add more salt, if needed.
Serve hot as a side dish.",en-US,"{'servingSize': '1 serving', 'calories': '128 kcal', 'carbohydrateContent': '20.4 g', 'proteinContent': '4.5 g', 'fatContent': '4 g', 'saturatedFatContent': '0.8 g', 'cholesterolContent': '22 mg', 'sodiumContent': '330 mg', 'fiberContent': '2.9 g', 'sugarContent': '16.7 g'}",-1.0,,Omnivore's Cookbook,15,4 serving(s)
"Dou Fu Nao (豆腐脑, Beijing-Style Tofu Pudding with Gravy)",Maggie Zhu,https://omnivorescookbook.com/dou-fu-nao/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2021/01/201222_Dou-Fu-Nao-Northern-Chinese-Savory-Douhua_550.jpg,"['10 g (about 25) dried lily flower buds ((yields 1/2 cup rehydrated))', '2.5 g (1 tablespoon) dried wood ear mushrooms ((yield 1/4 cup rehydrated))', '5 g (4 to 5) dried shiitake mushrooms', '1 1/2 tablespoon peanut oil', '1/2 teaspoon Sichuan peppercorns ((Optional))', '2 green onions (, sliced and separated)', '8 oz (250 g) ground pork', '1 tablespoon Shaoxing wine', '2 tablespoons light soy sauce', '1 teaspoon dark soy sauce', '1 cup water', '1/2 teaspoon chicken bouillon powder ((or 1/4 teaspoon salt))', '1 tablespoon cornstarch', '2 servings homemade tofu pudding ((or store-bought sundubu tofu))']","Prep
Gently rinse the dried lily flower buds, wood ear mushrooms, and shiitake mushrooms with tap water and transfer them into three bowls. Add 1/2 cup hot water to each bowl to cover. Let soak until tender throughout, 30 minutes or so. Once done, squeeze out the marinating liquid back into the bowls and gently rinse them with tap water again to remove any dust on the surface. Slice the shitake mushrooms. Cut the lily flowers in half. And chop the wood ear mushrooms into small pieces. Reserve the marinating liquid from the shiitake mushrooms and lily flowers for the gravy.
Prepare gravy
Heat 1 tablespoon oil in a large skillet over medium heat. Add the Sichuan peppercorns. Cook, stirring occasionally, until you can smell a strong fragrance and the peppercorns turn darker (but not black). Scoop out the Sichuan peppercorns and discard them (*Footnote 1).
Add the rehydrated lily flowers, shiitake mushrooms, and wood ear mushrooms. Cook, stirring frequently, for 1 minute or so. Be careful, the rehydrated ingredients might cause oil splatter.
Add the white part of the green onion and the ginger. Cook and stir for 30 seconds to release the fragrance.
Move everything to one side of the pan and add the remaining 1/2 tablespoon oil to the other side. Add the ground pork on top of the oil, then use a spatula to spread it out. Let the pork cook for a minute without moving to brown the bottom, then cut it into small pieces.
When the pork is cooked through, pour in the Shaoxing wine and scrape the pan to release any brown bits.
Pour in the light soy sauce and dark soy sauce. Stir to coat well.
Add the water and the reserved 1 cup of soaking water. And the chicken bouillon powder. Bring to a boil, stirring occasionally, and cook for 2 minutes.
Meanwhile, dissolve the cornstarch in 1 tablespoon of water in a small bowl. Pour the cornstarch slurry into the pan. Stir to mix well and let cook until the sauce thickens. Taste the gravy and adjust the seasoning by adding a pinch of salt, if needed.
Serve
To serve, scoop the tofu pudding using a large spoon (the larger and flatter, the better) into two serving bowls. If too much liquid is pooling in the bowl, tilt the bowl carefully to drain off the excess liquid (it’s OK to have some liquid in the bowl). Ladle the gravy on top of the tofu pudding. Serve immediately.",en-US,"{'servingSize': '1 serving', 'calories': '291 kcal', 'carbohydrateContent': '8.2 g', 'proteinContent': '31.3 g', 'fatContent': '14.3 g', 'saturatedFatContent': '3.1 g', 'cholesterolContent': '83 mg', 'sodiumContent': '987 mg', 'fiberContent': '1 g', 'sugarContent': '0.8 g'}",5.0,,Omnivore's Cookbook,55,2 serving(s)
Vegetable Fried Rice (蔬菜炒饭),Maggie Zhu,https://omnivorescookbook.com/vegetable-fried-rice/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2018/03/1802_Vegetable-Fried-Rice_550.jpg,"['2 tablespoons peanut oil ((or vegetable oil))', '2 cups frozen mixed vegetables ((*Footnote 1))', '4 eggs (, beaten (*Footnote 2))', '3 to 4 cups cooked white rice (, frozen or refrigerated overnight works best)', '1 tablespoon fermented black beans (, rinsed and chopped (or 2 teaspoons soy sauce, or 2 tablespoons Sui Mi Ya Cai) (*Footnote 3))', '3 cloves garlic (, minced)', '2 teaspoons cumin powder', '1/2 teaspoon Chinese chili flakes ((Optional))', '1/4 teaspoon salt or to taste', '4 green onions (, chopped)']","Add 1 tablespoon oil to a large nonstick skillet and heat over medium-high heat until hot. Add the frozen veggies. Stir and cook until just thawed. Transfer to a big plate and set aside.
Add the remaining 1 tablespoon oil and add the beaten eggs. Wait until the bottom of the eggs is set but the top is still runny.
Add the rice on top of the runny egg. Use your spatula to chop the rice to separate it into small pieces, so some of the rice is coated with egg.
Add back the vegetables. Stir everything together a few times.
Add the fermented black beans, garlic, cumin powder, Chinese chili flakes, salt, and green onion. Stir to mix well. Cook and stir occasionally, until the rice turns slightly crispy, 2 to 3 minutes.
Transfer everything to a plate and serve hot as a main dish or side dish. You can serve it with some hot sauce like Sriracha, but it’s not required.",en-US,"{'servingSize': '3 g', 'calories': '480 kcal', 'carbohydrateContent': '68.4 g', 'proteinContent': '16 g', 'fatContent': '15.5 g', 'saturatedFatContent': '3.5 g', 'cholesterolContent': '218 mg', 'sodiumContent': '524 mg', 'fiberContent': '6.8 g', 'sugarContent': '4.9 g'}",4.5,,Omnivore's Cookbook,10,2 serving(s)
Cranberry Relish with Ginger,Maggie Zhu,https://omnivorescookbook.com/cranberry-relish/,asian american fusion,https://omnivorescookbook.com/wp-content/uploads/2019/11/1910_Cranberry-Relish-with-Ginger_550.jpg,"['1 bag (12 oz. / 340 g) fresh cranberries', '6 oz. (160 g) clementines (, chopped (or oranges) (about 4 small clementines, or 1 large orange))', '1 thumb ginger (, coarsely chopped)', '1 cup sugar']","Combine the cranberries, clementines (or orange), ginger, and sugar in a food processor. Pulse until the fruit is finely chopped. Transfer to a big bowl.
The relish is ready to serve now, but you can let it sit for a while so the flavors can blend better. Until you’re ready to serve, keep the bowl covered with plastic wrap. You can store it in the fridge for up to 3 days.
Serve it on the side of roast meat or use it to replace jam.",en-US,"{'servingSize': '1 serving', 'calories': '105 kcal', 'carbohydrateContent': '25.8 g', 'proteinContent': '0.3 g', 'fatContent': '0.1 g', 'fiberContent': '1.8 g', 'sugarContent': '22.9 g'}",-1.0,,Omnivore's Cookbook,5,8 serving(s)
Instant Pot Chinese Sausage Rice,Maggie Zhu,https://omnivorescookbook.com/instant-pot-chinese-sausage-rice/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2020/01/2001_Instant-Pot-Chinese-Sausage-Rice_550.jpg,"['2 1/2 cups glutinous rice ((long grain or short grain sticky rice) (*Footnote 1))', '4 tablespoons unsalted butter', '2 large shallots (, sliced (or 1 onion))', '8 (about 0.5 oz / 15 g ) dried shiitake mushrooms ((medium-sized))', '5 links (7 oz / 200 g) Chinese sausage (, sliced)', '1/4 cup Shaoxing wine ((or dry sherry))', '2 cups chicken broth ((*Footnote 2))', '1 cup whole water chestnuts (, sliced)', '2 tablespoons soy sauce', '2 teaspoons dark soy sauce ((or soy sauce) (*Footnote 3))', '1/2 teaspoon salt', '2 green onions (, thinly sliced, for garnish)']","Prep
Add the rice and enough water to cover the rice into a large bowl. Use your fingers to gently rinse the rice in a swirling motion, then drain the water.
Heat 1 cup of water in the microwave until hot. Add the dried shiitake mushrooms. Soak until the mushrooms turn soft, 15 to 20 minutes. Once done, squeeze the liquid out of the mushrooms into the soaking water. Slice the mushrooms thinly. Reserve 1/2 cup of the soaking water for cooking.
Cut the rest of the ingredients while rehydrating the mushrooms.
Instant Pot
Turn on the “Saute” function on your Instant Pot and wait until it’s heated. Add the butter and stir a few times until it melts.
Add the shallot and shiitake mushrooms. Stir a few times to coat well with butter. Then spread the ingredients into a single layer. Let cook, stirring occasionally, until the edges of the onions turn golden, 6 minutes or so.
Add the Chinese sausage. Cook and stir until the edges turn golden and crispy, 2 minutes.
Pour in the Shaoxing wine. Use your spatula to release any brown bits stuck to the bottom of the pan. Cook until the wine has evaporated completely.
Turn off “Saute”. Add the rice. Stir to mix the rice evenly with the other ingredients. Add the chicken stock, the 1/2 cup mushroom soaking liquid, water chestnuts, soy sauce, dark soy sauce, and salt. Stir to mix well.
Cover the Instant Pot and seal the valve. Set on “Manual” at high pressure for 12 minutes.
Once the Instant Pot is done cooking, wait for 5 minutes, then switch to fast release by using a long spatula or other utensil to rotate the valve to “Venting” (or use the release button on your Instant Pot lid). Stay away from the Instant Pot to avoid being burned by the hot steam coming out of the pot when using fast release.
Fluff the rice and garnish with sliced green onions.
Serve hot as a main or side dish.
Store the leftovers in a sealed container in the fridge for up to 3 days or in the freezer for 1 month. Reheat in the microwave before serving.",en-US,"{'servingSize': '1 serving', 'calories': '365 kcal', 'carbohydrateContent': '59.4 g', 'proteinContent': '10.8 g', 'fatContent': '8.1 g', 'saturatedFatContent': '3 g', 'cholesterolContent': '21 mg', 'sodiumContent': '767 mg', 'fiberContent': '1.6 g', 'sugarContent': '1.8 g'}",4.5,,Omnivore's Cookbook,40,8 serving(s)
Chinese Spinach and Peanut Salad,Maggie Zhu,https://omnivorescookbook.com/recipes/chinese-spinach-and-peanut-salad/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2019/07/Vinegar-Spinach-and-Peanut-550.jpg,"['500 grams (1 pound) spinach (, tough ends removed)', '1 cup raw peanuts', '1 tablespoon peanut oil ((or vegetable oil))', '2 tablespoons Chinese black vinegar', '1 teaspoon light soy sauce', '2 teaspoons sugar', '1/2 teaspoon salt', '2 teaspoons ginger (, minced)', 'roasted white sesame seed for decoration ((Optional))']","Bring a large pot of water to a boil. Add spinach and cook over medium heat until cooked through, about 2 minutes. Drain spinach and set aside to cool.
Add oil and peanuts to a wok (or small skillet). Heat over medium heat and stir with spatula continuously, until the skin of the peanuts turns dark brown and the edges turn golden brown. Turn off heat immediately and transfer peanuts to a plate to cool.
Combine black vinegar, light soy sauce, sugar, salt, and ginger in a small bowl, mix well, and set aside.
When spinach is cool enough to handle, squeeze extra water out of it with both hands. Chop spinach into pieces about 8 centimeters (3 inches) in length and transfer to several small serving bowls.
Right before serving, top spinach with peanuts and drizzle with the vinegar sauce. Garnish with sesame seeds and serve immediately.",en-US,"{'servingSize': '174 g', 'calories': '249 kcal', 'carbohydrateContent': '13.2 g', 'proteinContent': '13.2 g', 'fatContent': '18.5 g', 'saturatedFatContent': '2.6 g', 'sodiumContent': '472 mg', 'fiberContent': '6 g', 'sugarContent': '4.1 g'}",5.0,,Omnivore's Cookbook,20,2 serving(s)
