title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
Korean BBQ Short Ribs (Galbi),Spice the Plate,https://www.spicetheplate.com/beef/korean-bbq-short-ribs/,,https://www.spicetheplate.com/wp-content/uploads/2017/05/Korean-BBQ-Short-Ribs-Bulgogi-7-320x320.jpg,"['1 pound boneless beef short rib slices', 'Marination:', '1 small apple', '2-inch long piece of ginger', '3 cloves garlic', '½ cup soy sauce', '½ cup brown sugar', '2 tablespoons rice wine vinegar', '2 tbsp sesame oil', 'Garnishment:', '2 stalks green onion/scallion, chopped', 'a handful of toasted sesame seeds']","Purée all the ingredients for marination in a blender until smooth.
Pour the mixture into a gallon size ziploc bag and add short ribs.
Seal and marinate in the fridge for at least 4 hours, preferably 8-10 hours.
Heat a stove top griddle or a grill to 350°F.
Drain excess marinade off short ribs and carefully place onto the griddle or grill.
Cook about 4 minutes each side until cooked through and browned.
Let rest for 5 minutes, then cut the short ribs into 2-inch long pieces with a kitchen scissor.
Transfer to a bowl or plate, sprinkle on top green onion and toasted sesame seeds to serve.",en-US,{},5.0,,Spice the Plate,248,2-4 serving(s)
Pan-fried Marinated Beef,Spice the Plate,https://www.spicetheplate.com/beef/pan-fried-marinated-beef/,,https://www.spicetheplate.com/wp-content/uploads/2017/02/Pan-fried-Marinated-Beef-10-320x320.jpg,"['½ pound thinly sliced beef', '¼ onion, cut into shreds', '1 tablespoon oil', 'Marination:', '2 tablespoons soy sauce', '1 tablespoon mirin (Japanese sweet cooking rice wine)', '1 tablespoon sugar', '1 tablespoon grated ginger', '1 teaspoon potato starch', '2 teaspoons water', '1 tablespoon sesame oil', 'Garnishing:', '1 stalk scallion, chopped', '1 teaspoon roasted sesame seeds']","In a bowl, whisk together soy sauce, mirin, sugar and grated ginger, set aside.
Put the thinly sliced beef into a medium ziploc bag and pour the sauce mixture over the beef in the bag, gently squeeze the bag to mix the sauce well with the beef.
Seal and place the bag in the fridge, marinate for at least 30 minutes.
Heat oil in a pan over low heat until shimmering, add in the onion and sauté about 5 minutes or until soft and lightly browned.
While the onion is being cooked, transfer the beef into a large mix bowl. Mix potato starch with water and pour the starch water and sesame oil over the beef, gently rub the beef to make sure it is well coated.
Add the marinated beef into the pan on top of the sautéed onion first, then spread it out evenly over the pan with a pair of chopsticks and let cook for 4-5 minute until cooked though, stirring occasionally.
Sprinkle with sesame seeds and chopped scallion, continue cooking for 30 seconds.
Transfer to a plate to serve with rice or vegetable.",en-US,{},-1.0,,Spice the Plate,50,2 serving(s)
Braised Pork Belly,Spice the Plate,https://www.spicetheplate.com/pork/braised-pork-belly/,,https://www.spicetheplate.com/wp-content/uploads/2015/09/Sugar-Braised-Pork-Belly-9-300x200.jpg,"['0.8 pound pork belly with skin, cut into 1-inch cubes', '1 tablespoon rock sugar or cane sugar', '2 slices ginger', '2 star anise', '2 bay leaves', '1-2 dried chili pepper, optional', '2 cups hot water', '1 touch of toasted white sesame seeds for topping', 'For the sauce:', '1 tablespoon cooking wine', '1 tablespoon soy sauce', '2 tablespoons dark soy sauce']","Mix cooking wine, soy sauce and dark soy sauce in a container for later use.
Heat a non-stick pan, stir in the pork belly, pan fry under medium-low heat for about 5 minutes until browned, stir occasionally.
Toss in the sugar, carefully stir to help the sugar melt, add in the ginger, star anise, bay leaves and dried chili pepper, sitr fry for about 2-3 minutes.
Carefully pour in the sauce and cook for another 1-2 minutes.
Move all the ingredients into a clay pot or a slow cooker, add in the hot water and simmer for about 50 minutes under medium-low heat until the sauce has almost gone.
Top with the toasted white sesame seeds and serve.",en-US,{},4.9,,Spice the Plate,70,2 serving(s)
Beef with Peppers,Spice the Plate,https://www.spicetheplate.com/beef/beef-with-peppers/,,https://www.spicetheplate.com/wp-content/uploads/2015/03/Beef-with-peppers-10-300x200.jpg,"['½ pound beef cubes, cut into smaller pieces', 'half a green bell pepper, cut into small pieces', 'half a red bell pepper,cut into small pieces', '3-4 slices ginger', '1 tablespoon oil', '1 tablespoon oyster sauce', 'For marinating the beef:', '1 tablespoon vegetable oil', '½ teaspoon sugar', '1 tablespoon soy sauce', '1 tablespoon cooking wine', '½ teaspoon potato starch']","Marinate the beef with vegetable oil, sugar, soy sauce, cooking wine and potato starch for about 10 minutes.
Heat the oil over medium heat, add in the ginger slices and stir fry for about 1-2 minutes until fragrant.
Turn to medium-high heat, stir in the beef and stir fry for about 2-3 minutes until it has changed color.
Toss in the oyster sauce and keep stir-frying for about 2 minutes.
Stir in the peppers and cook for another 1-2 minutes.
Serve and enjoy.",en-US,{},-1.0,,Spice the Plate,30,2 serving(s)
Fresh Sautéed Okra and Egg,Spice the Plate,https://www.spicetheplate.com/veggie/fresh-sauteed-okra-and-egg/,,https://www.spicetheplate.com/wp-content/uploads/2017/04/Okra-and-Egg-6-320x320.jpg,"['half pound okra, about 10-12', '2 eggs, beaten', '1 slice of ginger, cut into match-stick size', '1 small red pepper, sliced', '1 tablespoon oil for stir-frying', 'For seasoning:', 'salt to taste', 'sugar to taste', 'half a tablespoon soy sauce', 'half a tablespoon sesame oil']","Bring a medium pot of water into boiling, cook okra in water for 1 minute, remove from pot, rinse under cold water and drain well.
Slice the Okra into thick slices.
Crack two eggs into a bowl, toss in a touch of salt, sugar and add about 1 tablespoon of water, beat the egg mixture.
Heat oil in a pan over medium heat, pour in the egg mixture and wait until the egg starts to set, pull the egg across the pan, forming large soft curds (scrambled egg), set aside.
Add more oil to the pan, sauté the ginger and pepper until fragrant.
Add the okra, stir fry for 1 minute and then add in the egg.
Season with salt, soy sauce, and sesame oil, cook for another minute.
Transfer to a plate to serve.",en-US,{},-1.0,,Spice the Plate,15,2 serving(s)
Homemade Low-Sugar Bubble Milk Tea,Spice the Plate,https://www.spicetheplate.com/seafood-and-other/homemade-low-sugar-bubble-milk-tea/,,https://www.spicetheplate.com/wp-content/uploads/2018/07/Green-Bean-and-Tofu-with-Ground-Pork-Stir-Fry-29-300x300.jpg,"['2 bags of green tea (or any tea flavor of your choice)', '2 servings of tapioca pearls (about ⅓ cup per serving)', 'Milk to taste', 'Sugar to taste']","Cook the tapioca pearls:
Fill a medium pot with cold water and bring it to a boil with high heat.
Carefully add in the tapioca pearls into the water, stir gently to avoid the pearls sticking together.
Continue boiling for one minute, then cover the pot with a lid and turn the heat down to medium.
Cook the tapioca pearls for the length recommended on the package (about 5-6 minutes).
Turn off the heat and leave them covered for a few minutes before draining the hot water.
Rinse the tapioca pearls in cold water, drain and transfer to a small bowl to set aside.
Prepare Tea:
Place two tea bags in a large cup or mug. Pour boiled water over the tea bag, steep for a minute or two, remove tea bag. Add 1 teaspoon of sugar stir and set aside.
Assembly:
Put one serving of the cooked tapioca pearls into a mug. Pour in about 1 cup of the sweetened tea, add ½ cup of milk. Stir and taste the milk tea. Add more milk, sugar or tea to your taste. Throw in a few ice cubes if you'd like to make a cold drink. Enjoy!",en-US,{},-1.0,,Spice the Plate,20,2 serving(s)
Green Bean and Tofu with Ground Pork Stir Fry,Spice the Plate,https://www.spicetheplate.com/pork/green-bean-and-tofu-with-ground-pork-stir-fry/,,https://www.spicetheplate.com/wp-content/uploads/2018/07/Green-Bean-and-Tofu-with-Ground-Pork-Stir-Fry-29-300x300.jpg,"['1 pound fresh green beans, ends trimmed and chopped into 1-inch long pieces', '½ pound ground pork', '¼ pound firm tofu, cut into 1-inch cubes', '1 red bell pepper, diced', '2-3 garlic cloves, chopped', '2 stalks green onion, chopped', 'cilantro for topping (optional)', 'Marinate ground pork:', '1 tablespoon soy sauce', '1 tablespoon cooking wine', '½ teaspoon sugar', '½ teaspoon potato starch', 'Seasoning:', '1 teaspoon oil for pan fry the tofu cubes', 'salt to taste', 'soy sauce to taste']","Marinate ground pork with soy sauce, cooking wine, sugar and potato starch for 10 minutes.
Heat a bit of oil over medium heat, pat the tofu cubes dry with a paper towel before carefully adding them to the pan.
Pan fry the tofu cubes for 10 minutes or until all sides are crisp and browned, set aside for later use.
Add in the marinated ground pork and stir with a spatula, make sure there's no clumping and allow it to cook for five minutes or until no longer pink.
Set the ground pork aside and leave the oil released during cooking in the pan for stir frying use later.
Stir in garlic and green onion, sauté for 30 seconds or until fragrant.
Add green beans and red peppers to the pan, stir fry 8-10 minutes or until soft.
Add previously ground pork and tofu cubes to the pan and toss in salt and soy sauce to taste. Continue cooking for 1-2 minutes and stir to make sure the seasonings are distributed evenly.
Transfer to a plate and top with cilantro to serve and enjoy while hot!",en-US,{},-1.0,,Spice the Plate,50,2 serving(s)
Mongolian Beef Stir Fry,Spice the Plate,https://www.spicetheplate.com/beef/mongolian-beef-stir-fry/,,https://www.spicetheplate.com/wp-content/uploads/2016/11/Mongolian-Beef-Stir-Fry-14-320x320.jpg,"['1 pound beef flank steak, cut into thick slices', '4 stalks scallion, cut into long strips', '¼ medium white onion, sliced', '2 cloves garlic, sliced', '2-3 slices ginger', 'a handful of roasted sesame seeds for topping', 'For marinating:', '2 tablespoons oil', '2 tablespoons cooking wine', '1.5 tablespoons potato starch', '1 tablespoon soy sauce', '1 tablespoon dark soy sauce', '½ teaspoon sugar', '¼ teaspoon salt', '½ teaspoon ground black pepper', 'For seasoning:', '¼ cup oil', '2 tablespoons oyster sauce', '1 teaspoon sugar']","Mix oil, cooking wine, potato starch, soy sauce, dark soy sauce, sugar, salt and ground black pepper in a container and marinate the beef with the mixture for at least 30 minutes.
Heat a quarter cup worth of oil in a pan over medium-high heat, sauté ginger and garlic for 30 seconds until fragrant.
Stir in the onion, stir fry for a minute.
Turn to high heat and add in the beef, stir fry for 2-3 minutes until changed color and cooked through.
Add in green onion and season with oyster sauce and sugar, stir fry for a minute.
Top with roasted sesame seeds to serve.",en-US,{},-1.0,,Spice the Plate,46,2 serving(s)
Marinated Beef Stir Fry With Cilantro,Spice the Plate,https://www.spicetheplate.com/beef/marinated-beef-stir-fry-with-cilantro/,,https://www.spicetheplate.com/wp-content/uploads/2016/07/Stir-fried-beef-with-cilantro_-5-300x450.jpg,"['half a pound beef sirloin, cut into long strips', '2-3 long red chili pepper, sliced', '4-5 garlic cloves, sliced', '1 bunch cilantro, trimmed and washed, cut into half', 'For marinating the beef:', '1 teaspoon potato starch', '1 tablespoon cooking wine', '1 tablespoon soy sauce', '1 tablespoon oyster sauce', '½ teaspoon black pepper', '4 tablespoons oil', 'For seasoning:', '¼ teaspoon salt', 'a pinch of sugar']","Marinate the beef with potato starch, cooking wine, soy sauce, oyster sauce, black pepper and oil for about 15 minutes.
Sauté the beef for a minute or until no longer pink, remove from pan and set aside.
Drizzle some oil into the pan, add in the garlic and red pepper, sauté 2 minutes or until fragrant.
Add the cilantro and beef into the pan, season with salt and sugar, cook for another 2 minutes and transfer to a plate and serve.",en-US,{},-1.0,,Spice the Plate,30,2 serving(s)
Beef and Mushroom Shumai,Spice the Plate,https://www.spicetheplate.com/beef/beef-mushroom-shumai/,,https://www.spicetheplate.com/wp-content/uploads/2016/10/Beef-and-Mushroom-Shumai-for-Pin.jpg,"['1 cup ground beef', '½ cup shiitake mushroom (rehydrated and diced)', '2 cups cooked sticky rice (1 cup raw)', '12-14 dumpling wraps (available at Asian grocery store)', 'For seasoning:', '2 tablespoons soy sauce', '1 tablespoon cooking wine', '1 teaspoon sugar', '½ teaspoon salt']","Soak the dried shiitake mushrooms under warm water for 15-20 minutes until soft and cut into dices.
Cook the raw sticky rice, and set aside (I used a rice cooker, takes about 15 minutes)
Heat 2 tablespoons oil over medium heat, stir fry the ground beef for 3-4 minutes until no longer pink.
Add in the shiitake mushroom, stir fry another 2-3 minutes or until cooked though.
Add in the cooked sticky rice, stir to mix well.
Toss in soy sauce, cooking wine, sugar and salt, cook 1-2 minutes and mix well.
Remove from pan and set aside, this is the fillings for the shumai.
To make the shumai: first, make a circle with your thumb and index finger and place a wrapper on top the circle, then nudging it down to create a cup. Next, add some fillings into the cup, and pat the filling down with your finger or the back of a spoon. Third, fold the edges of the wrapper down, leaving the filling exposed. Last, press the wrapper around the filling and pat both the top and bottom of the dumpling to make it flat.
Get ready for steaming: Fill pan with a few cups water. Line a bamboo steamer with cabbage and set it in the pan. Bring water to a boil and place the shumai into the bamboo steamer about a ½- inch apart (watch out for the steam)
Cover with lid and steam until wrap is cooked through, about 5 minutes.
Serve immediately with your favorite dipping sauce.",en-US,{},-1.0,,Spice the Plate,60,3-4 serving(s)
