title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
Braised Pork Belly,Spice the Plate,https://www.spicetheplate.com/pork/braised-pork-belly/,,https://www.spicetheplate.com/wp-content/uploads/2015/09/Sugar-Braised-Pork-Belly-9-300x200.jpg,"['0.8 pound pork belly with skin, cut into 1-inch cubes', '1 tablespoon rock sugar or cane sugar', '2 slices ginger', '2 star anise', '2 bay leaves', '1-2 dried chili pepper, optional', '2 cups hot water', '1 touch of toasted white sesame seeds for topping', 'For the sauce:', '1 tablespoon cooking wine', '1 tablespoon soy sauce', '2 tablespoons dark soy sauce']","Mix cooking wine, soy sauce and dark soy sauce in a container for later use.
Heat a non-stick pan, stir in the pork belly, pan fry under medium-low heat for about 5 minutes until browned, stir occasionally.
Toss in the sugar, carefully stir to help the sugar melt, add in the ginger, star anise, bay leaves and dried chili pepper, sitr fry for about 2-3 minutes.
Carefully pour in the sauce and cook for another 1-2 minutes.
Move all the ingredients into a clay pot or a slow cooker, add in the hot water and simmer for about 50 minutes under medium-low heat until the sauce has almost gone.
Top with the toasted white sesame seeds and serve.",en-US,{},4.9,,Spice the Plate,70,2 serving(s)
Pan-fried Honey Garlic Chicken,Spice the Plate,https://www.spicetheplate.com/chicken/pan-fried-honey-garlic-chicken/,,https://www.spicetheplate.com/wp-content/uploads/2016/11/Honey-Garlic-Chicken-11-320x320.jpg,"['4 pieces of chicken breast with or without skin (about a pound)', 'For marinating the chicken:', '1 teaspoon salt', '1 teaspoon ground black pepper', '¼ cup oil', '⅓ cup honey', '1 tablespoon rice vinegar', 'a head garlic, minced']","Rub the chicken with salt and black pepper on both sides, let it sit for about 15 minutes.
While waiting, whisk oil, honey, rice vinegar and garlic in a container.
Transfer the chicken into large ziploc bag and pour the honey garlic sauce over, marinate at least 12 hours in the refrigerator.
Heat oil in a pan until shimmering, carefully place the chicken in the pan.
Cook 6-7 minutes with lid on and flip to the other side and continue cooking 6-7 minutes until cooked through.
Place the chicken on a plate, drizzle some honey on top.
Top with green onion and black pepper to serve.
Combine with vegetable and rice for a simple meal.",en-US,{},5.0,,Spice the Plate,135,4 serving(s)
Chicken with Asparagus,Spice the Plate,https://www.spicetheplate.com/chicken/chicken-with-asparagus/,,https://www.spicetheplate.com/wp-content/uploads/2015/06/Chicken-with-Asparagus-9-300x200.jpg,"['½ pound chicken thighs, cut into long strips', '½ bunch asparagus, snap then ends and cut into long strips', '2-3 mushrooms, sliced', '½ red pepper, cut into long strips', 'For marinating the chicken:', '½ tablespoon oil', '1 tablespoon cooking wine', '½ teaspoon dark soy sauce', '½ teaspoon salt', '½ teaspoon black pepper', 'For the sauce:', '1 tablespoon oyster sauce', '1 tablespoon soy sauce', '1 tablespoon water', '¼ teaspoon sugar']","Marinate the chicken with oil, cooking wine, dark soy sauce, salt and pepper for about 10 minutes.
Heat the oil in the pan, over medium heat, stir fry the chicken for about 3 minutes until the color has changed and fragrant.
Turn to medium-high heat, add in the asparagus and stir fry for another 2 minutes.
Whisk in the sauce, stir fry for another 2 minutes to make sure the sauce is evenly spread and well absorbed by the dish.
Sprinkle with black pepper to serve.",en-US,{},-1.0,,Spice the Plate,23,2 serving(s)
Teriyaki Chicken,Spice the Plate,https://www.spicetheplate.com/chicken/teriyaki-chicken-appetizer/,,https://www.spicetheplate.com/wp-content/uploads/2017/01/Teriyaki-Chicken-Appetizer-17-320x320.jpg,"['1 pound boneless skinless chicken thighs', '1 stalk scallion, chopped', 'a touch of roasted sesame seeds', 'Teriyaki Sauce:', '¾ cup mirin', '¾ cup sugar', '¾ cup dark soy sauce']","In a small sauce pan, whisk together mirin, sugar and dark soy sauce.
Bring to a simmer (gentle bubbling in the pot) over medium-low heat, stir constantly till sugar is dissolved.
Put chicken thighs to a container, pour the teriyaki sauce over, make sure chicken is well coated with the sauce, marinate for a hour.
Line a baking pan with aluminum foil and transfer the chicken thighs on top.
Preheat the oven to 350ºF (180ºC), insert the baking pan in the middle level of the oven, roast 15-20 minutes.
Place the chicken onto a cutting board and cut into 1.5-inches thick slices.
Transfer to plates, sprinkle with chopped scallion and roasted sesame seeds to serve.",en-US,{},-1.0,,Spice the Plate,100,2 serving(s)
Baked Shredded Chicken,Spice the Plate,https://www.spicetheplate.com/chicken/baked-shredded-chicken-snack/,,https://www.spicetheplate.com/wp-content/uploads/2016/07/Baked-Shredded-Chicken-14-300x450.jpg,"['½ pound boneless and skinless chicken breast', '3-4 slices ginger', '1 tablespoon cooking wine', 'For marinating the chicken:', '2 tablespoon olive oil', '6 tablespoon ketchup', '1 teaspoon salt', '1 teaspoon black pepper']","Bring a medium pot of water to boil, add in ginger slices and cooking wine.
Carefully cook the chicken breast under the boiling water for about 15 minutes, fish out the chicken, drain and wait for it to cool down.
Tear the chicken breasts to shreds.
Marinate the shredded chicken with olive oil, ketchup, salt and pepper for about 10 minutes.
Preheat the oven to 375 degrees F (190 degrees C), while waiting for the oven to heat, cover a sheet pan with tin foil and spread the chicken evenly on it.
Bake in preheated oven for 10 minutes and turn the chicken shreds, continue baking for another 8-10 minutes after turning.
Enjoy as a snack or appetizer.",en-US,{},-1.0,,Spice the Plate,45,2 serving(s)
Sriracha Chicken and Avocado Bowl,Spice the Plate,https://www.spicetheplate.com/chicken/sriracha-chicken-avocado-bowl/,,https://www.spicetheplate.com/wp-content/uploads/2016/12/Sriracha-Chicken-and-Advocado-Bowl-4-320x320.jpg,"['1 piece skinless boneless chicken breast (half a pound)', '¾ cup frozen corns', 'half avocado, cut into 1-inch cubes', 'a handful of roasted sesame seeds', 'Sriracha vinegar sauce:', '1 tablespoon olive oil', '2 tablespoons sriracha sauce', '1 tablespoon rice vinegar', '1 teaspoon sugar', '1 tablespoon oyster sauce']","Place the chicken in a pot large enough to hold the chicken, add water to cover the chicken and bring to boiling over medium-high heat.
Reduce the heat to simmer and cover the pan with a lid, wait until the chicken is fully cooked (15-20 minutes).
Transfer the chicken to a cutting board and cut into 1-inch cubes, set aside.
In a small saucepan, add olive oil, sriracha sauce, rice vinegar, sugar and oyster sauce.
Place on the stove over low heat, bring to a simmer while stirring with a spoon.
When the sauce begins to bubble on the sides of the pan, remove from heat.
Add the chicken into the sauce, toss and stir with a spoon until evenly coated with the dressing, set aside.
Bring a medium pot of lightly salted water to boiling over high heat, reduce to simmer, add the frozen corn and cook 3-4 minutes until cooked through (stir occasionally), drain and set aside.
Cut half a avocado into 1-inch cubes.
Combine chicken, corns and avocado in a bowl, top with roasted sesame seeds to serve and enjoy!",en-US,{},5.0,,Spice the Plate,30,1 serving(s)
Bang- Bang Chicken,Spice the Plate,https://www.spicetheplate.com/chicken/bang-bang-chicken/,,https://www.spicetheplate.com/wp-content/uploads/2017/06/Ban-Ban-Chicken-6-320x320.jpg,"['2 skinless, boneless chicken breast halves (about 1 pound), cut into quarters or 2-inch strips', '1 pot of water enough to cover the chicken with 1-inch of water', '3-4 slices of ginger', '2 Japanese cucumbers, shredded', 'Sauce:', '4 cloves garlic, grated', '¼ cup soy sauce', '¼ cup Chinese vinegar', '½ teaspoon salt', '1 teaspoon sugar', '½ cup peanut butter', '2 tablespoons sesame oil', '¼ cup chili oil (optional)', 'Toping:', 'toasted sesame seeds or crushed peanuts']","Whisk together garlic, soy sauce, Chinese vinegar, salt, sugar, peanut butter, sesame oil and chili oil in a bowl and set aside.
Place the chicken breasts in the bottom of a large pot and add in the ginger slices.
Fill the pot with water enough to cover the chicken with 1-inch of water.
Bring the water to a soft boil, once boiling, reduce to a simmer and let cook 15-20 minutes (if in quarters) or 10-15 minutes (if is 2-inch strips).
While the chicken is being boiled, shred two Japanese cucumbers with a grater, transfer into a large mixing bowl and set aside.
When the center of the chicken reaches 165 degrees F (check with a thermometer), transfer the chicken onto a plate and pull into shreds with hands or two forks.
Move the shredded chicken into the mixing bowl over the cucumbers and pour the sauce on top.
Mix well, transfer to a large plate, top with sesame seeds to serve and enjoy!",en-US,{},5.0,,Spice the Plate,30,4 serving(s)
Fresh Sautéed Okra and Egg,Spice the Plate,https://www.spicetheplate.com/veggie/fresh-sauteed-okra-and-egg/,,https://www.spicetheplate.com/wp-content/uploads/2017/04/Okra-and-Egg-6-320x320.jpg,"['half pound okra, about 10-12', '2 eggs, beaten', '1 slice of ginger, cut into match-stick size', '1 small red pepper, sliced', '1 tablespoon oil for stir-frying', 'For seasoning:', 'salt to taste', 'sugar to taste', 'half a tablespoon soy sauce', 'half a tablespoon sesame oil']","Bring a medium pot of water into boiling, cook okra in water for 1 minute, remove from pot, rinse under cold water and drain well.
Slice the Okra into thick slices.
Crack two eggs into a bowl, toss in a touch of salt, sugar and add about 1 tablespoon of water, beat the egg mixture.
Heat oil in a pan over medium heat, pour in the egg mixture and wait until the egg starts to set, pull the egg across the pan, forming large soft curds (scrambled egg), set aside.
Add more oil to the pan, sauté the ginger and pepper until fragrant.
Add the okra, stir fry for 1 minute and then add in the egg.
Season with salt, soy sauce, and sesame oil, cook for another minute.
Transfer to a plate to serve.",en-US,{},-1.0,,Spice the Plate,15,2 serving(s)
Homemade Low-Sugar Bubble Milk Tea,Spice the Plate,https://www.spicetheplate.com/seafood-and-other/homemade-low-sugar-bubble-milk-tea/,,https://www.spicetheplate.com/wp-content/uploads/2018/07/Green-Bean-and-Tofu-with-Ground-Pork-Stir-Fry-29-300x300.jpg,"['2 bags of green tea (or any tea flavor of your choice)', '2 servings of tapioca pearls (about ⅓ cup per serving)', 'Milk to taste', 'Sugar to taste']","Cook the tapioca pearls:
Fill a medium pot with cold water and bring it to a boil with high heat.
Carefully add in the tapioca pearls into the water, stir gently to avoid the pearls sticking together.
Continue boiling for one minute, then cover the pot with a lid and turn the heat down to medium.
Cook the tapioca pearls for the length recommended on the package (about 5-6 minutes).
Turn off the heat and leave them covered for a few minutes before draining the hot water.
Rinse the tapioca pearls in cold water, drain and transfer to a small bowl to set aside.
Prepare Tea:
Place two tea bags in a large cup or mug. Pour boiled water over the tea bag, steep for a minute or two, remove tea bag. Add 1 teaspoon of sugar stir and set aside.
Assembly:
Put one serving of the cooked tapioca pearls into a mug. Pour in about 1 cup of the sweetened tea, add ½ cup of milk. Stir and taste the milk tea. Add more milk, sugar or tea to your taste. Throw in a few ice cubes if you'd like to make a cold drink. Enjoy!",en-US,{},-1.0,,Spice the Plate,20,2 serving(s)
Green Bean and Tofu with Ground Pork Stir Fry,Spice the Plate,https://www.spicetheplate.com/pork/green-bean-and-tofu-with-ground-pork-stir-fry/,,https://www.spicetheplate.com/wp-content/uploads/2018/07/Green-Bean-and-Tofu-with-Ground-Pork-Stir-Fry-29-300x300.jpg,"['1 pound fresh green beans, ends trimmed and chopped into 1-inch long pieces', '½ pound ground pork', '¼ pound firm tofu, cut into 1-inch cubes', '1 red bell pepper, diced', '2-3 garlic cloves, chopped', '2 stalks green onion, chopped', 'cilantro for topping (optional)', 'Marinate ground pork:', '1 tablespoon soy sauce', '1 tablespoon cooking wine', '½ teaspoon sugar', '½ teaspoon potato starch', 'Seasoning:', '1 teaspoon oil for pan fry the tofu cubes', 'salt to taste', 'soy sauce to taste']","Marinate ground pork with soy sauce, cooking wine, sugar and potato starch for 10 minutes.
Heat a bit of oil over medium heat, pat the tofu cubes dry with a paper towel before carefully adding them to the pan.
Pan fry the tofu cubes for 10 minutes or until all sides are crisp and browned, set aside for later use.
Add in the marinated ground pork and stir with a spatula, make sure there's no clumping and allow it to cook for five minutes or until no longer pink.
Set the ground pork aside and leave the oil released during cooking in the pan for stir frying use later.
Stir in garlic and green onion, sauté for 30 seconds or until fragrant.
Add green beans and red peppers to the pan, stir fry 8-10 minutes or until soft.
Add previously ground pork and tofu cubes to the pan and toss in salt and soy sauce to taste. Continue cooking for 1-2 minutes and stir to make sure the seasonings are distributed evenly.
Transfer to a plate and top with cilantro to serve and enjoy while hot!",en-US,{},-1.0,,Spice the Plate,50,2 serving(s)
