title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
Thai Minced Pork Over Rice Noodle (Larb),Spice the Plate,https://www.spicetheplate.com/pork/thai-minced-pork-over-rice-noodle/,,https://www.spicetheplate.com/wp-content/uploads/2017/04/Thai-Minced-Pork-Over-Rice-Noodle-Larb-8-320x320.jpg,"['1 bundle or ½ package Thai Kitchen Thin Rice Noodles', '1 pound ground pork (or substitute with ground beef, chicken)', '1 tablespoon oil', '2 tablespoons rice cooking wine', '2 tablespoons fish sauce', '2 tablespoons soy sauce', '1 tablespoon chili powder', '½ teaspoon white pepper', '2 tablespoons lime juice', '¼ cup shredded carrots', '¼ cup chopped cilantro', '¼ cup chopped mint leaves', 'half a small red onion, cut into rings', 'garnish with mint leaves and lime wedges']","The Rice Noodles
Bring a large pot of water to a boil and remove from heat.
Carefully add the rice noodles into the water and soak for 4-5 minutes until the rice noodle has turned soft, stir occasionally to separate.
Drain the hot water and soak the rice noodles under cold water and set aside.
The Pork
Heat oil in a pan over medium-high heat until shimmers, stir in the ground pork, cook until almost cooked through, breaking up large lumps as it cooks.
Add the cooking wine, fish sauce, soy sauce, chili powder and white pepper into the pan, stir to mix everything well.
Continue to cook for 1-2 minutes until the pork has been cooked through, the sauces have reduced, remove from heat.
Stir in the carrots, cilantro, mint leaves and pour in the freshly squeezed lime juice, mix well.
Drain the rice noodles and transfer into a bowl.
Spoon over the pork and garnish with mint leaves and lime wedge to serve and enjoy!",en-US,{},5.0,,Spice the Plate,18,2 serving(s)
Braised Pork Belly,Spice the Plate,https://www.spicetheplate.com/pork/braised-pork-belly/,,https://www.spicetheplate.com/wp-content/uploads/2015/09/Sugar-Braised-Pork-Belly-9-300x200.jpg,"['0.8 pound pork belly with skin, cut into 1-inch cubes', '1 tablespoon rock sugar or cane sugar', '2 slices ginger', '2 star anise', '2 bay leaves', '1-2 dried chili pepper, optional', '2 cups hot water', '1 touch of toasted white sesame seeds for topping', 'For the sauce:', '1 tablespoon cooking wine', '1 tablespoon soy sauce', '2 tablespoons dark soy sauce']","Mix cooking wine, soy sauce and dark soy sauce in a container for later use.
Heat a non-stick pan, stir in the pork belly, pan fry under medium-low heat for about 5 minutes until browned, stir occasionally.
Toss in the sugar, carefully stir to help the sugar melt, add in the ginger, star anise, bay leaves and dried chili pepper, sitr fry for about 2-3 minutes.
Carefully pour in the sauce and cook for another 1-2 minutes.
Move all the ingredients into a clay pot or a slow cooker, add in the hot water and simmer for about 50 minutes under medium-low heat until the sauce has almost gone.
Top with the toasted white sesame seeds and serve.",en-US,{},4.9,,Spice the Plate,70,2 serving(s)
Chinese Hot and Sour Soup,Spice the Plate,https://www.spicetheplate.com/pork/chinese-hot-and-sour-soup/,,https://www.spicetheplate.com/wp-content/uploads/2017/04/Hot-and-Sour-Soup-11-320x320.jpg,"['2 tablespoons oil', '1 tablespoon grated ginger', '¼ pound pork tender loin, cut into ¼-inch-thick strips', '2 tablespoons soy sauce', '1 tablespoon cooking wine', '2 tablespoons Chinese black vinegar', '½ teaspoon salt', '1 teaspoon Sambal Oelek chilli paste', '4 cups chicken stock, set ¼ cup aside', '4 ounces fresh shiitake mushroom, ends trimmed and sliced', '½ pack firm tofu, cut into ¾-inch cubes', '1 egg, beaten', 'Thickener:', '2 tablespoons cornstarch', '¼ cup chicken stock previously set aside', 'Garnishes:', '2 stalks green onion, chopped', 'a touch of white pepper to taste', 'a touch of sesame oil to taste', '1 Thai red chili pepper, deseeded and sliced (optional)']","Heat oil in a large pot over medium-high heat, add in the ginger and pork, stir fry for a minute.
Toss in the soy sauce, cooking wine, Chinese vinegar, salt and chili paste, stir fry 1-2 minutes or until fragrant.
Pour in the Chicken Stock and bring to a boil.
Add the shiitake mushroom and tofu into the soup, stir to mix, let simmer for 15 minutes.
Whisk together the ¼ cup chicken stock and cornstarch in a small bowl until smooth.
Pour the cornstarch slurry into the soup, give it a gentle stir to mix, let simmer for 1 minute or until the soup has thickened.
Stir the soup with the spatula in a circular motion, slowly drizzle in the egg to create egg ribbons.
Continue cooking for 30 seconds or until the egg has been cooked.
Garnish with chopped green onion, white pepper, sesame oil and thai red chili pepper (optional) to serve and enjoy white hot!",en-US,{},-1.0,,Spice the Plate,35,4 serving(s)
Minced Pork with Green Bean,Spice the Plate,https://www.spicetheplate.com/pork/minced-pork-green-bean/,,https://www.spicetheplate.com/wp-content/uploads/2016/07/Minced-pork-with-string-beans-6-300x450.jpg,"['2 tablespoons oil', '1 pound green beans, trimmed and cut into ¼-inch long pieces', '¼ cup oil', '1 tablespoon minced garlic', '1 tablespoon minced ginger', '1 large red bell pepper, diced', '1 cup ground pork', 'Seasonings:', '¼ teaspoon salt', '1 tablespoon cooking wine', '1 tablespoon soy sauce', '½ tablespoon oyster sauce']","Heat 2 tablespoons of oil in a pan over medium heat, stir in the string beans, stir fry for 4-5 minutes or until soft and cooked through, remove from the pan.
Add ¼ cup oil and sauté the garlic, ginger and red pepper, for 1-2 minutes until fragrant.
Add in the ground pork and stir fry for about 2 minutes until no longer pink.
Add the green beans back into the pan and toss in the salt, cooking wine, soy sauce and oyster sauce, stir fry another 1-2 minutes.
Transfer to a plate and serve while hot.",en-US,{},-1.0,,Spice the Plate,20,2-3 serving(s)
Shanghai Style Rice Cake Soup,Spice the Plate,https://www.spicetheplate.com/pork/shanghai-style-rice-cake-soup/,,https://www.spicetheplate.com/wp-content/uploads/2017/02/Shanghai-style-rice-cake-soup-9-320x320.jpg,"['½ pound pork loin, slice into strips', '½ pound white mushrooms, sliced', '8 stalks baby bok choy, separate the leaves from the stem', '4 cups sliced Korean rice cake', '8 cups water or chicken stock', '1 tablespoon oil', 'Marination:', '3 tablespoons cooking wine', '1 teaspoon salt', 'Seasoning:', '2 teaspoons']","Marinate the pork strips with cooking wine and salt in a container for 10 minutes.
Heat oil in a large pan, sauté pork over medium heat for 3-4 minutes, remove from the heat and set aside.
Stir mushroom slices and baby bok choy into the same pan, stir fry for 2-3 minutes until starting to turn soft.
Carefully pour chicken stock (or water) into the pan and bring to a boil over high heat.
Add pork, rice cakes and season with salt, give it a gentle stir to mix everything well.
Covering the pan with a lid, simmer 4-5 minutes over high heat until the rice cakes are soft and cooked through.",en-US,{},-1.0,,Spice the Plate,30,4 serving(s)
Slow-cooked Pork Rib and Rice Cake,Spice the Plate,https://www.spicetheplate.com/pork/slow-cooked-pork-rib-rice-cake/,,https://www.spicetheplate.com/wp-content/uploads/2017/01/Slow-cooked-Pork-Rib-and-Rice-Cakes-4-320x320.jpg,"['1 pound pork short ribs (ask the butcher to help cut into bite-size pieces)', '1 tablespoon oil', '1 tablespoon soy sauce', '1 tablespoon dark soy sauce', '1 tablespoon sugar', '2 stalks green onion, cut into long strips', '2-3 ginger slices', '1 cinnamon stick, break in half', '3 star anises', '2 cups water', '1 tablespoon cooking wine', '1 cup cylinder-shaped rice cakes', 'a handful of chopped scallion for topping', 'a touch of toasted sesame seeds for topping', 'Marinate the pork ribs:', '1 tablespoon cooking wine', '1 tablespoon soy sauce', '1 teaspoon potato starch', '¼ teaspoon salt']","In a ziploc bag, add in cooking wine, soy sauce, potato starch and salt, transfer in the pork ribs and marinate 15 minutes.
Heat oil in a skillet over medium heat, stir in the pork rib, stir fry 4-5 minutes or until no longer pink.
Toss in soy sauce, dark soy sauce and sugar, cook 3-4 minutes or until the sugar has melt, stir to mix and coat the pork ribs well with the seasonings.
Transfer everything into a large ceramic pot, add green onion, ginger, cinnamon, star anise, water and cooking wine into the pot.
Cook until the water starts to boil over high heat, keep cooking about 10 minutes or until about ⅔ amount of water left in the pot, add in the rice cakes, stir occasionally to avoid sticking.
Turn the heat back to low, cover the ceramic pot with a lid and continue cooking 10-15 minutes or until the rice cakes are cooked through and the sauce is thick enough to coat the back of a spoon.
Sprinkle on top scallion and toasted sesame seeds to serve.",en-US,{},-1.0,,Spice the Plate,60,2-4 serving(s)
Korean Soybean Paste Soup,Spice the Plate,https://www.spicetheplate.com/pork/korean-soybean-paste-soup/,,https://www.spicetheplate.com/wp-content/uploads/2016/10/Pork-Belly-Soybean-Paste-Stew-11-320x320.jpg,"['3-4 slices pork belly, cut into big pieces', '½ potato, thinly sliced', '½ zucchini, cut into thin slices', '¼ white onion, chop into small pieces', '2-3 slices ginger', '2 cloves garlic, sliced', '2 stalks green onion, chopped for garnishing', '2 tablespoons Korean soy bean paste', '¼ teaspoon sugar', 'a touch of sesame oil']","Pan fry the pork belly for 3-4 minutes until browned and crisp, set aside.
Add potato, onion and zucchini into the pan, stir fry under medium-high heat for 4-5 minutes until soft.
Toss in ginger and garlic, pour 1 cup of water into the pan and stir to mix well.
After the water starts to boil, add soy bean paste and sugar and stir to mix well.
Turn to medium-low heat and simmer for about 10 minutes with lid on, stir occasionally.
Add the pork belly into the pan, cook for another 2-3 minutes.
Remove from pan and transfer into a big serving bowl.
Drizzle with sesame oil and sprinkle with green onion to serve.",en-US,{},5.0,,Spice the Plate,40,2 serving(s)
Fresh Sautéed Okra and Egg,Spice the Plate,https://www.spicetheplate.com/veggie/fresh-sauteed-okra-and-egg/,,https://www.spicetheplate.com/wp-content/uploads/2017/04/Okra-and-Egg-6-320x320.jpg,"['half pound okra, about 10-12', '2 eggs, beaten', '1 slice of ginger, cut into match-stick size', '1 small red pepper, sliced', '1 tablespoon oil for stir-frying', 'For seasoning:', 'salt to taste', 'sugar to taste', 'half a tablespoon soy sauce', 'half a tablespoon sesame oil']","Bring a medium pot of water into boiling, cook okra in water for 1 minute, remove from pot, rinse under cold water and drain well.
Slice the Okra into thick slices.
Crack two eggs into a bowl, toss in a touch of salt, sugar and add about 1 tablespoon of water, beat the egg mixture.
Heat oil in a pan over medium heat, pour in the egg mixture and wait until the egg starts to set, pull the egg across the pan, forming large soft curds (scrambled egg), set aside.
Add more oil to the pan, sauté the ginger and pepper until fragrant.
Add the okra, stir fry for 1 minute and then add in the egg.
Season with salt, soy sauce, and sesame oil, cook for another minute.
Transfer to a plate to serve.",en-US,{},-1.0,,Spice the Plate,15,2 serving(s)
Homemade Low-Sugar Bubble Milk Tea,Spice the Plate,https://www.spicetheplate.com/seafood-and-other/homemade-low-sugar-bubble-milk-tea/,,https://www.spicetheplate.com/wp-content/uploads/2018/07/Green-Bean-and-Tofu-with-Ground-Pork-Stir-Fry-29-300x300.jpg,"['2 bags of green tea (or any tea flavor of your choice)', '2 servings of tapioca pearls (about ⅓ cup per serving)', 'Milk to taste', 'Sugar to taste']","Cook the tapioca pearls:
Fill a medium pot with cold water and bring it to a boil with high heat.
Carefully add in the tapioca pearls into the water, stir gently to avoid the pearls sticking together.
Continue boiling for one minute, then cover the pot with a lid and turn the heat down to medium.
Cook the tapioca pearls for the length recommended on the package (about 5-6 minutes).
Turn off the heat and leave them covered for a few minutes before draining the hot water.
Rinse the tapioca pearls in cold water, drain and transfer to a small bowl to set aside.
Prepare Tea:
Place two tea bags in a large cup or mug. Pour boiled water over the tea bag, steep for a minute or two, remove tea bag. Add 1 teaspoon of sugar stir and set aside.
Assembly:
Put one serving of the cooked tapioca pearls into a mug. Pour in about 1 cup of the sweetened tea, add ½ cup of milk. Stir and taste the milk tea. Add more milk, sugar or tea to your taste. Throw in a few ice cubes if you'd like to make a cold drink. Enjoy!",en-US,{},-1.0,,Spice the Plate,20,2 serving(s)
Green Bean and Tofu with Ground Pork Stir Fry,Spice the Plate,https://www.spicetheplate.com/pork/green-bean-and-tofu-with-ground-pork-stir-fry/,,https://www.spicetheplate.com/wp-content/uploads/2018/07/Green-Bean-and-Tofu-with-Ground-Pork-Stir-Fry-29-300x300.jpg,"['1 pound fresh green beans, ends trimmed and chopped into 1-inch long pieces', '½ pound ground pork', '¼ pound firm tofu, cut into 1-inch cubes', '1 red bell pepper, diced', '2-3 garlic cloves, chopped', '2 stalks green onion, chopped', 'cilantro for topping (optional)', 'Marinate ground pork:', '1 tablespoon soy sauce', '1 tablespoon cooking wine', '½ teaspoon sugar', '½ teaspoon potato starch', 'Seasoning:', '1 teaspoon oil for pan fry the tofu cubes', 'salt to taste', 'soy sauce to taste']","Marinate ground pork with soy sauce, cooking wine, sugar and potato starch for 10 minutes.
Heat a bit of oil over medium heat, pat the tofu cubes dry with a paper towel before carefully adding them to the pan.
Pan fry the tofu cubes for 10 minutes or until all sides are crisp and browned, set aside for later use.
Add in the marinated ground pork and stir with a spatula, make sure there's no clumping and allow it to cook for five minutes or until no longer pink.
Set the ground pork aside and leave the oil released during cooking in the pan for stir frying use later.
Stir in garlic and green onion, sauté for 30 seconds or until fragrant.
Add green beans and red peppers to the pan, stir fry 8-10 minutes or until soft.
Add previously ground pork and tofu cubes to the pan and toss in salt and soy sauce to taste. Continue cooking for 1-2 minutes and stir to make sure the seasonings are distributed evenly.
Transfer to a plate and top with cilantro to serve and enjoy while hot!",en-US,{},-1.0,,Spice the Plate,50,2 serving(s)
