title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
Super Easy Chinese Pork Rib Rice Bowl,Spice the Plate,https://www.spicetheplate.com/chinese/chinese-pork-rib-rice-bowl/,,https://www.spicetheplate.com/wp-content/uploads/2018/03/Chinese-Ribs-and-Rice-16-300x300.jpg,"['1 cup jasmine rice', '1 pound baby back ribs (ask the butcher to cut them into 2-inch pieces for you)', '1 cup fresh mixed vegetables (diced carrots, green peas, corns, green beans etc.)', '3-4 shiitake mushrooms, diced (or use fresh white mushrooms)', '2-3 thin slices of ginger', '2 stalks green onion, cut the white roots into 3-inch pieces and thinly slice the green portion for garnish later', '¾ cup water', 'a few drops of sesame oil for dressing at the end', 'Sauce:', '2.5 tablespoons soy sauce', '1 tablespoon cooking wine', '1 tablespoon oyster sauce /hoisin sauce', '1 tablespoon sugar', 'Other toppings:', 'blanched vegetables or a fried egg on top (optional)']","Rinse jasmine rice with water, drain and transfer to the cooking bowl of a rice cooker.
Combine soy sauce, cooking wine, oyster sauce and sugar in a small bowl, mix well and set aside.
Heat a tablespoon of oil in a saute pan over low heat, saute the pork ribs until slightly browned.
Add cooked pork ribs, mushrooms, and mixed vegetables into the cooking bowl over the rice.
Place ginger slices and green onion on top and pour the seasoning sauce over.
Add water to the bowl and stir gently with the rice spatula (comes with the rice cooker) to mix the seasonings well.
Move the cooking bowl into the rice cooker, cover the lid and press the ""cook"" button.
While the rice is cooking, do not lift the lid and let it be. After the button has switched to the ""keep warm"" setting, let it sit for about 5 minutes.
Carefully lift the lid off and transfer everything to a large plate or bowl with the rice spatula.
Remove the ginger slices, and green onion, sprinkle with chopped green onion and drizzle a little sesame oil on top to serve and enjoy!",en-US,{},-1.0,,Spice the Plate,60,2 serving(s)
Cantonese Casserole Rice,Spice the Plate,https://www.spicetheplate.com/rice-noodle/cantonese-casserole-rice/,,https://www.spicetheplate.com/wp-content/uploads/2016/10/Cantonese-Casserole-Rice-13-320x320.jpg,"['half a cup white rice, soaked in water for 30 minutes', '2 Chinese sausages, sliced', 'a handful of broccoli', '1 egg', '1 stalk green onion, chopped', 'a touch of shredded ginger', 'For the sauce:', '1 tablespoons soy sauce', 'half a tablespoon oyster sauce', 'half a tablespoon sesame oil', '1 tablespoons water', 'a quarter teaspoon sugar']","Soak the rice in water for half an hour.
Whisk soy sauce, oyster sauce, sesame oil, water, sugar and salt in a small container and set aside.
Drain the rice, move them to a ceramic pot and add some water into the pot (the depth of the water should be about half an inch above the rice), drizzle with some oil and mix well.
Move the pot onto the stove top, turn to high heat, cook for a couple of minutes with lid on until the water starts to boil.
After the water starts to boil, cook for another 1 minute under high heat.
Turn to low heat, and simmer with lid on for a couple of more minutes until the water in the rice has disappeared and it appears dry.
Lay Chinese style sausage slices and ginger onto the rice and crack a egg beside.
Simmer for another couple of minutes under low heat with lid on until the sausage and egg have been cooked through.
Lay the broccoli onto the rice, put the lid back on and continue to simmer for a little while until the broccoli is cooked.
Sprinkle the green onion over the rice and let it simmer for another 30 seconds and remove from heat.
Pour the sauce over the rice and serve, remember to use oven mitts when touching the ceramic pot, it will be very hot.",en-US,{},-1.0,,Spice the Plate,60,1 serving(s)
Better than Takeout Beef Lo Mein,Spice the Plate,https://www.spicetheplate.com/rice-noodle/better-than-takeout-beef-lo-mein/,,https://www.spicetheplate.com/wp-content/uploads/2016/11/Beef-Lo-Mein-14-320x320.jpg,"['1 serving Lo Mein Egg Noodles', '¼ pound beef sirloin steak, cut into thick slices', '1 teaspoon grated ginger', '2 cloves garlic, minced', '¼ onion, sliced', '⅛ head cabbage, shredded', '½ carrot, cut into match-size sticks', 'a handful of bean sprouts', '3-4 stalks scallion, cut into long pieces', 'roasted sesame seeds for topping', 'For seasoning the noodle before cooking:', '1 tablespoon soy sauce', '1 tablespoon oyster sauce', '1 tablespoon cooking wine', 'For marinating the beef:', '⅛ teaspoon salt', '⅛ teaspoon ground black pepper', '1 teaspoon soy sauce', 'For seasoning the vegetables during cooking:', '¼ cup oil', '½ teaspoon salt', '½ teaspoon ground black pepper']","Bring a pot of water to boil, cook the Lo Mein noodles for 5 minutes, rinse under cold water, drain.
Season the cooked noodles with soy sauce, oyster sauce and cooking wine, mix well and set aside.
Marinate the beef with salt, black pepper and soy sauce for 5 minutes.
Heat a touch of oil in a pan over medium-high heat, sauté the beef for 1-2 minutes until no longer pink, set aside.
Heat a quarter cup worth of oil in the pan, sauté the ginger and garlic until fragrant, add onion, carrot, cabbage and bean sprouts into the pan, and season with salt and black pepper, stir fry for 2-3 minutes until soft.
Add the noodle and beef back into the pan, and stir fry for 2-3 minutes to mix well.
Add the scallion, cook for another minute until they starts to turn soft.
Sprinkle with toasted sesame seeds to serve.",en-US,{},-1.0,,Spice the Plate,37,1 serving(s)
Braised Pork Belly,Spice the Plate,https://www.spicetheplate.com/pork/braised-pork-belly/,,https://www.spicetheplate.com/wp-content/uploads/2015/09/Sugar-Braised-Pork-Belly-9-300x200.jpg,"['0.8 pound pork belly with skin, cut into 1-inch cubes', '1 tablespoon rock sugar or cane sugar', '2 slices ginger', '2 star anise', '2 bay leaves', '1-2 dried chili pepper, optional', '2 cups hot water', '1 touch of toasted white sesame seeds for topping', 'For the sauce:', '1 tablespoon cooking wine', '1 tablespoon soy sauce', '2 tablespoons dark soy sauce']","Mix cooking wine, soy sauce and dark soy sauce in a container for later use.
Heat a non-stick pan, stir in the pork belly, pan fry under medium-low heat for about 5 minutes until browned, stir occasionally.
Toss in the sugar, carefully stir to help the sugar melt, add in the ginger, star anise, bay leaves and dried chili pepper, sitr fry for about 2-3 minutes.
Carefully pour in the sauce and cook for another 1-2 minutes.
Move all the ingredients into a clay pot or a slow cooker, add in the hot water and simmer for about 50 minutes under medium-low heat until the sauce has almost gone.
Top with the toasted white sesame seeds and serve.",en-US,{},4.9,,Spice the Plate,70,2 serving(s)
Tasty Spam Fried Rice,Spice the Plate,https://www.spicetheplate.com/rice-noodle/tasty-spam-fried-rice/,,https://www.spicetheplate.com/wp-content/uploads/2018/01/Tasty-Spam-Fried-Rice-36-1-585x585.jpg,"['2 cups leftover cooked white rice (preferably long-grain rice such as jasmine rice)', '2 eggs, beaten', '1 tablespoon sesame oil', '1 can of spam meat (about 7 oz.), cut into half-inch cubes', '2 cups mixed vegetables (blend of corn, carrots, green beans & peas)', '1 tablespoon of oil for stir-frying', 'salt and pepper to taste', '1 stalk green onion, chopped for garnish']","Combine leftover rice, egg and sesame oil in a large bowl. Mix thoroughly with hand and set aside.
Bring a medium pot of water to boil, add the frozen mixed vegetables into the pot, cook 1-2 minutes, drain and set aside.
Heat oil in a pan till shimmering over medium heat, add the spam cubes, stir-fry 3-4 minutes or until light golden brown. Transfer the spam cube to a small bowl and set aside, leave the oil in the pan.
Carefully add the rice (mixed with egg and sesame oil), stir-fry 7-8 minutes or until the rice is no longer sticks together, became dry and fluffy (Means the egg has been cooked).
Turn to high heat, add the pre-cooked mixed vegetables, stir-fry for a minute.
Stir in the lightly browned spam cubes, stir-fry for another 1-2 minutes.
Season with salt and pepper to taste.
Transfer to a large plate, sprinkle with chopped green onion to serve.
Drizzled with Sriracha, or add a fried egg on top if desired.
Enjoy while hot!",en-US,{},4.5,,Spice the Plate,30,2 serving(s)
Tuna Kimchi Fried Rice,Spice the Plate,https://www.spicetheplate.com/rice-noodle/tuna-kimchi-fried-rice/,,https://www.spicetheplate.com/wp-content/uploads/2017/02/Tuna-Kimchi-Fried-Rice-8-320x320.jpg,"['2 cups day-old leftover rice', '1 cup kimchi, chopped into smaller pieces', '1 serving of canned tuna (2 oz, about ¼ cup)', '½ cup diced onion', '½ cup diced carrot', '1 tablespoon oil', 'Seasonings:', '¼ cup kimchi juice', '1 teaspoon Korean hot pepper paste (gochujang)', '1 teaspoon sesame oil', '½ teaspoon salt', '½ teaspoon sugar', 'Topping:', '1 sunny-side up fried egg', '1 teaspoon roasted sesame seeds', '¼ sheet of dried seaweed, shredded (optional)']","Mix the leftover rice with kimchi juice, Korean hot pepper paste (gochujang), sesame oil, salt and sugar, set aside.
Heat oil in a pan over medium heat, sauté carrot and onion for 2-3 minutes until soft and slightly browned.
Add kimchi, stir fry for 1-2 minutes and stir in the canned tuna, cook for 1 minute.
Add in the flavored leftover rice, cook 4-5 minutes until throughly heat through. Stir frequently until all ingredients are mixed well.
Sprinkle with roasted sesame seeds and dried seaweeds.
Add a sunny-side up fried egg on top to serve and enjoy!",en-US,{},5.0,,Spice the Plate,20,1-2 serving(s)
Chili Oil Noodles Made With Wonton Wrap,Spice the Plate,https://www.spicetheplate.com/rice-noodle/chili-oil-noodles-made-with-wonton-wrap/,,https://www.spicetheplate.com/wp-content/uploads/2016/07/Chili-Oil-Noodle-300x450.jpg,"['About 30 wonton wraps, cut into three parts', '2 stalks bok choy, cleaned and separate the leaves from the stems', '2 cloves garlic, chopped', '2 stalks green onion, chopped', '2 tablespoons ground chili powder', '¼ cup Chinese vinegar', '⅓ cup soy sauce', '1 cup oil']","Bring a medium pot of water into boil over high heat.
Add wonton wrap strips and bok choy into the boiling water, cook for 2-3 minutes until the wonton wrap has turned translucent and cooked through, stir occasionally to avoid sticking.
Remove from pan, drain well and transfer to a container.
Season with Chinese vinegar and soy sauce and then put garlic, green onion and ground chili powder on top.
Heat oil in a pan over high heat until you see some smoke, immediately remove from pan, and carefully pour on top of the ingredients.
Mix everything well and enjoy.",en-US,{},-1.0,,Spice the Plate,8,2 serving(s)
Stir-fried Ramen With Beef,Spice the Plate,https://www.spicetheplate.com/recipes/stir-fried-ramen-with-beef/,,https://www.spicetheplate.com/wp-content/uploads/2018/03/Stir-fried-Ramen-With-Beef-13.jpg,"['1 serving ramen noodles (instant or fresh, I used fresh ramen noodles)', '¼ pound beef flank steak, cut into 3-inch long strips', '1 small red onion, sliced', '¼ cabbage, shredded', '2 stalks green onion, ends trimmed, cut into 3-inch long strips', 'For boiling the noodles:', '1 medium pot of water', 'a few drops of oil to prevent noodles from sticking together', 'For cooking and seasoning:', '2-3 tablespoons oil', '1 tablespoon soy sauce', '½ tablespoon dark soy sauce', '¼ teaspoon salt', '¼ teaspoon ground black pepper', '½ tablespoon oyster sauce', 'For Garnishing:', '1 Thai red chili pepper (optional)']","Bring a medium pot of water to boil, drizzle in a few drops of oil and add the noodles. Loosen the noodles up with chopsticks and cook a few minutes according to the package instructions. Since we are going to stir fry the noodles later, the noodles only need to be cooked al dente (about 1 minute earlier than suggested time).
Pour the noodles into a mesh strainer to drain, rinse under cold water and set aside.
Heat oil in a stir-fry pan or wok over medium-high heat, stir in the beef, quickly stir-fry for a minute or two until no longer pink.
Add red onion, stir-fry until fragrant (about 30 seconds) toss in soy sauce and dark soy sauce, stir to mix well.
Add cabbage and green onion, stir-fry 1-2 minutes or until soft before adding the noodles to the pan.
Toss in salt, ground black pepper and oyster sauce, stir to mix the seasonings well with the ingredients.
Stir-fry another 1-2 minutes before removing from the heat.
Transfer to a large plate or bowl, serve while hot and enjoy!",en-US,{},-1.0,,Spice the Plate,30,1-2 serving(s)
Sriracha Chicken and Avocado Bowl,Spice the Plate,https://www.spicetheplate.com/chicken/sriracha-chicken-avocado-bowl/,,https://www.spicetheplate.com/wp-content/uploads/2016/12/Sriracha-Chicken-and-Advocado-Bowl-4-320x320.jpg,"['1 piece skinless boneless chicken breast (half a pound)', '¾ cup frozen corns', 'half avocado, cut into 1-inch cubes', 'a handful of roasted sesame seeds', 'Sriracha vinegar sauce:', '1 tablespoon olive oil', '2 tablespoons sriracha sauce', '1 tablespoon rice vinegar', '1 teaspoon sugar', '1 tablespoon oyster sauce']","Place the chicken in a pot large enough to hold the chicken, add water to cover the chicken and bring to boiling over medium-high heat.
Reduce the heat to simmer and cover the pan with a lid, wait until the chicken is fully cooked (15-20 minutes).
Transfer the chicken to a cutting board and cut into 1-inch cubes, set aside.
In a small saucepan, add olive oil, sriracha sauce, rice vinegar, sugar and oyster sauce.
Place on the stove over low heat, bring to a simmer while stirring with a spoon.
When the sauce begins to bubble on the sides of the pan, remove from heat.
Add the chicken into the sauce, toss and stir with a spoon until evenly coated with the dressing, set aside.
Bring a medium pot of lightly salted water to boiling over high heat, reduce to simmer, add the frozen corn and cook 3-4 minutes until cooked through (stir occasionally), drain and set aside.
Cut half a avocado into 1-inch cubes.
Combine chicken, corns and avocado in a bowl, top with roasted sesame seeds to serve and enjoy!",en-US,{},5.0,,Spice the Plate,30,1 serving(s)
Beef and Kale Stir-fried Noodles,Spice the Plate,https://www.spicetheplate.com/rice-noodle/beef-kale-stir-fried-noodles/,,https://www.spicetheplate.com/wp-content/uploads/2017/01/Beef-and-Kale-Stir-fried-Noodles-16-320x320.jpg,"['½ pound flank steak, cut into bite-size strips', '⅓ bunch kale, strip the leaves from the stems and tear into smaller pieces', '2 servings Japanese buckwheat noodles for yakisoba', '1 tablespoon minced garlic', '1 tablespoon minced ginger', '¼ cup oil', '1 tablespoon soy sauce', '1 tablespoon oyster sauce', '½ teaspoon sugar', '1 teaspoon black pepper', '1 teaspoon red pepper flakes (optional)', 'a touch of roasted sesame seeds for topping', 'For marinating the beef:', 'half tablespoon soy sauce', 'half tablespoon dark soy sauce', 'half teaspoon sugar', '1 teaspoon potato starch', '1 tablespoon oil', '1 tablespoon sesame oil', '1 tablespoon rice cooking wine', 'For pre-seasoning the noodles:', '1 tablespoon dark soy sauce']","Put the beef into a ziploc bag, whisk together soy sauce, dark soy sauce, sugar, potato starch, oil, sesame oil and rice cooking wine in a small container and pour over the beef into the bag, marinate for 15 minutes.
Bring a large pot of water to boil and cook the noodles for 2-3 minutes.
Strain the noodles, rinse them under cold water and then drain well.
Transfer the noodles back into the pot, mix with one tablespoon of dark soy sauce and set aside.
Heat a cast iron pan over high heat, carefully lay the beef onto the pan with a tong and sear for 1 to 2 minutes (cook without moving). Continue cooking while stirring for another 30 seconds to a minute, transfer to a plate and set aside.
Heat a quarter cup oil in a large skillet over medium-high heat, stir in garlic and ginger, sauté for 30 seconds or until fragrant.
Add in the kale, sauté for a minute and add the noodles and beef into the skillet.
Toss in soy sauce, oyster sauce, sugar, black pepper and red pepper flakes, continue cooking 2-3 minutes while stirring until everything is mixed well.
Transfer onto plates, sprinkle a touch of roasted sesame seeds on top and serve.",en-US,{},-1.0,,Spice the Plate,30,2 serving(s)
