title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
15-minutes Easy Teriyaki Salmon,Spice the Plate,https://www.spicetheplate.com/seafood-and-other/15-minute-easy-teriyaki-salmon/,,https://www.spicetheplate.com/wp-content/uploads/2017/01/Teriyaki-Salmon-14-320x320.jpg,"['1 salmon fillet (half pound) with skin', '¼ teaspoon salt', '¼ teaspoon ground black pepper', '2-3 tablespoons teriyaki sauce', 'a lemon wedge', '1 stalk scallion, chopped']","Lined a baking sheet with aluminum foil and place the salmon fillet on top.
Rub salt, black pepper onto the salmon fillet and then coat with teriyaki sauce evenly with a spoon.
Preheat the oven to 350 F degrees, bake the salmon for 15 minutes or until cooked through.
Transfer the salmon onto a plate, drizzle with lemon juice and sprinkle with freshly chopped scallion to serve.",en-US,{},5.0,,Spice the Plate,20,1 serving(s)
Braised Pork Belly,Spice the Plate,https://www.spicetheplate.com/pork/braised-pork-belly/,,https://www.spicetheplate.com/wp-content/uploads/2015/09/Sugar-Braised-Pork-Belly-9-300x200.jpg,"['0.8 pound pork belly with skin, cut into 1-inch cubes', '1 tablespoon rock sugar or cane sugar', '2 slices ginger', '2 star anise', '2 bay leaves', '1-2 dried chili pepper, optional', '2 cups hot water', '1 touch of toasted white sesame seeds for topping', 'For the sauce:', '1 tablespoon cooking wine', '1 tablespoon soy sauce', '2 tablespoons dark soy sauce']","Mix cooking wine, soy sauce and dark soy sauce in a container for later use.
Heat a non-stick pan, stir in the pork belly, pan fry under medium-low heat for about 5 minutes until browned, stir occasionally.
Toss in the sugar, carefully stir to help the sugar melt, add in the ginger, star anise, bay leaves and dried chili pepper, sitr fry for about 2-3 minutes.
Carefully pour in the sauce and cook for another 1-2 minutes.
Move all the ingredients into a clay pot or a slow cooker, add in the hot water and simmer for about 50 minutes under medium-low heat until the sauce has almost gone.
Top with the toasted white sesame seeds and serve.",en-US,{},4.9,,Spice the Plate,70,2 serving(s)
Egg Drop Soup,Spice the Plate,https://www.spicetheplate.com/chinese/egg-drop-soup/,,https://www.spicetheplate.com/wp-content/uploads/2016/10/Egg-Drop-Soup-7-320x320.jpg,"['1 cup cleaned and trimmed oyster mushrooms', '2 eggs, beaten', '2 cups chicken stock or water', '1 stalk green onion, chopped', '½ teaspoon grated ginger', '1 tablespoon potato starch', '1 tablespoon chicken stock or water', '1 tablespoon soy sauce', '¼ teaspoon white pepper', 'a touch of sesame oil']","Whisk potato starch with a little bit chicken stock in a small bowl and set aside.
Grab a medium pot, add in mushrooms, ginger and green onion first.
Followed by pouring in the chicken stock, and tossing in soy sauce and white pepper, stir gently to mix well.
Bring the stock to boil over medium-high heat.
Reduce heat to simmer, carefully pour in the beaten eggs while stirring.
After the egg has spread out into ribbons and set, slowly pour in the starch mixture and keep simmering for another 1-2 minutes, stir occasionally.
Top with a few more chopped green onions and a touch of sesame oil to serve while hot.",en-US,{},-1.0,,Spice the Plate,20,2-3 serving(s)
Potato Pancake,Spice the Plate,https://www.spicetheplate.com/seafood-and-other/potato-pancake/,,https://www.spicetheplate.com/wp-content/uploads/2016/06/Potato-Pancake-8-300x450.jpg,"['1 potato, sliced', 'half a onion, sliced', '2 eggs, beaten', '2 tablespoons oil', '½ teaspoon salt', '½ tablespoon black pepper']","Crack two eggs, after beating, toss in salt and black pepper, mix well and set aside.
Heat 1 tablespoon of oil in a pan over medium-low heat, pan fry the potato for about 10 minutes until crisp and cooked through and remove from the pan.
Add in another tablespoon of oil into the pan, and stir in the onion, stir fry for 8-10 minutes until browned and soft, set aside.
Carefully lay the potato slices back onto the pan and sprinkle the cooked onion on top of the potato, keep the heat at medium-low, gently pour the egg mixture around the pan, wait for 3-4 minutes until the egg has became firm.
Carefully flip the pancake (I used a big flat plate to help turn the pancake without breaking it) and cook for another 2-3 minutes.
Dip with ketchup to serve.",en-US,{},-1.0,,Spice the Plate,35,4 serving(s)
Mango Smoothie with Mango Ice Cubes,Spice the Plate,https://www.spicetheplate.com/seafood-and-other/mango-smoothie-with-mango-ice-cubes/,,https://www.spicetheplate.com/wp-content/uploads/2017/04/Fresh-Mango-Smoothie-with-Mango-Ice-Cubes-16-320x320.jpg,"['6-8 medium sized honey mangos (Ataulfo mango)', '1 cup milk or plain low-fat yogurt', '1 tablespoon honey or sugar', 'Garnishing:', 'mint leaves', 'lime wedges']","Use half of the mangos, cut into chunks, put in a blender and process until smooth.
Pour into a ice cube tray and freeze overnight.
Cut the other half mangos into chunks.
Place mango ice cubes, mango chunks, milk and honey in a blender, blend until smooth.
Garnish with mint leaves or lime wedges and enjoy!",en-US,{},-1.0,,Spice the Plate,26,4 serving(s)
Korean Cheesy Hot Cheese Rice Cake,Spice the Plate,https://www.spicetheplate.com/seafood-and-other/korean-cheesy-hot-rice-cakes/,,https://www.spicetheplate.com/wp-content/uploads/2018/04/Korean-Cheesy-Rice-Cakes-2.jpg,"['About 20 pieces of rice cakes (cylinder-shaped rice cakes, commonly used to make tteokbokki', '1 cup shredded cheddar cheese', 'Hot sauce:', '2 tablespoons Korean hot pepper paste', '1 tablespoon ketchup', '1 tablespoon honey', '1 tablespoon sesame seeds']","Add Korean rice cakes into a medium pot of water and bring to boil over high heat, stir occasionally to avoid sticking.
Boil for about 3 minutes, rinse under cold water and drain well.
Thread the rice cakes onto the skewers and save for later use.
Whisk Korean hot pepper paste, ketchup, honey and sesame seeds in a container as the sauce.
Brush the spicy sauce onto the rice cake skewers evenly and sprinkle shredded cheddar cheese on top.
Preheat the oven to 350 degrees, while waiting, get a sheet of aluminum foil to lie flat on a baking sheet and place the rice cake skewers on the foil.
Bake for about 10 minutes.
Transfer to a small plate to serve, enjoy while hot!",en-US,{},-1.0,,Spice the Plate,25,2-3 serving(s)
Shrimp and Broccoli Stir-fry,Spice the Plate,https://www.spicetheplate.com/seafood-and-other/shrimp-and-broccoli-stir-fry/,,https://www.spicetheplate.com/wp-content/uploads/2016/06/Sweet-and-Sour-Shrimp-7-300x450.jpg,"['1 stalk broccoli, tear or cut into small pieces', 'half a pound cooked and peeled shrimp', '1 tomato, cut into 8 pieces', '3-4 slices fresh ginger, cut into strings', '1 stalk green onion, chopped', '2 tablespoons oil', 'For seasoning:', '3 tablespoons ketchup', '2 tablespoons water', '1 tablespoon cooking wine', '½ teaspoon salt', '½ teaspoon sugar', '½ teaspoon black pepper']","Whisk ketchup, water, cooking wine, salt, sugar and black pepper in a bowl and set aside.
Bring a small pot of water to boil over high heat, toss in a touch of sugar, salt and oil.
Carefully add in the broccoli, wait until the water starts to boil again, cook for another 2 minutes, fish the broccoli out, rinse under cold water or place in the ice bath, drain well and place around a plate.
Heat oil in a pan over medium heat, stir fry ginger and green onion for about 1 minute or until fragrant.
Pour in the sauce made in step one and continue to cook for about 1 minute.
Add in the tomato, stir fry for about 2 minutes until soft.
Add the shrimp into the pan, stir fry for about 2 minutes and make sure the sauce spreads evenly.
Top with chopped green onion to serve.",en-US,{},5.0,,Spice the Plate,15,2 serving(s)
Ginger-Pomegranate Prosecco Cocktails,Spice the Plate,https://www.spicetheplate.com/seafood-and-other/ginger-pomegranate-prosecco-cocktail/,,https://www.spicetheplate.com/wp-content/uploads/2017/12/Ginger-Pomegranate-Prosecco-Cocktails-12-585x585.jpg,"['For the rim:', '2 tablespoons sugar', '1 slice fresh ginger (1/2-inch thick)', 'Ginger syrup:', '¼ cup sugar', '¼ cup water', '2 slices fresh ginger (1/2-inch thick)', 'Cocktail:', '1 cup ice', '2 oz Japanese sake or Korean soju', '2 oz pomegranate juice', '1 oz ginger syrup (from above step)', '12 oz Voveti prosecco', 'Garnishment:', '2 tablespoons fresh pomegranate seeds']","Place sugar on a flat plate; moisten the rims of glasses with a fresh ginger slice and then dip the rims evenly in sugar, set aside.
In a small saucepan, add sugar, water, and ginger slices; heat over low heat until sugar is dissolved, stir occasionally. Let stand 10-15 minutes to cool down.
Fill a cocktail shaker with ice. Add Sake or Soju, pomegranate juice, and ginger syrup and shake until well blended.
Pour the mixture into the two prepared glasses; add prosecco on top.
Add fresh pomegranate seeds to garnish and enjoy!",en-US,{},-1.0,,Spice the Plate,20,2 serving(s)
Hot Chocolate with Cinnamon,Spice the Plate,https://www.spicetheplate.com/seafood-and-other/hot-chocolate-cinnamon/,,https://www.spicetheplate.com/wp-content/uploads/2017/01/Hot-Chocolate-3-320x320.jpg,"['½ cup non-sweet cocoa powder', '1 teaspoons salt', '2 tablespoons sugar', '4 cups whole or skim milk', '2 cinnamon sticks', 'a handful of marshmallow for topping']","Whisk together cocoa powder, salt, sugar and 2 cups milk in a large sauce pan over medium-low heat until no lumps remain and bring to a rapid simmer.
Add in the rest of the milk, gently stir to mix well and then remove from heat.
Pour the hot chocolate into two mason jars, top with marshmallows, cinnamon sticks and a touch of cocoa powder and enjoy!",en-US,{},-1.0,,Spice the Plate,6,2 serving(s)
Fresh Sautéed Okra and Egg,Spice the Plate,https://www.spicetheplate.com/veggie/fresh-sauteed-okra-and-egg/,,https://www.spicetheplate.com/wp-content/uploads/2017/04/Okra-and-Egg-6-320x320.jpg,"['half pound okra, about 10-12', '2 eggs, beaten', '1 slice of ginger, cut into match-stick size', '1 small red pepper, sliced', '1 tablespoon oil for stir-frying', 'For seasoning:', 'salt to taste', 'sugar to taste', 'half a tablespoon soy sauce', 'half a tablespoon sesame oil']","Bring a medium pot of water into boiling, cook okra in water for 1 minute, remove from pot, rinse under cold water and drain well.
Slice the Okra into thick slices.
Crack two eggs into a bowl, toss in a touch of salt, sugar and add about 1 tablespoon of water, beat the egg mixture.
Heat oil in a pan over medium heat, pour in the egg mixture and wait until the egg starts to set, pull the egg across the pan, forming large soft curds (scrambled egg), set aside.
Add more oil to the pan, sauté the ginger and pepper until fragrant.
Add the okra, stir fry for 1 minute and then add in the egg.
Season with salt, soy sauce, and sesame oil, cook for another minute.
Transfer to a plate to serve.",en-US,{},-1.0,,Spice the Plate,15,2 serving(s)
