title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
"Pickled Daikon Radish, Carrot and Cucumber",Spice the Plate,https://www.spicetheplate.com/veggie/pickled-daikon-radish-carrot-cucumber/,,https://www.spicetheplate.com/wp-content/uploads/2017/07/Pickled-Carrots-Cucumber-and-Daikon-Radish-12-320x320.jpg,"['daikon radish, cut into 2-inch thick sticks (about 1 cup)', 'carrot, cut into 2-inch thick sticks (about 1 cup)', 'cucumber, cut into 2-inch thick sticks (about 1 cup)', '1 tablespoon salt', '2 tablespoons sugar', '¼ cup rice vinegar', '4-5 peppercorns', 'a handful of chili flakes', '1 clove garlic, sliced (optional)']","Place daikon radish, carrot and cucumber in a large bowl, rub evenly with salt, set aside for 30 minutes.
Discard the liquid released from the vegetable, rinse throughly under running water, drain well.
Add sugar, rice vinegar, peppercorns, chili flakes and garlic slices into the bowl and mix well.
Pack the vegetables into the jar, and pour the brine over the vegetables, seal the jar by screwing on the rings until tight.
Refrigerate at least 24 hours before opening. For a stronger flavor, try to wait at least 48 hours.
Serve as a side dish to your meal.",en-US,{},-1.0,,Spice the Plate,270,2 serving(s)
Braised Pork Belly,Spice the Plate,https://www.spicetheplate.com/pork/braised-pork-belly/,,https://www.spicetheplate.com/wp-content/uploads/2015/09/Sugar-Braised-Pork-Belly-9-300x200.jpg,"['0.8 pound pork belly with skin, cut into 1-inch cubes', '1 tablespoon rock sugar or cane sugar', '2 slices ginger', '2 star anise', '2 bay leaves', '1-2 dried chili pepper, optional', '2 cups hot water', '1 touch of toasted white sesame seeds for topping', 'For the sauce:', '1 tablespoon cooking wine', '1 tablespoon soy sauce', '2 tablespoons dark soy sauce']","Mix cooking wine, soy sauce and dark soy sauce in a container for later use.
Heat a non-stick pan, stir in the pork belly, pan fry under medium-low heat for about 5 minutes until browned, stir occasionally.
Toss in the sugar, carefully stir to help the sugar melt, add in the ginger, star anise, bay leaves and dried chili pepper, sitr fry for about 2-3 minutes.
Carefully pour in the sauce and cook for another 1-2 minutes.
Move all the ingredients into a clay pot or a slow cooker, add in the hot water and simmer for about 50 minutes under medium-low heat until the sauce has almost gone.
Top with the toasted white sesame seeds and serve.",en-US,{},4.9,,Spice the Plate,70,2 serving(s)
Simple Homemade Kimchi Pancake,Spice the Plate,https://www.spicetheplate.com/veggie/simple-homemade-kimchi-pancake/,,https://www.spicetheplate.com/wp-content/uploads/2016/06/Kimchi-Pancake-4-300x450.jpg,"['For the batter:', '1 cup chopped kimchi', '2 tablespoons chopped white onion', 'half cup all purpose flour', 'a quarter cup water', '3 tablespoons of kimchi juice', 'half teaspoon salt', 'half teaspoon sugar', 'For cooking:', '2 tablespoons oil', 'a handful of green onion for garnishing', 'Dipping sauce:', '2 tablespoons soy sauce', '1 tablespoon rice vinegar', '1 teaspoon sugar', '1 teaspoon toasted sesame seeds', 'a handful of chopped green onion']","Slowly pouring water into the flour and add in kimchi juice, salt and sugar, keep whisking until a smooth batter has formed.
Add kimchi and onion into the batter and mix well.
Heat oil in a non-stick pan over medium heat, shake the pan to make sure oil is spread evenly.
Carefully add ⅓ of the mixture onto the pan and create a round shape with the spatula, repeat the step for the rest ⅔ of mixture.
Pan fry for about 3 minutes with lid on and then flip all pancakes, continue to cook for about 2 minutes with lid on.
Remove lid, turn to high heat, pan fry each side for about 30 seconds.
Garnish with green onion and enjoy with the dipping sauce!",en-US,{},-1.0,,Spice the Plate,16,2-3 serving(s)
Spicy Cast Iron Grilled Bok Choy,Spice the Plate,https://www.spicetheplate.com/veggie/spicy-cast-iron-grilled-bok-choy/,,https://www.spicetheplate.com/wp-content/uploads/2017/04/Spicy-Cast-Iron-Grilled-Bok-Choy-10-320x320.jpg,"['4-6 stalks bok choy, cut into halves lengthwise', 'a few tablespoons olive oil', 'salt and pepper to taste', 'Spicy sauce:', '2 cloves garlic, finely chopped', '2 tablespoon Korean hot pepper paste (gochujang)', '2 tablespoon soy sauce', '1 tablespoon sesame oil', '2 teaspoons sugar', '1 teaspoon cornstarch', '2 tablespoons water', '1 teaspoon toasted sesame seeds']","Remove any damaged leaves from the outside of the bok choy and cut them in half lengthwise.
Thoroughly clean by putting them in a colander then into the sink filled with water enough to cover the bok choy, by lifting the colander out of the water, the agitate water will help the sand and grit fall to the bottom of the sink. (repeat a few times till there's no more grit in the bottom of the sink).
Pat the bok choy halves dry with a paper tower and set aside.
Drizzle some olive oil and sprinkle with salt, pepper onto the cut sides of the bok choy.
Whisk together garlic, Korean hot pepper paste, soy sauce, sesame oil, sugar, cornstarch, water and sesame seeds in a small bowl and set aside.
Heat a cast iron pan over medium heat until hot, place the bok choy onto the pan cut side down and leave them in place for a few minutes until browned and charred.
Turn them over and carefully pour half cup of water around the pan to help steam the bok choy.
Once the water's boiled out, transfer them to a plate.
Give the sauce mixture in the bowl a good stir and pour it into a small sauce pan, bring to a boil over low heat. Simmer for 1-2 minutes or until the sauce has thickened.
Brush the grilled bok choy with the glaze, serve and enjoy!",en-US,{},-1.0,,Spice the Plate,20,2-3 serving(s)
Sautéed Peas and Trumpet Mushroom,Spice the Plate,https://www.spicetheplate.com/veggie/sauteed-carrots-peas-and-trumpet-mushrooms/,,https://www.spicetheplate.com/wp-content/uploads/2016/11/Peas-and-Mushroom-Stir-Fry-6-320x320.jpg,"['1 cup diced trumpet or king oyster mushroom', '1 cup frozen peas and carrots, defrost', '1 teaspoon minced ginger', 'a handful of toasted pine nuts (optional)', '3 tablespoons oil', 'For seasoning:', '1 tablespoon soy sauce', 'half a tablespoon oyster sauce', '¼ teaspoon sugar', '1 teaspoon potato starch', '1 tablespoon water']","Bring a small pot of water to boil, carefully add in the mushroom, peas and carrots, boil for 2-3 minutes, drain well and set aside.
Whisk soy sauce, oyster sauce, sugar, potato starch and water in a container and set aside.
Heat oil in a pan over medium heat, stir in the ginger and cook for 1-2 minutes or until fragrant.
Add mushroom, peas and carrots back into the pan, sauté for 1-2 minutes or heated through.
Pour in the seasoning sauce, stir to mix well and cook for another 1-2 minutes.
Sprinkle with some toasted pine nuts to serve.",en-US,{},-1.0,,Spice the Plate,16,2 serving(s)
Fresh Sautéed Okra and Egg,Spice the Plate,https://www.spicetheplate.com/veggie/fresh-sauteed-okra-and-egg/,,https://www.spicetheplate.com/wp-content/uploads/2017/04/Okra-and-Egg-6-320x320.jpg,"['half pound okra, about 10-12', '2 eggs, beaten', '1 slice of ginger, cut into match-stick size', '1 small red pepper, sliced', '1 tablespoon oil for stir-frying', 'For seasoning:', 'salt to taste', 'sugar to taste', 'half a tablespoon soy sauce', 'half a tablespoon sesame oil']","Bring a medium pot of water into boiling, cook okra in water for 1 minute, remove from pot, rinse under cold water and drain well.
Slice the Okra into thick slices.
Crack two eggs into a bowl, toss in a touch of salt, sugar and add about 1 tablespoon of water, beat the egg mixture.
Heat oil in a pan over medium heat, pour in the egg mixture and wait until the egg starts to set, pull the egg across the pan, forming large soft curds (scrambled egg), set aside.
Add more oil to the pan, sauté the ginger and pepper until fragrant.
Add the okra, stir fry for 1 minute and then add in the egg.
Season with salt, soy sauce, and sesame oil, cook for another minute.
Transfer to a plate to serve.",en-US,{},-1.0,,Spice the Plate,15,2 serving(s)
Sautéed Yam with Soy Sauce,Spice the Plate,https://www.spicetheplate.com/veggie/sauteed-yam-soy-sauce/,,https://www.spicetheplate.com/wp-content/uploads/2017/02/Sautéed-Yam-with-Soy-Sauce-4-320x320.jpg,"['1 6-inch long Chinese yam, peeled and cut into ½-inch thick slices', '1 tablespoon oil', 'a pinch of salt', '1 tablespoon soy sauce', 'roasted sesame seeds']","Heat oil over medium-high heat until shimmering, add a pinch of salt to the oil.
Carefully add the Chinese yam into the pan, sauté a few minutes on each side until browned and cooked through.
Pour soy sauce onto the yam slices and continue cooking another 30 seconds.
Transfer to a small plate, sprinkle on top roasted sesame seeds to serve.",en-US,{},-1.0,,Spice the Plate,13,2 serving(s)
Homemade Low-Sugar Bubble Milk Tea,Spice the Plate,https://www.spicetheplate.com/seafood-and-other/homemade-low-sugar-bubble-milk-tea/,,https://www.spicetheplate.com/wp-content/uploads/2018/07/Green-Bean-and-Tofu-with-Ground-Pork-Stir-Fry-29-300x300.jpg,"['2 bags of green tea (or any tea flavor of your choice)', '2 servings of tapioca pearls (about ⅓ cup per serving)', 'Milk to taste', 'Sugar to taste']","Cook the tapioca pearls:
Fill a medium pot with cold water and bring it to a boil with high heat.
Carefully add in the tapioca pearls into the water, stir gently to avoid the pearls sticking together.
Continue boiling for one minute, then cover the pot with a lid and turn the heat down to medium.
Cook the tapioca pearls for the length recommended on the package (about 5-6 minutes).
Turn off the heat and leave them covered for a few minutes before draining the hot water.
Rinse the tapioca pearls in cold water, drain and transfer to a small bowl to set aside.
Prepare Tea:
Place two tea bags in a large cup or mug. Pour boiled water over the tea bag, steep for a minute or two, remove tea bag. Add 1 teaspoon of sugar stir and set aside.
Assembly:
Put one serving of the cooked tapioca pearls into a mug. Pour in about 1 cup of the sweetened tea, add ½ cup of milk. Stir and taste the milk tea. Add more milk, sugar or tea to your taste. Throw in a few ice cubes if you'd like to make a cold drink. Enjoy!",en-US,{},-1.0,,Spice the Plate,20,2 serving(s)
Shredded Zucchini Salad with Sesame Dressing,Spice the Plate,https://www.spicetheplate.com/veggie/shredded-zucchini-salad-with-sesame-dressing/,,https://www.spicetheplate.com/wp-content/uploads/2016/08/Zucchini-with-sesame-sauce-4-320x320.jpg,"['1 zucchini, shredded', 'Dressing:', '¼ cup sesame paste', '2 tablespoon soy sauce', '1 tablespoon rice vinegar', '½ tablespoon sesame oil', '½ tablespoon toasted sesame seeds', '½ teaspoon sugar']","Shred the zucchini with a vegetable slicer or a cutting knife and set aside.
Whisk sesame paste, soy sauce, rice vinegar, sesame oil, toasted sesame seeds and sugar in a small bowl as the salad dressing.
Pour the mixture on top of the zucchini, mix well and enjoy!",en-US,{},5.0,,Spice the Plate,6,2 serving(s)
Spicy Szechuan Cabbage Stir Fry,Spice the Plate,https://www.spicetheplate.com/veggie/spicy-szechuan-cabbage-stir-fry/,,https://www.spicetheplate.com/wp-content/uploads/2017/06/Spicy-Szechuan-Cabbage-Stir-Fry-4-320x320.jpg,"['1 medium head of green cabbage (about 1.5 pounds)', '3 tablespoons vegetable oil', '3 cloves garlic, chopped', '3 dired chili peppers, cut into small pieces with a kitchen scissor', '1 teaspoon szechuan peppercorns', 'Sauce:', '1 tablespoon soy sauce', '½ tablespoon Chinese vinegar', '1 teaspoon sugar', '¼ teaspoon salt']","Halve the cabbage with a knife and remove the core; tear the leaves into 3-inch wide pieces with hand (I prefer leaving the stems out and only keep the tender leaves)
Whisk together soy sauce, Chinese vinegar, sugar and salt in a small container, set aside.
Pour oil into the pan, add in the dried chili pepper and szechuan peppercorns, turn to low heat and sauté a minute or until fragrant.
Toss in the garlic and sauté until fragrant under low heat.
Add in the cabbage and turn to medium heat, cook about 3 minutes or until soft.
Give the sauce (previously set aside) a light stir before adding into the pan, stir to mix well, cook for a minute under high heat or until the seasoning's evenly distributed.
Transfer to a plate and serve!",en-US,{},5.0,,Spice the Plate,15,2 serving(s)
