title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
Squid fried with shrimp paste recipe,Mark Wiens (https://www.eatingthaifood.com/),https://www.eatingthaifood.com/thai-squid-shrimp-paste-recipe/,Thai,http://migrationology.smugmug.com/Thai-Recipes/i-FjHxVbv/0/X3/thai-squid-recipe-24-X3.jpg,"['250 grams squid (ปลาหมึก)', '1 head garlic (กระเทียม)', '1 tbsp peppercorns (พริกไทยดำ)', '3 stalks green onion (ต้นหอม)', '¼ tbsp shrimp paste (กะปิ)', '1 tbsp oyster sauce (น้ำมันหอย)', '3 tbsp oil for stir frying (น้ำมัน)']","This is a quick stir fry recipe, so the most important thing is to prepare all your ingredients before you get started.
Prepare the squid by removing the head, cutting out the eyes, and removing all the internal organs of the squid, and discarding the inner cuttlebone – which is like a piece of plastic. Rinse the squid in water, then slice the body of the squid into rings, and cut the tentacles into bite sized pieces.
Using a mortar and pestle, pound the black peppercorns for a few seconds until broken, but not powdery. Then add the garlic, and pound just for a few seconds to bruise the cloves.
For the green onions, cut off the roots, then slice into bite sized pieces about 5 cm in length.
Heat your wok or frying pan to high heat, then add oil to the pan.
Wait until the oil is hot, then toss in the black pepper and garlic, and stir fry for a few seconds.
Add the shrimp paste, and mix and mush into the oil, making sure it begins to dissolve and turn fragrant.
Once the garlic starts to turn golden brown, add the squid, and stir fry continuously for about a minute.
Season with oyster sauce, and continue stir frying.
Stir fry the squid for about 3 minutes altogether, making sure not to overcook it, or it will turn rubbery.
When the squid is fully cooked, the final step is to add the green onions, mix through once, then turn off the fire or heat of your stove. The green onions will still be slightly raw, but will continue to cook with the other hot ingredients.
Dish onto a plate immediately and serve.",en,{},5.0,,"Thai Street Food, Restaurants, and Recipes | Eating Thai Food",20,None
Southern Thai Gaeng Som Recipe – Sour Fish Soup,Mark Wiens (https://www.eatingthaifood.com/),https://www.eatingthaifood.com/thai-gaeng-som-recipe/,Thai,https://www.eatingthaifood.com/wp-content/uploads/2015/06/thai-gaeng-som-recipe-300x200.jpg,"['1 Barramundi fish, or other ocean water fish (ปลากระพง) – My fish was approximately 600 grams, but you could add more or less as you please.', '1.5 – 2 liters of water (น้ำเปล่า)', '1 green papaya (มะละกอดิบ) – mine was about 700 grams in total and I used the whole papaya', '1 tbsp shrimp paste (กะปิ)', '1 tbsp salt, or the amount to taste (เกลือ)', '10 – 15 tbsp lime juice (น้ำมะนาว) – I used the juice from about 20 limes', '60 grams bird’s eye chilies (พริกขี้หนูขาว), preferably the lighter colored ones, but any will do – I used over 100 chilies for this recipe', '1 head garlic (กระเทียม)', '20 grams turmeric (ขมิ้น) 2 – 3 finger sized pieces', '2 shallots (หอมแดง)', '300 ml water – to blend with the curry paste ingredients']","Begin by making the curry paste. Peel the stems off all the chilies, then add them to a blender or food processor.
Peel the garlic, and shallots, and cut the turmeric into pieces, and toss them all into the blender.
Add about a cup of water, and blend for a few seconds until pureed.
NOTE: Be warned that turmeric stains, so don’t use a nice blender!
To prepare the green papaya, first peel the outer green skin, rinse it in water to remove the sap, then shave off thin bite sized pieces of papaya so you have thin wedges. Cut the papaya like you’re whittling a piece of wood. Then set aside.
For the limes, slice and squeeze them into a separate bowl.
Put a big soup pot on the stove and turn to medium heat, and add in all the curry paste you just blended.
Add 2 liters of water to the soup, using some of the water to rinse out the blender, and add to the pot.
Add the shrimp paste, and stir the soup to make sure the shrimp paste fully dissolves.
Take the green papaya, add it all to the soup, stir quickly, then put the cover on to bring to a boil.
Once the gaeng som is boiling, gently add the pieces of fish.
But here’s the Thai Aunty trick – don’t stir the soup until the fish is fully cooked. If you stir the soup when the fish is still raw, your soup will taste fishy (according to Thai cooking practice).
Boil the soup, without stirring, for about 5 – 8 minutes.
When the fish is finished cooking, you can stir gently, and then turn off the stove pretty quickly so you don’t overcook the fish.
Once your heat is off, it’s time to season with salt and lime juice. Add some at first, stir gently, taste test, then add more if needed.
Taste test until your gaeng som is sour, slightly salt, and extremely spicy.",en,{},5.0,,"Thai Street Food, Restaurants, and Recipes | Eating Thai Food",45,1 pot
Thai grilled fish recipe (pla pao ปลาเผา),Mark Wiens (https://www.eatingthaifood.com/),https://www.eatingthaifood.com/thai-grilled-fish-recipe-pla-pao/,Thai,https://www.eatingthaifood.com/wp-content/uploads/2014/01/thai-grilled-fish-recipe-feature-300x199.jpg,"['2 whole fish (also 1 fish works fine, just reduce ingredients)', '½ kilo of salt (big grain if possible)', '2 tablespoons of all purpose flour', 'About 1 tablespoon of water', '4 – 6 stalks lemongrass', 'small handful of kaffir lime leaves', '6 tablespoons fresh lime juice', '3 tablespoons water', '2 tablespoons fish sauce', '1 tablespoon sugar', '½ teaspoon of salt', '15 cloves of garlic', '20 Thai bird chilies (prik kee noo suan พริกขี้หนูสวน)']","When you buy your whole fish, ask the vendor (or yourself) to do two things: One, try to remove the guts from the gills of the fish, without slicing the fish open on the belly, and two, leave the scales on the fish (if you have the choice).
Probably the first thing you want to do (if you’re using charcoal, which I would recommend), is to get the charcoal going first, so it’s ready when the fish is prepared.
Make sure you rinse your fish with water and then pat them dry with a paper towel.
Take your lemongrass stalks and beat and bruise them with something hard, like a mortar, or a rolling pin or something like that. This is going to bring out the lovely flavor of the lemongrass. Also prepare a small handful of kaffir lime leaves.
Fold the lemongrass in half and begin to stuff the fish with a stalk of lemongrass and about 10 kaffir lime leaves. Depending on how big your fish is will determine how many stalks of lemongrass you can fit. I put 2 – 3 lemongrass stalks in each fish in the video. Make sure it’s tight, but also make sure not to push so hard that you break the flesh of the fish.
In a large mixing bowl or pan add ½ kilo bag of salt, sprinkle in 2 tablespoons of all purpose flour, and add about 1 tablespoon of water. Mix it up thoroughly, massaging the mixture with your hand, until it’s fully mixed. You want the salt to be a little moist so it sticks to the fish easily.
Add the fish to the pan and start plastering it with the salt mixture. Pat and rub the fish with the salt, making sure to cover the entire fish, and all over the head and tail. Do the same to both fish.
For grilling the fish, you want to have a steady, yet quite low heat. Make sure you have a bed of coals, and if they are too hot you can either tone them down with a scoop of ashes, or push the really hot coals to one side of the grill and put the fish on the other side (using a little indirect heat). You can also add more coals as you keep on cooking. You want to slow cook the fish without them burning on the outside. My fish took almost 1 hour to grill. So aim for low heat for slow cooking.
Once your fish is on the grill, it’s time to get started on the seafood sauce (below).
Try to wait for about 15 minutes before you flip the fish. If you flip it too early, when the salt hasn’t dried out completely yet, the fish skin might get stuck onto the griddle. Flip the fish as little as possible.
Keep roasting until the fish feels firm and the white salted skin has turned crusty and golden. It should take about 45 minutes to 1 hour.
Take the fish off the grill, and set it on a platter.
To eat the fish, you can either use a knife or scissors, and from the top of the fish, cut through the skin. The skin should cleanly lift off the fish revealing moist and beautiful meat.
Thai grille fish (pla pao) is delicious with both sticky rice and white rice, and lots of seafood sauce!
Peel about 15 cloves of garlic and grab about 20 Thai bird chilies (prik kee noo suan พริกขี้หนูสวน). Normal Thai chilies will work too. Pound ½ teaspoon of salt, the garlic, and chilies using a mortar and pestle. Doesn’t need to be super fine, but make sure there are no big chunks.
In a bowl, add the pounded garlic and chilies, 6 tablespoons of fresh squeezed lime juice, 3 tablespoons of water, 2.5 tablespoons of fish sauce, and 1 tablespoon of sugar. Mix everything together until the sugar is dissolved.
Taste the seafood sauce. Really, it’s up to you how it tastes, but you want it to be slightly salty, sour, and slightly sweet.
If you need to add a little more of anything, go for it!",en,{},5.0,,"Thai Street Food, Restaurants, and Recipes | Eating Thai Food",65,1 – 2 or more
How to Make Thai Sticky Rice (วิธีทำ ข้าวเหนียว),Mark Wiens (eatingthaifood.com),https://www.eatingthaifood.com/how-to-make-thai-sticky-rice/,"Thai, Laos",https://www.eatingthaifood.com/wp-content/uploads/2015/02/how_to_make_sticky_rice-200x300.jpg,"['water to soak rice', '1 kg. sticky rice (or however much you want to make)']","The night before you want to cook sticky rice, take your raw sticky rice, place it into a bowl or plastic tub, submerge in water, and allow to soak room temperature overnight. Alternatively, you can soak for at least 4 – 5 hours, but overnight is best.
Take the sticky rice out of the water (and the grains should be softer and a little swollen), and place into a bamboo steamer, or any type of steamer. Cover the steamer with either a lid, or you can do what I did and cover the basket with a cloth, then a metal lid – just to keep all the steam within the rice.
Add water to a pot with the steamer over the pot (just make sure the water doesn’t touch the sticky rice), and once the water comes to a boil, steam for 15 – 20 minutes (usually 15 minutes for me is perfect) on a medium heat.
After 15 minutes take off the lid carefully, because it will be very hot, and just grab a taste test of the sticky rice to make sure it’s soft and fluffy. If it’s still a little crunchy, steam for a few more minutes, but if it’s good to go, turn off the heat and either eat immediately, or transfer to some sort of airtight container or basket to hold until you’re ready to eat.
Enjoy Thai sticky rice while it’s hot and fresh.",en,{},4.6,,"Thai Street Food, Restaurants, and Recipes | Eating Thai Food",15,1 kilo
How to Make Toasted Rice Powder – Khao Khua (ข้าวคั่ว),Mark Wiens (https://www.eatingthaifood.com/),https://www.eatingthaifood.com/toasted-rice-powder-recipe/,Thai,http://migrationology.smugmug.com/Thai-Recipes/i-sRRQSpx/0/X3/toasted_rice_powder_recipe-10-X3.jpg,"['1', '5', '0', '', 'g', 'r', 'a', 'm', 's', '', 's', 't', 'i', 'c', 'k', 'y', '', 'r', 'i', 'c', 'e']","Heat a frying pan or wok on medium heat.
Add the plain raw sticky rice (not rinsed) to the hot pan, and dry roast, slowly stirring continuously. After about 10 minutes, the grains of rice should begin to turn from milky white to golden yellow, and they should also start to smell like popcorn.
Keep dry frying for about 15 minutes, until the sticky rice is golden in color, then remove from heat and set aside.
To grind the sticky rice into powder, you can either do it by hand using a mortar and pestle, or you can grind it in a food processor or blender. You’re looking for a course powder.
Use the toasted rice powder immediately for best taste, or you can store in a bag or jar for later use (probably within 1 – 2 weeks is best).",en,{},5.0,,"Thai Street Food, Restaurants, and Recipes | Eating Thai Food",15,150 grams
Steamed Fish With Lime and Garlic Recipe (ปลากะพงนึ่งมะนาว),Mark Wiens,https://www.eatingthaifood.com/steamed-fish-with-lime-and-garlic-recipe/,Thai,https://www.eatingthaifood.com/wp-content/uploads/2016/01/thai-steamed-fish-recipe-18-600x400.jpg,"['1 whole barramundi, about 1 – 2 kilos (or whatever size you can get), guts and gills already removed', '5 stalks lemongrass, bottom half only, smashed, and cut into chunks', '1 cup good chicken stock or fish stock (fresh or canned)', '2 Tbsp finely chopped palm sugar', '8 Tbsp lime juice', '6 Tbsp fish sauce (here’s my preferred fish sauce)', '2 heads of garlic, chopped', 'Thai chilies to taste, finely chopped', '20 – 25 sprigs cilantro, chopped', '1- 2 stalks Chinese celery, cut into 1-inch pieces']","Make sure your fish is scaled and gutted, and then score the fish with 3 diagonal incisions on each side of the fish. Cut off the top halves of the lemongrass, bruise, and stuff the lemongrass into the cavity of the fish. Steam the fish over high boiling water for about 10 – 15 minutes depending on the size of your fish.
In a saucepan, heat the chicken stock until it comes to a boil, and then toss in the sugar, reduce heat, and boil until the sugar is completely dissolved. Pour the mixture into a bowl and set aside.
Mince the garlic, chilies, and cilantro, and mix into the chicken stock soup, along with fish sauce and lime juice. Stir gently and then taste test. Make sure it’s sour, and balanced with a hint of sweetness.
When the fish is fully steamed, transfer it to a serving platter (with edges to keep in the soup), garnish with a bed of Chinese celery, and place the fish on the platter. Gently scoop on all the sauce over the fish, putting most of the garlic and chilies on the top of the fish.
Make sure you eat with steamed rice!",en,{},5.0,,"Thai Street Food, Restaurants, and Recipes | Eating Thai Food",35,1 whole fish
Authentic Thai Grilled Chicken Recipe (Gai Yang ไก่ย่าง),Mark Wiens (https://www.eatingthaifood.com/),https://www.eatingthaifood.com/authentic-thai-grilled-chicken-recipe-gai-yang/,Thai,https://migrationology.smugmug.com/Blog-Posts/i-N6dK5md/0/X2/chicken-grilling-X2.jpg,"['2 whole chickens (mine were 1.8 kilos each)', 'Bamboo sticks or skewers', 'Charcoal', 'Grill', '4 tablespoons soy sauce', '1 tablespoon fish sauce', '2 tablespoons palm sugar', '1 tablespoon sweet dark soy sauce (you can use kecap manis)', '8 tablespoons water', '4 heads garlic (30 – 40 cloves)', '2 stalks lemongrass', '2.5 tablespoons black pepper corns', '8 fresh coriander roots (or you can try the powder coriander roots)', '1.5 tablespoons khao kua (see method here)', '1.5 tablespoons chili flakes', '1 tablespoon of sugar', '3 tablespoons fish sauce', '8 tablespoons tamarind juice (you can add more or less according to how strong it is and how sweet and sour you want your sauce)', 'Few sprigs of cilantro']","For this recipe, I’m going to cook 2 full chickens, together weighing in at 3.6 kilos. If you wanted, you could also make this recipe with 3 – 4 kilos of chicken pieces, or really, however much chicken you want.
For this gai yang (ไก่ย่าง) to be at its finest, it’s best to marinate the chicken overnight and grill it the next day, but if you don’t have the time, marinate the chicken for at least a few hours.
Peel about 4 bulbs of garlic, which should be about 30 – 40 cloves in all.
Thinly slice 2 stalks of lemongrass and cut off the roots of 8 stalks of coriander.
Now comes the hard part, pounding everything using a mortar and pestle (If you don’t have a mortar and pestle you can blend the ingredients in a food processor (but I’d really recommend you invest in a Thai style mortar and pestle).
Add small amounts of garlic, lemongrass, black peppercorns, and coriander roots to the mortar and pestle and pound them until the oils come out, and you have a coarse paste. Keep pounding until all the marinade ingredients are finished. You’ll probably need to load the mortar a few times.
Put all the pounded marinade ingredients in a mixing bowl, stir them up, and add 4 tablespoons of light soy sauce, 1 tablespoon of dark soy sauce, 1 tablespoon of fish sauce, and 2 tablespoons of palm sugar. Mix everything together while adding about 8 tablespoons of water to the mixture. You should end up with a potent marinade that looks like a chunky garlicky sauce.
If you’re using whole chickens, you’ll want to butterfly cut them starting from the breast side down to the butt. Flatten the chickens out. This is going to prepare it for the grill (Watch the video to see how to do it).
In a big pan or mixing bowl start to rub the marinade on the chicken, making sure the garlic, herbs, and soy sauce go into all parts of the chicken. Rub down both chickens using all the marinade.
Cover the chickens and allow them to rest overnight. You might stir them a couple of times if you remember.
The next day, take out your chicken, and the first step is to light your charcoal. You want a low even heat, coals that aren’t too hot, but a low and even.
Put the chicken on the grill and begin cooking!
Wait about 20 minutes or so (but monitoring them to make sure they don’t burn), before making your first flip. You can baste the chicken with the extra marinade.
Cook the chicken on low heat for about 1.5 hours, until the chicken is cooked through to the bone and the skin is golden dark brown on the outside.
Take the chicken off the grill, and dismantle the bamboo supports.
If you have a Chinese cleaver, first cut the chicken in half from the neck to the butt, and from there cut off the drumstick, wing, and chop the rest of the chicken into strips.
Semi-dried tamarind pulp can usually be bought at the supermarket in a small block. To rehydrate it, get a couple tablespoons of hot water and start to work the tamarind into the hot water. This should turn it into a nice tamarind water sauce.
In a bowl, mix 1.5 tablespoons of khao kua (toasted sticky rice, recipe here), 1.5 tablespoons of chili flakes, 1 tablespoon of sugar, 3 tablespoons of fish sauce, and 8 tablespoons of tamarind juice.
Mix all of the ingredients together.
After mixing up the sauce, make sure you taste test. You’re looking for the perfect sweet, sour, and salty combination. You might need to add more tamarind juice, more sugar, or more fish sauce to balance it out.
Top off your gai yang sauce with some chopped up cilantro.
Happy eating!",en,{},4.8,,"Thai Street Food, Restaurants, and Recipes | Eating Thai Food",120,4 serving(s)
Pad see ew recipe (ผัดซีอิ๊ว),Mark Wiens (eatingthaifood.com),https://www.eatingthaifood.com/pad-see-ew-recipe/,Thai,https://migrationology.smugmug.com/Blog-Posts/i-hrG7X2G/0/640x947/thai-pad-see-ew-recipe-640x947.jpg,"['2 tablespoons oil for frying', '3 cloves garlic', '300 grams fresh wide rice noodles (sen yai)', '200 grams chicken (alternatively you could really use any meat of your choice)', '1 handful of chopped Chinese broccoli (kailan) – I used about 2 stalks for this recipe.', '1 egg', '1 tablespoon light soy sauce', '½ tablespoon dark soy sauce', '½ teaspoon sugar', 'Garnish with chili flakes, pepper, and vinegar if you like']","Comb through the fresh wide rice noodles, making sure any clumps are separated.
Peel then mince 3 cloves of garlic, slice the chicken into small bite sized pieces, and slice the Chinese broccoli into 1.5 centimeter strips.
Heat the wok (or frying pan) on a medium heat and add about 2 tablespoons of oil.
Wait until the oil is hot, and then fry the garlic for about 10 seconds or so, making sure it sizzles in the hot oil.
Add the chopped chicken to the wok and stir fry for it about a minute until the chicken is nearly all the way white in color and cooked pretty well though and through.
Now, turn down your heat (or if you’re using an electric stove you can even move your pan off the burner for a moment).
Toss in the rice noodles, the Chinese broccoli, 1 tablespoon of light soy sauce, ½ tablespoon of dark soy sauce, and a ½ teaspoon of sugar.
Still on low heat, start to fold the noodles gently by picking them up with the spatula from the bottom, and folding them over (If you stir fry too hard, the stickiness from the noodles can make them turn into a big noodle blob – believe me, I’ve done this too many times and it’s not pretty!).
Cook the noodles for about 1 -2 minutes. If it gets a little dry, you can drizzle in a tiny bit of oil.
After the noodles are well mixed, scoot the noodles to one side of the wok, and proceed to crack an egg into the empty side.
Now it’s time to crank up the heat on your stove – for the final step we want a little char on the noodles and egg for great flavor.
Scramble the egg, and then fold the noodles onto the egg, sort of when it’s half cooked. Let the heat sear the egg for a few seconds and then start folding the noodles and egg together. With a hot flaming fire, you should get a little char to both the noodles and the egg.
Fry for about 30 more seconds, making sure to be gentle with the noodles, and then turn off the heat and dish it out.
Sprinkle a little freshly ground pepper on the top of the noodles. You can also eat pad see ew with a bit of chili flakes on top and some vinegar for taste.",en,{},4.4,,"Thai Street Food, Restaurants, and Recipes | Eating Thai Food",25,1 serving(s)
Tom Kha Gai Recipe (ต้มข่าไก่) – Authentic Thai Style,Mark Wiens (EatingThaiFood.com),https://www.eatingthaifood.com/tom-kha-gai-recipe-%e0%b8%a7%e0%b8%b4%e0%b8%98%e0%b8%b5%e0%b8%97%e0%b8%b3-%e0%b8%95%e0%b9%89%e0%b8%a1%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b9%84%e0%b8%81%e0%b9%88/,Thai,https://migrationology.smugmug.com/Thai-Recipes/i-g43V4jt/0/640x427/tom-kha-gai-recipe-10-640x427.jpg,"['400 grams (I used 2 chicken breasts)', '6 cups coconut milk (If you use a can or box of coconut milk, you might want to add some water to make it less thick)', '1 thumb chunk of galangal', '3 stalks of lemongrass', '1 big white onion (or 2 small white onions)', '2 tomatoes', '6 kaffir lime leaves', '200 grams of oyster mushrooms (I used 2 big handfuls)', '5 – 10 Thai chilies', '½ teaspoon salt (to taste)', '4 tablespoons of lime juice', 'small bunch of cilantro']","First take a thumb sized chunk of galangal, cut off the stems, and cut the root part into thin slices. It can be a little tough, so you might have to hit the top of your knife with your palm.
Next grab your lemongrass, slice off the bottoms, pull off the outer skin layer, and then slice it diagonally into about 1 inch strips. This is just going to help release its amazing fragrance.
Turn on your stove to medium heat, and add about 3 cups (or ½) of the coconut milk to a medium sized saucepan. Put the pot on the heat and immediately toss in the sliced galangal and lemongrass.
As your coconut milk begins to heat, move back over to your cutting board and slice up the chicken. I used 2 chicken breasts for this recipe. Slice the chicken into medium sized chunks – they can be kind of big in size.
Just before the coconut milk comes to a boil, add the chicken, and then add the other remaining 3 cups of coconut milk. Now, turn down the heat to a medium low, as you don’t want the coconut milk to heat too fast or burn.
Prepare your Thai chilies by peeling off the stems and then just slice them diagonally. Go ahead and add them directly to the soup.
Give the soup a quick stir, and then add about 200 grams of oyster mushrooms (it was about 2 handfuls for me).
Your coconut milk should not boil, but just maintain a nice low heat. Because coconut milk is so delicate, when you stir, be sure to move your spoon in 1 direction only, otherwise you run the risk of the coconut milk getting too shaken and it will start to curdle. Be gentle with the coconut milk.
Move back over to your cutting board and peel and slice 2 small white onions into thick wedges (if your onion is really big, just use 1). Immediately toss the onions into the soup.
Next, cut your tomatoes in the same way as your onions, into thick wedges. Wait until your tom kha gai (ต้มข่าไก่) is just about to boil, and then add the tomatoes.
Take the kaffir lime leaves, break them with your hand, and toss them directly into the soup. Breaking the kaffir lime leaves is going to release their flavor.
Now add about ½ teaspoon of salt to begin with (taste to add more)
Mix your tom kha gai slowly and gently, for about 5 – 10 minutes, making sure it doesn’t come to a full boil – and if it does – turn down the heat to even lower. You want the chicken, onions, tomatoes, and other ingredients to be fully cooked, but you don’t want to overcook the coconut milk.
After about 5 – 10 minutes of cooking, go ahead and turn off the heat completely.
Go back to your cutting board, slice up a handful of fresh cilantro, and add it to the soup. Give it a quick stir, and the cilantro will cook enough from the already hot soup.
The final step is to juice a couple of limes into a separate bowl and then add about 4 tablespoons of lime juice to the tom kha gai (ต้มข่าไก่). Again, just give it a quick and gentle stir, and it’s ready to be served.
Make sure you do some taste-testing to make sure it’s salty and sour enough. You may need to add a little extra salt or lime juice to get the flavor you want.",en,{},4.6,,"Thai Street Food, Restaurants, and Recipes | Eating Thai Food",30,3 – 4
How to Make Southern Thai Curry Paste,Mark Wiens,https://www.eatingthaifood.com/how-to-make-southern-thai-curry-paste/,Thai Food,http://migrationology.smugmug.com/Thai-Recipes/i-ZM2jNcp/0/X2/southern-thai-curry-paste-recipe-30-X2.jpg,"['50 g. dry Thai bird chilies – prik haeng (came to a heaping handful)', '30 g. fresh Thai bird chilies – prik kee noo (these are the almost neon colored ones)', '50 g. garlic (it was about 2 full heads)', '50 g. turmeric rhizome', '50 g. galangal (I used about a 2 inch chunk)', '25 g. shallots (this came to 5 shallots in Thailand, but Thai shallot are pretty small)', '5 stalks of lemongrass', '½ kaffir lime – we’re only going to use the outer skin for this Thai curry paste', '2 tbsp. peppercorns (I think coarsely ground black pepper would work fine as well)', '½ tbsp. salt', '2 tbsp. shrimp paste (don’t omit this!)']","Take the turmeric root, galangal, and shallots, and dice them all into small pieces. Doesn’t need to be too small or evenly cut, this is just going to make it easier to pound. Set them all aside on a plate.
For the lemongrass, first remove two or three of the outermost layers (the outer layers of the lemongrass are tough and not flavorful). Start from the bottom (thicker side) of the stalk and cut off the end, and then slice it into thin slivers, about half the way to the top. Toss out the top half of the lemongrass stalk as its not flavorful and it’s tough also. Set it aside.
Take your kaffir lime and carefully slice off the outer green bumpy skin. You want to slice only the outer green skin, without getting the white pith. Cut the green skin off about half of the lime.
Using a mortar and pestle, start pounding the dry Thai chilies first. They might be a little bouncy as they are dry, but the more you keep on pounding them, the more they will loosen up and their oils will start to form.
Once you’ve pounded the dry chilies for about 10 minutes, add the fresh Thai bird chilies – you can add the stem and all. This may help add some moisture to your curry paste. Keep pounding, maybe for about 15 minutes or so, until the chilies are broken down.
Start adding pieces of turmeric, garlic, and shallots to your curry paste, and keep on pounding and pounding. If your mortar and pestle isn’t big enough, you may need to put some of your paste into a separate bowl and do a couple batches.
Gradually add in all the lemongrass and the kaffir lime peel and keep on pounding. It took me over an hour to pound this southern Thai curry paste. You don’t want any chunks, and you want to fully release the oils of all the ingredients – that’s when you’re going to get the best flavor out of your paste.
Your curry paste should be a nice oily buttery consistency and quite smooth when you’re done. Then add the black peppercorns, and salt, and keep pounding until the peppercorns are completely pounded in. Keep on pounding until you have a beautiful pasty blob.
The final step is to add the shrimp paste. Pound it slowly, more mashing it into the paste. It should get quite a bit stickier and dryer with the addition of the shrimp paste. Once the shrimp paste is fully mixed in, your curry paste is ready.",en,{},4.8,,"Thai Street Food, Restaurants, and Recipes | Eating Thai Food",90,None
