title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
Hunan Beef,Bill,https://thewoksoflife.com/hunan-beef/,Chinese,https://thewoksoflife.com/wp-content/uploads/2019/08/hunan-beef-18.jpg,"['1 pound flank steak ((sliced 1/4-inch thick))', '1/4 teaspoon baking soda', '2 tablespoons water', '1 teaspoon oyster sauce', '1/3 cup cornstarch', '1 red Holland pepper', '1 small green bell pepper or poblano pepper ((100g, deseeded))', '1 small red bell pepper ((100g, deseeded))', '2 banana peppers ((80g, deseeded))', '8 whole dried chili peppers', '1/2 teaspoon granulated sugar', '2 tablespoons hot water', '1/2 teaspoon Chinese black vinegar', '2 1/2 tablespoons soy sauce', '1/4 teaspoon white pepper', '1/3 cup vegetable or canola oil ((for frying))', '1 tablespoon fresh ginger ((8g, sliced))', '1/2 cup shallots ((thinly sliced, 40g))', '2 tablespoons Shaoxing wine', '5 cloves garlic ((15g, sliced))', '2 tablespoons fermented black beans ((20g, rinsed))', '2 scallions ((60g, cut at an angle into 2-inch lengths))']","Preparation:
In a medium bowl, combine the sliced flank steak with the baking soda, water and oyster sauce. Massage these ingredients into the beef until any liquid has been absorbed by the meat. Marinate for 30 minutes.
Lightly dredge all of the beef slices in cornstarch. Set aside until ready to fry.
Slice all the fresh peppers crosswise into thin slices on the diagonal. Set aside the dried red peppers. Do not break them open or chop unless you want a very spicy Hunan Beef!
Stir the sugar into 2 tablespoons of hot water until dissolved. Add the Chinese black vinegar, soy sauce, and ground white pepper. Mix until well combined and set aside.
Heat your wok over high heat until smoking. Spread ⅓ cup oil around the wok, and sear the beef in three batches on both sides until browned and slightly crispy on the outside. Be sure the wok and oil are hot each time you add a batch of beef.
Drain the crispy beef by moving it up to the side of the wok. The oil will drain to the bottom and you can then transfer the beef to a sheet pan or plate. No need for paper towels or wire racks!
After frying the beef, leave about 2 tablespoons of the oil in the wok, and remove any excess. If your wok got burned in the frying process, this is a good time to wash it. While you want the beef flavor from frying, you definitely don’t want burned bits in the stir-fry if you got carried away with the heat during frying.
Assembling the stir-fry:
Set the wok over medium heat. Add the sliced ginger and fry until caramelized, about 30 seconds.
Next, add the shallots. Continue to fry for another 30 seconds, and add the fresh peppers (except for the red holland or fresno peppers). Turn the heat up to high and stir-fry for 1 minute to get a nice sear on the peppers.
Clear a section on the bottom of the wok, and add the dried chili peppers. Let them toast in the oil for 20 seconds. (If you want your dish spicier, add the dried chili peppers earlier, along with the shallots.)
Next, pour the Shaoxing wine around the perimeter of the wok. Add the sliced garlic, fermented black beans, and the red Holland or Fresno peppers. Stir-fry for another 30 to 60 seconds on high heat.
Next, add the fried beef and pour over the pre-prepared sauce. Maintain the highest heat possible and stir-fry everything together for 20 seconds. Add the scallions. Continue to stir fry until most––if not all––of the sauce has evaporated.",en-US,"{'calories': '360 kcal', 'carbohydrateContent': '20 g', 'proteinContent': '28 g', 'fatContent': '18 g', 'saturatedFatContent': '11 g', 'cholesterolContent': '68 mg', 'sodiumContent': '812 mg', 'fiberContent': '3 g', 'sugarContent': '4 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,60,4 serving(s)
Asian Pot Roast: A New Take on a Classic Sunday Dinner,Sarah,https://thewoksoflife.com/asian-pot-roast/,Chinese,https://thewoksoflife.com/wp-content/uploads/2017/12/asian-pot-roast-8-1.jpg,"['4 pounds boneless beef chuck roast ((1.8 kg))', '2 tablespoons vegetable or canola oil', '3 slices ginger ((mashed))', '2 medium onions ((thinly sliced))', '5 cloves garlic ((peeled and smashed))', '2 cups beef stock', '1/3 cup shaoxing wine or dry sherry', '3 tablespoons soy sauce', '1 tablespoon dark soy sauce', '2 teaspoons sugar', '5 medium carrots', '3 scallions ((cut into 2-inch lengths))', '1 1/2 tablespoons cornstarch ((dissolved into ¼ cup water))']","Pat the beef dry with a paper towel. Heat the oil in a large skillet or Dutch oven over medium heat. Add the roast and sear for 5 minutes on each side, until browned.
Add the ginger and cook for 2 minutes, until fragrant. Add the onions, garlic, beef stock, wine, soy sauce, dark soy sauce, and sugar. Bring to a boil. Turn down the heat to low, cover, and simmer for 1 hour and 30 minutes.
After an hour and 30 minutes has elapsed, stir in the carrots, cover, and simmer for another hour. Uncover, and stir in the scallions and cornstarch mixture. Continue to simmer, stirring gently, until the sauce has thickened and the scallions have wilted (about 2-3 minutes). Serve!",en-US,"{'calories': '337 kcal', 'carbohydrateContent': '8 g', 'proteinContent': '31 g', 'fatContent': '20 g', 'saturatedFatContent': '10 g', 'cholesterolContent': '104 mg', 'sodiumContent': '556 mg', 'fiberContent': '1 g', 'sugarContent': '3 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,180,12 serving(s)
Gyudon (Japanese Beef & Rice Bowls),Sarah,https://thewoksoflife.com/gyudon-recipe-beef-rice/,Chinese,https://thewoksoflife.com/wp-content/uploads/2016/02/gyudon-9-1.jpg,"['Neutral oil ((such as vegetable or canola oil))', '2 medium onions ((very thinly sliced))', '1 pound very thinly sliced beef ((450g, fatty beef chuck or ribeye))', '2 teaspoons sugar', '2 tablespoons mirin', '2 tablespoons soy sauce', '1 cup dashi stock ((can also substitute beef or chicken stock))', '4 eggs', '4 cups cooked white rice ((short grain or medium grain preferred))', '1 scallion ((chopped))', '2 teaspoons toasted sesame seeds ((optional))']","Heat 2 tablespoons oil in a large skillet over medium high heat, and cook the sliced onions for about 10 minutes, stirring often.
Add the beef and sugar, and cook until the beef is slightly browned. Add the mirin, soy sauce, and stock. Bring to a simmer, and cook for about 10-15 minutes to reduce the stock into a thin sauce. Taste for seasoning, and add a little more soy sauce if needed.
Meanwhile, heat another couple tablespoons of oil in a cast iron or non-stick skillet. Cook the eggs sunny-side up. You can cook them in batches if needed. The yolks should still be runny!
When the beef is done simmering, divide the rice among 4 bowls, and top with the beef and an egg for each bowl. Garnish with chopped scallion and toasted sesame seeds, if using.",en-US,"{'calories': '598 kcal', 'carbohydrateContent': '57 g', 'proteinContent': '36 g', 'fatContent': '25 g', 'saturatedFatContent': '12 g', 'cholesterolContent': '233 mg', 'sodiumContent': '888 mg', 'fiberContent': '2 g', 'sugarContent': '7 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,40,4 serving(s)
Chinese Spaghetti Bolognese,Bill,https://thewoksoflife.com/chinese-spaghetti-bolognese/,Chinese,https://thewoksoflife.com/wp-content/uploads/2015/12/ground-beef-recipes-9-1.jpg,"['8 oz. dried spaghetti ((225g))', 'Salt', '1 tablespoon oil', '12 oz. ground beef ((340g))', '1 medium onion ((finely diced))', '2 cloves garlic ((minced))', '2 teaspoons Shaoxing wine ((or dry cooking sherry))', '2 cups chicken stock ((475 ml))', '3 tablespoons oyster sauce', '2 tablespoons light soy sauce', '1/2 teaspoon dark soy sauce', '1 teaspoon sesame oil', '1/8 teaspoon white pepper', '1 cup frozen peas', '2 tablespoons cornstarch ((mixed with 2 tablespoons water))']","Bring a pot of salted water to a boil for the spaghetti. Cook the spaghetti according to the package instructions, undercooking it by about a minute (it will finish cooking in the sauce). While the pasta is cooking, start the sauce.
Heat a wok over high heat and add a tablespoon of oil. Add the ground beef and cook until slightly browned, breaking up any large chunks of beef. Add the onion, garlic, and Shaoxing wine, and turn the heat down to medium. Cook until the onion is transparent, and then add the chicken stock.
Bring to a boil and lower the heat to a simmer. Stir in the oyster and soy sauces, sesame oil, and white pepper. Cover and simmer for 10 minutes. Remove the cover, add the peas, and stir for one minute.
Stir up the cornstarch slurry (since the starch will separate from the water when left to sit), and drizzle the slurry into the sauce while stirring constantly. The sauce should thicken until it coats a spoon.
Drain the pasta, and add it directly to the wok. Toss until the pasta is coated in sauce. Feel free to add some of the pasta cooking liquid if the sauce is too thick, and add more cornstarch slurry if the sauce is too thin. Serve!",en-US,"{'calories': '559 kcal', 'carbohydrateContent': '58 g', 'proteinContent': '28 g', 'fatContent': '23 g', 'saturatedFatContent': '7 g', 'cholesterolContent': '60 mg', 'sodiumContent': '1294 mg', 'fiberContent': '4 g', 'sugarContent': '5 g', 'servingSize': '1 serving'}",4.97,,The Woks of Life,20,4 serving(s)
Tangerine Beef - Chinese Chun Pi Niu,Bill,https://thewoksoflife.com/tangerine-beef/,Chinese,https://thewoksoflife.com/wp-content/uploads/2016/02/tangerine-beef-7.jpg,"['1 pound flank steak ((450g, thinly sliced against the grain))', '2 teaspoons oil ((divided))', '1 tablespoon ((plus 1/4 cup cornstarch))', '2 fresh tangerines or mandarin oranges', '1 tablespoon sugar', '1 tablespoon hot water', '1/3 cup vegetable oil ((for frying the beef))', '1/2 teaspoon ginger ((minced))', '1 small pod from a whole star anise ((if need be, substitute with a pinch of five spice powder))', '5 pieces dried tangerine or mandarin orange peels', '5 dried red chili peppers ((optional))', '1 clove garlic ((chopped))', '3 tablespoons light soy sauce', '1 1/2 tablespoons brown sugar', '1 teaspoon cornstarch ((mixed with 1 tablespoon water, cornstarch slurry))', '2 scallions ((cut into 1-inch slices on the diagonal))']","Marinate the beef for 1 hour in 1 teaspoon oil and 1 tablespoon of cornstarch and set aside. Lightly scrub the tangerines with a vegetable brush under running water to remove wax and/or pesticides and towel dry. Peel the tangerines (reserving the peels) and squeeze 1/3 cup juice from the fruit.
Scrape as much of the white pith from the peels as you can, until you see just the skin, and julienne the peels into thin slivers. Set aside along with the juice. Then make a simple syrup by dissolving 1 tablespoon of sugar into 1 tablespoon of hot water.
Heat a saucepan or wok over low heat and add 1 teaspoon of oil and the tangerine peel slivers. Lightly toast the peels by tossing in the oil for about 30 seconds, and add the simple syrup. Continuing stirring the peels until the simple syrup evaporates and clings to the peels. Transfer the candied peels to a bowl along with any infused oil, and set aside.
Dredge the pieces of meat individually in the remaining ¼ cup of cornstarch until lightly coated, and heat 1/3 cup oil in a clean wok over high heat. Just before the oil starts to smoke, spread the flank steak pieces evenly in the wok, and let sear for 1 minute. Flip the steak over and let the other side sear for another 30 seconds. Transfer to a sheet pan, and tilt it slightly to let the oil drain to one side (lean it on a cookbook or cutting board). The beef should be seared with a nice crusty coating.
Drain the oil from the wok, leaving about 1 tablespoon behind, and turn the heat to medium-high. Add the ginger, star anise or five spice powder, dried tangerine peels and dried chili peppers, if using. (We have a whole star anise pictured in our photos, but the recipe calls for only one pod. After tasting the finished product, we felt that a whole star anise may have been too overwhelming for the dish.)
After about 15 seconds, add the garlic. Stir for another 10 seconds, and add the soy sauce, tangerine juice and brown sugar. Bring the sauce to a simmer, stirring occasionally.
Let the sauce simmer for about 2 minutes and slowly stir in the cornstarch slurry mixture–until the sauce coats the back of a spoon. Add the beef, candied tangerine slivers with the infused oil, and the scallions. Toss everything for another 30 seconds until all of the beef is well-coated.
There should be almost no liquid, as the sauce should be clinging to the beef. If you still have too much sauce, increase the heat slightly and stir-fry until thickened. If the sauce is too thick, add a little bit of hot water to thin it out.",en-US,"{'calories': '400 kcal', 'carbohydrateContent': '16 g', 'proteinContent': '26 g', 'fatContent': '26 g', 'saturatedFatContent': '17 g', 'cholesterolContent': '68 mg', 'sodiumContent': '818 mg', 'fiberContent': '1 g', 'sugarContent': '13 g', 'servingSize': '1 serving'}",4.67,,The Woks of Life,80,4 serving(s)
Asian Braised Short Ribs with Chili Lime Potatoes,Sarah,https://thewoksoflife.com/asian-braised-short-ribs-with-chili-lime-potatoes/,Chinese,https://thewoksoflife.com/wp-content/uploads/2015/05/asian-short-ribs-13-1.jpg,"['4 lbs beef short ribs ((1.8 kg; choose ribs that are about 3 inches long and have at least 2 inches of meat on the bone))', '2 tablespoons brown sugar', '2 teaspoons sesame oil', '¼ cup soy sauce ((60 ml))', '1 small onion ((grated))', '3 cloves garlic ((minced))', '2 teaspoons salt', '1/8 teaspoon black pepper', '2 lbs Yukon gold potatoes ((900g, cut into chunks if large))', 'olive oil', 'Salt and Pepper ((to taste))', '1 tablespoon lime juice', '1/2 teaspoon sugar', '2 cloves garlic ((chopped))', '2 tablespoons cilantro ((chopped))', 'chopped fresh red chili ((to taste))']","Rinse the short ribs under cold running water and transfer to a bowl. Add all the marinade ingredients and toss to coat. Cover and refrigerate for 6 to 24 hours.
Preheat your oven to 300 degrees F and place a rack in the middle of the oven. Arrange ribs, bone side down, in a 9x13-inch roasting pan and cover with the marinade, along with 1 1/2 cups of water. Cover with foil and roast for 3 hours. Remove the foil and roast for another 15 minutes.
Place the potatoes on a parchment-lined baking sheet. Drizzle with olive oil, salt, and pepper, and roast along with the short ribs for the last 45 minutes.
While that’s happening, mix the dressing for the potatoes by combining 2 tablespoons olive oil, lime juice, sugar, garlic, cilantro, and red chili. Season the dressing with salt and pepper. Toss the roasted potatoes in the dressing, and serve with the short ribs!",en-US,"{'calories': '515 kcal', 'carbohydrateContent': '26 g', 'proteinContent': '47 g', 'fatContent': '24 g', 'saturatedFatContent': '10 g', 'cholesterolContent': '130 mg', 'sodiumContent': '976 mg', 'fiberContent': '4 g', 'sugarContent': '5 g', 'servingSize': '1 serving'}",4.67,,The Woks of Life,555,6 serving(s)
"Beef Bulgogi Bowls, A Korean Favorite",Kaitlin,https://thewoksoflife.com/bulgogi-bowls/,Chinese,https://thewoksoflife.com/wp-content/uploads/2016/01/bulgogi-9.jpg,"['1 1/2 pounds beef', '1/2 large Korean pear ((can sub 1 small Chinese pear or 1 small regular pear))', '1/2 of a small onion', '4 cloves garlic', '1 inch piece ginger', '2½ tablespoons soy sauce', '2 tablespoons brown sugar', '1/8 teaspoon black pepper', '1 tablespoon sesame oil', '2 scallions ((chopped, divided))', '1/2 of a carrot ((sliced thinly))', '6 tablespoons oil ((any preferred oil with a high smoke point))', '5 cups steamed medium grain rice ((to serve))', '1/2 cup Kimchi ((to serve))', '3 cloves garlic ((thinly sliced))', '3 Shishito peppers ((thinly sliced))', '2 tablespoons Ssamjang paste ((or to taste))', '1 tablespoon toasted sesame seeds ((optional))']","Slice the beef and transfer to a mixing bowl or deep plate. Next, prepare the marinade by adding the pear, onion, 4 cloves garlic, ginger, soy sauce, brown sugar, black pepper, and sesame oil to a food processor or blender. Blend until you have a smooth purée. Pour the marinade over the beef, topping the whole mixture with half of your chopped scallions and all of the sliced carrot. Stir thoroughly and let marinade for at least an hour, preferably overnight.
When the beef is done marinating, heat a cast iron skillet over high heat. The beef will cook in about 3 batches; Use 2 tablespoons of oil per batch.
When the cast iron skillet is searing hot, lay pieces of beef in one layer to cover the pan. Let fry until crisped and caramelized, then flip and let fry again. The whole process takes 1-2 minutes per batch. Transfer to a plate. You'll probably have to scrape the pan in between batches, as the marinade crusts up the pan. Be sure to reheat the pan between batches!
When all the bulgogi is cooked, assemble the bowls. Add a generous heap of rice to each bowl (this recipe serves 4-6 people). Top with the bulgogi, kimchi, garlic, Shishito peppers, and your reserved chopped scallions. Serve with additional kimchi on the side and ssamjang paste to taste (just shmear a little of this on the beef as you eat it). You can also sprinkle toasted sesame seeds over the top, if using. Enjoy this one guys!",en-US,"{'calories': '665 kcal', 'carbohydrateContent': '50 g', 'proteinContent': '25 g', 'fatContent': '40 g', 'saturatedFatContent': '10 g', 'cholesterolContent': '81 mg', 'sodiumContent': '631 mg', 'fiberContent': '2 g', 'sugarContent': '8 g', 'servingSize': '1 serving'}",-1.0,,The Woks of Life,105,6 serving(s)
Curry Puffs with Beef,Kaitlin,https://thewoksoflife.com/curry-puffs/,Chinese,https://thewoksoflife.com/wp-content/uploads/2016/07/curry-puffs-10.jpg,"['3 tablespoons vegetable oil', '1 large onion ((finely diced))', '2 cloves garlic ((minced))', '1 pound ground beef ((450g))', '2 tablespoons curry powder', '1½ teaspoons turmeric powder', '½ teaspoon cumin powder', '¼ teaspoon sugar', '¼ teaspoon black pepper', '1 teaspoon salt', '2/3 cup beef broth ((160 ml))', '1 tablespoon cornstarch', '2 sheets puff pastry ((about 17 ounces, 490g))', '1 egg ((beaten with 1 tablespoon water to make an egg wash))']","In a skillet or wok, heat the oil over medium high heat. Add the onions and garlic and cook until translucent and just slightly caramelized.
Add the ground beef, breaking it up with a spatula. Cook until browned. Next, add the curry powder, turmeric, cumin, sugar, black pepper, and salt. Stir everything together and allow the mixture to cook for another couple of minutes.
While that’s happening, make a cornstarch slurry by mixing the beef broth with 1 tablespoon of cornstarch. Stir the slurry into the beef mixture and simmer for a few minutes, until the entire mixture has thickened. You’ll know it’s ready when there’s no more pooling liquid––just a very viscous curry beef! Transfer the beef mixture to a bowl and allow to cool.
Once the filling has cooled, take your puff pastry out of the freezer and defrost for about 35-40 minutes--no more. Unfold each puff pastry sheet, and cut each one into 9 squares.
Spoon about 3 tablespoons of filling onto each square, and fold diagonally to form a triangle, pressing the edges together. Crimp the edges with a fork and transfer to a baking sheet. Repeat with the remaining squares of puff pastry. You’ll need two baking sheets.
When the puffs are formed, refrigerate for 15-20 minutes and preheat your oven to 400 degrees F. When the oven is preheated, remove the puffs from the refrigerator, and brush with egg wash. Bake the puffs (one sheet at a time) for 15-18 minutes or until golden brown. Let cool for 10-15 minutes before attempting to eat, as the filling will be very hot! And if you don’t finish these in one sitting, they can be reinvigorated by a quick re-heat in a toaster oven.",en-US,"{'calories': '244 kcal', 'carbohydrateContent': '14 g', 'proteinContent': '7 g', 'fatContent': '18 g', 'saturatedFatContent': '7 g', 'cholesterolContent': '22 mg', 'sodiumContent': '250 mg', 'fiberContent': '1 g', 'sugarContent': '1 g', 'servingSize': '1 serving'}",4.98,,The Woks of Life,150,18 serving(s)
Scallion Beef Stir-fry,Bill,https://thewoksoflife.com/scallion-beef-stir-fry/,Chinese,https://thewoksoflife.com/wp-content/uploads/2015/10/scallion-beef-stir-fry-8-1.jpg,"['1 pound flank steak ((450g, sliced thinly against the grain))', '2 teaspoons oil', '1 teaspoon soy sauce', '1 tablespoon cornstarch', '½ teaspoon sesame oil', '2 tablespoons soy sauce', '2 teaspoons hoisin sauce', '1 teaspoon hot water', '1/8 teaspoon white pepper', '3 tablespoons cornstarch', '1 tablespoon ginger ((finely julienned))', '¼ cup vegetable or canola oil ((60 ml))', '4-6 scallions ((cut into 2-inch lengths, about 4 cups))', '2 tablespoons Shaoxing wine ((divided))']","Mix the beef with 2 teaspoons oil, 1 teaspoon soy sauce, and 1 tablespoon cornstarch. Let marinate at room temperature for 30 minutes.
Combine the sesame oil, soy sauce, hoisin sauce, hot water, and white pepper into a small bowl; mix well and set aside. Spread the beef out on a plate, and sprinkle on 3 tablespoons of cornstarch. Toss to coat the beef lightly, shaking off any excess.
Heat your wok until just smoking, and spread a quarter cup of oil around the wok. Add the beef and let the beef sear in the oil on one side for 30 seconds. Flip and let sear for another 30 seconds, and transfer to a plate. Turn down the heat to medium low and remove/discard the excess oil (if there is too much) leaving about 2 tablespoons of oil in the wok.
Add the ginger and let it cook for 15 seconds until it is just caramelized. Turn up the heat to the highest setting, and add the white portions of the scallions. Quickly add 1 tablespoon of Shaoxing wine, while continuing to stir-fry to deglaze the wok.
Next, add the beef and the rest of the scallions. Stir fry everything together for about 30 seconds, and add the sauce you prepared earlier. Continue to stir-fry. Hopefully your wok is hot enough, and you can get a nice scorch on your scallions (we say this because not all stoves can get up to the same level of BTUs!). Continue to stir-fry until the liquid has evaporated, and all of the sauce is clinging to the beef and scallions (are you drooling yet?). Spread 1 tablespoon of shaoxing wine around the perimeter of the wok. It should be sizzling and evaporate immediately; toss the dish again until the wine is cooked off to generate more wok hay. Turn off the heat, plate and serve!",en-US,"{'calories': '235 kcal', 'carbohydrateContent': '7 g', 'proteinContent': '17 g', 'fatContent': '15 g', 'saturatedFatContent': '9 g', 'cholesterolContent': '45 mg', 'sodiumContent': '455 mg', 'fiberContent': '1 g', 'sugarContent': '1 g', 'servingSize': '1 serving'}",4.8,,The Woks of Life,45,6 serving(s)
Chinese Spiced Braised Beef Shank,Judy,https://thewoksoflife.com/braised-beef-shank/,Chinese,https://thewoksoflife.com/wp-content/uploads/2017/05/chinese-braised-beef-8.jpg,"['2 cinnamon sticks', '1 black cardamom pod', '½ tablespoon Sichuan peppercorns', '2 star anise', '8 cloves', '1 piece dried tangerine peel', '2 bay leaves', '1 teaspoon white or black peppercorns', '3 dried liquorice slices ((甘草 - optional))', '1 whole nutmeg ((optional))', '1 tablespoon fennel seeds ((optional))', '2½ pounds beef shank ((1.1 kg))', '3 slices ginger', '¼ cup Shaoxing wine', '5 cloves garlic', '4 scallions ((cut into large pieces))', '15 grams rock sugar ((can substitute with regular granulated sugar))', '¼ cup light soy sauce', '2 tablespoons dark soy sauce', 'About 4 cups water ((or optionally, chicken, beef, or pork stock, enough to cover the beef))', 'Salt ((to taste, we used about 1 teaspoon))']","First prepare a spice packet by securing all of the spices in two tea pouches or by tying them securely inside a piece of cheesecloth. That’s the cinnamon, cardamom pod, Sichuan peppercorns, star anise pods, cloves, dried tangerine peel, bay leaves, whole white peppercorns, dried liquorice slices, nutmeg, and fennel seeds.
Next, cut your beef shank into cross sections––2 to 3 equal pieces about 5-6” long. Put the beef shank and ginger into a medium pot, and fill it with enough water to cover the beef. Bring it to a boil, until you see a layer of grayish film forming on the water’s surface. Shut off the heat and pour everything into a colander in the sink. Rinse the beef clean, and wash the pot clean.
Put the beef back into the pot, and add the spice pouch, Shaoxing wine, garlic, scallions (I forgot to add this when I made it, but that doesn’t mean you have to, too!), rock sugar, light soy sauce, dark soy sauce, and 4 cups water or stock (it must be enough to cover the beef). Also add salt to taste.
Bring everything to a boil, then turn the heat down to a very slow simmer. Let it simmer for 60 to 90 minutes until fork tender.
Try not to overcook the beef, so it doesn’t lose its texture. Take the beef out, and store it, covered, to cool completely before slicing.
Alternatively, after the braising liquid is cooled completely, you can put the beef back in and let it soak in the sauce in the refrigerator overnight to intensify the flavors.",en-US,"{'calories': '200 kcal', 'carbohydrateContent': '9 g', 'proteinContent': '27 g', 'fatContent': '5 g', 'saturatedFatContent': '2 g', 'cholesterolContent': '44 mg', 'sodiumContent': '897 mg', 'fiberContent': '2 g', 'sugarContent': '3 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,130,6 serving(s)
