title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
Tamarind Iced Tea,Kaitlin,https://thewoksoflife.com/tamarind-iced-tea/,Chinese,https://thewoksoflife.com/wp-content/uploads/2020/07/tamarind-iced-tea-8.jpg,"['6 cups water ((1400 ml))', '4 black tea bags', '2 cups ice', '1 lemon ((sliced into thin rounds))', '1/2 cup tamarind concentrate (or tamarind paste)', '1/4-1/2 cup simple syrup ((to taste; can substitute honey or agave))']","Bring 6 cups of water to a boil. Turn off the heat, and add 4 tea bags. Steep for 20 minutes. You can let it sit longer if you need to make things in advance, but just be mindful that this can cause slight bitterness, so it’s best to remove the tea bags. Allow the tea to cool.
To your pitcher, add the brewed tea, 2 cups ice, lemon slices, tamarind concentrate, and your sweetener of choice. We’ve offered ¼ cup as a starting point, but you should tailor it to your preferences for sweetness.
Stir thoroughly using a long wooden spoon, and serve!",en-US,"{'calories': '67 kcal', 'carbohydrateContent': '18 g', 'proteinContent': '1 g', 'fatContent': '1 g', 'saturatedFatContent': '1 g', 'sodiumContent': '27 mg', 'fiberContent': '1 g', 'sugarContent': '16 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,35,6 serving(s)
How to Make Soy Milk at Home,Kaitlin,https://thewoksoflife.com/how-to-make-soy-milk/,Chinese,https://thewoksoflife.com/wp-content/uploads/2017/02/how-to-make-soy-milk-6-1.jpg,"['10 ounces soybeans ((285g, soaked overnight))', '12 cups water', '1/8 teaspoon salt', 'Sugar ((to taste, optional))']","First, rinse your soybeans, put in a large bowl, and completely submerge with cold water. Set aside and let soak overnight.
The next day, rinse the soybeans a couple of times and transfer to a large pot. Add 12 cups of water to the beans, and bring to a boil using high heat and continue to cook for 10 more minutes using medium heat.
Next, blend the soybeans and water in batches until completely smooth. We used our Blendtec’s “smoothie” setting. Transfer the blended soybean mixture to another pot and let simmer for 40 minutes. Watch it carefully, as it’s easy for the soymilk to boil over! Towards the end of the 40 minutes, add salt and sugar to taste (if using), stirring to dissolve.
After 40 minutes, strain the soymilk through a fine cheesecloth. It’s ideal to use cheesecloth, which will result in the cleanest and smoothest soy milk, but you can also use a fine-meshed strainer, as we did. If you use a fine-meshed strainer, you’ll want to let your soy milk settle before using it, as there will be some soybean solids at the bottom of whatever bottle or container you use to store it. This is especially important if you’re using the soymilk for coffee. If you’re using it for baking or to make a Chinese dish like Dou Jiang, a few solids are just fine.
Transfer the soymilk to a bottle, jar, or other airtight container and store in the fridge on the top shelf in the back to preserve it for longer! It’s best to finish it as soon as you can--we wouldn’t recommend keeping it for longer than a few days. As with all homemade staples like pickles, tomato sauce, etc. it’s best to exercise caution!",en-US,"{'calories': '133 kcal', 'carbohydrateContent': '10 g', 'proteinContent': '9 g', 'fatContent': '6 g', 'saturatedFatContent': '1 g', 'sodiumContent': '203 mg', 'fiberContent': '1 g', 'sugarContent': '7 g', 'servingSize': '1 serving'}",4.5,,The Woks of Life,740,8 serving(s)
Avocado Smoothies with Boba,Kaitlin,https://thewoksoflife.com/avocado-smoothies-boba/,Chinese,https://thewoksoflife.com/wp-content/uploads/2016/05/avocado-smoothie-10-1.jpg,"['½ cup tapioca pearls ((“bubbles” or “boba,” optional))', '1 cup ice', '1 avocado ((pitted and scooped out in chunks))', '9 basil leaves', '1 lime ((juiced and zested)', '½ - ¾ cup condensed milk ((depending on your preferences for sweetness))', '1 cup water']","Boil a small pot of water. Cook the tapioca pearls per package instructions. When they’re done, drain and transfer to a small bowl with a small amount of room temperature water so they don’t harden and dry out.
Next, prepare your smoothie. Pile the rest of the ingredients into your blender. Blend until smooth.
In a tall glass, add a ¼ cup of tapioca pearls and pour your avocado smoothie over the top. Top with some additional lime zest if desired, add a straw, and enjoy!",en-US,"{'calories': '276 kcal', 'carbohydrateContent': '44 g', 'proteinContent': '4 g', 'fatContent': '11 g', 'saturatedFatContent': '3 g', 'cholesterolContent': '13 mg', 'sodiumContent': '56 mg', 'fiberContent': '4 g', 'sugarContent': '22 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,30,4 serving(s)
Sour Plum Drink (Suan Mei Tang - 酸梅汤),Judy,https://thewoksoflife.com/sour-plum-drink-suan-mei-tang/,Chinese,https://thewoksoflife.com/wp-content/uploads/2018/07/sour-plum-drink-4.jpg,"['2500 ml water ((about 10 cups))', '50-100 grams dried hawthorn ((山楂片))', '30-100 grams dried sour plum ((乌梅))', '3-10 grams dried orange peel', '3-10 grams dried licorice root', '10-20 grams dried hibiscus flower/tea ((洛神花))', '1-3 grams dried osmanthus flower ((optional) )', '100 grams rock sugar ((or to taste))']","Rinse all the dried ingredients under running water to get rid of any dirt or debris. In a large pot, combine the water and the dried ingredients (if you like, you can wrap all the dried ingredients in a cheesecloth to avoid the straining step later), and soak for 1 hour.
After soaking, bring everything to a boil, and immediately turn the heat down to low. Simmer (with the lid on) for 45 minutes. Add the rock sugar, let it dissolve completely, and turn off the heat to let the liquid cool.
Once cooled, strain the liquid into a large container, and serve over ice. Remember to store the leftovers in the refrigerator; it will last for 3-4 days. You’ll know that the drink has gone bad if there are air bubbles floating on top and the liquid is opaque instead of clear!",en-US,"{'calories': '48 kcal', 'carbohydrateContent': '12 g', 'sodiumContent': '16 mg', 'sugarContent': '12 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,165,8 serving(s)
Frozen White Peach Mango Margaritas,Bill,https://thewoksoflife.com/frozen-white-peach-mango-margaritas/,Chinese,https://thewoksoflife.com/wp-content/uploads/2014/07/mango-peach-margarita-1.jpg,"['1 cup ripe mango ((about 1 large or 2 small...we used champagne mangoes))', '2 ripe peaches ((we used white peaches, but regular peaches are great too))', '3 tablespoons fresh lime juice', '3 tablespoons simple syrup', '4 shots tequila', '2 shots triple sec', '3 cups ice', 'coarse salt', 'lime wedges']","Cut off the two fleshy sides of the mango and use a spoon to scrape the fruit into a bowl. Scrape the remaining fruit from the pit and discard the pit and the skins. Cut the peaches in half, remove the pit, and scoop out the fruit.
Place the fruit, lime juice, syrup, tequila, triple sec, and ice in a blender. Blend the mixture until smooth.
Run the lime wedge along the rim of the glass and salt the rims by gently twisting the glass upside down on a plate of salt. Distribute the margaritas among the glasses, garnish with lime wedges, and enjoy!",en-US,"{'calories': '206 kcal', 'carbohydrateContent': '30 g', 'proteinContent': '1 g', 'fatContent': '1 g', 'saturatedFatContent': '1 g', 'sodiumContent': '593 mg', 'fiberContent': '2 g', 'sugarContent': '28 g', 'servingSize': '1 serving'}",-1.0,,The Woks of Life,10,4 serving(s)
Yuanyang Tea (Hong Kong Style Tea Brewed with Coffee),Kaitlin,https://thewoksoflife.com/yuanyang-tea-hong-kong/,Chinese,https://thewoksoflife.com/wp-content/uploads/2015/08/yuanyang-7.jpg,"['1/4 cup black tea leaves (to make 4 1/2 cups (about 1 L) black tea)', '4 1/2 cups brewed coffee ((about 1 L))', '5-8 tablespoons sugar ((depends on your preference for sweetness))', '3/4 cup half and half ((180 ml))']","First brew your black tea leaves in 4 1/2 cups of water. While the tea is steeping, brew your coffee with your preferred method. Make sure both the tea and coffee are fairly strong!
When the coffee and tea are ready, combine them in a large bowl or carafe. Stir the sugar into the coffee/tea mixture and add the half and half. Stir thoroughly and serve!
This makes 8-10 servings depending on mug size. You can also serve this tea chilled or with ice!",en-US,"{'calories': '49 kcal', 'carbohydrateContent': '7 g', 'proteinContent': '1 g', 'fatContent': '2 g', 'saturatedFatContent': '1 g', 'cholesterolContent': '7 mg', 'sodiumContent': '13 mg', 'sugarContent': '6 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,20,10 serving(s)
"Bubble Tea Recipe, A Chinese Favorite",Kaitlin,https://thewoksoflife.com/bubble-tea/,Chinese,https://thewoksoflife.com/wp-content/uploads/2015/06/bubble-tea-6-1.jpg,"['4 1/2 cups boiled water', '1/4 cup good black tea leaves', '4 1/2 tablespoons sugar', 'Black tapioca pearls aka Bubbles aka ""Boba"" ((1/4 cup per glass))', '3/4 cup half and half']","First, boil your water. After it reaches a rolling boil, turn off the heat and let sit for 10 minutes or so. Apparently, Chinese tea gurus say that intensely hot boiled water zaps all the nutrients out of the tea leaves, ergo the short cooling process prior to brewing the tea. (As with most things related to Chinese cooking that my mother says that other people say, I can't really confirm whether or not this is actually true, but better safe than sorry...)
Put the tea in your favorite kettle (or a large mixing bowl), making sure that it's either in a tea bag (you can actually buy these and fill them with your own selection of teas!) or a few metal tea infusers. (If you haven't got any of this equipment, you can also just strain the tea prior to adding the half and half.) Add the hot water and let steep for 15 minutes.
Now you're ready to add the sugar. Mix the tea and sugar thoroughly until the sugar is completely dissolved. Then add the half and half. For anyone who's squeamish about higher fat dairy, it's really not a lot per serving, as this serves four. If you want to sub in regular milk, go right ahead, but the flavor of the finished product is truly authentic with the half and half!
Put the tea in the fridge to chill for at least 1 hour. This is preferred over adding ice, so that the tea doesn't get diluted. Also, more authentic! When your tea is close to the optimal temperature, break out your bubbles. Preparing the bubbles entails boiling them in water; you can follow the package instructions. Spoon out 1/4 cup of bubbles per glass and pour the finished tea for a delightfully sweet and refreshing drink!",en-US,"{'calories': '247 kcal', 'carbohydrateContent': '49 g', 'proteinContent': '1 g', 'fatContent': '5 g', 'saturatedFatContent': '3 g', 'cholesterolContent': '17 mg', 'sodiumContent': '20 mg', 'fiberContent': '1 g', 'sugarContent': '15 g', 'servingSize': '1 serving'}",4.67,,The Woks of Life,115,4 serving(s)
Creamy Sweet Corn Drink,Judy,https://thewoksoflife.com/sweet-corn-drink/,Chinese,https://thewoksoflife.com/wp-content/uploads/2019/06/chinese-corn-milk-7.jpg,"['2 ears sweet corn', 'water', '2 cups milk ((regular milk or non-dairy milk of choice))', '2 tablespoons sugar ((or honey; optional/to taste))']","Trim off the corn kernels by firmly holding each ear of corn vertically and carefully slicing downwards with a sharp knife. Transfer the corn kernels to a small pot, with just enough water to cover them.
Bring to a boil, reduce the heat to low, and add the sugar. Simmer for 10 minutes, ensuring you don’t cook off all the liquid. After 10 minutes, remove from the heat and let cool until the corn is cool enough to touch.
Next, add the corn along with the cooking water to a blender, and puree until completely smooth (this takes time). Add the milk and blend to combine.
Finally, you can strain after blending, but I like the thicker texture and added fiber! Serve slightly warm or at room temperature, or chill in the refrigerator before serving.",en-US,"{'calories': '98 kcal', 'carbohydrateContent': '12 g', 'proteinContent': '4 g', 'fatContent': '4 g', 'saturatedFatContent': '2 g', 'cholesterolContent': '12 mg', 'sodiumContent': '53 mg', 'sugarContent': '12 g', 'servingSize': '1 serving'}",-1.0,,The Woks of Life,30,4 serving(s)
How to Make Vietnamese Coffee,Bill,https://thewoksoflife.com/how-to-make-vietnamese-coffee/,Chinese,https://thewoksoflife.com/wp-content/uploads/2017/12/vietnamese-coffee-7-1.jpg,"['3 tablespoons Vietnamese ground coffee ((we used Trung Nguyen brand))', '1-3 tablespoons sweetened condensed milk', '6-8 ounces water that is close to boiling point ((depending on your desired coffee strength))']","We used the Trung Nguyen brand of ground coffee for this Vietnamese coffee recipe, but you can use any good French roast coffee, too.
Our Phin Vietnamese coffee filters are the 6-ounce size, but they come in different sizes depending upon your brewing needs. Alternatively, you can use a French coffee press or your favorite drip coffee method.
Measure 3 tablespoons of ground coffee, and distribute it evenly into the filter.
DO NOT shake the filters or compress the coffee, or the coffee grounds will drop into the holes of the coffee filter and plug up the holes! The result will be that the coffee takes forever to drip, or the grounds may clog the filter entirely. Place the metal filter gently on top of the coffee.
Pour your desired amount of condensed milk into a mug or heatproof glass.
Measure out 6 ounces of near boiling water. Use 8 ounces if you don’t like your coffee with such a strong kick in the pants.
With the filter placed over the glass, pour two tablespoons of hot water into the filter and wait for 5 seconds to ""bloom"" the coffee. The bloom is the part of the coffee brewing process when the water releases CO2 from the coffee, and the grounds expand.
Next, press on the filter gently to compress the bloomed coffee. This helps slow down the drip rate when you use all of your water, and also makes for a more flavorful coffee.
With these steps, you’ll be able to achieve the optimum brewing time. That said, now slowly pour the rest of the water into the filter, and the coffee will begin dripping into your cup or glass.
Wait about 5 minutes for the coffee to finish drip brewing!
Remove the filter, and stir to mix in the condensed milk.",en-US,"{'calories': '129 kcal', 'carbohydrateContent': '22 g', 'proteinContent': '3 g', 'fatContent': '3 g', 'saturatedFatContent': '2 g', 'cholesterolContent': '14 mg', 'sodiumContent': '60 mg', 'sugarContent': '22 g', 'servingSize': '1 serving'}",4.5,,The Woks of Life,25,1 serving(s)
Hong Kong Milk Tea,Kaitlin,https://thewoksoflife.com/hong-kong-milk-tea/,Chinese,https://thewoksoflife.com/wp-content/uploads/2019/02/hong-kong-milk-tea.jpg,"['6 cups hot water ((1.4L, makes about 4 ½ cups of tea after the boiling process))', '10 tablespoons tea leaves or fannings', '1⅓ cups evaporated milk ((315 ml, ⅓ cup per serving))', '1 to 2 tablespoons sweetened condensed milk (~1 teaspoon per serving, or to taste)', 'a fine-meshed strainer with a clean pair of stockings tied around it (optional, to get a perfectly smooth tea)']","Add 6 cups of very hot water to a pot. Add the tea and bring to a boil. Turn down the heat and simmer for 15 minutes.
From there, pour the tea through a fine-meshed strainer that has cotton cheesecloth tied around it. This is optional to make sure you get every last bit of tea fanning out of your drink.
Portion out the tea––one serving is a little over 1 cup. Mix in ⅓ cup evaporated milk and about 1 teaspoon sweetened condensed milk, or to taste. Stir thoroughly, and enjoy immediately!",en-US,"{'calories': '140 kcal', 'carbohydrateContent': '13 g', 'proteinContent': '6 g', 'fatContent': '7 g', 'saturatedFatContent': '4 g', 'cholesterolContent': '27 mg', 'sodiumContent': '120 mg', 'sugarContent': '13 g', 'servingSize': '1 serving'}",4.7,,The Woks of Life,25,4 serving(s)
