title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
Vegan Char Siu Bao,Bill,https://thewoksoflife.com/vegan-char-siu-bao/,Chinese,https://thewoksoflife.com/wp-content/uploads/2015/02/vegan-char-siu-bao-13-1.jpg,"['1 cup warm water ((separated in two 1/2 cup portions))', '1 teaspoon active dry yeast', '3 cups all purpose flour or bread flour ((divided))', '¼ cup coconut oil', '½ teaspoon vital wheat gluten ((can be eliminated if using bread flour))', '½ cup sugar', 'Pinch of salt', '2 tablespoons oil', '1 medium onion ((diced))', '1 pound extra firm tofu ((drained, pat dry and cut into ½-inch cubes))', '2 ½ tablespoons soy sauce', '½ teaspoon dark soy sauce ((optional))', '1 tablespoon sugar', '1/2 teaspoon salt', '1 teaspoon sesame oil', '1 tablespoon hoisin sauce', 'white pepper ((to taste))', '1 ¼ cups water or vegetable stock', '2 tablespoons flour', '1 tablespoon sugar', '2 tablespoons warm water']","Start by making the dough. Add ½ cup warm water, 1 teaspoon active dry yeast and 1/3 cup flour to a large bowl, and mix well. Set aside in a warm place for 15 minutes until the mixture foams up.
Mix the coconut oil into the foamy yeast mixture until you can’t see any solids and then mix in the remaining 1/2 cup of warm water. Add the last 2 2/3 cups flour, vital wheat gluten, sugar, and salt. Mix in until a dough forms. Knead for 10 minutes. You can add some flour to make it easier to work with, but don't worry if it's a bit sticky. Cover with plastic wrap and let it proof for 1 hour.
While that's happening, make the filling. Heat your wok or cast iron pan over medium-high heat and add the oil, onions and tofu. Cook for 3-5 minutes until one side of the tofu is just browned. Turn the mixture over with a rubber spatula and brown the other side. Feel free to add more oil if the mixture looks a bit dry.
Add the soy sauces, sugar, salt, sesame oil, hoisin sauce, and white pepper. Stir everything together and then add the water/vegetable stock and flour. Stir gently so as not to break up the tofu chunks.
Let the mixture simmer until the liquid thickens into a sauce. It should thicken further as it cools. Set the mixture aside to cool completely before making the buns. If the mixture looks a little wet, you can put it in the fridge to solidify it for easier assembly.
Once the dough has proofed for an hour, turn it out onto a well-floured surface and knead for another 2-3 minutes to ensure most of the air bubbles are gone. Add just enough flour so you can knead it, but be careful not to dry out the dough. Divide the dough into 10 equal pieces and cover with a damp towel.
Roll out each dough ball into a disc, where the middle of the disc is a bit thicker than the sides. Put about 2 tablespoons of filling in the center and fold up the edges to close the bun. The dough is fairly elastic, so you can stretch it to cover the filling if needed. Check out our other char siu bao recipe for more photos on bun folding, Chinese BBQ Pork Buns (Cha Siu Bao. Be sure to pinch it closed, and place it seam side down on a parchment-lined baking sheet.
Keep all the dough balls and the finished buns covered with damp towels until they're all assembled. Let the buns sit for another 10 minutes while you preheat your oven to 375 degrees.
Mix together the sugar and warm water and brush the mixture onto the buns. Place the buns in the oven and immediately turn the temperature down to 350 degrees. Bake for 20-25 minutes, until golden. Brush the buns with the remaining sugar water when they come out of the oven. Serve warm!
Tip: Store these buns in the refrigerator. When you're ready to eat one, heat it up in the microwave for 15-30 seconds.
By the way, this dough is seriously good enough to use for our regular roast pork buns. So check out our roast pork cha siu and roast pork cha siu bao recipes, and mix and match them for whatever version you want!",en-US,"{'calories': '304 kcal', 'carbohydrateContent': '44 g', 'proteinContent': '9 g', 'fatContent': '10 g', 'saturatedFatContent': '5 g', 'cholesterolContent': '1 mg', 'sodiumContent': '444 mg', 'fiberContent': '2 g', 'sugarContent': '14 g', 'servingSize': '1 serving'}",4.88,,The Woks of Life,180,10 serving(s)
Steamed Red Bean Buns,Judy,https://thewoksoflife.com/steamed-red-bean-buns/,Chinese,https://thewoksoflife.com/wp-content/uploads/2020/11/red-bean-buns-13.jpg,"['7 ounces red bean paste ((recipe here))', '1 teaspoon granulated sugar', '1/4 cup lukewarm water', '1 teaspoon active dry yeast', '1 2/3 cups all purpose flour ((plus more for dusting))', '3 tablespoons powdered sugar', '1/4 teaspoon salt', '1/3 cup lukewarm milk (Milk should be lukewarm or at room temperature)']","First, prepare the red bean paste. You can use our recipe for sweet red bean paste, or opt for store-bought. Our original recipe makes a large batch, but you can freeze leftovers to make other recipes. To make the exact amount needed for this recipe, scale the serving size down from 21 to 4 in the recipe card. The filling must be cooled completely and can be made up to several days in advance.
In a large mixing bowl, add 1 teaspoon sugar to ¼ cup warm water, and stir in the yeast until dissolved. Let sit for 15 minutes until the yeast foams up.
Next, stir in the milk and add the flour, powdered sugar, and salt. With the dough hook attachment, turn the mixer on low. Let the mixer go for 5 minutes, or knead by hand for 8 minutes, or until the dough is soft and smooth. The dough should not stick to your hands or the bowl.
Cover with a plate to proof for 1 hour in a warm spot, or until the dough doubles in size. I proof the dough inside my closed microwave with a large mug of just boiled water next to it.
While the dough is proofing, roll 8 balls of red bean filling between your palms. Each should weigh about 25g. Cover them with a damp towel to prevent them from drying out. Set aside.
Cut out eight 3""x 3"" squares of parchment paper for the buns to sit on in the steamer.
Once the dough is done proofing, put it back in the mixer and knead for another 2 to 3 minutes to get rid of any air bubbles (or knead by hand). Transfer to a clean, lightly floured surface. Use a kitchen scale to equally divide the dough into 8 pieces (mine were 50g apiece). Cover with a clean kitchen towel while you assemble the buns.
To assemble, roll a dough ball into a 4-inch disc, making the edges slightly thinner than the center. Put one ball of red bean filling in the center of the dough. Gather the edges of the dough around the filling, and pinch the edges together to close the opening.
Place the dough seam side down on a parchment square, and transfer to your steaming rack. The buns need at least 1-inch of space between each other. Repeat with the remaining dough until all the buns are assembled.
Prepare your steamer with about 5 cups of warm water. Put the buns in the steamer and cover. Your steamer water should be lukewarm to help with proofing, but do not turn on the heat at this time. Let them proof for 30 minutes.
Now turn the heat on to medium/high. Set your timer for 15 minutes, during which the heat will slowly bring the water to a boil and steam the buns. It may seem slow to heat in the beginning, but don’t be tempted to disturb the buns or remove the lid.
After the 15-minutes have elapsed, turn off the heat, and let the buns sit in the steamer with the lid tightly covered for another 5 minutes. DO NOT UNCOVER THE LID AT ANY POINT DURING THE STEAMING AND POST-STEAMING TIME. The buns need 5 minutes to set, or they will collapse and become wrinkly, so be patient. They can only be revealed after the final 5-minute timer goes off! Enjoy.",en-US,"{'calories': '187 kcal', 'carbohydrateContent': '40 g', 'proteinContent': '5 g', 'fatContent': '1 g', 'saturatedFatContent': '1 g', 'cholesterolContent': '1 mg', 'sodiumContent': '79 mg', 'fiberContent': '2 g', 'sugarContent': '16 g', 'servingSize': '1 serving'}",-1.0,,The Woks of Life,140,8 serving(s)
Fish & Mixed Vegetable Stir-fry,Kaitlin,https://thewoksoflife.com/tilapia-and-mixed-vegetable-stir-fry/,Chinese,https://thewoksoflife.com/wp-content/uploads/2013/07/fish-mixed-vegetable-stir-fry-1.jpg,"['2 tilapia fillets ((about 12 ounces/340g, cut into 2-3-inch pieces))', '3 tablespoons soy sauce', '¼ cup shaoxing wine', '½ teaspoon sesame oil', '2 teaspoons cornstarch', 'ground white pepper', '1 cup dried wood ear mushrooms ((soaked in cold water for 1-2 hours, chopped roughly))', '1 red bell pepper ((cut into chunks))', '1 long hot green pepper ((cut into chunks))', '1 small onion ((thinly sliced))', '2 scallions ((sliced))', '2 cloves garlic ((chopped))', '1 inch piece ginger ((peeled and sliced into rounds))', '(vegetable oil)', '1/3 cup water']","Prep time accounts for soaking the mushrooms. Actual active prep time is more like 10 minutes. Huzzah! You can soak the wood ear mushrooms ahead of time and just store them in water in the fridge until you're ready to use them.
In a bowl, add your tilapia pieces, soy sauce, wine, sesame oil, cornstarch, and a couple pinches of white pepper. Stir it together and set it aside to marinate while you’re chopping up the veg.
Chop up your mushrooms, peppers, onion, scallions, and garlic. Peel and slice the ginger.
Once everything is prepared, put 3 tablespoons oil in a wok over medium heat. Fry the ginger for 1 minute. Then add the garlic and fry for another minute.
Add your sliced onion and stir-fry for another 2-3 minutes, cranking up the heat to medium-high.
Add both peppers and stir-fry another minute. Turn the heat up to high and add the wood ears. Keep stirring for another 2 minutes.
Add the fish to the wok in one layer over the vegetables. Add 1/3 cup water and cover the pan. Reduce the heat to medium low and steam the veggies and fish for 5-6 minutes, until the fish just turns opaque.
Uncover the wok and crank the heat up to high again. Add the scallion and gently toss and stir everything together for another 2 minutes. Plate and serve!",en-US,"{'calories': '258 kcal', 'carbohydrateContent': '14 g', 'proteinContent': '20 g', 'fatContent': '13 g', 'saturatedFatContent': '9 g', 'cholesterolContent': '43 mg', 'sodiumContent': '842 mg', 'fiberContent': '3 g', 'sugarContent': '3 g', 'servingSize': '1 serving'}",4.84,,The Woks of Life,40,4 serving(s)
Homemade Multigrain English Muffins,Judy,https://thewoksoflife.com/homemade-multigrain-english-muffins/,Chinese,https://thewoksoflife.com/wp-content/uploads/2014/11/multigrain-english-muffins-19-1.jpg,"['1 cup multigrain cereal mix', '1 1/4 cups boiling water ((295ml))', '1 envelope active dry yeast (8.75g)', '1 teaspoon salt ((5g))', '1 teaspoon sugar ((5g))', '½ cup plain yogurt ((125g))', '3 cups all purpose flour ((about 420g), plus more for dusting)', '¼ cup semolina flour', '2 teaspoons oil']","In a large bowl, mix together the multigrain flour and boiling water. Cover with a clean kitchen towel, and let stand at room temperature for 15 minutes. Stir in the yeast while the cereal mix is still warm. Cover and let stand for another 5 minutes.
Add the salt, sugar, and yogurt, and mix everything together. Stir in the flour, 1 cup at a time, until you get a firm dough. Knead the dough for 10 -15 minutes (I usually mix the dough by hand…it’s good for the soul. But you could also do this entire process in a mixer with a dough hook attachment).
Let the dough rest for 10 minutes. In the meantime, dust a small handful of semolina flour on a large baking sheet. Roll the dough out on a lightly floured surface to about a ½ inch thickness. Use a biscuit cutter or a water glass to cut circles out of the dough. Gather up the loose pieces, and roll them out again. Cut more circles. Continue the process until all the dough is used up. You should get 12-14 muffins.
Place the circles on the baking sheet with semolina flour. Shift them around to coat the bottoms of the muffins with the semolina. Cover with a clean, damp kitchen towel and let the muffins rise for 1 hour in a warm place.
Place a skillet over medium low heat, and use a pastry brush to brush a very thin layer of oil on the bottom of the pan. Cook the muffins in batches, about 6-7 minutes per side (12-14 minutes total for each muffin).",en-US,"{'calories': '186 kcal', 'carbohydrateContent': '36 g', 'proteinContent': '6 g', 'fatContent': '2 g', 'saturatedFatContent': '1 g', 'cholesterolContent': '1 mg', 'sodiumContent': '201 mg', 'fiberContent': '3 g', 'sugarContent': '1 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,145,12 serving(s)
Chinese Pineapple Buns with Roast Pork Filling,Sarah,https://thewoksoflife.com/chinese-pineapple-buns-pork/,Chinese,https://thewoksoflife.com/wp-content/uploads/2018/10/chinese-pineapple-bun-pork-5.jpg,"['⅔ cup heavy cream ((160 ml, at room temperature))', '1 cup milk ((235 ml, at room temperature))', '1 large egg ((at room temperature))', '⅓ cup granulated sugar ((75g))', '½ cup cake flour ((70g))', '3½ cups bread flour ((500g))', '1 tablespoon active dry yeast ((11g))', '1½ teaspoons salt ((7g))', '2 tablespoons oil ((30 ml))', '1/2 cup finely chopped shallots or red onion', '2 tablespoons sugar ((25g))', '1 tablespoon soy sauce ((15 ml))', '2 tablespoons oyster sauce ((30 ml))', '2 teaspoons sesame oil', '2 teaspoons dark soy sauce', '¾ cup water ((175 ml))', '3 tablespoons flour ((24g))', '2 cups Chinese roast pork ((char siu, diced))', '¼ cup nonfat dry milk powder ((30g))', '1¼ cups all-purpose flour ((160g))', '½ teaspoon baking soda', '¼ teaspoon baking powder', '2/3 cup superfine or caster sugar ((150g, very important that it’s superfine))', '¼ cup vegetable shortening ((50g))', '2 tablespoons milk ((30 ml))', '1 egg yolk', '1/8 teaspoon vanilla extract', '2 eggs ((separated))']","In the bowl of a mixer, add the dough ingredients: heavy cream, milk, egg, sugar, cake flour, bread flour, yeast, and salt. Use the dough hook attachment, and turn on the mixer to “stir.” Let it go for 15 minutes, occasionally stopping the mixer to push the dough together. If you're in a humid climate and the dough is too sticky, feel free to add a little more flour ¼ cup at a time until it comes together. If you don't have a mixer and would like to knead by hand, extend the kneading time by 5-10 minutes.
After 15 minutes of mixing, the dough is ready for proofing. Cover the bowl with a damp towel and place in a warm spot for 1 hour. The dough will grow to 1.5X its original size.
Meanwhile, prepare your filling and topping. To make the filling, heat 2 tablespoons oil in a wok over medium high heat. Add the onion and stir-fry for 2 minutes. Add the sugar, soy sauce, oyster sauce, sesame oil, and dark soy. Stir and cook until it starts to bubble up. Add the water and flour. Reduce the heat to medium low and cook, stirring, for a couple minutes until thickened. Remove from the heat and stir in the roast pork. Set aside to cool.
To prepare the topping, add the dry milk powder to a mixing bowl. If your dry milk powder has some larger clumps, crush them up with your fingers so it’s uniformly powdery. Add the flour, baking soda, baking powder, and superfine sugar. Stir to combine. Add the shortening, milk, egg yolk, and vanilla. Use your hands to mix everything together into a dough. If it’s too dry, add a little more milk a teaspoon at a time until it comes together. Cover with an overturned bowl or plate, and set aside at room temperature.
After the hour of proofing, put the dough back in the mixer and stir for another 5 minutes to get rid of air bubbles. You can also knead by hand. Dump the dough onto a lightly floured surface, and cut it into 18 equal pieces.
To assemble, divide the topping mixture into 18 equal pieces and roll each into a ball. Roll each ball out into a flat circle using a rolling pin.
Take a piece of bread dough, and flatten with your hands into a rough circle. Put a heaping tablespoon of pork filling in the middle, and wrap the dough around it. Roll into a smooth ball between your hands, and place on a parchment-lined baking sheet, seam-side down. Top the bun with a circle of topping.
Continue assembling until all the buns are made. Cover with a clean, damp towel and allow to rise for another hour.
After they’re done rising, position a rack in the middle of the oven and preheat to 350 degrees F. Brush the topping with egg yolk and any exposed dough with egg white. Bake for 18-20 minutes until golden. If you notice the topping getting too dark, tent the buns lightly with foil.
These are great warm out of the oven, but they’re also great reheated in the microwave for about 30 seconds. Store them in an airtight container in the fridge and reheat to enjoy!",en-US,"{'calories': '614 kcal', 'carbohydrateContent': '43 g', 'proteinContent': '62 g', 'fatContent': '20 g', 'saturatedFatContent': '7 g', 'cholesterolContent': '206 mg', 'sodiumContent': '524 mg', 'fiberContent': '1 g', 'sugarContent': '14 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,215,18 serving(s)
Bacon Scallion Milk Bread,Judy,https://thewoksoflife.com/bacon-scallion-milk-bread/,Chinese,https://thewoksoflife.com/wp-content/uploads/2020/07/bacon-scallion-bread-9.jpg,"['1/3 cup heavy cream ((at room temperature))', '1/2 cup whole milk ((at room temperature))', '1/2 large egg ((beaten, at room temperature))', '3 tablespoons sugar', '1/4 cup cake flour ((tap measuring cup to avoid air pockets))', '1 3/4 cups bread flour ((tap measuring cup to avoid air pockets))', '1 1/2 teaspoons active dry yeast', '1/2 teaspoon salt', '4 ounces bacon', '1 cup scallions ((chopped, about 8-9 scallions))', 'egg wash ((whisk the remaining 1/2 egg with 1 teaspoon water))', 'quick simple syrup ((2 teaspoons sugar, dissolved in 2 teaspoons hot water))']","Take the heavy cream, milk, and egg out of the refrigerator, and allow them to come up to room temperature, 30-45 minutes.
In the bowl of a stand mixer fitted with the dough hook attachment or a large mixing bowl, add the ingredients in the following order: heavy cream, milk, ½ of a beaten egg, sugar, cake flour, bread flour, yeast, and salt.
Turn the mixer on to the lowest setting (or stir with a wooden spoon), and mix until a dough forms. Knead the dough on the lowest setting for 15 minutes, occasionally stopping the mixer to push the dough together. The dough should pull away from the sides of the bowl, but stick to the bottom of the mixing bowl. If kneading by hand, extend the kneading time by 5-10 minutes.
If you’re in a humid climate and the dough is sticking to the sides of the bowl, add a little more flour 1 tablespoon at a time until it pulls away from the sides. Avoid adding too much additional flour, or the bread will be dense and less fluffy.
Cover the bowl with a damp towel and place in a warm spot for 60-90 minutes, or until doubled in size.
While the dough is proofing, cook the bacon on both sides, until crisp but still pliable. Cool and chop into ½ inch pieces. Prepare the scallions by washing them, wiping them thoroughly dry, and finely chopping them. Thoroughly grease an 8-inch or 9-inch round cake pan with butter or oil.
After the dough has doubled in size, punch the air out of it and knead for 5 minutes. Form it into a round ball, and roll it out into a ¼ inch (0.66 cm) thick rectangle or rough circle. Sprinkle the scallions and bacon evenly over the dough, and cut it into small 1.5 inch (4 cm) squares.
Fold each square in half like a taco with the bacon scallion filling on the inside. Nestle them in the pan standing up on one end of the taco. At this point, you can cover and refrigerate the dough overnight, if making this recipe in advance. The next day, remove the dough from the refrigerator, let it come up to room temperature, and proceed with the next step.
Proof the dough for 1 hour. Towards the end of the proofing process, place a rack in the center of your oven and preheat it to 350°F/175°C.
Brush the top of the proofed dough with egg wash. Bake for 22-25 minutes, or until golden brown.
Take the hot bread out of the oven, and immediately brush with the sugar water mixture to give it a nice shine! Cool, and enjoy warm or at room temperature.",en-US,"{'calories': '254 kcal', 'carbohydrateContent': '31 g', 'proteinContent': '8 g', 'fatContent': '11 g', 'saturatedFatContent': '5 g', 'cholesterolContent': '40 mg', 'sodiumContent': '259 mg', 'fiberContent': '2 g', 'sugarContent': '7 g', 'servingSize': '1 serving'}",4.91,,The Woks of Life,240,8 serving(s)
Inside-Out Hong Kong Coconut Buns,Sarah,https://thewoksoflife.com/inside-hong-kong-coconut-buns/,Chinese,https://thewoksoflife.com/wp-content/uploads/2014/07/inside-out-hong-kong-coconut-buns-19.jpg,"['2/3 cup heavy cream ((at room temperature))', '1 cup milk ((whole milk preferred, but you can use 2%, at room temperature))', '1 large egg ((at room temperature))', '1/3 cup sugar', '1/2 cup cake flour ((can substitute 1/2 cup all purpose flour sifted with 1 tbsp cornstarch))', '3 1/2 cups bread flour ((tap measuring cup to avoid air pockets))', '1 tablespoon active dry yeast', '1 1/2 teaspoons salt', '1 ¼ cups sweetened coconut flakes ((sweetened or unsweetened))', '1/4 cup milk powder ((non-fat or regular))', '1/3 cup sugar', '1/4 teaspoon salt', '2 tablespoons butter ((melted; salted or unsalted are both fine))', '2 egg yolks', '2 1/2 tablespoons milk', '1 egg ((beaten))', '1 tablespoon sugar ((dissolved in 1 tablespoon boiling water))']","In the bowl of a stand mixer fitted with the dough hook attachment, add ingredients in the following order: heavy cream, milk, egg, sugar, cake flour, bread flour, yeast, and salt. Turn the mixer on to the lowest setting to bring the dough together. Knead on low speed for 15 minutes. If needed, turn off the mixer to bring the dough together with a rubber spatula.
The dough should not stick to the sides of the mixer, but it may look a little bit sticky (sticking to the bottom of the mixer is ok). If you’re in a humid climate, and the dough is sticking to the sides of the mixing bowl, add more flour 1 tablespoon at a time until it comes together. Alternatively, you can stir all the dough ingredients together with a wooden spoon in a large mixing bowl, and then knead by hand for 20 minutes.
Shape the dough into a ball, and cover the bowl with an overturned plate or damp towel. Place in a warm spot to proof for 75-90 minutes, or until the dough doubles in size. (A good proofing environment is a closed microwave, with a mug of hot boiled water next to the bowl.)
While that's happening, mix the filling. In a medium bowl, combine the coconut, milk powder, sugar, salt, melted butter, egg yolks, and milk. Set aside.
After the first proof, knead for another 5 minutes to punch the air out of it. Then dump the dough on a lightly floured surface, shape it into a ball, and cut it in half. Cut each half of dough into 6 pieces, so you get 12 equal pieces of dough.
To shape the buns, knead and roll piece of dough into an even ball, and flatten. Roll into a 5x10 inch rectangle. Spread a layer of filling onto the rectangle, pressing the filling into the dough and leaving about a half inch of margin all around.
Roll the dough lengthwise into a cigar. Cut the cigar in half lengthwise, leaving it attached at the top end, so it looks like a long pair of pants. Twist the two pieces together, and then roll into a round spiral/snail shape, tucking the ends underneath the bun. Place onto a parchment-lined baking sheet. You’ll need two baking sheets, with 6 buns on each.
Cover with a damp towel, and proof the buns for 1 hour. Meanwhile, preheat the oven to 350 degrees, and position a rack in the middle of the oven.
Brush the risen buns with beaten egg, and bake for 22-26 minutes, until golden. Remove from the oven, and while the buns are still warm, brush with sugar solution.",en-US,"{'calories': '346 kcal', 'carbohydrateContent': '50 g', 'proteinContent': '8 g', 'fatContent': '13 g', 'saturatedFatContent': '8 g', 'cholesterolContent': '81 mg', 'sodiumContent': '400 mg', 'fiberContent': '2 g', 'sugarContent': '18 g', 'servingSize': '1 serving'}",4.94,,The Woks of Life,240,12 serving(s)
Milk Bread,Judy,https://thewoksoflife.com/milk-bread-2/,Chinese,https://thewoksoflife.com/wp-content/uploads/2015/01/asian-milk-bread-14-1.jpg,"['2/3 cup heavy cream ((160 ml, at room temperature))', '1 cup milk ((plus 1 tablespoon; total 250 ml, at room temperature))', '1 large egg ((at room temperature))', '1/3 cup sugar ((75 grams))', '1/2 cup cake flour ((tap measuring cup to avoid air pockets; 70 grams))', '3 1/2 cups bread flour ((tap measuring cup to avoid air pockets; about 500 grams))', '1 tablespoon active dry yeast ((11 grams))', '1 1/2 teaspoons salt ((7 grams))', 'Egg wash ((whisk together 1 egg with 1 teaspoon water))', 'Simple syrup ((optional: 2 teaspoons of sugar, dissolved in 2 teaspoons hot water))']","In the bowl of a mixer, add ingredients in the following order: heavy cream, milk, egg, sugar, cake flour, bread flour, yeast, and salt. Use the dough hook attachment, and turn on the mixer to “stir.” Let it go for 15 minutes, occasionally stopping the mixer to push the dough together. If you’re in a humid climate and the dough is too sticky, feel free to add a little more flour 1 tablespoon at a time until it comes together. If you don’t have a mixer and would like to knead by hand, extend the kneading time by 5-10 minutes.
After 15 minutes of kneading, the dough is ready for proofing. Cover the bowl with a damp towel and place in a warm spot for 1 hour. We proof the dough in our oven (We turned on our oven’s rapid proof setting for 5 minutes, turned the oven off, and then closed the oven door). The dough will grow to 1.5X its original size.
In the meantime, grease two baking vessels on all sides with butter, such as 2 standard loaf pans or even a loaf pan and a 9-inch round cake pan.
After the hour of proofing, put the dough back in the mixer and stir for another 5 minutes to get rid of air bubbles. Dump the dough on a lightly floured surface, and cut it in half. You can make a loaf with one half of the dough by cutting it into 3 pieces and placing them in the loaf pan. With the other half of the dough, cut it into eight equal pieces and make buns. You can really shape the dough however you like. Once shaped, let the dough proof for another hour.
Position a rack in the middle of the oven, and preheat to 350° F/175°C. Brush the risen dough with egg wash. Bake the loaves for 23-25 minutes. Remove from the oven and brush the buns with sugar water to give them a great shine, sweetness, and color.",en-US,"{'calories': '184 kcal', 'carbohydrateContent': '29 g', 'proteinContent': '5 g', 'fatContent': '5 g', 'saturatedFatContent': '3 g', 'cholesterolContent': '36 mg', 'sodiumContent': '238 mg', 'fiberContent': '1 g', 'sugarContent': '6 g', 'servingSize': '1 serving'}",4.85,,The Woks of Life,205,16 serving(s)
Pineapple Buns,Sarah,https://thewoksoflife.com/pineapple-buns/,Chinese,https://thewoksoflife.com/wp-content/uploads/2015/04/pineapple-buns-8-1.jpg,"['2/3 cup heavy cream ((160 ml, at room temperature))', '1 cup ((plus 1 tablespoon milk, at room temperature; total 250 ml))', '1 large egg ((at room temperature))', '1/3 cup sugar ((75g))', '1/2 cup cake flour ((70g))', '3 1/2 cups bread flour ((500g))', '1 tablespoon active dry yeast ((11g))', '1 1/2 teaspoons salt ((7g))', '¼ cup nonfat dry milk powder ((30g))', '1¼ cups all-purpose flour ((160g))', '½ teaspoon baking soda', '¼ teaspoon baking powder', '2/3 cup superfine sugar ((150g, it’s very important that it’s superfine))', '¼ cup vegetable shortening ((50g))', '2 tablespoons milk ((30 ml))', '1 egg yolk', '1/8 teaspoon vanilla extract', '1 egg yolk']","Start by making the bread dough. In the bowl of a mixer, add the heavy cream, milk, egg, sugar, cake flour, bread flour, yeast, and salt (in that order). Using the dough hook attachment, turn on the mixer to “stir.” Let it go for 15 minutes, occasionally stopping the mixer to push the dough together.
After 15 minutes, the dough is ready for proofing. Cover the bowl with a damp towel and place in a warm spot for 1 hour. The dough will grow to 1.5X its original size.
After the bread dough has proofed for an hour, put the dough back in the mixer and stir for another 5 minutes to get rid of air bubbles. Dump the dough on a lightly floured surface and cut into 12 equal pieces. Form each piece into a circular bun, and place on a baking sheet. Cover the buns with a clean, dry kitchen towel and let rise for another hour.
While that's happening, make the topping. Add the dry milk powder to a mixing bowl. If your dry milk powder has some larger clumps, crush them up with your fingers so it’s uniformly powdery.
Add the flour, baking soda, baking powder, and superfine sugar. Stir to combine. Add the shortening, milk, egg yolk, and vanilla. Use your hands to mix everything together into a dough. If it’s too dry, add a little more milk a teaspoon at a time until it comes together. Cover tightly with plastic wrap and set aside at room temperature.
When the buns are done rising for a second time, preheat the oven to 350 degrees F. Separate the topping dough into 12 equal pieces and roll them into balls. On a clean surface, roll out each ball into a flat circle and place one onto each bun.
Brush with egg yolk and bake at 350 degrees for 12-13 minutes.",en-US,"{'calories': '374 kcal', 'carbohydrateContent': '59 g', 'proteinContent': '9 g', 'fatContent': '11 g', 'saturatedFatContent': '5 g', 'cholesterolContent': '65 mg', 'sodiumContent': '365 mg', 'fiberContent': '1 g', 'sugarContent': '18 g', 'servingSize': '1 serving'}",4.81,,The Woks of Life,162,12 serving(s)
Cantonese Fried Dough (Ham Chim Peng),Judy,https://thewoksoflife.com/ham-chim-peng-fried-dough/,Chinese,https://thewoksoflife.com/wp-content/uploads/2016/01/ham-chim-peng-4.jpg,"['3 3/4 cups all-purpose flour ((plus extra for dusting))', '3 tablespoons baking powder', '1 teaspoon baking soda', '1/3 cup dark brown sugar', '1/3 cup regular granulated sugar', '2 cubes fermented red bean curd ((mashed))', '1/4 teaspoon five-spice powder', '1 1/3 cups water', 'Neutral oil ((for frying))', '3 tablespoons sesame seeds']","First mix together the flour, baking powder, and baking soda in a mixing bowl. Next, add the dark brown sugar, regular sugar, mashed fermented bean curd, and five-spice powder. Slowly stir in the water to form a wet dough. Make sure everything is well-combined. Cover and let the dough rest for 15 minutes.
While the dough is resting, take a medium pot and fill it with about 1 inch of oil for frying. Set aside. Once the dough is rested, dust a clean surface with a good amount of flour, and scrape the dough onto the floured surface. The dough will be very wet, so flour both hands before handling the dough. Divide it into 12 equal pieces.
Take each dough ball, and dip it into sesame seeds to coat--more or less depending on your preference. You can also coat both sides if you like. Flatten the dough to a 5-inch circle with a small hole in the middle and set aside on a well-floured surface. They can look quite rough at this point; don't feel the need to make them look perfect! Repeat until all 12 dough balls have been shaped.
Now, heat the oil to 325 degrees. Keep the heat between 325 to 350 degrees for the duration of the frying process. Fry the dough in batches, frying each side until golden brown, flipping one to two times to brown both sides. It should take 1 to 2 minutes each.
Drain on plate lined with paper towels or a wire rack and serve alone or with porridge. You can also store extras in the fridge and rejuvenate them with a quick turn through the oven or toaster oven.",en-US,"{'calories': '266 kcal', 'carbohydrateContent': '43 g', 'proteinContent': '5 g', 'fatContent': '9 g', 'saturatedFatContent': '6 g', 'sodiumContent': '98 mg', 'fiberContent': '1 g', 'sugarContent': '12 g', 'servingSize': '1 serving'}",-1.0,,The Woks of Life,60,12 serving(s)
