title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
Hainanese Chicken Rice,Judy,https://thewoksoflife.com/hainanese-chicken-rice/,Chinese,https://thewoksoflife.com/wp-content/uploads/2015/08/hainanese-chicken-rice-10.jpg,"['1 fresh or organic chicken ((3-3½ pounds))', '1 tablespoon salt', '12-14 cups water', '4-5 slices ginger', '2 whole scallions', 'Ice', 'Chicken fat ((taken from the back cavity of the chicken))', '4 cloves garlic ((minced))', '3 cups uncoooked white rice ((preferably jasmine rice, washed and drained))', 'Chicken stock ((from cooking the chicken))', '2 teaspoons salt', '4-inch piece ginger ((roughly chopped))', '1 clove garlic', '3 tablespoons oil', 'pinch of salt', '1/3 cup water', '3 tablespoons rock sugar ((about 3 sizable chunks, or just measure out granulated sugar))', '1/3 cup dark soy sauce', '6 fresh red chilies ((we used Holland chilies))', '3-inch piece ginger', '3 cloves garlic', '½ teaspoon sesame oil', '1 teaspoon salt', '½ teaspoon sugar', 'The juice of 1 small lime', '1 teaspoon rice vinegar ((or white vinegar))', '3-5 tablespoons chicken broth from boiling the chicken ((or until a saucy consistency is achieved))']","To Make the Chicken:
Wash the chicken clean and remember to set aside the piece of chicken fat at the back cavity. Transfer the chicken to a plate and pat dry with a paper towel. Lightly rub the chicken with the salt. This will give the chicken skin a nice sheen. Set it aside.
Bring the water, along with the ginger and scallions, to a boil in a large stockpot. Before adding the chicken to the pot, rinse the chicken under running water to wash away the salt. Carefully lower the chicken into the boiling water, positioning the chicken breast-side up. Now is a good time to adjust the water level so the chicken breast just pokes above the water (so you aren’t left with dry white meat).
Once the water boils, carefully lift the chicken out of the water to pour out the colder water that is trapped in the cavity. Carefully lower the chicken back into the pot. Bring the water to a boil again, and cover the lid. Turn off the heat, and leave the pot covered on the stove for 45-50 minutes (set a timer). To check if the chicken is done, stick a toothpick into the thickest part of the drumstick. If the juices run clear, it’s cooked through.
When the 45-minute timer (for the chicken) is almost up, prepare a large ice bath. Once the chicken is cooked, carefully lift the chicken out of the pot, drain the water from the cavity and lower it into the ice bath. Take care not to break the skin. After 15 minutes in the ice bath, the chicken should be cooled completely, drain and cover with clear plastic until ready to cut and serve. The ice bath stops the cooking process, locks in the juices, and gives the chicken skin better texture.
To make the rice:
While the chicken is cooling, make the rice. Heat a wok over medium heat. Add the chicken fat and render for about a minute. Stir in the minced garlic and fry briefly, making sure it doesn’t burn.
Add the uncooked rice. Stir continuously for about two minutes.
Turn off the heat. Scoop the rice into your rice cooker and add the appropriate amount of chicken stock (instead of the usual water. This amount may vary depending on your rice cooker) and salt. Close the lid and press START.
If you don’t have a rice cooker, you can follow these steps. When you wash your rice, let it soak for an additional 20 minutes. Then drain the rice and follow the same steps above, but instead of transferring the rice mixture to your rice cooker, transfer it to a medium/large pot. Add 3 cups of chicken stock and the salt, giving it a quick stir. Cover the pot and bring to a boil. Once it boils, immediately turn down the heat to the lowest setting. Let the rice simmer and cook (covered) for 10-15 minutes until the rice is done. It’s not quite as foolproof as the rice cooker, but you should get a very similar result. Just be sure to keep an eye on it; burnt rice is no fun.
While the rice is cooking, let’s prepare the three signature dipping sauces. You can also start preparing these sauces while the chicken is cooking in the pot.
To Make Sauce 1: The Ginger Garlic Sauce
Grind the ginger and garlic in a food processor until a paste forms. Heat the oil in a small pot or saucepan. Gently fry the ginger and garlic until aromatic and just lightly caramelized. You want it to be just cooked so that it no longer has that spicy raw flavor of uncooked ginger and garlic. Add salt to taste and transfer to a sauce dish.
To Make Sauce 2: Sweet Dark Soy Sauce
Heat the water and sugar in a small saucepan over medium heat. Stir constantly until the sugar dissolves and the liquid thickens into a simple syrup. Add the dark soy sauce, stirring to combine. Transfer to a sauce dish.
To Make Sauce 3: Chili Sauce
Grind the chilies, ginger, and garlic in a food processor until finely chopped. You will probably have to scrape down the sides of the food processor 1-2 times to ensure everything is ground up evenly. Add the sesame oil, salt, sugar, lime juice, and vinegar to the food processor. Pulse 2-3 times to combine.
Transfer to a small bowl and add chicken broth (what you used to boil the chicken) 1 tablespoon at a time until a saucy consistency is achieved. This is really about your preference too; if you like a thicker paste, add less broth. The broth also helps the sauce come together and adds additional chicken flavor!",en-US,"{'calories': '722 kcal', 'carbohydrateContent': '90 g', 'proteinContent': '32 g', 'fatContent': '25 g', 'saturatedFatContent': '6 g', 'cholesterolContent': '82 mg', 'fiberContent': '2 g', 'sugarContent': '10 g', 'servingSize': '1 serving'}",4.91,,The Woks of Life,155,6 serving(s)
"Sour Plum Duck, A Hakka Chinese Classic",Bill,https://thewoksoflife.com/sour-plum-duck/,Chinese,https://thewoksoflife.com/wp-content/uploads/2016/01/sour-plum-duck-14.jpg,"['1 whole duck ((2.25 kg, about 5 pounds))', '1 teaspoon salt', '½ teaspoon white pepper', '1/4 teaspoon ground ginger', '1½ tablespoons canola oil', '2 cloves garlic ((minced))', '5 shallots ((thinly sliced, about ½ cup))', '3 large onions ((thinly sliced, about 4 cups))', '6 salted plums ((Koon Chun Brand))', '1½ cups plum sauce ((Koon Chun Brand))', '1½ cups low sodium chicken stock ((680g))', '3 to 4 pieces dried orange or tangerine peel', '1 tablespoon rice wine vinegar']","Remove the giblet packet from the duck, rinse both the inside and outside of the duck thoroughly, and let the water drain out. You can discard the giblets or place them in the pot with the duck if you like. Pat the duck dry with a paper towel. Combine the salt, white pepper, and ginger in a small bowl, and rub the spice mix evenly all over the duck, both outside and inside the cavity. Set aside to marinate for 30 minutes.
Heat 1½ tablespoons canola oil in a large Dutch oven (or other oven-safe pot with a lid) over medium-high heat. Sear the duck on both sides until lightly browned and transfer the duck to a plate. Preheat the oven to 375 degrees F. Add the garlic, shallots, and onions to the pot where you seared the duck. Fry for 3-5 minutes, until softened.
Use your hands or a fork to smash the salted plums, and add them to the pot. The plums should be pitted, but it is also okay to just add the pits and pick them out before serving. Also stir in the plum sauce, chicken stock, dried citrus peels, and vinegar. Mix well over medium heat and bring to a simmer. Once simmering, remove from the heat.
Spoon one cup of the onion mixture into the duck cavity, using a spoon to coat the inside of the duck as best as possible. Spread some of the sauce over the outside of the duck so it is lightly coated. With the onion mixture that's left in the pot, spread it out evenly across the bottom of the pot and carefully place the duck on top (breast side down). Cover the pot and place into the preheated oven for 60 minutes.
Take the pot out of the oven, and using a large roasting fork, carefully lift the duck up to dump the onions and liquid out of the cavity. Then carefully flip the duck so the breast is facing up. There should still be plenty of liquid at the bottom of the pan, but feel free to add a bit of chicken stock if it's looking dry.
Cover and return to the oven for another 30 to 60 minutes depending upon how tender you like your duck. Check the duck after 30 minutes for tenderness and add more stock if the sauce is drying out. Once you are satisfied with the tenderness, cook for another 15 minutes uncovered. Again, if there is no sauce, add in more chicken stock. Transfer the pot from the oven to the stovetop, and carefully transfer the duck to a serving plate or cutting board for carving.
Stir the sauce, discarding the tangerine peels and plum pits. If all went well, the sauce should have turned into a beautiful onion marmalade. Reduce the sauce over the stovetop if it is too thin, or add chicken stock to deglaze if the sauce is too dry.
Spoon some of the sauce and onions over the top of the duck, and serve the rest of the sauce on the side.",en-US,"{'calories': '765 kcal', 'carbohydrateContent': '50 g', 'proteinContent': '18 g', 'fatContent': '55 g', 'saturatedFatContent': '17 g', 'cholesterolContent': '97 mg', 'sodiumContent': '901 mg', 'fiberContent': '3 g', 'sugarContent': '11 g', 'servingSize': '1 serving'}",4.5,,The Woks of Life,200,6 serving(s)
Chicken and Thai Basil Stir-Fry,Sarah,https://thewoksoflife.com/chicken-and-thai-basil-stir-fry/,Chinese,https://thewoksoflife.com/wp-content/uploads/2013/07/chicken-thai-basil-7-1.jpg,"['1 chicken breast', '1 tablespoon fish sauce', '1 tablespoon soy sauce', '1 teaspoon freshly squeezed lime juice', '1 teaspoon brown sugar', '1 teaspoon cornstarch', '1 small yellow squash ((sliced))', '1 medium carrot ((sliced))', '1 scallion ((sliced))', '1/2 of a small onion ((sliced))', '1 clove garlic ((chopped))', '1 red chili pepper ((chopped))', 'vegetable oil', '1/2 cup Thai basil']","Cut your chicken into slices and put it in a bowl. Season with the fish sauce, soy sauce, lime juice, brown sugar and cornstarch. Stir it up and let it sit while you're preparing the other ingredients.
Chop, slice, and dice all the veg and the garlic. When you're ready to cook, heat a wok over medium high heat and add a couple tablespoons of oil. Add the chicken and stir-fry until it's got some color. Take the chicken out of the pan and set aside.
Add a little more oil to the pan and add all your vegetables, garlic, and chili. Stir-fry for a few minutes until the vegetables are tender. Add the chicken back to the pan along with the Thai basil and stir-fry until everything is well-combined, and the basil is wilted. Plate, and serve hot with some rice!",en-US,"{'calories': '324 kcal', 'carbohydrateContent': '16 g', 'proteinContent': '28 g', 'fatContent': '17 g', 'saturatedFatContent': '12 g', 'cholesterolContent': '72 mg', 'sodiumContent': '969 mg', 'fiberContent': '3 g', 'sugarContent': '9 g', 'servingSize': '1 serving'}",-1.0,,The Woks of Life,15,2 serving(s)
Shrimp Lo Mein,Bill,https://thewoksoflife.com/shrimp-lo-mein/,Chinese,https://thewoksoflife.com/wp-content/uploads/2016/02/shrimp-lo-mein-5-1.jpg,"['12 oz. shrimp ((340g, 31/40 size, peeled and deveined))', '1 pound fresh pre-cooked lo mein noodles', '½ teaspoon sugar', '1 1/2 tablespoons regular or light soy sauce', '2 teaspoons dark soy sauce', '1 tablespoon oyster sauce', '½ teaspoon sesame oil', '1/8 teaspoon ground white pepper', '3 tablespoons neutral oil ((like vegetable or canola, divided))', '2 cloves garlic ((minced))', '6 fresh button or cremini mushrooms ((sliced))', '1 medium carrot ((julienned))', '1/2 cup bamboo shoots ((sliced))', '1/2 cup water chestnuts', '1 tablespoon Shaoxing wine', '3 cups napa cabbage', '1 cup snow peas ((trimmed))', '1 cup fresh mung bean sprouts', '2 scallions ((split and cut into 2-inch long pieces))']","Take the shrimp and noodles out of the refrigerator, and let them come up to room temperature. One trick for the noodles is to soak the whole bag (unopened) in hot water, which speeds up the warming process without making the noodles soggy.
If you can’t find lo mein noodles, you can actually substitute dried linguini. Just cook until al dente, drain, and immediately toss with 1 tablespoon of vegetable oil, working the oil into the pasta so the noodles don't stick together. Always prepare your noodles just before you are ready to make the dish, so they don’t dry out and remain at room temperature or warmer. This makes the stir-frying process much easier.
Combine the sugar, soy sauces, oyster sauce, sesame oil, and white pepper in a bowl until the sugar is dissolved and set aside. Heat a large wok over high heat until it just starts to smoke, and add 1 tablespoon of oil around the perimeter of the wok. Quickly spread the shrimp around your wok and let them sear for 10-15 seconds on each side. Immediately transfer the shrimp to a plate and set aside.
Return the wok to the highest heat possible and add 2 tablespoons oil, along with the garlic. After a few seconds, add the mushrooms, carrots, bamboo shoots, and water chestnuts and stir-fry for 30 seconds.
Next, spread the Shaoxing wine around the perimeter of the wok, and then add the napa cabbage. Stir-fry for another 30 seconds. Spread the noodles evenly over the vegetables and give everything a good stir for 1 minute. Now, you can see why you want everything at room temperature, or everything will be overcooked and mushy by the time it heats up!
At this point, the noodles should be softened, so add in the sauce mixture you set aside earlier and mix until everything is well combined. Stir-fry for another 30 seconds using a scooping motion, until the sauce is well distributed. Add in the shrimp, snow peas, bean sprouts, and scallions. Mix well for another 2 minutes and serve!",en-US,"{'calories': '328 kcal', 'carbohydrateContent': '38 g', 'proteinContent': '20 g', 'fatContent': '11 g', 'saturatedFatContent': '6 g', 'cholesterolContent': '176 mg', 'sodiumContent': '908 mg', 'fiberContent': '4 g', 'sugarContent': '4 g', 'servingSize': '1 serving'}",4.85,,The Woks of Life,45,6 serving(s)
Steamed Chicken with Mushrooms & Dried Lily Flowers,Bill,https://thewoksoflife.com/steamed-chicken-mushrooms-dried-lily-flowers/,Chinese,https://thewoksoflife.com/wp-content/uploads/2016/04/steamed-chicken-10-1.jpg,"['1/4 cup dried wood ear mushrooms', '1/3 cup dried lily flowers', '10 medium dried shiitake mushrooms ((soaked until reconstituted))', '1 pound boneless chicken thighs ((450g, trimmed of fat and cut into large bite-sized chunks))', '¼ cup water', '1 tablespoon vegetable oil', '¼ teaspoon sesame oil', '1 teaspoon rice wine ((optional))', '1 tablespoon oyster sauce', '¼ teaspoon sugar', '3/4 teaspoon salt', '¼ teaspoon freshly ground white pepper', '1/2 teaspoon ginger ((grated))', '1 scallion ((chopped, white and green portions divided))', '1 tablespoon cornstarch']","Take the wood ear mushrooms, dried lily flowers, and shiitake mushrooms, and rinse them all separately under running water to make sure any dirt or dust particles are rinsed away. After cleaning, cut off the tough bottom portion of the lily flowers. Cut off the mushroom stems as well, which will speed up the soaking process.
Transfer the wood ears, lily flowers, and mushrooms to three separate bowls filled with water, and soak for one to two hours. Use a plate to cover and press each of the dried ingredients down to ensure they are fully rehydrated.
Once reconstituted, roughly chop the wood ears. Squeeze some of the excess water from the mushrooms, and slice each one into quarter-inch thick slices. Be sure to squeeze the lily flowers dry as well.
Place the chicken, wood ears, mushrooms, lily flowers, water, vegetable oil, sesame oil, rice wine (if using), oyster sauce, sugar, salt, white pepper, grated ginger, and the white portions of the scallions into a bowl. Mix until most of the liquid is absorbed into the chicken. Set the green portions of the scallions aside. Cover the chicken and marinate for a minimum of 2 hours, or in the refrigerator overnight.
When you’re ready to cook the dish, let the chicken mixture come up to room temperature, and add the cornstarch until it is uniformly incorporated. At this point, all of the liquid should be absorbed into the chicken, and there should be little or no standing liquid.
Transfer the mixture to a deep plate or pie dish, and sprinkle half of the green portion of the scallions over the top. Place in a covered steamer, and steam over medium high heat for 10 minutes. Shut off the heat, and leave the chicken in the steamer for another 2 minutes.
Carefully remove the cover from the steamer, taking care not to drip any water from the cover onto the dish. Sprinkle the rest of the scallions over the top, and serve with rice!",en-US,"{'calories': '307 kcal', 'carbohydrateContent': '6 g', 'proteinContent': '19 g', 'fatContent': '23 g', 'saturatedFatContent': '8 g', 'cholesterolContent': '111 mg', 'sodiumContent': '648 mg', 'fiberContent': '1 g', 'sugarContent': '1 g', 'servingSize': '1 serving'}",4.92,,The Woks of Life,255,4 serving(s)
Chicken Zucchini Dumplings,Sarah,https://thewoksoflife.com/chicken-zucchini-dumplings/,Chinese,https://thewoksoflife.com/wp-content/uploads/2017/08/chicken-zucchini-dumplings-5-1.jpg,"['2 medium zucchini ((seeds removed and shredded))', '5 tablespoons vegetable oil ((divided))', '2 tablespoons ginger ((minced))', '1 pound ground chicken', '½ teaspoon white pepper', '1 teaspoon sugar', '2 teaspoons sesame oil', '3 tablespoons soy sauce', '2 tablespoons Shaoxing wine (or dry cooking sherry)', '2 packages dumpling wrappers']","Take the shredded zucchini, put it in a clean kitchen towel, and squeeze out as much water as you can. Add it to a large mixing bowl and set aside.
In a wok over medium low heat, add 2 tablespoons vegetable oil and the minced ginger. Allow the ginger to fry in the oil until fragrant, 2 minutes. Add to the bowl of zucchini.
To the bowl, add 3 tablespoons vegetable oil, 1 pound ground chicken, ½ teaspoon white pepper, 1 teaspoon sugar, 2 teaspoons sesame oil, 3 tablespoons soy sauce, and 2 tablespoons Shaoxing wine. Mix well, stirring vigorously in one direction for about 5 minutes, until it resembles a paste.
Wrap the dumplings and place on a parchment lined baking sheet, so that the dumplings are not touching each other. You can fry them right away, or cover the dumplings with plastic wrap and freeze them on the tray. Once frozen solid, you can transfer them to freezer bags and store for up to 3 months.
To fry the dumplings, simply add a couple tablespoons of oil to a cast iron skillet or nonstick pan over medium high heat. Add the dumplings to the pan. Once the bottoms of the dumplings are golden brown, fill the pan with a little less than a centimeter of water, and cover immediately. Turn the heat down to medium low, and allow the dumplings to steam. Once the water has evaporated, remove the cover and let the dumplings continue to fry until the bottoms are crisp. Serve with black vinegar, chili oil, and/or our dumpling dipping sauce.",en-US,"{'calories': '343 kcal', 'carbohydrateContent': '45 g', 'proteinContent': '15 g', 'fatContent': '11 g', 'saturatedFatContent': '6 g', 'cholesterolContent': '39 mg', 'sodiumContent': '706 mg', 'fiberContent': '2 g', 'sugarContent': '1 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,105,12 serving(s)
Chicken Chop Suey,Bill,https://thewoksoflife.com/chicken-chop-suey/,Chinese,https://thewoksoflife.com/wp-content/uploads/2020/03/chicken-chop-suey-15.jpg,"['12 ounces boneless skinless chicken breast ((340g, sliced into ¼” thick slices))', '3 tablespoons water ((45 ml))', '1 tablespoon oyster sauce', '1 teaspoon Shaoxing wine ((or dry sherry))', '1 teaspoon vegetable oil', '2 teaspoons cornstarch', '2/3 cup low sodium chicken stock ((160 ml))', '1/4 teaspoon granulated sugar ((or brown sugar, 1g))', '1 1/2 tablespoons soy sauce', '1 teaspoon dark soy sauce', '1 1/2 tablespoons oyster sauce', '1/2 teaspoon toasted sesame oil', '1/8 teaspoon white pepper', '3 tablespoons vegetable oil', '2 cloves garlic ((chopped))', '4 mushrooms ((white button or baby bella mushrooms, sliced; about 50g))', '1/2 small carrot ((45g, thinly sliced))', '2/3 cup celery ((80g, thinly sliced))', '6 ounces bok choy ((170g, cut into ¾” x 2” pieces))', '1 tablespoon Shaoxing wine', '3/4 cup mung bean sprouts ((3 ounces or 85g))', '1 cup snow peas ((3 ounces or 85g))', '1 1/2 tablespoons cornstarch ((mixed with 2 tablespoons water))']","Combine the sliced chicken with water, oyster sauce, and Shaoxing wine. Massage the chicken until it absorbs all the liquid. Next, mix in 1 teaspoon oil and 2 teaspoons cornstarch until the chicken is uniformly coated. Set aside.
In a small bowl, mix together all the sauce ingredients, and set aside.
Heat your wok over high heat until lightly smoking, and pour 2 tablespoons vegetable oil around the perimeter. Spread the chicken in a single layer.
Sear for a few seconds, and then stir-fry the chicken for another 15 seconds, or until it is lightly golden brown and opaque. Remove the chicken from the wok and set aside. (It should be about 80% cooked at this point.)
Turn heat back up to high, and add an additional tablespoon of oil along with the chopped garlic. Once the garlic starts to sizzle, add in the mushrooms, carrots, and celery. Stir fry for 20 seconds and add the bok choy. Give everything a good stir and spread the Shaoxing wine around the perimeter of the wok to deglaze it.
Next, stir up your prepared chop suey sauce and spread that around the perimeter to further deglaze the wok. Use your wok spatula to give everything a quick stir.
Once the sauce begins to simmer, add in your bean sprouts and snow peas. Also add the chicken back to the wok.
When the sauce gets to a strong simmer or boil, mix up your cornstarch slurry. Drizzle it into the sauce, stirring constantly, until it thickens to a consistency you like. Add more cornstarch slurry mix if you like the sauce thicker. Cook for another 10 seconds to ensure everything is coated with the sauce. Serve immediately with steamed rice!",en-US,"{'calories': '274 kcal', 'carbohydrateContent': '13 g', 'proteinContent': '22 g', 'fatContent': '15 g', 'saturatedFatContent': '10 g', 'cholesterolContent': '54 mg', 'sodiumContent': '752 mg', 'fiberContent': '2 g', 'sugarContent': '4 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,35,4 serving(s)
Red Curry Noodles with Chicken,Sarah,https://thewoksoflife.com/red-curry-noodles-chicken/,Chinese,https://thewoksoflife.com/wp-content/uploads/2018/04/red-curry-noodles-5.jpg,"['8 oz. boneless, skinless chicken thighs ((cut into thin strips))', '1 teaspoon cornstarch', 'Vegetable oil', '3 tablespoons Thai red curry paste', '½ cup coconut milk', '1 pound fresh cooked egg noodles', '½ of a red bell pepper ((thinly sliced))', '2 cups bean sprouts', '5 scallions ((cut into 2-inch lengths))', 'Lime wedges', '2 tablespoons peanuts ((chopped))']","Combine the raw chicken with 1 teaspoon of cornstarch and 1 teaspoon vegetable oil. Set aside while you prepare the rest of the ingredients.
When you’re ready to cook, heat a wok over medium high heat, and add a tablespoon of vegetable oil, along with the chicken. Stir-fry the chicken until opaque, remove from the pan, and set aside.
Add the red curry paste. Fry for one minute, and add the coconut milk. Add the noodles and stir-fry, loosening up the noodles as you go.
Add the red bell pepper and stir-fry for 1 minute. Add the cooked chicken, bean sprouts and scallions and cook for another 2 minutes, until the scallions are wilted.
Serve with lime wedges, and garnish with chopped peanuts.",en-US,"{'calories': '232 kcal', 'carbohydrateContent': '24 g', 'proteinContent': '13 g', 'fatContent': '9 g', 'saturatedFatContent': '5 g', 'cholesterolContent': '58 mg', 'sodiumContent': '45 mg', 'fiberContent': '3 g', 'sugarContent': '3 g', 'servingSize': '1 serving'}",4.5,,The Woks of Life,25,6 serving(s)
Leftover Thanksgiving Turkey Ramen,Sarah,https://thewoksoflife.com/turkey-ramen/,Chinese,https://thewoksoflife.com/wp-content/uploads/2015/11/turkey-ramen-2-1.jpg,"['1 leftover turkey carcass ((plus any leftover vegetables from your roasting pan))', '6 scallions ((divided))', '8 slices ginger', '6 dried shiitake mushrooms', '16 cups water', '4 eggs', '4 oz. bacon ((110g))', '4 portions fresh ramen noodles', '2 cups leftover turkey ((shredded))']","Remove most of the meat that's left from your turkey carcass, shred, and set aside. Put the carcass and the leftover vegetable from your roasting pan in a large stockpot along with 3 scallions, ginger slices, shiitake mushrooms, and water. Bring to a boil, and lower the heat to a simmer. Simmer for 3 hours. Our turkey was about 13 lbs and we used 14 cups to make this stock. Depend on the size of your bird, adjust the water accordingly.
Meanwhile, prepare your eggs and bacon. Put the eggs in a small saucepan and cover with cold water (the water should cover the eggs by about an inch). Bring to a boil. Once the water’s boiling, immediately remove the pot from the heat and let sit for 4 minutes. Transfer the eggs to an ice bath to cool. Cook the bacon in a pan until crisp. Drain on paper towels, chop, and set aside. Also take the time to chop the 3 remaining scallions.
Once the broth is done simmering, prepare the fresh noodles according to the package directions. Divide the noodles among 4 bowls and cover with broth. To each bowl, add some shredded turkey, chopped scallions, chopped bacon, and an egg. Serve.",en-US,"{'calories': '721 kcal', 'carbohydrateContent': '65 g', 'proteinContent': '50 g', 'fatContent': '38 g', 'saturatedFatContent': '14 g', 'cholesterolContent': '259 mg', 'fiberContent': '3 g', 'sugarContent': '3 g', 'servingSize': '1 serving'}",-1.0,,The Woks of Life,185,4 serving(s)
Kung Pao Chicken Wings,Bill,https://thewoksoflife.com/kung-pao-chicken-wings/,Chinese,https://thewoksoflife.com/wp-content/uploads/2015/04/kung-pao-chicken-wings-11-1.jpg,"['12 chicken wingettes and drumettes ((rinsed and pat dry))', '¼ teaspoon ground Sichuan peppercorns', '1/8 teaspoon white pepper', '1 teaspoon soy sauce', '1 teaspoon Shaoxing wine', '¼ teaspoon sesame oil', '1 tablespoon cornstarch', '1 tablespoon flour', '1 teaspoon peanut oil ((can substitute vegetable or canola oil))', '1 teaspoon fresh ginger ((minced))', '1 clove garlic ((minced))', '10 dried whole red chili peppers', '½ teaspoon crushed red pepper flakes', '1 teaspoon Shaoxing wine', '½ teaspoon sesame oil', '½ cup chicken stock', '1 tablespoon sugar', '2 teaspoons rice vinegar', '1 teaspoon hoisin sauce', '1 teaspoon soy sauce', '¼ teaspoon dark soy sauce', '1 tablespoon spicy bean sauce/paste', '1 tablespoon cornstarch ((mixed into a slurry with 1 tablespoon water))', '1 scallion ((chopped))', '2 tablespoons peanuts ((roasted and chopped))', '2 tablespoons cilantro ((chopped))']","Toss the chicken wings in a large mixing bowl along with all the marinade ingredients, ensuring the wings are well coated. Set aside for at least 20 minutes.
Preheat the oven to 475 degrees F. Line a sheet pan with heavy duty foil for easy clean-up and add a layer of non-stick foil or parchment paper so the wings don't stick. Lay the wings on the sheet pan spaced 2 inches apart, ensuring that as much of the marinade coating is on the wings as possible. Bake in the oven for 16 minutes, flipping them halfway through roasting. Both sides of the wings should be crispy. Halfway through this process (i.e. after you've flipped the wings), make the sauce.
To make the sauce, add the oil and ginger to a wok or saucepan over low heat. After 15 seconds, add the garlic, whole dried chilies, and crushed red pepper flakes. Toast another 10 seconds and stir in the Shaoxing wine, sesame oil, chicken stock, sugar, rice vinegar, hoisin sauce, soy sauce, dark soy sauce, and spicy bean paste. Stir well and bring to a simmer.
Stir in cornstarch slurry until the sauce is thick enough to coat a spoon. Add the scallions. By now, the wings should be done cooking. Toss them into the sauce and serve, garnished with chopped peanuts and cilantro. Serve!
Note: We had these chicken wings without any dipping sauce, but if you'd like to cool off the wings slightly, you can serve with some plain yogurt, mixed with a bit of salt and and chopped cucumber.",en-US,"{'calories': '268 kcal', 'carbohydrateContent': '13 g', 'proteinContent': '17 g', 'fatContent': '16 g', 'saturatedFatContent': '4 g', 'cholesterolContent': '56 mg', 'sodiumContent': '433 mg', 'fiberContent': '1 g', 'sugarContent': '4 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,46,4 serving(s)
