title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
Peach Squares,Sarah,https://thewoksoflife.com/peach-squares/,Chinese,https://thewoksoflife.com/wp-content/uploads/2020/08/peach-squares-10.jpg,"['1 cup sugar', '1 stick salted butter ((melted; 1 stick = 4 oz., or 110g, or 1/2 cup))', '2 eggs ((at room temperature))', '1 teaspoon vanilla extract', '1 1/2 cups all purpose flour ((sifted))', '3 medium peaches ((about 2 cups, peeled, pitted and cut into chunks))', '1 cup walnut pieces', 'Powdered sugar ((for dusting, optional))']","Preheat oven to 350 degrees F/175 degrees C. Grease and flour a 9x13 inch pan.
In a large mixing bowl, add the sugar, melted butter, eggs, and vanilla. Whisk until well-combined.
Alternately fold in the sifted flour, peaches, and walnuts until well-combined. Pour into the prepared pan, and smooth out the batter so it’s evenly distributed.
Bake 35-40 minutes, or until the edges are golden brown and a toothpick inserted in the center comes out clean.
Cool, slice, and serve. (Refrigerate for 30 minutes for easier slicing.) Dust with powdered sugar if desired.",en-US,"{'calories': '280 kcal', 'carbohydrateContent': '34 g', 'proteinContent': '4 g', 'fatContent': '15 g', 'saturatedFatContent': '6 g', 'cholesterolContent': '48 mg', 'sodiumContent': '78 mg', 'fiberContent': '2 g', 'sugarContent': '20 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,60,12 serving(s)
Jianshui Zong (Alkaline Rice Dumplings - 碱水粽),Judy,https://thewoksoflife.com/alkaline-rice-dumplings-zongzi/,Chinese,https://thewoksoflife.com/wp-content/uploads/2017/05/alkaline-zongzi-24-1.jpg,"['9 ounces dried adzuki beans ((255g, 1 ¼ cups))', '3 ¾ cups water ((890 ml))', '½ teaspoon baking soda', '1/2 cup sugar ((100g, or to taste))', '¼ cup vegetable oil ((60 ml))', '1 pound sweet rice ((also called sticky rice, 450g or about 2 ¼ cups))', '1 ½ tablespoons lye water', '½ tablespoon vegetable oil', '30-40 dried bamboo leaves', '1 ½ teaspoons lye water', 'Kitchen string']","The Day Before: Make the Red Bean Paste:
Soak the red beans in water for 2 to 3 hours, then rinse off and drain.
Add the soaked red beans, 3 ¾ cups water, and baking soda to a medium pot. Cover and bring to a boil, then immediately reduce the heat to a simmer until the beans are softened and opened-up (about 30 minutes). Stir periodically to avoid burning.
If you see a lot of liquid remaining even after the beans are softened and have opened up, turn up the heat, remove the lid, and let the liquid cook off. While you’re doing this, watch the beans closely and stir occasionally to avoid burning. Remove from the heat and let the beans cool for a bit before pureeing the cooked beans in a food processor. You can also use an immersion blender, but a food processor will result in a more even puree.
Put the red bean puree in a thick-bottomed pan set over medium-high heat, and cook off the liquid, stirring constantly. This process will take about 25 to 30 minutes. Add the sugar (about 1/2 cup or to taste) early in the cooking process so it has a chance to fully dissolve.
Towards the end of the cooking time, add the ¼ cup of vegetable oil in two batches. The oil will prevent the puree from sticking to the pan too much. The paste is done once it “stays” in place rather than oozing across the pan. Transfer the paste to a dish, and let it cool before storing it in the refrigerator, covered.
The Night Before: Soak the Rice and Bamboo Leaves:
Rinse the sweet rice a couple of times until the water runs clear rather than cloudy. Next, transfer the rice to a large bowl with enough water so that the water line is ½-inch above the rice. Stir in 1½ tablespoons of lye water and ½ tablespoon vegetable oil. Once the lye water hits the fresh water, both the rice and water will turn a light yellow color––that’s normal. Soak the rice, covered, in the refrigerator overnight.
In a large basin (or your kitchen sink), soak the bamboo leaves overnight. Weigh the leaves down with something heavy to make sure all of the leaves are submerged.
The Next Day: Making and Cooking the Zongzi:
Clean each bamboo leaf, front and back, with a clean kitchen towel, shaking off any excess water and trimming off about a half inch of the bamboo leaf at the base (this part is too tough and rigid to handle). Set aside.
Take the soaked rice out of the refrigerator, and drain off all of the liquid. Set it aside.
Take out the red bean paste, and divide it into 15 equal-sized balls.
Now you’re ready to assemble the zongzi! Take two bamboo leaves and follow the steps shown in the photos, tying them off with kitchen string. Each rice dumpling takes about 2 tablespoons of soaked rice and one portion of red bean paste. Just remember not to tie the string too snugly, as the rice will need room to expand during the cooking process. After unwrapping a zongzi, it shouldn’t look like it has been wearing a pair of pants that’s two sizes too small. :)
In a large pot, arrange the zongzi neatly, and fill the pot with water--about 1-inch above the top of the zongzi. Add 1 ½ teaspoon of lye water to the pot, and place a heat-proof bowl or plate on top of everything to weigh down the zongzi. Bring the water to a boil, and then turn the heat to medium to slow cook the zongzi for 2½ hours. Check the water levels periodically, replenishing the pot with boiling water when the waterline falls below the top of zongzi.
After 2 ½ hours, turn off the heat, and take out the zongzi to let them cool. Serve the zongzi at room temperature with sugar or the syrup of your choice!",en-US,"{'calories': '229 kcal', 'carbohydrateContent': '42 g', 'proteinContent': '5 g', 'fatContent': '4 g', 'saturatedFatContent': '3 g', 'sodiumContent': '43 mg', 'fiberContent': '3 g', 'sugarContent': '7 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,360,15 serving(s)
Lotus Mooncakes with Salted Egg Yolks,Judy,https://thewoksoflife.com/lotus-mooncakes-egg-yolks/,Chinese,https://thewoksoflife.com/wp-content/uploads/2016/09/lotus-mooncakes-32.jpg,"['8 ounces granulated sugar ((1 cup plus 2 tablespoons, 225g))', '½ cup water ((120 ml))', 'Juice of ½ a lemon', '12 ounces dried lotus seeds ((340g, pre-halved is ideal if you can find it; we used whole))', '4 cups water ((950 ml))', ""1⅔ cups powdered sugar ((210g, aka icing sugar or confectioner's sugar))"", '1¼ cups peanut oil or corn oil ((300 ml))', '12 salted duck egg yolks', '140 ml sugar syrup (that you made or bought)', '⅓ cup peanut oil or corn oil ((80 ml))', '1 teaspoon lye water ((available at your Chinese grocery store))', '1 ⅔ cups flour ((about 250g, plus more for dusting))', '1 egg yolk', '3 tablespoons water']","Making the Syrup: Heat the sugar and water in a saucepan over medium heat. Stir to dissolve the sugar. Once it’s boiled, add the lemon juice, stir, and immediately turn the heat down to low. Keep the lid off, and let the syrup simmer for about 60 to 70 minutes until the sugary liquid turns a light amber color. Do not stir during this time frame! By now, the liquid might look too watery, but it will thicken once it’s cooled. Try not to overcook it, because it will become thick like caramel (it should be the consistency of honey). Just in case you do overcook the syrup, and it’s too thick, add a few drops of hot water to thin it out. Keep adding the hot water until you get the right consistency. Now pour the sugary liquid into a heatproof container, and let it cool completely before storing it in the refrigerator.
Making the Lotus Paste: Using a butter knife, gently split the lotus seeds in half through the top opening. Remove and discard the green center. Wash and soak them overnight. The next day, wash and drain the lotus seeds. In a pot, add the lotus seeds and 4 cups of water (the water level should be above the lotus seeds). Bring the mixture to a boil over high heat. Once the water reaches a boil, turn the heat to low, and let the seeds simmer for 30 minutes. It’s done once the lotus seeds are softened but have maintained their shape. Turn off the heat, let cool, and then drain the liquid. In a food processor, puree the cooked lotus seeds (it’s best to do this in two batches). Transfer the lotus puree to a non-stick pan (or a cast-iron pan, or a pan with a thick bottom to avoid sticking and burning). Turn the heat to medium low, and stir/flip/turn the puree using a rubber spatula non-stop for about 30 minutes (nice to have the TV or an audiobook on as you're doing this). In between, add in the powdered sugar and oil in 3 alternating batches. With each batch, make sure the sugar and oil is well incorporated before adding more. The lotus filling is done once the lotus paste is slightly firmer/can hold its shape. Let it cool completely before storing in the refrigerator in an airtight container. You can make this one day ahead of time, and I found that it’s easier to work with when the filling has been chilled.
Making the salted duck egg yolks: There are a couple of ways to go about preparing the salted duck egg yolk: The ones I bought are already cooked, so they were ready to use, and you can buy the same. But I did find them to be slightly drier than I would normally like. You can also buy whole cooked salted duck eggs, and extract the whole yolk. You can buy raw salted duck eggs, crack the eggs open, and take out the yolks. Preheat the oven to 350 degrees. Dip each yolk in baijiu (白酒, a clear Chinese liquor made from grain), just briefly to coat it, then put the egg yolks on a baking sheet lined with parchment paper. Bake for 8 minutes, let them cool completely, and they are ready to use. You can also prepare this ahead of time...just make sure to store them in an airtight container and in the fridge.
Making the dough: First mix the sugar syrup, oil, and lye water together. Then add the mixture to the flour, and use a rubber spatula to fold and combine everything into a soft dough. Do not overwork the dough--this step should only take about a minute or two. Cover the dough in an airtight container or wrap in plastic wrap. Let it rest in the refrigerator for an hour. Chilled dough is much easier to work with. (Side note: you may also leave the dough in the refrigerator overnight if you'd like to make it ahead of time.)
Assembling the mooncakes: While the dough is resting, let’s start assembling the filling. My mooncake mold was marked 100 grams, which means each mooncake should weigh about 100 grams after assembly. This recipe makes 18 mooncakes total: 12 mooncakes with salted duck egg yolks and 6 mooncakes without. Separately weigh out twelve 58-gram scoops of lotus filling and six 70-gram scoops of lotus filling. Shape each portion of filling into balls. Next, take one of the 58 gram lotus balls, make a deep well in the middle, and insert one salted duck egg yolk into the middle. Then close the top and re-shape it into a ball. Repeat for the remaining 11 pieces. It’s good to separate the “with” and the “without.” It’s also a good idea to put them back into the refrigerator, covered, until you are ready to assemble the rest of the mooncakes. Once the dough has finished resting, it’s time to prepare the mooncake mold. My mooncake mold came with four pattern plates––one plate should be attached to the mold itself. Wrap another one with clear plastic, because we will use it to press the mooncake from the bottom;, Now dust the inside of the mold with plenty of flour and shake off the excess. You’ll need to repeat this process before pressing every mooncake to avoid sticking. Divide and weigh the dough into eighteen 25-gram pieces, plus 1 smaller dough ball for scraps/mending, which I will get to. Shape each piece into a ball. Lightly dust the dough balls with flour. Take one dough ball and roll it out on a lightly floured surface into a 4-inch round. Put one piece of filling in the center. Carefully lift it up and turn it upside down, and gently press out the air bubbles around the lotus ball, without breaking the dough. Now turn the opening facing up, and slowly press the dough together to close the opening, keeping the distribution of the dough as even as possible. The dough feels like Play-doh, so it’s easy to break, but it’s also easy to squish back together. These instructions might sound confusing, but follow along with the pictures and keep in mind that the chief goal here is to close the dough around the filling without capturing air inside. Now lightly dust the assembled ball with additional flour. Place it inside the mooncake mold with the mold opening facing up. Now press in the bottom piece (with the clear plastic-wrapped plate that you prepared). With some pressure, gently press it inward. Quickly sit the mold down, and press the mooncake out with the top pressure bar. The bottom piece will come out no problem, but use your other hand to VERY GENTLY guide the mooncake out of the mold. When and if a small piece of dough gets stuck and does not come out, get a small piece of the “scrap”/“mending” dough to patch up the area. Then clean the mold and dust it well with flour again. Then gently flatten all sides of the mooncake to make it smaller, so it can go back in the mooncake mold for re-shaping. Use slightly more flour for dusting if this becomes a persistent issue. Place the mooncakes on a baking sheet as you make them.
Baking the mooncakes: Preheat the oven to 325 degrees when you are almost finished assembling the mooncakes. Once the oven is preheated, gently mist the mooncakes with a food-grade spray bottle (if you have one) filled with water. But since I didn’t have one, I just used my fingers, and it worked fine! Dip your fingers into a bowl of water, and fling the water on your fingers onto the mooncakes a couple of times. This prevents the dough from cracking. Then, immediately put the mooncakes in the oven and bake for 5 minutes. (Remember to set the timer!) Now prepare the egg wash by whisking the egg yolk and water together. After the mooncakes have been baking for 5 minutes, take them out of the oven and immediately lower the oven temperature to 300 degrees. Now lightly brush each mooncake with egg wash, and put them back in the oven. Bake them for another 15 minutes and remember to set the timer. When the time has elapsed, take them out and let them cool completely.
When the mooncakes first come out of the oven, the dough looks dry like bread, and not oily like what you are used to when opening packaged mooncakes. This is normal. Store the cooled mooncakes in an airtight container for a day or two, and the outside will get that nice shiny sheen that you recognize and love.
After this last step, any uneaten mooncakes can be kept in the refrigerator for a week or two.",en-US,"{'calories': '308 kcal', 'carbohydrateContent': '51 g', 'proteinContent': '6 g', 'fatContent': '9 g', 'saturatedFatContent': '2 g', 'cholesterolContent': '141 mg', 'sodiumContent': '16 mg', 'fiberContent': '1 g', 'sugarContent': '29 g', 'servingSize': '1 serving'}",4.85,,The Woks of Life,840,18 serving(s)
Apple Cinnamon Coffee Cake,Sarah,https://thewoksoflife.com/apple-cinnamon-coffee-cake/,Chinese,https://thewoksoflife.com/wp-content/uploads/2020/03/apple-cinnamon-coffee-cake-11.jpg,"['1/3 cup brown sugar ((65g))', '2 tablespoons granulated sugar ((25g))', '1/2 teaspoon cinnamon', '1/8 teaspoon salt', '4 tablespoons butter ((57g, 2 ounces - melted))', '2/3 cup all purpose flour ((85g))', '2 cups all-purpose flour ((260g))', '1 teaspoon baking soda', '1/2 teaspoon baking powder', '1/2 teaspoon salt', '2 teaspoons cinnamon', '2/3 cup yogurt ((160g; any plain or vanilla flavored yogurt or Greek yogurt; can substitute buttermilk or sour cream))', '1/2 cup brown sugar ((100g))', '1/2 cup vegetable oil ((120 ml))', '1/4 cup pure maple syrup ((60 ml))', '2 apples ((peeled and cored))', '2 teaspoons lemon juice']","Preheat the oven to 350 degrees. Grease and flour an 8-inch square cake pan.
Make the crumb topping. In a medium bowl, toss together the sugars, cinnamon, and salt. Stir in the melted butter with a fork. Add the flour and stir together until just moist (don’t overmix). Set aside.
To make the cake, whisk together the dry ingredients in a large bowl (flour, baking soda, baking powder, salt, and cinnamon). In another medium bowl, whisk together the yogurt, brown sugar, oil, and maple syrup
Take 1 apple and finely chop it. Fold it into the wet ingredients. Take the other apple, and cut it into thin slices. Toss in lemon juice and set aside.
Fold the dry ingredients into the wet ingredients until just combined––do not overmix. The batter will be thick. Pour batter into the prepared pan and smooth it out.
Line the surface of the cake with the apple slices. Spread the crumb topping on top of the apples.
Bake for 50 minutes, or until a toothpick comes out clean. Cool for at least 10 minutes before cutting and serving (serve warm or at room temperature).",en-US,"{'calories': '326 kcal', 'carbohydrateContent': '48 g', 'proteinContent': '4 g', 'fatContent': '14 g', 'saturatedFatContent': '3 g', 'cholesterolContent': '12 mg', 'sodiumContent': '225 mg', 'fiberContent': '2 g', 'sugarContent': '25 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,80,12 serving(s)
Chinese Shaved Ice,Kaitlin,https://thewoksoflife.com/baobing-chinese-shaved-ice/,Chinese,https://thewoksoflife.com/wp-content/uploads/2019/08/baobing-chinese-shaved-ice-13.jpg,"['1 cup dried red adzuki beans ((8 oz./225g, soaked overnight))', '1/4 cup sugar ((50g, or to taste))', '3 cups water ((710 ml))', '1/8 teaspoon salt', '1 cup dried mung beans ((8 oz./225g, soaked overnight))', '1/4 cup sugar ((50g, or to taste))', '3 cups water ((710 ml))', '1/8 teaspoon salt', '1/2 cup dry quick-cooking black tapioca pearls ((boba))', '1/2 cup dried white tapioca pearls ((can substitute more quick cooking black tapioca pearls))', '1/2 cup glutinous rice balls ((using our recipe))', '1/2 cup coconut milk ((120 ml))', '1/2 cup regular milk ((120 ml))', '1/2 cup sweetened condensed milk ((120 ml, or to taste))']","Make the Red Adzuki Bean & Mung Bean Mixtures
Drain the soaked beans and transfer the red beans and mung beans to two separate pots. Add 3 cups of fresh water to each.
Bring both pots to a boil. For the red adzuki bean mixture, reduce the heat and simmer for 1 hour. It depends a little bit on the soaking time and the age of the beans. For the green mung bean soup, simmer for 20-30 minutes, until the beans are tender and breaking open.
When the beans look soft and broken down, use an immersion blender to blend just ½ cup of each bean soup into a puree. Then add the puree back to the pots. Cool completely before using. I made mine one day ahead of time and let it chill overnight. If you do this, you may need to loosen the red bean mixture with some water the next day, as the adzuki beans can be quite starchy.
Prepare Ice for Shaving
Freeze ice in molds that came with your ice shaving machine.
Prepare Toppings
Cook the tapioca pearls in separate small pots per package instructions. For the dried white tapioca pearls, use these instructions. The white tapioca pearls can be slightly tricky to cook, but the black tapioca pearls (the ones in the packages that say, “Ready in 5 Minutes”) cook quickly, so feel free to only use those if you prefer.
Prepare the glutinous rice balls per our recipe. We had some set aside in the freezer, so all we had to do was boil them and cool them under running water.
Next, prepare the milk mixture by mixing the 3 milks together. You can opt to use all coconut milk, or all dairy milk if you prefer one over the other. As for the condensed milk, this is where most of the sweetness comes from, and the thicker the milk mixture, the better it’ll be over the ice.
Assemble the Shaved Ice
Shave the ice and heap it into a big tower in a shallow bowl. You may need to shave the ice into a smaller bowl than what you’ll serve it in. If you need to move ice around, just be sure to move quickly!
Using a spoon, drip the red bean and mung bean mixtures down the sides of the ice tower in alternating columns. Then, place the boba, tapioca, and glutinous rice balls around the base of the ice tower. Finally, pour the milk mixture over the top, letting it soak into the ice and flow down the sides.
One serving of this shaved ice takes about 1 cup of shaved ice, as much of the bean mixtures and toppings as you want, and ½-⅔ cup milk. Go by your own preferences and build them how you like!",en-US,{},5.0,,The Woks of Life,810,4 serving(s)
Pumpkin Mochi with Pumpkin Filling,Judy,https://thewoksoflife.com/pumpkin-mochi-pumpkin-filling/,Chinese,https://thewoksoflife.com/wp-content/uploads/2015/11/glutinous-rice-pumpkin-17-1.jpg,"['4 tablespoons butter ((57g))', '29 oz. can pumpkin puree ((820g, divided: 2 cups + 1 1/2 cups))', '1/3 cup granulated sugar ((70g))', '1/2 teaspoon cinnamon', '2 1/2 cups sweet rice flour ((375g))', '3 tablespoons cornstarch', '1/2 cup caster sugar ((115g))', '15 whole cloves']","Start by making the filling. Melt the butter in a medium skillet over medium heat. Add 2 cups pumpkin puree, 1/3 cup granulated sugar, and 1/2 teaspoon cinnamon. Stir often and cook until the mixture darkens and comes together into a thick paste. This process will take about 30 minutes. Cool completely.
Then you can make the dough. While the filling cools, sift together the sweet rice flour, cornstarch, and caster sugar in a mixing bowl. Add the remaining 1 1/2 cups pumpkin puree and mix to form a smooth dough. The dough should be pliable. If it cracks when handling, it is too dry. Add a couple drops of water. If the dough is too wet, add more sweet rice flour.
Divide the dough into 15 equal pieces and roll them into balls. Cover with a damp paper towel. Once the filling is cooled, also divide it into 15 equal pieces and roll individually into balls.
To assemble, rub a couple drops of water into your palms to make the dough easier to handle. Take a dough ball, flatten it into a 3” circle, and add a ball of filling in the middle. Close the dough over the filling and roll into a smooth ball. Press the ball down lightly so it's shaped almost like a flat pumpkin. Then use a toothpick to press a pattern of outer lines into your pumpkin shape. Top with a clove as your pumpkin's ""stem.""
Prepare your steamer with cold water and line the rack with cheese cloth. Place the mini pumpkins on the steamer rack 2 inches apart. Start with cold water and steam for 10-12 minutes using high heat. The cooked pumpkins should look somewhat translucent.",en-US,"{'calories': '192 kcal', 'carbohydrateContent': '38 g', 'proteinContent': '2 g', 'fatContent': '4 g', 'saturatedFatContent': '2 g', 'cholesterolContent': '8 mg', 'sodiumContent': '3 mg', 'fiberContent': '2 g', 'sugarContent': '13 g', 'servingSize': '1 serving'}",-1.0,,The Woks of Life,105,15 serving(s)
Snow Skin Mooncakes,Judy,https://thewoksoflife.com/snow-skin-mooncakes/,Chinese,https://thewoksoflife.com/wp-content/uploads/2020/09/snow-skin-mooncakes-20.jpg,"['400 g filling of your choice ((we used red bean paste))', '60 g powdered sugar', '215 g whole milk', '25 g vegetable oil', '50 g glutinous (sweet) rice flour ((plus 25g, divided))', '35 g rice flour', '35 g wheat starch']","Note: It’s best to prepare your choice of filling a day in advance and keep it refrigerated.
To make dough:
In a large mixing bowl, combine the powdered sugar, milk, and oil. Sift in 50g glutinous (sweet) rice flour, 35g rice flour, and 35g wheat starch. Stir and mix well until there are no lumps.
Pour the dough mixture into a heat-proof bowl that will fit in your steamer. Cover it with clear plastic wrap, and let it rest on the counter for 30 minutes.
Prepare a steamer by filling it with enough water to steam on high heat for 25 minutes. Place the rested dough (still in the heatproof bowl) into your steamer while the water in the steamer is still cold. Keep the plastic wrap on the dough as it steams to protect it from condensation. Do keep the plastic wrap away from the hot sides of the steamer.
Place the steamer over high heat, cover, and steam for 25 minutes. The dough is cooked once it has turned from fully opaque to fully translucent. A little oil floating to the top is normal. If the dough is not completely cooked through, just put the plastic wrap back on and steam for another 5 minutes over high heat.
Once the dough is done cooking, carefully stir it to gradually cool it down. Once cool enough to handle, put on your food prep gloves, and knead the dough for a few minutes to ensure the oil is well absorbed and the dough is smooth. Wrap the dough in plastic wrap, and chill in the refrigerator for 1-2 hours.
Cook the remaining 25g glutinous (sweet) rice flour in a clean, dry pan over medium low heat for 6-7 minutes, until it turns very lightly brown. Stir often to avoid burning, and set aside to cool completely. You’ll use this flour for dusting.
To assemble:
You should have about 400g of dough. The ideal dough to filling ratio is about 1:1. For a 50g mooncake mold, you’ll need 25g dough and 25g filling. Put on your food prep gloves, and weigh/divide the filling into portions that correspond to the size of your mooncake mold. Roll each portion of filling into a ball. Repeat the same step with the dough after chilling. A plastic dough cutter works well (it doesn’t stick to the dough), or you can just rip the dough apart with your gloved hands. The dough should be pliable and very easy to work with.
Lay a piece of clear plastic wrap on your work surface to prevent sticking. Take each dough ball, and press it into a round disc with your palm. For a 50g mooncake, the circle should be no bigger than 3 inches (7.5 cm) in diameter. For a 100g mooncake, the skin should be no bigger than 4 inches (10 cm) in diameter. If you’d like to use a rolling pin, the dough must be between two layers of plastic wrap to avoid sticking.
Place a ball of filling in the center of the dough circle, and carefully lift the whole thing up and turn it upside down. Gently press out the air bubbles around the filling ball.
Turn the opening face up, and slowly press the dough together to close the opening, keeping the dough as even as possible all around.
Dust the inside of the mooncake mold VERY well by brushing all the nooks and crannies with the cooked glutinous rice flour (AKA sweet rice flour). Mooncake molds have intricate designs where dough can get stuck, so it pays to make sure it’s well-floured. Shake off any excess flour, and carefully place the ball inside the mold. Do not force it in. If necessary, re-shape the mooncake ball so it can easily fit into the mold.
Flip the mooncake mold so the open side is facing down on the plastic wrap work surface. With slight pressure, gently press down the spring bar on the mold until you feel resistance. Lift the mold, gently press the spring bar (to push the mooncake out of the mold), and carefully guide (and catch) the mooncake out of the mold with your other hand. Continue this process until all the mooncakes are assembled.",en-US,"{'calories': '264 kcal', 'carbohydrateContent': '52 g', 'proteinContent': '4 g', 'fatContent': '4 g', 'saturatedFatContent': '3 g', 'cholesterolContent': '3 mg', 'sodiumContent': '12 mg', 'fiberContent': '2 g', 'sugarContent': '32 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,240,8 serving(s)
Peanut Butter and Jelly Cookies,Sarah,https://thewoksoflife.com/peanut-butter-and-jelly-cookies/,Chinese,https://thewoksoflife.com/wp-content/uploads/2016/09/peanut-butter-and-jelly-cookies-3-1.jpg,"['2 cups flour', '½ teaspoon baking soda', '¼ teaspoon salt', '1 ¼ cups packed dark brown sugar', '1 cup granulated sugar', '1 cup butter ((2 sticks/8 oz./225 grams, softened))', '3 large eggs', '1 cup creamy peanut butter', '2 teaspoons vanilla', '1 cup peanut butter chips', '2/3 cup strawberry jam']","Preheat your oven to 300 degrees F. In a medium bowl, whisk together the flour, baking soda, and salt.
In the bowl of an electric mixer on medium speed, blend the sugars and butter until you get a grainy consistency. Add the eggs, peanut butter, and vanilla, and beat until fluffy. On low speed, add the flour mixture and peanut butter chips, and mix until barely combined.
Fold the dough together a bit with a spatula, and drop heaping tablespoons onto a parchment-lined baking sheet, 2 inches apart. Add a small spoonful of jam on top of each cookie, and use a toothpick to swirl the jam into the dough.
Bake each batch for 18 to 20 minutes, or just until the edges of the cookies are lightly browned.",en-US,"{'calories': '212 kcal', 'carbohydrateContent': '27 g', 'proteinContent': '4 g', 'fatContent': '11 g', 'saturatedFatContent': '5 g', 'cholesterolContent': '28 mg', 'sodiumContent': '128 mg', 'fiberContent': '1 g', 'sugarContent': '19 g', 'servingSize': '1 serving'}",4.67,,The Woks of Life,75,36 serving(s)
Matcha Bacon Sugar Cookies,Sarah,https://thewoksoflife.com/matcha-bacon-sugar-cookies/,Chinese,https://thewoksoflife.com/wp-content/uploads/2014/12/matcha-bacon-sugar-cookies-9-1.jpg,"['2 1/4 cups all-purpose flour ((280g))', '1/2 teaspoon baking powder', '3/4 cup unsalted butter ((170g, softened but still relatively firm (not bordering on melted))', '3/4 cup granulated sugar ((150g))', '1 large egg ((at room temperature))', '2 teaspoons vanilla', '1 cup powdered sugar', '1 tablespoon milk', '2 teaspoons agave nectar ((or light corn syrup))', '½ teaspoon vanilla', '1 tablespoon matcha green tea powder', '5 slices cooked bacon ((chopped))']","Start by thoroughly whisking together the flour and baking powder in a medium bowl. In a large bowl or mixer, beat the butter until smooth, about 1 minute. Add the sugar and beat for another 3 minutes until fluffy. Beat in the egg, and vanilla until combined, scraping the bowl with a spatula as needed.
With the mixer on low, add half of the flour mixture and stir until just barely combined. Add the rest of the flour and continue mixing until just combined. (If the dough is still a little soft at this point, add another tablespoon of flour). Divide the dough in half and roll out each on parchment paper until 1/4” thick. Refrigerate the rolled dough for 1 hour to 1 day.
After the dough’s been chilled, preheat the oven to 350 degrees F. Line a couple baking sheets with parchment paper. Cut shapes out of the dough, and continue re-rolling/cutting until all the dough has been used up.
Bake 8-10 minutes, rotating the baking sheets halfway through. The cookies should have very light coloring. Don’t over-bake, or they’ll be way too crunchy! Cool completely.
After the cookies are cooled, make the icing by stirring together the powdered sugar and milk. Stir in the agave (or syrup), vanilla, and Matcha powder. Carefully spread frosting on the cookies, and sprinkle with bacon. Let the icing set.",en-US,{},-1.0,,The Woks of Life,160,None
Shepherd’s Purse Tofu Soup,Bill,https://thewoksoflife.com/shepherds-purse-tofu-soup/,Chinese,https://thewoksoflife.com/wp-content/uploads/2018/10/shepherds-purse-tofu-soup-3.jpg,"['8 ounces frozen Shepherd’s purse', '½ block silken tofu', '4 cups homemade chicken stock', '1 1/2 teaspoons salt ((or to taste))', '1 teaspoon sesame oil', '¼ teaspoon ground white pepper', '1/4 cup cornstarch', '3 egg whites']","Prepare the shepherd’s purse by thawing it out in a colander. When it’s completely thawed, use your hands to gently squeeze the water from it. Chop the leaves into small pieces. Set aside.
Prepare, the silken tofu by cutting it into ½-inch cubes. Set aside. It can be tricky to keep them in a cube shape since the silken tofu is delicate, so don’t worry if they aren’t perfect.
Heat the chicken stock in a medium pot or wok. Add the salt, sesame oil, and ground white pepper. Let everything come to a slow simmer.
Stir up your cornstarch and water mixture since the cornstarch settles at the bottom of the bowl when left standing. Turn the heat down, and use your metal hoak or soup ladle to stir the soup in a circular motion so the soup is moving and swirling. Slowly drizzle all of the cornstarch slurry into the soup while stirring. The trick to thickening the soup with cornstarch is to turn the heat down slightly and keep the soup moving so the cornstarch does not form clumps.
As you continue stirring, turn the heat back up to get the soup to a very low simmer. Check the soup for seasoning and add more salt if needed. Don’t worry if the soup tastes a little saltier than you’d like at this stage, because the Shepherd’s purse and the silken tofu are both unseasoned.
Simmer the soup for a minute, and add the chopped shepherd’s purse. Stir it gently until the leaves are well distributed.
Next, gently add the silken tofu cubes into the soup, and stir, taking care not to break up the tofu. You want to ensure that the tofu and shepherd’s purse are uniformly distributed in the soup and that both are heated evenly. The soup should start to simmer in about 2 to 4 minutes. At this point, you can add a bit more cornstarch slurry if you like a thicker soup, but keep in mind that the soup will thicken more as it cools.
Beat the egg whites briskly for about 10 seconds until the white is broken up and just starts to bubble.
Next, take your ladle or hoak and move it in a wide, steady swirling motion around the perimeter of the pot or wok until the soup is moving. Slowly drizzle the egg white into the soup.
At this point, adjust the heat so the soup is simmering. Taste the soup again, and season to taste with salt, white pepper, and sesame oil if needed. (Sesame oil and especially white pepper enhances the taste of the Shepherd’s purse, so you can add more or simply put these condiments on the table so they can be added as needed.)
Ladle the soup into bowls to serve or pour the soup into a larger family style soup bowl to serve at the table.",en-US,"{'calories': '121 kcal', 'carbohydrateContent': '13 g', 'proteinContent': '9 g', 'fatContent': '4 g', 'saturatedFatContent': '1 g', 'cholesterolContent': '5 mg', 'sodiumContent': '680 mg', 'fiberContent': '1 g', 'sugarContent': '3 g', 'servingSize': '1 serving'}",4.86,,The Woks of Life,25,6 serving(s)
