title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
Stir-fried Shrimp and Eggs,Bill,https://thewoksoflife.com/stir-fried-shrimp-eggs/,Chinese,https://thewoksoflife.com/wp-content/uploads/2014/06/stir-fried-shrimp-egg-1.jpg,"['12 oz. shrimp ((340g, peeled and deveined))', '8 large eggs ((at room temperature; very important))', '1/2 teaspoon salt ((or to taste))', '1/8 teaspoon ground white pepper ((or to taste))', '1 teaspoon sesame oil', '2 scallions ((chopped))', '1/4 cup of Chinese toon sprouts ((xiang chun miao - totally optional))', '1/4 cup canola oil']","Clean your shrimp and take your eggs out of the refrigerator early since it is best to cook them at room temperature. Beat your eggs in a large bowl and add salt, white pepper, and sesame oil. Chop the scallions and wash your toon sprouts, if using. Set aside a bit of chopped scallion and toon sprouts for the garnish and add the rest to the egg mixture.
Boil about 3 cups of water and toss in your shrimp until they just turn pink. This will be very fast. Drain and give them a quick rinse. Add the warm shrimp to your egg mixture.
Next, heat the wok on high until nearly smoking and add 1/4 cup canola oil. Swirl the oil around the wok thoroughly and pour in your egg mixture. Use a wooden spoon or spatula and fold the eggs gently but quickly, kind of like you're making scrambled eggs. You don't want any browned eggs in this dish, just fluffy clouds of egg with your shrimp dispersed throughout.
Once the eggs look done (be careful not to overcook them), transfer to a plate, garnish with scallion/sprouts, and serve with steamed rice.",en-US,"{'calories': '346 kcal', 'carbohydrateContent': '1 g', 'proteinContent': '29 g', 'fatContent': '25 g', 'saturatedFatContent': '4 g', 'cholesterolContent': '542 mg', 'sodiumContent': '1077 mg', 'fiberContent': '1 g', 'sugarContent': '1 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,15,4 serving(s)
Ji Dan Bing: The Chinese Breakfast of Champions,Bill,https://thewoksoflife.com/chinese-breakfast-jidan-bing/,Chinese,https://thewoksoflife.com/wp-content/uploads/2016/10/chinese-breakfast-jidan-bing-18-1.jpg,"['1¼ cups all-purpose flour ((170 grams))', '1/8 teaspoon salt', '½ cup warm water', 'vegetable oil', '4 eggs', 'Sweet bean sauce', 'Hot chili bean sauce', 'Hot chili oil', 'Toasted sesame seeds', '2 scallions ((finely chopped))', '1 handful cilantro ((finely chopped, optional))', '4 leaves romaine lettuce ((washed and dried))']","Mix together the flour, salt, and ½ cup of warm water with a rubber spatula until a sticky dough forms--about 2-3 minutes. The dough should be sticky, but should also come together in a ball. Coat the dough with 1 teaspoon of vegetable oil and cover with plastic wrap so it is completely sealed. Allow to rest for 1 hour.
After the dough has rested, ready the other ingredients--this will be the filling of the Ji Dan Bing. Next, divide the dough into four equal portions, drizzling additional vegetable oil on the dough and your hands to prevent it from sticking. The dough will be less sticky after resting, but it should still be quite moist.
Next, lightly coat your rolling surface and rolling pin with oil, but if you feel things sticking. Most street vendors use a stainless steel surface like you see in the video, but a marble or granite countertop or wooden cutting board will also work nicely.
Use a standard non-tapered rolling pin for this recipe, and roll the dough out into a thin layer until it is almost translucent.
Heat a large skillet or frying pan over medium-high heat. Add 1 teaspoon of oil, which should thin out and spread out easily on the skillet when it is added. The skillet should not be smoking, however!
Lift the rolled out dough in one steady motion and place it in the pan, doing your best to lay it down in one even layer. The dough should sizzle in the skillet to indicate that your pan is hot enough.
Immediately crack one egg in the center of the dough. Lightly beat the egg with a few strokes using a fork or your spatula, spreading it across the dough. There is no need to meticulously try to cover the entire area of the dough, and don’t worry if the egg overflows either. The dough and egg will become one!
Drizzle another teaspoon of oil on top of your Ji Dan Bing. Flip it, and let the egg side cook for about 10 seconds, then flip it again. Let the Ji Dan Bing cook for another minute, or until parts of it are golden brown, and transfer to a cutting board or plate, egg side up.
Spread any combination of sweet bean, hot bean sauce, and hot chili oil on the Ji Dan Bing. Sprinkle toasted sesame seeds on top, along with scallions and cilantro--if using. Place a large leaf of romaine lettuce on top, roll up the pancake, and enjoy while it’s piping hot!",en-US,{},4.88,,The Woks of Life,85,4 serving(s)
Steamed Egg,Judy,https://thewoksoflife.com/steamed-egg/,Chinese,https://thewoksoflife.com/wp-content/uploads/2015/01/steamed-egg-6-1.jpg,"['3 eggs', 'Water ((same volume as eggs))', 'Vegetable or chicken stock ((same volume as eggs))', 'Salt ((to taste))', '1 teaspoon sesame oil', 'Chopped scallion']","Crack 3 eggs in a liquid measuring cup and note the volume. Pour the eggs into a large bowl, add salt, and beat for at least 1 minute. Now measure out water at the same volume as the eggs, and add it to the bowl. Do the same with the broth. Whisk in the sesame oil, and make sure everything's well combined.
Place 4 empty ramekins in a steamer over high heat. Be sure the water will not bubble and touch the ramekins during steaming. Once the water boils, turn the heat down to a slow simmer. Then, divide the egg mixture into the ramekins, pouring it through a fine mesh strainer.
Cover the steamer, turn up the heat to high, and steam for 3 minutes. After 3 minutes have elapsed, shut off the heat but keep the steamer covered. Let stand for 14 minutes with the lid firmly covered. Remove from the steamer, sprinkle with scallions, and serve.",en-US,"{'calories': '66 kcal', 'carbohydrateContent': '1 g', 'proteinContent': '5 g', 'fatContent': '4 g', 'saturatedFatContent': '1 g', 'cholesterolContent': '123 mg', 'sodiumContent': '239 mg', 'fiberContent': '1 g', 'sugarContent': '1 g', 'servingSize': '1 serving'}",4.8,,The Woks of Life,20,4 serving(s)
Lotus Mooncakes with Salted Egg Yolks,Judy,https://thewoksoflife.com/lotus-mooncakes-egg-yolks/,Chinese,https://thewoksoflife.com/wp-content/uploads/2016/09/lotus-mooncakes-32.jpg,"['8 ounces granulated sugar ((1 cup plus 2 tablespoons, 225g))', '½ cup water ((120 ml))', 'Juice of ½ a lemon', '12 ounces dried lotus seeds ((340g, pre-halved is ideal if you can find it; we used whole))', '4 cups water ((950 ml))', ""1⅔ cups powdered sugar ((210g, aka icing sugar or confectioner's sugar))"", '1¼ cups peanut oil or corn oil ((300 ml))', '12 salted duck egg yolks', '140 ml sugar syrup (that you made or bought)', '⅓ cup peanut oil or corn oil ((80 ml))', '1 teaspoon lye water ((available at your Chinese grocery store))', '1 ⅔ cups flour ((about 250g, plus more for dusting))', '1 egg yolk', '3 tablespoons water']","Making the Syrup: Heat the sugar and water in a saucepan over medium heat. Stir to dissolve the sugar. Once it’s boiled, add the lemon juice, stir, and immediately turn the heat down to low. Keep the lid off, and let the syrup simmer for about 60 to 70 minutes until the sugary liquid turns a light amber color. Do not stir during this time frame! By now, the liquid might look too watery, but it will thicken once it’s cooled. Try not to overcook it, because it will become thick like caramel (it should be the consistency of honey). Just in case you do overcook the syrup, and it’s too thick, add a few drops of hot water to thin it out. Keep adding the hot water until you get the right consistency. Now pour the sugary liquid into a heatproof container, and let it cool completely before storing it in the refrigerator.
Making the Lotus Paste: Using a butter knife, gently split the lotus seeds in half through the top opening. Remove and discard the green center. Wash and soak them overnight. The next day, wash and drain the lotus seeds. In a pot, add the lotus seeds and 4 cups of water (the water level should be above the lotus seeds). Bring the mixture to a boil over high heat. Once the water reaches a boil, turn the heat to low, and let the seeds simmer for 30 minutes. It’s done once the lotus seeds are softened but have maintained their shape. Turn off the heat, let cool, and then drain the liquid. In a food processor, puree the cooked lotus seeds (it’s best to do this in two batches). Transfer the lotus puree to a non-stick pan (or a cast-iron pan, or a pan with a thick bottom to avoid sticking and burning). Turn the heat to medium low, and stir/flip/turn the puree using a rubber spatula non-stop for about 30 minutes (nice to have the TV or an audiobook on as you're doing this). In between, add in the powdered sugar and oil in 3 alternating batches. With each batch, make sure the sugar and oil is well incorporated before adding more. The lotus filling is done once the lotus paste is slightly firmer/can hold its shape. Let it cool completely before storing in the refrigerator in an airtight container. You can make this one day ahead of time, and I found that it’s easier to work with when the filling has been chilled.
Making the salted duck egg yolks: There are a couple of ways to go about preparing the salted duck egg yolk: The ones I bought are already cooked, so they were ready to use, and you can buy the same. But I did find them to be slightly drier than I would normally like. You can also buy whole cooked salted duck eggs, and extract the whole yolk. You can buy raw salted duck eggs, crack the eggs open, and take out the yolks. Preheat the oven to 350 degrees. Dip each yolk in baijiu (白酒, a clear Chinese liquor made from grain), just briefly to coat it, then put the egg yolks on a baking sheet lined with parchment paper. Bake for 8 minutes, let them cool completely, and they are ready to use. You can also prepare this ahead of time...just make sure to store them in an airtight container and in the fridge.
Making the dough: First mix the sugar syrup, oil, and lye water together. Then add the mixture to the flour, and use a rubber spatula to fold and combine everything into a soft dough. Do not overwork the dough--this step should only take about a minute or two. Cover the dough in an airtight container or wrap in plastic wrap. Let it rest in the refrigerator for an hour. Chilled dough is much easier to work with. (Side note: you may also leave the dough in the refrigerator overnight if you'd like to make it ahead of time.)
Assembling the mooncakes: While the dough is resting, let’s start assembling the filling. My mooncake mold was marked 100 grams, which means each mooncake should weigh about 100 grams after assembly. This recipe makes 18 mooncakes total: 12 mooncakes with salted duck egg yolks and 6 mooncakes without. Separately weigh out twelve 58-gram scoops of lotus filling and six 70-gram scoops of lotus filling. Shape each portion of filling into balls. Next, take one of the 58 gram lotus balls, make a deep well in the middle, and insert one salted duck egg yolk into the middle. Then close the top and re-shape it into a ball. Repeat for the remaining 11 pieces. It’s good to separate the “with” and the “without.” It’s also a good idea to put them back into the refrigerator, covered, until you are ready to assemble the rest of the mooncakes. Once the dough has finished resting, it’s time to prepare the mooncake mold. My mooncake mold came with four pattern plates––one plate should be attached to the mold itself. Wrap another one with clear plastic, because we will use it to press the mooncake from the bottom;, Now dust the inside of the mold with plenty of flour and shake off the excess. You’ll need to repeat this process before pressing every mooncake to avoid sticking. Divide and weigh the dough into eighteen 25-gram pieces, plus 1 smaller dough ball for scraps/mending, which I will get to. Shape each piece into a ball. Lightly dust the dough balls with flour. Take one dough ball and roll it out on a lightly floured surface into a 4-inch round. Put one piece of filling in the center. Carefully lift it up and turn it upside down, and gently press out the air bubbles around the lotus ball, without breaking the dough. Now turn the opening facing up, and slowly press the dough together to close the opening, keeping the distribution of the dough as even as possible. The dough feels like Play-doh, so it’s easy to break, but it’s also easy to squish back together. These instructions might sound confusing, but follow along with the pictures and keep in mind that the chief goal here is to close the dough around the filling without capturing air inside. Now lightly dust the assembled ball with additional flour. Place it inside the mooncake mold with the mold opening facing up. Now press in the bottom piece (with the clear plastic-wrapped plate that you prepared). With some pressure, gently press it inward. Quickly sit the mold down, and press the mooncake out with the top pressure bar. The bottom piece will come out no problem, but use your other hand to VERY GENTLY guide the mooncake out of the mold. When and if a small piece of dough gets stuck and does not come out, get a small piece of the “scrap”/“mending” dough to patch up the area. Then clean the mold and dust it well with flour again. Then gently flatten all sides of the mooncake to make it smaller, so it can go back in the mooncake mold for re-shaping. Use slightly more flour for dusting if this becomes a persistent issue. Place the mooncakes on a baking sheet as you make them.
Baking the mooncakes: Preheat the oven to 325 degrees when you are almost finished assembling the mooncakes. Once the oven is preheated, gently mist the mooncakes with a food-grade spray bottle (if you have one) filled with water. But since I didn’t have one, I just used my fingers, and it worked fine! Dip your fingers into a bowl of water, and fling the water on your fingers onto the mooncakes a couple of times. This prevents the dough from cracking. Then, immediately put the mooncakes in the oven and bake for 5 minutes. (Remember to set the timer!) Now prepare the egg wash by whisking the egg yolk and water together. After the mooncakes have been baking for 5 minutes, take them out of the oven and immediately lower the oven temperature to 300 degrees. Now lightly brush each mooncake with egg wash, and put them back in the oven. Bake them for another 15 minutes and remember to set the timer. When the time has elapsed, take them out and let them cool completely.
When the mooncakes first come out of the oven, the dough looks dry like bread, and not oily like what you are used to when opening packaged mooncakes. This is normal. Store the cooled mooncakes in an airtight container for a day or two, and the outside will get that nice shiny sheen that you recognize and love.
After this last step, any uneaten mooncakes can be kept in the refrigerator for a week or two.",en-US,"{'calories': '308 kcal', 'carbohydrateContent': '51 g', 'proteinContent': '6 g', 'fatContent': '9 g', 'saturatedFatContent': '2 g', 'cholesterolContent': '141 mg', 'sodiumContent': '16 mg', 'fiberContent': '1 g', 'sugarContent': '29 g', 'servingSize': '1 serving'}",4.85,,The Woks of Life,840,18 serving(s)
Ginger Garlic Shrimp Fried Rice,Kaitlin,https://thewoksoflife.com/ginger-garlic-shrimp-fried-rice/,Chinese,https://thewoksoflife.com/wp-content/uploads/2016/08/ginger-garlic-fried-rice-6-1.jpg,"['¼ cup vegetable oil ((60 ml, plus 1 tablespoon))', '10 ounces shrimp ((280g, peeled and deveined, optional))', '2 ounces ginger ((55g, minced))', '1½ heads of garlic ((minced, about ¼ cup))', '5 cups cooked white rice ((cooled))', '1 teaspoon soy sauce', '1 tablespoon Shaoxing wine', '⅛ teaspoon ground white pepper', '4 eggs ((beaten))', '3 scallions ((finely chopped))']","Heat your wok over high heat. Add 1 tablespoon of oil to coat. Quickly stir-fry the shrimp until they're just cooked. They should be pink, but ever-so slightly translucent. Avoid overcooking them (you will be adding them back to the wok later). Transfer them to a bowl and set aside.
Add ¼ cup oil to the wok and heat over medium-high heat. Add the ginger and fry until fragrant (the color will darken, but the ginger will not necessarily become crisp). Next, add the garlic. It should be lightly toasted; if it’s still white in color, it needs more cooking time. In total, it will take about 10 minutes time to cook the ginger and garlic.
Next, turn the heat up to high and add the rice to the wok. Stir-fry the rice so the ginger/garlic mixture is evenly distributed. Spread the rice out in one layer so it can evenly toast. Occasionally stir-fry the rice and re-spread it. Next, season the rice with the soy sauce, Shaoxing wine, and white pepper. Continue to stir-fry for another 3-5 minutes.
Next, pour the eggs evenly over the rice, and stir-fry quickly to distribute. The egg will coat the grains of rice, and you’ll have egg throughout instead of large clumps. If you’d prefer to pre-scramble the eggs and then stir them in at this step, you can do that too.
Add the shrimp and the scallions, stir-fry to combine, and serve!",en-US,"{'calories': '544 kcal', 'carbohydrateContent': '63 g', 'proteinContent': '27 g', 'fatContent': '20 g', 'saturatedFatContent': '13 g', 'cholesterolContent': '342 mg', 'sodiumContent': '704 mg', 'fiberContent': '2 g', 'sugarContent': '1 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,55,4 serving(s)
Eggs with Soy Sauce & Scallions,Sarah,https://thewoksoflife.com/eggs-easy-soy-sauce/,Chinese,https://thewoksoflife.com/wp-content/uploads/2020/12/eggs-soy-sauce-scallions-7.jpg,"['2 scallions', '1 tablespoon oil', '2 eggs', '1 cup cooked white rice', '1 tablespoon soy sauce ((or to taste))', '2 tablespoons water', '1/4 teaspoon sugar', '1 teaspoon shaoxing wine ((optional))']","Prepare the scallions by cutting them into 2-inch lengths. Take the white part and halve or quarter them lengthwise.
Heat the oil in a nonstick or cast iron pan over medium high heat. Fry the eggs sunny-side up, over easy, or however you like them. Lay the eggs over a bed of hot cooked rice.
Add the scallions to the pan, and cook until just beginning to wilt. Add the soy sauce, water, sugar, and optional Shaoxing wine, if using. Simmer for 30 seconds, and pour over the eggs and rice. Serve!",en-US,"{'calories': '482 kcal', 'carbohydrateContent': '50 g', 'proteinContent': '17 g', 'fatContent': '23 g', 'saturatedFatContent': '4 g', 'cholesterolContent': '327 mg', 'sodiumContent': '665 mg', 'fiberContent': '1 g', 'sugarContent': '2 g', 'servingSize': '1 serving'}",4.95,,The Woks of Life,5,1 serving(s)
Chinese Chive Frittata with Tomatoes,Bill,https://thewoksoflife.com/chinese-chive-frittata/,Chinese,https://thewoksoflife.com/wp-content/uploads/2014/01/DSC_0235-1.jpg,"['5 eggs', '1/4 cup water', '1 scallion ((chopped))', '1/2 teaspoon salt', '1/8 teaspoon white pepper', '1/2 teaspoon sesame oil', '1 teaspoon Shaoxing wine', '1 1/2 cups Chinese chives ((chopped))', '2 teaspoons duo jiao chili peppers ((optional))', '1 tablespoon oil', '1 small tomato ((sliced))']","Preheat the oven to broil.
Whisk together the eggs, water, scallion, salt, white pepper, sesame oil, and Shaoxing wine.
Mix in the chives and duo jiao chili peppers (if using).
Heat the oil in a cast iron or other oven-proof non-stick skillet over medium high heat. Pour in the egg mixture and place your tomato slices on top.
Let your tomato chive frittata cook for about 5 minutes until the bottom is set and the top begins to set. Transfer the pan to the oven and broil for about 3 minutes, until fully set. Slice and serve!",en-US,"{'calories': '129 kcal', 'carbohydrateContent': '3 g', 'proteinContent': '8 g', 'fatContent': '9 g', 'saturatedFatContent': '2 g', 'cholesterolContent': '205 mg', 'sodiumContent': '406 mg', 'fiberContent': '1 g', 'sugarContent': '2 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,15,4 serving(s)
Chinese Chives & Eggs Stir Fry,Judy,https://thewoksoflife.com/chinese-chives-eggs/,Chinese,https://thewoksoflife.com/wp-content/uploads/2017/07/chinese-chives-eggs-9-1.jpg,"['5 large eggs', '1/8 teaspoon sugar', '1/2 teaspoon salt', '1 teaspoon Shaoxing wine', '1/4 teaspoon ground white pepper', '1/4 teaspoon sesame oil', '4 teaspoons water', '2 cups Chinese chives/garlic chives ((chopped))', '4 tablespoons vegetable oil']","Crack the eggs into a large bowl, and add the sugar, salt, Shaoxing wine, white pepper, sesame oil and water. Beat the eggs for a good 30 seconds until you see a layer of small bubbles floating on the surface of the beaten eggs. Mix in the chives until combined. Now you are ready to cook.
Heat a wok until it just starts to smoke, and then turn the heat down to medium low. Wait 10 seconds, and then add the oil. Coat the wok with oil using your spatula to swirl it around. The oil should be hot but not smoking when you add the egg mixture.
Once you pour the eggs into the wok, flip and stir them slowly with a spatula, being careful not to let the eggs brown or firm up too much. Once the eggs are just cooked, they’re ready. Serve!",en-US,"{'calories': '420 kcal', 'carbohydrateContent': '3 g', 'proteinContent': '15 g', 'fatContent': '39 g', 'saturatedFatContent': '26 g', 'cholesterolContent': '409 mg', 'sodiumContent': '739 mg', 'fiberContent': '1 g', 'sugarContent': '1 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,15,2 serving(s)
"Egg Dumplings, A Chinese New Year Must Have (蛋饺)",Judy,https://thewoksoflife.com/egg-dumplings/,Chinese,https://thewoksoflife.com/wp-content/uploads/2018/02/egg-dumplings-4-1.jpg,"['5 large eggs', '8 ounces ground pork ((or chicken))', '2 tablespoons Shaoxing wine', '2 tablespoons light soy sauce', '½ teaspoon sesame oil', '¼ teaspoon ground white pepper', '2 tablespoons water', '2 tablespoons scallion ((minced))', '1 teaspoon ginger ((minced, plus one additional thin slice of ginger))', 'A large (round stainless steel soup ladle)', 'Some vegetable oil and a pastry brush']","In a large bowl, beat 5 eggs for a good 2 minutes. Set aside next to the stove.
In a separate bowl, mix the ground meat with the Shaoxing wine, light soy sauce, sesame oil, ground white pepper, water, minced scallion, and minced ginger. Whip everything in one direction for at least 3 minutes, until the filling is well combined and starts to take on a sticky texture. Set aside along with the egg.
Pour a small amount of oil in a bowl, and grab a pastry brush. Set it alongside the egg and meat filling so everything is easily within reach.
Now, turn your stove on to medium heat. Hold the ladle over the open flame (if you have an electric stove, it will be tricky to maintain even heat), and with the help of a pair of chopsticks, rub the ginger inside the ladle all over using quick motions for a good two minutes or so. This step treats the ladle, so the egg will not stick to it. I’m not sure why it works, but it does! If the egg still sticks to the ladle, repeat this process one more time.
Once the ladle has been treated, brush the inside with some oil, pouring any excess oil back into the bowl. Add 1 tablespoon of the egg mixture, and immediately turn the ladle in a circular motion to spread the egg mixture into a circle about 3 inches in diameter. Add 1 teaspoon of the meat filling on one side of the circle, and use the chopsticks to ease the other half of the circle off of the ladle, folding it over to create a half moon shape. Gently tap the edges closed so the inner raw egg seals the dumpling shut. That’s one! Repeat until you’ve used up all your egg and meat filling. This recipe makes 3 dozen egg dumplings.",en-US,"{'calories': '83 kcal', 'carbohydrateContent': '1 g', 'proteinContent': '6 g', 'fatContent': '6 g', 'saturatedFatContent': '2 g', 'cholesterolContent': '82 mg', 'sodiumContent': '205 mg', 'fiberContent': '1 g', 'sugarContent': '1 g', 'servingSize': '1 serving'}",4.8,,The Woks of Life,60,12 serving(s)
THE JIAN BING APPROXIMATION,Kaitlin,https://thewoksoflife.com/jian-bing-approximation/,Chinese,https://thewoksoflife.com/wp-content/uploads/2014/02/Pancake-egg-032-1.jpg,"['1 egg', '3 tablespoons scallions ((chopped))', '3 tablespoons cilantro ((chopped))', '2 tablespoons oil', '1 frozen scallion pancake ((any brand is fine))', '1 teaspoon spicy bean sauce ((dou ban jiang))']","First, crack your egg into a bowl and beat with a fork. Set aside. Then chop your scallion and cilantro.
This is a simple dish, but things move quickly once the heat is on, so be prepared. Pour the oil into a nonstick pan over medium heat. Place the frozen pancake into the pan and let cook for about 15 seconds then flip over. This makes it so that both sides of the pancake pick up an equal amount of the oil right away, and you don’t have to unnecessarily add more.
Having an ancient yellow Labrador hogging the space around the oven is totally optional.
Cook the pancake until it starts to get nice and golden. Cook it a little longer on one side so it’s fully golden brown.
Lift the pancake with a spatula or chopsticks and pour the egg into the pan. Swirl the egg around the pan evenly and then place the pancake back in the pan with the more cooked side hitting the egg. Let it cook for another 30 seconds or so.
Flip the pancake so the egg side is facing up. Take your spicy bean sauce and spread it over the egg evenly with a spoon. Then sprinkle the cilantro and scallion evenly over the top. By this time, the bottom of your pancake should be nice and browned.
Finally, turn off the heat and transfer the pancake to a cutting board. (Don’t be like me and roll it in the pan while the oil is still piping hot and achieve the roll only after a painful ooh!-ahck!-hottt! experience...) Using chopsticks, carefully roll the hot pancake like a cinnamon bun or a jelly roll. Cut using a sharp knife into segments.",en-US,"{'calories': '533 kcal', 'carbohydrateContent': '28 g', 'proteinContent': '10 g', 'fatContent': '43 g', 'saturatedFatContent': '3 g', 'cholesterolContent': '164 mg', 'sodiumContent': '558 mg', 'fiberContent': '2 g', 'sugarContent': '4 g', 'servingSize': '1 serving'}",4.34,,The Woks of Life,10,1 serving(s)
