title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
Spicy Lamb Buns w/ Honey Soy Drizzle,Sarah,https://thewoksoflife.com/spicy-lamb-buns-w-honey-soy-drizzle/,Chinese,https://thewoksoflife.com/wp-content/uploads/2014/08/spicy-lamb-buns-08.jpg,"['12 oz. lamb loin ((any tender cut will work. leave fat on the lamb))', '1 1/2 teaspoons cumin powder ((or cumin seeds, crushed in a mortar and pestle or spice grinder))', '1/2 teaspoon cayenne pepper', '½ teaspoon garlic powder', '1/4 teaspoon salt', '1/4 teaspoon black pepper', '1 teaspoon Sichuan pepper powder ((optional))', '2 tablespoons oil', '1 ½ teaspoons sugar', '2 tablespoons hot water', '½ teaspoon active dry yeast', '2 cups all purpose flour', '¾ teaspoon baking powder', '½ teaspoon baking soda', '1/4 teaspoon salt', '1/3 cup milk', '½ cup yogurt', '2 tablespoons butter ((melted))', 'Sesame seeds', '1/2 tablespoon oil', '1 tablespoon honey', '1 teaspoon rice wine vinegar', '1 tablespoon soy sauce', '1 large carrot ((julienned))', '3 scallions ((julienned))', 'A handful of fresh mint leaves', 'A handful of fresh cilantro']","Start by marinating the lamb. Combine the cumin, cayenne, garlic powder, salt, black pepper, and Sichuan pepper powder, if using, and rub it all over the lamb. Set aside to marinate in the fridge while you assemble the buns.
To make the buns, start by dissolving the sugar in the hot water in a medium bowl. Once the water has cooled slightly (it should be warm, but not hot), stir in the yeast until dissolved and let stand for ten minutes. In a large mixing bowl, combine the flour, baking powder, baking soda, and salt.
Once the yeast mixture is foamy, whisk in the milk and yogurt. Pour the wet ingredients into the dry ingredients and mix it all together to form a dough. Knead until the dough comes together into a soft, slightly sticky ball (add a little more flour if necessary, but the dough should still be relatively sticky). Cover with a damp towel and let rise in a warm place for 1 hour.
Roll the dough out until it’s about an eighth of an inch thick (it will puff up quite a bit while cooking). Cut circles in the dough (about 4 inches in diameter. We just used a small rice bowl to cut out the circles). Continue to re-roll and cut more circles until all the dough is used up. Brush one side with butter and sprinkle with sesame seeds. Leave the dough circles on a floured board and cover with a damp towel.
Now heat a cast iron pan or skillet until almost smoking. Add 2 tablespoons oil and sear the lamb on all sides, until you get a nice, dark crust on the outside of the meat. Lower the heat to medium and continue cooking for another 7-12 minutes until it reaches your desired doneness. Set the meat aside on a plate to rest.
While that’s happening, make the drizzle by heating a tablespoon of oil in a small saucepan over medium heat. Add the honey, vinegar, and soy sauce and allow it to bubble until it becomes syrupy. Set aside.
Now, cook your buns (this doesn’t take long at all!). Heat a pan over medium heat and brush the pan lightly with melted butter. Add the dough circles to the pan, sesame side facing up. Cook for 1-2 minutes and flip. Cook for another 1-2 minutes on the other side and take out of the pan.
To assemble, grab one of your buns, add some sliced lamb, carrot, scallions, mint, cilantro, and a drizzle of sauce.",en-US,"{'calories': '375 kcal', 'carbohydrateContent': '41 g', 'proteinContent': '19 g', 'fatContent': '15 g', 'saturatedFatContent': '5 g', 'cholesterolContent': '51 mg', 'sodiumContent': '441 mg', 'fiberContent': '2 g', 'sugarContent': '6 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,150,6 serving(s)
Xinjiang Lamb Rice,Judy,https://thewoksoflife.com/lamb-rice/,Chinese,https://thewoksoflife.com/wp-content/uploads/2016/09/lamb-rice-12.jpg,"['2 cups uncooked white rice', '2 pounds fatty lamb ((900g, cut into 1/2 inch chunks, separate out the fatty pieces from the lean meat))', '4 cups water', '3 slices ginger', '3 tablespoons oil', '1 medium onion ((diced))', '2 teaspoons salt', '2 teaspoons soy sauce', '1 teaspoon cumin powder', '1 pound carrots ((cut into thin strips))', '¼ cup raisins ((optional))']","Soak the rice for 30 minutes. Drain and set aside.
While the rice is soaking, blanch the lamb by boiling 4 cups of water in a pot along with the lamb and ginger. Let it boil for a couple of minutes, and then turn off the heat. Use a slotted spoon to pick out the lamb pieces and set them aside, making sure to drain off any excess water. Then use a fine mesh strainer to strain the cooking liquid. Reserve that liquid to cook the rice.
Now heat the oil in a wok over high heat. Add ONLY the fatty lamb pieces, and stir-fry to get a nice crust on them. Turn the heat down to medium low, and render the fat until the pieces start to turn golden brown, about 6 to 8 minutes.
Turn the heat to medium, and add the onion. Cook until the onion is translucent. Now turn the heat back up to high and add the blanched lamb in a single layer so as to brown the meat on all sides. This will take a few minutes. Add 2 1/2 cups of the cooking liquid you reserved earlier, along with the salt, soy sauce, and cumin, and mix everything well. Cover and simmer for 20 minutes.
Now add in the carrots and raisins (if using), and cover for another minute to bring the mixture back up to a boil. Turn off the heat. (Don’t worry, the carrots will finish cooking in the rice cooker. Also, at this point, the taste will be on the salty side, but remember that it will mellow up once mixed in with the rice.)
Pour everything into the rice cooker (or a pot), and add the rice. The rice should be spread out evenly. There should be enough liquid to see peeking through the rice grains (you may need to add more water if needed), but the liquid level should not be above the rice. Cover and start the rice cooker. If you are using a pot, turn the heat up to medium high to bring the mixture to a simmer, cover, turn the heat down to low, and cook for 15-20 minutes.
Once the rice is done cooking, open the lid, mix everything together, add salt to taste (if necessary) and enjoy.",en-US,"{'calories': '472 kcal', 'carbohydrateContent': '63 g', 'proteinContent': '25 g', 'fatContent': '13 g', 'saturatedFatContent': '2 g', 'cholesterolContent': '61 mg', 'sodiumContent': '1019 mg', 'fiberContent': '4 g', 'sugarContent': '4 g', 'servingSize': '1 serving'}",4.25,,The Woks of Life,90,6 serving(s)
"Roasted Rack of Lamb w/ Turkish Spices, Yogurt Sauce, and Rice",Sarah,https://thewoksoflife.com/roasted-rack-lamb-w-turkish-spices-yogurt-sauce-rice/,Chinese,https://thewoksoflife.com/wp-content/uploads/2014/06/lamb-rice-1.jpg,"['1 large red onion ((cut into wedges))', '5 apricots ((quartered))', 'salt and pepper', 'olive oil', '2 racks lamb', '1 tablespoon paprika', '1 teaspoon red pepper flakes', '1 teaspoon garlic powder', '1 teaspoon cumin', '1 teaspoon sumac ((if you can find it))', '¼ teaspoon nutmeg', '¼ teaspoon cinnamon', '1 teaspoon dried mint', '1 teaspoon dried oregano', '2 tablespoons olive oil', '2 teaspoons cumin seeds', '1 teaspoon curry powder', '1 can chickpeas', '1 medium onion ((thinly sliced))', '1 tablespoon flour', '½ cup vegetable oil', '2 cups cooked basmati rice', '2 tablespoons chopped parsley', '1 tablespoon chopped cilantro', '½ cup raisins', '½ cup roasted chopped pistachios ((optional))', 'salt and pepper', '1 cup plain greek yogurt', '1 small cucumber ((diced))', '2 cloves minced garlic', '1 tablespoon lemon juice', '1 tablespoon lemon zest', 'salt and pepper']","To make the lamb:
Preheat oven to 450 degrees. In a roasting pan, add the red onion and apricots. Season with salt and pepper, and drizzle with olive oil. Roast in the oven for about 10 minutes just to get them going and set aside.
Clean the lamb and pat dry. Season thoroughly with salt and pepper. Heat a large heavy skillet over medium high heat until hot. Add a drizzle of olive oil to the pan and sear the rack of lamb on both sides. Combine all the spices and herbs in a small bowl and rub the mixture onto the seared lamb.
Transfer to a roasting pan and roast in the oven uncovered for about 12 minutes for medium rare. Remove from the oven, cover with foil, and allow the meat to rest for another 10 minutes before serving.
To make the rice:
In a small saucepan over medium high heat, heat 2 tablespoons olive oil. Add the cumin and curry powder and fry for about 5 seconds. Then add the chickpeas along with a bit of salt. Stir everything around to warm and crisp up the chickpeas, about 2 minutes. Set aside.
Toss the sliced onion with the flour until it’s all lightly coated. Heat the vegetable oil in a small saucepan. Test the oil temperature by tossing in a piece of onion. If it sizzles vigorously, it’s ready. Fry the onions in batches until crisp, about 2 minutes. Transfer to paper towel lined plate and sprinkle with salt. In a big bowl, toss together the cooked rice, parsley, cilantro, raisins, pistachios, chickpeas, crispy onions, and salt and pepper to taste.
To make the Cucumber Yogurt Sauce:
Stir together all the ingredients in a bowl.",en-US,{},-1.0,,The Woks of Life,75,6 serving(s)
"Chinese Braised Lamb Casserole, Hong-Kong Style",Judy,https://thewoksoflife.com/chinese-braised-lamb-casserole/,Chinese,https://thewoksoflife.com/wp-content/uploads/2018/02/chinese-braised-lamb-casserole-8-1.jpg,"['2½ pounds lamb breast ((cut into 2-inch pieces))', '15 slices ginger', '2 tablespoons oil', '6 scallions ((white and green parts separated))', '10 grams rock sugar', '3 pieces fermented red bean curd', '¼ cup Zhu Hou or Chee Hou sauce', '1-2 star anise ((optional))', '3 tablespoons Shaoxing wine', '1 teaspoon dark soy sauce', '2 tablespoons light soy sauce', '2 tablespoons oyster sauce', '1 dried tangerine peel', '6 dried Shiitake mushrooms ((washed, soaked, and cut in half + the water from reconstituting the mushrooms))', '4 small carrots ((cut into chunks))', '1 small bamboo shoot ((peeled and cut into thin slices))', '6 bean thread/sticks ((soaked until softened and cut into large chunks, these can be prepared the night before))', 'Salt ((to taste))', 'A small head of romaine lettuce or a quarter of a head of iceberg lettuce ((roughly chopped))']","Boil enough water to blanch the lamb. Once the water is boiled, add the lamb and 4 slices of ginger. Bring to a boil, and cook for 1 more minute. Turn off the heat, and drain and rinse the lamb clean. Set aside.
Heat 2 tablespoons of oil in a wok set over medium heat. Add the remaining ginger, the white parts of the scallions, and the rock sugar. Cook for a couple of minutes before adding in the fermented red bean curd and zhu hou sauce. Stir and let everything cook for a couple minutes, using medium low heat.
Next, turn the heat back up, and add the lamb, stirring to coat the lamb evenly in the sauce. Add in the star anise (if using), the Shaoxing wine, dark soy sauce, light soy sauce, oyster sauce, tangerine peel, Shiitake mushrooms, the mushroom water, and enough additional water to just cover all of the ingredients. Cover and bring to a boil. Then immediately turn down the heat to simmer for 1 hour over medium/low heat. Stir the stew every 20 minutes to prevent sticking.
While the lamb is simmering, prepare the carrots, bamboo shoots, and bean threads. Also, wash the lettuce, shake off any excess water, and place in the bottom of a large serving bowl.
Once the lamb is tender (taste test time!), add in the carrots, bamboo shoots, and bean threads. Cook for another 15-20 minutes over medium heat until the carrots are softened. If you still have too much liquid, cook the stew with the lid off for the last 10 minutes. Salt to taste, stir in the green parts of the scallions, and serve everything on your prepared bed of lettuce.",en-US,"{'calories': '358 kcal', 'carbohydrateContent': '26 g', 'proteinContent': '35 g', 'fatContent': '12 g', 'saturatedFatContent': '3 g', 'cholesterolContent': '92 mg', 'sodiumContent': '818 mg', 'fiberContent': '3 g', 'sugarContent': '8 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,165,8 serving(s)
Indian Lamb Curry,Sarah,https://thewoksoflife.com/spicy-indian-lamb-curry/,Chinese,https://thewoksoflife.com/wp-content/uploads/2014/03/DSC_0163.jpg,"['3 pounds lamb shank ((cut into large chunks))', '2 tablespoons ginger garlic paste ((1 tablespoon ginger and 1 tablespoon garlic, mashed into a fine paste))', '1 1/2 tablespoons chili powder', '2 medium onions ((chopped))', '2 tomatoes ((chopped))', '2 red chilis ((finely chopped or mashed into a paste))', '1 1/2 tablespoons garam masala', '1 teaspoon salt ((or more to taste))', '1 cinnamon stick', '5 cloves', '2 bay leaves', 'water', '2 tablespoons unsweetened coconut flakes']","In a large bowl, add the lamb, ginger garlic paste, and chili powder. Mix well and allow to marinate for at least 2 hours, or overnight.
In a large pot, brown the lamb. Add the onions, tomatoes, and chilis, and cook for a few minutes, until the vegetables start to cook down. Add the garam masala, salt, cinnamon stick, cloves, and bay leaves. Mix well. Add 2 cups of water and bring to a boil. Once it's boiling, lower the heat, cover the pot, and simmer for 90 minutes to 2 hours, stirring occasionally.
While that's happening, toast the coconut flakes in a dry pan over low heat until golden brown. When the meat is tender, stir the coconut flakes into the curry. Serve!",en-US,"{'calories': '250 kcal', 'carbohydrateContent': '13 g', 'proteinContent': '32 g', 'fatContent': '7 g', 'saturatedFatContent': '3 g', 'cholesterolContent': '96 mg', 'sodiumContent': '752 mg', 'fiberContent': '5 g', 'sugarContent': '6 g', 'servingSize': '1 serving'}",-1.0,,The Woks of Life,240,4 serving(s)
Cheesy Kale Prosciutto Brunch Melts with Eggs,Sarah,https://thewoksoflife.com/cheesy-kale-prosciutto-brunch-melts-with-eggs/,Chinese,https://thewoksoflife.com/wp-content/uploads/2015/05/kale-prosciutto-muffin-melts-8-1.jpg,"['Olive oil', '1 clove garlic ((sliced))', '2 cups kale ((tough stems removed and chopped))', 'salt and pepper', '1 cup cheddar cheese ((grated))', '4 oz. cream cheese ((softened))', '4 English muffins ((split in half and lightly toasted))', '4 slices prosciutto', '4 eggs']","In a pan over medium heat, heat a couple tablespoons of olive oil and add the garlic. Cook for 1 minute, and add the chopped kale. Season with salt and pepper to taste, and cook the kale until tender and wilted.
Add the cooked kale to a mixing bowl along with the grated cheddar and cream cheese. Stir to combine. Spread the mixture onto each of the lightly toasted English muffin halves, and broil on low for 3-4 minutes, until golden.
While that’s happening, add a little oil to a skillet over medium heat and cook the eggs sunny side up. To serve, tear some prosciutto over the top of the melts and serve with eggs.",en-US,"{'calories': '490 kcal', 'carbohydrateContent': '31 g', 'proteinContent': '21 g', 'fatContent': '31 g', 'saturatedFatContent': '15 g', 'cholesterolContent': '230 mg', 'sodiumContent': '805 mg', 'fiberContent': '2 g', 'sugarContent': '1 g', 'servingSize': '1 serving'}",-1.0,,The Woks of Life,20,4 serving(s)
BEIJING LAMB SKEWERS (Yangrou Chuan),Kaitlin,https://thewoksoflife.com/spicy-beijing-lamb-skewers-yangrou-chuan/,Chinese,https://thewoksoflife.com/wp-content/uploads/2014/06/beijing-lamb-chuan-09-1.jpg,"['1 pound lamb shoulder chops ((450g))', '2 teaspoons cumin seeds', '1 tablespoon dried chili flakes', 'salt ((to taste))', '1 tablespoon oil', 'bamboo skewers ((soaked in water for at least an hour (to prevent them from burning on the grill))']","Take your chops and simply remove the meat from the bone and cut into small chunks. Don't trim any of the fat from the lamb. This is what's going to give you the flavor you're looking for. Put the lamb in a mixing bowl.
In a mortar and pestle (or spice grinder), add the cumin, cumin seeds, chili flakes, and salt. Pound it all together, cracking the chili flakes and cumin seeds into smaller pieces (you want it to be coarse, not a fine powder). Add about half of the spices (the other half will be used for sprinkling after the lamb finishes cooking) to the lamb along with the oil and mix everything together.
Put the lamb onto the skewers. Heat your grill until searing hot. Grill the skewers until they get a nice char on the outside. Transfer to a plate and sprinkle on the extra spices. Serve!",en-US,"{'calories': '230 kcal', 'carbohydrateContent': '1 g', 'proteinContent': '28 g', 'fatContent': '12 g', 'saturatedFatContent': '4 g', 'cholesterolContent': '86 mg', 'sodiumContent': '682 mg', 'fiberContent': '1 g', 'sugarContent': '1 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,65,4 serving(s)
Spicy Cumin Lamb Biang Biang Noodles,Sarah,https://thewoksoflife.com/cumin-lamb-biang-biang-noodles/,Chinese,https://thewoksoflife.com/wp-content/uploads/2017/01/biang-biang-noodles-22-1.jpg,"['1 1/2 cups bread flour', '1/4 teaspoon salt', '1/2 cup ((plus 1 tablespoon water))', '8 oz. fatty lamb shoulder or chuck ((225g, thinly sliced))', '1 tablespoon vegetable oil ((plus 3 tablespoons, divided))', '1 tablespoon rice wine ((plus 2 tablespoons, divided))', '1 teaspoon cornstarch', '1 1/2 tablespoons cumin seeds', '2 teaspoons coriander seeds', '1/4 teaspoon ground white pepper', '1 tablespoon grated ginger', '2 scallions ((chopped, white parts and green parts separated))', '7 cloves garlic ((minced))', '1 long hot red or green chili pepper ((de-seeded and thinly sliced))', '3 tablespoons chili oil ((preferably homemade))', '1 teaspoon sugar', '1 teaspoon black vinegar or rice vinegar', '1 tablespoon soy sauce', '1/2 teaspoon salt', '1 small red onion ((thinly sliced))', '1/2 cup finely diced Chinese celery or regular celery ((optional))', '3 cabbage leaves ((roughly chopped))', '1/2 cup garlic chives ((roughly chopped, optional))']","First, make the noodle dough. In the bowl of a stand mixer, add the bread flour, salt and water. Combine the mixture with your hands or a fork until it starts to form a scraggly dough. Once the dough has come together a bit, attach the bowl to the mixer fitted with the dough hook attachment, and turn it on low speed (setting “2” on a KitchenAid). Allow the mixer to knead the dough for 20 minutes. By the end, the dough will have formed a ball that: doesn’t stick to the sides of the bowl, is smooth and elastic, and isn’t too dry.
You’ll know the dough is done when you can rip off a piece of it and stretch it slowly by a couple inches without it breaking apart. If the dough breaks, knead for another 3-5 minutes (to allow the dough to absorb more moisture). If it still won’t stretch, try adding a tablespoon of water and kneading by hand to incorporate the water. Then transfer it to the mixer once again and allow the dough hook to do its work for another 5 minutes. You need to give the dough time to absorb the moisture uniformly.
If, on the other hand, your kitchen is humid and the dough is a bit sticky, sprinkle in some more flour and knead for another 3-5 minutes.
Once the dough has reached the right consistency, cover it with plastic wrap or an overturned bowl (as long as the bowl is not touching the dough) and allow it to rest for 1 to 2 hours.
Now, get the rest of your ingredients ready. Combine the sliced lamb with 1 tablespoon vegetable oil, 1 tablespoon rice wine, and 1 teaspoon cornstarch. Set aside to marinate.
In a clean, dry pan over medium heat, add the cumin seeds, coriander seeds, and white pepper. Toast the spices until fragrant, about 5 minutes. Coarsely grind the spices in a spice grinder or mortar & pestle. Set aside. Prepare all your vegetables, and set those aside as well.
Now you’re ready to make the noodles. Line a baking sheet with parchment paper, and transfer the rested dough to a clean, oiled surface. Press the dough into a half-inch thick, relatively even rectangle about 10 inches in length. Cut the rectangle into 10 equal strips. Take each strip and lay flat on the counter. Use your palm to flatten the strip into a long, wide, flat noodle––don’t worry about it being perfectly straight or even.
Now, the next step is how this noodle got its name. Pick up the noodle on both ends, lift it, and gently slap it repeatedly on the counter while stretching it out. You can also use your hands to flatten it out further so that the noodle has a relatively uniform thickness. The noodles should be about the thickness of spaghetti––if they are translucent at all, they’re too thin. Lay them onto your parchment-lined baking sheet, and repeat the process until you have all 10 noodles. If you run out of space on the parchment paper, just put another layer of parchment on top. You can keep the noodles this thick, or if you like thinner ones, you can slice each noodle in half lengthwise using a sharp knife. Cover the noodles with plastic wrap so they don’t dry out.
Bring a large pot of water to a boil. The noodles will take approximately 90 seconds to cook, so make sure you time it right so that they’re cooked and drained around the same time that your sauce is done.
To make the sauce, heat 3 tablespoons of vegetable oil in a large wok over medium heat. Add the ginger and scallion whites and cook for 1 minute. Add the garlic and chili pepper, and cook for another 30 seconds. Crank up the heat to high and add the marinated lamb. Stir-fry the lamb until just browned, and immediately add 2 tablespoons rice wine, along with your prepared spice mixture, the chili oil, sugar, vinegar, soy sauce, salt, onions, and celery (if using). If things are starting to stick to the bottom of the wok, add a ¼ cup or so of water to deglaze it.
While that’s going, throw your noodles and the cabbage into boiling water, and cook for 90 seconds to 2 minutes.
Transfer the cooked noodles and cabbage to the wok along with the garlic chives and scallion greens, and toss until everything is completely coated in the sauce.
Serve!",en-US,"{'calories': '425 kcal', 'carbohydrateContent': '45 g', 'proteinContent': '19 g', 'fatContent': '19 g', 'saturatedFatContent': '6 g', 'cholesterolContent': '36 mg', 'sodiumContent': '785 mg', 'fiberContent': '3 g', 'sugarContent': '4 g', 'servingSize': '1 serving'}",4.97,,The Woks of Life,190,4 serving(s)
Winter Lamb Stew with Spicy Sausage,Sarah,https://thewoksoflife.com/lamb-stew-spicy-sausage/,Chinese,https://thewoksoflife.com/wp-content/uploads/2019/01/winter-lamb-stew-21.jpg,"['2 tablespoons olive oil (divided)', '½ pound spicy Italian sausage', '1 ½ pounds boneless leg of lamb or lamb shoulder ((cut into 1 ½ inch pieces))', 'Salt and pepper', '¼ cup all purpose flour', '1 large yellow onion ((diced))', '6 cloves garlic ((smashed))', '2 ½ cups beef broth', '1 cup red wine', '15 ounces canned tomato sauce', '2 large carrots ((cut into large chunks))', '1 pound yukon gold potatoes ((cut into large chunks))', '1 pound baby portabella mushrooms ((quartered))', '6 sprigs thyme', '¼ cup parsley ((chopped))']","Heat 1 tablespoon olive oil in a large pot or Dutch oven over medium high heat. Remove the sausage from their casings and fry in the oil until browned. Set aside on a plate.
Meanwhile, season the lamb chunks with salt and pepper, and toss in ¼ cup all purpose flour. Shake off any excess flour and add the lamb to the pot (reserve the flour for use later). Sear the lamb on all sides––do not move it until it has browned on each side. Remove the lamb from the pot and set aside with the sausage.
Add the onion and garlic cloves to the pan, and deglaze with a splash of water or stock. Season with salt and pepper, and cook the onions and garlic for 5 minutes, until the onions begin to turn translucent. Add the remaining flour to the onions and stir. Cook for another minute.
Add the broth and wine, and bring to a simmer. Then add the seared lamb and sausage back to the pot, along with tomato sauce, carrots, potatoes, mushrooms, and thyme. Season the stew with salt and pepper. Bring to a simmer, cover, and turn the heat down to low.
Simmer for 90 minutes. Adjust seasoning to taste one last time, and serve the stew over buttered noodles and garnish with chopped parsley. You can also serve over rice or mashed potatoes!",en-US,"{'calories': '425 kcal', 'carbohydrateContent': '27 g', 'proteinContent': '27 g', 'fatContent': '21 g', 'saturatedFatContent': '6 g', 'cholesterolContent': '74 mg', 'sodiumContent': '545 mg', 'fiberContent': '5 g', 'sugarContent': '6 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,140,6 serving(s)
Caribbean Spiced Lamb Stew,Sarah,https://thewoksoflife.com/lamb-stew/,Chinese,https://thewoksoflife.com/wp-content/uploads/2015/12/goat-stew-9.jpg,"['4 pounds goat or lamb shank ((1.8kg, cut into 2-3 inch chunks))', '2 tablespoons curry powder', '1 tablespoon cinnamon', '1 tablespoon chili powder', '1 ½ teaspoons ground allspice', '1 ½ teaspoons ground coriander', '1 ½ teaspoons ground cumin', '1 ½ teaspoons ground ginger', '2 teaspoons salt', '3 tablespoons oil', '2 onions ((thinly sliced))', '5 cloves garlic ((minced))', '6 ounces tomato paste ((170g))', '3 cups beef stock ((700 ml))', '2 cups chicken stock ((475 ml))', '3 medium potatoes ((cut into chunks))', '5 medium carrots ((cut into chunks))', 'steamed rice ((to serve))', 'a handful of chopped cilantro ((optional))']","Put the meat in a large bowl, and toss with all the spices and salt. Cover and refrigerate overnight.
After the meat has had a chance to marinate, preheat the oven to 325 degrees F. Heat the oil in a large Dutch oven and sear the meat in batches until browned. Remove the meat from the pot and set aside on a plate. Add the onions, garlic, and tomato paste and fry until the onions are softened.
Add the meat back to the pot, along with the beef stock and chicken stock. Bring to a simmer. Cover and transfer to the oven for 2 hours.
Remove the pot from the oven and stir in the carrots and potatoes. Transfer back to the oven and cook uncovered for another 45 minutes, until the potatoes and carrots are tender.
Serve over steamed rice and garnish with cilantro.",en-US,"{'calories': '230 kcal', 'carbohydrateContent': '21 g', 'proteinContent': '21 g', 'fatContent': '8 g', 'saturatedFatContent': '1 g', 'cholesterolContent': '51 mg', 'sodiumContent': '858 mg', 'fiberContent': '5 g', 'sugarContent': '5 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,900,10 serving(s)
