title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
Hainanese Chicken Rice,Judy,https://thewoksoflife.com/hainanese-chicken-rice/,Chinese,https://thewoksoflife.com/wp-content/uploads/2015/08/hainanese-chicken-rice-10.jpg,"['1 fresh or organic chicken ((3-3½ pounds))', '1 tablespoon salt', '12-14 cups water', '4-5 slices ginger', '2 whole scallions', 'Ice', 'Chicken fat ((taken from the back cavity of the chicken))', '4 cloves garlic ((minced))', '3 cups uncoooked white rice ((preferably jasmine rice, washed and drained))', 'Chicken stock ((from cooking the chicken))', '2 teaspoons salt', '4-inch piece ginger ((roughly chopped))', '1 clove garlic', '3 tablespoons oil', 'pinch of salt', '1/3 cup water', '3 tablespoons rock sugar ((about 3 sizable chunks, or just measure out granulated sugar))', '1/3 cup dark soy sauce', '6 fresh red chilies ((we used Holland chilies))', '3-inch piece ginger', '3 cloves garlic', '½ teaspoon sesame oil', '1 teaspoon salt', '½ teaspoon sugar', 'The juice of 1 small lime', '1 teaspoon rice vinegar ((or white vinegar))', '3-5 tablespoons chicken broth from boiling the chicken ((or until a saucy consistency is achieved))']","To Make the Chicken:
Wash the chicken clean and remember to set aside the piece of chicken fat at the back cavity. Transfer the chicken to a plate and pat dry with a paper towel. Lightly rub the chicken with the salt. This will give the chicken skin a nice sheen. Set it aside.
Bring the water, along with the ginger and scallions, to a boil in a large stockpot. Before adding the chicken to the pot, rinse the chicken under running water to wash away the salt. Carefully lower the chicken into the boiling water, positioning the chicken breast-side up. Now is a good time to adjust the water level so the chicken breast just pokes above the water (so you aren’t left with dry white meat).
Once the water boils, carefully lift the chicken out of the water to pour out the colder water that is trapped in the cavity. Carefully lower the chicken back into the pot. Bring the water to a boil again, and cover the lid. Turn off the heat, and leave the pot covered on the stove for 45-50 minutes (set a timer). To check if the chicken is done, stick a toothpick into the thickest part of the drumstick. If the juices run clear, it’s cooked through.
When the 45-minute timer (for the chicken) is almost up, prepare a large ice bath. Once the chicken is cooked, carefully lift the chicken out of the pot, drain the water from the cavity and lower it into the ice bath. Take care not to break the skin. After 15 minutes in the ice bath, the chicken should be cooled completely, drain and cover with clear plastic until ready to cut and serve. The ice bath stops the cooking process, locks in the juices, and gives the chicken skin better texture.
To make the rice:
While the chicken is cooling, make the rice. Heat a wok over medium heat. Add the chicken fat and render for about a minute. Stir in the minced garlic and fry briefly, making sure it doesn’t burn.
Add the uncooked rice. Stir continuously for about two minutes.
Turn off the heat. Scoop the rice into your rice cooker and add the appropriate amount of chicken stock (instead of the usual water. This amount may vary depending on your rice cooker) and salt. Close the lid and press START.
If you don’t have a rice cooker, you can follow these steps. When you wash your rice, let it soak for an additional 20 minutes. Then drain the rice and follow the same steps above, but instead of transferring the rice mixture to your rice cooker, transfer it to a medium/large pot. Add 3 cups of chicken stock and the salt, giving it a quick stir. Cover the pot and bring to a boil. Once it boils, immediately turn down the heat to the lowest setting. Let the rice simmer and cook (covered) for 10-15 minutes until the rice is done. It’s not quite as foolproof as the rice cooker, but you should get a very similar result. Just be sure to keep an eye on it; burnt rice is no fun.
While the rice is cooking, let’s prepare the three signature dipping sauces. You can also start preparing these sauces while the chicken is cooking in the pot.
To Make Sauce 1: The Ginger Garlic Sauce
Grind the ginger and garlic in a food processor until a paste forms. Heat the oil in a small pot or saucepan. Gently fry the ginger and garlic until aromatic and just lightly caramelized. You want it to be just cooked so that it no longer has that spicy raw flavor of uncooked ginger and garlic. Add salt to taste and transfer to a sauce dish.
To Make Sauce 2: Sweet Dark Soy Sauce
Heat the water and sugar in a small saucepan over medium heat. Stir constantly until the sugar dissolves and the liquid thickens into a simple syrup. Add the dark soy sauce, stirring to combine. Transfer to a sauce dish.
To Make Sauce 3: Chili Sauce
Grind the chilies, ginger, and garlic in a food processor until finely chopped. You will probably have to scrape down the sides of the food processor 1-2 times to ensure everything is ground up evenly. Add the sesame oil, salt, sugar, lime juice, and vinegar to the food processor. Pulse 2-3 times to combine.
Transfer to a small bowl and add chicken broth (what you used to boil the chicken) 1 tablespoon at a time until a saucy consistency is achieved. This is really about your preference too; if you like a thicker paste, add less broth. The broth also helps the sauce come together and adds additional chicken flavor!",en-US,"{'calories': '722 kcal', 'carbohydrateContent': '90 g', 'proteinContent': '32 g', 'fatContent': '25 g', 'saturatedFatContent': '6 g', 'cholesterolContent': '82 mg', 'fiberContent': '2 g', 'sugarContent': '10 g', 'servingSize': '1 serving'}",4.91,,The Woks of Life,155,6 serving(s)
Jianshui Zong (Alkaline Rice Dumplings - 碱水粽),Judy,https://thewoksoflife.com/alkaline-rice-dumplings-zongzi/,Chinese,https://thewoksoflife.com/wp-content/uploads/2017/05/alkaline-zongzi-24-1.jpg,"['9 ounces dried adzuki beans ((255g, 1 ¼ cups))', '3 ¾ cups water ((890 ml))', '½ teaspoon baking soda', '1/2 cup sugar ((100g, or to taste))', '¼ cup vegetable oil ((60 ml))', '1 pound sweet rice ((also called sticky rice, 450g or about 2 ¼ cups))', '1 ½ tablespoons lye water', '½ tablespoon vegetable oil', '30-40 dried bamboo leaves', '1 ½ teaspoons lye water', 'Kitchen string']","The Day Before: Make the Red Bean Paste:
Soak the red beans in water for 2 to 3 hours, then rinse off and drain.
Add the soaked red beans, 3 ¾ cups water, and baking soda to a medium pot. Cover and bring to a boil, then immediately reduce the heat to a simmer until the beans are softened and opened-up (about 30 minutes). Stir periodically to avoid burning.
If you see a lot of liquid remaining even after the beans are softened and have opened up, turn up the heat, remove the lid, and let the liquid cook off. While you’re doing this, watch the beans closely and stir occasionally to avoid burning. Remove from the heat and let the beans cool for a bit before pureeing the cooked beans in a food processor. You can also use an immersion blender, but a food processor will result in a more even puree.
Put the red bean puree in a thick-bottomed pan set over medium-high heat, and cook off the liquid, stirring constantly. This process will take about 25 to 30 minutes. Add the sugar (about 1/2 cup or to taste) early in the cooking process so it has a chance to fully dissolve.
Towards the end of the cooking time, add the ¼ cup of vegetable oil in two batches. The oil will prevent the puree from sticking to the pan too much. The paste is done once it “stays” in place rather than oozing across the pan. Transfer the paste to a dish, and let it cool before storing it in the refrigerator, covered.
The Night Before: Soak the Rice and Bamboo Leaves:
Rinse the sweet rice a couple of times until the water runs clear rather than cloudy. Next, transfer the rice to a large bowl with enough water so that the water line is ½-inch above the rice. Stir in 1½ tablespoons of lye water and ½ tablespoon vegetable oil. Once the lye water hits the fresh water, both the rice and water will turn a light yellow color––that’s normal. Soak the rice, covered, in the refrigerator overnight.
In a large basin (or your kitchen sink), soak the bamboo leaves overnight. Weigh the leaves down with something heavy to make sure all of the leaves are submerged.
The Next Day: Making and Cooking the Zongzi:
Clean each bamboo leaf, front and back, with a clean kitchen towel, shaking off any excess water and trimming off about a half inch of the bamboo leaf at the base (this part is too tough and rigid to handle). Set aside.
Take the soaked rice out of the refrigerator, and drain off all of the liquid. Set it aside.
Take out the red bean paste, and divide it into 15 equal-sized balls.
Now you’re ready to assemble the zongzi! Take two bamboo leaves and follow the steps shown in the photos, tying them off with kitchen string. Each rice dumpling takes about 2 tablespoons of soaked rice and one portion of red bean paste. Just remember not to tie the string too snugly, as the rice will need room to expand during the cooking process. After unwrapping a zongzi, it shouldn’t look like it has been wearing a pair of pants that’s two sizes too small. :)
In a large pot, arrange the zongzi neatly, and fill the pot with water--about 1-inch above the top of the zongzi. Add 1 ½ teaspoon of lye water to the pot, and place a heat-proof bowl or plate on top of everything to weigh down the zongzi. Bring the water to a boil, and then turn the heat to medium to slow cook the zongzi for 2½ hours. Check the water levels periodically, replenishing the pot with boiling water when the waterline falls below the top of zongzi.
After 2 ½ hours, turn off the heat, and take out the zongzi to let them cool. Serve the zongzi at room temperature with sugar or the syrup of your choice!",en-US,"{'calories': '229 kcal', 'carbohydrateContent': '42 g', 'proteinContent': '5 g', 'fatContent': '4 g', 'saturatedFatContent': '3 g', 'sodiumContent': '43 mg', 'fiberContent': '3 g', 'sugarContent': '7 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,360,15 serving(s)
Shrimp Fried Rice,Bill,https://thewoksoflife.com/shrimp-fried-rice/,Chinese,https://thewoksoflife.com/wp-content/uploads/2017/01/shrimp-fried-rice-2-1.jpg,"['2 cups uncooked jasmine rice', '1½ cups water', '1 tablespoon dark soy sauce', '2 teaspoons light soy sauce', '½ teaspoon turmeric', '3 tablespoons canola oil ((divided))', '2 eggs ((beaten))', '12 ounces shrimp ((340g, 51 to 60 size, peeled and deveined))', '1 medium onion ((diced))', '¼ teaspoon salt ((or to taste))', '¼ teaspoon sugar', '¼ teaspoon sesame oil', '¼ teaspoon ground white pepper', '1 cup snow peas ((chopped))', '1 scallion ((chopped))', '1 tablespoon Shaoxing wine']","First, wash the rice, and pour off the excess water. Combine the drained rice with 1 ½ cups water, the soy sauces and turmeric powder in a thick-bottomed pot or your rice cooker. Cook the rice per our instructions for perfect stovetop rice or press the button on your rice cooker! If you have not purchased a rice cooker yet and consider yourself a rice-lover, consider purchasing one! Check out our Chinese Cooking Tools page for more information and some useful links to products.
When the rice is cooked, fluff it with a fork or rice paddle. You will see that you now have a nice uniform golden brown rice. You can use this rice fresh or refrigerate it, and use it the next day. If you use cold refrigerated rice, you’ll have to break it up with your hands before cooking as well as add a sprinkling of water and cover your fried rice when cooking to heat it through.
Now onto the “fried” portion of this fried rice. Heat your wok over medium high heat. Add 1 tablespoon of oil, and add the eggs, scrambling them until they’re just cooked. Use your spatula to break up the large pieces into smaller chunks. You can start scooping them up when they look like they are almost done, and put them back into the same bowl you mixed them in. Set aside. You will cook them again in the rice.
Heat the wok until just smoking, and spread 1 tablespoon oil around the perimeter of the wok. Spread the shrimp out in a single layer, and let them sear for 20 seconds. Stir fry the shrimp until opaque, transfer them back to their bowl, and set aside. Again, they’ll get cooked again in the rice! For the record, when cooking large volumes of shrimp fried rice in restaurants, shrimp are usually pre-boiled (like they do for shrimp cocktail). Wok cooks then grab handfuls of the precooked shrimp for each order, which makes the process go quickly and smoothly, but at home, searing the shrimp definitely makes for better flavor!
With the wok over medium high heat, add the third tablespoon of oil, and sauté the onions until translucent.
Add the rice, using your metal spatula to flatten and break up any remaining clumps. If the rice is cold from the refrigerator, continue stir-frying until the rice is warmed up, which will take about 5 minutes, or sprinkle a tablespoon or two of water around the rice, lower the heat slightly, and cover for one minute to let the steam do some of the work.
Once the rice is warmed (this is very important or the sauce will not mix as well and the color of the rice will not be as uniform), add the salt, sugar, sesame oil, and freshly ground white pepper, and mix with a scooping motion until the rice is evenly coated with the seasonings. The rice should be hot by this time. Now add the shrimp and snow peas, and stir fry for another 30 seconds.
Add the eggs and scallions and continue stir-frying the rice for another 30 seconds. Gather all of the rice into the middle of the wok to let the sides of the wok heat up. After about 20 seconds, spread the Shaoxing wine around the perimeter of the wok, and stir-fry for another 20 seconds. This step gives that little extra wok hei that you taste when you get fried rice from a good Chinese restaurant!
Plate and serve!",en-US,"{'calories': '583 kcal', 'carbohydrateContent': '80 g', 'proteinContent': '29 g', 'fatContent': '15 g', 'saturatedFatContent': '2 g', 'cholesterolContent': '296 mg', 'sodiumContent': '789 mg', 'fiberContent': '2 g', 'sugarContent': '3 g', 'servingSize': '1 serving'}",4.94,,The Woks of Life,40,4 serving(s)
Gyudon (Japanese Beef & Rice Bowls),Sarah,https://thewoksoflife.com/gyudon-recipe-beef-rice/,Chinese,https://thewoksoflife.com/wp-content/uploads/2016/02/gyudon-9-1.jpg,"['Neutral oil ((such as vegetable or canola oil))', '2 medium onions ((very thinly sliced))', '1 pound very thinly sliced beef ((450g, fatty beef chuck or ribeye))', '2 teaspoons sugar', '2 tablespoons mirin', '2 tablespoons soy sauce', '1 cup dashi stock ((can also substitute beef or chicken stock))', '4 eggs', '4 cups cooked white rice ((short grain or medium grain preferred))', '1 scallion ((chopped))', '2 teaspoons toasted sesame seeds ((optional))']","Heat 2 tablespoons oil in a large skillet over medium high heat, and cook the sliced onions for about 10 minutes, stirring often.
Add the beef and sugar, and cook until the beef is slightly browned. Add the mirin, soy sauce, and stock. Bring to a simmer, and cook for about 10-15 minutes to reduce the stock into a thin sauce. Taste for seasoning, and add a little more soy sauce if needed.
Meanwhile, heat another couple tablespoons of oil in a cast iron or non-stick skillet. Cook the eggs sunny-side up. You can cook them in batches if needed. The yolks should still be runny!
When the beef is done simmering, divide the rice among 4 bowls, and top with the beef and an egg for each bowl. Garnish with chopped scallion and toasted sesame seeds, if using.",en-US,"{'calories': '598 kcal', 'carbohydrateContent': '57 g', 'proteinContent': '36 g', 'fatContent': '25 g', 'saturatedFatContent': '12 g', 'cholesterolContent': '233 mg', 'sodiumContent': '888 mg', 'fiberContent': '2 g', 'sugarContent': '7 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,40,4 serving(s)
Steamed Ribs with Glutinous Rice (糯米蒸排骨),Kaitlin,https://thewoksoflife.com/steamed-ribs-glutinous-rice/,Chinese,https://thewoksoflife.com/wp-content/uploads/2018/01/steamed-ribs-sticky-rice-2-1.jpg,"['1 pound pork ribs ((450g, cut into 2-inch pieces––ask your butcher or get out a heavy cleaver!))', '1 piece red fermented bean curd ((mashed))', '1 tablespoon liquid from the red fermented bean curd jar', '1 teaspoon sugar ((divided))', '½ teaspoon sesame oil', '2 tablespoons Shaoxing wine', '½ teaspoon ground white pepper ((divided))', '1 tablespoon minced ginger', '2 scallions ((finely chopped, with the white and green parts separated))', '1 large dried lotus leaf', '2 cups sticky rice ((also called sweet rice or glutinous rice))', '1 teaspoon dark soy sauce', '3 tablespoons light soy sauce', '½ teaspoon salt']","The night before, soak the ribs for 2 hours to remove excess blood and impurities from the meat. Change the water a couple of times in between. Drain, rinse, and pat the ribs dry with a paper towel. Marinate the ribs with the mashed red fermented bean curd, the liquid from the jar, ½ teaspoon sugar, sesame oil, Shaoxing wine, ¼ teaspoon of ground white pepper, 1 tablespoon minced ginger, and the white parts of the scallions. Cover, and let sit in the refrigerator overnight.
Soak a large dried lotus leaf by submerging the whole leaf under water. Use a large plate or bowl to weigh it down and leave it overnight. Handle with care, since these leaves rip easily!
The next day, rinse and soak 2 cups of glutinous rice for an hour, making sure the water is at least 2 inches above the rice line. At the same time, take the marinated ribs out of the refrigerator and bring them to room temperature.
Rinse the lotus leaf front and back with fresh water. Line your bamboo steamer or large heatproof platter (with at least a 2-3 inch depth) with the lotus leaf.
Next, prepare the steamer with water. Make sure there is enough water in the steamer, but not so much that the water will flood the dish. You can always add boiling water if the water levels are low during steaming. Now cover the steamer and turn on the heat to bring the water to a boil.
Drain the soaked glutinous rice. Combine the drained rice with 1 teaspoon dark soy sauce, 3 tablespoons light soy sauce, salt, the remaining ½ teaspoon sugar, the remaining ¼ teaspoon ground white pepper, and the remaining scallions.
Now, mix in the marinated ribs (and the marinade liquid!) until well combined. Pour onto the lotus leaf, and wrap the outer edges of the leaf over the top of the rice. Place the whole thing carefully in the steamer, and steam for 60 minutes over high heat. Check every 10 - 15 minutes to make sure the water in the steamer does not dry out.
Garnish with additional chopped scallions if desired, and serve.",en-US,"{'calories': '396 kcal', 'carbohydrateContent': '52 g', 'proteinContent': '14 g', 'fatContent': '13 g', 'saturatedFatContent': '4 g', 'cholesterolContent': '42 mg', 'sodiumContent': '800 mg', 'fiberContent': '2 g', 'sugarContent': '1 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,540,6 serving(s)
Xinjiang Lamb Rice,Judy,https://thewoksoflife.com/lamb-rice/,Chinese,https://thewoksoflife.com/wp-content/uploads/2016/09/lamb-rice-12.jpg,"['2 cups uncooked white rice', '2 pounds fatty lamb ((900g, cut into 1/2 inch chunks, separate out the fatty pieces from the lean meat))', '4 cups water', '3 slices ginger', '3 tablespoons oil', '1 medium onion ((diced))', '2 teaspoons salt', '2 teaspoons soy sauce', '1 teaspoon cumin powder', '1 pound carrots ((cut into thin strips))', '¼ cup raisins ((optional))']","Soak the rice for 30 minutes. Drain and set aside.
While the rice is soaking, blanch the lamb by boiling 4 cups of water in a pot along with the lamb and ginger. Let it boil for a couple of minutes, and then turn off the heat. Use a slotted spoon to pick out the lamb pieces and set them aside, making sure to drain off any excess water. Then use a fine mesh strainer to strain the cooking liquid. Reserve that liquid to cook the rice.
Now heat the oil in a wok over high heat. Add ONLY the fatty lamb pieces, and stir-fry to get a nice crust on them. Turn the heat down to medium low, and render the fat until the pieces start to turn golden brown, about 6 to 8 minutes.
Turn the heat to medium, and add the onion. Cook until the onion is translucent. Now turn the heat back up to high and add the blanched lamb in a single layer so as to brown the meat on all sides. This will take a few minutes. Add 2 1/2 cups of the cooking liquid you reserved earlier, along with the salt, soy sauce, and cumin, and mix everything well. Cover and simmer for 20 minutes.
Now add in the carrots and raisins (if using), and cover for another minute to bring the mixture back up to a boil. Turn off the heat. (Don’t worry, the carrots will finish cooking in the rice cooker. Also, at this point, the taste will be on the salty side, but remember that it will mellow up once mixed in with the rice.)
Pour everything into the rice cooker (or a pot), and add the rice. The rice should be spread out evenly. There should be enough liquid to see peeking through the rice grains (you may need to add more water if needed), but the liquid level should not be above the rice. Cover and start the rice cooker. If you are using a pot, turn the heat up to medium high to bring the mixture to a simmer, cover, turn the heat down to low, and cook for 15-20 minutes.
Once the rice is done cooking, open the lid, mix everything together, add salt to taste (if necessary) and enjoy.",en-US,"{'calories': '472 kcal', 'carbohydrateContent': '63 g', 'proteinContent': '25 g', 'fatContent': '13 g', 'saturatedFatContent': '2 g', 'cholesterolContent': '61 mg', 'sodiumContent': '1019 mg', 'fiberContent': '4 g', 'sugarContent': '4 g', 'servingSize': '1 serving'}",4.25,,The Woks of Life,90,6 serving(s)
"Beef Bulgogi Bowls, A Korean Favorite",Kaitlin,https://thewoksoflife.com/bulgogi-bowls/,Chinese,https://thewoksoflife.com/wp-content/uploads/2016/01/bulgogi-9.jpg,"['1 1/2 pounds beef', '1/2 large Korean pear ((can sub 1 small Chinese pear or 1 small regular pear))', '1/2 of a small onion', '4 cloves garlic', '1 inch piece ginger', '2½ tablespoons soy sauce', '2 tablespoons brown sugar', '1/8 teaspoon black pepper', '1 tablespoon sesame oil', '2 scallions ((chopped, divided))', '1/2 of a carrot ((sliced thinly))', '6 tablespoons oil ((any preferred oil with a high smoke point))', '5 cups steamed medium grain rice ((to serve))', '1/2 cup Kimchi ((to serve))', '3 cloves garlic ((thinly sliced))', '3 Shishito peppers ((thinly sliced))', '2 tablespoons Ssamjang paste ((or to taste))', '1 tablespoon toasted sesame seeds ((optional))']","Slice the beef and transfer to a mixing bowl or deep plate. Next, prepare the marinade by adding the pear, onion, 4 cloves garlic, ginger, soy sauce, brown sugar, black pepper, and sesame oil to a food processor or blender. Blend until you have a smooth purée. Pour the marinade over the beef, topping the whole mixture with half of your chopped scallions and all of the sliced carrot. Stir thoroughly and let marinade for at least an hour, preferably overnight.
When the beef is done marinating, heat a cast iron skillet over high heat. The beef will cook in about 3 batches; Use 2 tablespoons of oil per batch.
When the cast iron skillet is searing hot, lay pieces of beef in one layer to cover the pan. Let fry until crisped and caramelized, then flip and let fry again. The whole process takes 1-2 minutes per batch. Transfer to a plate. You'll probably have to scrape the pan in between batches, as the marinade crusts up the pan. Be sure to reheat the pan between batches!
When all the bulgogi is cooked, assemble the bowls. Add a generous heap of rice to each bowl (this recipe serves 4-6 people). Top with the bulgogi, kimchi, garlic, Shishito peppers, and your reserved chopped scallions. Serve with additional kimchi on the side and ssamjang paste to taste (just shmear a little of this on the beef as you eat it). You can also sprinkle toasted sesame seeds over the top, if using. Enjoy this one guys!",en-US,"{'calories': '665 kcal', 'carbohydrateContent': '50 g', 'proteinContent': '25 g', 'fatContent': '40 g', 'saturatedFatContent': '10 g', 'cholesterolContent': '81 mg', 'sodiumContent': '631 mg', 'fiberContent': '2 g', 'sugarContent': '8 g', 'servingSize': '1 serving'}",-1.0,,The Woks of Life,105,6 serving(s)
How to Make Sticky Rice (Foolproof Method!),Judy,https://thewoksoflife.com/how-to-make-sticky-rice/,Chinese,https://thewoksoflife.com/wp-content/uploads/2019/04/how-to-make-sticky-rice-7.jpg,"['2 cups sweet rice/sticky rice/glutinous rice', 'Water']","Add the sticky rice to a mixing bowl or other deep container. Fill it with water so that the water level is at least 3 inches above the rice, as the rice will expand when soaking.
Soak for 6 to 24 hours. Soak it longer if you want your sticky rice to have a softer texture.
Drain the water (no need to shake off the excess water), and evenly arrange the soaked sticky rice on a heat-proof, rimmed plate or bamboo steamer lined with natural steamer liners or parchment paper.
Cover and steam for 30-45 minutes. When making larger batch of rice, steam in two batches or steam longer. You can check the rice and increase the steaming time if need be.
Keep the sticky rice in the steamer or covered to prevent drying out until you serve it or use it in a recipe.",en-US,"{'calories': '342 kcal', 'carbohydrateContent': '76 g', 'proteinContent': '6 g', 'fatContent': '1 g', 'saturatedFatContent': '1 g', 'sodiumContent': '6 mg', 'fiberContent': '3 g', 'servingSize': '1 serving'}",4.91,,The Woks of Life,45,4 serving(s)
30 Minute Multigrain Congee,Judy,https://thewoksoflife.com/multigrain-congee/,Chinese,https://thewoksoflife.com/wp-content/uploads/2019/11/chinese-multigrain-porridge-8.jpg,"['brown rice', 'brown sweet rice', 'black rice', 'black sweet rice', 'barley', 'wild rice', 'farro', 'sorghum']","Soak the grains in water for 2 hours. You may choose to add in grains that don’t require soaking (e.g., if you’re including white rice). If so, those can be simply rinsed and added after the soaking process.
Wash and drain the grains. Put the washed rice in a resealable bag, and freeze for at least 8 hours before use.
When you’re ready to cook, you’ll need 4 cups of water for every cup of frozen multigrain mixture. Put everything in a pot with the lid on, and bring to a boil over high heat. Once boiling, turn off the heat with the lid on. Do not stir. Let the congee sit on the stove for 15 minutes.
During this time, the congee will continue to cook, and you won’t have to worry about it boiling over. After 15 minutes, turn the heat on high and bring to a boil again. Once boiling, turn off the heat and keep the lid on. Again, do not stir. Let it sit on the stove for 15 minutes, or until ready to serve.
At this point, the longer you wait, the thicker the congee becomes. I usually cook it in the morning and let it sit with the lid on. Then I reheat right before serving. This saves tons of time!",en-US,{},4.5,,The Woks of Life,630,None
Supreme Soy Sauce Fried Rice,Judy,https://thewoksoflife.com/king-soy-sauce-fried-rice/,Chinese,https://thewoksoflife.com/wp-content/uploads/2016/09/soy-sauce-fried-rice-10.jpg,"['2 teaspoons fish sauce', '2 tablespoons dark soy sauce', '2 tablespoons light soy sauce', '2 teaspoons Shaoxing wine', '1 teaspoon sugar', '1 teaspoon vegetable or canola oil', '1 teaspoon oyster sauce', '3 eggs ((beaten))', '1 teaspoon Shaoxing wine', 'Salt ((to taste))', '3 tablespoons oil ((divided))', '6 cups cooked rice ((cooled))', '3 scallions ((finely chopped))']","First, make the soy sauce mixture. Put all the sauce ingredients in a small saucepan over medium heat. Stir to dissolve the sugar. Once the sauce starts to boil, turn off the heat, and it’s done. It’s ready to use for the fried rice, or you can let it cool completely before storing it in an air-tight container. To clarify, the amount of sauce here is just enough for this recipe. If you’re making more, double or triple, as needed.
To your beaten eggs, add 1 teaspoon Shaoxing wine and a pinch of salt. Heat 1 tablespoon of oil in your wok over high heat. Quickly scramble the eggs, and transfer to a dish. Set aside.
Now turn the heat down to medium, and add 2 tablespoons of oil to the wok. Add the rice, stir for a couple of minutes to make sure the rice is heated through. Now add the soy sauce mixture and the scrambled egg. Stir fry everything until combined. Pause for a taste test to see if additional salt is necessary. Lastly, toss in the chopped scallion, stir fry to combine, and serve!",en-US,"{'calories': '481 kcal', 'carbohydrateContent': '70 g', 'proteinContent': '13 g', 'fatContent': '15 g', 'saturatedFatContent': '3 g', 'cholesterolContent': '123 mg', 'sodiumContent': '1449 mg', 'fiberContent': '1 g', 'sugarContent': '2 g', 'servingSize': '1 serving'}",4.94,,The Woks of Life,15,4 serving(s)
