title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
Roast Pork with Five Spice,Everyone,https://thewoksoflife.com/roast-pork-with-five-spice/,Chinese,https://thewoksoflife.com/wp-content/uploads/2013/06/roast-pork-with-five-spice-3.jpg,"['2.5 pounds pork belly ((in one big slab))', '1 tablespoon salt', '2 tablespoons sugar', '1/4 teaspoon five spice powder', '1/4 teaspoon garlic powder', '1/4 teaspoon ground ginger', '1/4 teaspoon cinnamon']","Get a large pot of boiling water on the stove. Add the piece of pork to the water and cook for about ten minutes. This gets some of the blood and fat off the meat. Take the meat out and pat it dry with paper towel.
Mix all your spices together and rub the pork all over with the spice mixture. Put it in the refrigerator to marinate for 1 hour.
Preheat oven to 375 degrees, roast the pork until tender (about 45 minutes – 1 hour).
Allow to rest for 10 minutes before serving.",en-US,{},-1.0,,The Woks of Life,135,6 serving(s)
The Cuban Sandwich,Bill,https://thewoksoflife.com/cuban-sandwich/,Chinese,https://thewoksoflife.com/wp-content/uploads/2014/11/cuban-sandwiches-15-1.jpg,"['a 3 1/2 lb bone-in pork shoulder roast', '1 tablespoon salt', '1/2 teaspoon black pepper', '1 onion ((diced))', '1 1/2 teaspoons dried oregano', '3 cloves minced garlic', '1/3 cup orange juice', '2 tablespoons lemon juice', '2 bay leaves', '2 tablespoons olive oil', '4 sandwich rolls', '4 tablespoons yellow mustard', '8 slices ham', '12 slices pepperoni ((optional))', '4 thick slices Swiss cheese', 'Sweet pickle slices ((we used bread-and-butter pickles))', '4 tablespoons softened butter']","Place the pork shoulder in a large heavy duty zip top bag or bowl. Pierce the meat with a sharp knife in several places. In a bowl, combine the salt, pepper, onion, oregano, garlic, orange juice, lemon juice, bay leaves, and olive oil. Pour the mixture over the pork and massage it into the meat, letting the liquid into the holes you'd created with the knife. Let the meat marinate for at least 4 hours or overnight.
Preheat the oven to 375 degrees F, and place the roast along with all of the marinade into a roasting pan. Roast for 30 minutes and turn down the heat to 325 degrees F. Continue roasting for another hour or so, basting the roast every 15 minutes. Add about a quarter cup of water if the liquid in the pan dries up.
When the pork is done, set aside to rest for 30 minutes and gather the rest of your sandwich ingredients.
When you're ready to assemble, slice the rolls in half. Spread mustard on both sides of each roll. Add some of your sliced roast pork and drizzle with some of the drippings from the roasting pan. Add a layer each of ham and pepperoni, if using. Add a slice of cheese, and a layer of pickles. Top with the other slice of bread.
Heat a griddle or pan over medium heat. Take each sandwich, and slather butter all over the outside of the bread on both sides. Place on the pan, and cover with aluminum foil and something heavy (like a cast iron skillet) to act as a press. Let cook for about 3-5 minutes, until the bottom is toasty and golden. Flip the sandwiches, cover with the foil and heavy skillet, and cook the other side for another 3-5 minutes, until the sandwich is crispy and the cheese is nice and melted.",en-US,{},5.0,,The Woks of Life,405,4 serving(s)
Meatball Banh Mi,Sarah,https://thewoksoflife.com/spicy-meatball-banh-mi/,Chinese,https://thewoksoflife.com/wp-content/uploads/2015/04/meatball-banh-mi-12-1.jpg,"['2 medium carrots ((julienned))', '1 cup daikon radish ((julienned))', '2 tablespoons sugar', '½ teaspoon salt', '3 tablespoons rice wine vinegar', '2 teaspoons sesame oil', '1 pound ground pork ((450g))', '2 tablespoons chopped cilantro or basil', '1 scallion ((chopped))', '3 cloves garlic ((minced))', '1 tablespoon fish sauce', '1 tablespoon Sriracha', '2 teaspoons sugar', 'salt and pepper ((to taste))', '1 tablespoon cornstarch', '1 tablespoon oil', '1/4 cup mayonnaise', '2 teaspoons Sriracha', '1 baguette ((cut into 4 equal pieces and lightly toasted))', '1 jalapeno ((seeded and thinly sliced))', 'fresh cilantro']","Start by preparing the carrot and daikon. Add the julienned carrots and daikon to a large bowl and toss in the sugar, salt, vinegar and sesame oil. Set aside for 1 hour, stirring occasionally.
While that’s going, thoroughly combine all the meatball ingredients in a bowl, and form into meatballs (you should get about 20). Place the meatballs on a parchment lined baking sheet, and transfer to the freezer for 20 minutes. After the meatballs have been chilled, heat a tablespoon of oil in a cast iron or nonstick skillet over medium high heat. Fry the meatballs until browned on all sides and cooked through.
In a separate bowl, combine the mayonnaise and Sriracha. Open up each piece of bread, and spread the Sriracha mayonnaise on each side. Fill with the pickled carrots and daikon, cooked meatballs, jalapenos, and cilantro. Serve!",en-US,"{'calories': '677 kcal', 'carbohydrateContent': '47 g', 'proteinContent': '26 g', 'fatContent': '42 g', 'saturatedFatContent': '12 g', 'cholesterolContent': '88 mg', 'sodiumContent': '947 mg', 'fiberContent': '3 g', 'sugarContent': '11 g', 'servingSize': '1 serving'}",4.93,,The Woks of Life,80,4 serving(s)
Spicy Crispy Pork Noodles,Kaitlin,https://thewoksoflife.com/spicy-crispy-pork-noodles/,Chinese,https://thewoksoflife.com/wp-content/uploads/2019/02/spicy-pork-noodles-16.jpg,"['¼ cup oil', '1-3 fresh or dried red chilis', '2 tablespoons ginger', '½ teaspoon Sichuan peppercorn powder', '5 cloves garlic ((chopped))', '8 ounces ground pork', '2 tablespoons Shaoxing wine', '½ teaspoon sugar', '½ teaspoon white pepper', '1 tablespoon soy sauce ((plus more to taste))', '½ teaspoon sesame oil', '2 tablespoons Lao Gan Ma Black Bean Chili Sauce', '8 oz. dried spaghetti ((cooked according to package instructions))', '⅓ cup chopped peanuts ((optional))', '1 scallion ((chopped))', 'A big handful or two of any leafy green vegetable']","Pour ¼ cup oil into the wok over medium heat and add the chilis. Let the peppers infuse the oil for 1 minute. Add the minced ginger and Sichuan peppercorn powder, if using, and fry for another minute.
Add the minced garlic and cook for another 30 seconds. Then add the ground pork. Stir until just cooked through, breaking up any big chunks. Next, add 2 tablespoons Shaoxing wine, ½ teaspoon of sugar, ½ teaspoon white pepper, 1 tablespoon soy sauce, and ½ teaspoon sesame oil. Then add 2 heaping tablespoons of the black bean hot sauce. Stir and cook for a minute.
Turn the heat up to high and add the cooked spaghetti, peanuts, scallions, and leafy veggies. Quickly stir fry for a few minutes to heat them through. Stir fry to combine, moving quickly so the spaghetti doesn’t stick to the wok. Cook until the veggies are wilted/just cooked through.
Serve immediately!",en-US,"{'calories': '602 kcal', 'carbohydrateContent': '51 g', 'proteinContent': '22 g', 'fatContent': '34 g', 'saturatedFatContent': '7 g', 'cholesterolContent': '41 mg', 'sodiumContent': '429 mg', 'fiberContent': '5 g', 'sugarContent': '4 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,45,4 serving(s)
Red Cooked Pork (Hong Shao Rou): Grandma’s Version,Sarah,https://thewoksoflife.com/red-cooked-pork-hong-shao-rou-grandmas-version/,Chinese,https://thewoksoflife.com/wp-content/uploads/2013/08/hong-shao-rou-red-cooked-pork.jpg,"['2 slabs pork belly ((cut into 1 ½ inch thick pieces; totaling about 1 ½ -2 pounds, or about 700-900g))', '4-5 eggs', '3 tablespoons sugar ((rock sugar is preferred))', '½ cup shaoxing wine', '2 tablespoons dark soy sauce', '2 tablespoons soy sauce', '1 cup water ((plus more, if needed))', '1 package tofu puffs']","Start by cutting up your pork belly.
Then fill a pot with cold water and submerge your eggs. Put the pot on the stove and gently bring it to a boil. Once it’s boiling, boil the eggs for 5 minutes. Take them out and put them into a bowl of ice water to cool for 5 minutes before peeling.
After that’s done, boil some more water in a large pot. Add the pork to the boiling water and blanch for about 3 minutes to get rid of excess fat and other impurities. Drain and rinse the meat.
Make sure your wok is clean and dry. Over medium low heat, add about 3 tablespoons of sugar to the dry wok (no oil) and toss the sugar around. You’ll see it start to turn an amber color. Let it melt until it becomes almost a syrup.
Add the meat to the pan in 1 layer (still no oil necessary). Let the meat brown on all sides, about 10 minutes.
Then add ½ cup shaoxing wine, 2 tablespoons dark soy sauce, 2 tablespoons regular soy sauce and a cup of water. Stir.
Cover the wok and simmer over medium-low heat for 1 hour. Check it periodically to make sure that it’s not too dry, adding a little water when necessary.
By then, your eggs should be cooled off. Peel them and score them lengthwise to let the sauce into the crevices of each hard-boiled egg. Add them to the pan and gently coat them in the sauce, being careful not to break them up. Simmer for another 15 minutes (add water if needed) and then take the eggs out of the pan. Taste the sauce at this point for salt. If it needs a little more, add a dash of soy sauce 1 teaspoon at a time, until it’s right. We found that you didn’t need much more beyond the initial 2 tablespoons, but use your own judgment.
Then add your tofu and stir in gently. Simmer for another 20 minutes.
Give everything another stir and add your eggs back in.",en-US,{},5.0,,The Woks of Life,125,6 serving(s)
Garlic Chives with Pork (Cang Ying Tou - 苍蝇头),Judy,https://thewoksoflife.com/garlic-chives-pork-cang-ying-tou/,Chinese,https://thewoksoflife.com/wp-content/uploads/2017/06/garlic-chives-stir-fry-2.jpg,"['3 tablespoons oil ((divided))', '10 ounces ground pork ((285 g; can also use ground chicken, turkey, or beef))', '2 teaspoons Shaoxing wine', '2 tablespoons light soy sauce ((divided))', '¼ teaspoon sugar', '½ tablespoon ginger ((finely chopped))', '1 tablespoon garlic ((finely chopped))', '¼ cup fermented black beans ((35 grams, rinsed and drained))', '½ cup red long hot peppers ((or red bell peppers, finely diced))', '12 ounces garlic chives ((cut into ⅓-inch pieces))', '½ teaspoon sesame oil']","Preheat your wok over high heat until it starts to smoke slightly. Turn down the heat, and let the wok cool down a bit before adding 1 tablespoon of the oil. (This step of superheating the wok before adding oil prevents the meat from sticking to the wok. This method works well for pan-frying anything--fish included.)
Once the oil is heated, turn the heat down to medium, and add the ground pork. Cook it until the meat is lightly browned. Add in the Shaoxing wine, ½ tablespoon light soy sauce, and the sugar. Mix well, turn off the heat, and transfer the cooked meat to a bowl.
Now turn the heat down to low, and add the last 2 tablespoons of oil and the ginger. Cook it for a minute, then add the garlic and fermented black beans. Cook everything for a minute or two, taking care to avoid burning.
Next, add peppers, and turn the heat up to high. Stir fry everything together, and let it cook for a minute uncovered. Then, add in the cooked pork and garlic chives (if you use scapes, you will need to extend the cooking time at the end for 1-2 minutes with the wok lid on) and stir-fry.
Now it’s time to add in the remaining light soy sauce (1½ tablespoons) and the sesame oil. Stir-fry to combine. At this point, you can salt to taste, but the fermented black beans are quite salty--I found that I didn’t need to add any salt. But be fast about it, because the garlic chives cook quickly.
Transfer to a dish and serve with steamed rice.",en-US,"{'calories': '364 kcal', 'carbohydrateContent': '9 g', 'proteinContent': '20 g', 'fatContent': '28 g', 'saturatedFatContent': '7 g', 'cholesterolContent': '51 mg', 'sodiumContent': '932 mg', 'fiberContent': '4 g', 'sugarContent': '3 g', 'servingSize': '1 serving'}",4.91,,The Woks of Life,20,4 serving(s)
Steamed Ribs with Glutinous Rice (糯米蒸排骨),Kaitlin,https://thewoksoflife.com/steamed-ribs-glutinous-rice/,Chinese,https://thewoksoflife.com/wp-content/uploads/2018/01/steamed-ribs-sticky-rice-2-1.jpg,"['1 pound pork ribs ((450g, cut into 2-inch pieces––ask your butcher or get out a heavy cleaver!))', '1 piece red fermented bean curd ((mashed))', '1 tablespoon liquid from the red fermented bean curd jar', '1 teaspoon sugar ((divided))', '½ teaspoon sesame oil', '2 tablespoons Shaoxing wine', '½ teaspoon ground white pepper ((divided))', '1 tablespoon minced ginger', '2 scallions ((finely chopped, with the white and green parts separated))', '1 large dried lotus leaf', '2 cups sticky rice ((also called sweet rice or glutinous rice))', '1 teaspoon dark soy sauce', '3 tablespoons light soy sauce', '½ teaspoon salt']","The night before, soak the ribs for 2 hours to remove excess blood and impurities from the meat. Change the water a couple of times in between. Drain, rinse, and pat the ribs dry with a paper towel. Marinate the ribs with the mashed red fermented bean curd, the liquid from the jar, ½ teaspoon sugar, sesame oil, Shaoxing wine, ¼ teaspoon of ground white pepper, 1 tablespoon minced ginger, and the white parts of the scallions. Cover, and let sit in the refrigerator overnight.
Soak a large dried lotus leaf by submerging the whole leaf under water. Use a large plate or bowl to weigh it down and leave it overnight. Handle with care, since these leaves rip easily!
The next day, rinse and soak 2 cups of glutinous rice for an hour, making sure the water is at least 2 inches above the rice line. At the same time, take the marinated ribs out of the refrigerator and bring them to room temperature.
Rinse the lotus leaf front and back with fresh water. Line your bamboo steamer or large heatproof platter (with at least a 2-3 inch depth) with the lotus leaf.
Next, prepare the steamer with water. Make sure there is enough water in the steamer, but not so much that the water will flood the dish. You can always add boiling water if the water levels are low during steaming. Now cover the steamer and turn on the heat to bring the water to a boil.
Drain the soaked glutinous rice. Combine the drained rice with 1 teaspoon dark soy sauce, 3 tablespoons light soy sauce, salt, the remaining ½ teaspoon sugar, the remaining ¼ teaspoon ground white pepper, and the remaining scallions.
Now, mix in the marinated ribs (and the marinade liquid!) until well combined. Pour onto the lotus leaf, and wrap the outer edges of the leaf over the top of the rice. Place the whole thing carefully in the steamer, and steam for 60 minutes over high heat. Check every 10 - 15 minutes to make sure the water in the steamer does not dry out.
Garnish with additional chopped scallions if desired, and serve.",en-US,"{'calories': '396 kcal', 'carbohydrateContent': '52 g', 'proteinContent': '14 g', 'fatContent': '13 g', 'saturatedFatContent': '4 g', 'cholesterolContent': '42 mg', 'sodiumContent': '800 mg', 'fiberContent': '2 g', 'sugarContent': '1 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,540,6 serving(s)
Pork Chive Dumplings,Judy,https://thewoksoflife.com/pork-chive-dumplings/,Chinese,https://thewoksoflife.com/wp-content/uploads/2014/12/pork-chive-dumplings-11-1.jpg,"['7 cups all-purpose flour', '2 1/4 cups water', '1/4 cup oil', '1 1/4 lbs ground pork ((565g))', '1 egg', '7 cups Chinese chives ((chopped finely))', '3 tablespoons sesame oil', '1/4 cup soy sauce', 'salt ((to taste))']","Put the flour in a large mixing bowl. Gradually add the water to the flour and knead into a smooth dough. This process should take about 10 minutes. Cover with a damp cloth and let the dough rest for an hour.
While the dough is resting, prepare the filling. Start by adding the oil to a small pot over medium high heat. Heat the oil for about 7 minutes and allow it to cool. This ""cooking"" of the oil is supposed to bring out a nuttier flavor in the filling. This tip comes straight to you from Willy's mother, a Beijing local, and an authority on dumpling-making!
Once the oil is cooled, add the ground pork to a large bowl, along with the egg, chives, sesame oil, soy sauce, and cooked, cooled oil. At this point, you should make and boil a test dumpling and try it to make sure the taste is to your liking. You can then adjust by adding more salt if needed.
Once the filling tastes right to you, begin assembling the dumplings. The best way to do this is to divide the dough into manageable pieces and then rolling each piece into a rope. Cut them into small pieces (in a size similar to if you were cutting gnocchi, or about the size of the top part of your thumb).
Roll the pieces out into circles, and add about 1 1/2 teaspoons of filling to the center (it helps if you have an assembly line going, with one person cutting out the dough pieces, one person rolling it out, and one person filling/folding).
You can then make folds like you see in our other dumpling post, or you can just fold the circle in half and press them together. Willy's method is to fold the circle in half, press it together at the top, and then make two folds on either side. Whatever way works for you...they don't have to be pretty to taste good.
Place the dumplings about a centimeter apart on a parchment-lined baking sheet. When you're ready to cook, bring a large pot of water to a rolling boil. Carefully drop the dumplings into the water and keep them moving, so they don't stick to the bottom of the pot. Bring back to a slow boil, and cook until they float to the top and the filling is cooked through (about 5 minutes). Serve with our favorite easy-to-make dumpling sauce.",en-US,"{'calories': '477 kcal', 'carbohydrateContent': '57 g', 'proteinContent': '17 g', 'fatContent': '19 g', 'saturatedFatContent': '5 g', 'cholesterolContent': '48 mg', 'sodiumContent': '500 mg', 'fiberContent': '3 g', 'sugarContent': '1 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,130,12 serving(s)
Stir-fried Rice Cakes (Nian Gao),Sarah,https://thewoksoflife.com/stir-fried-sticky-rice-cakes-nian-gao/,Chinese,https://thewoksoflife.com/wp-content/uploads/2013/12/Chinese-rice-cake-stir-fry-20.jpg,"['8 oz. pork shoulder or loin ((julienned))', '1 tablespoon water', '2 teaspoons light soy sauce', '1/2 teaspoon sesame oil', '1/4 teaspoon white pepper', '1 teaspoon vegetable oil', '1 teaspoon cornstarch', '1 pound rice cakes', '8 ounces baby bok choy ((or napa cabbage))', '2 cloves garlic ((coarsely chopped))', '3 scallions ((cut on a diagonal into 1 inch/2.5 cm pieces))', '6 dried shiitake mushrooms ((soaked for 2 hours until reconstituted; can substitute fresh shiitake mushrooms))', '3 tablespoons vegetable oil', '1 tablespoon Shaoxing wine', '1/2-3/4 cup water ((depending on how hot your stove can get; for higher BTU stoves, use up to ¾ cup water) )', '1/2 teaspoon sesame oil', '1 1/2 teaspoons dark soy sauce', '1 tablespoon light soy sauce', '2 teaspoons oyster sauce', '1/4 teaspoon ground white pepper', '1/2 teaspoon sugar', 'salt ((to taste))']","Marinate the julienned pork with the water, light soy sauce, sesame oil, white pepper, vegetable oil, and cornstarch. Allow to sit for 20-30 minutes, while you prepare the rest of the ingredients.
Rinse the rice cakes and drain. If using fresh or frozen rice cakes, you do not have to soak or thaw them. Only soak (according to package instructions) if using dried rice cakes.
Thoroughly wash the baby bok choy (or napa cabbage). Drain, shaking off excess water. If using baby bok choy, separate into individual leaves. If using napa cabbage, cut the large leaves into smaller bite-sized pieces. Also prepare the garlic and scallions.
If using mushrooms, slice them thinly. If using dried shiitake mushrooms, save the soaking liquid.
Place your wok over high heat until it begins to smoke lightly. Add the vegetable oil to coat the wok, and add the pork and garlic. Cook until the pork turns opaque. If using mushrooms, add them now and stir-fry for 1 minute.
Stir in the scallions, bok choy/cabbage, and Shaoxing wine. Stir-fry for 30 seconds, and move everything to the center of the wok to create an even “bed” of vegetables and meat. Distribute the rice cakes on top (this prevents them from sticking to the wok).
Add water (or mushroom soaking water for extra flavor). Depending on how hot your stove gets, you can add 1/2 cup to 3/4 cup. Cover, and cook for 2 minutes to steam the rice cakes and cook the vegetables.
Remove the cover, and add the sesame oil, dark soy sauce, light soy sauce, oyster sauce, white pepper, and sugar. Stir-fry everything together for 1 minute over medium heat. Taste, and season with additional salt if necessary. Continue stir-frying until the rice cakes are coated in sauce, cooked through but still chewy. Plate and serve!",en-US,"{'calories': '484 kcal', 'carbohydrateContent': '64 g', 'proteinContent': '21 g', 'fatContent': '16 g', 'saturatedFatContent': '10 g', 'cholesterolContent': '36 mg', 'sodiumContent': '884 mg', 'fiberContent': '2 g', 'sugarContent': '1 g', 'servingSize': '1 serving'}",4.86,,The Woks of Life,60,4 serving(s)
Chinese BBQ Pork Buns (Baked Char Siu Bao),Sarah,https://thewoksoflife.com/chinese-bbq-pork-buns-cha-siu-bao/,Chinese,https://thewoksoflife.com/wp-content/uploads/2020/11/char-siu-bao-28.jpg,"['2/3 cup heavy cream ((at room temperature))', '1 cup milk ((whole milk preferred, but you can use 2%, at room temperature))', '1 large egg ((at room temperature))', '1/3 cup sugar', '1/2 cup cake flour ((can substitute 1/2 cup all purpose flour sifted with 1 tbsp cornstarch))', '3 1/2 cups bread flour ((tap measuring cup to avoid air pockets))', '1 tablespoon active dry yeast ((or instant yeast))', '1 1/2 teaspoons salt', '2 tablespoons vegetable oil', '1/2 cup shallots ((or onion, finely chopped))', '2 tablespoons granulated sugar', '2 teaspoons light soy sauce', '2 tablespoons oyster sauce', '1 1/2 teaspoons sesame oil', '2 teaspoons dark soy sauce', '¾ cup chicken stock', '2 tablespoons all purpose flour', '2 cups Chinese roast pork', 'egg wash ((1 egg, beaten with 1 tablespoon water) )', '1 tablespoon sesame seeds ((optional))', '1 tablespoon granulated sugar ((dissolved in 1 tablespoon boiling water))']","In the bowl of a stand mixer fitted with the dough hook attachment, add the dough ingredients in the following order. Start with the room temperature heavy cream, milk, and egg. Then add the sugar, cake flour, bread flour, yeast, and salt, in that order.
Turn the mixer on to the lowest setting to bring the dough together. When a scraggly dough has formed, knead on low speed for 15 minutes. If needed, turn off the mixer to bring the dough together with a rubber spatula. Alternatively, you can stir all the dough ingredients together with a wooden spoon in a large mixing bowl, and then knead by hand for 20 minutes.
The dough should stick to the bottom of the bowl, but should not stick to the sides. If you’re in a humid climate, and the dough is sticking to the sides of the mixing bowl, add more flour 1 tablespoon at a time until it comes together.
Shape the dough into a ball, and cover with an overturned plate or damp towel. Place in a warm spot to proof for 75-90 minutes, or until the dough doubles in size. (A good proofing environment is a closed microwave, with a mug of hot boiled water next to the bowl.)
While that’s happening, make the meat filling. Be sure to dice the pork finely rather than in large chunks, so the buns are easier to fill. Heat 2 tablespoons oil in a wok over medium heat. Add the shallot/onion and stir-fry for 2 minutes. Add the sugar, soy sauce, oyster sauce, sesame oil, and dark soy. Stir and cook until it begins to bubble. Add the chicken stock and flour. Reduce the heat to medium low and cook, stirring, for 2-3 minutes, until thickened. Stir in the roast pork.
Turn off the heat, and remove the filling from the wok onto a large plate. Separate the filling into 16 roughly equal piles, to ensure you get an even amount in each bun. Set aside to cool.
After the first proof, knead the dough for another 5 minutes to punch the air out. Dump it onto a lightly floured surface, and shape it into a ball.
Cut it into 16 equal pieces (in half, then quarters, then in quarters again). The best way to ensure you get evenly sized buns is to weigh the entire dough ball, divide the weight by 16, and then weigh out each individual piece to match that weight.
To shape the buns, knead each individual dough ball to punch out any air bubbles and smooth it out. Roll it into a 4-inch circle, with the center slightly thicker than the outer edges.
While assembling the buns, be sure to keep your hands clean. Any grease from the filling on your fingers will make it very difficult to seal them.
Add 1 portion of filling to the bun, and crimp it closed, making sure it’s tightly sealed. Lay them seam side down on baking sheets lined with parchment paper, about 3 inches apart.
Cover with a clean towel and allow to rise at room temperature for another hour.
Arrange two racks in the top and bottom thirds of the oven, and preheat to 400°F/200°C. Brush the buns with egg wash, and sprinkle them with sesame seeds, if using.
Transfer the buns to the oven, and immediately turn down the temperature to 350°F/175°C. Bake for 22-25 minutes, or until golden brown.
Remove from the oven and immediately brush the buns with the sugar syrup while they’re still hot. Cool, and enjoy!",en-US,"{'calories': '258 kcal', 'carbohydrateContent': '33 g', 'proteinContent': '10 g', 'fatContent': '10 g', 'saturatedFatContent': '5 g', 'cholesterolContent': '41 mg', 'sodiumContent': '395 mg', 'fiberContent': '1 g', 'sugarContent': '8 g', 'servingSize': '1 serving'}",4.93,,The Woks of Life,265,16 serving(s)
