title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
Vegetable Noodles With Shrimp,Bill,https://thewoksoflife.com/vegetable-noodles-with-shrimp/,Chinese,https://thewoksoflife.com/wp-content/uploads/2015/04/glass-noodles-shrimp-8-1.jpg,"['1 tablespoon oil', '1 small onion ((diced))', '3 cloves garlic ((minced))', '¼ cup dried shrimp ((soaked, optional))', '1 teaspoon Shaoxing wine', '2 cups chicken stock', '1 teaspoon salt', '½ teaspoon sugar', '8 oz. dried broad bean noodles ((soaked 30 minutes))', '1 medium zucchini ((sliced into noodles))', '1 large carrot ((sliced into noodles))', '2 teaspoons soy sauce', '½ teaspoon sesame oil', '1/8 teaspoon white pepper', '12 oz. large shrimp ((peeled and deveined))', '1 scallion ((julienned))', 'Cilantro ((to garnish, optional))']","Prep all of your ingredients and have them ready before you start cooking. Heat a wok over medium high heat and add the oil, onion, garlic, and dried shrimp. Stir-fry until the onion is translucent. Add the shaoxing wine and stir-fry for another 30 seconds. Add the chicken stock, salt, sugar and broad bean noodles. Turn down heat to low and let everything simmer for about 10 minutes.
Add the zucchini and carrot “noodles,"" along with the soy sauce, sesame oil and white pepper. Turn the heat up to medium and cook for another 5 to 10 minutes, reducing almost all of the liquid. If you like your noodles a bit more soupy, you can add more chicken stock.
Stir in the shrimp and scallions and cook for another 2 minutes, or until the shrimp is just cooked through. Garnish with cilantro and serve!",en-US,"{'calories': '421 kcal', 'carbohydrateContent': '58 g', 'proteinContent': '33 g', 'fatContent': '7 g', 'saturatedFatContent': '1 g', 'cholesterolContent': '383 mg', 'fiberContent': '2 g', 'sugarContent': '4 g', 'servingSize': '1 serving'}",-1.0,,The Woks of Life,55,4 serving(s)
Shrimp Fried Rice,Bill,https://thewoksoflife.com/shrimp-fried-rice/,Chinese,https://thewoksoflife.com/wp-content/uploads/2017/01/shrimp-fried-rice-2-1.jpg,"['2 cups uncooked jasmine rice', '1½ cups water', '1 tablespoon dark soy sauce', '2 teaspoons light soy sauce', '½ teaspoon turmeric', '3 tablespoons canola oil ((divided))', '2 eggs ((beaten))', '12 ounces shrimp ((340g, 51 to 60 size, peeled and deveined))', '1 medium onion ((diced))', '¼ teaspoon salt ((or to taste))', '¼ teaspoon sugar', '¼ teaspoon sesame oil', '¼ teaspoon ground white pepper', '1 cup snow peas ((chopped))', '1 scallion ((chopped))', '1 tablespoon Shaoxing wine']","First, wash the rice, and pour off the excess water. Combine the drained rice with 1 ½ cups water, the soy sauces and turmeric powder in a thick-bottomed pot or your rice cooker. Cook the rice per our instructions for perfect stovetop rice or press the button on your rice cooker! If you have not purchased a rice cooker yet and consider yourself a rice-lover, consider purchasing one! Check out our Chinese Cooking Tools page for more information and some useful links to products.
When the rice is cooked, fluff it with a fork or rice paddle. You will see that you now have a nice uniform golden brown rice. You can use this rice fresh or refrigerate it, and use it the next day. If you use cold refrigerated rice, you’ll have to break it up with your hands before cooking as well as add a sprinkling of water and cover your fried rice when cooking to heat it through.
Now onto the “fried” portion of this fried rice. Heat your wok over medium high heat. Add 1 tablespoon of oil, and add the eggs, scrambling them until they’re just cooked. Use your spatula to break up the large pieces into smaller chunks. You can start scooping them up when they look like they are almost done, and put them back into the same bowl you mixed them in. Set aside. You will cook them again in the rice.
Heat the wok until just smoking, and spread 1 tablespoon oil around the perimeter of the wok. Spread the shrimp out in a single layer, and let them sear for 20 seconds. Stir fry the shrimp until opaque, transfer them back to their bowl, and set aside. Again, they’ll get cooked again in the rice! For the record, when cooking large volumes of shrimp fried rice in restaurants, shrimp are usually pre-boiled (like they do for shrimp cocktail). Wok cooks then grab handfuls of the precooked shrimp for each order, which makes the process go quickly and smoothly, but at home, searing the shrimp definitely makes for better flavor!
With the wok over medium high heat, add the third tablespoon of oil, and sauté the onions until translucent.
Add the rice, using your metal spatula to flatten and break up any remaining clumps. If the rice is cold from the refrigerator, continue stir-frying until the rice is warmed up, which will take about 5 minutes, or sprinkle a tablespoon or two of water around the rice, lower the heat slightly, and cover for one minute to let the steam do some of the work.
Once the rice is warmed (this is very important or the sauce will not mix as well and the color of the rice will not be as uniform), add the salt, sugar, sesame oil, and freshly ground white pepper, and mix with a scooping motion until the rice is evenly coated with the seasonings. The rice should be hot by this time. Now add the shrimp and snow peas, and stir fry for another 30 seconds.
Add the eggs and scallions and continue stir-frying the rice for another 30 seconds. Gather all of the rice into the middle of the wok to let the sides of the wok heat up. After about 20 seconds, spread the Shaoxing wine around the perimeter of the wok, and stir-fry for another 20 seconds. This step gives that little extra wok hei that you taste when you get fried rice from a good Chinese restaurant!
Plate and serve!",en-US,"{'calories': '583 kcal', 'carbohydrateContent': '80 g', 'proteinContent': '29 g', 'fatContent': '15 g', 'saturatedFatContent': '2 g', 'cholesterolContent': '296 mg', 'sodiumContent': '789 mg', 'fiberContent': '2 g', 'sugarContent': '3 g', 'servingSize': '1 serving'}",4.94,,The Woks of Life,40,4 serving(s)
Sesame Panko Crab Cakes with Cilantro Lime Tartar Sauce,Bill,https://thewoksoflife.com/sesame-panko-crab-cakes/,Chinese,https://thewoksoflife.com/wp-content/uploads/2015/05/panko-crab-cakes-9-1.jpg,"['¼ cup mayonnaise', '2 scallions ((chopped))', '2 eggs', '1 tablespoon Dijon mustard', '2 teaspoons Old Bay seasoning', '2 teaspoons lime juice', '1 pound lump crabmeat ((picked over))', '1 1/2 cups panko breadcrumbs ((plus ½ cup))', '2 tablespoons toasted sesame seeds', 'salt and pepper', 'oil ((for cooking))', '½ cup mayonnaise', '2 tablespoons pickles ((chopped))', '2 tablespoons red onion ((chopped))', '¼ cup cilantro ((chopped))', '1 tablespoon lime juice']","Whisk together mayonnaise, scallions, eggs, mustard, Old Bay (you can find it at any major grocery store), and lime juice. Fold in the crab, followed by 1 1/2 cups panko, sesame seeds, and salt and pepper to taste. Divide into 8 equal portions, and form into patties. Refrigerate for 10 minutes.
While the crab cakes are chilling, prepare the tartar sauce by stirring together all the ingredients in a medium bowl. In a non-stick or cast iron skillet, heat 3 tablespoons oil over medium heat. Dredge the crab cakes in the remaining 1/2 cup of panko and fry until golden brown, 3-4 minutes per side. Serve with tartar sauce and lime wedges.",en-US,"{'calories': '299 kcal', 'carbohydrateContent': '10 g', 'proteinContent': '14 g', 'fatContent': '22 g', 'saturatedFatContent': '3 g', 'cholesterolContent': '74 mg', 'sodiumContent': '906 mg', 'fiberContent': '1 g', 'sugarContent': '1 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,35,8 serving(s)
Steamed Scallops with Glass Noodles,Bill,https://thewoksoflife.com/steamed-scallops-noodles/,Chinese,https://thewoksoflife.com/wp-content/uploads/2016/02/steamed-scallops-12.jpg,"['1 bundle mung bean vermicelli noodles', '2 cloves garlic ((finely chopped))', '3 tablespoons canola oil', '1 pound sea scallops ((450g, cleaned and rinsed))', '2 tablespoons light soy sauce', '1/8 teaspoon sugar', '1/3 cup water', '1/4 cup cilantro leaves']","Boil a small pot of water and remove from heat. Immediately add the dry vermicelli noodles and let cook, stirring for 30 seconds. Rinse with cold water and transfer to a colander to drain. Set aside. This step is needed to hydrate and soften the noodles, but be careful not to overcook them!
Heat a saucepan over medium heat. Add the garlic and oil, and stir until just starting to sizzle. Remove from the heat and set aside to cool.
If using a single shallow serving plate, spread the cooked mung bean noodles evenly. If using small dim sum style plates or scallop shells, distribute the noodles evenly (one shell/plate per scallop). Be sure that the dishes you use have enough rim to contain the sauce.
Place the scallops on top of the mung bean vermicelli, and spoon a small amount of garlic on top of each scallop. Add 2 tablespoons of soy sauce, the sugar, 1/3 cup water to the remaining garlic and oil in your pot and bring to a simmer, stirring occasionally. Set aside.
Heat water in your steamer or pot/wok set up with a steamer rack until boiling and turn off the heat. Carefully place the shells/plate(s) of scallops into the steamer and cover tightly. Turn the heat back up to a boil. Steam the scallops for 2 minutes if using medium or large sized scallops and 4 minutes for jumbo scallops like we used in this post.
Immediately remove the scallops from the steamer and pour off some of the liquid if there is too much to safely transfer them. Wet scallops will release more liquid than dry scallops.
Reheat the sauce if needed and distribute it evenly over each scallop until all the sauce is gone. Garnish with cilantro and serve hot!",en-US,"{'calories': '228 kcal', 'carbohydrateContent': '17 g', 'proteinContent': '15 g', 'fatContent': '11 g', 'saturatedFatContent': '1 g', 'cholesterolContent': '27 mg', 'sodiumContent': '949 mg', 'fiberContent': '1 g', 'sugarContent': '1 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,30,4 serving(s)
Stir-fried Shrimp and Eggs,Bill,https://thewoksoflife.com/stir-fried-shrimp-eggs/,Chinese,https://thewoksoflife.com/wp-content/uploads/2014/06/stir-fried-shrimp-egg-1.jpg,"['12 oz. shrimp ((340g, peeled and deveined))', '8 large eggs ((at room temperature; very important))', '1/2 teaspoon salt ((or to taste))', '1/8 teaspoon ground white pepper ((or to taste))', '1 teaspoon sesame oil', '2 scallions ((chopped))', '1/4 cup of Chinese toon sprouts ((xiang chun miao - totally optional))', '1/4 cup canola oil']","Clean your shrimp and take your eggs out of the refrigerator early since it is best to cook them at room temperature. Beat your eggs in a large bowl and add salt, white pepper, and sesame oil. Chop the scallions and wash your toon sprouts, if using. Set aside a bit of chopped scallion and toon sprouts for the garnish and add the rest to the egg mixture.
Boil about 3 cups of water and toss in your shrimp until they just turn pink. This will be very fast. Drain and give them a quick rinse. Add the warm shrimp to your egg mixture.
Next, heat the wok on high until nearly smoking and add 1/4 cup canola oil. Swirl the oil around the wok thoroughly and pour in your egg mixture. Use a wooden spoon or spatula and fold the eggs gently but quickly, kind of like you're making scrambled eggs. You don't want any browned eggs in this dish, just fluffy clouds of egg with your shrimp dispersed throughout.
Once the eggs look done (be careful not to overcook them), transfer to a plate, garnish with scallion/sprouts, and serve with steamed rice.",en-US,"{'calories': '346 kcal', 'carbohydrateContent': '1 g', 'proteinContent': '29 g', 'fatContent': '25 g', 'saturatedFatContent': '4 g', 'cholesterolContent': '542 mg', 'sodiumContent': '1077 mg', 'fiberContent': '1 g', 'sugarContent': '1 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,15,4 serving(s)
Salmon Teriyaki Bowls In 30 Minutes,Bill,https://thewoksoflife.com/salmon-teriyaki-bowls/,Chinese,https://thewoksoflife.com/wp-content/uploads/2016/04/salmon-teriyaki-9-1.jpg,"['1 slice fresh ginger ((smashed with a cleaver))', '1/3 cup low sodium soy sauce', '¼ cup mirin', '¼ cup sake or rice wine', '3 tablespoons honey', '1 teaspoon cornstarch ((mixed into a slurry with 1 teaspoon water))', '4 salmon filets ((with skin, 4 to 6 ounces each))', '1/8 teaspoon salt', 'Fresh ground black pepper to taste', '1/8 teaspoon garlic powder', 'Wasabi ((optional))', '1 teaspoon vegetable oil', '6 cups cooked Japanese short grain rice', 'Toasted sesame seeds', 'Roasted seaweed sheets']","Start by combining the ingredients for the teriyaki sauce (except the cornstarch slurry) in a small saucepan and set aside. Next, prepare your salmon. Sometimes, salmon fillets will have scales still on them. I like to use a serrated knife to carefully scrape them off. Then rinse and pat the salmon dry with a paper towel.
Rub the salmon with salt, pepper, and garlic powder. If using wasabi, you can take a small dab of wasabi and rub it onto each piece of salmon now (you can also just serve it on the side later).
Preheat your oven to 400 degrees F. Take the saucepan you prepared earlier and bring the sauce mixture to a simmer. Stir in the cornstarch slurry, and continue to simmer for 5 minutes, or until the sauce is thick enough to coat a spoon. Turn off the heat.
Add a tablespoon of oil to a cast iron skillet or other thick, oven-proof pan, and place over medium heat. Place the salmon in the pan skin-side down, and brush with a small amount of teriyaki sauce. Be careful not to let the sauce drip down the sides to the pan; if it does get to the pan, it will burn and become bitter. Sear the salmon for 3 minutes.
Brush a bit more teriyaki sauce onto the salmon, again being careful to use just enough so that it doesn’t drip down to the pan, and transfer to the preheated oven. After 3 minutes, brush more sauce on the salmon and then again after another 3 minutes.Use a knife to poke the thickest part of the salmon and spread the meat to take a peek inside. Take the salmon out of the oven early if necessary because there is a world of difference between perfectly cooked and overdone salmon!
After a final 2 minutes of baking, remove the salmon from the oven. (The salmon will have been roasting for a total of 8 minutes). Note: If you like your salmon medium rare, you can reduce the cooking time by 2 or 3 minutes.
Serve the salmon over rice and drizzle with more teriyaki sauce. Sprinkle with toasted sesame seeds and roasted seaweed. Enjoy immediately with more teriyaki sauce and wasabi on the side!",en-US,"{'calories': '688 kcal', 'carbohydrateContent': '99 g', 'proteinContent': '42 g', 'fatContent': '12 g', 'saturatedFatContent': '3 g', 'cholesterolContent': '78 mg', 'fiberContent': '1 g', 'sugarContent': '8 g', 'servingSize': '1 serving'}",4.84,,The Woks of Life,30,4 serving(s)
Shrimp Lo Mein,Bill,https://thewoksoflife.com/shrimp-lo-mein/,Chinese,https://thewoksoflife.com/wp-content/uploads/2016/02/shrimp-lo-mein-5-1.jpg,"['12 oz. shrimp ((340g, 31/40 size, peeled and deveined))', '1 pound fresh pre-cooked lo mein noodles', '½ teaspoon sugar', '1 1/2 tablespoons regular or light soy sauce', '2 teaspoons dark soy sauce', '1 tablespoon oyster sauce', '½ teaspoon sesame oil', '1/8 teaspoon ground white pepper', '3 tablespoons neutral oil ((like vegetable or canola, divided))', '2 cloves garlic ((minced))', '6 fresh button or cremini mushrooms ((sliced))', '1 medium carrot ((julienned))', '1/2 cup bamboo shoots ((sliced))', '1/2 cup water chestnuts', '1 tablespoon Shaoxing wine', '3 cups napa cabbage', '1 cup snow peas ((trimmed))', '1 cup fresh mung bean sprouts', '2 scallions ((split and cut into 2-inch long pieces))']","Take the shrimp and noodles out of the refrigerator, and let them come up to room temperature. One trick for the noodles is to soak the whole bag (unopened) in hot water, which speeds up the warming process without making the noodles soggy.
If you can’t find lo mein noodles, you can actually substitute dried linguini. Just cook until al dente, drain, and immediately toss with 1 tablespoon of vegetable oil, working the oil into the pasta so the noodles don't stick together. Always prepare your noodles just before you are ready to make the dish, so they don’t dry out and remain at room temperature or warmer. This makes the stir-frying process much easier.
Combine the sugar, soy sauces, oyster sauce, sesame oil, and white pepper in a bowl until the sugar is dissolved and set aside. Heat a large wok over high heat until it just starts to smoke, and add 1 tablespoon of oil around the perimeter of the wok. Quickly spread the shrimp around your wok and let them sear for 10-15 seconds on each side. Immediately transfer the shrimp to a plate and set aside.
Return the wok to the highest heat possible and add 2 tablespoons oil, along with the garlic. After a few seconds, add the mushrooms, carrots, bamboo shoots, and water chestnuts and stir-fry for 30 seconds.
Next, spread the Shaoxing wine around the perimeter of the wok, and then add the napa cabbage. Stir-fry for another 30 seconds. Spread the noodles evenly over the vegetables and give everything a good stir for 1 minute. Now, you can see why you want everything at room temperature, or everything will be overcooked and mushy by the time it heats up!
At this point, the noodles should be softened, so add in the sauce mixture you set aside earlier and mix until everything is well combined. Stir-fry for another 30 seconds using a scooping motion, until the sauce is well distributed. Add in the shrimp, snow peas, bean sprouts, and scallions. Mix well for another 2 minutes and serve!",en-US,"{'calories': '328 kcal', 'carbohydrateContent': '38 g', 'proteinContent': '20 g', 'fatContent': '11 g', 'saturatedFatContent': '6 g', 'cholesterolContent': '176 mg', 'sodiumContent': '908 mg', 'fiberContent': '4 g', 'sugarContent': '4 g', 'servingSize': '1 serving'}",4.85,,The Woks of Life,45,6 serving(s)
Salt and Pepper Squid,Kaitlin,https://thewoksoflife.com/salt-pepper-squid/,Chinese,https://thewoksoflife.com/wp-content/uploads/2015/02/salt-and-pepper-squid-6-1.jpg,"['1 1/2 pounds squid ((680g))', '1 tablespoon shaoxing wine', '1/2 teaspoon sesame oil', '5 cups vegetable oil ((for frying; plus 1 tablespoon))', '1/2 cup all-purpose flour', '1/2 cup semolina flour', '1/3 cup plain cornmeal', '1 teaspoon salt ((plus more to taste))', '1/2 teaspoon white pepper ((plus more to taste))', '2 long hot green peppers ((cut lengthwise and sliced thinly))', '5 cloves garlic ((sliced))', '2 teaspoons ginger ((minced))']","First prepare your squid. Rinse it well in cold water. Cut the tentacles off using one cut, keeping about a 1/4 inch of the hood in order to end up with one piece of calamari that includes all the tentacles. If you're using larger squid, you can cut these pieces lengthwise in half in order to make them bite-sized. Having each piece be roughly the same size is important for achieving the same cooking time for each piece of calamari. Drain the squid pieces in a colander and transfer to a bowl.
Marinate the squid in the shaoxing wine and sesame oil. Toss gently and set aside.
In a medium deep pot, add enough oil so that the level of oil reaches 4 inches up the side of the pot. Heat the oil until the temperature reaches 325 degrees.
While you're waiting for the oil to heat, prepare your dry mixture. Combine the all-purpose flour, semolina flour, cornmeal, salt, and white pepper in a medium bowl. Set aside.
When the oil reaches temperature, you're ready to start dredging your squid. Work in batches of small fistfuls of calamari. Gently squeeze off any liquid and dredge the squid in the dry mixture.
Using a long-handled sieve or slotted spoon, lower the calamari into the hot oil. Gently move the calamari pieces back and forth. Let them fry until golden brown, about 2-2 1/2 minutes. Remove all the calamari and let drain on a paper-towel-lined plate. Taste one piece of calamari for saltiness (be careful, it's hot). You can sprinkle more salt immediately after frying to your taste. A necessary step, however, is to crack some fresh white pepper over the freshly fried squid. Continue frying in these small batches and seasoning with white pepper until you've fried all the squid.
Now the next phase: stir-frying the fried squid. Heat a wok over medium-high heat. Add a tablespoon of vegetable oil. Add the ginger and let it fry in the oil. After about 20 seconds, add the garlic. Stir the garlic around the wok quickly in order to prevent burning. When the garlic gets lightly golden in color, add the peppers. Continue to stir fry for another 30 seconds.
Add the squid to the wok and stir fry quickly in the aromatic mixture for about a minute or so. Plate and serve immediately with white rice! And don't leave those crispy pieces of garlic and pepper behind!",en-US,"{'calories': '398 kcal', 'carbohydrateContent': '30 g', 'proteinContent': '22 g', 'fatContent': '21 g', 'saturatedFatContent': '15 g', 'cholesterolContent': '264 mg', 'sodiumContent': '489 mg', 'fiberContent': '2 g', 'sugarContent': '1 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,40,6 serving(s)
Curry Crab,Bill,https://thewoksoflife.com/curry-crab/,Chinese,https://thewoksoflife.com/wp-content/uploads/2014/09/curry-crab-07-1.jpg,"['2 large Maryland blue crabs or similar variety ((or softshell crabs))', '2 tablespoons flour', '3 tablespoons oil', '3 to 5 thin slices fresh ginger', '2 cloves garlic ((chopped))', '3 shallots ((diced))', '1 scallion ((finely chopped))', '1 tablespoon curry powder', '1 teaspoon turmeric powder', '1/2 teaspoon salt', '1/4 teaspoon sugar', '¼ cup water', '1 tablespoon Shaoxing wine']","To prep the crabs, check out our Scallion Ginger Cantonese Crab recipe for very detailed instructions. They should be as fresh as possible! After the crabs are prepared, pat them dry and dredge them with flour. Set aside.
In most restaurants, crabs are almost always deep fried first, so they are cooked quickly and the juices get sealed in. But since we're doing this at home, we don't have to get out the deep fryer. The way to do it is to sear the crabs on all sides to get the same effect. Heat the wok over high heat and add 3 tablespoons of oil. Sear the crabs, paying special attention to the open dredged areas in order to seal in the juices. Turn the heat to medium and fry until they've turned red-orange. This process should take about 5 minutes and the crab should be about 80% done. Set them aside.
There should be a tablespoon or more oil left in the wok and if not, add more until you have at least 1 ½ tablespoons. Add the ginger. Caramelize for 1-2 minutes on low heat, and then add the garlic, shallots, and the white portions of the scallion. Cook until softened.
Turn heat to medium high and add the curry, turmeric, salt, sugar, water and wine, and stir until mixed well. Toss in the crab until coated and cover the wok. Cook for about 1 minute and stir and toss the crab until the liquid is reduced. Garnish with the green portion of the scallions and serve!",en-US,{},5.0,,The Woks of Life,0,2 serving(s)
Thai Basil Pesto Pasta with Spicy Shrimp,Sarah,https://thewoksoflife.com/thai-basil-pesto-pasta-with-spicy-shrimp/,Chinese,https://thewoksoflife.com/wp-content/uploads/2015/05/thai-basil-pesto-pasta-11-1.jpg,"['1 pound dried pasta ((450g))', '2 tablespoons olive oil', '1 pound large shrimp ((450g, peeled and deveined))', 'salt and pepper', '1/2 teaspoon chili powder', '1 cup heavy cream ((235 ml))', '1/3 cup toasted walnuts', '3 cloves garlic', '1 1/2 cups thai basil leaves ((packed))', '2 tablespoons lemon juice', 'salt and pepper ((to taste))', '1/2 cup olive oil', '1/2 cup parmesan cheese']","Bring a large pot of salted water to a boil. Add the pasta, and cook for 1 minute less than the time recommended on the box. Drain.
Meanwhile make the pesto. In a food processor, add the walnuts and garlic and puree. Add the basil, lemon juice, salt, and pepper, and run the food processor, gradually streaming in the olive oil until the pesto is thoroughly pureed. Add the Parmesan and puree for another 30 seconds. Set aside.
In a separate skillet heated over medium high heat, add 2 tablespoons of olive oil. Season the shrimp with salt, pepper, and chili powder. Sear the shrimp until golden and just cooked through. Do not overcook your shrimp! Remove the shrimp from the pan and set aside.
To the pan, add the cream, pesto and salt and pepper to taste. Cook for about 1 minute, until thickened slightly. Stir in the pasta and continue cooking for another minute. Serve, with the shrimp on top.",en-US,"{'calories': '580 kcal', 'carbohydrateContent': '45 g', 'proteinContent': '23 g', 'fatContent': '34 g', 'saturatedFatContent': '11 g', 'cholesterolContent': '188 mg', 'sodiumContent': '849 mg', 'fiberContent': '2 g', 'sugarContent': '2 g', 'servingSize': '1 serving'}",-1.0,,The Woks of Life,30,8 serving(s)
