title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
Suan La Fen,Judy,https://thewoksoflife.com/suan-la-fen-hot-sour-sweet-potato-glass-noodle-soup/,Chinese,https://thewoksoflife.com/wp-content/uploads/2020/06/suan-la-fen-14.jpg,"['3 tablespoons roasted soybeans ((or roasted peanuts))', '100 g dried sweet potato noodles ((100g = 3.5 oz.))', '2 1/2 cups low sodium stock ((chicken, pork, or vegetable stock))', '1 slice ginger ((minced))', '2 cloves garlic ((minced))', '1 teaspoon toasted sesame seeds', '1 teaspoon Sichuan chili flakes ((or to taste; can substitute regular pepper flakes))', '2 tablespoons vegetable oil', '2 tablespoons Chinese black vinegar ((or to taste))', '2 tablespoons light soy sauce ((or to taste))', '1/2 teaspoon dark soy sauce', '1/2 teaspoon sugar', '1/2 teaspoon Sichuan peppercorn powder', '1/4 teaspoon white pepper', '1/2 teaspoon sesame oil', '1 tablespoon chili oil', '1/4 cup pickled mustard stems ((za cai; or any pickled vegetable you have on hand))', '1 scallion ((finely chopped))', '1 tablespoon cilantro ((chopped; or to taste))']","You can use store-bought roasted soybeans or peanuts, but if using dried soybeans like I did, soak them for at least 3 hours and drain thoroughly. Over low heat, add a few tablespoons of vegetable oil, and wok-fry the soaked soybeans for at least 15 minutes, until fragrant and nutty. Remove from the wok and set aside to cool completely (leave any remaining oil in the wok behind to cook the rest of the dish). If wok-frying peanuts, follow these instructions for traditional Wok Roasted Peanuts.
Bring a pot of water to a boil, and cook the noodles according to package instructions. Some brands may require you to soak the noodles overnight, but you can simply boil them until relatively tender (they’ll still be chewy). Once cooked, drain and rinse in cold running water. Set aside.
Heat your stock in a separate pot. Keep it at a low simmer. If you don’t have stock, you can use hot boiling water.
To the bottom of your noodle bowl, add the ginger, garlic, sesame seeds, and pepper flakes. Heat 3 tablespoons oil until it’s shimmering and smoking lightly, and pour over the ingredients in the soup bowl. They’ll sizzle and become fragrant!
Stir the sizzling ingredients, and add the vinegar, soy sauces, sugar, Sichuan peppercorn powder, white pepper, sesame oil, and chili oil.
Pour the hot stock into the bowl, and mix well. Add the cooked noodles, and top with the pickled mustard stems, scallions, cilantro, and roasted soybeans/peanuts. Taste for seasoning and adjust if needed. Serve!",en-US,{},5.0,,The Woks of Life,35,2 serving(s)
Tomato Egg Drop Soup,Judy,https://thewoksoflife.com/tomato-egg-drop-soup/,Chinese,https://thewoksoflife.com/wp-content/uploads/2019/06/tomato-egg-drop-soup-10.jpg,"['2 tablespoons oil', '10 ounces tomatoes ( (1 large or 2 small, about 280g; cut into small chunks))', '1 cup chicken stock ((235 ml))', '2 cups water ((or more chicken stock; 470 ml))', '2 teaspoons light soy sauce', '1/2 teaspoon sesame oil', '1/4 teaspoon white pepper', 'salt ((to taste))', '1 egg ((beaten))', '1 1/2 teaspoons cornstarch ((mixed with 2 tablespoons water)', '1 scallion ((finely chopped))', '2 tablespoons cilantro ((chopped, optional))']","Heat the oil in a soup pot or wok over medium low heat. Add the tomato chunks and stir-fry for 5 minutes until the tomatoes are softened and start to fall apart.
Add in 1 cup chicken stock, 2 cups water, 2 teaspoons light soy sauce, 1/2 teaspoon sesame oil, 1/4 teaspoon ground white pepper and salt to taste. Bring to a boil, and then lower the heat so that the soup is simmering with the lid on.
Now quickly beat the egg in a small bowl and prepare the cornstarch slurry in a separate bowl.
Use a ladle to slowly swirl the soup in a whirlpool motion. Keep swirling as you pour in the cornstarch slurry until well incorporated. Now pour a thin stream of egg into the middle of the whirlpool as you slowly swirl the soup. This is how you get that pretty egg drop effect.
Serve hot or at room temperature. Ladle the soup into bowls and garnish with chopped scallions and cilantro, if using.",en-US,"{'calories': '110 kcal', 'carbohydrateContent': '5 g', 'proteinContent': '4 g', 'fatContent': '9 g', 'saturatedFatContent': '1 g', 'cholesterolContent': '41 mg', 'sodiumContent': '357 mg', 'fiberContent': '1 g', 'sugarContent': '2 g', 'servingSize': '1 serving'}",4.8,,The Woks of Life,15,4 serving(s)
Leftover Thanksgiving Turkey Ramen,Sarah,https://thewoksoflife.com/turkey-ramen/,Chinese,https://thewoksoflife.com/wp-content/uploads/2015/11/turkey-ramen-2-1.jpg,"['1 leftover turkey carcass ((plus any leftover vegetables from your roasting pan))', '6 scallions ((divided))', '8 slices ginger', '6 dried shiitake mushrooms', '16 cups water', '4 eggs', '4 oz. bacon ((110g))', '4 portions fresh ramen noodles', '2 cups leftover turkey ((shredded))']","Remove most of the meat that's left from your turkey carcass, shred, and set aside. Put the carcass and the leftover vegetable from your roasting pan in a large stockpot along with 3 scallions, ginger slices, shiitake mushrooms, and water. Bring to a boil, and lower the heat to a simmer. Simmer for 3 hours. Our turkey was about 13 lbs and we used 14 cups to make this stock. Depend on the size of your bird, adjust the water accordingly.
Meanwhile, prepare your eggs and bacon. Put the eggs in a small saucepan and cover with cold water (the water should cover the eggs by about an inch). Bring to a boil. Once the water’s boiling, immediately remove the pot from the heat and let sit for 4 minutes. Transfer the eggs to an ice bath to cool. Cook the bacon in a pan until crisp. Drain on paper towels, chop, and set aside. Also take the time to chop the 3 remaining scallions.
Once the broth is done simmering, prepare the fresh noodles according to the package directions. Divide the noodles among 4 bowls and cover with broth. To each bowl, add some shredded turkey, chopped scallions, chopped bacon, and an egg. Serve.",en-US,"{'calories': '721 kcal', 'carbohydrateContent': '65 g', 'proteinContent': '50 g', 'fatContent': '38 g', 'saturatedFatContent': '14 g', 'cholesterolContent': '259 mg', 'fiberContent': '3 g', 'sugarContent': '3 g', 'servingSize': '1 serving'}",-1.0,,The Woks of Life,185,4 serving(s)
Vegetarian Hot & Sour Soup,Sarah,https://thewoksoflife.com/vegetarian-hot-sour-soup/,Chinese,https://thewoksoflife.com/wp-content/uploads/2020/10/vegetarian-hot-and-sour-soup-8.jpg,"['0.35 oz. dried lily flowers ((rehydrated, ½ cup after rehydrating))', '0.35 oz. dried wood ear mushrooms ((½ cup after rehydrating & slicing))', '0.7 oz. dried shiitake mushrooms ((⅔ cup after rehydrating & slicing))', '3 oz. spiced dry tofu', '4 oz. fresh firm tofu', '7 cups vegetable or mushroom stock', '1/2 teaspoon salt ((or to taste))', '1/4 teaspoon sugar', '1-2 dried red chili peppers ((deseeded and chopped, optional))', '1-2 teaspoons ground white pepper ((or to taste))', '1 1/2 teaspoons mushroom flavored dark soy sauce ((or regular dark soy sauce))', '1 tablespoon light soy sauce ((or seasoned soy sauce))', '1 teaspoon sesame oil', '5 oz. bamboo shoots ((1 small can))', '1/4-1/3 cup white vinegar', '1/4 cup cornstarch ((mixed with 1/4 cup/60 ml water))', '1 large egg ((beaten))', '1 scallion ((chopped))']","In separate bowls, soak the dried lily flowers, wood ears, and shiitake mushrooms in 1 cup of hot water each for 1 hour, until hydrated. Reserve the shiitake mushroom soaking water.
Trim the tough ends off the lily flowers and cut them in half. Roughly chop the wood ears, and thinly slice the shiitake mushrooms. Cut the spiced tofu into thin 2 inch-long slices. Cut the tofu into ¼ inch thick pieces, also about 2 inches long.
Add the stock and strained mushroom soaking water to a large soup pot, and bring to a boil. Add the salt, sugar, dried chili pepper (if using), white pepper, dark soy sauce, light soy sauce, and sesame oil.
Next, add the lily flowers, wood ears, shiitake mushrooms, and bamboo shoots. Bring the soup to a simmer, and stir in the spiced tofu, firm tofu, and vinegar.
Combine the cornstarch with ¼ cup water to make a slurry. Ensure it’s well-combined, as the cornstarch tends to settle to the bottom of the bowl.
Bring the mixture to a simmer and use your soup ladle to stir the soup in a steady circular motion to make a whirlpool while slowly drizzling in the cornstarch slurry. This prevents the cornstarch from clumping. Simmer for another 30 seconds to thicken. (You can make/add more cornstarch slurry if you like your soup thicker, but don’t go overboard!)
Taste the soup and adjust seasonings to your preference. Add more white pepper if you like it spicier. You can also add more vinegar, soy sauce, or salt.
With the soup simmering/bubbling lightly, stir the soup in a circular motion once again. Slowly pour the beaten egg into the soup in a thin stream. When the egg is cooked, add the scallions, and serve!",en-US,"{'calories': '66 kcal', 'carbohydrateContent': '8 g', 'proteinContent': '4 g', 'fatContent': '2 g', 'saturatedFatContent': '1 g', 'cholesterolContent': '23 mg', 'sodiumContent': '943 mg', 'fiberContent': '1 g', 'sugarContent': '3 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,80,8 serving(s)
Pork and Chicken Stock,Judy,https://thewoksoflife.com/pork-chicken-stock/,Chinese,https://thewoksoflife.com/wp-content/uploads/2018/06/chicken-pork-stock-5.jpg,"['2 1/4 pounds chicken parts/bones', '2 1/4 pounds pork bones ((it’s best to have some meat still on the bone; pork neck bones are ideal))', '16 cups water', '4 slices ginger', '3 scallions']","Soak 2 pounds of chicken bones and 2 pounds of pork bones in water for about 1 hour in order to get rid of any blood or impurities. It’s best to change the water 1 to 2 times over the course of this process. Drain and set aside. This step will help ensure you get a clear stock.
Add all the stock ingredients (except the salt) to a large stock pot, and bring to a boil on the stove. Once boiling, immediately reduce the heat to low. Skim away any impurities (foam, large floating particles, etc.) that float to the top. Simmer at your stove’s lowest setting for at least 5 hours. To help you gauge the right heat level, the liquid in the pot should be moving slowly, but there shouldn’t be any large bubbles.
A slow simmer cooks the stock and keeps it clear at the same time. When the stock finishes cooking, turn off the heat, and let it cool before storing the stock in freezer containers. Please use clean utensils throughout this process. The stock will keep in the refrigerator for a week, and for months if kept in the freezer.",en-US,"{'calories': '86 kcal', 'carbohydrateContent': '8 g', 'proteinContent': '6 g', 'fatContent': '3 g', 'saturatedFatContent': '1 g', 'cholesterolContent': '7 mg', 'sodiumContent': '343 mg', 'sugarContent': '4 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,390,12 serving(s)
Vegan Ramen,Sarah,https://thewoksoflife.com/vegan-ramen/,Chinese,https://thewoksoflife.com/wp-content/uploads/2019/08/vegan-ramen-4.jpg,"['1/2 napa cabbage', '2 tablespoons vegetable oil ((divided))', '7 slices ginger ((20g or 0.7 oz.))', '2 cloves garlic ((peeled and cut in half))', '2 cubes white fermented bean curd ((23g or 0.8 oz.))', '1 large onion ((peeled and quartered))', '1 pound carrots ((450g, peeled and cut into large chunks))', '8 scallions ((ends removed))', '8 ounces daikon radish ((225, peeled and cut into chunks))', '1 5x5 inch piece dried kelp (kombu) ((13x13 cm, rinsed))', '16 dried shiitake mushrooms ((rinsed))', '16 cups water ((1 gallon, or about 4 L))', 'salt ((to taste))', '2 1/2 teaspoons spicy bean sauce ((la doubanjiang))', '1 tablespoon white miso paste', '1/2 teaspoon sesame oil', '1 1/2 cups unsweetened soy milk', '1 tablespoon oil', '1 cup frozen corn', '1 pound fresh ramen noodles ((450g))', '8 ounces baby bok choy ((225g))', '1/2 cup chili bamboo shoots ((see photo in post))', '2 scallions ((chopped))', 'toasted nori (seaweed)']","Make the stock (skip this step if you already pre-made the vegetable stock)
Preheat oven to 375 degrees F. Take your napa cabbage half, and cut it in half again lengthwise. Place the cabbage on a sheet pan and drizzle lightly with oil. Roast for 25 minutes.
Meanwhile, in a large stockpot, heat 1 tablespoon oil over medium heat. Add the ginger and garlic and cook for 2 minutes, until fragrant but not browned. Add the fermented bean curd and cook for another minute. Then add the onion, carrots, scallions, daikon, kelp, dried shiitake mushrooms, and water. When the napa cabbage is done roasting, add it to the pot as well.
Bring to a boil, turn the heat down to low, and simmer with the lid on for 4 hours. Strain the stock, and season with salt to taste.
Create the ramen broth:
In a separate pot over medium heat, add a tablespoon of oil. Fry the spicy bean paste for 1 minute. Then strain the stock into the pot (you will need about 8 cups to make 4 bowls of ramen).
Add the miso paste and sesame oil, stirring until the miso paste is dissolved. Stir in the soy milk. Taste for seasoning and season with salt if desired. Keep over low heat (do not boil, or the soy milk will curdle), cover, and leave on the stove while you assemble the rest of the ingredients.
Assemble the ramen:
Bring a pot of water to a boil for the noodles and bok choy. Meanwhile, heat a skillet over medium high heat and add a tablespoon of oil. Add the corn and season with salt. Sautee the frozen corn until it’s tender and heated through.
Meanwhile, your water should be boiling. Cook the ramen noodles according to the package instructions. Blanch the bok choy for 30 seconds in the same pot you’re using to boil the noodles.
Ladle your ramen broth into 4 bowls. Add the noodles, and top with the cooked corn, blanched bok choy, chili bamboo shoots, scallions, and nori. Serve!",en-US,{},5.0,,The Woks of Life,300,4 serving(s)
Chicken Khao Soi (Thai Coconut Curry Noodle Soup),Sarah,https://thewoksoflife.com/chicken-khao-soi/,Chinese,https://thewoksoflife.com/wp-content/uploads/2020/03/khao-soi-9.jpg,"[""2 Thai bird's eye chilies"", '2 medium shallots', '6 cloves garlic', '1-inch piece ginger ((peeled and sliced))', '1/4 cup cilantro ((stems and leaves, rinsed))', 'zest of 1 lime', '2 teaspoons ground turmeric', '2 teaspoons ground coriander', '1 teaspoon curry powder', '2 tablespoons shrimp paste', '2 tablespoons vegetable oil', '1 pound boneless, skinless chicken thighs ((sliced))', '2 tablespoons Thai red curry paste', '4 cups low sodium chicken stock', '2 teaspoons brown sugar', '14 ounces unsweetened coconut milk', '3 tablespoons fish sauce ((or to taste))', '1 pound fresh Chinese egg noodles ((thick wonton noodles work well))', 'thinly sliced shallots', 'lime wedges', 'pickled mustard stems/greens', 'crispy noodles', 'chopped cilantro', 'Thai chili paste ((Nam Prik Pao))']","Add all the curry paste ingredients to a food processor and pulse until you get a smooth paste.
Heat oil in a large pot over medium high heat. Add 2 tablespoons vegetable oil and stir-fry the chicken until browned. Remove from the pot and set aside. To the fat left in the pot, add the paste. Fry for 3-5 minutes, until fragrant. Add the canned Thai red curry paste, broth, and brown sugar, and bring to a boil.
Reduce the heat to low. When the broth is at a low simmer, add the coconut milk and fish sauce. Add the chicken back to the broth.
Meanwhile, cook the noodles according to package instructions.
To serve, divide the noodles among 4 bowls. Cover with chicken and broth, and garnish with sliced shallots, lime wedges, pickled mustard greens, fried noodles, cilantro, and Thai chili paste.",en-US,"{'calories': '689 kcal', 'carbohydrateContent': '46 g', 'proteinContent': '41 g', 'fatContent': '40 g', 'saturatedFatContent': '29 g', 'cholesterolContent': '226 mg', 'sodiumContent': '1457 mg', 'fiberContent': '5 g', 'sugarContent': '8 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,60,4 serving(s)
"Carrot Pea Soup with Pancetta, Basil & Mint",Sarah,https://thewoksoflife.com/springtime-carrot-pea-soup-w-pancetta-basil-mint/,Chinese,https://thewoksoflife.com/wp-content/uploads/2014/04/carrot-pea-soup-9-1.jpg,"['2 tablespoons butter', 'olive oil', '2 onions ((peeled and chopped))', '2 large carrots ((peeled and chopped))', 'salt and pepper', '5 cups chicken broth ((or vegetable broth))', '½ cup milk', '2 tablespoons sour cream ((can substitute crème fraiche or cream cheese))', '1 tablespoon mint ((chopped))', '2 tablespoons freshly squeezed lemon juice', '4 oz. bacon ((or pancetta))', '3 cups peas ((fresh or frozen & thawed))', 'basil ((to garnish))']","Start by melting 1 tablespoon of butter and a tablespoon of olive oil in a pot or Dutch oven over medium heat. Add half of the onions and cook for about 5 minutes, until just starting to get golden. Add the carrots and cook for another few minutes. Season with salt and pepper.
Add 2 cups broth. Bring to a simmer and cook until the carrots are fork tender, about 10 minutes. Remove from heat. And ½ cup milk and the sour cream or other creamy component of choice. Carefully pour the mixture into a blender along with the mint and lemon juice. Puree until smooth and set aside (add a bit of water if it’s too thick).
In your pot, add the pancetta and cook until crisp. Remove from the pan and set aside. Melt the second tablespoon of butter in the pan and sweat the rest of the onions. Then add your peas. Sautee for a couple minutes and add 3 cups of broth. Season with salt and pepper. Bring to a boil and simmer until the peas are just tender, about 3-5 minutes.
Puree the pea soup in a clean blender until very smooth. Add a bit of water if it’s too thick. To achieve the swirl effect, pour both soups into the bowls at the same time, at the same speed. Garnish with the crispy bacon/pancetta, the basil leaves, and a light drizzle of olive oil. Serve warm or at room temperature.",en-US,"{'calories': '268 kcal', 'carbohydrateContent': '20 g', 'proteinContent': '12 g', 'fatContent': '17 g', 'saturatedFatContent': '7 g', 'cholesterolContent': '27 mg', 'sodiumContent': '604 mg', 'fiberContent': '5 g', 'sugarContent': '8 g', 'servingSize': '1 serving'}",-1.0,,The Woks of Life,60,6 serving(s)
“Pho” Ramen (Over a Campfire…Or Your Stove!),Kaitlin,https://thewoksoflife.com/pho-ramen/,Chinese,https://thewoksoflife.com/wp-content/uploads/2016/06/camping-ramen-7-1.jpg,"['1 tablespoon oil', '½ a red onion ((thinly sliced and divided into two portions––one large and one small))', '1/4 cup sliced beef jerky', 'Enough water to cook the noodles per package instructions', '1 packet beef-flavored instant ramen', '1 handful of any kind of leafy green vegetables', 'Juice of half a lime ((feel free to add more or less to taste))']","Put your pot over the flame, and add the oil.
When the oil in the pot is hot (you can add a test piece of onion to check it out), add the large portion of your sliced onions. Stir for a minute, letting them caramelize. Add the beef jerky and cook for 2-4 minutes.
Add enough water to the pot to meet your soup preferences, and bring to a boil. Add in the ramen seasoning packet, ramen noodles, and vegetables and cook per package instructions. When the noodles are cooked through, sprinkle the raw onion over the top, squeeze in the lime juice, and serve!",en-US,"{'calories': '548 kcal', 'carbohydrateContent': '62 g', 'proteinContent': '12 g', 'fatContent': '29 g', 'saturatedFatContent': '8 g', 'cholesterolContent': '2 mg', 'sodiumContent': '1861 mg', 'fiberContent': '4 g', 'sugarContent': '4 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,10,1 serving(s)
Indian Lentil Soup with Garlic Naan,Kaitlin,https://thewoksoflife.com/indian-lentil-soup/,Chinese,https://thewoksoflife.com/wp-content/uploads/2015/12/indian-lentil-soup-13-1.jpg,"['3 cups petite yellow or red lentils ((or a mixture of the two))', '5-6 cups water ((can add more for desired consistency))', '4 cups chicken stock or vegetable stock ((1 liter))', '3 curry leaves', '1 cup onion ((diced))', '8 cloves garlic ((minced))', '2 teaspoons ginger ((minced))', '2 jalapenos ((finely chopped))', '½ teaspoon mustard seeds', '1 teaspoon coriander seeds', '2 tablespoons oil', '1 tablespoon butter', '1 teaspoon garam masala', '¾ teaspoon cumin', '1 teaspoon turmeric', '1 teaspoon ground fenugreek', '½ teaspoon chili powder', '½ cup tomato puree', '2 teaspoons salt', 'Store-bought naan', 'Softened butter', '2 cloves minced garlic', '1 tablespoon finely chopped cilantro']","Rinse the lentils thoroughly (sometimes there will be small dirt clods or particles) and drain. Add the lentils, water, chicken stock, and curry leaves to a large pot. Let boil for 20 min.
While that's happening, prepare the onion, garlic, ginger, and jalapenos. Grab your mustard and coriander seeds and grind coarsely in a mortar and pestle.
After the 20 minutes has gone by, heat the oil and butter in a saucepan over medium-high heat. Add the ground mustard and coriander seeds. Let fry gently for a minute or so. Next, add the ginger and let fry gently. Add the onions and cook until translucent. When the onions are translucent, add the garlic, jalapenos, and the rest of the spices. Sauteé for a few minutes, stirring to combine. Next, add the tomato purée. Cook for another 1-2 minutes.
Add the entire onion mixture to the soup pot and season with salt. Stir well and let cook for an addition 10-20 minutes. Season with additional salt to taste, and serve with naan on the side!
For the quick garlic naan, grab one store-bought naan, spread some softened butter over one side, then sprinkle the minced garlic and chopped cilantro over the top. Broil in your oven or toaster oven and bake until golden brown and the garlic is slightly crisped. Smear with a little more softened butter when it comes out of the oven, and serve!
This soup keeps pretty well in the fridge. It has a tendency to thicken up, so don't hesitate to add a little water before reheating to loosen things up again.",en-US,"{'calories': '218 kcal', 'carbohydrateContent': '32 g', 'proteinContent': '14 g', 'fatContent': '4 g', 'saturatedFatContent': '1 g', 'cholesterolContent': '3 mg', 'sodiumContent': '433 mg', 'fiberContent': '15 g', 'sugarContent': '2 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,80,12 serving(s)
