title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
Quick and Easy Braised Tofu (Hongshao Dofu),Sarah,https://thewoksoflife.com/quick-easy-braised-tofu-hongshao-dofu/,Chinese,https://thewoksoflife.com/wp-content/uploads/2013/12/DSC_0192-1.jpg,"['1 tablespoon cornstarch', '1 tablespoon water', '1 pound medium firm tofu ((450g))', '¼ cup fresh shiitake mushrooms ((or reconstituted dried mushrooms, sliced))', '1 ½ cups chicken stock ((or vegetable stock to make it vegetarian))', '1 tablespoon oyster sauce ((optional, or use a vegetarian oyster sauce made from mushrooms))', '½ teaspoon sesame oil', '1 tablespoon light soy sauce', '1 teaspoon dark soy sauce', '1 tablespoon shaoxing wine', '½ teaspoon sugar', '½ teaspoon salt', '1 tablespoon oil', '1 clove garlic ((minced))', '1 cup snow peas ((washed and trimmed))', '1 small carrot ((thinly sliced))', '1 small red bell pepper ((sliced))', '¼ cup bamboo shoots ((optional, sliced))']","Mix cornstarch and water into a slurry in a small bowl and set aside. Drain the tofu of excess liquid and cut into ½ inch thick slices. Wash and slice your mushrooms. If you are using the dried mushrooms, wash about 4 of them, soak in hot water for an hour, and trim the stems for before slicing.
Make a stock mixture by combining the stock, oyster sauce, sesame oil, soy sauces, shaoxing wine, sugar, and salt in a bowl.
Heat the wok over high heat and add the oil. Spread the tofu in 1 layer in the wok. Sear each side for about a minute. If you need more time to turn the tofu, reduce the heat to medium and take your time! Add the garlic to the wok.
After another minute, add the stock mixture and the mushrooms. Return the heat to high if it’s not already there. Give the wok a shake to prevent the tofu from sticking. When the mixture comes to a boil, lower the heat to medium, cover and let cook for about 5 minutes. Some of the liquid should evaporate.
Remove the cover, turn the wok back up to high heat and add your vegetables. Gently toss them with the tofu, being careful not to break the tofu pieces. Quickly add the cornstarch slurry a little at a time to thicken the remaining liquid just enough to coat tofu and vegetables. If the sauce is too thick, just add more water or stock. If it’s too thin, add more slurry. Give the dish a final toss, and serve immediately with some steamed rice.",en-US,"{'calories': '199 kcal', 'carbohydrateContent': '14 g', 'proteinContent': '14 g', 'fatContent': '10 g', 'saturatedFatContent': '1 g', 'sodiumContent': '795 mg', 'fiberContent': '3 g', 'sugarContent': '5 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,20,4 serving(s)
Chinese Tofu Sheet Stir-Fry (千张肉丝),Judy,https://thewoksoflife.com/chinese-tofu-sheets-stir-fry/,Chinese,https://thewoksoflife.com/wp-content/uploads/2019/10/tofu-skin-stir-fry-14.jpg,"['6 ounces boneless pork shoulder or loin ((or chicken thigh/breast meat, about 180g))', '1 teaspoon Shaoxing wine', '1 teaspoon light soy sauce', '1/4 teaspoon sesame oil', '1 teaspoon water', '1/2 teaspoon cornstarch', '1/8 teaspoon white pepper', '2 1/2 tablespoons vegetable oil', '2 slices ginger ((julienned))', '2 cloves garlic ((roughly chopped))', '1/4 teaspoon dark soy sauce', '8-10 ounces tofu sheets ((250g, cut into bite-sized pieces))', '4 long hot green peppers ((cut into bite-sized strips))', '1 tablespoon Shaoxing wine', '1 tablespoon light soy sauce', '1/4 teaspoon sugar', '1/2 teaspoon sesame oil', '1/4 teaspoon white pepper']","Julienne the meat to ¼-inch thickness. Mix the meat together with the marinade ingredients until there is no visible standing liquid. Marinate for 15-20 minutes while you prepare everything else.
Preheat the wok over high heat. When the wok starts smoking, add 2½ tablespoons oil. Immediately reduce the heat to medium, and cook the ginger for 30 seconds. Add the garlic and cook for another 15 seconds.
Next, add in the pork, turn the heat back up, and cook for 1-2 minutes until the pork has cooked through. Resist the urge to stir too much, so the pork can brown lightly.
Reduce the heat to medium, and add ¼ teaspoon dark soy sauce. Stir-fry everything well. Add the tofu sheets and peppers. Stir fry everything together, and season with 1 tablespoon Shaoxing wine, 1 tablespoon light soy sauce, ¼ teaspoon sugar, ½ teaspoon sesame oil, and ¼ teaspoon white pepper powder.
Turn up the heat, and stir-fry everything together for 1-2 minutes. The dish is complete when the peppers are just tender, but still slightly crisp. As you stir-fry, keep an eye on the sauce: if the food is too dry and beginning to stick or burn, add a tablespoon of water. If you end up with an excess of visible sauce, keep stir-frying with the heat on high until everything is just lightly coated in sauce.",en-US,"{'calories': '277 kcal', 'carbohydrateContent': '6 g', 'proteinContent': '15 g', 'fatContent': '12 g', 'saturatedFatContent': '8 g', 'cholesterolContent': '26 mg', 'sodiumContent': '570 mg', 'fiberContent': '2 g', 'sugarContent': '3 g', 'servingSize': '1 serving'}",4.34,,The Woks of Life,30,4 serving(s)
Spicy Garlic Tofu Stir Fry,Kaitlin,https://thewoksoflife.com/spicy-garlic-tofu/,Chinese,https://thewoksoflife.com/wp-content/uploads/2013/06/spicy-garlic-tofu-1.jpg,"['1 pound firm tofu ((450g, cut into 1” cubes))', '10 cloves garlic ((thinly sliced))', '3 oz. ground pork ((85g))', '2 large shallots ((finely chopped))', '3 tablespoons oil', '1 tablespoon hoisin sauce', '1 tablespoon spicy bean sauce ((doubanjiang))', '1/2 cup Shaoxing wine', '1/4 teaspoon ground white pepper', '1 teaspoon sugar', '2 teaspoons sesame oil', '1.5 cup chicken stock ((or vegetable stock))', '1 tablespoon cornstarch ((mixed into a slurry with 1 tablespoon water))', '1 scallion ((chopped))']","Heat the oil in your wok over medium heat. Stir in the garlic for half a minute, or until it starts to go golden.
Add the ground pork and stir fry until browned. Add the chopped shallots and turn up the heat to high, cooking until shallots are translucent. Stir in both bean pastes, sesame oil, ground white pepper, sugar, and wine. Let the sauce bubble until it has a thick, rich consistency.
Add the stock to thin out the sauce. Then add the tofu and stir it all together gently, careful not to break it up too much. Cover and let it simmer for about 2 minutes.
Remove lid to add the cornstarch slurry and scallion. Gently mix until the sauce is thickened and the scallions are cooked. Plate and serve hot!",en-US,"{'calories': '363 kcal', 'carbohydrateContent': '15 g', 'proteinContent': '17 g', 'fatContent': '23 g', 'saturatedFatContent': '3 g', 'cholesterolContent': '15 mg', 'sodiumContent': '248 mg', 'fiberContent': '2 g', 'sugarContent': '4 g', 'servingSize': '1 serving'}",4.5,,The Woks of Life,15,4 serving(s)
How to Make Soy Milk at Home,Kaitlin,https://thewoksoflife.com/how-to-make-soy-milk/,Chinese,https://thewoksoflife.com/wp-content/uploads/2017/02/how-to-make-soy-milk-6-1.jpg,"['10 ounces soybeans ((285g, soaked overnight))', '12 cups water', '1/8 teaspoon salt', 'Sugar ((to taste, optional))']","First, rinse your soybeans, put in a large bowl, and completely submerge with cold water. Set aside and let soak overnight.
The next day, rinse the soybeans a couple of times and transfer to a large pot. Add 12 cups of water to the beans, and bring to a boil using high heat and continue to cook for 10 more minutes using medium heat.
Next, blend the soybeans and water in batches until completely smooth. We used our Blendtec’s “smoothie” setting. Transfer the blended soybean mixture to another pot and let simmer for 40 minutes. Watch it carefully, as it’s easy for the soymilk to boil over! Towards the end of the 40 minutes, add salt and sugar to taste (if using), stirring to dissolve.
After 40 minutes, strain the soymilk through a fine cheesecloth. It’s ideal to use cheesecloth, which will result in the cleanest and smoothest soy milk, but you can also use a fine-meshed strainer, as we did. If you use a fine-meshed strainer, you’ll want to let your soy milk settle before using it, as there will be some soybean solids at the bottom of whatever bottle or container you use to store it. This is especially important if you’re using the soymilk for coffee. If you’re using it for baking or to make a Chinese dish like Dou Jiang, a few solids are just fine.
Transfer the soymilk to a bottle, jar, or other airtight container and store in the fridge on the top shelf in the back to preserve it for longer! It’s best to finish it as soon as you can--we wouldn’t recommend keeping it for longer than a few days. As with all homemade staples like pickles, tomato sauce, etc. it’s best to exercise caution!",en-US,"{'calories': '133 kcal', 'carbohydrateContent': '10 g', 'proteinContent': '9 g', 'fatContent': '6 g', 'saturatedFatContent': '1 g', 'sodiumContent': '203 mg', 'fiberContent': '1 g', 'sugarContent': '7 g', 'servingSize': '1 serving'}",4.5,,The Woks of Life,740,8 serving(s)
Kimchi Stew (Kimchi Jigae Recipe),Kaitlin,https://thewoksoflife.com/kimchi-stew/,Chinese,https://thewoksoflife.com/wp-content/uploads/2016/03/kimchi-stew-7.jpg,"['1 tablespoon oil', '1 onion ((thinly sliced))', '3 cloves garlic ((sliced))', '8 ounces pork belly or shoulder ((225g, thinly sliced))', '1 pound kimchi ((450g, with juices, chopped))', '1 teaspoon salt', '2 teaspoons sugar', '1 tablespoon Korean chili flakes', '1 tablespoon gochujang ((Korean red pepper paste))', '3 cups chicken stock ((700 ml, can substitute fish or beef stock))', '8 oz. firm tofu ((225g, cut into 1/4-inch thick slices))', '1 teaspoon sesame oil', '1 scallion ((chopped))']","In a large pot, heat the oil over medium high heat. Add the onion, garlic, and pork belly, and cook for about 5 minutes, until the pork is lightly browned and the onions start to soften.
Add the kimchi and fry for 2 minutes. Then add the salt, sugar, chili flakes, gochujang, and broth. Stir until combined. Bring to a simmer, cover, and cook for 10 minutes.
Uncover and lay the tofu over the top. Replace the cover and simmer for another 10 minutes. Uncover for the last time and stir in the sesame oil. Garnish with the chopped scallion and serve immediately with steamed rice!",en-US,"{'calories': '295 kcal', 'carbohydrateContent': '7 g', 'proteinContent': '10 g', 'fatContent': '26 g', 'saturatedFatContent': '8 g', 'cholesterolContent': '27 mg', 'sodiumContent': '460 mg', 'fiberContent': '1 g', 'sugarContent': '3 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,40,6 serving(s)
Salt and Pepper Tofu,Bill,https://thewoksoflife.com/salt-and-pepper-tofu/,Chinese,https://thewoksoflife.com/wp-content/uploads/2020/06/salt-pepper-tofu-20.jpg,"['14 ounces firm tofu ((sliced into ½-inch thick rectangles; about 1½ x 2 inches))', '1/4 teaspoon garlic powder', '1/2 teaspoon onion powder', '1/2 teaspoon salt', '1 teaspoon sugar', '1 1/4 cups warm water', '1/2 teaspoon sesame oil', '1 teaspoon Shaoxing wine', '3/4 teaspoon salt', '3/4 teaspoon ground white pepper', '1/4 teaspoon ground Sichuan Peppercorn', '1/4 teaspoon sand ginger powder ((or galangal powder, optional))', '2 tablespoons all purpose flour', '2 tablespoons cornstarch ((may add a little more if needed))', '4 tablespoons vegetable oil', '5 cloves garlic ((roughly chopped))', '1 long hot green pepper ((seeds removed, thinly sliced; about 30g))', '1 shallot ((sliced into round slices; about 20g))', '1 scallion ((chopped, about 20g))', '1 tablespoon cilantro ((chopped, optional))']","First, brine the tofu:
Slice the tofu into ½ inch (1 cm) thick, 1 ½ inch x 2 inch (4x5 cm) rectangles. Make the brine by stirring together the garlic powder, onion powder, salt, sugar, and warm water. Place the tofu into the brine for 1-2 hours.
After 1 to 2 hours, drain the liquid from the tofu completely, and let it sit for 5 minutes to drain. Again, remove any standing liquid, gently toss the tofu pieces in the sesame oil and Shaoxing wine.
Next, make the salt and pepper tofu seasoning, and dredge the tofu:
Combine the salt, ground white pepper, Sichuan peppercorn powder, and sand ginger powder. You’ll use half of this salt and pepper spice mix for the tofu coating and the other half to finish the dish in the wok.
Add half of the spice mix to the all-purpose flour and cornstarch, and sprinkle the mixture over the tofu to coat. Flip the tofu pieces over, and sprinkle them with the remainder of the flour mixture. The moist tofu will soak up the dredge, and a batter-like coating will form on the surface. You can add a little more cornstarch if the mixture looks too wet, or if you want the tofu crispier.
Make the crispy garlic:
Heat 4 tablespoons oil in your wok over low heat for 30 seconds. Add the garlic. It should bubble and sizzle very slowly at this low heat and not burn. Be patient, because burnt garlic has a very bitter flavor. Move the garlic around in the oil so it cooks evenly. It’s done when it has turned a light golden brown.
Remove it using a slotted spoon or fine mesh strainer, leaving the oil in the wok. Transfer the garlic to a plate lined with a paper towel.
Pan-fry the tofu & finish the dish:
Heat the oil in the wok over medium-high heat. Place the tofu in the wok in a single layer, and brown the tofu, adjusting the heat as needed. Don’t walk away, as you don’t want to burn the crust! After the tofu starts to brown, flip the tofu to brown the other side. When done, transfer the tofu to a plate.
Use the remaining oil in the wok to coat the sides of the wok, and pour off any excess standing oil to use in another dish.
Turn stove up to medium high heat. Add the sliced long hot green peppers and shallots and Stir-fry for 15-30 seconds. Next, add the warm tofu and gently toss the mixture for another 30 to 60 seconds. Add the scallions, cilantro, and crispy garlic. Continue tossing for another 15 seconds.
Sprinkle the rest of the salt and pepper spice evenly over the tofu and aromatics. It will absorb into the freshly fried tofu for that extra kick. Toss for another 15 seconds, transfer everything to a plate, and serve!",en-US,"{'calories': '260 kcal', 'carbohydrateContent': '14 g', 'proteinContent': '10 g', 'fatContent': '19 g', 'saturatedFatContent': '12 g', 'sodiumContent': '771 mg', 'fiberContent': '2 g', 'sugarContent': '2 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,95,4 serving(s)
Cold Tofu Salad,Sarah,https://thewoksoflife.com/cold-tofu-salad/,Chinese,https://thewoksoflife.com/wp-content/uploads/2013/07/cold-tofu-salad-4-1.jpg,"['1 package tofu “noodles”', '1 carrot ((sliced into thin matchsticks))', '1 long hot green pepper ((sliced into long, thin strips))', '1 ½ teaspoons sesame oil', 'salt and white pepper', '1 teaspoon toasted sesame seeds']","Start by blanching your cut carrot and green pepper in some simmering water for one minute. Remove the veggies from the pot and place them into a bowl of ice water to preserve color and crunch.
In a serving bowl, add the raw tofu noodles with your veggies. Toss in the sesame oil, salt, and white pepper. Mix it together well and garnish with toasted black or white sesame seeds.",en-US,{},-1.0,,The Woks of Life,10,4 serving(s)
Hunan Steamed Fish with Salted Chilies (Duo Jiao Yu),Bill,https://thewoksoflife.com/hunan-steamed-fish-salted-chilies-tofu-duo-jiao-yu/,Chinese,https://thewoksoflife.com/wp-content/uploads/2014/08/hunan-steamed-fish-10-1.jpg,"['12 oz. tilapia or flounder filet ((340g))', '12 oz. firm tofu ((340g))', '2 tablespoons soy sauce', '1/4 - 1/3 cup jarred hunan chili peppers ((try finding the ""Tantan Xiang"" brand at your Chinese grocery store))', '1/2 teaspoon sugar', '1 tablespoon fermented black beans ((whole black beans, not black bean sauce; rinsed and drained))', 'a small bunch of cilantro ((roughly chopped))', '1 scallion ((chopped))', 'noodles ((optional -- see note at the bottom of the post))']","Select a large shallow bowl or plate with a 1-inch rim around the sides that will fit nicely into your wok with a shallow steamer rack set up at the bottom. Rinse your fish fillet and pat it dry with a paper towel. Slice the tofu into neat 1/2-inch thick rectangles.
Arrange the tofu on your plate/shallow bowl in two rows. Place the fish filet on top of the tofu. If the fillet is too big for the plate, you can fold the thin tail end and tuck it underneath the rest of the fillet so it fits snugly onto the plate.
Combine the soy sauce, peppers, and sugar into a bowl and mix well. Spread the mixture evenly over the fish and tofu. Rinse the black beans and strain them so any small particles are washed away. Sprinkle them over the top of the dish.
Boil 2 cups of water in your wok and turn the heat off. Place the shallow steamer rack in the bottom of the wok, and the plate on top of the rack. Turn the heat back on and wait for the water to come to a gentle simmer. Cover the wok and let the dish steam for 12 minutes, or until the fish is opaque and you can poke a butter knife into it with no resistance.
You can see that the there is quite a bit of liquid that comes out during the steaming process. Spoon some of that liquid over the top of everything, and garnish with chopped cilantro and scallion. Serve immediately with rice!",en-US,{},5.0,,The Woks of Life,25,4 serving(s)
Chinese Vegetarian Duck (素鸭),Judy,https://thewoksoflife.com/chinese-vegetarian-duck/,Chinese,https://thewoksoflife.com/wp-content/uploads/2021/01/vegetarian-duck-su-ya-23.jpg,"['2 oz. dried shiitake mushrooms', '4 oz. bamboo shoots ((thinly julienned))', '4 oz. carrot ((thinly julienned))', '1 tablespoon ginger ((finely julienned))', '3 tablespoons neutral oil', '1 tablespoon Shaoxing wine', '2 tablespoons light soy sauce', '1 tablespoon vegetarian oyster sauce', '4 sheets bean curd skin ((large circles, about 24 inches in diameter))', '2 tablespoons vegetarian oyster sauce ((mixed with 2 tablespoons/30 ml water))', '1 1/4 cups mushroom soaking water', '1 tablespoon vegetarian oyster sauce', '2 teaspoons sugar', '1 tablespoon Shaoxing wine', '1 tablespoon light soy sauce', '1/2 teaspoon sesame oil', '1/2 teaspoon dark soy sauce', '3 tablespoons neutral oil', '1 scallion ((chopped))']","Rinse the shiitake mushrooms clean, and soak them in 2 cups of hot water for 2-3 hours, until they are completely rehydrated. Reserve the water they soaked in.
Julienne the bamboo shoots, carrots, and ginger, and set aside. Once the shitake mushrooms are done soaking, squeeze out any excess water, remove the tough stems, and thinly slice them.
With your wok over medium heat, add 3 tablespoons oil. Add the ginger, and cook for 20 seconds. Add the carrots, and stir-fry for 1 minute. Add the mushrooms and bamboo shoots, turn up the heat, and and cook for another 2-3 minutes, until fragrant.
Stir in the Shaoxing wine, light soy sauce, and vegetarian oyster sauce. Continue cooking until all the liquid has reduced. Remove from the wok, and let the filling cool.
Prepare your steamer with enough water for 12 minutes of steaming over high heat, and bring to a boil.
Lay out one of your sheets of bean curd on a clean work surface. Take your mixture of vegetarian oyster sauce and water, and brush lightly onto one of the sheets. Stack another sheet on top and brush that one too with the oyster sauce mixture.
Add half of the filling to the lower part of the bean curd circle (about 5 inches/13 cm) from the edge closest to you), arranging it in a roughly 7x3 inch horizontal rectangle. Fold the sheet over the filling tightly. Fold the sides over the middle, and continue rolling tightly until you’ve formed a rectangular roll. Repeat with another 2 sheets of bean curd skin and the other half of the filling.
With the opening side down, lay them side by side on a heat proof dish. When the water in your steamer has come to a boil, steam the rolls for 12 minutes over high heat.
Meanwhile, mix the braising sauce. Combine 1 ¼ cups of the mushroom soaking water, 1 tablespoon vegetarian oyster sauce, 2 teaspoons sugar, 1 tablespoon Shaoxing wine, 1 tablespoon light soy sauce, 1/2 teaspoon sesame oil and 1/2 teaspoon dark soy sauce. Mix until sugar is completely dissolved, and set aside.
Remove the rolls from the steamer. Heat a clean wok/pan over medium heat. When the wok is heated, add the oil, and swirl it around the perimeter of the wok to coat it evenly.
Add the rolls, and brown each side, about 1-2 minutes per side. Handle gently when flipping.
Once both sides are browned, add the sauce mixture. Braise over medium heat, cooking for 2 minutes covered, and then 2-3 minutes uncovered. Flip the rolls, and do the same on the other side. Try not to move them too much. Just slide them around to prevent them from breaking or fall apart.
Once the sauce has reduced (it should coat the rolls, but they shouldn’t be sitting in a pool of sauce), carefully transfer the rolls to a plate, and cool completely.
Once cooled, slice into ¾ inch thick slices, and garnish with chopped scallions. Serve at room temperature.",en-US,"{'calories': '220 kcal', 'carbohydrateContent': '18 g', 'proteinContent': '5 g', 'fatContent': '15 g', 'saturatedFatContent': '11 g', 'sodiumContent': '877 mg', 'fiberContent': '2 g', 'sugarContent': '5 g', 'servingSize': '1 serving'}",-1.0,,The Woks of Life,270,6 serving(s)
Cheat’s Mapo Tofu,Kaitlin,https://thewoksoflife.com/cheats-mapo-tofu-packet/,Chinese,https://thewoksoflife.com/wp-content/uploads/2017/07/mapo-tofu-recipe-2.jpg,"['6 ounces ground pork', '1 tablespoon ginger ((minced))', '5 cloves garlic', '7 oz. mapo tofu sauce packet ((200g, we used Spicy Element’s Shengchubao Mapo Tofu Sauce))', '1 cup water', '2 teaspoons cornstarch ((mixed with 1 tablespoon water))', '24 ounces silken tofu ((you can also use soft or firm tofu if you prefer))', '1 scallion ((chopped))', '1/2 teaspoon Sichuan Peppercorn Powder ((optional))']","In a wok over medium-high heat, brown the pork, breaking it up with a wooden spatula. When the pork is cooked through, add the ginger and garlic, and stir-fry until lightly crisped. Next, add the contents of the seasoning packet, and stir to combine. If you’re only cooking one box of tofu, you can use half of it and save the other half for another day.
Turn the heat up to high, add the water, and bring to a boil.
While that’s happening, cut your tofu into large 1½-inch cubes and add to the wok. Stir gently to combine. A folding motion works well to avoid breaking up the tofu.
Add the cornstarch slurry and cook until the sauce thickens and becomes glossy, coating the spatula.
Simmer for one more minute, and serve immediately with scallions and the Sichuan peppercorn powder on top and plenty of white rice, and relish the time saved by your shortcut!",en-US,{},4.5,,The Woks of Life,15,8 serving(s)
