title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
Quick Cucumber Salad with Asian Dressing,Bill,https://thewoksoflife.com/quick-cucumber-salad-with-asian-dressing/,Chinese,https://thewoksoflife.com/wp-content/uploads/2013/08/quick-cucumber-salad-1.jpg,"['3 medium to large cucumbers', '1/4 teaspoon salt', '¼ teaspoon sugar', '1/8 teaspoon ground white pepper', '2 teaspoons soy sauce', '½ teaspoon sesame oil', '1-2 cloves garlic ((minced))', '½ teaspoon olive oil', '1 teaspoon cilantro ((chopped))', '1 teaspoon sesame seeds ((toasted, optional))']","Peel or scrub the cucumbers (whichever you prefer) and cut them into 2 to 3 inch sticks. Put them into a large mixing bowl.
Stir the rest of the ingredients (except the sesame seeds) in a small bowl to make the dressing.
Drain any water that may have seeped out of the cucumbers and toss in the dressing. Once the cucumbers are coated, garnish with sesame seeds (if using) and serve immediately.
When I made this today it was about 97 degrees outside, and I chilled the cucumbers for about 15 minutes in the fridge before tossing them together. I served the salad with a mildly sweet plum wine we bought while in Chengdu. The dish is light, cooling, and tasty!",en-US,"{'calories': '49 kcal', 'carbohydrateContent': '9 g', 'proteinContent': '2 g', 'fatContent': '2 g', 'saturatedFatContent': '1 g', 'sodiumContent': '233 mg', 'fiberContent': '1 g', 'sugarContent': '4 g', 'servingSize': '1 serving'}",-1.0,,The Woks of Life,10,4 serving(s)
Chiles Rellenos,Kaitlin,https://thewoksoflife.com/chiles-rellenos/,Chinese,https://thewoksoflife.com/wp-content/uploads/2019/04/chiles-rellenos-20.jpg,"['2 tablespoons oil', '½ pound 225g ground turkey, chicken, beef, or pork', '1 small onion ((diced))', '3 cloves garlic ((chopped))', '½ cup 120 ml plain tomato sauce', '¼ cup 40g chopped raisins', '¼ cup 30g chopped pecans', '½ teaspoon smoked paprika', '½ teaspoon chili powder', '¼ teaspoon cinnamon', '¼ teaspoon salt', '8 ounces 225g shredded monterey jack cheese', '7 to 8 whole poblano peppers ((washed/cleaned))', '1 large onion ((halved))', '8 plum tomatoes', '1-2 serrano chilis', '6 cloves garlic', '1 handful cilantro', '1 tablespoon oil', 'Salt and pepper', '3 eggs ((separated))', '1 cup flour', 'Enough oil to fill a deep skillet or saucepan with 2-3 inches of canola ((vegetable or peanut oil))']","Make the filling:
In a skillet over medium high heat, add 2 tablespoons oil and brown the ground meat. Add the onion and garlic, and cook until translucent. Add the tomato sauce, raisins, pecans, smoked paprika, chili powder, cinnamon, and salt.
Let cool as you prepare the other items. Once cooled, mix in the shredded cheese.
Prepare the peppers and salsa:
Broil the peppers and onion on a sheet pan, with the broiler on high, until they are blackened on one side. Flip and broil until entirely charred. Watch them closely! Set them aside, covered with a clean kitchen towel, to loosen the skins.
Blend the charred onion, tomatoes, serrano chilies, garlic, and cilantro. Process the salsa to your preferred consistency—it can be very smooth or a little chunky.
Heat a skillet with 1 tablespoon oil over high heat. Add the salsa to the pan and simmer. Season to taste with salt and pepper and cook until it has reduced a bit and the salsa’s color has changed from light pink to red-orange.
Now use a paper towel or clean kitchen cloth to gently remove the skins from the poblano peppers. Slice an opening lengthwise on each pepper, leaving the rest of the pepper intact. Remove the excess inner membranes and seeds (it doesn’t have to be perfect).
Gently stuff each pepper with filling, sealing the seam with toothpicks.
Fry and serve:
Heat your frying oil to 375 degrees F/190 degrees C
Beat the egg whites with an electric mixer on high speed until soft peaks form. With the mixer running on medium, add the egg yolks one at a time, and beat for 3 more minutes.
When the batter is smooth, light, and fluffy, and coats the back of a wooden spoon without dripping, it is ready to use.
Dredge the peppers in flour, then dip in the batter. Carefully place the pepper in the hot oil. When the bottom of the chile is golden brown, carefully turn it over with a spatula, without damaging the batter. Fry until golden brown.
You can fry 1-2 peppers at a time depending on the size of your skillet, but it’s best not to crowd the pan, so you can easily flip them without damaging the batter. We fried one pepper at a time.
Serve your chiles rellenos with your salsa!",en-US,"{'calories': '705 kcal', 'carbohydrateContent': '39 g', 'proteinContent': '27 g', 'fatContent': '51 g', 'saturatedFatContent': '11 g', 'cholesterolContent': '136 mg', 'sodiumContent': '474 mg', 'fiberContent': '6 g', 'sugarContent': '9 g', 'servingSize': '1 serving'}",4.5,,The Woks of Life,150,6 serving(s)
Vegetable Noodles With Shrimp,Bill,https://thewoksoflife.com/vegetable-noodles-with-shrimp/,Chinese,https://thewoksoflife.com/wp-content/uploads/2015/04/glass-noodles-shrimp-8-1.jpg,"['1 tablespoon oil', '1 small onion ((diced))', '3 cloves garlic ((minced))', '¼ cup dried shrimp ((soaked, optional))', '1 teaspoon Shaoxing wine', '2 cups chicken stock', '1 teaspoon salt', '½ teaspoon sugar', '8 oz. dried broad bean noodles ((soaked 30 minutes))', '1 medium zucchini ((sliced into noodles))', '1 large carrot ((sliced into noodles))', '2 teaspoons soy sauce', '½ teaspoon sesame oil', '1/8 teaspoon white pepper', '12 oz. large shrimp ((peeled and deveined))', '1 scallion ((julienned))', 'Cilantro ((to garnish, optional))']","Prep all of your ingredients and have them ready before you start cooking. Heat a wok over medium high heat and add the oil, onion, garlic, and dried shrimp. Stir-fry until the onion is translucent. Add the shaoxing wine and stir-fry for another 30 seconds. Add the chicken stock, salt, sugar and broad bean noodles. Turn down heat to low and let everything simmer for about 10 minutes.
Add the zucchini and carrot “noodles,"" along with the soy sauce, sesame oil and white pepper. Turn the heat up to medium and cook for another 5 to 10 minutes, reducing almost all of the liquid. If you like your noodles a bit more soupy, you can add more chicken stock.
Stir in the shrimp and scallions and cook for another 2 minutes, or until the shrimp is just cooked through. Garnish with cilantro and serve!",en-US,"{'calories': '421 kcal', 'carbohydrateContent': '58 g', 'proteinContent': '33 g', 'fatContent': '7 g', 'saturatedFatContent': '1 g', 'cholesterolContent': '383 mg', 'fiberContent': '2 g', 'sugarContent': '4 g', 'servingSize': '1 serving'}",-1.0,,The Woks of Life,55,4 serving(s)
Butternut Squash Lasagna,Sarah,https://thewoksoflife.com/butternut-squash-lasagna/,Chinese,https://thewoksoflife.com/wp-content/uploads/2015/02/butternut-squash-lasagna-91-1.jpg,"['2 ½ lbs butternut squash ((2 kg, seeded, peeled, and diced into ½-inch pieces; about 8 cups))', 'olive oil', 'salt and pepper ((to taste))', '2 cloves garlic ((minced))', '12 oz. mushrooms ((340g, thinly sliced))', '4 cups kale ((chopped))', '4 tablespoons butter ((55g))', '1 sprig rosemary ((finely chopped))', '¼ cup flour ((30g))', '4 cups milk ((950 ml))', '12 sheets no-boil lasagna noodles', '1 cup Parmesan cheese ((grated))', '2 cups mozzarella cheese ((shredded))']","Preheat oven to 450°F. On a parchment-lined baking sheet, toss butternut squash in olive oil and salt and pepper to taste. Roast for 20 minutes or until tender and golden, tossing the squash after 10 minutes to promote even cooking.
While that’s happening, add a few tablespoons of olive oil to a large skillet over medium heat. Add the garlic and cook for a minute. Add the mushrooms and sauté until caramelized, about 10 minutes (you may need to turn up the heat to reduce any liquid released by the mushrooms). Add the kale and sauté until wilted. Season with salt and pepper. Pour out of the skillet and set aside.
Put the skillet back over medium heat and add the butter and rosemary. When the butter is melted, stir in the flour and cook for 3 minutes, whisking constantly. Whisk in the milk until smooth. Season with salt and pepper. Bring the sauce to a simmer and let it bubble slowly over medium low heat until thickened, about 5 minutes. Remove from heat. Take the roasted squash out of the oven and mash it roughly with a fork. Stir it into the sauce.
Reduce the oven temperature to 375°F. In a 13x9 buttered baking dish, add a thin layer of sauce. Rinse the noodles thoroughly in warm water (this prevents them from being dry), and add noodles to the bottom of the baking dish, ensuring that they’re not touching each other. Add another thin layer of sauce, followed by a layer of mushrooms and kale, and then a sprinkling of 1/3 cup parmesan cheese and 2/3 cup mozzarella. Repeat for 3 layers, always making sure the noodles are thoroughly moistened by the butternut squash sauce.
Bake for 40 minutes. Let lasagna stand for 10 minutes before slicing and serving.",en-US,"{'calories': '356 kcal', 'carbohydrateContent': '42 g', 'proteinContent': '16 g', 'fatContent': '15 g', 'saturatedFatContent': '8 g', 'cholesterolContent': '39 mg', 'sodiumContent': '495 mg', 'fiberContent': '3 g', 'sugarContent': '8 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,120,12 serving(s)
General Tso’s Cauliflower,Bill,https://thewoksoflife.com/general-tsos-cauliflower/,Chinese,https://thewoksoflife.com/wp-content/uploads/2015/10/general-tsos-cauliflower-8-1.jpg,"['1 small head cauliflower', '2 teaspoons cornstarch', '1 teaspoon baking soda', '½ teaspoon salt', '1 teaspoon sesame oil', '1/8 teaspoon white pepper', '¼ cup water', '1 cup rice flour', '2 teaspoons toasted sesame seeds', '2 to 3 cups peanut or canola oil ((for frying))', '1 tablespoon peanut or canola oil', '2 teaspoons ginger ((finely minced))', '2 cloves garlic ((finely minced))', '5 whole dried red chili peppers ((optional))', '½ tablespoon Shaoxing wine', '½ teaspoon sesame oil', '1½ tablespoons light soy sauce', '2 teaspoons rice wine vinegar', '2 tablespoons sugar', '1 cup water ((or chicken stock))', '1 tablespoon cornstarch ((mixed with 1 tablespoon water))', '1 scallion ((cut at an angle into half-inch pieces))']","Cut the cauliflower into 1- to 2-inch chunks. Mix the cornstarch, baking soda, salt, sesame oil, white pepper, water, and ¾ cup of rice flour in a large bowl until it forms a batter. Toss in the cauliflower and fold together until the cauliflower is well coated. Sprinkle the remaining ¼ cup of rice flour over the cauliflower, and stir until everything is sticking to the cauliflower. There should be no more batter at the bottom of the bowl. If there is, just add a little bit more rice flour. If the batter looks dry or crumbly add a teaspoon or two of water.
Next, sprinkle the toasted sesame seeds evenly over the cauliflower. Heat the oil to 375 degrees in a cast iron pan or small pot. Fry the cauliflower in batches until light golden brown and crunchy (about 3 minutes), and transfer to a baking sheet lined with paper towels.
Heat 1 tablespoon oil in your wok over medium heat. Add the minced ginger, and let fry for 15 seconds. Add the garlic and dried red pepper. Stir for 10 seconds. Add the Shaoxing wine, and immediately add the sesame oil, soy sauce, rice wine vinegar, sugar, and water (or chicken stock). Turn the heat down to low, letting the entire mixture simmer.
If you fried the cauliflower in advance and want the pieces to be extra crispy, re-fry the cauliflower in batches for about 20 seconds or until golden brown, and drain on paper towels. Add the cornstarch slurry gradually to the sauce while stirring constantly, and let simmer for 20 seconds. The sauce should be thick enough to coat a spoon.
Add the cauliflower and scallions, and toss the entire mixture until everything is well-coated in the sauce. Serve!",en-US,"{'calories': '350 kcal', 'carbohydrateContent': '33 g', 'proteinContent': '4 g', 'fatContent': '23 g', 'saturatedFatContent': '2 g', 'sodiumContent': '660 mg', 'fiberContent': '3 g', 'sugarContent': '6 g', 'servingSize': '1 serving'}",4.88,,The Woks of Life,50,6 serving(s)
Garlicky Broccoli Stir-Fry,Sarah,https://thewoksoflife.com/garlicky-broccoli/,Chinese,https://thewoksoflife.com/wp-content/uploads/2013/11/DSC_0117.jpg,"['4 cups broccoli florets', '1 tablespoon cornstarch', '2 tablespoons water', '5 cloves garlic', '1 tablespoon oil', '1 tablespoon shaoxing wine', '½ cup chicken stock', '1 teaspoon salt', '1/8 teaspoon white pepper', '½ teaspoon sesame oil']","Wash the broccoli and set aside. Make a slurry by mixing the cornstarch into the water and use a spoon to stir until completely dissolved. Mince the garlic.
Bring about 6 cups of water to a boil in your wok and add the broccoli. Blanch for a minute, drain, and put the broccoli into cold water to stop the cooking process.
Heat the wok over high heat. Once the wok is very hot, add the oil, garlic, broccoli, and wine. Stir fry for a minute and pour in the chicken stock. Let the mixture come to a boil, which should be quick since the heat is so high.
Add salt, white pepper, and sesame oil and give it another quick stir. Now make sure your cornstarch slurry is still well-mixed as the water tends to separate after some time. Stir in half of the slurry and let the sauce cook and thicken until it coats the back of a spoon. Add more slurry if it’s not thick enough. Plate and serve hot!",en-US,"{'calories': '89 kcal', 'carbohydrateContent': '10 g', 'proteinContent': '3 g', 'fatContent': '5 g', 'saturatedFatContent': '1 g', 'sodiumContent': '622 mg', 'fiberContent': '2 g', 'sugarContent': '2 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,20,4 serving(s)
Steamed Vegetable Buns,Judy,https://thewoksoflife.com/steamed-vegetable-buns/,Chinese,https://thewoksoflife.com/wp-content/uploads/2017/01/vegetable-buns-11-1.jpg,"['1 pound baby bok choy ((450g, washed thoroughly))', '8 fresh shiitake mushrooms', '3 tablespoons vegetable oil ((divided))', '4 ounces dried bean curd ((115g))', '1 teaspoon light soy sauce', '½ teaspoon sugar', '½ tablespoon sesame oil', '⅛ teaspoon ground white pepper', 'Salt ((to taste, in this case, it’s ok to taste the filling as you’re mixing it, because everything is cooked))', '¾ cup warm water', '1 teaspoon instant yeast ((3 grams))', '1 tablespoon sugar ((granulated, 15 grams))', '1 tablespoon vegetable oil ((plus 1 teaspoon, divided))', '2 cups all-purpose flour ((300 grams))', '2 tablespoons cornstarch ((20 grams))', '¼ teaspoon salt', '⅛ teaspoon baking soda']","Making the filling
Prepare a pot of boiling water and an ice bath. Once the pot of water is boiling, blanch the bok choy for a quick 10 seconds in two separate batches. With each batch, the water should be at a rolling boil before you add the bok choy. With a large slotted spoon, scoop out the blanched bok choy and immediately transfer to the ice bath to stop the cooking process.
Strain the bok choy once it’s cooled completely in the ice bath. Do your best to squeeze out as much water as you can. This step is very important for preventing soggy buns!
Next, finely chop the bok choy; a food processor is a great time-saver. Transfer to a mixing bowl. Chop the mushrooms finely. Cook them in a wok over medium heat with 2 tablespoons of oil for about 3 to 4 minutes, until they become fragrant. Cool completely.
Next, finely chop the dried bean curd and set aside.
To finish the filling, first pour off any visible liquid in the bowl of chopped bok choy before adding in the cooked mushrooms and dried bean curd. Next, add 1 tablespoon of oil, the light soy sauce, sugar, sesame oil, and white pepper. Mix well. Salt to taste, and put the filling in the refrigerator to marinate. Chilling also helps to keep the bok choy green.
Making the dough
In a bowl, whisk together the water, yeast, and sugar until the yeast dissolves. Let the mixture sit until the yeast “blooms” and foams (about 15 minutes). Stir in 1 tablespoon of oil, and set aside.
In the meantime, whisk together the flour, cornstarch, salt, and baking soda in a medium bowl. Stir in the yeast mixture using a spatula. After the dry and wet ingredients are incorporated, knead the dough with your hands (or using a mixer) until the dough becomes smooth and soft. If the dough looks sticky, add a bit more flour 1 tablespoon at a time. If the dough feels dry, add a few drops of water at a time, and continue kneading until the dough is smooth and soft. The dough should be soft, but not sticky.
Brush the dough with 1 teaspoon of oil and cover with plastic wrap. Let the dough rest until it doubles in size (about 1 hour). Once the dough has risen, punch it down, and knead it for a few minutes to get rid of all air bubbles. Portion the dough into 14 equal dough balls. Cover with a clean kitchen towel to prevent them from drying out.
Assembling and cooking the buns
Cut 14 pieces of parchment paper into 3”x3” squares, and set aside. On a clean and lightly floured flat surface, take a dough ball, roll it out from edge to center, rotate, and repeat until it forms a 4-inch circle. The center should be slightly thicker than the edges. Your buns need solid footing, after all.
Add about 2½ tablespoons of filling to the center, then pleat and twist the bun repeatedly until the top is closed. Sit the bun on a piece of the prepared parchment paper and place it on the rack of your steaming vessel of choice, with at least 1 cm of clearance on all sides. Repeat until all the buns are assembled.
Check our Chinese cooking tools page for steamer setup options. You could use a steamer rack in a wok, a multi-level metal steamer or a bamboo steamer. Just make sure the steaming rack is at least 1½ inches above the water so the boiling water doesn’t touch the buns during the cooking process. Carefully put the buns inside the steamer, cover the lid, and let the buns rest for about 20 minutes (do not turn on the stove yet!).
When the buns are ready to be cooked, turn the heat on high to start the steaming process. Once the water starts to boil and steam is visible, turn the heat down to medium, and steam the buns for another 10 minutes. After 10 minutes, shut off the heat, and let the buns rest inside the steamer for 5 minutes. DO NOT REMOVE THE COVER. This is an important step, because if you remove the cover too early, the buns will collapse and lose their fluffiness! And if you are steaming buns in multiple batches, be sure to start each batch with cold water!
These buns can be enjoyed immediately. You can also store any leftovers in an airtight container in the refrigerator or freezer. Reheat in the microwave for about 1 minute or re-steam for about 6-8 minutes.",en-US,"{'calories': '127 kcal', 'carbohydrateContent': '17 g', 'proteinContent': '3 g', 'fatContent': '5 g', 'saturatedFatContent': '3 g', 'sodiumContent': '270 mg', 'fiberContent': '1 g', 'sugarContent': '2 g', 'servingSize': '1 serving'}",4.84,,The Woks of Life,150,14 serving(s)
Spicy Black Bean Twice Cooked Potatoes,Judy,https://thewoksoflife.com/spicy-black-bean-twice-cooked-potatoes/,Chinese,https://thewoksoflife.com/wp-content/uploads/2014/10/potato-stir-fry-2-1.jpg,"['4-5 medium Yukon gold potatoes ((scrubbed and cut into bite-sized chunks))', 'salt', '1/8 teaspoon white pepper', '1/8 teaspoon five-spice powder', 'oil', '4 cloves garlic ((smashed and coarsely chopped))', '1-6 dried red chilies ((chopped and de-seeded; depending on your tolerance for heat))', '2 tablespoons black beans', '1 tablespoon Shaoxing wine', '1 teaspoon light soy sauce', '1 teaspoon dark soy sauce', '½ teaspoon sesame oil', '2 tablespoons water', '1 cup leeks ((sliced on the diagonal into thin strips))']","Preheat the oven to 375 degrees F, and spread the potatoes on a parchment-lined baking sheet. Toss with salt to taste, white pepper, and five-spice powder. Drizzle with olive oil and roast for about 30 minutes, or until fork tender.
Once the potatoes are done roasting, heat a couple tablespoons of oil in a wok over medium low heat. Add the garlic, chili, and black beans. Cook for a couple minutes, and be careful not to burn the ingredients.
Add the wine, soy sauces, sesame oil, and water. Stir everything together and add the roasted potatoes and leeks. Turn up the heat to high and stir-fry for another 2 minutes. Serve immediately.",en-US,"{'calories': '228 kcal', 'carbohydrateContent': '30 g', 'proteinContent': '6 g', 'fatContent': '10 g', 'saturatedFatContent': '1 g', 'sodiumContent': '774 mg', 'fiberContent': '6 g', 'sugarContent': '1 g', 'servingSize': '1 serving'}",-1.0,,The Woks of Life,50,4 serving(s)
Soy Butter Glazed King Oyster Mushrooms,Judy,https://thewoksoflife.com/soy-butter-glazed-king-oyster-mushrooms/,Chinese,https://thewoksoflife.com/wp-content/uploads/2020/10/soy-butter-king-mushrooms-8.jpg,"['2 tablespoons unsalted butter', '1 tablespoon light soy sauce', '1/4 teaspoon dark soy sauce', '1/2 teaspoon honey', '1 clove garlic ((grated or very finely minced))', '1/4 teaspoon black pepper', '1 pound king oyster mushrooms', '2 tablespoons vegetable oil', '1 scallion']","First, prepare the glaze by melting 2 tablespoons of butter in the microwave. Then stir in the light soy sauce, dark soy sauce, honey, grated garlic, and black pepper. Mix well and set aside.
Carefully slice the mushrooms lengthwise into ¼” thick slices.
Heat a non-stick or cast iron pan over medium high heat, and generously brush with vegetable oil. Add the first batch mushrooms in 1 layer, leaving them a little space to breathe so the mushrooms fry rather than steam.
Pan-fry for about 5 minutes per side, until golden brown. Repeat for another 2 batches to cook the rest of the mushrooms.
Add all the cooked mushrooms back to the pan, pour in the glaze, and immediately turn off the heat. Toss the mushrooms in the glaze using the residual heat of the pan. Garnish with chopped scallions and serve.",en-US,"{'calories': '156 kcal', 'carbohydrateContent': '8 g', 'proteinContent': '4 g', 'fatContent': '13 g', 'saturatedFatContent': '9 g', 'cholesterolContent': '15 mg', 'sodiumContent': '294 mg', 'fiberContent': '3 g', 'sugarContent': '2 g', 'servingSize': '1 serving'}",5.0,,The Woks of Life,30,4 serving(s)
Vegan Ramen,Sarah,https://thewoksoflife.com/vegan-ramen/,Chinese,https://thewoksoflife.com/wp-content/uploads/2019/08/vegan-ramen-4.jpg,"['1/2 napa cabbage', '2 tablespoons vegetable oil ((divided))', '7 slices ginger ((20g or 0.7 oz.))', '2 cloves garlic ((peeled and cut in half))', '2 cubes white fermented bean curd ((23g or 0.8 oz.))', '1 large onion ((peeled and quartered))', '1 pound carrots ((450g, peeled and cut into large chunks))', '8 scallions ((ends removed))', '8 ounces daikon radish ((225, peeled and cut into chunks))', '1 5x5 inch piece dried kelp (kombu) ((13x13 cm, rinsed))', '16 dried shiitake mushrooms ((rinsed))', '16 cups water ((1 gallon, or about 4 L))', 'salt ((to taste))', '2 1/2 teaspoons spicy bean sauce ((la doubanjiang))', '1 tablespoon white miso paste', '1/2 teaspoon sesame oil', '1 1/2 cups unsweetened soy milk', '1 tablespoon oil', '1 cup frozen corn', '1 pound fresh ramen noodles ((450g))', '8 ounces baby bok choy ((225g))', '1/2 cup chili bamboo shoots ((see photo in post))', '2 scallions ((chopped))', 'toasted nori (seaweed)']","Make the stock (skip this step if you already pre-made the vegetable stock)
Preheat oven to 375 degrees F. Take your napa cabbage half, and cut it in half again lengthwise. Place the cabbage on a sheet pan and drizzle lightly with oil. Roast for 25 minutes.
Meanwhile, in a large stockpot, heat 1 tablespoon oil over medium heat. Add the ginger and garlic and cook for 2 minutes, until fragrant but not browned. Add the fermented bean curd and cook for another minute. Then add the onion, carrots, scallions, daikon, kelp, dried shiitake mushrooms, and water. When the napa cabbage is done roasting, add it to the pot as well.
Bring to a boil, turn the heat down to low, and simmer with the lid on for 4 hours. Strain the stock, and season with salt to taste.
Create the ramen broth:
In a separate pot over medium heat, add a tablespoon of oil. Fry the spicy bean paste for 1 minute. Then strain the stock into the pot (you will need about 8 cups to make 4 bowls of ramen).
Add the miso paste and sesame oil, stirring until the miso paste is dissolved. Stir in the soy milk. Taste for seasoning and season with salt if desired. Keep over low heat (do not boil, or the soy milk will curdle), cover, and leave on the stove while you assemble the rest of the ingredients.
Assemble the ramen:
Bring a pot of water to a boil for the noodles and bok choy. Meanwhile, heat a skillet over medium high heat and add a tablespoon of oil. Add the corn and season with salt. Sautee the frozen corn until it’s tender and heated through.
Meanwhile, your water should be boiling. Cook the ramen noodles according to the package instructions. Blanch the bok choy for 30 seconds in the same pot you’re using to boil the noodles.
Ladle your ramen broth into 4 bowls. Add the noodles, and top with the cooked corn, blanched bok choy, chili bamboo shoots, scallions, and nori. Serve!",en-US,{},5.0,,The Woks of Life,300,4 serving(s)
